"program_type","program","site_name","borough_community","agency","contact_number","grade_level_age_group","location_1","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"Immigration Services,Immigrant Support Services","Domestic Violence Program","Jewish Board of Family and Children Services -  Domestic Violence Coordination and Training","Bronx","New York Legal Assistance Group (NYLAG)","212.613.5098","Adult","750 Astor Avenue
Bronx, NEW YORK 10467
(40.859547368358, -73.865559186365)","10467","40.859588","-73.865442","11","13","330","2050030","2043450029","Bronxdale                                                                  "
"Immigration Services,Immigrant Support Services","Domestic Violence Program","Jewish Board of Family and Children Services  - Transition Center","Queens","New York Legal Assistance Group (NYLAG)","212.613.5098","Adult","629 Far
Queens, NEW YORK 11691
(40.600614338481, -73.762567774683)",,,,,,,,,
"Immigration Services,Immigrant Support Services,NDA Programs","NDA Immigrants","United Communities Centers ","Brooklyn","United Communities Centers","718-649-7979","All Ages","613 New Lots Ave
Brooklyn, NEW YORK 11207
(40.664726498258, -73.88659110359)","11207","40.664728","-73.886561","5","42","1124","3090717","3040890025","East New York                                                              "
"Immigration Services,Immigrant Support Services","Services - Immigrant Families","Big Brothers/Big Sisters, Inc. (Activity Site)","Bronx","Big Brothers/Big Sisters, Inc.","212.994.7742","14-Nov","555 Bergen Avenue
Bronx, NEW YORK 10455
(40.815944415254, -73.916415911483)","10455","40.815959","-73.916354","1","17","71","2097027","2022940002","Melrose South-Mott Haven North                                             "
"Immigration Services,Immigrant Support Services","Legal Assistance Program","El Centro de Hospitalidad ","Staten Island","Catholic Charities Community Service, Archdiocese of N Y","718-420-6466 646-772-0096","All Ages","1546 Castleton Avenue Staten Island
NEW YORK,  10302
(40.635892495899, -74.134496077675)","10302","40.63586","-74.134431","1","49","207","5024246","5010350014","Port Richmond                                                              "
"Immigration Services,Immigrant Support Services","Immigrant/Refugee Assistance","Southside Community Mission","Brooklyn","Southside Community Mission, Inc.","718.782.8181 or 718.387.6052 ","Adult","280 Marcy Avenue
Brooklyn, NEW YORK 11211
(40.704994493888, -73.95589166068)","11211","40.705055","-73.955919","1","33","533","3060375","3022060034","Williamsburg                                                               "
"Immigration Services,Immigrant Support Services","Legal Services - Immigrant Youth","Urban Justice Center at the Streetwork Project","Manhattan","Urban Justice Center","646-602-5633","20-May","209 125 Street
Manhattan, NEW YORK 10027
(40.809154206199, -73.948683474836)",,,,,,,,,
"Immigration Services,Immigrant Support Services","Legal Assistance Program","Center for Battered Women","Manhattan","Sanctuary for Families","212-349-6009","All Ages","1406 Wall Street Station
Manhattan, NEW YORK 10268
(40.705453000256, -74.006956000119)",,,,,,,,,
"Immigration Services,Immigrant Support Services","Legal Assistance Program","Chinese Consolidated Benevolent Asociation of New York","Manhattan","Northern Manhattan   Improvement Corporation","212-822-8319","All Ages","62 Mott St
Manhattan, NEW YORK 10013
(40.716076334714, -73.998158665829)","10013","40.716051","-73.998222","3","1","29","1002403","1002010004","Chinatown                                                                  "
"Immigration Services,Immigrant Support Services","Legal Assistance Program","Northern Manhattan Improvement Corporation (NMIC)","Manhattan","Northern Manhattan              Improvement Corporation","212-822-8319","All Ages","76 Wadsworth Avenue
Manhattan, NEW YORK 10033
(40.847051676059, -73.937044724943)","10033","40.847012","-73.93704","12","10","263","1063574","1021450051","Washington Heights South                                                   "
"Immigration Services,Immigrant Support Services,NDA Programs","NDA Immigrants","Tolentine -Zeiser Community Life Center/ St, Rita","Bronx","Catholic Charities Community Service, Archdiocese of N Y","718-365-4360 ","Adult","2342 Andrews Av (near Fordham Rd
Bronx, NEW YORK 10468
(40.869693003729, -73.898926992487)","10468","40.862324","-73.906553","7","14","255","2094685","2032180035","Kingsbridge Heights                                                        "
"Immigration Services,Immigrant Support Services","Legal Assistance Program","Family Justice Center","Brooklyn","Sanctuary for Families","212-349-6009","All Ages","350 Jay Street
Brooklyn, NEW YORK 11201
(40.69351957616, -73.987264420018)","11201","40.693524","-73.987249","2","33","11","3000259","3001407501","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Immigration Services,Immigrant Support Services,NDA Programs","NDA Immigrats","Goodwill Industries of Greater New York & Northern NJ, Refugee and Immigrant Services (Program Site 1)","Brooklyn","Goodwill Industries of Greater New York","718- 339-0939 ","Adult","1416 Avenue
M Brooklyn, NEW YORK 11230
(40.617899964727, -73.960775041287)","11230","40.617962","-73.960396","14","48","768","3180877","3067430006","Midwood                                                                    "
"Immigration Services,Immigrant Support Services","Legal Assistance Program","York College Immigration     Center ? CUNY ","Queens","Research Foundation of CUNY","718-262-2983","All Ages","20 Guy R Brewer Blvd
Queens, NEW YORK 11451
(40.702594999759, -73.795623000401)",,,,,,,,,
"Immigration Services,Immigrant Support Services","Services - Immigrant Families","Cabrini Immigrant Services (Admin & Activity site)","Manhattan","Cabrini Center for Nursing & Rehabilitation","212.791.4590","18+","139 Henry Street
Manhattan, NEW YORK 10002
(40.713327031343, -73.990782134708)","10002","40.713339","-73.990755","3","1","6","1003565","1002830016","Lower East Side                                                            "
"Immigration Services,Immigrant Support Services","Legal Services - Immigrant Youth","Legal Aid - Juvenile Rights Division","Manhattan","The Legal Aid Society","212.577.3328","20-May","199 Water Street
Manhattan, NEW YORK 10038
(40.70708573646, -74.004631693959)","10038","40.70727","-74.004314","1","1","1502","1001162","1000747501","Battery Park City-Lower Manhattan                                          "
"Immigration Services,Immigrant Support Services","Legal Assistance Program","CAMBA","Brooklyn","CAMBA, Inc.","718-940-6311 ","All Ages","2211 Church Av
Brooklyn, NEW YORK 11226
(40.650446866784, -73.95854532388)","11226","40.650424","-73.958175","14","40","79602","3116881","3050890071","Prospect Lefferts Gardens-Wingate                                          "
"Immigration Services,Immigrant Support Services","Services - Immigrant Families","Harbor Heights Middle School - Children's Arts & Science","Manhattan","Children's Arts & Science Workshops, Inc.","212-923-7766","All Ages","549 Audubon Avenue
Manhattan, NEW YORK 10040
(40.856389753647, -73.92672451122)","10040","40.855954","-73.927051","12","10","277","1076751","1021600018","Washington Heights North                                                   "
"Immigration Services,Immigrant Support Services","Immigrant/Refugee Assistance","Henry Street Settlement - Workforce Development Center ","Manhattan","Henry Street Settlement, Inc. ","212.766.9200","ESOL/Civics","99 Essex Street
Manhattan, NEW YORK 10002
(40.7184474156, -73.988301222787)","10002","40.718943","-73.988012","3","1","18","1087565","1004100064","Chinatown                                                                  "
"Immigration Services,Immigrant Support Services","Legal Assistance Program","St.Cecilia's Community Center ","Manhattan","Catholic Charities Community Service, Archdiocese of N Y","212-348-0488","All Ages","125 105th Street
Manhattan, NEW YORK 10029
(40.791904392878, -73.9475075401)",,,,,,,,,
"Immigration Services,Immigrant Support Services","Immigrant/Refugee Assistance","Make the Road New York ","Queens","Make the Road New York","718.565.8500","ESOL/Civics","49 06 Skillman Avenue
Queens, NEW YORK 11377
(40.745193764481, -73.90484714408)","11377","40.74622","-73.915056","2","26","25301","4001161","4001340027","Hunters Point-Sunnyside-West Maspeth                                       "
"Immigration Services,Immigrant Support Services,NDA Programs","NDA Immigrants","Make the Road New York","Jackson Heights","Make the Road New York","718-418-7690 X 205 ","Adult","92 10 Roosevelt Avenue Jackson Heights
NEW YORK,  13372
(40.751979000031, -73.882823999928)","11372","40.748623","-73.874487","4","21","469","4038783","4015500020","Elmhurst                                                                   "
"Immigration Services,Immigrant Support Services","Legal Services - Immigrant Youth","Urban Justice Center at the Ali Forney Center","Manhattan","Urban Justice Center","646-602-5633","20-May","527 22nd Street
Manhattan, NEW YORK 10011
(40.747399723922, -74.005525621935)",,,,,,,,,
"Immigration Services,Immigrant Support Services","Services - Immigrant Families","Big Brothers/Big Sisters, Inc. (Activity Site)","Brooklyn","Big Brothers/Big Sisters, Inc.","212.994.7742","14-Nov","280 Shepherd Avenue
Brooklyn, NEW YORK 11208
(40.677730884418, -73.881738314856)","11208","40.677725","-73.881715","5","37","1168","3327121","3039720012","East New York                                                              "
"Immigration Services,Immigrant Support Services","Immigrant/Refugee Assistance","Southside Community Mission","Brooklyn","Southside Community Mission, Inc.","718.782.8181 or 718.387.6052 ","ESOL/Civics","250 Hooper Street
Brooklyn, NEW YORK 11211
(40.705817851705, -73.955664076834)","11211","40.705898","-73.955611","1","33","529","3379706","3022070002","Williamsburg                                                               "
"Immigration Services,Immigrant Support Services","Services - Immigrant Families","Goodwill Industries Greater NY-NJ (Admin & Activity site)","Brooklyn","Goodwill Industries of Greater New York","718.339.0937","11+","1416 Avenue
Brooklyn, NEW YORK 11230
(40.621929510239, -73.965511060187)",,,,,,,,,
"Immigration Services,Immigrant Support Services","Domestic Violence Program","The Child Center of NY ? WIA Office","Jamaica","Safe Space","212.206.3440 ext. 237","All Ages","163 18 Jamaica Av
Jamaica, NEW YORK 11432
(40.71311535449, -73.792820999789)","11432","40.704799","-73.796524","12","27","44601","4216197","4101510007","Jamaica                                                                    "
"Immigration Services,Immigrant Support Services","Services - Immigrant Families","New Immigrant Community Empowerment (NICE) (Admin & Activity site)","Queens","New Immigrant Community Empowerment (NICE)","718.205.8796","18+","37 41 77th Street
Queens, NEW YORK 10302
(40.630833311108, -74.137734298699)","11372","40.748031","-73.888838","3","25","287","4029910","4012880060","Jackson Heights                                                            "
"Immigration Services,Immigrant Support Services","Legal Assistance Program","Crown Heights Community Mediation","Brooklyn","The Legal Aid Society","212-577-3292 ","All Ages","256 Kingston Avenue
Brooklyn, NEW YORK 11213
(40.670799258574, -73.942093182549)","11213","40.6708","-73.942077","8","35","339","3032463","3012570074","Crown Heights North                                                        "
"Immigration Services,Immigrant Support Services,NDA Programs","NDA Immigrants","Northern Manhattan Improvement Corporation (NMIC)","Manhattan","Northern Manhattan              Improvement Corporation","212-822-8300","All Ages","76 Wadsworth Avenue
Manhattan, NEW YORK 10033
(40.847051676059, -73.937044724943)","10033","40.847012","-73.93704","12","10","263","1063574","1021450051","Washington Heights South                                                   "
"Immigration Services,Immigrant Support Services","Services - Immigrant Families","Center for Integration and Advancement of New Americans (CIANA)","Queens","New Immigrant Community Empowerment (NICE)","718.545.4040","All Ages","31 09 Newtown Avenue
Queens, NEW YORK 11102
(40.771524024514, -73.926435450735)","11102","40.767493","-73.920661","1","22","71","4536739","4006190020","Old Astoria                                                                "
"Immigration Services,Immigrant Support Services","Legal Services - Immigrant Youth","Peter Cicchino Youth Project (PCYP)","Manhattan","Urban Justice Center","646-602-5633","20-May","123 William Street
Manhattan, NEW YORK 10038
(40.709091224585, -74.006906978693)","10038","40.709112","-74.006889","1","1","1502","1079063","1000780004","Battery Park City-Lower Manhattan                                          "
"Immigration Services,Immigrant Support Services","Domestic Violence Program","Edith and Carl Marks Jewish Community House of Bensonhurst","Brooklyn","New York Legal Assistance Group (NYLAG)","212.613.5000","All Ages","7802 Bay Parkway
Brooklyn, NEW YORK 11214
(40.606424326706, -73.989192742721)","11214","40.606369","-73.989235","11","44","270","3162352","3062640030","Bensonhurst West                                                           "
"Immigration Services,Immigrant Support Services,NDA Programs","NDA Immigrants","Citizens Advice Bureau - Immigration Assistance Center","Bronx","Citizens Advice Bureau","718-365-0910","All Ages","1477 Townsend Ave
Bronx, NEW YORK 10452
(40.841513488175, -73.91566203729)","10452","40.841504","-73.915639","4","14","223","2098821","2028440021","West Concourse                                                             "
"Immigration Services,Immigrant Support Services","Immigrant/Refugee Assistance","Jackson Heights Program","Queens","Queens Community House, Inc.","718.592.5757 or 718.898.7461","Adult","74 09 37th Avenue (Jackson Heights
Queens, NEW YORK 11372
(40.751630739367, -73.883612545283)","11372","40.748992","-73.891561","3","25","289","4029563","4012740035","Jackson Heights                                                            "
"Immigration Services,Immigrant Support Services","Domestic Violence Program","Bronx Neighborhood Office, Legal Aid Society","Bronx","The Legal Aid Society","718.991.4758","Adult","953 Southern Blvd
Bronx, NEW YORK 10459
(40.821386978766, -73.891682337351)","10459","40.82148","-73.891688","2","17","159","2005787","2027240186","Hunts Point                                                                "
"Immigration Services,Immigrant Support Services","Services - Immigrant Families","JFK High School - Children's Arts & Science","Bronx","Children's Arts & Science Workshops, Inc.","212-923-7766","All Ages","99 Terrace View Avenue
Bronx, NEW YORK 10463
(40.877210772674, -73.91213621129)","10463","40.877105","-73.912256","8","10","309","1064532","1022150080","Marble Hill-Inwood                                                         "
"Immigration Services,Immigrant Support Services,NDA Programs","NDA Immigrants","Make the Road New York","Staten Island","Make the Road New York","718-727-1222 718 418-7690 X 205 ","Adult","479 Port Richmond Avenue Staten Island
NEW YORK,  10302
(40.630934529097, -74.139014649681)","10302","40.630818","-74.139187","1","49","213","5024824","5010490005","Port Richmond                                                              "
"Immigration Services,Immigrant Support Services","Legal Assistance Program","LaGuardia Community College Immigration Center - CUNY","Queens","Research Foundation of CUNY","718-482-5139","All Ages","166 Queens
NEW YORK,  11101
(40.745702449808, -73.938669029252)",,,,,,,,,
"Immigration Services,Immigrant Support Services","Services - Immigrant Families","Children's Arts & Sciences Workshops (Admin & Activity site)","Manhattan","Children's Arts & Sciences Workshops","212-923-7766","11+","686 204th Street
Manhattan, NEW YORK 10034
(40.867820783176, -73.92367507748)",,,,,,,,,
"Immigration Services,Immigrant Support Services","Legal Assistance Program","Washington Heights Ecumenical Food Pantry (WHEFP)","Manhattan","Catholic Charities Community Service, Archdiocese of N Y","212-419-3700","All Ages","4111 Broadway
Manhattan, NEW YORK 10033
(40.84516033875, -73.938788841624)","10033","40.845128","-73.938763","12","10","263","1063501","1021420133","Washington Heights South                                                   "
"Immigration Services,Immigrant Support Services","Domestic Violence Program","New York Legal Assistance Group (NYLAG)","Manhattan","New York Legal Assistance Group (NYLAG)","212.613.5000","All Ages","450 33rd St
Manhattan, NEW YORK 10001
(40.75347794566, -73.998646928717)",,,,,,,,,
"Immigration Services,Immigrant Support Services","Legal Services - Immigrant Youth","Urban Justice Center at the Hetrick Martin Institute ","Manhattan","Urban Justice Center","646.602.5633","20-May","2 Astor Place
Manhattan, NEW YORK 10003
(40.730049721308, -73.992789944984)","10003","40.730038","-73.992632","2","2","57","1080092","1005450026","West Village                                                               "
"Immigration Services,Immigrant Support Services","Legal Services - Immigrant Youth","The Door","Manhattan","The Door - A Center of Alternatives","212-941-9090 ext. 3280","20-May","121 6th Avenue
Manhattan, NEW YORK 10013
(40.723983997391, -74.004649680399)","10013","40.723903","-74.00469","2","3","37","1083493","1004777501","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"Immigration Services,Immigrant Support Services","Legal Assistance Program","Citizens Advice Bureau - Immigration Assistance Center","Bronx","Citizens Advice Bureau","718- 293-0727","All Ages","2070 Grand
Concourse Bronx, NEW YORK 10457
(40.853090592091, -73.902808775875)","10457","40.853222","-73.902947","5","15","23502","2013631","2031560009","Mount Hope                                                                 "
"Immigration Services,Immigrant Support Services","Services - Immigrant Families","Make the Road New York (Admin & Activity site)","Staten Island","Make the Road New York","718.565.8500 718.727.1222","18+","479 Port Richmond Av Staten Island
NEW YORK,  10302
(40.630934529097, -74.139014649681)","10302","40.630818","-74.139187","1","49","213","5024824","5010490005","Port Richmond                                                              "
"Immigration Services,Immigrant Support Services,NDA Programs","NDA Immigrants","Goodwill Industries of NY & Northern NJ, Refugee and Immigrant Services (Program Site 2)","Brooklyn","Goodwill Industries of Greater New York","718-339-0939 ","Adult","1222 Avenue
M Brooklyn, NEW YORK 11230
(40.61772526252, -73.962279929501)","11230","40.617702","-73.962525","14","48","768","3180783","3067410006","Midwood                                                                    "
"Immigration Services,Immigrant Support Services","Immigrant/Refugee Assistance","Make the Road New York-Jackson Heights Center","Queens","Make the Road New York","718.565.8500","ESOL/Civics","71 24 Roosevelt Avenue
Queens, NEW YORK 11372
(40.751630739367, -73.883612545283)","11372","40.746551","-73.894199","4","25","265","4459321","4013030009","Elmhurst-Maspeth                                                           "
"Immigration Services,Immigrant Support Services","Legal Assistance Program","Queens Family Justice Center","Kew Gardens","Sanctuary for Families","212-349-6009 ","All Ages","126 02 82nd Ave Kew Gardens
NEW YORK,  11415
(40.708286075142, -73.828556121568)","11415","40.713732","-73.826122","9","29","216","4458616","4096530001","Kew Gardens                                                                "
"Immigration Services,Immigrant Support Services","Domestic Violence Program","Jewish Board of Family and Children Services - Horizons","Brooklyn","New York Legal Assistance Group (NYLAG)","212.613.5098","Adult","060280 Brooklyn
NEW YORK,  11206
(40.701912016826, -73.942379198541)",,,,,,,,,
"Immigration Services,Immigrant Support Services","Legal Assistance Program","The Lower Manhattan Neighborhood Office","Manhattan","The Legal Aid Society","212-577-3292 ","All Ages","199 Water Street
Manhattan, NEW YORK 10038
(40.70708573646, -74.004631693959)","10038","40.70727","-74.004314","1","1","1502","1001162","1000747501","Battery Park City-Lower Manhattan                                          "
"Immigration Services,Immigrant Support Services","Immigrant/Refugee Assistance","Jackson Heights-Elmhust Kehilah","Queens","Jackson Heights-Elmhust Kehilah, Inc.","718.457.4591","ESOL/Civics","33 47 91st Street (Jackson Heights
Queens, NEW YORK 11372
(40.751630739367, -73.883612545283)","11372","40.755586","-73.876834","3","25","275","4431407","4014390001","Jackson Heights                                                            "
"Immigration Services,Immigrant Support Services","Legal Assistance Program","Flushing Immigration Center - CUNY","Queens","Research Foundation of CUNY","718-640-9223","All Ages","39 07 Prince St
Queens, NEW YORK 11354
(40.768620220647, -73.827190280707)","11354","40.759543","-73.832255","7","20","871","4112321","4049767501","Flushing                                                                   "
"Immigration Services,Immigrant Support Services","Immigrant/Refugee Assistance","Jay Senior Center","Brooklyn","Shorefront Jewish Community Council","718.743.0575","Adult","2600 Ocean Avenue
Brooklyn, NEW YORK 11229
(40.598089925354, -73.951269838066)","11229","40.598158","-73.951186","15","48","578","3199766","3073520032","Madison                                                                    "
"Immigration Services,Immigrant Support Services","Immigrant/Refugee Assistance","COJO Flatbush","Brooklyn","Council of Jewish Organizations of Flatbush (COJO)","718.377.2900","Adult","1550 Coney Island Avenue
Brooklyn, NEW YORK 11230
(40.619697574375, -73.964314154293)","11230","40.619517","-73.964188","12","44","454","3171988","3065460011","Ocean Parkway South                                                        "
"Immigration Services,Immigrant Support Services","Domestic Violence Program","Kensington Self-Help ","Brooklyn","New York Legal Assistance Group (NYLAG)","212-613-5000","All Ages","419 Church Ave
Brooklyn, NEW YORK 11218
(40.64409707953, -73.976409726458)","11218","40.644278","-73.975947","12","39","496","3124649","3053370027","Kensington-Ocean Parkway                                                   "
