"manhattan_cooperatives_comparable_properties_boro_block_lot","manhattan_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","manhattan_cooperatives_comparable_properties_neighborhood","manhattan_cooperatives_comparable_properties_building_classification","manhattan_cooperatives_comparable_properties_total_units","manhattan_cooperatives_comparable_properties_year_built","manhattan_cooperatives_comparable_properties_gross_sqft","manhattan_cooperatives_comparable_properties_est_gross_income","manhattan_cooperatives_comparable_properties_gross_income_per_sqft","manhattan_cooperatives_comparable_properties_full_market_value","manhattan_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_est_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_dist_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_est_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_dist_from_coop_in_miles"
"1-01204-0001","621 COLUMBUS AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10024","40.789189","-73.970189","7","6","177","1031595","1012040001","Upper West Side                                                            ","UPPER WEST SIDE (79-96)","D4-ELEVATOR","183","1970","221587","4416228","19.93","20100000","91","1-01675-0011","324 104 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","HARLEM-EAST","D1-ELEVATOR","100","1971","49203","792168","16.1","2240000","45.5","1.4","1-01740-0007","646 LENOX AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","HARLEM-CENTRAL","D1-ELEVATOR","134","1970","129386","1173531","9.07","3310000","25.6","2.65"
"1-01993-0023","3117 BROADWAY
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10027","40.812961","-73.960287","9","7","211","1059839","1019930023","Morningside Heights                                                        ","MORNINGSIDE HEIGHTS","D4-ELEVATOR","60","1940","60642","1152198","19","4690000","77","1-01962-0038","1201 AMSTERDAM AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","MORNINGSIDE HEIGHTS","D6-ELEVATOR","120","1912","87271","1870130","21.43","8360000","96","0.35","1-01990-0040","468 RIVERSIDE DRIVE
Manhattan, NY 
(40.749883999647, -73.987976999939)","MORNINGSIDE HEIGHTS","D3-ELEVATOR","39","1910","67518","1228538","18.2","5000000","74","0.3"
"1-00770-0059","234 21 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"CHELSEA","D4-ELEVATOR","35","1913","32718","830000","25.4","3710000","113","1-00909-0043","220 29 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","MURRAY HILL","D9-ELEVATOR","82","1910","41094","1288032","31.3","6240000","152","1","1-01406-0054","993 LEXINGTON AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (59-79)","D7-ELEVATOR","39","1914","73396","2431171","33.1","11800000","161","2.65"
"1-02117-0012","566 159 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"WASHINGTON HEIGHTS LOWER","D4-ELEVATOR","28","1913","23538","291635","12.39","824000","35","1-02122-0052","3890 BROADWAY
Manhattan, NY 
(40.749883999647, -73.987976999939)","WASHINGTON HEIGHTS LOWER","D7-ELEVATOR","42","1910","48233","536350","11.12","1890000","39.2","0.2","1-02139-0335","725 172 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","WASHINGTON HEIGHTS LOWER","D1-ELEVATOR","48","1920","44156","633069","14.34","2510000","57","0.8"
"1-01995-0001","550 RIVERSIDE DRIVE
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10027","40.815961","-73.960318","9","7","211","1059880","1019950001","Morningside Heights                                                        ","MORNINGSIDE HEIGHTS","D4-ELEVATOR","50","1926","58560","761280","13","2860000","48.8","1-01962-0026","414 119 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","MORNINGSIDE HEIGHTS","D7-ELEVATOR","57","1925","54100","699833","12.94","2630000","48.6","0.55","1-01990-0052","456 RIVERSIDE DRIVE
Manhattan, NY 
(40.749883999647, -73.987976999939)","MORNINGSIDE HEIGHTS","D3-ELEVATOR","47","1911","47327","692211","14.63","2740000","58","0.55"
"1-00796-0007","147 20 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"CHELSEA","D4-ELEVATOR","61","1938","57606","1450000","25.2","6480000","112","1-00860-0015","118 MADISON AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","MURRAY HILL","D5-ELEVATOR","13","1920","34545","871000","25.2","3890000","113","0.6","1-01517-0020","1327 LEXINGTON AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (79-96)","D6-ELEVATOR","97","1927","87192","2385489","27.4","11600000","133","3.45"
"1-01196-0013","35 82 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER WEST SIDE (79-96)","D4-ELEVATOR","29","1912","33102","890112","26.9","4310000","130","1-01229-0006","265 81 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (79-96)","D3-ELEVATOR","36","1900","41137","1106276","26.9","5360000","130","0.4","1-01246-0053","350 85 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (79-96)","D2-ELEVATOR","54","1908","35094","863127","24.59","3860000","110","0.5"
"1-01208-0052","46 95 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER WEST SIDE (79-96)","D4-ELEVATOR","38","1923","39941","768065","19.23","3430000","86","1-01248-0037","302 87 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (79-96)","D9-ELEVATOR","54","1914","47067","904931","19.23","4040000","86","0.65","1-01229-0006","265 81 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (79-96)","D3-ELEVATOR","36","1900","41137","1106276","26.9","5360000","130","0.75"
"1-01197-0005","71 83 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER WEST SIDE (79-96)","C6-WALK-UP","12","1900","11000","356070","32.4","1730000","157","1-01200-0152","46 87 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (79-96)","C5-WALK-UP","13","1910","8861","286818","32.4","1390000","157","0.15","1-01195-0062","76 82 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (79-96)","C1-WALK-UP","12","1900","14065","399100","28.4","1930000","137","0.1"
"1-01567-0040","414 88 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER EAST SIDE (79-96)","C6-WALK-UP","19","1910","8465","262330","31","1270000","150","1-01555-0017","329 92 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (79-96)","C1-WALK-UP","20","1925","10100","346343","34.3","1740000","172","0.3","1-01562-0030","432 83 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (79-96)","C1-WALK-UP","20","1930","8345","256858","30.8","1240000","149","0.25"
"1-01241-0052","2511 BROADWAY
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10025","40.793084","-73.972939","7","6","179","1033653","1012410052","Upper West Side                                                            ","UPPER WEST SIDE (79-96)","D4-ELEVATOR","150","1925","280809","5958766","21.22","26600000","95","1-01244-0072","441 END AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (79-96)","D5-ELEVATOR","103","1926","240040","5094264","21.22","22800000","95","0.6","1-01234-0019","2360 BROADWAY
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (79-96)","D6-ELEVATOR","218","1920","665741","17605074","26.4","85300000","128","0.35"
"1-01011-0042","120 CENTRAL PARK
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10000","40.782295","-73.965126","64","6","143","1000000","1011110001","park-cemetery-etc-Manhattan                                                ","MIDTOWN WEST","D4-ELEVATOR","119","1941","98493","2954790","30","14300000","145","1-01006-0063","162 54 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","MIDTOWN WEST","D6-ELEVATOR","83","1911","98616","3544138","35.9","17800000","180","0.25","1-01274-0006","39 58 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","MIDTOWN WEST","D6-ELEVATOR","338","1948","269346","11775997","43.7","59200000","220","0.15"
"1-01007-0054","146 55 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"MIDTOWN WEST","D4-ELEVATOR","61","1923","75600","2116800","28","10300000","136","1-01007-0001","841 7 AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","MIDTOWN WEST","D7-ELEVATOR","59","1923","85309","2470051","29","12000000","141","0","1-01008-0026","105 55 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","MIDTOWN WEST","D7-ELEVATOR","55","1917","54838","1635839","29.8","7930000","145","0.05"
"1-01509-0051","140 81 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER EAST SIDE (79-96)","D4-ELEVATOR","91","1928","109157","2947239","27","14300000","131","1-01508-0001","903 PARK AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (79-96)","D3-ELEVATOR","70","1913","113281","2967928","26.2","14400000","127","0.1","1-01447-0005","311 72 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (59-79)","D9-ELEVATOR","131","1929","121234","3075692","25.4","13700000","113","0.5"
"1-00543-0052","141 MAC DOUGAL STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10012","40.730955","-73.99969","2","1","65","1008759","1005430052","West Village                                                               ","GREENWICH VILLAGE-CENTRAL","C6-WALK-UP","12","1900","13070","482283","36.9","2420000","185","1-00553-0011","58 8 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","GREENWICH VILLAGE-CENTRAL","C7-WALK-UP","32","1900","23897","970230","40.6","4880000","204","0.2","1-00540-0009","120 MAC DOUGAL STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","GREENWICH VILLAGE-CENTRAL","C7-WALK-UP","28","1910","13618","452396","33.2","2190000","161","0.05"
"1-02108-0077","1987 AMSTERDAM AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10032","40.833725","-73.941393","12","7","239","1062524","1021080077","Washington Heights South                                                   ","WASHINGTON HEIGHTS LOWER","C6-WALK-UP","24","1910","17466","261640","14.98","739000","42.3","1-02123-0100","501 167 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","WASHINGTON HEIGHTS LOWER","C7-WALK-UP","21","1907","16752","250864","14.98","994000","59","0.45","1-02126-0030","85 AUDUBON AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","WASHINGTON HEIGHTS LOWER","C7-WALK-UP","21","1911","15584","213653","13.71","847000","54","0.55"
"1-01491-0023","1033 MADISON AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10075","40.776478","-73.961998","8","4","142","1046437","1014910023","Upper East Side-Carnegie Hill                                              ","UPPER EAST SIDE (79-96)","D4-ELEVATOR","21","1925","69585","2087600","30","10100000","145","1-01513-0070","1009 PARK AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (79-96)","D9-ELEVATOR","28","1924","63167","1992742","31.5","9650000","153","0.25","1-01521-0007","115 92 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (79-96)","D3-ELEVATOR","54","1927","65692","1890742","28.8","9160000","139","0.65"
"1-01324-0011","223 50 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"MIDTOWN EAST","D4-ELEVATOR","25","1928","14852","489521","33","2370000","160","1-01388-0030","51 73 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (59-79)","D1-ELEVATOR","20","1910","12321","357600","29","1730000","140","1.2","1-01380-0014","19 65 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (59-79)","D6-ELEVATOR","19","1928","16000","590366","36.9","2970000","186","0.85"
"1-01055-0047","424 46 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"CLINTON","C6-WALK-UP","20","1910","8550","215000","25.1","961000","112","1-01063-0012","437 53 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","CLINTON","C7-WALK-UP","13","1910","8641","220088","25.5","1070000","124","0.4","1-01060-0025","411 50 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","CLINTON","C4-WALK-UP","20","1901","9675","246542","25.5","1190000","123","0.25"
"1-01498-0043","62 87 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER EAST SIDE (79-96)","D4-ELEVATOR","15","1923","10220","312700","30.6","1520000","149","1-01528-0041","212 83 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (79-96)","D9-ELEVATOR","22","1920","9740","325420","33.4","1580000","162","0.35","1-01580-0148","500 1 2 EAST 84 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (79-96)","D9-ELEVATOR","14","1910","9250","282861","30.6","1370000","148","0.75"
"1-01368-0036","430 57 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"MIDTOWN EAST","D4-ELEVATOR","60","1926","103000","2884000","28","14000000","136","1-01426-0029","242 72 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (59-79)","D6-ELEVATOR","71","1930","97750","2644309","27.1","12800000","131","0.8","1-00879-0027","143 23 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","GRAMERCY","D9-ELEVATOR","327","1928","101857","3039895","29.8","8580000","84","1.65"
"1-02108-0073","499 158 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"WASHINGTON HEIGHTS LOWER","C6-WALK-UP","30","1907","20026","323019","16.13","912000","45.5","1-02108-0056","1969 AMSTERDAM AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","WASHINGTON HEIGHTS LOWER","C7-WALK-UP","35","1920","21576","348066","16.13","1420000","66","0.05","1-02133-0013","574 176 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","WASHINGTON HEIGHTS LOWER","C1-WALK-UP","30","1913","21735","304045","13.99","1210000","56","0.9"
"1-01578-0012","519 81 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER EAST SIDE (79-96)","C6-WALK-UP","20","1910","8320","258918","31.1","1250000","150","1-01507-0025","53 95 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (79-96)","C1-WALK-UP","18","1920","17580","574501","32.7","2780000","158","1","1-01562-0030","432 83 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (79-96)","C1-WALK-UP","20","1930","8345","256858","30.8","1240000","149","0.15"
"1-01395-0029","163 60 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER EAST SIDE (59-79)","D4-ELEVATOR","21","1930","25698","691276","26.9","3350000","130","1-00582-0020","60 LEROY STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","GREENWICH VILLAGE-WEST","D1-ELEVATOR","37","1941","22242","598303","26.9","2900000","130","3.05","1-01406-0007","115 71 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (59-79)","D1-ELEVATOR","30","1966","17930","496227","27.7","2400000","134","0.55"
"1-01120-0057","60 68 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER WEST SIDE (59-79)","D4-ELEVATOR","73","1920","61908","2625518","42.4","13200000","213","1-01170-0012","2200 BROADWAY
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (59-79)","D6-ELEVATOR","117","1905","202586","5298502","26.2","25700000","127","0.65","1-01127-0061","313 COLUMBUS AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (59-79)","D9-ELEVATOR","50","1900","52388","2221907","42.4","11200000","214","0.35"
"1-01517-0014","123 88 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER EAST SIDE (79-96)","C6-WALK-UP","15","1910","9860","325380","33","1580000","160","1-01469-0031","438 75 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (59-79)","C4-WALK-UP","26","1910","12276","430663","35.1","2170000","177","0.85","1-01514-0058","128 86 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (79-96)","C7-WALK-UP","14","1915","11925","380133","31.9","1840000","154","0.15"
"1-01217-0064","541 AMSTERDAM AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10024","40.787831","-73.974895","7","6","173","1032218","1012170064","Upper West Side                                                            ","UPPER WEST SIDE (79-96)","D4-ELEVATOR","89","1918","117216","2513111","21.44","11200000","96","1-01200-0015","27 86 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (79-96)","D3-ELEVATOR","64","1926","126045","2702738","21.44","12100000","96","0.15","1-01200-0025","5 86 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (79-96)","D3-ELEVATOR","85","1937","116021","2804001","24.17","12500000","108","0.15"
"1-00623-0055","281 11 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"GREENWICH VILLAGE-WEST","C6-WALK-UP","20","1910","11592","394128","34","1980000","171","1-00619-0069","228 4 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","GREENWICH VILLAGE-WEST","C7-WALK-UP","17","1905","10437","432212","41.4","2170000","208","0.2","1-00635-0040","119 BANK STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","GREENWICH VILLAGE-WEST","C4-WALK-UP","20","1901","9505","373010","39.2","1880000","198","0.15"
"1-01867-0060","54 MORNINGSIDE DRIVE
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10025","40.805816","-73.95958","9","7","20101","1056053","1018670060","Morningside Heights                                                        ","UPPER WEST SIDE (96-116)","D4-ELEVATOR","25","1925","38334","1066451","27.8","5170000","135","1-01869-0006","251 97 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (96-116)","D1-ELEVATOR","54","1910","35886","873785","24.35","3900000","109","0.9","1-01874-0022","2680 BROADWAY
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (96-116)","D7-ELEVATOR","27","1910","37816","1183423","31.3","5730000","152","0.65"
"1-00632-0045","731 GREENWICH STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10014","40.734973","-74.006979","2","3","75","1083545","1006320045","West Village                                                               ","GREENWICH VILLAGE-WEST","C6-WALK-UP","56","1911","23398","748736","32","3630000","155","1-00622-0001","552 HUDSON STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","GREENWICH VILLAGE-WEST","C7-WALK-UP","36","1949","15594","631417","40.5","3170000","203","0.1","1-00619-0069","228 4 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","GREENWICH VILLAGE-WEST","C7-WALK-UP","17","1905","10437","432212","41.4","2170000","208","0.15"
"1-00348-0007","110 SUFFOLK STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10002","40.71885","-73.986144","3","1","1402","1004164","1003480007","Lower East Side                                                            ","LOWER EAST SIDE","C6-WALK-UP","14","1920","11652","314604","27","1520000","130","1-00350-0020","293 HOUSTON STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","LOWER EAST SIDE","C4-WALK-UP","19","1920","11620","306836","26.4","1490000","128","0.15","1-00415-0063","81 RIVINGTON STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","LOWER EAST SIDE","C7-WALK-UP","17","1900","11415","503972","44.1","2530000","222","0.2"
