"bic_number","account_name","trade_name","application_type","application_industry","application_status","application_status_date","street","city","state","postcode","renewal_application","export_date","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"BIC-1665","J B CARTING CORP.","J B CARTING CORP.","License","Trade Waste","Denied","2005-02-10T00:00:00.000","P.O. BOX 340402","BROOKLYN","NY","11234-","False","2022-08-29T00:00:00.000",,,,,,,,,
"BIC-487686","ATLANTIC COURIERS INC.",,"CL2 - Exempt","Trade Waste","Revocation","2018-01-09T00:00:00.000","60 Davidson St","Staten Island","NY","10303-2037","False","2022-08-29T00:00:00.000","STATEN IS","40.635277","-74.163261","1","49","31902","5107182","5012560040","Mariner's Harbor-Arlington-Port Ivory-Graniteville"
"BIC-713","MECC CONTRACTING INC","MECC CONTRACTING INC","CL2 - Exempt","Trade Waste","Denied","2010-08-03T00:00:00.000","21 AUTUMN AVENUE","BROOKLYN","NY","11208-","True","2022-08-29T00:00:00.000","BROOKLYN","40.689525","-73.87154","5","37","118201","3341041","3041080004","Cypress Hills-City Line"
"BIC-139","AMANDA CARTING CORP.","AMANDA CARTING CORP.","CL2 - Exempt","Trade Waste","Denied","2010-03-18T00:00:00.000","24 CREAMER STREET","BROOKLYN","NY","11231-","False","2022-08-29T00:00:00.000","BROOKLYN","40.674239","-74.009038","6","38","53","3008768","3005900019","Carroll Gardens-Columbia Street-Red Hook"
"BIC-279","R.A.L.I. TRUCKING CORP.","R.A.L.I","License","Trade Waste","Denied","2002-06-27T00:00:00.000","43 BAILEY ROAD","MIDDLE ISLAND","NY","11953-","False","2022-08-29T00:00:00.000",,,,,,,,,
"BIC-1625","RAPID DEMOLITION CONTAINER SERVICES,INC.","RAPID DEMOLITION CONTAINER SERVICES,INC.","License","Trade Waste","Denied","2003-07-29T00:00:00.000","139 82ND STREET","BROOKLYN","NY","11209-","False","2022-08-29T00:00:00.000","BROOKLYN","40.627455","-74.034397","10","43","46","3151607","3059950071","Bay Ridge"
"BIC-2908","DIAG EXPRESS TRUCKING, LLC.","DIAG EXPRESS TRUCKING, LLC.","License","Trade Waste","Denied","2013-09-19T00:00:00.000","201 VARICK STREET SUITE 105","NEW YORK","NY","10014-","True","2022-08-29T00:00:00.000","MANHATTAN","40.728369","-74.005361","2","3","37","1009755","1005810001","SoHo-TriBeCa-Civic Center-Little Italy"
"BIC-2485","GRECO INDUSTRIES, LLC.","GRECO INDUSTRIES, LLC.","CL2 - Exempt","Trade Waste","Denied","2009-04-14T00:00:00.000","P.O. BOX 547","COLTS NECK","NJ","07722-","False","2022-08-29T00:00:00.000",,,,,,,,,
"BIC-1994","DEMO SERVICES, INC.","DEMO SERVICES","CL2 - Exempt","Trade Waste","Denied","2006-03-14T00:00:00.000","337 CHELSEA ROAD","STATEN ISLAND","NY","10314-","False","2022-08-29T00:00:00.000","STATEN IS","40.61009","-74.188727","2","50","29102",,,"New Springville-Bloomfield-Travis"
"BIC-2005","ENVIRONMENTAL ENERGY RECYCLING CORP., LLC","ENVIRONMENTAL ENERGY RECYCLING CORP., LLC","License","Trade Waste","Denied","2014-11-20T00:00:00.000","P.O. BOX 66","WIND GAP","PA","18091-","True","2022-08-29T00:00:00.000",,,,,,,,,
"BIC-582","METRO DEMOLITION CONTRACTING CORP.","METRO DEMOLITION CONTRACTING CORP.","CL2 - Exempt","Trade Waste","Denied","2007-05-08T00:00:00.000","55-14 GRAND AVENUE","MASPETH","NY","11378","True","2022-08-29T00:00:00.000","QUEENS","40.718862","-73.914045","5","30","535","4440820","4026300201","Maspeth"
"BIC-2454","STALLION RECYCLING CORP","STALLION RECYCLING CORP","License","Trade Waste","Denied","2012-06-05T00:00:00.000","20 WESTPORT LANE","STATEN ISLAND","NY","10314-","True","2022-08-29T00:00:00.000","STATEN IS","40.583826","-74.159142","2","51","27702","5110676","5024100234","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill"
"BIC-1886","EAGLE RUBBISH REMOVAL","EAGLE RUBBISH REMOVAL","CL2 - Exempt","Trade Waste","Denied","2007-05-08T00:00:00.000","748    49 STREET","BROOKLYN","NY","11220-","False","2022-08-29T00:00:00.000","BROOKLYN","40.642345","-74.004248","7","38","108","3013102","3007860025","Sunset Park East"
"BIC-493223","EMERALD CARTING SERVICES CORP",,"CL2 - Exempt","Trade Waste","Denied","2021-01-19T00:00:00.000","15 S. GREENBUSH RD","ORANGEBURG","NY","10962","True","2022-08-29T00:00:00.000",,,,,,,,,
"BIC-145","V.A. SANITATION INC.","V.A. SANITATION INC.","License","Trade Waste","Denied","1997-06-13T00:00:00.000","P.O. BOX 190 309","BROOKLYN","NY","11219","False","2022-08-29T00:00:00.000",,,,,,,,,
"BIC-3460","LA BELLA VISTA INDUSTRIES INC",,"CL2 - Exempt","Trade Waste","Denied","2017-06-27T00:00:00.000","922 EAST 59TH STREET","BROOKLYN","NY","11234","True","2022-08-29T00:00:00.000","BROOKLYN","40.6306","-73.919462","18","46","720","3000000","3077840050","Flatlands"
"BIC-3996","MUNOZ TRANSPORT LLC","MUNOZ TRANSPORT LLC","CL2 - Exempt","Trade Waste","Denied","2012-06-05T00:00:00.000","132 OVERLOOK AVENUE","BELLEVILLE","NJ","07109-","False","2022-08-29T00:00:00.000",,,,,,,,,
"BIC-1367","SUNRISE RUBBISH REMOVAL CORP","SUNRISE RUBBISH REMOVAL CORP","License","Trade Waste","Denied","2003-07-29T00:00:00.000","740 E.232 STREET APT. 2-D","BRONX","NY","10466-","True","2022-08-29T00:00:00.000","BRONX","40.892282","-73.856283","12","12","422","2093697","2048450011","Williamsbridge-Olinville"
"BIC-1169","ADVANCED WASTE SERVICES INC.","ADVANCED WASTE SERVICES INC.","License","Trade Waste","Denied","2000-12-15T00:00:00.000","2400 NATIONAL DRIVE","BROOKLYN","NY","11234-","False","2022-08-29T00:00:00.000","BROOKLYN","40.60404","-73.910501","18","46","70201","3242448","3085920084","Georgetown-Marine Park-Bergen Beach-Mill Basin"
"BIC-1767","U.S.A. RECYCLING INC.","U.S.A. RECYCLING INC.","License","Trade Waste","Denied","2006-03-14T00:00:00.000","P.O.BOX 1542 E.STATION","YONKERS","NY","10704-","True","2022-08-29T00:00:00.000",,,,,,,,,
"BIC-3708","A & A CONSTRUCTION AND MANAGEMENT CORP","A & A CONSTRUCTION AND MANAGEMENT CORP","CL2 - Exempt","Trade Waste","Denied","2013-09-19T00:00:00.000","117-23 134TH STREET","SOUTH OZONE PARK","NY","11420-","True","2022-08-29T00:00:00.000","QUEENS","40.676776","-73.805319","10","28","180","4253155","4116980053","South Ozone Park"
"BIC-1852","SAGANA INDUSTRIES INC.",,"CL2 - Exempt","Trade Waste","Revocation","2015-10-07T00:00:00.000","36-02 CRESCENT STREET","ASTORIA","NY","11105-","True","2022-08-29T00:00:00.000","QUEENS","40.758062","-73.933573","1","26","33","4004199","4003450024","Queensbridge-Ravenswood-Long Island City"
"BIC-491145","NYC TOPLINE CONSTRUCTION & MANAGEMENT INC",,"CL2 - Exempt","Trade Waste","Denied","2017-06-27T00:00:00.000","44 TOWNSEND LINE","HICKSVILLE","NY","11801","False","2022-08-29T00:00:00.000",,,,,,,,,
"BIC-258","PATANO BROTHERS, INC.","PATANO BROTHERS, INC.","License","Trade Waste","Denied","1997-12-19T00:00:00.000","3825 TENTH STREET","L.I.C.","NY","11101","False","2022-08-29T00:00:00.000","QUEENS","40.758319","-73.942759","1","26","85","4005370","4004740021","Queensbridge-Ravenswood-Long Island City"
"BIC-1440","WEST NEW YORK RESTORATION OF CT, INC.","WEST NEW YORK RESTORATION OF CT, INC.","CL2 - Exempt","Trade Waste","Denied","2010-06-28T00:00:00.000","1800 BOSTON ROAD","BRONX","NY","10460-5001","True","2022-08-29T00:00:00.000","BRONX","40.838363","-73.886092","3","17","161","2010686","2029910048","Crotona Park East"
"BIC-4647","TOM MIERS LANDSCAPING LIMITED LIABILITY COMPANY",,"CL1","Trade Waste","Denied","2015-11-09T00:00:00.000","31 BEAR STREET","STATEN ISLAND","NY","10304-","False","2022-08-29T00:00:00.000","STATEN IS","40.592771","-74.094499","2","50","9602","5048537","5032960029","Old Town-Dongan Hills-South Beach"
"BIC-4276","RJB CONTRACTING CORP.","RJB CONTRACTING CORP.","CL2 - Exempt","Trade Waste","Denied","2016-06-22T00:00:00.000","29 SPRINGBROOK LANE","HILLSDALE","NY","12529-","False","2022-08-29T00:00:00.000",,,,,,,,,
"BIC-2930","D & E TOP SOIL & TRUCKING INC.","D & E TOP SOIL & TRUCKING INC.","CL2 - Exempt","Trade Waste","Denied","2010-03-18T00:00:00.000","66-01 BURNS STREET","FOREST HILLS","NY","11374-","False","2022-08-29T00:00:00.000","QUEENS","40.723789","-73.858205","6","29","711","4074625","4031550001","Forest Hills"
"BIC-2765","FRANK LIQUORI PLUMBING & HEATING, INC.","FRANK LIQUORI PLUMBING & HEATING, INC.","CL2 - Exempt","Trade Waste","Denied","2008-06-24T00:00:00.000","2173 GULF AVENUE","STATEN ISLAND","NY","10303-","False","2022-08-29T00:00:00.000","STATEN IS","40.62872","-74.184522","2","50","29102","5113284","5018650089","New Springville-Bloomfield-Travis"
"BIC-4574","HARMAN CONTRACTING INC.","HARMAN CONTRACTING INC.","CL2 - Exempt","Trade Waste","Denied","2015-06-22T00:00:00.000","701 OCEAN VIEW AVENUE","BROOKLYN","NY","11235-","False","2022-08-29T00:00:00.000","BROOKLYN","40.579785","-73.961221","13","48","364","3244485","3086670725","Brighton Beach"
"BIC-3687","INFINITY PLUS","KIM S. GIBBS","CL2 - Exempt","Trade Waste","Denied","2013-01-14T00:00:00.000","30-32 WEST 141ST STREET","NEW YORK","NY","10037-","False","2022-08-29T00:00:00.000","MANHATTAN","40.816759","-73.935407","10","9","214","1083989","1017370025","Central Harlem North-Polo Grounds"
"BIC-4023","EXPRESS WASTE SERVICES, L.L.C.",,"CL2 - Exempt","Trade Waste","Denied","2015-03-06T00:00:00.000","614 FRELINGHUYSEN AVENUE","NEWARK","NJ","07114-","True","2022-08-29T00:00:00.000",,,,,,,,,
"BIC-1428","CITY WIDE WASTE SERVICES","CITY WIDE WASTE SERVICES","License","Trade Waste","Denied","2004-03-23T00:00:00.000","429 SPRINGFIELD AVENUE","WESTFIELD","NJ","07090-","False","2022-08-29T00:00:00.000",,,,,,,,,
"BIC-849","H.J. MCGRAW & SONS INC.","H.J. MCGRAW & SONS INC.","License","Trade Waste","Denied","1998-10-02T00:00:00.000","P.O. BOX 295 TIMES SQUARE STATION","NEW YORK","NY","10108","False","2022-08-29T00:00:00.000",,,,,,,,,
"BIC-2409","ABSTRACT EQUIPMENT INC.","ABSTRACT EQUIPMENT INC.","CL2 - Exempt","Trade Waste","Denied","2008-01-29T00:00:00.000","125 HALF MILE RD STE.200","REDBANK","NJ","07707-","False","2022-08-29T00:00:00.000",,,,,,,,,
"BIC-4356","FOUR SEASONS LANDSCAPING & DESIGNS CORP.","FOUR SEASONS LANDSCAPING & DESIGNS CORP.","CL1","Trade Waste","Denied","2015-06-22T00:00:00.000","19-17 149TH STREET","WHITESTONE","NY","11357-","False","2022-08-29T00:00:00.000","QUEENS","40.782026","-73.816866","7","19","1039","4105893","4046690007","Whitestone"
"BIC-2324","PEBBLE ROCK, LTD.","PEBBLE ROCK, LTD.","CL2 - Exempt","Trade Waste","Denied","2007-05-08T00:00:00.000","476 STAFFORD AVENUE","STATEN ISLAND","NY","10312-","False","2022-08-29T00:00:00.000","STATEN IS","40.543449","-74.193648","3","51","17009","5081277","5063170003","Arden Heights"
"HPA-14","RIVER PRODUCE CORP",,"Public Wholesale Market","Markets","Denied","2011-08-02T00:00:00.000","104 TIER STREET","BRONX","NY","10464","False","2022-08-29T00:00:00.000","BRONX","40.848116","-73.789153","10","13","516","2098724","2056330148","Pelham Bay-Country Club-City Island"
"BIC-4366","LUNA LIGHTING, INC.","LUNA LIGHTING, INC.","CL2 - Exempt","Trade Waste","Denied","2013-05-15T00:00:00.000","203 MESEROLE AVE.","BROOKLYN","NY","11222-","False","2022-08-29T00:00:00.000","BROOKLYN","40.728643","-73.948045","1","33","573","3065441","3026020024","Greenpoint"
"BIC-1645","KARTA CORP.","KARTA CORP.","License","Trade Waste","Denied","2005-09-29T00:00:00.000","P.O. BOX 2391","PEEKSKILL","NY","10566-","False","2022-08-29T00:00:00.000",,,,,,,,,
"BIC-4263","C. I. CONTRACTING CORP.","C. I. CONTRACTING CORP.","CL2 - Exempt","Trade Waste","Denied","2013-01-14T00:00:00.000","459 CITY ISLAND AVE","BRONX","NY","10464-","False","2022-08-29T00:00:00.000","BRONX","40.851142","-73.788467","10","13","516","2096039","2056340019","Pelham Bay-Country Club-City Island"
"BIC-4439","LANDSOURCE CONTAINER SERVICE INC.",,"CL2 - Exempt","Trade Waste","Denied","2015-06-22T00:00:00.000","8 A LEAHY AVENUE","BRENTWOOD","NY","11717-","False","2022-08-29T00:00:00.000",,,,,,,,,
"BIC-4497","MDC SERVICES, INC.",,"CL2 - Exempt","Trade Waste","Denied","2017-03-31T00:00:00.000","C/O COMPOSTO & FELICIA LLC 1682-86TH ST.","BROOKLYN","NY","11214-","True","2022-08-29T00:00:00.000",,,,,,,,,
"BIC-3477","PJF TRUCKING LLC","PJF TRUCKING LLC","CL2 - Exempt","Trade Waste","Denied","2013-06-24T00:00:00.000","888 WESTFIELD AVENUE APT 3C","ELIZABETH","NJ","07208-","True","2022-08-29T00:00:00.000",,,,,,,,,
"BIC-482034","FOUR SEASONS LANDSCAPING & GUTTER CLEANING MAINTENANCE CORP.","FOUR SEASONS LANDSCAPING & GUTTER CLEANING MAINTENANCE CORP.","CL1","Trade Waste","Denied","2015-11-09T00:00:00.000","7-24 166TH STREET 6A","WHITESTONE","NY","11357","False","2022-08-29T00:00:00.000","QUEENS","40.793804","-73.797523","7","19","991","4104144","4045880038","Whitestone"
"BIC-4579","J C TREE CARE NY CORP.","J C TREE CARE NY CORP.","CL1","Trade Waste","Denied","2014-06-02T00:00:00.000","60-61 70TH AVE","RIDGEWOOD","NY","11385-","False","2022-08-29T00:00:00.000","QUEENS","40.702212","-73.896549","5","30","583","4085269","4035360046","Ridgewood"
"BIC-57","A-1 MEDICAL WASTE REMOVAL INC.","A-1 MEDICAL WASTE REMOVAL INC.","License","Trade Waste","Denied","1999-06-25T00:00:00.000","60 HUNT LANE","STATEN ISLAND","NY","10304","False","2022-08-29T00:00:00.000","STATEN IS","40.600089","-74.109494","2","50","177","5022856","5008810305","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill"
"BIC-4485","NEW YORK CONSTRUCTION 69 CO., INC.","JB GENERAL CONTRACTING","CL2 - Exempt","Trade Waste","Denied","2018-02-20T00:00:00.000","100-02 ATLANTIC AVE","OZONE PARK","NY","11416-","True","2022-08-29T00:00:00.000","QUEENS","40.689527","-73.843977","9","28","114","4196971","4093760001","Richmond Hill"
"BIC-677","C & A ENVIRONMENTAL CORP.","C & A ENVIRONMENTAL CORP.","CL2 - Exempt","Trade Waste","Denied","2000-05-19T00:00:00.000","380 SALEM ROAD","VALLEY STREAM","NY","11580","False","2022-08-29T00:00:00.000",,,,,,,,,
"BIC-342","CARBONE CARTING CO INC.","CARBONE CARTING CO. INC.","License","Trade Waste","Denied","2002-06-27T00:00:00.000","P.O. BOX 320-207 BUSH TERMINAL STATION","BROOKLYN","NY","11232","False","2022-08-29T00:00:00.000",,,,,,,,,
"BIC-3375","S.W.F. TRUCKING INC.","S.W.F. TRUCKING INC.","License","Trade Waste","Denied","2015-03-06T00:00:00.000","422 SPENCER STREET","STATEN ISLAND","NY","10314-","True","2022-08-29T00:00:00.000","STATEN IS","40.601316","-74.194569","2","50","29102","5152135","5018010027","New Springville-Bloomfield-Travis"
"HPP-31","FRANKIE BOY PRODUCE, CORP.",,"Public Wholesale Market","Markets","Denied","2004-03-23T00:00:00.000","329 HUNTS POINT TERMINAL MARKET","BRONX","NY","10474","False","2022-08-29T00:00:00.000","BRONX","40.811811","-73.876181","2","17","117","2000000","2027700001","Hunts Point"
"BIC-1820","LMR SERVICES CORP.","LMR SERVICES CORP.","CL2 - Exempt","Trade Waste","Denied","2006-10-24T00:00:00.000","P.O. BOX 77","SYOSSET","NY","11791-","False","2022-08-29T00:00:00.000",,,,,,,,,
"BIC-2111","MANCO EQUIPMENT RENTAL CO. INC.","MANCO EQUIPMENT RENTAL CO. INC.","CL2 - Exempt","Trade Waste","Denied","2015-03-06T00:00:00.000","44-17 54TH DRIVE","MASPETH","NY","11378-","True","2022-08-29T00:00:00.000","QUEENS","40.730567","-73.923483","2","30","205","4529588","4025370038","Hunters Point-Sunnyside-West Maspeth"
"BIC-485303","D.J.C.I. ENTERPRISES LLC",,"CL2 - Exempt","Trade Waste","Denied","2020-10-30T00:00:00.000","50 Lincoln Rd","Patchogue","NY","11772-1729","False","2022-08-29T00:00:00.000",,,,,,,,,
"BIC-1161","ALL-CITY INTERIOR CONTRACTING INC.","ALL-CITY INTERIOR CONTRACTING INC.","CL2 - Exempt","Trade Waste","Denied","2011-08-02T00:00:00.000","944 METROPOLITAN AVENUE","BROOKLYN","NY","11211","True","2022-08-29T00:00:00.000","BROOKLYN","40.714543","-73.937671","1","34","481","3070363","3029170013","East Williamsburg"
"BIC-1672","PERSICO CONTRACTING & TRUCKING INC.","PERSICO CONTRACTING & TRUCKING INC.","CL2 - Exempt","Trade Waste","Denied","2006-06-20T00:00:00.000","550 FRANKLIN AVE","MOUNT VERNON","NY","10550-","True","2022-08-29T00:00:00.000",,,,,,,,,
"BIC-3989","INDUS GC INC","INDUS GC INC","CL2 - Exempt","Trade Waste","Denied","2011-08-02T00:00:00.000","33-04 91ST STREET STE 6W","JACKSON HEIGHTS","NY","11372-","False","2022-08-29T00:00:00.000","QUEENS","40.756119","-73.876952","3","25","277","4431401","4014380001","Jackson Heights"
"BIC-1941","EDCIA CORPORATION","BIG R TRUCKING","CL2 - Exempt","Trade Waste","Denied","2006-10-24T00:00:00.000","1 PRESTWOULD COURT","MARLTON","NJ","08053-","False","2022-08-29T00:00:00.000",,,,,,,,,
"BIC-201","DUFFY DISPOSAL CO. INC.","DUFFY DISPOSAL CO. INC.","License","Trade Waste","Denied","1997-12-05T00:00:00.000","459 WEST 19 STREET","NEW YORK","NY","10011","False","2022-08-29T00:00:00.000","MANHATTAN","40.744813","-74.004948","4","3","89","1012571","1007170005","Hudson Yards-Chelsea-Flatiron-Union Square"
"BIC-1991","BERTHA M ABADDESAGUAY TRUCKING","B ABAD TRUCKING","CL2 - Exempt","Trade Waste","Denied","2006-03-14T00:00:00.000","424 RIDGE STREET","NEWARK","NJ","07104-","False","2022-08-29T00:00:00.000",,,,,,,,,
"BIC-494835","KRIS INDUSTRIES INC",,"License","Trade Waste","Denied","2020-03-31T00:00:00.000","66 CHAMPLIN AVENUE","BELLPORT","NY","11713","False","2022-08-29T00:00:00.000",,,,,,,,,
"BIC-1874","PHANTOM DEMOLITION CORP","PHANTOM DEMOLITION CORP","CL2 - Exempt","Trade Waste","Denied","2008-06-07T00:00:00.000","56 - 00 GRAND AVENUE","MASPETH","NY","11378-","True","2022-08-29T00:00:00.000","QUEENS","40.719089","-73.913233","5","30","535",,,"Maspeth"
"HPP-178","AMERICA'S BEST CORP.",,"Public Wholesale Market","Markets","Denied","2017-03-31T00:00:00.000","50 WEST 72ND STREET, APT 801","NEW YORK","NY","10023","False","2022-08-29T00:00:00.000","MANHATTAN","40.777051","-73.977961","7","6","157","1028625","1011240059","Lincoln Square"
"BIC-494638","BLUE BOX LLC","BLUE BOX HAULING LLC","CL2 - Exempt","Trade Waste","Denied","2019-10-21T00:00:00.000","21 BELLE TERRE DRIVE","MANALAPAN","NJ","07726","False","2022-08-29T00:00:00.000",,,,,,,,,
"HPA-67","S&M TROPICAL CORP.",,"Public Wholesale Market","Markets","Denied","2013-06-24T00:00:00.000","435 LONGFELLOW AVENUE","BRONX","NY","10474","False","2022-08-29T00:00:00.000","BRONX","40.809975","-73.883395","2","17","93","2125488","2027720132","Hunts Point"
"BIC-2170","CIRCLE INTERIOR DEMOLITION, INC.","CIRCLE INTERIOR DEMOLITION, INC.","CL2 - Exempt","Trade Waste","Denied","2007-05-08T00:00:00.000","56-00 GRAND AVENUE","MASPETH","NY","11378-","False","2022-08-29T00:00:00.000","QUEENS","40.719089","-73.913233","5","30","535",,,"Maspeth"
"BIC-1597","BLUE WATER INTERNATIONAL INC.","BLUE WATER INTERNATIONAL INC.","CL2 - Broker","Trade Waste","Denied","2015-03-06T00:00:00.000","2255 E.71 STREET","BROOKLYN","NY","11234-","True","2022-08-29T00:00:00.000","BROOKLYN","40.617334","-73.904645","18","46","706","3237905","3084400017","Georgetown-Marine Park-Bergen Beach-Mill Basin"
"BIC-492028","PRESTIGE STONE & PAVERS CORP.",,"CL2 - Exempt","Trade Waste","Denied","2019-06-17T00:00:00.000","15-32 COLLEGE POINT BLVD","COLLEGE POINT","NY","11356","False","2022-08-29T00:00:00.000","QUEENS","40.784034","-73.845828","7","19","925","4098213","4040760025","College Point"
"BIC-1629","CONEY ISLAND CONTAINER, INC.","CONEY ISLAND CONTAINER, INC.","CL2 - Exempt","Trade Waste","Denied","2012-06-05T00:00:00.000","178 WOOD AVENUE","STATEN ISLAND","NY","10307-","True","2022-08-29T00:00:00.000","STATEN IS","40.513044","-74.244143","3","51","248","5088769","5080230003","Charleston-Richmond Valley-Tottenville"
"BIC-2186","RAINBOW TRANSPORTATION CORPORATION","RAINBOW TRANSPORTATION CORPORATION","CL2 - Exempt","Trade Waste","Denied","2013-01-14T00:00:00.000","151 SHIPPENPORT ROAD","LANDING","NJ","07850-","True","2022-08-29T00:00:00.000",,,,,,,,,
