"title","alternate_title","primary_artist_last","primary_artist_first","primary_artist_middle","secondary_artist_last","secondary_artist_first","secondary_artist_middle","artists_keyword","primary_architect_last","primary_architect_first","primary_architect_middle","secondary_architect_last","secondary_architect_first","secondary_architect_middle","landscape_architect_last","landscape_architect_first","landscape_architect_middle","architecture_firm","foundry","fabricator","date_created","date_created_approximation","date_dedicated","date_dedicated_approximation","artwork_type1","artwork_type2","material","location_name","address","city","state","zip_code","borough","subject_keyword","inscription","managing_city_agency","acquisition","pdc_records","latitude","longitude","block","lot"
"Soldiers Monument","NULL","Draddy","Daniel","NULL","NULL","NULL","NULL","American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","National Fine Art Foundry","Maurice J. Power","1866","N","1866","N","Obelisk, statue","Monument/Memorial","Barre granite, bronze, iron","Cavalry Cemetery","Laurel Hill Boulevard","Maspeth","NY","11378","Queens","American Civil War, War","Plaque 1: TO THE MEMORY OF / THE BRAVE MEN / WHO GAVE THEIR LIVES / TO PRESERVE THE UNION / 1861-65; Plaque 2: BY THE MAYOR / ALDERMEN & COMMONALTY / OF THE / CITY OF NEW YORK","Department of Parks and Recreation","Gift of Mayor, Alderman and commonality of the City of New York","6857","40.730916","-73.929794","2508","1"
"The Indian Hunter","NULL","Ward","John","Quincy Adams","NULL","NULL","NULL","American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","L.A. Amouroux, N.Y.","NULL","1866","N","1869","N","Statue","Artwork","Bronze, Rockport granite","Central Park","The Mall","New York","NY","10019","Manhattan","American, Animals, Native American, Indigenous","Center of base: J.Q.A. WARD 1860","Department of Parks and Recreation","Gift of the Indian Hunter Fund","3911","40.770186","-73.973151","1111","1"
"Tigress and Cubs","NULL","Caïn","Auguste","Nicolas","NULL","NULL","NULL","French","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","F. Barbedienne, Fondeur, Paris","NULL","1866","N","1867","N","Statue","Artwork","Bronze","Central Park","Fifth Avenue and 64th Street","New York","NY","10019","Manhattan","Animals","Front:  A. CAIN / 1866 
Rear: F. BARBEDIENNE FONDEUR, PARIS","Department of Parks and Recreation","Gift of Samuel F.B. Morse, John Jay, Robert Hoe, William T. Blodgett, and eight other New Yorkers","81","40.767472","-73.972308","1111","1"
"Christopher Columbus","NULL","Stebbins","Emma","NULL","NULL","NULL","NULL","Woman, American, LGBTQ+","Embury II","Aymar","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1867","N","1934","N","Statue, pedestal","Monument/Memorial","Marble, limestone","Columbus Park","Cadman Plaza West between Pierrepont and Montague Street","Brooklyn","NY","11201","Brooklyn","Explorer, Italian, Colonialism","CHRISTOPHER / COLUMBUS /","Department of Parks and Recreation","Gift of Marshal O. Roberts","3974, 2739","40.693916","-73.989909","139","1"
"Abraham Lincoln","NULL","Brown","Henry","Kirke","NULL","NULL","NULL","American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1869","Y","1870","N","Statue","Monument/Memorial","Bronze on granite pedestal","Union Square Park","69 East 17th Street","New York","NY","10003","Manhattan","American Civil War, President of the United States, War","NULL","Department of Parks and Recreation","Gift of the Union League Club","4211","40.736222,","-73.990111","845","2"
"Abraham Lincoln","NULL","Brown","Henry","Kirke","NULL","NULL","NULL","American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Lamoureux","NULL","1869","Y","1869","N","Statue","Monument/Memorial","Bronze, granite","Prospect Park","Flower Garden, Prospect Park","Brooklyn","NY","11226","Brooklyn","American Civil War, President of the United States, animals, eagles, War","NULL","Department of Parks and Recreation","Gift of The Citizens of Brooklyn","5091","40.658384,","-73.964955","1117","1"
"Alexander von Humboldt","NULL","Bläser","Gustav","NULL","NULL","NULL","NULL","German","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Georg Howaldt & Sohn, Braunschweig","NULL","1869","N","1869","N","Bust, pedestal","Monument/Memorial","Bronze, granite","Central Park","Central Park West and 77th Street","New York","NY","10024","Manhattan","Scientist, Explorer, Inventor","South side of bust:  GUST.BLAESER Fec. / Berlin 1869 North side of bust: GEORG HOWALDT & SOHN geg. / Braunschweig 1869 Bottom front of bust: ALEXANDER VON HUMBOLDT","Department of Parks and Recreation","Gift of the Humboldt Memorial Association","3911, 4354","40.779486","-73.973358","1111","1"
"Seventh Regiment Memorial","NULL","Ward","John","Quincy Adams","NULL","NULL","NULL","American","Hunt","Richard","Morris","NULL","NULL","NULL","NULL","NULL","NULL","NULL","R. Wood & Co., Phila","Casoni & Isola, N.Y.","1869","N","1870","N","Statue","Monument/Memorial","Bronze, Barre granite","Central Park","West Drive near West 69th Street","New York","NY","10023","Manhattan","American Civil War, Soldier, Veterans, War","Front: THE SEVENTH REGIMENT MEMORIAL / OF / 1861-1865

Side: IN HONOR OF THE MEMBERS / OF THE / SEVENTH REGIMENT/ N.G.S.N.Y., FIFTY EIGHT IN NUMBER / WHO GAVE THEIR LIVES / IN / DEFENCE OF THE UNION / 1861-1865

Rear: ERECTED / BY THE/  SEVENTH REGIMENT / NATIONAL GUARD S.N.Y. / 1873","Department of Parks and Recreation","Gift of 7th Regiment National Guard, State of New York","1062, 1183, 2994","40.773750","-73.976472","1111","1"
"Cherry Hill Fountain","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Mould","Jacob","Wrey","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1870","Y","1870","N","Fountain","Artwork/Monument","Bluestone, granite, Minton tiles, bronze, wrought iron","Central Park","Cherry Hill Concourse","New York","NY","10024","Manhattan","Fountain","NULL","Department of Parks and Recreation","NULL","4222","40.774683","-73.972140","1111","1"
"Samuel Finley Breese Morse","NULL","Pickett","Byron","M.","NULL","NULL","NULL","American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","M.J. Power Bronze Founder NY","NULL","1870","N","1871","N","Statue","Monument/Memorial","Bronze, granite","Central Park","Fifth Avenue and East 72nd Street","New York","NY","10065","Manhattan","Inventor, Artist, Painter","MORSE","Department of Parks and Recreation","Gift of Telegraph Operators (public subscription)","1336","40.772546","-73.967389","1111","1"
"William Shakespeare","NULL","Ward","John","Quincy Adams","NULL","NULL","NULL","American","Mould","Jacob","Wray","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Robert Wood & Co. foundry","NULL","1870","N","1872","N","Statue","Monument/Memorial","Bronze, granite","Central Park","Literary Mall","New York","NY","10019","Manhattan","Actor, British, Playwright, Theater, Author","(On rear of base) ERECTED BY/CITIZENS OF NEW YORK / APRIL 23 1864 / THE THREE HUNDREDTH ANNIVERSARY / OF THE BIRTH OF / SHAKESPEARE","Department of Parks and Recreation","Gift of the Citizens of New York","4983","40.769815","-73.972393","1111","1"
"Benjamin Franklin","NULL","Plassman","Ernst","NULL","NULL","NULL","NULL","German, American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Fisher and Bird","George Fischer & Brothers, New York City","NULL","1871","N","1872","N","Statue","Monument/Memorial","Bronze, granite","Printing House Square","41 Park Row","New York","NY","10037","Manhattan","Inventor, Scientist, Politician, Public Servant, Journalist, American Revolutionary War, Colonial","Foundry mark: G. FISCHER BRONZE FOUNDRY, NEW YORK CITY Pedestal front: BENJAMIN / FRANKLIN / 1706-1790 / PRINTER --- PATRIOT / PHILOSOPHER / STATESMEN / PRESENTED BY / ALBERT DE GROOT / TO THE / PRESS AND PRINTERS / OF THE / CITY OF NEW YORK / UNVEILED / JANUARY 12, 1872","Department of Parks and Recreation","Gift of Albert DeGroot","1224","40.711800","-74.005773","102","1"
"City Hall Park Fountain","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Mould","Jacob","Wrey","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1871","Y","1871; 1999","N","Fountain","Artwork/Monument","Granite, bronze","City Hall Park","43 Park Row","New York","NY","10038","Manhattan","Fountain","NULL","Department of Parks and Recreation","NULL","1011","40.712163","-74.007150","122","1"
"The Falconer","NULL","Simonds","George","Blackall","NULL","NULL","NULL","British","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Chevalier Clemente Pape, Florence, Italy","NULL","1871","N","1875","N","Statue","Artwork","Bronze, Barre granite","Central Park","Terrace Drive","New York","NY","10019","Manhattan","Animals","Pedestal:THE FALCONER / PRESENTED BY GEORGE KEMP / MDCCCLXXII

Base:
GEORGE SIMONDS ROMAE / MDCCCLXXI","Department of Parks and Recreation","Gift of George Kemp","3911","40.774107","-73.973823","1111","1"
"Washington Irving Memorial","NULL","MacDonald","James","Wilson Alexander","NULL","NULL","NULL","American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1871","N","1871","N","Bust, pedestal","Monument/Memorial","Bronze, granite","Prospect Park","Flower Garden","Brooklyn","NY","11225","Brooklyn","Author","IRVING","Department of Parks and Recreation","Gift of Demas Barnes","5961","40.659039","-73.963292","1117","1"
"Robert Fulton","NULL","Buberl","Caspar","NULL","NULL","NULL","NULL","Czech, American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","M.J. Seelig & Company (original); Roman Bronze Works, Inc. (replica)","NULL","1872","N","1872; 1955","N","Statue","Monument/Memorial","Bronze, granite","Fulton Park","Schenectady Avenue and Fulton Street","Brooklyn","NY","11233","Brooklyn","Engineer, Inventor","ROBERT FULTON / 1765-1815","Department of Parks and Recreation","Gifted by The Society of Old Brooklynites","1730","40.679756","-73.932877","1690","1"
"Rockefeller Fountain","Italian Fountain","Catella","Biagio","NULL","NULL","NULL","NULL","Italian","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1872","N","1903","N","Fountain","Artwork/Monument","Bianco Pi Italian marble","Bronx Zoo","2300 Southern Boulevard","Bronx","NY","10460","Bronx","Fountain","THIS FOUNTAIN / FROM THE CITY OF COMO, ITALY / WAS PRESENTED BY / WILLIAM ROCKEFELLER / AND BY HIM ERECTED ON ITS PRESENT SITE / 1902","Department of Parks and Recreation","Gift of William Rockefeller","24","40.853830","-73.877742","3120","20"
"Sir Walter Scott","NULL","Steell","Sir John","NULL","NULL","NULL","NULL","Scottish","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","MacDonald Field Co.","NULL","1872","N","1872","N","Statue","Monument/Memorial","Bronze, Aberdeen granite","Central Park","The Mall","New York","NY","10019","Manhattan","Author, Poet, Scottish","(Front of base:) WALTER SCOTT / JOHN STEELL R.S.A. / EDINBURGH. SCULP

(Rear of base:) MACDONALD FIELD & CO / GRANITE WORKS ABERDEEN SCOT / PRESENTED TO CITY OF NEW YORK / BY RESIDENT SCOTSMEN AND THEIR SONS / ON THE 15TH AUGUST 1871 / THE 100TH ANNIVERSARY OF THE BIRTH OF / SIR WALTER SCOTT. BARONET. Signed.","Department of Parks and Recreation","Gift of Scottish Americans","3911","40.770167","-73.972470","1111","1"
"Bethesda Fountain","Angel of the Waters","Stebbins","Emma","NULL","NULL","NULL","NULL","Woman, American, LGBTQ+","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Ferdinand von Muller","Royal Foundry, Munich","1873","N","1873","N","Fountain","Monument/Memorial","Bronze","Central Park","72nd Street Cross Drive","New York","NY","10024","Manhattan","Allegorical, fountain","EMMA STEBBINS INV.. MOD. ROM. 1868","Department of Parks and Recreation","Commissioned by the City of New York","554","40.774311","-73.970839","1111","1"
"Marquis de Lafayette","NULL","Bartholdi","Frederic","Auguste","NULL","NULL","NULL","French","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1873","N","1876","N","Statue","Monument/Memorial","Bronze, granite","Union Square Park","Union Square East Between East 15th and East 16th street","New York","NY","10003","Manhattan","American Revolutionary War, Colonial, French, Military, War","(LEFT SIDE OF PEDESTAL)
TO THE CITY OF NEW YORK/ FRANCE/IN REMEMBRANCE OF SYMPATHY/ IN THE TIME OF TRIAL/ 1870-1871/

(ON RIGHT SIDE OF PEDESTAL)
AS SOON AS I HEAR OF AMERICAN INDEPENDENCE/MY HEART WAS ENLISTED/ 1776

(LOWER RIGHT OF SCULPTURE)
A. BARTHOLDI 1873","Department of Parks and Recreation","Gift of French Residents in New York","762","40.735694","-73.990000","845","2"
"Daniel Webster","NULL","Ball","Thomas","NULL","NULL","NULL","NULL","American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Von Miller's Foundry, Munich, Germany","NULL","1876","Y","1876","N","Statue","Monument/Memorial","Bronze, granite","Central Park","West Drive at Terrace Drive","New York","NY","10024","Manhattan","Lawyer, politician, Secretary of State, Senator, Congressman","LIBERTY AND UNION, / NOW AND FOREVER, / ONE AND INSEPARABLE. / DANIEL WEBSTER /","Department of Parks and Recreation","Gift of Gordan W. Burnham","3911","40.774762","-73.974122","1111","1"
"Fitz Greene Halleck","NULL","MacDonald","James","Wilson Alexander","NULL","NULL","NULL","American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1876","N","1877","N","Statue","Monument/Memorial","Bronze, granite","Central Park","The Mall","New York","NY","10021","Manhattan","Poet, Author","WILSON McDONALD / SCULPTOR / 1876 / FITZ GREENE HALLECK","Department of Parks and Recreation","Gift of Public Subscription","1177","40.770678","-73.972133","1111","1"
"Giuseppe Mazzini","NULL","Turini","Giovanni","NULL","NULL","NULL","NULL","Italian, American","Matriati","F.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","G. Fisher & Bros Brnz Works","F. Malnati, Woodlawn, NY","1876","N","1878","N","Bust, pedestal","Monument/Memorial","Bronze, granite","Central Park","West Drive","New York","NY","10023","Manhattan","Philosopher, Politician","Front: GIUSEPPE MAZZINI Right: DIO E IL POPULO Left: PENSIERO ED AZIONE Rear: PRESENTED / TO THE CITY OF NEW YORK / BY THE ITALIANS / IN THE
U.S. OF AMERICA / 1878","Department of Parks and Recreation","Gift of Italians in the United States of America","3911","40.772996","-73.976720","1111","1"
"William Henry Seward","NULL","Rogers","Randolph","NULL","NULL","NULL","NULL","American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Ferd V. Miller & Sohne, Munchen","NULL","1876","N","1876","N","Statue","Monument/Memorial","Bronze, granite","Madison Square Park","Broadway and East 23rd Street","New York","NY","10010","Manhattan","Governor, Politician, Senator","WILLIAM H. SEWARD / GOVENOR / U.S.SENATOR / SECRETARY OF STATE / OF U.S.","Department of Parks and Recreation","Gift of Public Subscription","1945, 1971","40.741491","-73.988842","852","1"
"Thomas Moore","NULL","Sheahan","Dennis","B.","NULL","NULL","NULL","American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Geo. Fischer & Bros","NULL","1879","N","1879","N","Bust","Monument/Memorial","Bronze, granite","Central Park","East Drive between 60th Street and 61st Street","New York","NY","10019","Manhattan","Author, Irish, Poet, Author","Pedestal: MOORE","Department of Parks and Recreation","Gift of the Friendly Sons of St. Patrick Society","3911","40.765935","-73.973253","1111","1"
