"appeal_type","appeal_subtype","agency","status","date_filed","date_closed","exam_no","title","expiration","extension","acronym"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Open","2018-12-18T00:00:00.000",,"8032","Watershed Maintainer",,,"DCAS"
"Waiting for DQ",,"Department of Citywide Administrative Services - DCAS","Open","2018-12-18T00:00:00.000",,,,,,"DCAS"
"Jurisdictional Issue",,"Transit Authority - NYCTA","Closed","2018-12-17T00:00:00.000","2018-12-18T00:00:00.000",,,,,"NYCTA"
"Section 50","Character","Department of Correction - DOC","Open","2018-12-17T00:00:00.000",,"3302","Correction Officer","2019-05-29T00:00:00.000",,"DOC"
"Section 50","Medical","Department of Sanitation - DSNY","Open","2018-12-17T00:00:00.000",,"5001","Sanitation Worker","2020-03-16T00:00:00.000",,"DSNY"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Open","2018-12-16T00:00:00.000",,"8032","Watershed Maintainer",,,"DCAS"
"Waiting for DQ",,"Police Department - NYPD","Open","2018-12-14T00:00:00.000",,,,,,"NYPD"
"Section 50","Character","Police Department - NYPD","Open","2018-12-14T00:00:00.000",,"7323","Police Officer","2021-12-13T00:00:00.000",,"NYPD"
"Section 50","Character","Department of Correction - DOC","Open","2018-12-14T00:00:00.000",,"7329","Correction Officer","2021-02-15T00:00:00.000",,"DOC"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Open","2018-12-13T00:00:00.000",,"8002","Automotive Service Worker","2022-09-12T00:00:00.000",,"DCAS"
"Other",,"Department of Citywide Administrative Services - DCAS","Closed","2018-12-13T00:00:00.000","2018-12-21T00:00:00.000",,,,,"DCAS"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Open","2018-12-13T00:00:00.000",,"7032","Steam Fitter","2022-12-19T00:00:00.000",,"DCAS"
"Waiting for DQ",,"Human Resources Administration - HRA","Open","2018-12-12T00:00:00.000",,,,,,"HRA"
"Section 50","Education and Experience","Human Resources Administration - HRA","Open","2018-12-12T00:00:00.000",,"7035","Administrative Director of Social Services","2021-07-19T00:00:00.000",,"HRA"
"Section 50","Score","Department of Citywide Administrative Services - DCAS","Open","2018-12-12T00:00:00.000",,"8004","Maintenance Worker","2022-08-22T00:00:00.000",,"DCAS"
"Section 50","Character","Human Resources Administration - HRA","Closed","2018-12-12T00:00:00.000","2019-01-02T00:00:00.000","2321","Caseworker","2022-01-31T00:00:00.000",,"HRA"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Open","2018-12-10T00:00:00.000",,"8030","Forensic Mortuary Technician",,,"DCAS"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Open","2018-12-10T00:00:00.000",,"7032","Steam Fitter","2022-12-19T00:00:00.000",,"DCAS"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Open","2018-12-10T00:00:00.000",,"9008","Staff Analyst",,,"DCAS"
"Section 50","Character","Police Department - NYPD","Open","2018-12-10T00:00:00.000",,"4300","Police Officer","2019-12-22T00:00:00.000",,"NYPD"
"Section 50","Character","Department of Correction - DOC","Open","2018-12-10T00:00:00.000",,"3300","Correction Officer","2019-05-27T00:00:00.000",,"DOC"
"Section 50","Character","Police Department - NYPD","Open","2018-12-10T00:00:00.000",,"7323","Police Officer","2021-12-13T00:00:00.000",,"NYPD"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Open","2018-12-08T00:00:00.000",,"7032","Steam Fitter","2022-12-19T00:00:00.000",,"DCAS"
"Section 50","Psych","Police Department - NYPD","Open","2018-12-08T00:00:00.000",,"5329","Police Officer","2021-07-07T00:00:00.000",,"NYPD"
"Section 50","Medical","Police Department - NYPD","Open","2018-12-07T00:00:00.000",,"8311","Police Communications Technician","2022-09-12T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Open","2018-12-07T00:00:00.000",,"7315","Traffic Enforcement Agent","2022-03-07T00:00:00.000",,"NYPD"
"Section 50","Character","Department of Correction - DOC","Open","2018-12-07T00:00:00.000",,"3302","Correction Officer","2019-05-29T00:00:00.000",,"DOC"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Open","2018-12-07T00:00:00.000",,"7032","Steam Fitter","2022-12-19T00:00:00.000",,"DCAS"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Open","2018-12-07T00:00:00.000",,"7032","Steam Fitter","2022-12-19T00:00:00.000",,"DCAS"
"Section 50","Psych","Police Department - NYPD","Open","2018-12-07T00:00:00.000",,"4320","Police Officer","2020-08-25T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Open","2018-12-07T00:00:00.000",,"7323","Police Officer","2021-12-13T00:00:00.000",,"NYPD"
"Waiting for DQ",,"Department of Citywide Administrative Services - DCAS","Open","2018-12-06T00:00:00.000",,,,,,"DCAS"
"Section 50","Character","Police Department - NYPD","Open","2018-12-06T00:00:00.000",,"3309","Police Officer","2019-06-23T00:00:00.000",,"NYPD"
"Section 76","Suspension","Department of Correction - DOC","Open","2018-12-06T00:00:00.000",,,,,,"DOC"
"Section 50","Psych","Police Department - NYPD","Open","2018-12-06T00:00:00.000",,"3318","Police Officer","2019-12-17T00:00:00.000",,"NYPD"
"Section 76","Suspension","Department of Correction - DOC","Open","2018-12-06T00:00:00.000",,,,,,"DOC"
"Section 50","Psych","Police Department - NYPD","Open","2018-12-06T00:00:00.000",,"3315","Police Officer","2019-12-10T00:00:00.000",,"NYPD"
"Section 50","Psych","Police Department - NYPD","Closed","2018-12-06T00:00:00.000","2018-12-12T00:00:00.000","6321","Police Communications Technician","2021-02-01T00:00:00.000",,"NYPD"
"Section 50","Psych","Police Department - NYPD","Open","2018-12-05T00:00:00.000",,"7314","School Safety Agent","2022-03-08T00:00:00.000",,"NYPD"
"Section 50","Psych","Police Department - NYPD","Closed","2018-12-05T00:00:00.000","2018-12-10T00:00:00.000","5320","Police Officer","2021-06-30T00:00:00.000",,"NYPD"
"Section 50","Medical","Police Department - NYPD","Open","2018-12-05T00:00:00.000",,"7323","Police Officer","2021-12-13T00:00:00.000",,"NYPD"
"Section 50","Education and Experience","Human Resources Administration - HRA","Open","2018-12-05T00:00:00.000",,"7011","Administrative Community Relations Specialist","2021-09-20T00:00:00.000",,"HRA"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Open","2018-12-04T00:00:00.000",,"7032","Steam Fitter","2022-12-19T00:00:00.000",,"DCAS"
"Jurisdictional Issue",,"Department of Citywide Administrative Services - DCAS","Closed","2018-12-04T00:00:00.000","2018-12-05T00:00:00.000",,,,,"DCAS"
"Section 50","Psych","Police Department - NYPD","Open","2018-12-04T00:00:00.000",,"4306","Police Officer","2019-12-23T00:00:00.000",,"NYPD"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Open","2018-12-04T00:00:00.000",,"7032","Steam Fitter","2022-12-19T00:00:00.000",,"DCAS"
"Section 50","Character","Police Department - NYPD","Open","2018-12-04T00:00:00.000",,"7323","Police Officer","2021-12-13T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Open","2018-12-04T00:00:00.000",,"5321","Police Officer","2021-07-03T00:00:00.000",,"NYPD"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Open","2018-12-04T00:00:00.000",,"8000","Machinist",,,"DCAS"
"Section 50","Psych","Police Department - NYPD","Open","2018-12-03T00:00:00.000",,"4310","Police Officer","2019-12-28T00:00:00.000",,"NYPD"
"Section 50","Psych","Police Department - NYPD","Open","2018-12-03T00:00:00.000",,"4313","Police Officer","2020-06-23T00:00:00.000",,"NYPD"
"Section 50","Psych","Police Department - NYPD","Open","2018-12-03T00:00:00.000",,"4300","Police Officer","2019-12-22T00:00:00.000",,"NYPD"
"Other",,"Civil Service Commission - NYCCSC","Closed","2018-12-03T00:00:00.000","2018-12-03T00:00:00.000",,,,,"NYCCSC"
"Section 50","Psych","Police Department - NYPD","Open","2018-12-03T00:00:00.000",,"7309","School Safety Agent","2021-11-24T00:00:00.000",,"NYPD"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Open","2018-12-03T00:00:00.000",,"7032","Steam Fitter","2022-12-19T00:00:00.000",,"DCAS"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Open","2018-12-03T00:00:00.000",,"7032","Steam Fitter","2022-12-19T00:00:00.000",,"DCAS"
"Section 50","Education and Experience","Transit Authority - NYCTA","Open","2018-12-03T00:00:00.000",,"8609","Structure Maintainer Group B",,,"NYCTA"
"Section 50","Medical","Department of Correction - DOC","Open","2018-12-03T00:00:00.000",,"7329","Correction Officer","2021-02-15T00:00:00.000",,"DOC"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Open","2018-12-03T00:00:00.000",,"8609","Structure Maintainer Group B",,,"DCAS"
"Waiting for DQ",,"Department of Citywide Administrative Services - DCAS","Open","2018-12-03T00:00:00.000",,,,,,"DCAS"
"Section 50","Psych","Department of Correction - DOC","Open","2018-12-03T00:00:00.000",,"6315","Correction Officer","2020-06-15T00:00:00.000",,"DOC"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Open","2018-12-03T00:00:00.000",,"7041","Administrative Procurement Analyst",,,"DCAS"
"Waiting for DQ",,"Department of Citywide Administrative Services - DCAS","Open","2018-12-01T00:00:00.000",,,,,,"DCAS"
"Section 50","Education and Experience","Transit Authority - NYCTA","Open","2018-11-30T00:00:00.000",,"8609","Structure Maintainer Group B",,,"NYCTA"
"Section 50","Veterans Credits","Department of Citywide Administrative Services - DCAS","Closed","2018-11-30T00:00:00.000","2018-12-24T00:00:00.000","5001","Sanitation Worker","2020-03-16T00:00:00.000",,"DCAS"
"Section 50","Character","Police Department - NYPD","Open","2018-11-30T00:00:00.000",,"6525","Police Officer","2020-12-07T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Open","2018-11-30T00:00:00.000",,"5320","Police Officer","2021-06-30T00:00:00.000",,"NYPD"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Open","2018-11-30T00:00:00.000",,"8049","Associate Park Service Worker",,,"DCAS"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Open","2018-11-30T00:00:00.000",,"7032","Steam Fitter","2022-12-19T00:00:00.000",,"DCAS"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Open","2018-11-30T00:00:00.000",,"7032","Steam Fitter","2022-12-19T00:00:00.000",,"DCAS"
"Section 50","Psych","Department of Correction - DOC","Open","2018-11-30T00:00:00.000",,"7322","Correction Officer","2019-11-15T00:00:00.000",,"DOC"
"Section 50","Psych","Police Department - NYPD","Open","2018-11-29T00:00:00.000",,"5305","Police Officer","2021-03-02T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Open","2018-11-29T00:00:00.000",,"7323","Police Officer","2021-12-13T00:00:00.000",,"NYPD"
"Waiting for DQ",,"Police Department - NYPD","Open","2018-11-29T00:00:00.000",,,,,,"NYPD"
"Section 50","Psych","Police Department - NYPD","Open","2018-11-29T00:00:00.000",,"5314","Police Officer","2021-06-28T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Open","2018-11-29T00:00:00.000",,"7323","Police Officer","2021-12-13T00:00:00.000",,"NYPD"
"Section 50","Psych","Police Department - NYPD","Open","2018-11-29T00:00:00.000",,"5300","Police Officer","2021-03-01T00:00:00.000",,"NYPD"
"Section 50","Psych","Police Department - NYPD","Open","2018-11-29T00:00:00.000",,"5329","Police Officer","2021-07-07T00:00:00.000",,"NYPD"
"Section 76","Termination","Housing Authority - NYCHA","Open","2018-11-29T00:00:00.000",,,,,,"NYCHA"
"Section 76","Termination","Police Department - NYPD","Closed","2018-11-29T00:00:00.000","2018-12-04T00:00:00.000",,,,,"NYPD"
"Section 50","Character","Police Department - NYPD","Open","2018-11-29T00:00:00.000",,"4313","Police Officer","2020-06-23T00:00:00.000",,"NYPD"
"Section 50","Medical","Fire Department - FDNY","Open","2018-11-29T00:00:00.000",,"7501","Firefighter","2021-10-11T00:00:00.000",,"FDNY"
"Section 50","Score","Department of Citywide Administrative Services - DCAS","Open","2018-11-29T00:00:00.000",,"7543","Promotion to Supervisor Highway Repairer","2022-05-02T00:00:00.000",,"DCAS"
"Section 50","Character","Police Department - NYPD","Open","2018-11-29T00:00:00.000",,"5326","Police Officer","2021-07-06T00:00:00.000",,"NYPD"
"Section 50","Character","Department of Citywide Administrative Services - DCAS","Open","2018-11-28T00:00:00.000",,"6335","Special Officer","2022-01-31T00:00:00.000",,"DCAS"
"Section 50","Character","Department of Citywide Administrative Services - DCAS","Open","2018-11-28T00:00:00.000",,"7019","Procurement Analyst","2022-08-29T00:00:00.000",,"DCAS"
"Section 50","Psych","Police Department - NYPD","Open","2018-11-28T00:00:00.000",,"5312","School Safety Agent","2020-09-14T00:00:00.000",,"NYPD"
"Section 50","Score","Transit Authority - NYCTA","Open","2018-11-28T00:00:00.000",,"7604","Train Operator","2022-09-19T00:00:00.000",,"NYCTA"
"Section 50","Psych","Police Department - NYPD","Closed","2018-11-28T00:00:00.000","2018-12-14T00:00:00.000","7323","Police Officer","2021-12-13T00:00:00.000",,"NYPD"
"Section 50","Psych","Department of Correction - DOC","Closed","2018-11-28T00:00:00.000","2018-12-24T00:00:00.000","7320","Correction Officer","2021-01-11T00:00:00.000",,"DOC"
"Section 50","Psych","Department of Correction - DOC","Closed","2018-11-28T00:00:00.000","2019-01-08T00:00:00.000","8001","Probation Officer","2022-06-06T00:00:00.000",,"DOC"
"Section 50","Education and Experience","Human Resources Administration - HRA","Open","2018-11-28T00:00:00.000",,"7011","Administrative Community Relations Specialist","2021-09-20T00:00:00.000",,"HRA"
"Section 50","Psych","Police Department - NYPD","Closed","2018-11-27T00:00:00.000","2019-01-02T00:00:00.000","7323","Police Officer","2021-12-13T00:00:00.000",,"NYPD"
"Section 50","Psych","Department of Correction - DOC","Open","2018-11-27T00:00:00.000",,"6315","Correction Officer","2020-06-15T00:00:00.000",,"DOC"
"Section 50","Medical","Department of Sanitation - DSNY","Open","2018-11-27T00:00:00.000",,"5001","Sanitation Worker","2020-03-16T00:00:00.000",,"DSNY"
"Section 50","Psych","Police Department - NYPD","Open","2018-11-26T00:00:00.000",,"6328","School Safety Agent","2021-04-06T00:00:00.000",,"NYPD"
"Section 50","Psych","Police Department - NYPD","Open","2018-11-26T00:00:00.000",,"4329","Police Officer","2020-11-25T00:00:00.000",,"NYPD"
"Section 50","Character","Department of Correction - DOC","Open","2018-11-26T00:00:00.000",,"7331","Correction Officer","2021-09-21T00:00:00.000",,"DOC"
"Section 50","Education and Experience","Human Resources Administration - HRA","Open","2018-11-26T00:00:00.000",,"7011","Administrative Community Relations Specialist","2021-09-20T00:00:00.000",,"HRA"
"Section 50","Character","Police Department - NYPD","Open","2018-11-26T00:00:00.000",,"4313","Police Officer","2020-06-23T00:00:00.000",,"NYPD"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Open","2018-11-25T00:00:00.000",,"7032","Steam Fitter","2022-12-19T00:00:00.000",,"DCAS"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Open","2018-11-24T00:00:00.000",,"7032","Steam Fitter","2022-12-19T00:00:00.000",,"DCAS"
"Jurisdictional Issue",,"Department of Citywide Administrative Services - DCAS","Closed","2018-11-24T00:00:00.000","2018-11-26T00:00:00.000",,,,,"DCAS"
"Section 50","Character","Police Department - NYPD","Open","2018-11-23T00:00:00.000",,"8306","Traffic Enforcement Agent","2022-04-25T00:00:00.000",,"NYPD"
"Section 50","Psych","Department of Correction - DOC","Open","2018-11-23T00:00:00.000",,"8309","Correction Officer","2022-06-06T00:00:00.000",,"DOC"
"Section 50","Psych","Department of Correction - DOC","Open","2018-11-23T00:00:00.000",,"6332","Correction Officer","2020-09-22T00:00:00.000",,"DOC"
"Section 50","Education and Experience","Transit Authority - NYCTA","Open","2018-11-23T00:00:00.000",,"7608","Light Maintainer",,,"NYCTA"
"Section 50","Education and Experience","Transit Authority - NYCTA","Open","2018-11-23T00:00:00.000",,"8609","Structure Maintainer Group B",,,"NYCTA"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Open","2018-11-23T00:00:00.000",,"8030","Forensic Mortuary Technician",,,"DCAS"
"Section 50","Character","Department of Correction - DOC","Closed","2018-11-23T00:00:00.000","2018-12-13T00:00:00.000","8308","Correction Officer","2022-01-31T00:00:00.000",,"DOC"
"Section 50","Psych","Police Department - NYPD","Open","2018-11-22T00:00:00.000",,"5300","Police Officer","2021-03-01T00:00:00.000",,"NYPD"
"Section 50","Education and Experience","Human Resources Administration - HRA","Open","2018-11-21T00:00:00.000",,"7011","Administrative Community Relations Specialist","2021-09-20T00:00:00.000",,"HRA"
"Section 50","Education and Experience","Human Resources Administration - HRA","Open","2018-11-21T00:00:00.000",,"7011","Administrative Community Relations Specialist","2021-09-20T00:00:00.000",,"HRA"
"Section 50","Unauthorized Substance","Police Department - NYPD","Open","2018-11-21T00:00:00.000",,"4316","Police Officer","2020-08-24T00:00:00.000",,"NYPD"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Open","2018-11-20T00:00:00.000",,"7032","Steam Fitter","2022-12-19T00:00:00.000",,"DCAS"
"Section 50","Psych","Police Department - NYPD","Open","2018-11-20T00:00:00.000",,"3067","Police Officer","2019-12-15T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Closed","2018-11-20T00:00:00.000","2018-12-06T00:00:00.000","3313","Police Officer","2019-09-24T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Open","2018-11-20T00:00:00.000",,"5325","Police Officer","2021-07-05T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Open","2018-11-20T00:00:00.000",,"5321","Police Officer","2021-07-03T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Open","2018-11-20T00:00:00.000",,"4312","Police Officer","2020-06-22T00:00:00.000",,"NYPD"
"Section 50","Psych","Police Department - NYPD","Open","2018-11-20T00:00:00.000",,"5310","Police Officer","2021-03-06T00:00:00.000",,"NYPD"
"Section 50","Education and Experience","Department of Social Services - DSS","Open","2018-11-19T00:00:00.000",,"7011","Administrative Community Relations Specialist","2021-09-20T00:00:00.000",,"DSS"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Open","2018-11-19T00:00:00.000",,"7032","Steam Fitter","2022-12-19T00:00:00.000",,"DCAS"
"Section 50","Education and Experience","Transit Authority - NYCTA","Open","2018-11-19T00:00:00.000",,"8601","Car Maintainer - Group B",,,"NYCTA"
"Section 50","Character","Department of Correction - DOC","Open","2018-11-19T00:00:00.000",,"6315","Correction Officer","2020-06-15T00:00:00.000",,"DOC"
"Section 50","Character","Department of Correction - DOC","Open","2018-11-19T00:00:00.000",,"6332","Correction Officer","2020-09-22T00:00:00.000",,"DOC"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Open","2018-11-19T00:00:00.000",,"7032","Steam Fitter","2022-12-19T00:00:00.000",,"DCAS"
"Section 50","Psych","Police Department - NYPD","Open","2018-11-19T00:00:00.000",,"6312","School Safety Agent","2020-11-23T00:00:00.000",,"NYPD"
"Section 50","Psych","Police Department - NYPD","Open","2018-11-17T00:00:00.000",,"4314","School Safety Agent","2020-01-08T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Open","2018-11-17T00:00:00.000",,"7323","Police Officer","2021-12-13T00:00:00.000",,"NYPD"
"Section 50","Psych","Police Department - NYPD","Open","2018-11-17T00:00:00.000",,"5307","School Safety Agent","2020-08-17T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Open","2018-11-16T00:00:00.000",,"5306","Police Officer","2021-03-03T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Open","2018-11-16T00:00:00.000",,"6312","School Safety Agent","2020-11-23T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Open","2018-11-16T00:00:00.000",,"8306","Traffic Enforcement Agent","2022-04-25T00:00:00.000",,"NYPD"
"Section 50","Medical","Department of Correction - DOC","Open","2018-11-16T00:00:00.000",,"8319","Correction Officer","2022-06-27T00:00:00.000",,"DOC"
"Section 50","Character","Police Department - NYPD","Open","2018-11-15T00:00:00.000",,"7323","Police Officer","2021-12-13T00:00:00.000",,"NYPD"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Open","2018-11-15T00:00:00.000",,"8001","Probation Officer","2022-06-06T00:00:00.000",,"DCAS"
"Section 50","Education and Experience","Transit Authority - NYCTA","Open","2018-11-15T00:00:00.000",,"8609","Structure Maintainer Group B",,,"NYCTA"
"Section 50","Education and Experience","Transit Authority - NYCTA","Open","2018-11-15T00:00:00.000",,"8609","Structure Maintainer Group B",,,"NYCTA"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Open","2018-11-15T00:00:00.000",,"8049","Associate Park Service Worker",,,"DCAS"
"Section 50","Psych","Police Department - NYPD","Open","2018-11-15T00:00:00.000",,"6525","Promotional Police Officer","2020-12-07T00:00:00.000",,"NYPD"
"Waiting for DQ",,"Department of Citywide Administrative Services - DCAS","Open","2018-11-14T00:00:00.000",,,,,,"DCAS"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Open","2018-11-14T00:00:00.000",,"7032","Steam Fitter","2022-12-19T00:00:00.000",,"DCAS"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Open","2018-11-14T00:00:00.000",,"8049","Associate Park Service Worker",,,"DCAS"
"Section 50","Character","Department of Correction - DOC","Open","2018-11-14T00:00:00.000",,"8308","Correction Officer","2022-01-31T00:00:00.000",,"DOC"
"Section 50","Character","Department of Correction - DOC","Open","2018-11-14T00:00:00.000",,"7322","Correction Officer","2021-05-17T00:00:00.000",,"DOC"
"Section 50","Medical","Department of Correction - DOC","Open","2018-11-14T00:00:00.000",,"8319","Correction Officer","2022-06-27T00:00:00.000",,"DOC"
"Section 50","Psych","Police Department - NYPD","Open","2018-11-13T00:00:00.000",,"6323","School Safety Agent","2021-04-05T00:00:00.000",,"NYPD"
"Section 50","Character","Department of Correction - DOC","Open","2018-11-13T00:00:00.000",,"6325","Correction Officer","2020-09-21T00:00:00.000",,"DOC"
"Section 50","Education and Experience","Transit Authority - NYCTA","Open","2018-11-13T00:00:00.000",,"8609","Structure Maintainer Group B",,,"NYCTA"
"Section 50","Character","Department of Correction - DOC","Open","2018-11-13T00:00:00.000",,"3301","Correction Officer","2019-05-28T00:00:00.000",,"DOC"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Open","2018-11-13T00:00:00.000",,"7032","Steam Fitter","2022-12-19T00:00:00.000",,"DCAS"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Open","2018-11-13T00:00:00.000",,"8049","Associate Park Service Worker",,,"DCAS"
"Section 50","Psych","Police Department - NYPD","Open","2018-11-13T00:00:00.000",,"6323","School Safety Agent","2021-04-05T00:00:00.000",,"NYPD"
"Section 50","Medical","Department of Correction - DOC","Open","2018-11-13T00:00:00.000",,"8319","Correction Officer","2022-06-27T00:00:00.000",,"DOC"
"Section 50","Medical","Department of Sanitation - DSNY","Open","2018-11-13T00:00:00.000",,"5001","Sanitation Worker","2020-03-16T00:00:00.000",,"DSNY"
"Section 50","Medical","Department of Sanitation - DSNY","Open","2018-11-13T00:00:00.000",,"5001","Sanitation Worker","2020-03-16T00:00:00.000",,"DSNY"
"Section 50","Character","Department of Correction - DOC","Open","2018-11-13T00:00:00.000",,"4311","Correction Officer","2019-09-24T00:00:00.000",,"DOC"
"Waiting for DQ",,"Police Department - NYPD","Open","2018-11-12T00:00:00.000",,,,,,"NYPD"
"Section 50","Character","Department of Citywide Administrative Services - DCAS","Open","2018-11-12T00:00:00.000",,"7316","Special Officer","2022-09-12T00:00:00.000",,"DCAS"
