"license_number","entity_name","telephone_number","shl_endorsed","building","street","city","state","zip","type_of_base","latitude","longitude","date","time","location"
"B00111","SKYLINE CREDIT RIDE INC","7184828585","No","52-29","35 STREET","L.I.C","NY","11101","BLACK CAR BASE","40.735627","-73.93612","2022-08-29T00:00:00.000","18:00:20","
,  
(40.735627, -73.93612)"
"B00112","AYY&M TRANSPORTATION, LLC","7186802500","No","9425","5 AVENUE","BROOKLYN","NY","11209","LIVERY BASE","40.615867","-74.030649","2022-08-29T00:00:00.000","18:00:20","
,  
(40.615867, -74.030649)"
"B00149","RAINBOW RAD DISP INC","7184984444","No","1304","UTICA AVENUE","BROOKLYN","NY","11203","LIVERY BASE","40.640752","-73.929535","2022-08-29T00:00:00.000","18:00:20","
,  
(40.640752, -73.929535)"
"B00151","KINGSBAY CAR SERVICE INC","7183323131","No","2111","AVENUE Z","BROOKLYN","NY","11235","LIVERY BASE","40.588885","-73.947936","2022-08-29T00:00:00.000","18:00:20","
,  
(40.588885, -73.947936)"
"B00170","EMUNAH CAR SERVICE INC","7189750909","No","1311","51 STREET","BROOKLYN","NY","11219","LIVERY BASE","40.633811","-73.992805","2022-08-29T00:00:00.000","18:00:20","
,  
(40.633811, -73.992805)"
"B00171","CURB TRANSPORTATION SERVICES LLC.","7182220600","No","11 - 11","34 AVENUE","LIC","NY","11106","LIVERY BASE","40.762829","-73.7718","2022-08-29T00:00:00.000","18:00:20","
,  
(40.762829, -73.7718)"
"B00202","EXCELSIOR CAR & LIMO, INC.","7186433900","No","241","37TH STREET  STE# 1-4-B460","BROOKLYN","NY","11232","BLACK CAR BASE","40.678782","-73.989979","2022-08-29T00:00:00.000","18:00:20","
,  
(40.678782, -73.989979)"
"B00208","ERNEST SCHWARZ INC","8778114846","No","15","CHAIN LANE","HICKSVILLE","NY","11801","LUXURY/LIMOUSINE","40.745993","-73.515605","2022-08-29T00:00:00.000","18:00:20","
,  
(40.745993, -73.515605)"
"B00221","PROFESSIONAL CAR SERVICE INC","2129236565","No","376","AUDUBON AVENUE","NEW YORK","NY","10033","LIVERY BASE","40.850482","-73.93131","2022-08-29T00:00:00.000","18:00:20","
,  
(40.850482, -73.93131)"
"B00222","REYNO CAR SVC, INC.","2129236800","Yes","609","W 175TH STREET","NEW YORK","NY","10033","LIVERY BASE","40.844996","-73.9348","2022-08-29T00:00:00.000","18:00:20","
,  
(40.844996, -73.9348)"
"B00225","DELANCEY TRANSPORTATION INC.","2122283301","No","29","ESSEX STREET  NORTH STORE","NEW YORK","NY","10002","LIVERY BASE","44.049572","-73.459721","2022-08-29T00:00:00.000","18:00:20","
,  
(44.049572, -73.459721)"
"B00227","PARK WEST EXEC. SERVICES, INC.","2127277800","No","36-36","33 STREET  #308","LIC","NY","11106","LUXURY/LIMOUSINE","40.754855","-73.929205","2022-08-29T00:00:00.000","18:00:20","
,  
(40.754855, -73.929205)"
"B00235","ARISTACAR & LIMOUSINE, LTD.","7186433900","No","241","37 STREET  STE#1-4-B443","BROOKLYN","NY","11232","BLACK CAR BASE","40.678782","-73.989979","2022-08-29T00:00:00.000","18:00:20","
,  
(40.678782, -73.989979)"
"B00248","YELLOWSTONE TRANSPORTATION INC.","7185397777","No","41-31","MAIN STREET","FLUSHING","NY","11355","LIVERY BASE","40.758114","-73.82962","2022-08-29T00:00:00.000","18:00:20","
,  
(40.758114, -73.82962)"
"B00254","XYZ TWO WAY RADIO","7184992007","No","32","ADELE STREET","STATEN ISLAND","NY","10305","BLACK CAR BASE","40.661323","-73.99142","2022-08-29T00:00:00.000","18:00:20","
,  
(40.661323, -73.99142)"
"B00255","CAUTIOUS CARS CORP","7182963333","No","76-19","ROCKAWAY BOULEVARD","WOODHAVEN","NY","11421","LIVERY BASE","40.685534","-73.86372","2022-08-29T00:00:00.000","18:00:20","
,  
(40.685534, -73.86372)"
"B00256","FAST OPERATING CORP","2126666666","No","2642","BROADWAY","NY","NY","10025","LIVERY BASE","40.760313","-73.9412","2022-08-29T00:00:00.000","18:00:20","
,  
(40.760313, -73.9412)"
"B00271","UTOG 2-WAY RADIO INC","7183617290","No","25-20","39 AVENUE","LONGISLANDCITY","NY","11101","BLACK CAR BASE","40.754227","-73.93631","2022-08-29T00:00:00.000","18:00:20","
,  
(40.754227, -73.93631)"
"B00272","BIG APPLE CAR INC","7182368765","No","169","BAY   17 STREET","BROOKLYN","NY","11214","BLACK CAR BASE","40.604428","-74.006622","2022-08-29T00:00:00.000","18:00:20","
,  
(40.604428, -74.006622)"
"B00277","ALL CITY CORP TRANS INC","7184020195","No","41-24","38 STREET","LIC","NY","11101","BLACK CAR BASE","40.638477","-73.983333","2022-08-29T00:00:00.000","18:00:20","
,  
(40.638477, -73.983333)"
"B00280","FLEET RADIO DISPATCH CORP.","7186517300","No","55","NORTH CENTRAL AVENUE","VALLEY STREAM","NY","11580","BLACK CAR BASE","40.749922","-73.903309","2022-08-29T00:00:00.000","18:00:20","
,  
(40.749922, -73.903309)"
"B00290","ZPI CORPORATION","7185076363","No","112-47","ROOSEVELT AVENUE","CORONA","NY","11368","LIVERY BASE","40.752235","-73.85365","2022-08-29T00:00:00.000","18:00:20","
,  
(40.752235, -73.85365)"
"B00306","LOVE LIMOUSINE NYC LTD","7186331554","No","41-24","38 STREET","LIC","NY","11101","BLACK CAR BASE","40.638477","-73.983333","2022-08-29T00:00:00.000","18:00:20","
,  
(40.638477, -73.983333)"
"B00310","WATSON CAR SERVICE INC.","7189918484","No","1681","BRUCKNER BOULEVARD","BRONX","NY","10472","LIVERY BASE","40.825135","-73.87033","2022-08-29T00:00:00.000","18:00:20","
,  
(40.825135, -73.87033)"
"B00319","AVENTINE AUTO RENTAL INC","7183361010","No","2079","EAST   16 STREET","BROOKLYN","NY","11229","LIVERY BASE","40.599286","-73.95541","2022-08-29T00:00:00.000","18:00:20","
,  
(40.599286, -73.95541)"
"B00325","CONTINENTAL RADIO DISPATCH CORP.","7185078006","No","98-02","ASTORIA BOULEVARD","EAST ELMHURST","NY","11369","LIVERY BASE","40.762236","-73.87128","2022-08-29T00:00:00.000","18:00:20","
,  
(40.762236, -73.87128)"
"B00345","MARTIN'S BELLE HARBOR CAR SERVICE","7186341200","No","173","BEACH 116TH STREET","ROCKAWAY PARK","NY","11694","LIVERY BASE","40.57911","-73.837141","2022-08-29T00:00:00.000","18:00:20","
,  
(40.57911, -73.837141)"
"B00350","A & A CHAMPION CAR LIMO SVC INC","7187798080","Yes","107-04","37 AVENUE","CORONA","NY","11368","LIVERY BASE","40.753702","-73.86129","2022-08-29T00:00:00.000","18:00:20","
,  
(40.753702, -73.86129)"
"B00369","BOULEVARD OPERATING INC.","7185911111","No","122-11","HILLSIDE AVENUE","RICHMOND HILL","NY","11418","LIVERY BASE","40.70212","-73.82873","2022-08-29T00:00:00.000","18:00:20","
,  
(40.70212, -73.82873)"
"B00375","THE EXCELLENT C/S INC","7187317777","Yes","144","EAST  174 STREET","BRONX","NY","10457","LIVERY BASE","40.844708","-73.90983","2022-08-29T00:00:00.000","18:00:20","
,  
(40.844708, -73.90983)"
"B00381","BELL RADIO INC","7184381100","No","41-24","38 STREET","LIC","NY","11101","BLACK CAR BASE","40.638477","-73.983333","2022-08-29T00:00:00.000","18:00:20","
,  
(40.638477, -73.983333)"
"B00387","FORTUNE LIMOUSINES INC","7185452400","No","20-02","31 STREET","ASTORIA","NY","11105","LUXURY/LIMOUSINE","40.779561","-73.906776","2022-08-29T00:00:00.000","18:00:20","
,  
(40.779561, -73.906776)"
"B00411","FONE-A-CAR INC","7184381100","No","41 - 24","38TH STREET","LIC","NY","11101","BLACK CAR BASE","40.638477","-73.98333","2022-08-29T00:00:00.000","18:00:20","
,  
(40.638477, -73.98333)"
"B00412","NYC 2 WAY INTERNATIONAL LTD","7186433900","No","241","37TH STREET  STE#1-4-B443","BROOKLYN","NY","11232","BLACK CAR BASE","40.678782","-73.98998","2022-08-29T00:00:00.000","18:00:20","
,  
(40.678782, -73.98998)"
"B00419","KOOP DISPATCHING INC.","7187922222","No","3287B","WESTCHESTER AVENUE","BRONX","NY","10461","LIVERY BASE","40.853011","-73.827527","2022-08-29T00:00:00.000","18:00:20","
,  
(40.853011, -73.827527)"
"B00429","SURF CAR SYSTEMS INC","7183274444","No","1092","BEACH   22 STREET","FAR ROCKAWAY","NY","11691","LIVERY BASE","40.60493","-73.754284","2022-08-29T00:00:00.000","18:00:20","
,  
(40.60493, -73.754284)"
"B00445","JOE M LEASING CORP","7187462222","No","150-18","12 ROAD","WHITESTONE","NY","11357","LIVERY BASE","40.789522","-73.813228","2022-08-29T00:00:00.000","18:00:20","
,  
(40.789522, -73.813228)"
"B00446","COMMUNICAR INCORPORATED","7184181100","No","73-10","88 STREET","GLENDALE","NY","11385","BLACK CAR BASE","40.70868","-73.863547","2022-08-29T00:00:00.000","18:00:20","
,  
(40.70868, -73.863547)"
"B00448","DIAL CAR INC.","7187438042","No","2104","AVENUE X","BROOKLYN","NY","11235","BLACK CAR BASE","40.592698","-73.948855","2022-08-29T00:00:00.000","18:00:20","
,  
(40.592698, -73.948855)"
"B00449","A KINGS HWY C/S INC.","7186274024","No","1656","EAST   15 STREET","BROOKLYN","NY","11229","LIVERY BASE","40.608951","-73.958486","2022-08-29T00:00:00.000","18:00:20","
,  
(40.608951, -73.958486)"
"B00477","INTA-BORO ACRES INC","7188451705","No","88-19","101 AVENUE","OZONE PARK","NY","11416","BLACK CAR BASE","40.682991","-73.851316","2022-08-29T00:00:00.000","18:00:20","
,  
(40.682991, -73.851316)"
"B00531","FRIENDLY BEST-WAY TRANSPORTATION, INC.","7182526363","No","1448","CONEY ISLAND AVENUE","BROOKLYN","NY","11230","LIVERY BASE","40.622131","-73.96493","2022-08-29T00:00:00.000","18:00:20","
,  
(40.622131, -73.96493)"
"B00536","WINTHROP HOLDING OF NEW YORK, INC","7182091616","No","5924","GLENWOOD ROAD","BROOKLYN","NY","11234","LIVERY BASE","40.634075","-73.919437","2022-08-29T00:00:00.000","18:00:20","
,  
(40.634075, -73.919437)"
"B00559","7 OCEAN EXPRESS INC.","7182663333","No","2111","AVENUE Z","BROOKLYN","NY","11235","LIVERY BASE","40.588885","-73.947936","2022-08-29T00:00:00.000","18:00:20","
,  
(40.588885, -73.947936)"
"B00597","WAKEFIELD LSG MAINT CORP","7183258663","No","4632","WHITE PLAINS ROAD  1ST FLOOR","BRONX","NY","10470","LIVERY BASE","40.903259","-73.849586","2022-08-29T00:00:00.000","18:00:20","
,  
(40.903259, -73.849586)"
"B00608","SUMMIT CORPORATE CAR INC.","7189727770","No","41-24","38TH STREET","L.I.C.","NY","11101","BLACK CAR BASE","40.638477","-73.983333","2022-08-29T00:00:00.000","18:00:20","
,  
(40.638477, -73.983333)"
"B00619","HOLA CAR SERVICE,INC.","7183646666","No","4371","3 AVENUE","BRONX","NY","10457","LIVERY BASE","40.850716","-73.894416","2022-08-29T00:00:00.000","18:00:20","
,  
(40.850716, -73.894416)"
"B00623","MANHATTAN INT'L LIMO NETWORK LLC","7188981000","No","24-59","47 STREET","ASTORIA","NY","11103","LUXURY/LIMOUSINE","40.741147","-73.942306","2022-08-29T00:00:00.000","18:00:20","
,  
(40.741147, -73.942306)"
"B00625","CENTRAL CAR SERVICES,INC.","7183354141","No","94-12","ASTORIA BOULEVARD","EAST ELMHURST","NY","11369","LIVERY BASE","40.762639","-73.874743","2022-08-29T00:00:00.000","18:00:20","
,  
(40.762639, -73.874743)"
"B00628","CONCORD LIMOUSINE 1, LLC","7189656100","No","712","3 AVENUE","BROOKLYN","NY","11232","BLACK CAR BASE","40.663353","-73.99894","2022-08-29T00:00:00.000","18:00:20","
,  
(40.663353, -73.99894)"
"B00639","ROCAPULCO CAR SERVICE INC.","7184747100","No","239","BEACH  116 STREET","ROCKAWAY PARK","NY","11694","LIVERY BASE","40.580524","-73.837823","2022-08-29T00:00:00.000","18:00:20","
,  
(40.580524, -73.837823)"
"B00647","KISS CAR SERVICE INC","7187331111","Yes","2811","WHITE PLAINS RD","BRONX","NY","10467","LIVERY BASE","40.865895","-73.88565","2022-08-29T00:00:00.000","18:00:20","
,  
(40.865895, -73.88565)"
"B00653","ROYAL CAR & LIMO SERVICE INC.","7183233333","Yes","104-09","109TH STREET","RICHMOND HILL","NY","11418","LIVERY BASE","40.683813","-73.832688","2022-08-29T00:00:00.000","18:00:20","
,  
(40.683813, -73.832688)"
"B00692","CHEERS DISPATCH,INC.","7189651616","No","307A","7 AVENUE","BROOKLYN","NY","11215","LIVERY BASE","40.667552","-73.98081","2022-08-29T00:00:00.000","18:00:20","
,  
(40.667552, -73.98081)"
"B00706","VIC & BAY CAR SERVICE, INC","7184472500","No","200","BAY STREET","STATEN ISLAND","NY","10301","LIVERY BASE","40.637194","-74.076872","2022-08-29T00:00:00.000","18:00:20","
,  
(40.637194, -74.076872)"
"B00727","RECHEV OF BROOKLYN INC","7183382003","No","992","EAST   15 STREET","BROOKLYN","NY","11230","LIVERY BASE","40.625392","-73.961533","2022-08-29T00:00:00.000","18:00:20","
,  
(40.625392, -73.961533)"
"B00756","T & S HILLSIDE INC.","7186585252","No","169-08","HILLSIDE AVENUE  2ND FLR","JAMAICA","NY","11432","LIVERY BASE","40.711551","-73.79299","2022-08-29T00:00:00.000","18:00:20","
,  
(40.711551, -73.79299)"
"B00789","VITAL TRANSPORTATION INC.","7184722500","No","41-24","38 STREET","LIC","NY","11101","BLACK CAR BASE","40.746697","-73.926818","2022-08-29T00:00:00.000","18:00:20","
,  
(40.746697, -73.926818)"
"B00802","BELL CAR SVC INC","7188332929","No","405","51 STREET","BROOKLYN","NY","11220","LIVERY BASE","40.645794","-74.012777","2022-08-29T00:00:00.000","18:00:20","
,  
(40.645794, -74.012777)"
"B00821","ATLANTIC CAR SVCE","7182771111","No","3207","FULTON STREET","BROOKLYN","NY","11208","LIVERY BASE","40.682549","-73.87676","2022-08-29T00:00:00.000","18:00:20","
,  
(40.682549, -73.87676)"
"B00827","CASTLE CAR SERVICE, INC","7184999333","No","440","4 AVENUE","BROOKLYN","NY","11215","LIVERY BASE","40.670603","-73.988814","2022-08-29T00:00:00.000","18:00:20","
,  
(40.670603, -73.988814)"
"B00837","CAREY LIMOUSINE NY, INC","7187770890","No","24-59","47 STREET","ASTORIA","NY","11103","LUXURY/LIMOUSINE","40.740878","-73.942043","2022-08-29T00:00:00.000","18:00:20","
,  
(40.740878, -73.942043)"
"B00850","UPTOWN TRANSIT CORP","7189932800","No","961","WASHINGTON AVENUE","BRONX","NY","10456","LIVERY BASE","40.825287","-73.91052","2022-08-29T00:00:00.000","18:00:20","
,  
(40.825287, -73.91052)"
"B00856","BEE-BEE CAR SERVICE INC.","7184982525","No","663","BLAKE AVENUE","BROOKLYN","NY","11207","LIVERY BASE","40.668117","-73.894177","2022-08-29T00:00:00.000","18:00:20","
,  
(40.668117, -73.894177)"
"B00860","SEAMAN RADIO DISPATCHERS INC","2123043612","Yes","4020","10 AVENUE","NEW YORK","NY","10034","LIVERY BASE","40.869265","-73.91584","2022-08-29T00:00:00.000","18:00:20","
,  
(40.869265, -73.91584)"
"B00887","DIAL 7 CAR & LIMOUSINE SERVICE INC.","2127777777","No","43-23","35 STREET","LIC","NY","11101","LIVERY BASE","40.745471","-73.929332","2022-08-29T00:00:00.000","18:00:20","
,  
(40.745471, -73.929332)"
"B00888","ACE C/L SVCE INC","7186334500","No","41-24","38TH STREET","L.I.C.","NY","11101","BLACK CAR BASE","40.638477","-73.983333","2022-08-29T00:00:00.000","18:00:20","
,  
(40.638477, -73.983333)"
"B00889","MEXICANA CAR SERVICE INC.","7184468700","No","70-18","35 AVENUE","JACKSON HEIGHTS","NY","11372","LIVERY BASE","40.752792","-73.88013","2022-08-29T00:00:00.000","18:00:20","
,  
(40.752792, -73.88013)"
"B00900","BIG Q CAR SVC. INC.","7188464500","No","86-29","102 STREET","RICHMOND HILL","NY","11418","LIVERY BASE","40.695478","-73.84531","2022-08-29T00:00:00.000","18:00:20","
,  
(40.695478, -73.84531)"
"B00906","OLYMPIA OPERATING CAR SERVICE OF NY CORP.","7186268000","No","23 - 90","23 STREET","ASTORIA","NY","11105","LIVERY BASE","40.775146","-73.91981","2022-08-29T00:00:00.000","18:00:20","
,  
(40.775146, -73.91981)"
"B00911","RIVERSIDE PLUS RADIO DISPATCH, INC.","7183658888","No","2383","WASHINGTON AVENUE","BRONX","NY","10458","LIVERY BASE","40.856193","-73.889072","2022-08-29T00:00:00.000","18:00:20","
,  
(40.856193, -73.889072)"
"B00919","HARLEM CARS INC.","2126638080","No","210","ST NICHOLAS AVENUE","NEW YORK","NY","10027","LIVERY BASE","40.807098","-73.952675","2022-08-29T00:00:00.000","18:00:20","
,  
(40.807098, -73.952675)"
"B00932","NATASHAS GRP CAR CORP","7185740155","No","372","WILSON AVENUE","BROOKLYN","NY","11221","LIVERY BASE","40.694835","-73.915817","2022-08-29T00:00:00.000","18:00:20","
,  
(40.694835, -73.915817)"
"B00937","RIVERSIDE RADIO DISPATCHER","2129231111","Yes","1642","ST NICHOLAS AVENUE","NEW YORK","NY","10040","LIVERY BASE","40.856313","-73.928389","2022-08-29T00:00:00.000","18:00:20","
,  
(40.856313, -73.928389)"
"B00948","510 CAR SERVICE CORP","7184857575","No","2225","PITKIN AVENUE","BROOKLYN","NY","11207","LIVERY BASE","40.672911","-73.890252","2022-08-29T00:00:00.000","18:00:20","
,  
(40.672911, -73.890252)"
"B00965","BEN JEVO MGT. INC.","7184422277","No","2","TOMPKINS AVENUE","STATEN ISLAND","NY","10304","LIVERY BASE","40.624172","-74.07967","2022-08-29T00:00:00.000","18:00:20","
,  
(40.624172, -74.07967)"
"B00972","N.J.M.INC.","7189672500","No","5230","ARTHUR KILL ROAD","STATEN ISLAND","NY","10307","LIVERY BASE","40.546918","-74.23034","2022-08-29T00:00:00.000","18:00:20","
,  
(40.546918, -74.23034)"
"B00987","MARLBORO CAR SERVICE INC.","3472290000","No","1612","NEPTUNE AVENUE  SUITE #3","BROOKLYN","NY","11224","LIVERY BASE","40.63575","-73.962804","2022-08-29T00:00:00.000","18:00:20","
,  
(40.63575, -73.962804)"
"B00990","MIRAGE LIMOUSINE SERVICE, INC.","7189377500","No","36-01","20 AVENUE","ASTORIA","NY","11105","LIVERY BASE","40.777951","-73.903755","2022-08-29T00:00:00.000","18:00:20","
,  
(40.777951, -73.903755)"
"B01009","UNITED LIMO C/M SVC CORP","7183876175","No","208","ROSS STREET","BROOKLYN","NY","11211","LIVERY BASE","40.706479","-73.958924","2022-08-29T00:00:00.000","18:00:20","
,  
(40.706479, -73.958924)"
"B01013","AMERICANA TRANSPORTATION LLC","7184491111","No","282","AVENUE U","BROOKLYN","NY","11223","LIVERY BASE","40.596741","-73.97373","2022-08-29T00:00:00.000","18:00:20","
,  
(40.596741, -73.97373)"
"B01016","810 CAR SVCE CORP","7182353480","No","2672","PITKIN AVENUE","BROOKLYN","NY","11208","LIVERY BASE","40.674932","-73.87351","2022-08-29T00:00:00.000","18:00:20","
,  
(40.674932, -73.87351)"
"B01020","MICHAELS CAR SERVICE INC.","7187713000","No","311","KINGSTON AVENUE","BROOKLYN","NY","11213","LIVERY BASE","40.668591","-73.942117","2022-08-29T00:00:00.000","18:00:20","
,  
(40.668591, -73.942117)"
"B01029","ZION CAR SERVICE INC.","7188714000","No","4920","NEW UTRECHT AVENUE","BROOKLYN","NY","11219","LIVERY BASE","40.636171","-73.995073","2022-08-29T00:00:00.000","18:00:20","
,  
(40.636171, -73.995073)"
"B01039","NYC WHEELS CAR SERVICE INC.","3475540100","No","1702","AVENUE Z  SUITE 105","BROOKLYN","NY","11235","LIVERY BASE","40.588063","-73.95214","2022-08-29T00:00:00.000","18:00:20","
,  
(40.588063, -73.95214)"
"B01051","B Q N C/S CORP","7183281111","No","1104","GARRISON AVENUE","BRONX","NY","10474","LIVERY BASE","40.819497","-73.88907","2022-08-29T00:00:00.000","18:00:20","
,  
(40.819497, -73.88907)"
"B01057","NEW AMERICAN C/L SVC","7189727979","No","221","DITMAS AVENUE","BROOKLYN","NY","11218","LIVERY BASE","40.635927","-73.976186","2022-08-29T00:00:00.000","18:00:20","
,  
(40.635927, -73.976186)"
"B01061","DAT RADIO DISP INC","7183288888","No","650","SOUNDVIEW AVENUE","BRONX","NY","10473","LIVERY BASE","40.818455","-73.862707","2022-08-29T00:00:00.000","18:00:20","
,  
(40.818455, -73.862707)"
"B01065","EL BARRIO'S CAR SERVICE LLC","2127225555","Yes","220","EAST 116 ST","NEW YORK","NY","10029","LIVERY BASE","40.797415","-73.93931","2022-08-29T00:00:00.000","18:00:20","
,  
(40.797415, -73.93931)"
"B01066","DOMINICANA RAD DISP INC","7185071700","No","101-09","NORTHERN BOULEVARD","CORONA","NY","11368","LIVERY BASE","40.757541","-73.867041","2022-08-29T00:00:00.000","18:00:20","
,  
(40.757541, -73.867041)"
"B01069","RPO CAR AND LIMOUSINE SERVICE INC.","7186415550","No","128-02","LIBERTY AVENUE","RICHMOND HILL","NY","11419","LIVERY BASE","40.688842","-73.81686","2022-08-29T00:00:00.000","18:00:20","
,  
(40.688842, -73.81686)"
"B01079","THE METRO MARINE CAR SERVICE INC","7187455555","No","9425","5 AVENUE","BROOKLYN","NY","11209","LIVERY BASE","40.618621","-74.030267","2022-08-29T00:00:00.000","18:00:20","
,  
(40.618621, -74.030267)"
"B01083","BROAD DYCKMAN C/S INC","2123048080","No","203","DYCKMAN STREET","NEW YORK","NY","10040","LIVERY BASE","40.864833","-73.92718","2022-08-29T00:00:00.000","18:00:20","
,  
(40.864833, -73.92718)"
"B01087","ELITE LIMO PLUS INC","7184722300","No","32-72","GALE AVENUE","LIC","NY","11101","BLACK CAR BASE","40.737893","-73.933857","2022-08-29T00:00:00.000","18:00:20","
,  
(40.737893, -73.933857)"
"B01088","PAISA 2 CAR  AND LIMOUSINE SERVICE INC","7184787700","No","37-08","100TH STREET","CORONA","NY","11368","LIVERY BASE","40.738362","-73.895646","2022-08-29T00:00:00.000","18:00:20","
,  
(40.738362, -73.895646)"
"B01091","A & R GOLDEN EXP INC","7189726666","No","5802","13 AVENUE","BROOKLYN","NY","11219","LIVERY BASE","40.629944","-73.99765","2022-08-29T00:00:00.000","18:00:20","
,  
(40.629944, -73.99765)"
"B01118","INTERNATIONAL CAR SERVICE INC.","7182300808","No","623","WASHINGTON AVENUE","BROOKLYN","NY","11238","LIVERY BASE","40.678872","-73.96373","2022-08-29T00:00:00.000","18:00:20","
,  
(40.678872, -73.96373)"
"B01129","GTWY INC","7182535600","No","4014","AVENUE U","BROOKLYN","NY","11234","LIVERY BASE","40.608694","-73.924219","2022-08-29T00:00:00.000","18:00:20","
,  
(40.608694, -73.924219)"
"B01145","ULTRA RADIO DISP INC","7189928000","No","277","EAST  165 STREET","BRONX","NY","10456","LIVERY BASE","40.82939","-73.91607","2022-08-29T00:00:00.000","18:00:20","
,  
(40.82939, -73.91607)"
"B01176","SANTO DOMINGO CAR LIMO SERVICES INC","7186995959","No","96-28","ALSTYNE AVENUE","CORONA","NY","11368","LIVERY BASE","40.743032","-73.866445","2022-08-29T00:00:00.000","18:00:20","
,  
(40.743032, -73.866445)"
"B01183","ODYSSEY GLOBAL TRANSPORTATION & LIMO LLC.","9174409997","No","32-72","GALE AVENUE","LIC","NY","11101","BLACK CAR BASE","40.749486","-73.94651","2022-08-29T00:00:00.000","18:00:20","
,  
(40.749486, -73.94651)"
"B01190","NEW BELL CAR SERVICE CORP","7182304499","No","640","MYRTLE AVENUE","BROOKLYN","NY","11205","LIVERY BASE","40.694109","-73.95885","2022-08-29T00:00:00.000","18:00:20","
,  
(40.694109, -73.95885)"
"B01194","440 CAR SERVICE INC.","7189194040","No","1266","MYRTLE AVENUE","BROOKLYN","NY","11221","LIVERY BASE","40.697777","-73.926688","2022-08-29T00:00:00.000","18:00:20","
,  
(40.697777, -73.926688)"
"B01196","DIPLO RAD DISP INC","7183658585","Yes","2304","SEDGWICK AVENUE  TORE 1","BRONX","NY","10468","LIVERY BASE","40.868789","-73.89777","2022-08-29T00:00:00.000","18:00:20","
,  
(40.868789, -73.89777)"
"B01200","NEW YORK APPLE CAR SERVICE INC","7184552121","No","1126","BUSHWICK AVENUE","BROOKLYN","NY","11221","LIVERY BASE","40.689376","-73.91839","2022-08-29T00:00:00.000","18:00:20","
,  
(40.689376, -73.91839)"
"B01215","ECUADOOR CORP","7182048412","No","44-10","30 AVENUE","ASTORIA","NY","11103","LIVERY BASE","40.762272","-73.911591","2022-08-29T00:00:00.000","18:00:20","
,  
(40.762272, -73.911591)"
"B01231","GO CAR CORP.","7183877777","No","616","GRAND STREET","BROOKLYN","NY","11211","LIVERY BASE","40.711065","-73.94753","2022-08-29T00:00:00.000","18:00:20","
,  
(40.711065, -73.94753)"
"B01233","NEW LACONIA RAD DISP INC","7187982222","No","3934","LACONIA AVENUE","BRONX","NY","10466","LIVERY BASE","40.883201","-73.849761","2022-08-29T00:00:00.000","18:00:20","
,  
(40.883201, -73.849761)"
"B01236","BLS LIMO SVC OF NY INC","7182675426","No","18-20","STEINWAY STREET","ASTORIA","NY","11105","LUXURY/LIMOUSINE","40.779966","-73.898038","2022-08-29T00:00:00.000","18:00:20","
,  
(40.779966, -73.898038)"
