"brooklyn_cooperatives_comparable_properties_boro_block_lot","brooklyn_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","brooklyn_cooperatives_comparable_properties_neighborhood","brooklyn_cooperatives_comparable_properties_building_classification","brooklyn_cooperatives_comparable_properties_total_units","brooklyn_cooperatives_comparable_properties_year_built","brooklyn_cooperatives_comparable_properties_gross_sqft","brooklyn_cooperatives_comparable_properties_estimated_gross_income","brooklyn_cooperatives_comparable_properties_gross_income_per_sqft","brooklyn_cooperatives_comparable_properties_estimated_expense","brooklyn_cooperatives_comparable_properties_expense_per_sqft","brooklyn_cooperatives_comparable_properties_net_operating_income","brooklyn_cooperatives_comparable_properties_full_market_value","brooklyn_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_estimated_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_estimated_expense","comparable_rental_1_expense_per_sqft","comparable_rental_1_net_operating_income","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_distance_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_estimated_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_estimated_expense","comparable_rental_2_expense_per_sqft","comparable_rental_2_net_operating_income","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_distance_from_coop_in_miles","comparable_rental_3_boro_block_lot","comparable_rental_3_address","comparable_rental_3_neighborhood","comparable_rental_3_building_classification","comparable_rental_3_total_units","comparable_rental_3_year_built","comparable_rental_3_gross_sqft","comparable_rental_3_estimated_gross_income","comparable_rental_3_gross_income_per_sqft","comparable_rental_3_estimated_expense","comparable_rental_3_expense_per_sqft","comparable_rental_3_net_operating_income","comparable_rental_3_full_market_value","comparable_rental_3_market_value_per_sqft","comparable_rental_3_distance_from_coop_in_miles"
"3-05122-0021","150 19 STREET
Brooklyn, NY 
(40.604057838232, -74.005176283739)","3",,,,,,,,,,"FLATBUSH-CENTRAL","D4-ELEVATOR","48","1935","44178","545598","12.35","289167","6.55","256431","1573000","35.61","3-05150-0001","201 19 STREET
Brooklyn, NY 
(40.602898590784, -74.006177703227)","FLATBUSH-CENTRAL","D1-ELEVATOR","55","1964","54776","639515","11.68","368327","6.72","271188","1735000","31.67","0.16","3-05161-0014","330 19 STREET
Brooklyn, NY 
(40.600560556674, -74.008544593727)","FLATBUSH-CENTRAL","D1-ELEVATOR","85","1958","69820","905663","12.97","529624","7.59","376039","2507000","35.91","0.29","3-05152-0001","2102 BEVERLY ROAD
Brooklyn, NY 
(40.644944516359, -73.958887362656)","FLATBUSH-CENTRAL","D1-ELEVATOR","75","1958","62,272","768,801","12.35","451,929","7.26","316,872","2,007,000","32.23","0.21"
"3-05247-0006","657 26 STREET
Brooklyn, NY 
(40.634565773879, -73.952188460824)","3",,,,,,,,,,"FLATBUSH-CENTRAL","D4-ELEVATOR","113","1941","118398","1077422","9.1","544631","4.6","532791","3146000","26.57","3-07554-0048","712 27 STREET
Brooklyn, NY 
(40.633223749525, -73.951043320238)","MIDWOOD","D1-ELEVATOR","59","1931","69782","635013","9.1","408717","5.86","226296","1347000","19.3","0.11","3-05246-0047","600 26 STREET
Brooklyn, NY 
(40.635793059383, -73.952502005585)","FLATBUSH-CENTRAL","D1-ELEVATOR","36","1931","36000","399958","11.11","225630","6.27","174328","1076000","29.89","0.05","3-07573-0020","861 27 STREET
Brooklyn, NY 
(40.629345465385, -73.950239664996)","MIDWOOD","D1-ELEVATOR","53","1931","70,560","528,994","7.5","324,924","4.6","204,070","1,199,000","16.99","0.34"
"3-05859-0015","6801 SHORE ROAD
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3","11220","40.63962","-74.035636","10","43","34","3144936","3058590015","Bay Ridge                                                                  ","BAY RIDGE","D4-ELEVATOR","106","1952","161232","2444277","15.16","1268896","7.87","1175381","8079000","50.11","3-05881-0038","15 MACKAY PLACE
Brooklyn, NY 
(40.637146571273, -74.035450291167)","BAY RIDGE","D1-ELEVATOR","69","1960","50400","822994","16.33","273716","5.43","549278","3003000","59.58","0.11","3-05929-0054","353 BAY RIDGE PARKWAY
Brooklyn, NY 
(40.631149722868, -74.026342366728)","BAY RIDGE","D1-ELEVATOR","43","1961","27048","410168","15.16","189596","7.01","220572","1516000","56.05","0.7","3-05938-0040","7502 RIDGE BOULEVARD
Brooklyn, NY 
(42.433188999772, -78.748646000413)","BAY RIDGE","D1-ELEVATOR","59","1936","50,400","719,307","14.27","399,964","7.94","319,343","2,213,000","43.91","0.52"
"3-06747-0052","1801 AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3",,,,,,,,,,"MIDWOOD","D4-ELEVATOR","59","1936","64320","690154","10.73","377558","5.87","312596","1937000","30.12","3-06748-0045","1866 OCEAN AVENUE
Brooklyn, NY 
(40.616457504438, -73.954741591462)","MIDWOOD","D1-ELEVATOR","60","1928","60372","648022","10.73","282368","4.68","365654","1782000","29.52","0.06","3-06746-0015","1342 18 STREET
Brooklyn, NY 
(40.617762937334, -73.957109317972)","MIDWOOD","D1-ELEVATOR","42","1929","49632","461268","9.29","261139","5.26","200129","1188000","23.94","0.05","3-06748-0040","1854 OCEAN AVENUE
Brooklyn, NY 
(40.616739644242, -73.954795483334)","MIDWOOD","D1-ELEVATOR","60","1927","53,052","680,084","12.82","351,493","6.63","328,591","2,194,000","41.36","0.06"
"3-00216-0003","55 HICKS STREET
Brooklyn, NY 
(40.699999552323, -73.993553888777)","3","11201","40.700043","-73.993562","2","33","1","3001588","3002160003","Brooklyn Heights-Cobble Hill                                               ","BROOKLYN HEIGHTS","C6-WALK-UP","30","1900","17245","543218","31.5","170208","9.87","373010","2783000","161.38","3-00210-0016","42 HICKS STREET
Brooklyn, NY 
(40.700665542553, -73.993316201115)","BROOKLYN HEIGHTS","C1-WALK-UP","12","1900","7935","249926","31.5","78300","9.87","171626","1281000","161.44","0.08","3-00230-0011","104 HICKS STREET
Brooklyn, NY 
(40.698523237732, -73.994332858287)","BROOKLYN HEIGHTS","C1-WALK-UP","14","1840","6750","220851","32.72","79356","11.76","141495","1052000","155.85","0.16","3-00235-0061","158 HICKS STREET
Brooklyn, NY 
(40.696843672932, -73.995138882362)","BROOKLYN HEIGHTS","C1-WALK-UP","12","1855","6,345","196,697","31","65,523","10.33","131,174","980,000","154.45","0.25"
"3-05951-0001","7609 4 AVENUE
Brooklyn, NY 
(40.630009571872, -74.025359328504)","3","11209","40.629955","-74.025413","10","43","136","3149233","3059510001","Bay Ridge                                                                  ","BAY RIDGE","D4-ELEVATOR","82","1927","63522","1109094","17.46","545019","8.58","564075","4070000","64.07","3-05961-0001","7721 4 AVENUE
Brooklyn, NY 
(40.629207528221, -74.025698203808)","BAY RIDGE","D7-ELEVATOR","41","1921","23750","444600","18.72","213513","8.99","231087","1661000","69.94","0.05","3-05872-0007","315 OVINGTON AVENUE
Brooklyn, NY 
(40.634725237986, -74.026006691834)","BAY RIDGE","D1-ELEVATOR","102","1962","76686","1241803","16.19","566874","7.39","674929","4596000","59.93","0.4",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-06503-0030","820 OCEAN PARKWAY
Brooklyn, NY 
(40.628470722028, -73.971599941152)","3","11230","40.628494","-73.971295","14","44","46201","3170328","3065030030","Flatbush                                                                   ","OCEAN PARKWAY-NORTH","D4-ELEVATOR","132","1961","144060","1603388","11.13","828345","5.75","775043","4783000","33.2","3-06494-0037","785 OCEAN PARKWAY
Brooklyn, NY 
(40.629369690859, -73.971137458115)","OCEAN PARKWAY-NORTH","D1-ELEVATOR","60","1951","62485","841459","13.47","458010","7.33","383449","1936000","30.98","0.12","3-05423-0049","716 OCEAN PARKWAY
Brooklyn, NY 
(40.630899490022, -73.972056927531)","OCEAN PARKWAY-NORTH","D1-ELEVATOR","47","1931","54500","525469","9.64","239848","4.4","285621","1693000","31.06","0.15","3-05420-0058","682 OCEAN PARKWAY
Brooklyn, NY 
(40.631691942661, -73.972204041556)","OCEAN PARKWAY-NORTH","D1-ELEVATOR","41","1931","40,800","454,165","11.13","230,988","5.66","223,177","1,254,000","30.74","0.2"
"3-01081-0005","305 8 AVENUE
Brooklyn, NY 
(40.669321292465, -73.976199039781)","3","11215","40.669261","-73.97628","6","39","165","3025463","3010810005","Park Slope-Gowanus                                                         ","PARK SLOPE","C6-WALK-UP","32","1914","32064","613064","19.12","311983","9.73","301081","2160000","67.37","3-01081-0001","525 4 STREET
Brooklyn, NY 
(40.668763180016, -73.976608061272)","PARK SLOPE","C1-WALK-UP","14","1920","11524","295438","25.64","139443","12.1","155995","1131000","98.14","0","3-01085-0037","94 PROSPECT PARK
Brooklyn, NY 
(40.700601192899, -73.986670164593)","PARK SLOPE","C1-WALK-UP","30","1920","21195","405315","19.12","206226","9.73","199089","1428000","67.37","0.1","3-01085-0068","573 6 STREET
Brooklyn, NY 
(40.667335883416, -73.977179185696)","PARK SLOPE","C1-WALK-UP","16","1920","12,664","129,484","10.22","74,190","5.86","55,294","305,000","24.08","0.1"
"3-01933-0100","333 LAFAYETTE AVENUE
Brooklyn, NY 
(40.688534755281, -73.963201576119)","3","11238","40.688504","-73.963365","2","35","193","3055377","3019330100","Clinton Hill                                                               ","CLINTON HILL","D4-ELEVATOR","327","1963","370990","5290317","14.26","3227613","8.7","2062704","14295000","38.53","3-01785-0020","210 KOSCIUSZKO STREET
Brooklyn, NY 
(40.691170776996, -73.9463843632)","BEDFORD STUYVESANT","D1-ELEVATOR","101","1974","104920","1564357","14.91","828868","7.9","735489","3720000","35.46","0.83","3-01588-0001","157 MARCUS
Brooklyn, NY 
(42.433188999772, -78.748646000413)","BEDFORD STUYVESANT","D6-ELEVATOR","272","1976","290715","4145596","14.26","2238506","7.7","1907090","12457000","42.85","1.3","3-01684-0001","362 MALCOLM X BOULEVARD
Brooklyn, NY 
(40.680477068647, -73.928599864021)","BEDFORD STUYVESANT","D1-ELEVATOR","248","1980","302,400","3,056,167","10.11","1,881,712","6.22","1,174,455","7,326,000","24.23","1.53"
"3-05275-0036","47 REEVE PLACE
Brooklyn, NY 
(40.653314710518, -73.974682766804)","3","11218","40.653289","-73.974679","7","39","50202","3122517","3052750036","Windsor Terrace                                                            ","WINDSOR TERRACE","C6-WALK-UP","16","1931","9916","116116","11.71","54141","5.46","61975","236000","23.8","3-05256-0006","1661 11 AVENUE
Brooklyn, NY 
(40.65656382008, -73.976897370521)","WINDSOR TERRACE","C1-WALK-UP","27","1927","23840","279223","11.71","154669","6.49","124554","752000","31.54","0.2","3-05328-0079","221 5 STREET
Brooklyn, NY 
(40.672556247418, -73.986216415861)","KENSINGTON","C1-WALK-UP","12","1926","12800","148313","11.59","70533","5.51","77780","392000","30.63","0.49","3-05074-0047","39 ARGYLE ROAD
Brooklyn, NY 
(40.648588942089, -73.967682212842)","FLATBUSH-CENTRAL","C1-WALK-UP","16","1931","16,640","203,535","12.23","131,184","7.88","72,351","441,000","26.5","0.51"
"3-05453-0018","1528 49 STREET
Brooklyn, NY 
(40.631942191024, -73.987077345632)","3","11219","40.631895","-73.986951","12","44","236","3129134","3054530018","Borough Park                                                               ","BOROUGH PARK","D4-ELEVATOR","64","1939","70800","771862","10.9","325880","4.6","445982","2178000","30.76","3-05622-0007","4611 12 AVENUE
Brooklyn, NY 
(40.637947550918, -73.992607956791)","BOROUGH PARK","D1-ELEVATOR","63","1939","64800","763344","11.78","419904","6.48","343440","2057000","31.74","0.47","3-05635-0041","4812 14 AVENUE
Brooklyn, NY 
(40.63418525925, -73.989437303672)","BOROUGH PARK","D1-ELEVATOR","82","1927","71860","797712","11.1","427352","5.95","370360","1903000","26.48","0.3","3-00923-0037","4114 9 AVENUE
Brooklyn, NY 
(40.644749649448, -73.996375805024)","BOROUGH PARK","D1-ELEVATOR","66","1959","71,288","827,869","11.61","417,330","5.85","410,539","2,630,000","36.89","1.11"
"3-01173-0038","426 STERLING PLACE
Brooklyn, NY 
(40.674751911518, -73.964182847712)","3","11238","40.674813","-73.964324","8","35","207","3029394","3011730038","Prospect Heights                                                           ","PROSPECT HEIGHTS","C6-WALK-UP","16","1910","15000","312220","20.81","163422","10.89","148798","1093000","72.87","3-01173-0078","369 ST JOHN'S PLACE
Brooklyn, NY 
(40.674149953929, -73.965467116157)","PROSPECT HEIGHTS","C1-WALK-UP","16","1909","13385","237404","17.74","95521","7.14","141883","1023000","76.43","0","3-01173-0082","357 ST JOHN'S PLACE
Brooklyn, NY 
(40.674225498446, -73.965828527995)","PROSPECT HEIGHTS","C1-WALK-UP","16","1909","13385","221618","16.56","103916","7.76","117702","852000","63.65","0","3-01173-0043","442 STERLING PLACE
Brooklyn, NY 
(40.674656506305, -73.963716690597)","PROSPECT HEIGHTS","C1-WALK-UP","20","1911","16,984","375,091","22.08","185,959","10.95","189,132","1,385,000","81.55","0"
"3-00965-0038","264 6 AVENUE
Brooklyn, NY 
(40.673285081549, -73.979593436383)","3","11215","40.673269","-73.979588","6","39","133","3020630","3009650038","Park Slope-Gowanus                                                         ","PARK SLOPE","D4-ELEVATOR","43","1921","31708","445331","14.04","155128","4.89","290203","1909000","60.21","3-01078-0016","530 2 STREET
Brooklyn, NY 
(40.670711051002, -73.977282710454)","PARK SLOPE","D1-ELEVATOR","47","1920","39261","653750","16.65","364847","9.29","288903","2091000","53.26","0.31","3-01065-0027","862 UNION STREET
Brooklyn, NY 
(40.673611671934, -73.973367230345)","PARK SLOPE","D1-ELEVATOR","49","1920","35310","704826","19.96","327122","9.26","377704","2702000","76.52","0.34","3-01079-0040","70 PROSPECT PARK
Brooklyn, NY 
(40.700642038029, -73.987868812094)","PARK SLOPE","D1-ELEVATOR","30","1920","36,636","603,351","16.47","261,998","7.15","341,353","2,471,000","67.45","0.45"
"3-07441-0231","2600 21 STREET
Brooklyn, NY 
(40.578508345427, -73.988412435558)","3",,,,,,,,,,"SHEEPSHEAD BAY","D4-ELEVATOR","63","1959","52360","576484","11.01","248710","4.75","327774","2025000","38.67","3-07422-0101","2813 OCEAN AVENUE
Brooklyn, NY 
(40.592695469092, -73.950057936405)","SHEEPSHEAD BAY","D1-ELEVATOR","60","1929","55920","537965","9.62","300313","5.37","237652","1408000","25.18","0.15","3-07465-0040","3051 OCEAN AVENUE
Brooklyn, NY 
(40.586752710696, -73.948933363287)","SHEEPSHEAD BAY","D1-ELEVATOR","69","1938","61000","740963","12.15","341055","5.59","399908","1947000","31.92","0.16","3-07405-0058","2753 OCEAN AVENUE
Brooklyn, NY 
(40.594239640929, -73.950332488931)","SHEEPSHEAD BAY","D1-ELEVATOR","42","1940","37,800","397,367","10.51","237,359","6.28","160,008","938,000","24.81","0.3"
"3-01179-0047","135 EASTERN PARKWAY
Brooklyn, NY 
(40.672351398124, -73.964570352193)","3","11238","40.672162","-73.964289","8","35","215","3029628","3011790047","Prospect Heights                                                           ","PROSPECT HEIGHTS","D4-ELEVATOR","186","1926","220000","3194070","14.52","780311","3.55","2413759","16694000","75.88","3-01164-0064","215 STERLING PLACE
Brooklyn, NY 
(40.676161347247, -73.970667605291)","PROSPECT HEIGHTS","D1-ELEVATOR","82","1937","92902","1456913","15.68","622975","6.71","833938","5357000","57.66","0.41","3-01156-0080","545 PROSPECT PLACE
Brooklyn, NY 
(40.675507260543, -73.958437949426)","CROWN HEIGHTS","D5-ELEVATOR","159","1930","172800","2935207","16.99","1376964","7.97","1558243","11266000","65.2","0.43",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-00234-0019","177 COLUMBIA HEIGHTS
Brooklyn, NY 
(40.697118623176, -73.996866484155)","3","11201","40.697213","-73.996837","2","33","301","3001739","3002340019","Brooklyn Heights-Cobble Hill                                               ","BROOKLYN HEIGHTS","C6-WALK-UP","29","1925","16250","334263","20.57","162175","9.98","172088","1265000","77.85","3-00263-0045","20 SIDNEY PLACE
Brooklyn, NY 
(40.692407482192, -73.994512632422)","BROOKLYN HEIGHTS","C1-WALK-UP","26","1900","12024","436067","36.27","161687","13.45","274380","2023000","168.25","0.36","3-00254-0073","124 REMSEN STREET
Brooklyn, NY 
(40.69384504967, -73.993730021167)","BROOKLYN HEIGHTS","C1-WALK-UP","17","1900","14608","445398","30.49","111167","7.61","334231","4601000","314.96","0.28","3-00243-0029","90 PIERREPONT STREET
Brooklyn, NY 
(40.695378933138, -73.993818582061)","BROOKLYN HEIGHTS","C1-WALK-UP","20","1900","11,580","365,810","31.59","115,524","9.98","250,286","1,867,000","161.23","0.23"
