"birth_year","sex_of_infant","race_or_ethnicity_of_mother","births","percentage"
"2011","Male","Non-Hispanic Black","13023","20.8"
"2011","Female","Non-Hispanic Black","12802","21.3"
"2011","Female","Hispanic","18707","31.1"
"2011","Male","Other","736","1.2"
"2011","Male","Hispanic","18924","30.2"
"2011","Female","Asian/ Pacific Islander","9399","15.6"
"2011","Female","Non-Hispanic White","18523","30.8"
"2011","Male","Asian/ Pacific Islander","10000","15.9"
"2011","Male","Non-Hispanic White","20050","32"
"2012","Male","Hispanic","18750","29.7"
"2012","Female","Non-Hispanic Black","12171","20.3"
"2012","Female","Other","717","1.2"
"2012","Male","Asian/ Pacific Islander","11035","17.5"
"2012","Female","Hispanic","17892","29.8"
"2012","Female","Non-Hispanic White","19060","31.8"
"2012","Male","Non-Hispanic White","20052","31.7"
"2012","Female","Asian/ Pacific Islander","10114","16.9"
"2012","Male","Other","751","1.2"
"2012","Male","Non-Hispanic Black","12587","19.9"
"2013","Male","Non-Hispanic White","20499","33.2"
"2013","Male","Other","727","1.2"
"2013","Female","Asian/ Pacific Islander","9583","16.3"
"2013","Male","Asian/ Pacific Islander","10184","16.5"
"2013","Female","Other","622","1.1"
"2013","Male","Hispanic","18033","29.2"
"2013","Female","Non-Hispanic White","19074","32.5"
"2013","Male","Non-Hispanic Black","12287","19.9"
"2013","Female","Non-Hispanic Black","11821","20.2"
"2013","Female","Hispanic","17548","29.9"
"2014","Male","Hispanic","17987","28.9"
"2014","Female","Non-Hispanic White","19599","32.8"
"2014","Male","Non-Hispanic Black","11912","19.1"
"2014","Female","Other","724","1.2"
"2014","Female","Non-Hispanic Black","11768","19.7"
"2014","Male","Non-Hispanic White","20844","33.5"
"2014","Female","Asian/ Pacific Islander","9955","16.7"
"2014","Female","Hispanic","17663","29.6"
"2014","Male","Asian/ Pacific Islander","10791","17.3"
"2014","Male","Other","761","1.2"
"2015","Male","Hispanic","18108","2900.0"
"2015","Male","Asian/ Pacific Islander","10667","1710.0"
"2015","Male","Non-Hispanic White","21002","3360.0"
"2015","Male","Non-Hispanic Black","11744","1880.0"
"2015","Male","Other","899","140.0"
"2015","Male","Not stated /Unknown","35","10.0"
"2015","Female","Hispanic","17447","2950.0"
"2015","Female","Asian/ Pacific Islander","9868","1670.0"
"2015","Female","Non-Hispanic White","19605","3310.0"
"2015","Female","Non-Hispanic Black","11372","1920.0"
"2015","Female","Other","882","150.0"
"2015","Female","Not stated /Unknown","44","10.0"
"2016","Male","Hispanic","17360","2820.0"
"2016","Male","Asian/ Pacific Islander","11198","1820.0"
"2016","Male","Non-Hispanic White","20973","3410.0"
"2016","Male","Non-Hispanic Black","11220","1820.0"
"2016","Male","Other","822","130.0"
"2016","Male","Not stated /Unknown","59","10.0"
"2016","Female","Hispanic","16714","2850.0"
"2016","Female","Asian/ Pacific Islander","10368","1770.0"
"2016","Female","Non-Hispanic White","19660","3350.0"
"2016","Female","Non-Hispanic Black","11245","1920.0"
"2016","Female","Other","712","120.0"
"2016","Female","Not stated /Unknown","36","10.0"
"2017","Male","Hispanic","16722","2790.0"
"2017","Male","Asian/ Pacific Islander","10520","1750.0"
"2017","Male","Non-Hispanic White","20738","3450.0"
"2017","Male","Non-Hispanic Black","11281","1880.0"
"2017","Male","Other","777","130.0"
"2017","Male","Not stated /Unknown","64","10.0"
"2017","Female","Hispanic","16138","2840.0"
"2017","Female","Asian/ Pacific Islander","9590","1690.0"
"2017","Female","Non-Hispanic White","19607","3450.0"
"2017","Female","Non-Hispanic Black","10711","1880.0"
"2017","Female","Other","797","140.0"
"2017","Female","Not stated /Unknown","68","10.0"
"2017","Male","Hispanic","16722","2780.0"
"2017","Male","Asian/ Pacific Islander","10520","1750.0"
"2017","Male","Non-Hispanic White","20738","3450.0"
"2017","Male","Non-Hispanic Black","11281","1880.0"
"2017","Male","Other","777","130.0"
"2017","Male","Not stated /Unknown","64","10.0"
"2017","Female","Hispanic","16138","2840.0"
"2017","Female","Asian/ Pacific Islander","9590","1690.0"
"2017","Female","Non-Hispanic White","19607","3450.0"
"2017","Female","Non-Hispanic Black","10711","1880.0"
"2017","Female","Other","797","140.0"
"2017","Female","Not stated /Unknown","68","10.0"
"2018","Male","Hispanic","16034","2740.0"
"2018","Male","Asian/ Pacific Islander","9876","1690.0"
"2018","Male","Non-Hispanic White","20653","3530.0"
"2018","Male","Non-Hispanic Black","10799","1850.0"
"2018","Male","Other","951","160.0"
"2018","Male","Not stated /Unknown","130","20.0"
"2018","Female","Hispanic","15672","2810.0"
"2018","Female","Asian/ Pacific Islander","9148","1640.0"
"2018","Female","Non-Hispanic White","19674","3520.0"
"2018","Female","Non-Hispanic Black","10346","1850.0"
"2018","Female","Other","926","170.0"
"2018","Female","Not stated /Unknown","87","20.0"
"2019","Male","Hispanic","15254","2700"
"2019","Male","Asian/ Pacific Islander","9756","1730.0"
"2019","Male","Non-Hispanic White","20194","3570.0"
"2019","Male","Non-Hispanic Black","10167","1800"
"2019","Male","Other","975","170.0"
"2019","Male","Not stated /Unknown","170","30.0"
"2019","Female","Hispanic","14964","2780.0"
"2019","Female","Asian/ Pacific Islander","8969","1660.0"
"2019","Female","Non-Hispanic White","19084","3540.0"
"2019","Female","Non-Hispanic Black","9886","1830.0"
"2019","Female","Other","856","160.0"
"2019","Female","Not stated /Unknown","167","30.0"
