"agency","organization_name","organization_address","city","state","zip","building_number","school_number","community_board","council_district","project_title","project_description","amnt_requested","funded_amount","borough","latitude","longitude","census_tract","bin","bbl","nta"
"DCA","South Street Seaport Museum's","12 Fulton Street","New York","NY","10038",,,"CB1","CD01","Wavertree Ship Renovation/Construction Project","Fabrication and installation of new mass and rigging.","* 250,000.00","0.00","MANHATTAN","40.706631","-74.003495","1502","1085798","1000740001","Battery Park City-Lower Manhattan                                          "
"DCA","South Street Seaport Museum's","12 Fulton Street","New York","NY","10038",,,"CB1","CD01","Freight Elevator Replacement Project","Replace existing hydraulic freight elevator - cab, frame, platform, door operator, all hydraulic equipment, entrance frame, all wiring, controls and motors.","* 300,000.00","300000.00","MANHATTAN","40.706631","-74.003495","1502","1085798","1000740001","Battery Park City-Lower Manhattan                                          "
"DCA","The 122 Community Center, Inc.","150 First Avenue","New York","NY","10009",,,"CB3","CD02","Renovation and New Construction Project","Reorganize and Renovate the public and program spaces to obtain a Certificate of Occupancy for building which houses (3) working theatres.  Building lacks basic elements needed to obtain a C of O.  New renovation will include a ADA compliant  street acces","* 500,000.00","400000.00","MANHATTAN","40.728261","-73.984785","34","1005894","1004370001","East Village                                                               "
"DCA","The Carnegie Hall Corporation","881 Seventh Avenue","New York","NY","10019",,,"CB5","CD04","Carnegie Hall Complex Multi-year Renovation Project","(1) Elevator upgrades; roof top track system, davits and window washing rig; new marquees for Zankel Hall and Isaac Stern Auditorium/Perelman Stage; exterior architectural Lighting; a rooftop tent; new fire alarm systems for two of the three performance s","* 500,000.00","500000.00","MANHATTAN","40.764941","-73.980445","137","1023449","1010090001","Midtown-Midtown South                                                      "
"DCA","The Flea Theater","41 White Street","New York","NY","10013",,,"CB1","CD01","Building Renovation/Construction Project","Full Renovation of existing building at 20 Thomas Street  to create a single complex with three theaters, attendant lobby and public spaces, technical/dressing room/program support space, office space and a conference area.","* 500,000.00","500000.00","MANHATTAN","40.718664","-74.004452","33","1001931","1001750019","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"DCA","The Hispanic Society","613 West 155th Street","New York","NY","10032",,,"CB12","CD07","Phase II Master Plan: Facade and Roof Project","Renovate, upgrade and expand their facilities - restore building facades and replace the main building roof in order to preserve the integrity of its NYC Landmark and National Historic Landmark buildings.","* 500,000.00","0.00","MANHATTAN","40.833063","-73.946478","241","1081864","1021340008","Washington Heights South                                                   "
"DCA","The New 42nd Street, Inc.","229 West 42nd Street","New York","NY","10036",,,"CB5","CD03","Space Enhancement Project","Convert their Studios for rehearsal space to performance space allowing NYC nonprofits to use the space for a wide range of public presentations, rehearsals, workshops, showcases and events.  There will be upgrades to to the audio and lighting systems, mo","* 425,000.00","0.00","MANHATTAN","40.756571","-73.98819","119","1024683","1010140017","Midtown-Midtown South                                                      "
"DCA","The New York City Police Museum","100 Old Slip","New York","NY","10005",,,"CB1","CD01","Boiler Project","Add funding to the FY12 and FY13 appropriation Boiler Project ID#126PV206-BLR  Additional funds will aid in moving system to a higher floor since museum was impacted by Storm Sandy.","* 500,000.00","0.00","MANHATTAN","40.703279","-74.008039","7","1000866","1000340037","Battery Park City-Lower Manhattan                                          "
"DCA","The Symphony Space","2537 Broadway","New York","NY","10025",,,"CB7","CD06","Theatre Renovation Project","reconfigure the balcony in the Peter Jay Sharp Theatre to create patron lounge, improve audience circulation in both theatres, expand administrative work area, improve artists access in both theatres, enhance technical capabilities of both theatres, inclu","* 906,583.00","450000.00","MANHATTAN","40.793842","-73.972393","183","1033687","1012420055","Upper West Side                                                            "
"DCA","Theater for the New City Foundation, Inc.","155 First Avenue ","New York","NY","10003",,,"CB3","CD02","Demolition/ Facility Upgrade","Demolish existing areas to receive a new 30 LF thermal Glass storefront inclusive of interior vestibule and installation of a 30 LF x 20'D sculptural façade art piece consisting of 75 theater chairs with approximately 20 coats and other miscellaneous arti","* 250,000.00","100000.00","MANHATTAN","40.728505","-73.984634","40","1006416","1004517502","East Village                                                               "
"DCA","Town Hall Foundation, Inc.","123 West 43rd Street","New York","NY","10036",,,"CB5","CD03","Audio Visual Technology Equipment Upgrade ","Purchase of a broadcast quality high-def cameras, computers and software to operate rthe robotic cameras remotely, necessary mixing equipment, and state of the artmicrophones and audio equipment.","$92, 479.81","89000.00","MANHATTAN","40.755843","-73.984382","119","1022615","1009960021","Midtown-Midtown South                                                      "
"DCA","Visual Arts Research and Resource Center Relating to the Caribbean ","408 W 58th St,","New York","NY","10019",,,"CB11","CD08","125th Street Firehouse","Renovate the 8,400 square foot firehouse on 125th street.  The concept for the design consists of refinishing the façade and adapting the building,  landmark by NYC Landmarks Preservation Commission, to a new vibrant program that includes a café, gallery space, flexible multi-purpose space, computer center, recording studio, and offices.","$500,000.00 ","0.00","MANHATTAN","40.768837","-73.985812","139","1026890","1010670037","Clinton                                                                    "
"DCA","Whitney Museum of American Art","93 Gansevoort Street","New York","NY","10014",,,"CB2","CD03","Expansion / New Construction Project","Construction of a new 222,000-sq. ft facility in the Meatpacking District of Lower Manhattan - 93 Gansvoort Street includes: an 7,000 sq. ft Outdoor Plaza, 13,000 sq. ft. Outdoor Exhibition Space.","* 500,000.00","500000.00","MANHATTAN","40.739386","-74.008754","79","1089240","1006440010","West Village                                                               "
"DOE","(1)Lab Middle School for Collaborative Studies                      (2) Lab School for Collaborative Studies (3) Museum School","333 West 17th Street","New York","NY","10011","02M312 02M412 02M414","M312   M412   M414","CB4","CD03","Renovation of School Auditorium","Total upgrade of auditorium  = seating, lighting, cracked flooring, missing tiles, uneven and hazardous surface, broken stage curtain.  Space used by (3) schools.","* 400,000.00","200000.00","MANHATTAN","40.742129","-74.002198","83","1079152","1007410010","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"DOE","Angelo DelToro Educational Complex","1615 Madison Avenue ","New York","NY","10029","04M108","M108","CB11","CD08","Computer Upgrade Project","Purchase 35 - 21.5 inch iMac computers for their computer lab; 60-MacBook Laptops for grades 6 and 7; Security carts to hold the laptops; 3- printers for computer lab and carts; MacPro Servcer to stroe and share information on all computers.","* 125,606.45","126000.00","MANHATTAN","40.795146","-73.948368","17401","1051584","1016140021","East Harlem South                                                          "
"DOE","Asher Levy School","185 First Avenue ","New York","NY","10003","01M019","M019","CB3","CD02","Auditorium Seating and Gymnasium Lighting Upgrade","Installation of 404 seats in the auditorium and Installation of 24 light fixtures in the gymnasium.","* 200,000.00","200000.00","MANHATTAN","40.729636","-73.983818","40","1006478","1004530034","East Village                                                               "
"DOE","Bard High School Early College","525 East Houston Street","New York","NY","10002","01M696","M696","CB3","CD02","Electrical Outlet Upgrade Project","Upgrade existing electrical outlet in each classroom and create new outlets where necessary, as well as fuse boxes and amp supply will be upgraded.","$250,000.00 ","0.00","MANHATTAN","40.719029","-73.975891","1002","1004062","1003250025","Lower East Side                                                            "
"DOE","Baruch College Campus High School","55 East 25th Street","New York","NY","10010","02M411","M411","CB6","CD02","BCCHS Multi-purpose Room Conversion","Convert existing cafeteria into a multiuse space, currently they have no auditorium nor place for students to study/gather.","* 400,000.00","200000.00","MANHATTAN","40.74193","-73.986521","56","1016745","1008550016","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"DOE","Bilingual Bicultural Mini School","219 East 109th Street","New York","NY","10029","04M182","M182","CB11","CD08","BBMS(P.S.182) Mobile Laptop Lab","Purchase laptops and security carts for the use of providing technology access for their K - 5 classes.  Limited space in school does not provide them with a lab.","* 71,000.00","71000.00","MANHATTAN","40.793194","-73.942548","180","1052436","1016590012","East Harlem North                                                          "
"DOE","Booker T. Washington","103 West 107th Street","New York","NY","10025","03M054","M054","CB7","CD08","Auditorium Improvement Project","Replacement/maintenance of all curtains and flooring, upgrade of audio/visual performance, replace seating and paint","* 607,935.00","136000.00","MANHATTAN","40.800119","-73.962837","193","1055990","1018620011","Morningside Heights                                                        "
"DOE","Business of Sports School","439 West 49th Street","New York","NY","10019","02M393","M393","CB4","CD03","Gymnasium Upgrade","Installation of bleachers, padding on gym walls, repainting/polishing of floor, repainting gym walls, installation of scoreboard equipment, and installation of new doors, lockers, and shelving in locker room equipment storage spaces.","* 500,000.00","0.00","MANHATTAN","40.76337","-73.990593","127","1026646","1010590015","Clinton                                                                    "
"DOE","City-As-School High School","16 Clarkson Street","New York","NY","10014","02M560","M560","CB2","CD03","Media Arts Education Infrastructure","Conversion of adjacent 4th floor spaces into a state of the arts Media Lab Space.  Modify the fourth-floor library space into a multimedia  and mulitmodal Media Commons to serve as a stdent-sentered space for collaboration and critical thinking.  Upgrade audiovisual and lighting for the basement-level auditorium into the CAS Media Center for the exhibition of work.","* 575,000.00","306000.00","MANHATTAN","40.729412","-74.006148","67","1009757","1005810054","West Village                                                               "
"DOE","Community Action School","154 West 93rd Street","New York","NY","10025","03M258","M258","CB7","CD06","Buildingwide Sound System/PA Upgrade Project","Purchase speakers for PA system to be installed throughout the building (8 floors) including clasrooms and hallways, along with a control panel in each office allowing for proper communication in the event of an emergency.","$80,000.00 ","80000.00","MANHATTAN","40.791728","-73.970845","177","1032522","1012230005","Upper West Side                                                            "
"DOE","Early Childhood Discovery and Design  Magnet School","20 West 112th Street","New York","NY","10026","03M185","M185","CB10","CD09","Early Childhood Discovery and Design Media Center Project","Purchase desktop computers, cables, color laser printer, a SMART Table and a  large interactive whiteboard, as well as an updated lending library CICO IntelliTrack Software and materials, install book shelves, sink and cabinet removal and installation, window shades and door, elcetrical outlets, plus management cost (11.5%).","* 122,618.33","123000.00","MANHATTAN","40.798511","-73.949251","186","1051410","1015950015","Central Harlem South                                                       "
"DOE","East Side Elementary School","213 East 63rd Street","New York","NY","10065","02M267","M267","CB8","CD04","Smart Board Upgrade and Professional Development; Electronic Message Board Project","Purchase 7 TeqRetrofit Kits, (1) Smart USB Audio System, (1) Smart Board move, (1) ""77"" Smart Board Teq Ultra Short Throw Projector with rail System, Audio & Cover, (4) Teq Professional Development hours for participants, (10) 1-hr service calls.  Purchase and install an electronic message board in lobby.","* 47,234.88","48000.00","MANHATTAN","40.763842","-73.964222","110","1087680","1014180007","Lenox Hill-Roosevelt Island                                                "
"DOE","Harriet Tubman Learning Center","250 West 127th Street","New York","NY","10027","05M154","M154","CB10","CD09","Computer Upgrade Project","Purchase 32 new desktop computers for their Lab and Media Center. (Lenovo M7 all-in one computer, installation of computer and lock-down devices, datamation Computer Lock Down).","* 31,113.28","35000.00","MANHATTAN","40.810928","-73.948938","224","1058671","1019320010","Central Harlem North-Polo Grounds                                          "
"DOE","Jesse Isidor Straus Elementary School","270 West 70th Street","New York","NY","10023","03M199","M199","CB7","CD06","Rooftop Greenhouse Science Center Project","Create 1500 square feet in the School 3rd floor internal courtyard for a hydroponic ""Greenhouse Lab"" classroom.","$1,100,000.00 ","250000.00","MANHATTAN","40.778059","-73.984449","155","1030351","1011580040","Lincoln Square                                                             "
"DOE","Joseph C. Lanzetta","216 East 120th Street","New York","NY","10035","04M096","M096","CB11","CD08","Technology Upgrade Project","Purchase 20 interactive Smart Boards and inclusive technology to install in all occupied classrooms.","* 160,000.00","150000.00","MANHATTAN","40.800256","-73.937558","194","1074333","1017840012","East Harlem North                                                          "
"DOE","Lillian Weber ","32 West 92nd Street ","New York","NY","10025",,"M084","CD7","CD06","Green Roof/Rooftop Garden","Funding is for Greenroof ","* 500,000.00","200000.00","MANHATTAN","40.789526","-73.967574","177","1081042","1012050006","Upper West Side                                                            "
"DOE","Lillie D. Blake School","45 East 81st Street","New York","NY","10028","02M006","M006","CB8","CD04","Auditorium Upgrade and Refurbishment Project","Renovation of school auditorium, replace fire retardent stage curtains, house lights, auditorium chairs, projection screen and equipment ste-up, stage lights and controls.","* 125,000.00","125000.00","MANHATTAN","40.777455","-73.960713","142","1046668","1014930021","Upper East Side-Carnegie Hill                                              "
