"program_type","program","site_name","borough_community","agency","contact_number","grade_level_age_group","location_1","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"Family Support","Economic Development","NDA Center","Bronx","South Bronx Overall Economic Dev Corp.","718.585.2600",,"647 180 Street
Bronx, NEW YORK 10457
(40.848844606375, -73.890217480844)",,,,,,,,,
"Family Support","Older Adult Program","Seniors Helping Seniors","New York","Seniors Helping Seniors","212.543.9383","Seniors","600 168 Street
New York, NEW YORK 10032
(40.841127875341, -73.939961696627)",,,,,,,,,
"Family Support","Older Adult Program","St. Andrews House ","Bronx","Neighborhood Self-Help by Older Persons Projects, Inc.","718.542.0006","Seniors","2155 Virgil Place
Bronx, NEW YORK 10473
(40.822348788595, -73.850239575603)","10473","40.822318","-73.850263","9","18","86","2022369","2036120013","Soundview-Castle Hill-Clason Point-Harding Park                            "
"Family Support","Domestic Violence Program","Hispanic Employment Day-Women Working For A Better Community","Brooklyn","Hispanic Employment Day-Women Working For A Better Community","718.455.3988",,"195 Linden Street
Brooklyn, NEW YORK 11221
(40.69536512253, -73.917524657177)","11221","40.69537","-73.917486","4","37","417","3076116","3033240019","Bushwick South                                                             "
"Family Support","HIV/AIDS Support Services","SEP at Bethseda Baptist Church ","Queens","AIDS Center of Queens County, Inc.","718.896.2500",,"179 09 Jamaica Avenue
Queens, NEW YORK 11432
(40.71311535449, -73.792820999789)","11432","40.708222","-73.78166","12","27","468","4211561","4098950001","Jamaica                                                                    "
"Family Support","Housing Assistance & Advocacy","Townsend Office ","Bronx","Citizens Advice Bureau, Inc.","718.293.0727","Adults","1477 Townsend Avenue
Bronx, NEW YORK 10452
(40.841513488175, -73.91566203729)","10452","40.841504","-73.915639","4","14","223","2098821","2028440021","West Concourse                                                             "
"Family Support","Fatherhood Initiative","Parkside Houses","Bronx","Friends of Island Academy","718.653.5301","16 to 24","2910 Bronx Park
Bronx, NEW YORK 10467
(40.868172164653, -73.870440254466)","10467","40.856629","-73.875725","27","15","334",,,"park-cemetery-etc-Bronx                                                    "
"Family Support","Older Adult Program","Filomena Gardens","Bronx","Neighborhood Self-Help by Older Persons Projects, Inc.","718.542.0006","Seniors","641 225 Street
Bronx, NEW YORK 10466
(40.888362327284, -73.86213681348)",,,,,,,,,
"Family Support","Older Adult Program","Gates Senior Center ","Brooklyn","Ridgewood Bushwick Senior Citizens Council","718.821.0254","Seniors","1349 Gates Avenue
Brooklyn, NEW YORK 11221
(40.695282660523, -73.916429825963)","11221","40.695218","-73.916463","4","37","417","3391218","3033330033","Bushwick South                                                             "
"Family Support","Parent Education and Family Support","Dr. White Community Center ","Brooklyn","Catholic Charities Neighborhood Services, Inc.","718.722.6023",,"200 Gold Street
Brooklyn, NEW YORK 11201
(40.698288822006, -73.983097400318)","11201","40.698184","-73.983079","2","33","15","3000197","3001090001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Family Support","Housing Assistance & Advocacy","Washington Heights- Inwood Coalition, Inc","New York","Washington Heights- Inwood Coalition, Inc","212.781.6722","Adults","652 187th Street
New York, NEW YORK 10033
(40.853602404382, -73.932345278359)",,,,,,,,,
"Family Support","Parent Education and Family Support","Citizens Advice Bureau Information & Referral ","Bronx","Citizens Advice Bureau, Inc.","718.293.0727",,"2070 Grand
Bronx, NEW YORK 10457
(40.845798371298, -73.898324186812)",,,,,,,,,
"Family Support","Housing Assistance & Advocacy","Brooklyn Chinese American Association","Brooklyn","Brooklyn Chinese American Association","718.438.9312","Adults","5000 8th Avenue
Brooklyn, NEW YORK 11220
(40.641104606526, -74.003759923935)","11220","40.641036","-74.003809","7","38","108","3013418","3007940039","Sunset Park East                                                           "
"Family Support","Substance Abuse Education and Prevention","Chambers Memorial Social Change","New York","Chambers Memorial Social Change","212 410.5361",,"129 123rd Street
New York, NEW YORK 10035
(40.803241247833, -73.938765348533)",,,,,,,,,
"Family Support","HIV/AIDS Support Services","ACQC Jamaica Service Center","Queens","AIDS Center of Queens County, Inc.","718.896.2500",,"88 10 178th Street
Queens, NEW YORK 11432
(40.71311535449, -73.792820999789)","11432","40.711425","-73.784972","12","27","462","4210382","4098330035","Jamaica                                                                    "
"Family Support","Adult Health Awareness & Prevention","Kings Bay YM-YWHA, Inc.","Brooklyn","Kings Bay YM-YWHA, Inc.","718.648.7703",,"3495 Nostrand Avenue
Brooklyn, NEW YORK 11229
(40.59874864679, -73.941539069553)","11229","40.598817","-73.94157","15","46","570","3200300","3073630036","Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             "
"Family Support","Housing Assistance & Advocacy","Polonians Organized to Minister to Our Community","Brooklyn","Polonians Organized to Minister to Our Community","718.326.9098","Adults","635 4th Avenue
Brooklyn, NEW YORK 11232
(40.663788758199, -73.994409627365)","11232","40.663925","-73.994409","7","38","143","3009068","3006340001","Park Slope-Gowanus                                                         "
"Family Support","Older Adult Program","International Tower for Seniors","Jamaica","Conscientious Musical Revues","800.624.8474","Seniors","90 20 170th Street
Jamaica, NEW YORK 11432
(40.71311535449, -73.792820999789)","11432","40.708578","-73.790579","12","27","460","4209721","4098020041","Jamaica                                                                    "
"Family Support","Housing Assistance & Advocacy","Brooklyn Housing and Family Services, Inc.","Brooklyn","Brooklyn Housing and Family Services, Inc.","718.435.7585","Adults","415 Albemarle Road
Brooklyn, NEW YORK 11218
(40.645480602026, -73.976688033036)","11218","40.64551","-73.976296","12","39","500","3124269","3053270041","Windsor Terrace                                                            "
"Family Support","Substance Abuse Education and Prevention","Community Health Action of Staten Island","Staten Island","Community Health Action of Staten Island","718.981.3366",,"56 Bay Street Staten Island
NEW YORK,  10301
(40.639659723835, -74.073309252963)","10301","40.640624","-74.075704","1","49","3","5000035","5000050103","West New Brighton-New Brighton-St. George                                  "
"Family Support","Older Adult Program","Agudath Israel of America / SBCO","Brooklyn","Agudath Israel of America / SBCO","718.435.1300","Seniors","4520 18th Avenue
Brooklyn, NEW YORK 11204
(40.630206116961, -73.97835931751)","11204","40.630165","-73.978416","12","44","476","3128549","3054350051","Borough Park                                                               "
"Family Support","Older Adult Program","YM-YWHA of Washington Heights Inwood","New York","Institute For Puerto Rican Hispanic Elderly, Inc.","212.677.4181","Seniors","54 Nagle Avenue
New York, NEW YORK 10040
(40.860035619978, -73.929072095394)","10040","40.859993","-73.929129","12","10","285","1064146","1021720064","Washington Heights North                                                   "
"Family Support","Substance Abuse Education and Prevention","Teen Center","New York","El Barrio's Operation Fightback, Inc.","212.410.7900",,"182 2nd Avenue
New York, NEW YORK 10035
(40.799741358539, -73.935497061589)","10003","40.730696","-73.986134","3","2","40","1006473","1004530005","East Village                                                               "
"Family Support","Fatherhood Initiative","The Fathers Center ","New York ","Legal Information for Families Today (LIFT)","646.613.9633 ext. 202","16 to 24","350 Broadway
New York, NEW YORK 10013
(40.716960292342, -74.003921229556)","10013","40.716954","-74.003943","1","1","31","1001838","1001717503","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"Family Support","Substance Abuse Education and Prevention","Triboro ","New York","El Barrio's Operation Fightback, Inc.","212.410.7900",,"2415 Second Avenue
New York, NEW YORK 10035
(40.801991190212, -73.934133840082)","10035","40.802","-73.934121","11","8","194","1054650","1017880029","East Harlem North                                                          "
"Family Support","Older Adult Program","The Baruch Elder Services Team (BEST) Program ","New York","Grand Street Settlement, Inc.","212.982.4171","Seniors","72 Columbia Street
New York, NEW YORK 10002
(40.717388686578, -73.980017832764)","10002","40.717007","-73.980268","3","2","1002","1078043","1003230001","Lower East Side                                                            "
"Family Support","Parent Education and Family Support","Hispanic Employment Day-Women Working For A Better Community","Brooklyn","Hispanic Employment Day-Women Working For A Better Community","718.455.3988",,"195 Linden Street
Brooklyn, NEW YORK 11221
(40.69536512253, -73.917524657177)","11221","40.69537","-73.917486","4","37","417","3076116","3033240019","Bushwick South                                                             "
"Family Support","Housing Assistance & Advocacy","Brooklyn Neighborhood Improvement Association","Brooklyn","Brooklyn Neighborhood Improvement Association","718.773.4116","Adults","1482 St Johns Place
Brooklyn, NEW YORK 11213
(40.670470593603, -73.929356130187)","11213","40.670505","-73.92964","8","41","349","3037114","3013850028","Crown Heights North                                                        "
"Family Support","Older Adult Program","Fort Washington Houses Services for the Elderly, Inc.","New York","Fort Washington Houses Services for the Elderly, Inc.","212.927.5600","Seniors","99 Fort Washington Avenue
New York, NEW YORK 10032
(40.839043257819, -73.943522762068)","10032","40.83851","-73.943738","12","7","247","1063346","1021360235","Washington Heights South                                                   "
"Family Support","Housing Assistance & Advocacy","Asian Americns for Equality","Manhattan","Asian Americans for Equality                                ","212.979.8381","Adults","108 111 Norfolk Street
Manhattan, NEW YORK 10002
(40.716121467931, -73.985831470246)",,,,,,,,,
"Family Support","Housing Assistance & Advocacy","Brooklyn Chinese American Association","Brooklyn","Brooklyn Chinese American Association","718.438.9312","Adults","5002 8th Avenue
Brooklyn, NEW YORK 11220
(40.641094427669, -74.003771655499)","11220","40.641028","-74.003816","7","38","108","3013418","3007940039","Sunset Park East                                                           "
"Family Support","Older Adult Program","RAIN Inwood Senior Center ","New York","Regional Aid For Interim Needs, Inc. (R.A.I.N.)","718.892.5520","Seniors","84 Vermilyea Ave
New York, NEW YORK 10034
(40.865986202427, -73.922786931467)","10034","40.865838","-73.923128","12","10","291","1064905","1022340029","Marble Hill-Inwood                                                         "
"Family Support","Health Stat Initiative","Asian Americans for Equality","Queens","Asian Americans for Equality","718.961.0888","All Ages","93 03 Roosevelt Ave
Queens, NEW YORK 11372
(40.751630739367, -73.883612545283)","11372","40.748737","-73.873602","3","21","273","4448464","4014810051","Jackson Heights                                                            "
"Family Support","Health Stat Initiative","Jewish Community Center of Staten Island, Inc.","Staten Island","Jewish Community Center of Staten Island, Inc.","718. 981.1400","All Ages","1859 Victory Blvd Staten Island
NEW YORK,  10314
(40.612902589963, -74.12559801832)","10314","40.612877","-74.125669","1","50","151","5010522","5003730043","Westerleigh                                                                "
"Family Support","Older Adult Program","Project Care Volunteer Services for the Elderly & Homebound ","Brooklyn","Council of Jewish Organizations of Flatbush","718.377.2900","Seniors","1658 Coney Island
Brooklyn, NEW YORK 11230
(40.621929510239, -73.965511060187)",,,,,,,,,
"Family Support","Parent Education and Family Support","Latin American Intergration Center","Staten Island","Latin American Intergration Center","718.565.8500",,"463 Richmond Avenue Staten Island
NEW YORK,  10302
(40.630833311108, -74.137734298699)",,,,,,,,,
"Family Support","Substance Abuse Education and Prevention","Public School 19 - Marino P. Jeantet Elementary School ","Queens","Hellenic American Neighborhood Action Committee (HANAC)","212.840.8005",,"98 02 Roosevelt Avenue
Queens, NEW YORK 11368
(40.749678220374, -73.853040688577)","11368","40.749381","-73.867354","4","21","409","4437176","4016070001","North Corona                                                               "
"Family Support","Housing Assistance & Advocacy","South Bronx Action Group","Bronx","South Bronx Action Group","718.993.5869","Adults","384 149th Street
Bronx, NEW YORK 10455
(40.816195064917, -73.918501181484)",,,,,,,,,
"Family Support","Older Adult Program","Parkchester Enhancement Program for Seniors","Bronx","Beth Abraham Health Services","718.409.1619","Seniors","1525 Unionport Road
Bronx, NEW YORK 10462
(40.836913904113, -73.857586288283)","10462","40.836585","-73.856898","9","18","212","2096653","2039387501","Parkchester                                                                "
"Family Support","Fatherhood Initiative","Claremont Neighborhood Centers, Inc. ","Bronx","Claremont Neighborhood Centers, Inc.","718.588.1000","16 to 24","489 169th Street
Bronx, NEW YORK 10456
(40.833009438875, -73.905735217316)",,,,,,,,,
"Family Support","Health Stat Initiative","The East New York Learning Center, Inc","Brooklyn","The East New York Learning Center, Inc","718.756.7202","All Ages","1960 Fulton  St
Brooklyn, NEW YORK 11233
(40.678130438169, -73.919776475504)",,,,,,,,,
"Family Support","HIV/AIDS Support Services","National Council for Negro Women of Greater New York","Queens","National Council for Negro Women of Greater New York","718.657.8585","MS/HS","114 02 Guy R Brewer Boulevard
Queens, NEW YORK 11434
(40.676945262114, -73.775306901692)","11434","40.688615","-73.785593","12","28","276","4264631","4122000052","Baisley Park                                                               "
"Family Support","Economic Development","Local Development Corporation of East New York","Brooklyn","Local Development Corporation of East New York","718.385.6700",,"80 Jamaica Avenue
Brooklyn, NEW YORK 11207
(40.678429517633, -73.896811496066)","11207","40.678267","-73.897235","5","37","1198","3083109","3036600009","East New York                                                              "
"Family Support","Fatherhood Initiative","Forestdale at Forest Hills Campus","Queens","Forestdale, Inc","718.263.0740","16 to 24","67 35 112 Street
Queens, NEW YORK 11375
(40.72070726303, -73.846284296083)","11375","40.729354","-73.842599","6","29","747","4441126","4022060006","Forest Hills                                                               "
"Family Support","Fatherhood Initiative","FRIENDS Program","Bronx","Visiting Nurse Service of New York","212.794.9200","16 to 24","389 391 East 153rd Street
Bronx, NEW YORK 10455
(40.813535754971, -73.905355252043)",,,,,,,,,
"Family Support","Fatherhood Initiative","Coalition for Hispanic Family Services ","Brooklyn","Coalition for Hispanic Family Services","718.497.6090","16 to 24","315 Wyckoff Avenue
Brooklyn, NEW YORK 11237
(40.700089964438, -73.912032912223)","11237","40.700045","-73.911981","4","37","439","3076376","3033380001","Bushwick North                                                             "
"Family Support","Older Adult Program","Greater Chinatown Comm. Assoc","Chinatown","Greater Chinatown Community Association                     ","212.374.1311","Seniors","105 Mosco Street
Chinatown, NEW YORK 10013
(40.714478163541, -73.999235761783)","10013","40.714459","-73.999347","3","1","29","1001820","1001640044","Chinatown                                                                  "
"Family Support","Older Adult Program","Caledonian Health Campus Center Brooklyn Hospital","Brooklyn","Diaspora Community Services, Inc","718.399.0200","Seniors","100 Parkside Avenue
Brooklyn, NEW YORK 11226
(40.653180293946, -73.966125047904)","11226","40.653303","-73.9659","14","40","50804",,,"Flatbush                                                                   "
"Family Support","Substance Abuse Education and Prevention","Church Avenue Merchants Block Association, Inc.","Brooklyn","Church Avenue Merchants Block Association, Inc.","718.287.2600",,"1195 Bedford Avenue
Brooklyn, NEW YORK 11216
(40.682484542944, -73.953698855442)","11216","40.682484","-73.953727","3","36","245","3322554","3018320097","Bedford                                                                    "
"Family Support","Parent Education and Family Support","Make the Road New York -Staten Island","Staten Island","Make the Road New York","718.727.1222","17 and up","479 Port Richmond Avenue Staten Island
NEW YORK,  10302
(40.630934529097, -74.139014649681)","10302","40.630818","-74.139187","1","49","213","5024824","5010490005","Port Richmond                                                              "
"Family Support","HIV/AIDS Support Services","Jacob A. Riis Neighborhood Settlement, Inc.","Queens","Jacob A. Riis Neighborhood Settlement, Inc.","718.784.7447",,"10 25 41st Avenue
Queens, NEW YORK 11101
(40.745702449808, -73.938669029252)","11101","40.755488","-73.945328","1","26","25","4433386","4004700100","Queensbridge-Ravenswood-Long Island City                                   "
"Family Support","Housing Assistance & Advocacy","Northern Manhattan Improvement Corporation","New York","Northern Manhattan Improvement Corporation                  ","212.822.8336","18 and up","76 Wadswortth Avenue
New York, NEW YORK 10033
(40.847051676059, -73.937044724943)",,,,,,,,,
"Family Support","Older Adult Program","Henry Street Settlement Senior Services Center ","New York","Henry Street Settlement","212.766.9200","Seniors","334 Madison Street
New York, NEW YORK 10002
(40.713290169435, -73.983016878047)","10002","40.713266","-73.983237","3","2","202","1077526","1002600001","Lower East Side                                                            "
"Family Support","Substance Abuse Education and Prevention",,"Brooklyn","Church Avenue Merchants Block Association, Inc.","718 287.2600",,"19 Winthrop Street
Brooklyn, NEW YORK 11225
(40.656529948508, -73.959876532873)","11225","40.656537","-73.959418","9","40","79601","3115690","3050450100","Prospect Lefferts Gardens-Wingate                                          "
"Family Support","Economic Development","South Bronx Overall Economic Development Corp.","Bronx","South Bronx Overall Economic Development Corp.","718.585.2600",,"555 Bergen Avenue
Bronx, NEW YORK 10455
(40.815944415254, -73.916415911483)","10455","40.815959","-73.916354","1","17","71","2097027","2022940002","Melrose South-Mott Haven North                                             "
"Family Support","Adult Health Awareness & Prevention","Shorefront YM-YWHA","Brooklyn","Shorefront YM-YWHA","718.646.1444",,"3300 Coney Island Avenue
Brooklyn, NEW YORK 11235
(40.575793969704, -73.959507450797)","11235","40.575607","-73.959463","13","48","36002","3326880","3086930001","Brighton Beach                                                             "
"Family Support","Housing Assistance & Advocacy","CAMBA's Park Slope Women's Shelter","Brooklyn","Church Avenue Merchants Block Association, Inc.","718.287.2600","Adults","1402 Eighth Avenue
Brooklyn, NEW YORK 11215
(40.662725395196, -73.981772543316)","11215","40.66265","-73.981819","6","39","149","3026581","3011020012","Park Slope-Gowanus                                                         "
"Family Support","Older Adult Program","Baychester Community Center ","Bronx","Aging In America Community Services, Inc","718 409-7979","Seniors","1220 229th Street
Bronx, NEW YORK 10466
(40.884596367023, -73.842732985462)",,,,,,,,,
"Family Support","Older Adult Program","Webster Terrace","Brooklyn","Agudath Israel of America / SBCO","718.435.1300","Seniors","680 Ocean Parkway
Brooklyn, NEW YORK 11230
(40.631730651367, -73.972211605326)","11230","40.631868","-73.971938","14","44","480","3127822","3054200050","Flatbush                                                                   "
"Family Support","Health Stat Initiative","The East New York Learning Center, Inc","Brooklyn","The East New York Learning Center, Inc","718.756.7200","All Ages","1958 Fulton  St
Brooklyn, NEW YORK 11233
(40.678130438169, -73.919776475504)",,,,,,,,,
"Family Support","Older Adult Program","Community Service Center Area IV","Brooklyn","Community Service Center Area IV","718.574.0873","Seniors","518 Van Buren Street
Brooklyn, NEW YORK 11221
(40.691790929942, -73.927967119043)","11221","40.691765","-73.928327","3","36","387","3043888","3016170040","Stuyvesant Heights                                                         "
"Family Support","Housing Assistance & Advocacy","Agudath Israel of America /SBCO","Brooklyn","Agudath Israel of America /SBCO","718.435.1300","Adults","4520 18th Avenue
Brooklyn, NEW YORK 11204
(40.630206116961, -73.97835931751)","11204","40.630165","-73.978416","12","44","476","3128549","3054350051","Borough Park                                                               "
"Family Support","Fatherhood Initiative","Allen AME Multi-Center (Annex)","Queens","Forestdale, Inc","718.263.0740","16 to 24","1114 02
Queens, NEW YORK 11434
(40.676945262114, -73.775306901692)",,,,,,,,,
"Family Support","Older Adult Program","Soundview Houses Senior Center ","Bronx","Conscientious Musical Revues","800.624.8474","Seniors","1674 Seward Avenue
Bronx, NEW YORK 10473
(40.818336260511, -73.869076701472)","10473","40.818255","-73.869832","9","18","20","2092638","2035510001","Soundview-Castle Hill-Clason Point-Harding Park                            "
"Family Support","Health Stat Initiative","The Children's Aid Society","Bronx","The Children's Aid Society","718.617.8595","All Ages","1338 Southern Blvd
nbsp; Bx Bronx, NEW YORK 10460
(40.843090348041, -73.87860282506)",,,,,,,,,
"Family Support","Housing Assistance & Advocacy","West Bronx Housing & Neighborhood Resource Center","Bronx","West Bronx Housing & Neighborhood Resource Center","718.798.0929","Adults","3176 Bainbridge
Bronx, NEW YORK 10467
(40.875385991437, -73.87947666045)",,,,,,,,,
"Family Support","Older Adult Program","COJO of Flatbush","Flatbush","Council of Jewish Organizations of Flatbush                 ","718.627.5602","Seniors","1658 Coney Island Ave
Flatbush, NEW YORK 11230
(40.616970915723, -73.963785333505)","11230","40.616964","-73.963703","12","44","454","3173147","3065730016","Ocean Parkway South                                                        "
"Family Support","HIV/AIDS Support Services","East Harlem Neighborhood Based Alliance Corporation","New York","East Harlem Neighborhood Based Alliance Corporation","212.360.1100",,"240 123 Street
New York, NEW YORK 10035
(40.801631007365, -73.935035566046)",,,,,,,,,
"Family Support","Housing Assistance & Advocacy","Pueblo En Marcha, Inc.","Bronx","Pueblo En Marcha, Inc.","718.665.7375","Adults","401 145th Street
Bronx, NEW YORK 10454
(40.813555413009, -73.919621869089)",,,,,,,,,
"Family Support","Housing Assistance & Advocacy","Boro Park Jewish Community Council","Brooklyn","Boro Park Jewish Community Council","718.972.6600","Adults","4608 13th Avenue
Brooklyn, NEW YORK 11219
(40.636670213094, -73.990459280846)","11219","40.636595","-73.990502","12","44","222","3328605","3056220038","Borough Park                                                               "
"Family Support","Health Stat Initiative","The Children's Aid Society","New York","The Children's Aid Society","212.503.6820","All Ages","150 45th St
New York, NEW YORK 10017
(40.752942166734, -73.973641056829)",,,,,,,,,
"Family Support","Health Stat Initiative","The East New York Learning Center, Inc","Brooklyn","The East New York Learning Center, Inc","718.756.7201","All Ages","1959 Fulton  St
Brooklyn, NEW YORK 11233
(40.678130438169, -73.919776475504)",,,,,,,,,
"Family Support","Older Adult Program","Berkshire Farm Center and Services for Youth","Brooklyn","Berkshire Farm Center and Services for Youth","518.781.4567","Seniors","732 Dean Street
Brooklyn, NEW YORK 11238
(40.679753480485, -73.965983579231)","11238","40.67982","-73.966232","8","35","203","3027932","3011380132","Prospect Heights                                                           "
"Family Support","Fatherhood Initiative","Midtown Community Court","New York ","Fund for the City of New York/Center for Court Innovation","646.264.1329","16 to 24","314 54 Street
New York, NEW YORK 10019
(40.765190932773, -73.985242311007)",,,,,,,,,
"Family Support","HIV/AIDS Support Services","The Fathers Center ","Brooklyn","The Family Center","212 766-4522","MS/HS","584 Nostrand Avenue
Brooklyn, NEW YORK 11215
(40.678763354677, -73.949701201332)","11216","40.678766","-73.949674","3","36","247","3053936","3018660028","Crown Heights North                                                        "
