Comments,Address,Landmark,City,State,Postcode,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
You can schedule a Drug Test appointment by calling 1(800) 923 2624,69-16 Metropolitan Ave,,Middle Village,NY,11379,69,40.712207,-73.886628,405,30,61302,4535058,4036670230,Ridgewood,"69-16 Metropolitan Ave
Middle Village, NY 11379
(40.712177, -73.885666)",15309,54,3,34,62
You can schedule a Drug Test appointment by calling 1(800) 923 2624,2488 Grand Concourse    Ste. 201,Corner of E. Fordham Rd,BRONX,NY,10458,86,40.862077,-73.897331,205,15,23702,2013600,2031530009,Bedford Park-Fordham North,,,,,,
You can schedule a Drug Test appointment by calling 1(800) 923 2625,222 Rockaway Turnpike,,Cedarhurst,NY,11516,64,,,,,,,,,"222 Rockaway Turnpike
Cedarhurst, NY 11516
(40.619547, -73.732301)",26001,,,,
You can schedule a Drug Test appointment by calling 1(800) 923 2624,57 East Main St,(Suffolk)  Fire Island Ferry,Bayshore,NY,11706,78,,,,,,,,,"57 East Main St
Bayshore, NY 11706
(40.722609, -73.246443)",20926,,,,
You can schedule a Drug Test appointment by calling 1(800) 923 2629,203 9th Street,Between 3rd & 4th  Ave,BROOKLYN,NY,11215,6,40.671055,-73.990155,306,39,121,3022077,3010030059,Park Slope-Gowanus,"203 9th Street
BROOKLYN, NY 11215
(40.671079, -73.990236)",17617,14,2,27,50
You can schedule a Drug Test appointment by calling 1(800) 923 2624,4434 Amboy Road,Corner of Richmond Ave,"Staten Island, NY",NY,10312,12,40.544552,-74.162003,503,51,15601,5073185,5054950081,Great Kills,"4434 Amboy Road
Staten Island, NY, NY 10312
(40.544692, -74.161681)",10699,15,1,9,76
You can schedule a Drug Test appointment by calling 1(800) 923 2624,3665 East Tremont Ave,Corner of Philips St,BRONX,NY,10465,10,40.827645,-73.823313,210,13,162,2076871,2054310027,Schuylerville-Throgs Neck-Edgewater Park,"3665 East Tremont Ave
BRONX, NY 10465
(40.827685, -73.823371)",11274,43,5,12,28
You can schedule a Drug Test appointment by calling 1(800) 923 2624,175 Memorial Highway,,New Rochelle,NY,10801,49,,,,,,,,,"175 Memorial Highway
New Rochelle, NY 10801
(40.913253, -73.78662)",25292,,,,
You can schedule a Drug Test appointment by calling 1(800) 923 2624,75-35 31st Ave ste 200,Northern Blvd.,East Elmhurst,NY,11370,16,40.758596,-73.892166,403,22,30903,4439602,4011240001,Jackson Heights,"75-35 31st Ave ste 200
East Elmhurst, NY 11370
(40.758638, -73.891613)",14781,65,3,5,73
You can schedule a Drug Test appointment by calling 1(800) 923 2624,522 Central Ave,Corner of North St,Jersey City,NJ,7307,50,,,,,,,,,"522 Central Ave
Jersey City, NJ 7307
(40.752381, -74.044945)",10893,,,,
You can schedule a Drug Test appointment by calling 1(800) 923 2624,"2500 Nesconset Highway,   Ste. 29",Building 8,Stonybrook,NY,11790,28,,,,,,,,,"2500 Nesconset Highway,   Ste. 29
Stonybrook, NY 11790
(40.878745, -73.114209)",22594,,,,
You can schedule a Drug Test appointment by calling 1(800) 923 2624,111-16 Jamaica Ave,Between 111th & 112th St,Richmond Hill,NY,11418,14,40.697002,-73.836956,409,28,124,4194835,4093010005,Richmond Hill,"111-16 Jamaica Ave
Richmond Hill, NY 11418
(40.696947, -73.837042)",24014,46,3,46,60
You can schedule a Drug Test appointment by calling 1(800) 923 2625,2154 Newbridge Rd Ste 2,,Bellmore,NY,11710,92,,,,,,,,,"2154 Newbridge Rd Ste 2
Bellmore, NY 11710
(40.668893, -73.537913)",20928,,,,
