"company_name","company_contact","company_email","company_phone","address","city","state","zip","industry","industry_descr","company_type","current_fulltime","job_create","job_retain","effective_date","total_savings","savings_from_beginning","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"183 Lorriane Street LLC","Tom Sapienza","tsapienza@KLCNY.com","2128405588","183 Lorraine Street","Brooklyn","NY","11231","Wholesale/Warehouse/Distribution","Commercial Storage facility","ICIP","9",,,"2015-11-06T00:00:00.000","36518.70","132188.32","BROOKLYN","40.673106","-74.0023","306","38","53","3336622","3005720001","Carroll Gardens-Columbia Street-Red Hook"
"195 Broadway, LLC","Robert Riggs",,"2129203381","195 Broadway","NY","NY","10007","Commercial",,"LMEP",,,,"2008-03-04T00:00:00.000","321028.50","3388317.32","MANHATTAN","40.710536","-74.009378","101","1","13","1001227","1000800001","Battery Park City-Lower Manhattan"
"21st Century Optics, Inc.","Ralph Woythaler","rwoythaler@21st centuryoptics.com","7183922310","47-00 33rd Street","Lond Island City","NY","11101","Manufacturing","Eye glasses","Tenant","130",,,"2009-01-07T00:00:00.000","37971.63","237141.36","QUEENS","40.742386","-73.932148","402","26","199","4003447","4002520018","Hunters Point-Sunnyside-West Maspeth"
"25 Broadway (Ldmk)","David Neiburg","Eskoblo@energyspec.com","7186779077","1114 Avenue J","Brooklyn","NY","11230","Commercial","22 story building","LMEP","2342",,,"2015-07-02T00:00:00.000","373779.12","1216284.54","BROOKLYN","40.624784","-73.96492","314","44","534","3179818","3067130006","Midwood"
"2840 Atlantic Avenue Realty Corp","Donald Marchese","Edgeinc@hotmail.com","7186477500","2840 Atlantic Avenue","Brooklyn","NY","11207","Commercial","Real estate holding company","ICIP","30",,,"2008-06-16T00:00:00.000","690.38","105702.57","BROOKLYN","40.676789","-73.889346","305","37","1198","3327100","3039640008","East New York"
"40 Wall Street LLC","Donald J. Trump",,"2123442213","40 Wall Street","New York","NY","10005","Landlord",,"LMEP","15898",,,"2006-09-29T00:00:00.000","339785.44","5297465.65","MANHATTAN","40.706625","-74.009875","101","1","7","1001018","1000430002","Battery Park City-Lower Manhattan"
"4Over4.com","Anastasio Panagiotopolous","taso@4over4.com","7189322700","19-41 46th Street","Long Island City","NY","11105","Manufacturing","Printer","IDA","14",,,"2008-04-09T00:00:00.000","13892.78","180000.89","QUEENS","40.77494","-73.896804","401","22","12301","4441806","4007740017","Steinway"
"538-540 West 35 Corp","Richard Silver","tankman220@aol.com","2127366618","11-42 46th Road","Queens","NY","11101","Manufacturing","steel, wood & cement tanks","ICAP","16",,,"2010-06-07T00:00:00.000","6902.94","50778.59","QUEENS","40.74551","-73.949497","402","26","7","4436616","4000560047","Hunters Point-Sunnyside-West Maspeth"
"55 Water, LLC","Jermy Frenkel","info@MEQS.com","2127260700","51 Water Street","Brooklyn","NY","11201","Commercial","Management company","ICAP","5",,,"2017-08-04T00:00:00.000","129.04","251.00","BROOKLYN","40.703304","-73.992156","302","33","21","3000000","3000260050","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"7 Hanover Square Associates","Jared M. Williams",,"2125987536","7 Hanover Square","New York","NY","10004","Landlord",,"LMEP","2455",,,"2006-08-30T00:00:00.000","244403.30","3955485.55","MANHATTAN","40.70447","-74.009406","101","1","9","1000855","1000300019","Battery Park City-Lower Manhattan"
"72andSunny Partners LLC","Mitchell Gendel","Rlegati@mdc-partners.com","2129931300","55 Water Street","Brooklyn","NY","11201","Commercial","Advertising","Relocator","70",,,"2017-07-06T00:00:00.000","12701.15","12701.15","BROOKLYN","40.703301","-73.992047","302","33","21","3000019","3000260050","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"75 Broad Street","David Neiburg","Eskoblo@energyspec.com","7186779077","1114  Ave J","Brooklyn","NY","11230","Commercial",,"LMEP","466",,,"2012-01-01T00:00:00.000","574123.13","5840146.95","BROOKLYN","40.624784","-73.96492","314","44","534","3179818","3067130006","Midwood"
"A & L Scientific Corp.","Anthony Vicari","service@alscientific.com","7187568100","88-05 76th Avenue","Queens","NY","11385","Manufacturing","fabricates and services biotech medical equipment","IDA","13",,,"2011-09-19T00:00:00.000","3431.19","30039.47","QUEENS","40.707402","-73.862139","405","30","637","4094396","4038560156","Glendale"
"A TO Z KOSHER MEAT PRODUCT CO.","Edward Weinberg","GRANDKOSHER@AOL.COM","7183847400","123 GRAND STREET","Brooklyn","NY","11211","Manufacturing","MFG. MEAT PRODUCTS","ICIP","29","6","58","2010-01-05T00:00:00.000","12005.26","158726.07","BROOKLYN","40.715227","-73.963076","301","34","555","3062593","3023790027","North Side-South Side"
"A.K.S. International, Inc","Tomislav nNgalo","tnogalo@aksinternational.com","332313","37-04 19th Avenue","Queens","NY","11105","Manufacturing","metal contracting & fabricator of metal products","IDA","45",,,"2015-07-06T00:00:00.000","5118.55","16068.88","QUEENS","40.779184","-73.900755","401","22","12301","4436970","4008120043","Steinway"
"ABIGAL PRESS, INC.","Salvatore Stratis","sps@abigal.com","7186415350","97-35 133rd Ave","Ozone Park","NY","11417","Manufacturing","PRINTER AND ENGRAVER","ICIP","102",,,"2008-06-30T00:00:00.000","7773.15","159419.08","QUEENS","40.676351","-73.839512","410","32","86","4247976","4114900090","Ozone Park"
"Achieve Beyond, Inc. (Formerly Bilinguals, Inc.)","Julia  Matuza","jmatuza@bilingualsino.com","7187627633","70-00 Austin Street","Forest Hills","NY","11375","Commercial","Back Office Space","Relocator","200",,,"2012-12-24T00:00:00.000","16417.64","100457.32","QUEENS","40.720892","-73.846811","406","29","711","4000000","4032340150","Forest Hills"
"ACME METAL CAP CO., INC./PETROFORM","Thomas Petrosino","info@acmepans.com","7183353000","62-01 34TH AVENUE","Queens","NY","11377","Manufacturing","MFG. METAL & CORK ENCLOSU","IDA","40",,,"2008-06-06T00:00:00.000","3197.94","191646.93","QUEENS","40.752183","-73.899803","402","26","293","4027110","4011850040","Woodside"
"Action Carting Environmental Services, Inc","Ronald S. Bergamini","ggalietti@actioncarting.com","9736237600","1221 East Bay Ave.","Brooklyn","NY","10474","Manufacturing","Manufacturer and wholesaler of a material recovery facility that carts, sorts, bundles and sells recyclable material","ICAP","40",,,"2010-10-01T00:00:00.000","3020.98","204087.64","BRONX","40.80819","-73.888513","202","17","93","2006877","2027710185","Hunts Point"
"ADP Oak Point LLC","Peter Latta","platta@aduiepyle.com","6103503006","500 Oak Point  Avenue","Bronx","NY","10474","Commercial",,"ICAP","0",,,"2018-03-06T00:00:00.000","5545.85","26405.86","BRONX","40.808918","-73.894722","202","17","93","2128941","2026060002","Hunts Point"
"Aesthetonics, Inc.","EILEEN NEYMAN","eileen@remains.com","6467232477","21-29 Belvidere Street","Brooklyn,","NY","11206","Manufacturing",,"Relocator","32",,,"2009-03-12T00:00:00.000","10281.13","119149.99","BROOKLYN","40.698747","-73.936863","304","34","389","3071776","3031350036","Bushwick South"
"AFC INDUSTRIES, INC.","ANAT ROTLEVI","anrotlevi@afcindustries.com","7187470237","13-16 133RD PLACE","College Point","NY","11356","Manufacturing","MFG. COMPUTER FURNI.","IDA","41","10","82","2004-03-05T00:00:00.000","3078.77","26845.78","QUEENS","40.786469","-73.834527","407","19","945","4445908","4040120029","Whitestone"
"African Services Committee, Inc.","Muna Hamouie","munah@africanservices.com","2122223882","423-429 W 127th Street","New YOrk","NY","10027","Commercial","Provider of Social Services","Tenant","32",,,"2011-12-09T00:00:00.000","1992.55","14781.63","MANHATTAN","40.812964","-73.953759","109","7","21303","1084105","1019670060","Manhattanville"
"AGE MANUFACTURERS, INC.","Yosel Avtzon","agemanufac@aol.com","7189270048","106-24 AVENUE D","Brooklyn","NY","11222","Manufacturing","MFG. VERIOUS ITEMS","IDA","54",,"108","2005-11-15T00:00:00.000","675.94","90866.56","BROOKLYN","40.654623","-73.900288","318","42","1098","3228746","3081380205","East New York"
"AHAlife Holdings, Inc.","Shauna Mei","shaunamei@ahalife.com","6463315779","68 Jay Street","Brooklyn","NY","11201","Wholesale/Warehouse/Distribution",,"Relocator","22",,,"2016-03-09T00:00:00.000","165.93","3172.42","BROOKLYN","40.702763","-73.986681","302","33","21","3000090","3000400001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"Aids Vaccine Advocacy Coalition","Marie Semmelbeck","marie@avac.org","6463691476","423-429 W 127th Street","New York","NY","10027","Commercial","Provides information, education and advocacy for HIV /AIDS prevention.","ICIP","13",,,"2011-11-07T00:00:00.000","1717.39","12106.36","MANHATTAN","40.812964","-73.953759","109","7","21303","1084105","1019670060","Manhattanville"
"ALADDIN BAKERS, INC/Bread Head, LLC.","Joseph Ayoub","guzzi@aladdinbakery.com","7184991818","236-238 25TH STREET","New York","NY","11232","Manufacturing","COMM. BAKER","ICIP","100",,,"2009-04-14T00:00:00.000","105818.25","678361.19","BROOKLYN","40.660096","-73.997405","307","38","101","3009619","3006550025","Sunset Park West"
"Albert Einstein College of Medicine R&D","Jack Zencheck","mwinkle1@yu.edu","7184308977","1196 Pierce Avenue","Bronx","NY","10461","Other","Research facility","ICIP","2614",,,"2015-07-02T00:00:00.000","940935.01","3896254.79","BRONX","40.848176","-73.846583","211","13","286","2044325","2040900019","Van Nest-Morris Park-Westchester Square"
"Alchemy Paintworks LLC","Heather Kelly","heather@alchemypaintworks.com","7184840214","1102 Atlantic Avenue, Unit 1C","Brooklyn","NY","11238","Commercial",,"Tenant","2",,,"2016-01-21T00:00:00.000","2880.23","9299.27","BROOKLYN","40.679518","-73.956819","308","35","305","3027572","3011260029","Crown Heights North"
"ALL AIRE CONDITIONING CO., INC.","SHELDON GLICK","shellyg@allaireconditioning.com","7189916999","528 CRAVEN STREET","bronx","NY","10474","Commercial","COMM. SERVICE","ICIP","24",,"24","2005-06-07T00:00:00.000","138.98","38189.62","BRONX","40.810008","-73.892068","202","17","93","2006772","2027680087","Hunts Point"
"All City Metal, Inc.","Frank Buccola","Johnmdallcitymetal.com","7184725700","54-35 46th Street","Long Island City","NY","11101","Manufacturing",,"ICAP","65",,,"2015-05-15T00:00:00.000","11812.68","72311.55","QUEENS","40.730657","-73.922148","402","30","205","4058877","4025460001","Hunters Point-Sunnyside-West Maspeth"
"ALLE PROCESSING CORP.","Sam HOLLANDER","halbycpa@alleprocessing.com","7188942000","54-58 56TH DR. & 5820-5880  MAURICE","Queens","NY","11378","Manufacturing","MANUFACTURER","IDA","494","60","2964","2007-06-28T00:00:00.000","174492.44","3633705.66",,,,,,,,,
"ALLIED SAMPLE CARDS CO., INC.","MARC TRAGER","alliedsamplecard@netzero.net","7182380523","140 58th St, Bldg A, Suite 3M","Brooklyn","NY","11220","Manufacturing","MGF OF FOLDERS, FBR BKS","Tenant","17",,,"2014-07-03T00:00:00.000","2932.58","13452.76","BROOKLYN","40.645338","-74.022864","307","38","18","3414976","3057780001","Sunset Park West"
"Allison Eden Studios","Garry Goldstein","garry@allisoneden.comP","2122439944","164 Cook Street","Brooklyn","NY","11206","Manufacturing","Installer of wood cabinets","Tenant","6",,,"2017-12-05T00:00:00.000","938.52","1380.05","BROOKLYN","40.70288","-73.936405","301","34","485","3071626","3031230015","Bushwick South"
"ALRUE IMPORT COPR.","Avi Shaul","avi@alrue.com","7183928877","10-40 45TH AVENUE","Long Island City","NY","11101","Manufacturing","Mfg. of Jewelry Setting","ICIP","6",,,"2011-06-07T00:00:00.000","7629.40","65867.82","QUEENS","40.748053","-73.951224","402","26","7","4000411","4000500017","Hunters Point-Sunnyside-West Maspeth"
"Amazon Corporate LLC","Ben Weisfuse","bweisfuse@amazon.com","2065775490","35 Kent Avenue","Brooklyn","NY","11249","Manufacturing","photo shoots for products presented on their media","ICAP","47",,,"2015-07-06T00:00:00.000","654.80","70765.96","BROOKLYN","40.722996","-73.958833","301","33","557","3335590","3022880001","North Side-South Side"
"AMCI, LTD.","NICK ZIMARAS",,"7189699026","33-02 48TH AVENUE","Queens","NY","11101","Manufacturing","MFG. WOOD PICTURE FRAME","IDA","47","40","94","2003-11-04T00:00:00.000","3326.98","78089.63","QUEENS","40.740789","-73.932302","402","26","199","4003456","4002550023","Hunters Point-Sunnyside-West Maspeth"
"American Folk Art Museum","Anne-Imelda Radice","areilly@folkartmuseum.org","2122651040","32-23 48th Avenue","Long Island City","NY","11101","Wholesale/Warehouse/Distribution",,"Relocator","5",,,"2015-03-10T00:00:00.000","7359.57","25719.07","QUEENS","40.740913","-73.93324","402","26","199","4003446","4002520001","Hunters Point-Sunnyside-West Maspeth"
"AMERICAN MEDICAL ALERT CORP.","Jakc Rhian","Usinfo@turnstall.com","2128795700","36-36 33RD STREET","LIC","NY","11101","Commercial","SERVICE","Tenant","51","25","51","2007-03-07T00:00:00.000","14463.77","367637.26","QUEENS","40.755141","-73.928728","401","26","55","4007923","4006010001","Queensbridge-Ravenswood-Long Island City"
"American Torque, Inc.","Robert McCarthy","Amtorq@gmail.com","7185262433","105-22 150th Street","Queens","NY","11435","Manufacturing","mfg torque converters and related parts","ICAP","8",,,"2011-01-19T00:00:00.000","7712.72","62419.99","QUEENS","40.696796","-73.801885","412","28","204","4589555","4100620010","Jamaica"
"American Transit Insurance Co","Edward T McGettigan Jr.","cryan@american-transit.com","2128578200","One MetroTech Center","Brooklyn","NY","11201","Commercial","Insurance","Relocator","330",,,"2012-08-02T00:00:00.000","40110.55","256270.22","BROOKLYN","40.694059","-73.985741","302","33","11","3000000","3001420100","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"AMY SCHERBER, INC.","AMY SCHERBER","amy@amysbread.com","2124622038","48-09 34th St.","Long Island City","NY","11101","Manufacturing","WHOLESALE BAKERY","Relocator","130",,,"2013-01-07T00:00:00.000","12368.34","169541.65","QUEENS","40.740357","-73.93158","402","26","199","4003452","4002540036","Hunters Point-Sunnyside-West Maspeth"
"ANHEUSER BUSH","ED FITZMAURICE","steve.hunter@anhuser-busch.com","7183495805","500 Food Center Drive","Bronx","NY","10456","Wholesale/Warehouse/Distribution","Dist. of beers and ales","City/State","294",,,"2009-07-06T00:00:00.000","62254.54","801582.44","BRONX","40.805781","-73.871164","202","17","117",,,"Hunts Point"
"ANTHONY DALO WOODWORKING, INC.","ANTHONY DALO","anthony@adalowood.com","7184189001","361 STAGG STREET","brooklyn","NY","11206","Manufacturing","MFG. CABINERTRY","Tenant","4","2","4","2005-09-02T00:00:00.000","100.12","18146.26","BROOKLYN","40.710477","-73.934421","301","34","485","3070837","3030290065","Bushwick South"
"Apex Logistics International (JFK), Inc","Sheik  Ahamad","sheika@apexglobe.com","5166402851","145-68 228th St, Unit 3","Queens","NY","11413","Wholesale/Warehouse/Distribution","Freight forwarding and warehousing","Tenant","9",,,"2015-06-16T00:00:00.000","4205.28","18174.31","QUEENS","40.660713","-73.752361","413","31","690","4612085","4134750016","Springfield Gardens South-Brookville"
"Applied Research & Consulting LLC","Christopher Bumcrot","cbumcrot@arcllc.com","9175469630","30-30 47th Avenue","Long Island City","NY","11101","Manufacturing",,"Relocator","6",,,"2016-02-08T00:00:00.000","1080.64","3484.49","QUEENS","40.743168","-73.936568","402","26","199","4003540","4002820001","Hunters Point-Sunnyside-West Maspeth"
"Approved Oil Co. of Brooklyn, Inc.","Vincent Theures","vincenttheures@approvedoil.com","7182381050","202-224 64th Street","Brooklyn","NY","11220","Commercial","Dist. of Heating Oil","IDA","140",,,"2010-10-14T00:00:00.000","3473.34","19252.76","BROOKLYN","40.641028","-74.024841","307","38","22","3144127","3058160006","Sunset Park West"
"APR, INC., DBA EXPRESITO CARGA","ALFREDO PADILLA","apadilla@expresito.com","7182052222","102-46 CORONA AVE. AKA 102-36","Queens","NY","11368","Wholesale/Warehouse/Distribution","WH AND DISTRIBUTION","IDA","19","5","19","2007-05-14T00:00:00.000","1446.96","38443.24","QUEENS","40.744199","-73.860861","404","21","413","4047395","4019280024","Corona"
"APTHORP CLEANERS, INC.","Debra Kravet","apthorpcleaners@gmail.com","7188661240","882 EAST 149TH STREET","BRONX","NY","10455","Commercial","Dry cleaner for drop stores","IDA","21",,,"2007-12-03T00:00:00.000","5679.82","90786.95","BRONX","40.810912","-73.903298","201","8","31","2004102","2026000206","Mott Haven-Port Morris"
"ARDAVANIS REALTY CORPORATION","DENNIS ARDAVANIS","bbrcontracting@aol.com","7187885447","163 22ND STREET","Brooklyn","NY","11232","Commercial","COMMERCIAL","ICIP","18","3","18","2006-08-10T00:00:00.000","399.04","10671.33","BROOKLYN","40.662525","-73.996897","307","38","145","3009303","3006420047","Sunset Park West"
"Arista Coffee, Inc.","Stephen Vouvoudakis","tom@aristacoffee.com","3474086012","59-01 55th Street","Maspeth","NY","11318","Commercial","Company is a roaster of coffee beans","ICAP","40",,,"2016-10-28T00:00:00.000","8528.77","20590.43","QUEENS","40.716759","-73.913146","405","30","535","4059082","4026300001","Maspeth"
"ARROW LINEN SUPPLY CO.","Frank Park","FPark@arrowlinen.com","7187882000","467 PROSPECT AVENUE","Brooklyn","NY","11215","Commercial","IND. COMM. LAUNDRY SRVC.","IDA","175",,,"2012-05-11T00:00:00.000","126391.81","698091.59","BROOKLYN","40.65943","-73.982725","307","39","169","3330617","3011130061","Windsor Terrace"
"Artex, Inc.","John Jacobs","therman@ArtexFAS.com","2122440999","33-20 48 Ave","Long Island City","NY","11101","Wholesale/Warehouse/Distribution",,"Relocator","42",,,"2014-08-06T00:00:00.000","37890.07","199553.96","QUEENS","40.740775","-73.932182","402","26","199","4003456","4002550023","Hunters Point-Sunnyside-West Maspeth"
"ASPRO MECHANICAL CONTRACTING, INC.","VINCENT ASPROMONTE, SR.","sr@aspromechanical.com","7189773653","127-08 MERRICK BOULEVARD","Queens","NY","11434","Commercial","CONTRACTOR","ICIP","32","40","64","2006-11-15T00:00:00.000","1820.96","63830.17","QUEENS","40.681323","-73.764972","412","27","33401","4270315","4125280105","St. Albans"
"Asymptote Architecture, PLLC","Lise Anne Couture","admin@asymptote.net","2123437333","1145-46 AVE","Queens","NY","11101","Manufacturing","Architectural design","Relocator","57",,,"2009-04-08T00:00:00.000","6697.92","101576.08",,,,,,,,,
"ATLANTIS SEAFOOD WHOLESALE","STEPHEN HON","stephenhon@aol.com","7186288080","8-10 WYCKOFF AVENUE","Brooklyn","NY","11237","Wholesale/Warehouse/Distribution","WHOLESALE/DIST.","ICIP","5","7","5","2007-03-02T00:00:00.000","2534.49","69590.55","BROOKLYN","40.706817","-73.923268","304","34","447","3072397","3031760038","Bushwick North"
"AVI-SPL, Inc.","Michael Diodato","michael.diodato@avispl.com","7188064040","10-40  45th Avenue 1st Floor","Long Island City","NY","11101","Wholesale/Warehouse/Distribution",,"Tenant","102",,,"2011-12-07T00:00:00.000","7877.65","49998.08","QUEENS","40.748053","-73.951224","402","26","7","4000411","4000500017","Hunters Point-Sunnyside-West Maspeth"
"B. Thayer Associates","Barbara  Thayer","bthayer@bthayerassociates.com","7189423320","37-18 Northern Blvd","Long Island City","NY","11101","Other",,"Relocator","4",,,"2015-01-02T00:00:00.000","389.00","5052.65","QUEENS","40.752096","-73.925887","401","26","171","4003103","4002140040","Hunters Point-Sunnyside-West Maspeth"
"B.C.S. International Corporation","Dae Hyun  Yoo","david@bcsroyal.com","7183923355","47-15 33rd St","Queens","NY","11101","Wholesale/Warehouse/Distribution","Groceries","IDA","12",,,"2007-12-06T00:00:00.000","18324.06","312681.95","QUEENS","40.742197","-73.932167","402","26","199","4311535","4002510015","Hunters Point-Sunnyside-West Maspeth"
"B.P. AIR CONDITIONING CORP/","Bill  Chrietzberg","bchrietzberg@bpair.com","2127320606","84-00 73RD ST.","QUEENS","NY","11385","Commercial","distributor HVAC systems","IDA","112",,,"2009-04-21T00:00:00.000","15808.47","235956.45",,,,,,,,,
"BACK TO AFRICA CORP.","EZRA DEBBAH","edebbah@aol.com","7184925100","140 58TH STREET, UNIT 6M BLDG. A","Brooklyn","NY","11220","Manufacturing","MANUFACTURE","Relocator","4",,"4","2007-07-03T00:00:00.000","1170.11","18812.62","BROOKLYN","40.645338","-74.022864","307","38","18","3414976","3057780001","Sunset Park West"
"BALDOR SPECIALTY FOOD","Eileen Manitsas","eileen@baldorfood.com","7183044507","155 Food Center Drive","Bronx","NY","10474","Wholesale/Warehouse/Distribution","DST OF FRUITS & VEGGIES","City/State","579",,,"2008-12-03T00:00:00.000","162641.16","1609390.54","BRONX","40.809733","-73.872648","202","17","117","2101319","2027810500","Hunts Point"
"BANNER SMOKED FISH, INC.","Alan  Levitz","alanlevitz@gmail.com","7184491400","2715 WEST 15TH STREET","Brooklyn","NY","11224","Manufacturing","PROCESSOR FISH PRODUCTS","ICIP","41",,,"2010-12-28T00:00:00.000","45039.82","359934.96","BROOKLYN","40.581105","-73.983443","313","47","348","3329317","3069970042","Seagate-Coney Island"
"BARK FRAMEWORKS, INC.","Jared  Bark","jbark@barkframeworks.com","7187521919","21-24 44TH AVENUE","Queens","NY","11101","Manufacturing","MFG. (WOOD PRODUCTS)","IDA","53",,,"2015-06-08T00:00:00.000","12539.30","55300.80","QUEENS","40.74942","-73.946282","402","26","19","4005191","4004390027","Hunters Point-Sunnyside-West Maspeth"
"BARKER BROTHERS","Kenneth Doyle","barkerbrothers@aol.com","7184566400","1656-1662 SUMMERFIELD STREET","Queens","NY","11385","Manufacturing","MANUFACTURE","ICIP","51",,"202","2006-06-28T00:00:00.000","1182.71","146966.71","QUEENS","40.695815","-73.901399","405","34","559","4437809","4035550038","Ridgewood"
"BARONE STEEL FABRICATORS, INC.","NICK BARONE","nbarone@baronesteel.com","7188324705","128 44th Street","BROOKLYN","NY","11232","Manufacturing","Fabricator and erector of structural steel","IDA","57",,,"2008-02-12T00:00:00.000","12288.86","164637.52","BROOKLYN","40.65331","-74.014866","307","38","18","3320138","3007350050","Sunset Park West"
"Belmont Metals","Jeffrey Behrendt","jbehrendt@belomtmetals.com","7183424900","330 Belmont Avenue","Brooklyn","NY","11207","Manufacturing",,"ICIP","85",,,"2008-10-20T00:00:00.000","63854.00","811913.57","BROOKLYN","40.670294","-73.897731","305","42","1156","3326970","3037520002","East New York (Pennsylvania Ave)"
"BENSON MILLS, INC.","GABE LEVY","gabe@bensonmills.com","7185321401","140 58TH ST. BLDG. A UNIT 7J","Brooklyn","NY","11220","Manufacturing","MANUFACTURING","Tenant","15",,,"2009-10-02T00:00:00.000","3166.27","30059.76","BROOKLYN","40.645338","-74.022864","307","38","18","3414976","3057780001","Sunset Park West"
"Bermuda Motor Car Renting Co.","Robert A. Verdi","peter@bermudalimo.com","2122432591","21-30 44th Road","Long Island City","NY","11101","Commercial",,"Relocator","90",,,"2012-06-08T00:00:00.000","4368.43","34516.49","QUEENS","40.748624","-73.945972","402","26","19","4005184","4004380026","Hunters Point-Sunnyside-West Maspeth"
"BEST CASE & ACCESSORIES, INC.","MURRAY DANA","MDANA@BESTCASECELLULAR.COM","8003468746","140 58TH STREET","Brooklyn","NY","11220","Wholesale/Warehouse/Distribution","DISB. CELLULAR PHONES","Tenant","20",,,"2015-05-15T00:00:00.000","6598.65","23838.40","BROOKLYN","40.645338","-74.022864","307","38","18","3414976","3057780001","Sunset Park West"
"Best Choice Trading Corp","Lee Fung Fong","bestchoiceseafood@yahoo.com","7183662999","146 Stewart Avenue","Brooklyn","NY","11237","Wholesale/Warehouse/Distribution",,"IDA","24",,,"2010-03-09T00:00:00.000","26645.61","274610.56","BROOKLYN","40.711043","-73.926734","301","34","449","3258604","3029640044","East Williamsburg"
"Best Mounting Corp.","Amir Rotlevi","anrotlevi@bestmounting.com","9178423783","130-11 Atlantic Avenue","Jamaica","NY","11418","Manufacturing","Mfg. of switchgears","IDA","3",,,"2010-09-28T00:00:00.000","7611.29","40449.90","QUEENS","40.695926","-73.818689","409","28","14202","4196970","4093750285","Richmond Hill"
"Bestec Concept, Inc.","Peter Kim","maxivision@msn.com","7189375848","140 58th Street, Bldg B #8D","Brookln","NY","11220","Manufacturing","Dress uniforms","City/State","140",,,"2016-09-01T00:00:00.000","19243.06","56272.82","BROOKLYN","40.645338","-74.022864","307","38","18","3414976","3057780001","Sunset Park West"
"Bettertex","Isaac Douek","astange@gamlaphoto.com","2129473790","140 58th Street, Bldg. B unit 5I","Brooklyn","NY","11220","Wholesale/Warehouse/Distribution","Warehouse/Electronic","Tenant","8",,,"2013-07-03T00:00:00.000","4025.32","19484.35","BROOKLYN","40.645338","-74.022864","307","38","18","3414976","3057780001","Sunset Park West"
