"type_of_business","business_type_other","company_name","company_description","street_address","apt_number","borough","postal_code","business_phone","contact_name","contact_title","contact_phone","contact_fax","location_1","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"Magazine / Newspaper / Publishing",,"Latina Media Ventures","Our mission is to bring the U.S. Hispanic community the best, most empowering, engaging and culturally relevant content across a range of media platforms that include publishing, digital and live events. Through it all, we entertain and inspire Hispanic women with award-winning content that covers Latin culture, style, beauty, food, and music, and create products and services that have, at their core, the real Latina woman.","1500 Broadway","Suite 700","Manhattan","10036","(212)642-0200","Fabio Freyre","CEO","(212)642-0200","(917)770-0860","1500 Broadway
Manhattan, NY 10036
(40.756872204002, -73.985997741512)","40.756856","-73.985973","5","4","119","1022610","1009960001","Midtown-Midtown South                                                      "
"Television Network",,"Galavision","Mission statement: To provide a live, direct connection to the people, places and events that matter most to Hispanic America.","605 Third Ave.","12th Floor","Manhattan","10158","(212)455-5330","Joanne Lynch","SVP/General Manager","(212)455-5330","(212)953-0198","605 Third Ave
Manhattan, NY 10158
(40.749062668312, -73.975754900466)","40.749076","-73.975682","6","4","88","1082153","1009200012","Turtle Bay-East Midtown                                                    "
"Production Company",,"Mendoza Gomez Associates","Creative Marketing and Promotion Concepts for the Hispanic market for over 15 years","501 Fifth Avenue","Suite 407","Manhattan","10017","212-905-5010","Carmen J. Gomez","President","212-905-5010","212-300-2100","501 Fifth Avenue
Manhattan, NY 10017
(40.753265922665, -73.98103348391)","40.753315","-73.980993","5","4","82","1035342","1012760069","Murray Hill-Kips Bay                                                       "
"Other",,"BMI - Broadcast Music, Inc. (Latin Music Dept.)","BMI is an American performing rights organization that represents approximately 300,000 songwriters, composers and music publishers in all genres of music. The non-profit-making company, founded in 1939, collects license fees on behalf of those American creators it represents, as well as thousands of creators from around the world who chose BMI for representation in the United States. The license fees BMI collects for the ""public performances"" of its repertoire of approximately 4.5 million compositions - including radio airplay, broadcast and cable television carriage, Internet and live and recorded performances by all other users of music - are then distributed as royalties to the writers, composers and copyright holders it represents.","320 West 57th Street","3rd Floor","Manhattan","10019","212-586-2000","Porfirio Pina","Associate Director, Latin Music","212-830-2573","212-245-8986","320 57th Street
Manhattan, NY 10019
(40.76695555576, -73.98353281148)","40.767061","-73.983715","4","3","139","1025450","1010477503","Clinton                                                                    "
"Music Ensemble/Orchestra",,"Mariachi Academy of New York (MANY)","MANY is a community-led non-profit 501c3 organization devoted to preserving the rich heritage of mariachi to youth in New York. It intends to develop the skills in musical training, discipline, creativity and self-esteem while strengthening language, team working skills and a strong sense of identity.","114 East 118 Street",,"New York","10035","212-729-7678","Ramon Ponce","Director","917-673-7101",,"114 118 Street
New York, NY 10035
(40.800354102314, -73.941748467306)","40.800225","-73.941386","11","8","182","1052335","1016450007","East Harlem North                                                          "
"Production Company",,"BOND","BOND is a dynamic full-service editorial and FX studio. Our editors, graphic designers and effects team have had many years of success creating award-winning work for Hispanic advertisers and broadcasters.","665 Broadway","12th Floor","Manhattan","10012","(212)533-9400","Jeff Beckerman","President/Creative Director","(212)533-9400","(212)533-0463","665 Broadway
Manhattan, NY 10012
(40.727093231537, -73.995363105187)","40.727354","-73.995162","2","1","5501","1083504","1005320015","West Village                                                               "
"PR / Communications / Marketing",,"Soccer United Marketing","SUM is the preeminent commercial soccer company in the U.S. They hold the exclusive rights to the most  important soccer properties in the nation, including all commercial rights to Major League Soccer, the U.S. Soccer Federation and all men's and women's national teams, among others.  ","420 Fifth Ave.","7th Floor","Manhattan","10018","(212)450-1200","Michael Gandler","Director, Hispanic Business","(212)450-1200","(212)450-1326","420 Fifth Ave
Manhattan, NY 10018
(40.751024693981, -73.982756089343)","40.750809","-73.982845","5","4","84","1081017","1008397501","Midtown-Midtown South                                                      "
"Magazine / Newspaper / Publishing","Media Company/Publishing","Latina Media Ventures, LLC","Publishers of LATINA Magazine, the leading lifestyle magazine for bicultural Hispanic women in the US today. Covering the best of Latino fashion, beauty and culture, LATINA also features celebrity profiles and interviews, as well as the real women inspiring change in their communities, their families, and their jobs. ","1500 Broadway","Suite 700","Manhattan","10036","212-642-0200","Charlotte Castillo","Marketing & Creative Services Director","212-642-0238","917-777-0860","1500 Broadway
Manhattan, NY 10036
(40.756872204002, -73.985997741512)","40.756856","-73.985973","5","4","119","1022610","1009960001","Midtown-Midtown South                                                      "
"Advertising",,"The Bravo Group","We strive to be our client's most valuable business partner. We provice our clients with resonant brand experiences that secure brand loyalty by creating distinctive, relevant and emotional connections between the evolving Hispanic market and our clients' brands.","20 Cooper Square",,"Manhattan","10003","(212)780-5800","Eddie Gonzalez","Chairman & CEO","(212)780-5800","(212)780-0602","20 Cooper Square
Manhattan, NY 10003
(40.728016462283, -73.991359963237)","40.727672","-73.99137","2","2","57","1008780","1005440050","West Village                                                               "
"Advertising",,"Aragon Advertising","Aragon Advertising is dedicated to using its extensive consumer insight and vast product experience to help advertisers gain leadership positions in the Hispanic market. We combine big agency capabilites with personal, hands-on, small agency service to help brands increase market share and reach marketing goals.","96-17 69th Avenue",,"Queens","11375","(718)544-0151","Michelle Aragon","President-CEO","(718)544-0151","(718)575-1815","96 17 69th Avenue
Queens, NY 11375
(40.72070726303, -73.846284296083)","40.717204","-73.851989","6","29","709","4076400","4032000035","Forest Hills                                                               "
"Advertising",,"d exposito & partners llc","Mission statement: To deliver work that: - Moves! Products, Services, Hearts, Minds - Delights! Breaks through, Entertains, Captivates, Connects - Sells! Builds Brands, Profitability, ROI.","875 Ave. of the Americas","25th Floor","Manhattan","10001","(646)747-8800","Daisy Exposito-Ulla","Partner","(646)747-8800","(212)273-0778","875 Ave
Manhattan, NY 10001
(40.750259021437, -73.99688630376)","40.747991","-73.989108","5","3","101","1015182","1008070039","Midtown-Midtown South                                                      "
"Production Company",,"Caicedo Productions","Caicedo Productions was founded by Veronica Caicedo in 1990. The company's mission continues to be that of providing creative and technical space for actors, writers and visual artists from inter-related genres (i.e. theater, film video and television). It seeks to have them shared and cooperatively develop their concepts in an environment that seeks to support and bring to the audiences their Ã¢â¬Åminds eyeÃ¢â¬Â creations.","7304 5th Avenue","PMB 184","Brooklyn","11209","201-969-8599","Veronica Caicedo","Executive Director","201-969-8599","718-389-0864","7304 5th Avenue
Brooklyn, NY 11209
(40.630955237886, -74.022086620087)","40.630873","-74.022081","10","43","134","3147885","3059190039","Bay Ridge                                                                  "
"Other",,"Metro Newspaper Advertising Services","Our mission is twofold: Demonstrate the effectiveness and efficieny of newspapers to advertisers, and bring our 70+ years of newpaper planning and execution to the Hispanic and other multicultural markets.","8 W. 38th Street",,"Manhattan","10018","(212)689-8200","Phyllis Cavaliere","President/CEO","(212)689-8200","(212)532-1710","8 38th Street
Manhattan, NY 10018
(40.751088541542, -73.983036746305)","40.751215","-73.983354","5","4","84","1075696","1008390055","Midtown-Midtown South                                                      "
"Music Company",,"Vivelo!, A Clear Channel Entertainment Televisa Company","Vivelo! is an entertainment, lifestyle marketing and promotions company focused on the U.S. based Hispanic market. Our areas of expertise include, production of events, concert tours, soccer events, development of proprietary programs and promotions targeting the Hispanic community.","220 West 42nd Street",,"Manhattan","10036",,,,,,"220 42nd Street
Manhattan, NY 10036
(40.756289268833, -73.987603712773)","40.756412","-73.987858","5","3","113","1024663","1010130042","Midtown-Midtown South                                                      "
"Magazine / Newspaper / Publishing",,"Business Latino","Business Latino is a publication devoted to the financial business and trade goings on in the Latino community of the United States with an emphasis in the New York Tri-State area.

Trade with Latin America in this globalized world which is a very important component in this business equation is fully covered in the pages of Business Latino.

Food be imported from Latin America to the US or exported to Latin America from US plays an immense role in the economies of  Latin countries From MÃ©xico to Colombia and  Argentina and other countries in between food exports to the United States and other parts of the world are often vital to economic well being of those nations And in turn for thousands of businesses in the US who depend on the timely and steady availability of those products to stay in business.","Rockefeller Center 1230 Avenue of the Americas, Ste 7T",,"New York","10020","917-639-4226","Rosemary Carillo","Publisher","917-639-4226",,"1230 Avenue
of the Americas New York, NY 10020
(40.759288641501, -73.980826185983)","40.759268","-73.977844","5","4","104",,,"Midtown-Midtown South                                                      "
"Other",,"Latin American Video Archives","The Latin American Video Archives is a non-profit organization dedicated to the promotion and distribution of Latin American and U.S. Latino films and videos.","124 Washington Place",,"Manhattan","10014","212-243-4804","N/A","N/A","212-243-4804","212-243-2007","124 Washington Place
Manhattan, NY 10014
(40.732761380397, -74.001421114314)","40.732714","-74.001346","2","3","71","1010207","1005920007","West Village                                                               "
"Magazine / Newspaper / Publishing",,"24 Horas","24 Hora's is one of America's leading Spanish-language daily newspapers","485 Seventh Ave.","Suite 505","Manhattan","10018","(646) 839-4403","Armando Tonatiuh Hernandez","Executive Editor","(646) 839-4403","(212) 330-8083","485 Seventh Ave
Manhattan, NY 10018
(40.752483512499, -73.989559056748)","40.752465","-73.989544","5","3","109","1015235","1008127501","Midtown-Midtown South                                                      "
"Magazine / Newspaper / Publishing","Magazine","Urban Latino Magazine","As the first lifestyle and cultural publication geared to bicultural Latinos, Urban Latino has earned its rightful place: we are the premier magazine for both male and female Latinos in the United States.","735 Second Avenue","Penthouse","Manhattan","10016","212-681-2491","Jorge Cano Moreno","Publisher","212-681-2493","212-681-2487","735 Second Avenue
Manhattan, NY 10016
(40.748148780318, -73.973416226322)","40.748213","-73.973401","6","4","88","1020380","1009200031","Turtle Bay-East Midtown                                                    "
"PR / Communications / Marketing","Consulting & Marketing","Latin Force, LLC","Latin Force, LLC is a Hispanic market consulting firm. We provide the following services: Strategic Planning, Press and Publicity, Grassroots Marketing, Events and Promotions, and Web Development.","670 Broadway","2nd Floor","Manhattan","10012","212-813-6767","David Perez","CEO","212-813-6767","212-253-9799","670 Broadway
Manhattan, NY 10012
(40.727365448221, -73.995089887228)","40.727299","-73.995183","2","1","5502","1008467","1005300001","West Village                                                               "
"Advertising",,"REVOLUCION","Mission statement: INSPIRE CHANGE.","22 West 23rd Street","3rd Floor","Manhattan","10010","(212)229-0700","Alberto Rodriguez","Chief Creative Officer","(212)229-0700","(212)229-0770","22 23rd Street
Manhattan, NY 10010
(40.740829976789, -73.987947865776)","40.741944","-73.990534","5","3","58","1015572","1008240051","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"Television Network",,"NBC4","WNBC is the flagship station of NBC/Universal serving the New York Metropolitan area.","30 Rockefeller Plaza","615E","Manhattan","10112","212-664-5247","Anna Carbonell","VP - Stations Relations","212-664-5247","212-790-4710","30 Rockefeller Plaza
Manhattan, NY 10112
(40.759031999727, -73.978372000367)","40.758754","-73.978692","5","4","104","1076262","1012657501","Midtown-Midtown South                                                      "
"Other",,"MPG Diversity","MPG Diversity aims to provide a full range of multicultural media services including media and market research, strategic planning, and a strong media buying operation. MPG Diversity's goal is to optimize its client's investments and to contribute to build up brand equity through effective multicultural media communication consulting.","195 Broadway","12th Floor","Manhattan","10007","(646)587-5000","Jorge Percovich","EVP/Managing Director","(646)587-5000","(646)587-5005","195 Broadway
Manhattan, NY 10007
(40.710602085595, -74.009290182071)","40.710536","-74.009378","1","1","13","1001227","1000800001","Battery Park City-Lower Manhattan                                          "
"Dance Company",,"Flamenco Vivo Carlota Santana","Flamenco Vivo Carlota Santana is one of the nations premier flamenco and Spanish dance companies. We believe that the universal spirit of flamenco, a multicultural art form, has the power to build bridges between cultures and inspire audiences from diverse backgrounds. Artistic Director Carlota Santana leads this company of energetic dancers and musicians in powerful performances, extensive community outreach, and innovative arts education programs.","4 West 43rd Street",,"New York","10036","212-736-4499","Leslie Malmed","Executive Director","212-736-4499","212-736-1326","4 43rd Street
New York, NY 10036
(40.754489000625, -73.981177375435)","40.754371","-73.980932","5","4","96","1034201","1012580042","Midtown-Midtown South                                                      "
"Advertising",,"The Vidal Partnership","Aims to be the most effective Hispanic communications agency in the US dedicated to their core business by delivering unmatched market insight, creative innovation and flawless execution across a broad range of communications disciplines.","228 E. 45th St.","11th Floor","Manhattan","10017","(212)867-5185","Manny Vidal","Chairman/CEO","(212)867-5185","(212)661-7650","228 45th St
Manhattan, NY 10017
(40.752390853687, -73.972390382812)","40.752355","-73.972266","6","4","90","1037578","1013180033","Turtle Bay-East Midtown                                                    "
"PR / Communications / Marketing","Hispanic Public Relations","RL Public Relations & Marketing","Young, vibrant and creative, RL Public Relations  Marketing is a bi-coastal full-service agency dedicated to developing and executing breakthrough public relations and marketing communications programs for the Latino market both in the U.S. and Latin America. Founded in 1996, RLPR is the brainchild of Argentina-born Roxana Lissa, a marketing professional and visionary who at age 25 recognized and responded to an untapped opportunity to connect clients with this growing, diverse and rich population.","27 West 20th Street","# 307","Manhattan","10011","212-206-8668","Melissa Karp","Senior Vice President","212-206-8668","212-206-8778","27 20th Street
Manhattan, NY 10011
(40.740096030437, -73.991835007259)","40.740136","-73.992021","5","3","54","1015491","1008220015","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"Television Network",,"AIM Tell-A-Vision ","AIM Tell-A-Vision is a division of Artist and Idea Management and is a New York City based network of English language programming for U.S. Latinos via broadcast syndication and cable. AIM Tell-A-Vision focuses on critical, underserved markets including the U.S. born Latino market. AIM Tell-A-Vision's network of programming includes ""Urban Latino TV"", ""American Latino TV"", ""Sonidos"" and ""Latin Fuze.""  ","201 East 16th Street","5th Floor","Manhattan","10003","212-627-3192","Robert G. Rose","President","212-627-3192","212-255-9232","201 16th Street
Manhattan, NY 10003
(40.734628220571, -73.9861523325)","40.734533","-73.985992","6","2","48","1019533","1008970041","Gramercy                                                                   "
"Advertising",,"Schramm Sports & Entertainment","Schramm Sports & Entertainment is committed to serving the diverse, new American family, by marketing a variety of sports & entertainment properties that are of particular interest and appeal to America's many different sports fans and audience segments. Schramm promotes each property to is particular fan or audience segment with respect for each culture and with special attention to the interests that make each audience group unique.","363 Seventh Ave.","22nd Floor","Manhattan","10001","(212)983-0219","Joseph Schramm  ","President","(212)983-0219","(212)983-0524","363 Seventh Ave
Manhattan, NY 10001
(40.748607434553, -73.9923739347)","40.748609","-73.992349","5","3","101","1015154","1008060001","Midtown-Midtown South                                                      "
"Magazine / Newspaper / Publishing",,"Un Chin Magazine","Un Chin is the journalistic definition of avant-garde.  It is a metro lifestyle magazine that features riveting visuals, daring editorials and accentuates  the pulse of a new culture. By fusing arts, fashion, politics, language and intangible sensibilities, Un Chin redefines american culture and lifestyle bringing neglected elements from the fringe to the mainstream. This cross-gender publication is designed for trendsetters with progressive ideas, professional goals and unlimited creative energy.","1202 Lexington Avenue ","Suite 348","Manhattan","10028","212-304-8188","Celines De Leon","Sales and Marketing","212-304-8188","212-304-8288","1202 Lexington Avenue
Manhattan, NY 10028
(40.776648295426, -73.957651111148)","40.776672","-73.957658","8","4","140","1047599","1015100156","Upper East Side-Carnegie Hill                                              "
"Other",,"Mediamark Research Inc.","MRI provides the sharpest picture possible of the American consumer: who they are, what they buy, how they think, and how they can be reached. As the nation's fastest growing minority community, MRI recognizes Hispanic consumers as a large and influential segment of the American consumer.","75 Ninth Ave","5th Floor","Manhattan","10011","(212)884-9200","Kathi Love","President/CEO","(212)884-9200","(212)884-9339","75 Ninth Ave
Manhattan, NY 10011
(40.741880143007, -74.004788640416)","40.741876","-74.004713","4","3","83","1012541","1007130001","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"PR / Communications / Marketing",,"Ibernet Media","Experts in Communication and Marketing in Spain and New York Consultants creators with innovative ideas for the Hispanic market.","37-06   82 Street, Ste 3F",,"Jackson Heights","11372","201-606-5479","Carla Marrero","Sales Representative","201-606-5479",,"37 06 82 Street Jackson Heights
NY,  11372
(40.751630739367, -73.883612545283)","40.749421","-73.884262","3","21","283","4030013","4012920006","Jackson Heights                                                            "
"Other",,"Nouveau Media, Corp.","Coaching Shoots And Techniques is a program created for Models and Actors within a workshop environment. It was developed in order to create new ways of showing individuals within the entertainment industry the steps needed to enter this industry, the people to contact, the safety aspects behind - Personal Safety For Models and Actors, and the digital photography & digital video modeling and acting workshop. Coaching Shoots And Techniques were developed by Mike Racioppo retired NYC Employee, Cable TV program producer for the Fire Departments FDTV cable show, and safety video programs for the Board of Education, Bronx Crosswalks cable programming. Mike is also a Latino - American FilmMaker, currently judging Films for NY Festivals, and has in the past worked with Tribeca Film Festivals and the IFP Market. Mike has associated himself with the National Association of Latino Independent Producers, DiversitInc, Mas Ruido, latin style magazine, and Hispanic film, to name a few. Mike has been certified by the New Jersey Institute of Technology as a Webmaster, Graphic Artist, and Multimedia certifications.","233 Pelton Avenue","Suite 2","Staten Island","10310"," 973-258-1781","Mike Racioppo","Director","973-258-1781",,"233 Pelton Avenue Staten Island
NY,  10310
(40.637347016501, -74.110690128132)","40.637063","-74.110664","1","49","105","5004145","5001510125","New Brighton-Silver Lake                                                   "
"PR / Communications / Marketing","Events, Magazine, Internet","LatCom Communications","LatCom Communications is a leading New Generation Latino media and entertainment company with properties that generate millions of targeted impressions including: iCaramba College Tour,  iCaramba Comedy Series, Latin Alternative Series, iCaramba U. Magazine, iCaramba.com,  LatinoGreeks.com, LatinosStep.com, and Lugar Heights TV Cartoon. All of our properties exclusively target the New Generation Latino making us one of only a handful of companies who specialize in this lucrative audience.","262 West 38th Street","# 1503","Manhattan","10018","212-967-8267","David Chitel","CEO","212-967-8267","212-792-5839","262 38th Street
Manhattan, NY 10018
(40.754240878972, -73.990579405604)","40.754216","-73.990478","5","3","109","1014468","1007870076","Midtown-Midtown South                                                      "
"Magazine / Newspaper / Publishing",,"Fama y Fortuna","A monthly entertainment and general interest content magazine published monthly and free to the Latino consumer that resides in NY and NJ.","418 CPW, Ste 30",,"New York","10025","212-642-8088","Mercedes Ramirez","Publisher","212-642-8088",,"418 CPW
New York, NY 10025
(40.796850127631, -73.963725810598)","40.79539","-73.96198","7","7","189","1055310","1018377501","Upper West Side                                                            "
"Advertising",,"MosaicaMD","Mission statement: To propel our clients' success ino America's growing multicultural marketplace in a way that's impactful, relevant and respectful.","20 Cooper Square","4th Floor","Manhattan","10003","(212)780-5900","Eddie Gonzalez","Chairman","(212)780-5900","(212)780-5959","20 Cooper Square
Manhattan, NY 10003
(40.728016462283, -73.991359963237)","40.727672","-73.99137","2","2","57","1008780","1005440050","West Village                                                               "
"Music Company",,"Fuerte Group","Fuerte Group is a multi-cultural music promotion and lifestyle marketing company with specific expertise in the US Hispanic market. The company has three divisions: Fuerte Marketing, Fuerte Artist Management, and Fuerte Records.","73 Spring Street","# 406","Manhattan","11552","212-219-2525","Rich Isaacson ","Principal","212-219-2525","212-219-8915","73 Spring Street
Manhattan, NY 11552
(40.693933415095, -73.651541806009)",,,,,,,,
"Production Company",,"Latino Flavored Productions Inc.","Latino Flavored Productions Inc. produces English language theater/film/television projects flavored with the Latino experience.","648 Bay Street","#301","Staten Island","10314","(718) 720-7979","Linda Nieves-Powell","President/CEO","(718) 720-7979","(718) 720-7979","648 Bay Street Staten Island
NY,  10314
(40.626249538889, -74.075442002946)","40.626266","-74.075414","1","49","27","5013746","5005240032","Stapleton-Rosebank                                                         "
"Internet",,"MiGente.com","Latino online community boasting 2.2 Million members. Latest U.S.-Latino-relevant news. Offers email, job searches and dating.","205 Hudson Street","6th Floor","Manhattan","10013","212-431-4477","Carlos VÃÂ¡zquez-Firpi","Editor","212-431-4477","212-505-5483","205 Hudson Street
Manhattan, NY 10013
(40.723616428456, -74.007990826043)","40.723352","-74.00798","1","1","39","1002933","1002250008","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"Dance Company",,"Afro Cuban Folklor Dance Company","yu Oro is committed to the preservation of Afro-Cuban culture through dance, song and music. Oyu Oro explores traditional forms of dance that derive from the Yoruba, Congo, Carabali, Arara, and Dahomeyan cultures of West Africa; the rich Haitian influences that remain in Cuba along with popular dances of Cuban heritage, including Rumba, Conga, Chancletas and Son.","626 Riverside Drive","Ste. 4H","Manhattan","10031","212-281-3580","Danys Perez","Founder/Artistic Director/Choreographer","917-370-5081","212-281-3580","626 Riverside Drive
Manhattan, NY 10031
(40.823889681626, -73.954224694217)","40.823647","-73.954431","9","7","225","1062307","1020870078","Hamilton Heights                                                           "
"Television Network",,"Univision","Univision Communications Inc. is the leading Spanish-language media company in the United States.  Their powerhouse portfolio includes Television, Radio, Music and Internet offerings that entertain and inform more Hispanics each day than any other media company in the country.  Their television operations include the Univision Network, TeleFutura Network, GalavisiÃ³n and Univision and TeleFutura Television Groups. Univision also owns and operates Univision Radio, Univision Music Group and Univision Online. Univision holds a 50% interest in TuTv, a joint venture formed to broadcast Televisa's pay television channels in the U.S.","605 Third Ave.","12th Floor","Manhattan","10158","(212) 455-5200","Joseph Uva","CEO","(212) 455-5200",,"605 Third Ave
Manhattan, NY 10158
(40.749062668312, -73.975754900466)","40.749076","-73.975682","6","4","88","1082153","1009200012","Turtle Bay-East Midtown                                                    "
"Television Network",,"Azteca America","TV Azteca's mission is to create shareholder value by producing and distributing the best Spanish-language television content in the world.","152 Madison Ave.","4th Floor","Manhattan","10016","(212)207-8535","Luis Echarte","President/CEO","(212)207-8535","(212)207-8223","152 Madison Ave
Manhattan, NY 10016
(40.746610939648, -73.983776416099)","40.746574","-73.983839","5","4","74","1017012","1008620016","Midtown-Midtown South                                                      "
"Advertising",,"Euro RSCG Latino","We help engage Latino consumers with brands at every stage of acculturation through creative business ideas.","350 Hudson Street",,"Manhattan","10014","(212)886-4100","Gustavo Razzetti","CEO","(212)886-4100","(212)886-4602","350 Hudson Street
Manhattan, NY 10014
(40.727672322272, -74.007208331061)","40.727548","-74.007274","2","3","37","1009750","1005800039","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"Internet",,"nocheLatina.com","nocheLatina provides a destination for the affluent, bicultural trendsetting ""New Generation"" Latino who enjoys the nightlife arena and is looking for a guide to the latest Latino lifestyle events.","485 Madison Ave.","21st Fl.","Manhattan","10022","212-921-2100","Alex Frias","Managing Director","212-921-2100","212-921-2290","485 Madison Ave
Manhattan, NY 10022
(40.758886685348, -73.974792189027)","40.758825","-73.974877","5","4","102","1035474","1012870052","Midtown-Midtown South                                                      "
