"program_type","program","site_name","borough_community","agency","contact_number","grade_level_age_group","location_1","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"Runaway & Homeless Youth","Transitional Independent Living (TIL)","Girls Educational & Mentoring Services, Inc.","Manhattan","Girls Educational & Mentoring Services, Inc.","212.926.8089 ext. 25",,,,,,,,,,,
"Runaway & Homeless Youth","Transitional Independent Living (TIL)","Inwood House","Manhattan","Inwood house","212.861.4325",,,,,,,,,,,
"Runaway & Homeless Youth","Transitional Independent Living (TIL)","SCO Family of Services","Brooklyn","SCO Family of Services","718.827.8465",,,,,,,,,,,
"Runaway & Homeless Youth","Transitional Independent Living (TIL)","SCO Family of Services","Brooklyn","SCO Family of Services","718.782.0198",,,,,,,,,,,
"Runaway & Homeless Youth","Transitional Independent Living (TIL)","SCO Family of Services","Brooklyn","SCO Family of Services","718.326.5931",,,,,,,,,,,
"Runaway & Homeless Youth","Transitional Independent Living (TIL)","SCO Family of Services IV","Queens","SCO Family of Services","718.217.5613",,,,,,,,,,,
"Runaway & Homeless Youth","Transitional Independent Living (TIL)","Safe Space NYC, Inc","Queens","Safe Space NYC, Inc","718.526.3000",,,,,,,,,,,
"Runaway & Homeless Youth","Transitional Independent Living (TIL)","Rachel's Place","Brooklyn","Rachel's Place","718.253.5364",,,,,,,,,,,
"Runaway & Homeless Youth","Drop-In Center","Ali Forney Center","Brooklyn ","Ali Forney Center","212.222.3427",,,,,,,,,,,
"Immigration Services,Immigrant Support Services,NDA Programs,NDA Immigrants","NDA Immigrants","Make the Road New York","Jackson Heights","Make the Road New York","718-418-7690 X 205 ","Adult","92 10 Roosevelt Avenue
,  13372
(41.796904, -73.131788)","11372","40.748623","-73.874487","4","21","469","4038783","4015500020","Elmhurst                                                                   "
"After-School Programs","Out of School Time","P.S. 1 P.S. 1 - BERGEN SCHOOL","Brooklyn","SCO Family of Services","(718) 492-2619","Elementary","309 47 Street
,  11220
(40.649194277667, -74.012497228156)",,,,,,,,,
"After-School Programs","Beacon","IS 35","Brooklyn","SCO Family of Services","718.453.7004","6 and up","272 McDonough Street
,  11233
(40.681892092944, -73.935841631993)",,,,,,,,,
"After-School Programs","Out of School Time","P.S./I.S. 27 AGNES Y. HUMPHREY","Brooklyn","Good Shepherd Services","(718) 222-9561","Middle School","27 Huntington Street
,  11231
(40.677570464914, -74.005095356805)",,,,,,,,,
"Jobs & Internships","Young Adult Internship Program","NYSARC, Inc. NYC Chapter","Staten Island","NYSARC, Inc. NYC Chapter","718.246.1506","16 to 24","120 Stuyvesant Place
,  10301
(40.643095488653, -74.07704808233)","10301","40.642992","-74.076954","1","49","3","5000084","5000080060","West New Brighton-New Brighton-St. George                                  "
"After-School Programs,Beacon,NYCHA Community Center","Beacon Satellite","NYCHA REDFERN HOUSES","Queens","Police Athletic League @Redfern Community Center","(718) 471-0360","6 and up","1544 Hassock Street
,  11691
(40.608773916286, -73.753078449256)","11691","40.609102","-73.753359","14","31","103201","4449685","4155010002","Far Rockaway-Bayswater                                                     "
"Jobs & Internships,Youth Employment","Summer Youth Employment ","New York City Housing Authority - Bronx","Bronx","New York City Housing Authority - Bronx","212-306-3985","14 to 24","350 Livingston Street
,  10007
(40.713630519433, -74.009131383706)",,,,,,,,,
"After-School Programs","Out of School Time","P.S. 205 CLARION SCHOOL","Brooklyn","YMCA of Greater New York/Prospect Park","(718) 234-2655","Elementary","6701 20th Avenue
,  11204
(40.615329299023, -73.987058002714)","11204","40.61527","-73.987149","11","47","256","3134749","3055710001","Bensonhurst West                                                           "
"After-School Programs","Out of School Time","PAL Armory","Manhattan","Police Athletic League, Inc.","(212) 477-9450","High School","216 Fort Washington Avenue
,  10032
(40.842343769667, -73.942200758685)","10032","40.842571","-73.942097","12","10","251","1063381","1021380079","Washington Heights South                                                   "
"Family Support,NDA Programs","Health Stat Initiative","Make the Road New York","Brooklyn","Make the Road New York","718.418.7690","All Ages","301 Grove St
,  11237
(40.698428502523, -73.915623474994)","11237","40.698448","-73.915629","4","37","433","3075926","3033170041","Bushwick North                                                             "
"After-School Programs","Out of School Time","Fred Doug High School","Manhattan","The Childrens Aid Society","(212) 865-6337","High School","885 Columbus Avenue
,  10025
(40.797713348632, -73.963944750805)","10025","40.797762","-73.963944","7","7","189","1081301","1018360001","Upper West Side                                                            "
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","I.S 286 M","Manhattan","Make the Road New York Staten Island","(347) 417-8180","Middle School","509 129 Street
,  10027
(40.815206697159, -73.955146464979)",,,,,,,,,
"After-School Programs","Out of School Time","P.S./I.S. 278","Manhattan","Inwood Community Services, Inc.","(212) 942-3440","Elementary","421 219TH ST
,  10034
(40.871198770755, -73.9120345502)",,,,,,,,,
"After-School Programs","Out of School Time","C.I.S. 22 JORDAN L. MOTT SCHOOL","Bronx","Learning Thru An Expanded Arts Program, Inc.","(646) 280-8939","Middle School","270 167th Street
,  10456
(40.833227654258, -73.914085372255)",,,,,,,,,
"After-School Programs","Out of School Time","P.S. 197 OCEAN SCHOOL","Queens","YMCA of Greater New York/Cross Island","(917) 704-1239","Elementary","8 25 HICKSVILLE ROAD
,  11691
(40.600614338481, -73.762567774683)","11691","40.600199","-73.743968","14","31","101002","4298856","4155970001","Far Rockaway-Bayswater                                                     "
"After-School Programs","Out of School Time","P.S. 19 MARINO P. JEANTET SCHOOL","Queens","New York Junior Tennis League","(917) 526-9857","Elementary","98 02 Roosevelt Avenue
,  11368
(40.749678220374, -73.853040688577)","11368","40.749381","-73.867354","4","21","409","4437176","4016070001","North Corona                                                               "
"Jobs & Internships,Youth Employment","Summer Youth Employment ","El Barrio's Operation Fightback, Inc.","Manhattan","El Barrio's Operation Fightback, Inc.","212-410-7900","14 to 24","320 Pleasant Avenue
,  10035
(40.795839827532, -73.932604992632)","10035","40.795824","-73.932581","11","8","178","1053170","1017160001","East Harlem North                                                          "
"After-School Programs","Out of School Time","P.S. 197 P.S. 197","Brooklyn","Midwood Development Corporation","(718) 859-3011","Elementary","1599 22nd Street
,  11210
(40.612614107926, -73.951879170528)",,,,,,,,,
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Morrisania Air Rights Housing Development","Bronx","MIDDLE SCHOOL 322 (M322)","(718) 542-0006","Seniors","3135 Park Avenue
,  10451
(40.824128769301, -73.917227588223)","10451","40.82415","-73.917164","4","16","173","2100990","2024209078","East Concourse-Concourse Village                                           "
"Family Support,NDA Programs"," Housing","Office of Senator Kruger","Brooklyn","Erasmus H.S. of Service Learning","(718) 743-0575","Adults","2201 Avenue
U,  11229
(40.601233507321, -73.944368541175)","11229","40.599623","-73.949312","15","48","576","3198446","3073270049","Madison                                                                    "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 250","Brooklyn","New York Junior Tennis League","(718) 782-2390","OST","108 Montrose Avenue
,  11206
(40.707092624367, -73.94538480081)","11206","40.707104","-73.945475","1","34","505","3071199","3030600001","East Williamsburg                                                          "
"After-School Programs","Out of School Time","I.S. 291 ROLAND HAYES SCHOOL","Brooklyn","Coalition for Hispanic Family Services","(718) 497-6090","Elementary","231 Palmetto Street
,  11221
(40.695256718115, -73.915270958478)",,,,,,,,,
"After-School Programs","Beacon","IS 271","Brooklyn","Church Avenue Merchants Block Association Inc. ","718.345.5904","6 and up","1137 Herkimer Street
,  11233
(40.677823649732, -73.915831667237)",,,,,,,,,
"After-School Programs,Summer Program,Summer Camp","Out of School Time","M.S. 584 M.S. 584 - UPPER ACAD","Brooklyn","Community Counseling and Mediation","(718) 230-5100","OST","130 Rochester Avenue
,  11213
(40.674735045348, -73.927809389451)","11213","40.674656","-73.927794","8","36","307","3035887","3013550023","Crown Heights North                                                        "
"After-School Programs","Out of School Time","P.S./I.S. 194 P.S./I.S. 194","Bronx","YMCA of Greater New York/Bronx","(347) 934-8146","Elementary","1301 Zerega Avenue
,  10462
(40.83495055064, -73.845474377956)","10462","40.835041","-73.845464","10","18","96","2103494","2038340070","Westchester-Unionport                                                      "
"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","John F. Kennedy High School - H.S. 475","Bronx","Henkels & McCoy, Inc.","800.622.5577","High School","99 Terrace View Avenue
,  10463
(40.877210772674, -73.91213621129)","10463","40.877105","-73.912256","8","10","309","1064532","1022150080","Marble Hill-Inwood                                                         "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","PS 225 - Eileen E Zaglin School","Brooklyn","Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.","(718) 891-0264","16+","1075 Oceanview Avenue
,  11235
(40.579791094425, -73.956433505479)","11235","40.579737","-73.956329","13","48","61004","3245498","3087120056","Brighton Beach                                                             "
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A CO","Brooklyn","High School for Dual Language and Asian Studies","(718) 951-5015"," High School","911 FLATBUSH AVENUE
,  11226
(40.649532936565, -73.958457559936)","11226","40.649787","-73.95855","14","40","794","3336215","3051030010","Erasmus                                                                    "
"After-School Programs","Out of School Time","P.S. 31 WILLIAM T. DAVIS SCHOOL","Staten Island","Jewish Community Center of Staten Island, Inc.","(718) 273-4820","Elementary","55 LAYTON AVENUE
,  10301
(40.641582326676, -74.085356500747)","10301","40.641595","-74.085135","1","49","9","5001150","5000490182","West New Brighton-New Brighton-St. George                                  "
"NDA Programs,Immigration Services,Immigrant Support Services"," Immigrant","U.C.C. Immigration Program","Brooklyn","Highbridge Community Life Center Adult Education and Training","(718) 649-7979","Adults","613 New Lots Avenue
,  11207
(40.664726498258, -73.88659110359)","11207","40.664728","-73.886561","5","42","1124","3090717","3040890025","East New York                                                              "
"After-School Programs","Beacon","PS 149 ","Queens","Goodwill Industries of Greater NY","718.426.0888","6 and up","93 11 34th Avenue
,  11372
(40.751630739367, -73.883612545283)","11372","40.754837","-73.874605","3","25","273","4035441","4014410015","Jackson Heights                                                            "
"After-School Programs","Out of School Time","Sunset Park Rec","Brooklyn","Council of Neighborhood Organizations, Inc.","(347) 451-7809","MS/HS","41Street
,  11220
(40.641184928741, -74.016764726711)",,,,,,,,,
"After-School Programs","Out of School Time","Washington House (High School)","Manhattan","Union Settlement Association","(212) 828-6120","High School","1775 Third Avenue
,  10029
(40.787046638823, -73.947929348156)","10029","40.786574","-73.948303","11","8","15602","1079203","1016470001","East Harlem South                                                          "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","Cornerstone Academy for Social","Bronx","Sports and Arts In Schools Foundation, Inc.","(347) 417-8159","OST","3441 Steenwick Avenue
,  10475
(40.882605669331, -73.8300671267)","10475","40.883025","-73.830366","12","12","46202","2124548","2052630192","Co-op City                                                                 "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","Amico Court Street Children","Brooklyn","American Italian Coalition of Organizations, Inc.","(718) 855-1778","Elementary","292 Court Street
,  11231
(40.684160053177, -73.99507008899)","11231","40.684137","-73.995053","6","39","67","3004040","3003260058","Carroll Gardens-Columbia Street-Red Hook                                   "
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","Our Lady of Sorrows School","Queens","Make the Road New York","(718) 651-8427","Middle School","35 34 105th Street
,  11368
(40.749678220374, -73.853040688577)","11368","40.754876","-73.863206","3","21","379","4437218","4017460027","North Corona                                                               "
"After-School Programs","Out of School Time","P.S. 199 MAURICE FITZGERALD SC","Queens","Sunnyside Community Service, Inc.","(917) 843-7953","Elementary","39 20 48 AVENUE
,  11104
(40.744893366636, -73.920541345307)","11104","40.740088","-73.926214","2","26","189","4002915","4002060003","Hunters Point-Sunnyside-West Maspeth                                       "
"After-School Programs","Out of School Time","Kips Bay 2","Bronx","Kips Bay Boys & Girls Club","(718) 824-9090","Elem/MS/HS","550 Balcom Avenue
,  10465
(40.821073448268, -73.825963722127)","10465","40.820911","-73.825943","10","13","144","2091470","2055640001","Schuylerville-Throgs Neck-Edgewater Park                                   "
"After-School Programs","Out of School Time","I.S. 174 EUGENE T. MALESKA SCHOOL","Bronx","YMCA of Greater New York/Bronx","(718) 822-5341","Middle School","456 White Plains Road
,  10473
(40.814765066384, -73.856537106421)","10473","40.814833","-73.85658","9","18","4","2020580","2034780018","Soundview-Castle Hill-Clason Point-Harding Park                            "
"Jobs & Internships,Youth Employment","Summer Youth Employment ","PAL-New South Bx. Center","Bronx","Police Athletic League, Inc. - Bronx ","718-389-5306","14 to 24","991 Longwood Ave
,  10459
(40.817260540417, -73.897738395898)","10459","40.817185","-73.897667","2","17","87","2100984","2027090001","Longwood                                                                   "
"After-School Programs","Out of School Time","Edward R. Murrow HS","Brooklyn","Midwood Development Corporation","(718) 859-3011","High School","1600 Avenue
L,  11230
(40.621929510239, -73.965511060187)","11230","40.620525","-73.959285","14","44","768","3180673","3067340109","Midwood                                                                    "
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","August Martin High School","Queens","Brooklyn Housing & Family Services, Inc.","(718) 523-6868"," High School","156 10 Baisley Boulevard
,  11434
(40.676945262114, -73.775306901692)","11434","40.675633","-73.783342","12","28","294","4265978","4122610001","Springfield Gardens North                                                  "
"Family Support,NDA Programs","Healthy Families","West Farm Technology and Career Center","Bronx","PAUL ROBESON HIGH SCHOOL (K625)","(646) 388-8280",,"1071 Tremont Avenue
,  10460
(40.840122458145, -73.878497599082)",,,,,,,,,
"After-School Programs,Beacon,NYCHA Community Center","Beacon Satellite","NYCHA SOUNDVIEW HOUSES","Bronx","Directions for our Youth @Soundview Community Center","(718) 378-6246","6 and up","1680 Seward Avenue
,  10473
(40.818345770841, -73.869003154917)","10473","40.818369","-73.86895","9","18","20","2092647","2035510001","Soundview-Castle Hill-Clason Point-Harding Park                            "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","I.S. 126 ALBERT SHANKER SCHOOL","Queens","Jacob A. Riis Neighborhood Settlement, Inc.","(718) 626-1651","OST","31 51 21st Street
,  11106
(40.761699790013, -73.931663252957)","11106","40.766264","-73.930709","1","22","77","4006382","4005530001","Astoria                                                                    "
"After-School Programs","Out of School Time","J.H.S. 217 ROBERT VAN WYCK SCHOOL","Queens","Queens Community House, Inc","(718) 262-9234","Middle School","85 05 144th Street
,  11435
(40.701192649122, -73.809796655791)","11435","40.710024","-73.812508","8","24","232","4208124","4097240173","Briarwood-Jamaica Hills                                                    "
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Sunset Park Center","Brooklyn","THEATRE ARTS PRODUCTION COMPANY SCHOOL (X225)","(718) 630-7171","Seniors","4520 4th Avenue
,  11220
(40.649209874864, -74.009875848067)","11220","40.649111","-74.009845","7","38","80","3324373","3007460039","Sunset Park West                                                           "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","C.E.S. 42 CLAREMONT SCHOOL","Bronx","Supportive Childrens Advocacy Network (SCAN)","(718) 583-7366","OST","1537 Washington Avenue
,  10457
(40.838299532463, -73.903023331464)","10457","40.838288","-73.902987","3","16","169","2009466","2029030023","Claremont-Bathgate                                                         "
"After-School Programs","Beacon","Marta Valley HS","Manhattan","Grand Street Settlement, Inc. ","212.505.6338 ext.21","6 and up","145 Stanton Street
,  10022
(40.758630224006, -73.96809182218)","10002","40.720581","-73.985645","3","1","3001","1004323","1003540080","Chinatown                                                                  "
"After-School Programs","Teen Action Program","Be'er Hagolah Institutes","Brooklyn","Be'er Hagolah Institutes","718.642.6800 ext.101","13 to 21","671 Louisiana Avenue
,  11239
(40.645630097382, -73.883621856383)","11239","40.645638","-73.883643","5","42","105804","3339160","3044520080","Starrett City                                                              "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 106 P.S. 106","Queens","Action Center for Education and Community Development, Inc","(718) 337-5040","Elementary","180 BEACH 35 STREET
,  11691
(40.593695597768, -73.767153465854)",,,,,,,,,
"After-School Programs","Beacon","MS 158","Queens","Samuel Field YM - YWHA, Inc. ","718.423.2266","6 and up","46 35 Oceania Street
,  11361
(40.764188848137, -73.7723255286)","11361","40.756139","-73.772862","11","19","1447","4438325","4073120001","Bayside-Bayside Hills                                                      "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","Boys & Girls Harbor","Manhattan","Boys & Girls Harbor, Inc","(212) 427-2244","Elementary","1 104th Street
,  10029
(40.792983387231, -73.952000317419)",,,,,,,,,
"After-School Programs","Teen Action Program","MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL (X473)","Bronx","East Side House, Inc.","718.665.5250 ext.111","13 to 21","701 Saint Anns Avenue
,  10455
(40.818360513934, -73.911009090951)","10455","40.81825","-73.91103","1","17","71","2001153","2023590240","Melrose South-Mott Haven North                                             "
"Jobs & Internships,Youth Employment","Summer Youth Employment ","Chinatown Manpower Project, Inc.","Manhattan","Chinatown Manpower Project, Inc.","212-571-1690","14 to 24","70 Mulberry Street
flr,  10013
(40.716141909295, -73.999172809241)","10013","40.716092","-73.999203","3","1","29","1066494","1002000001","Chinatown                                                                  "
"Runaway & Homeless Youth","Crisis Shelter","Covenant House New York / Under 21","Manhattan","Covenant House New York","212.613.0300 ext. 0532",,"427 52nd Street
,  10019
(40.765275890612, -73.989246802283)",,,,,,,,,
"Immigration Services,Immigrant Support Services","Legal Assistance Program","Chinese Consolidated Benevolent Asociation of New York","Manhattan","Northern Manhattan   Improvement Corporation","212-822-8319","All Ages","62 Mott St
,  10013
(40.716076334714, -73.998158665829)","10013","40.716051","-73.998222","3","1","29","1002403","1002010004","Chinatown                                                                  "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 260 BREUCKELEN SCHOOL","Brooklyn","Groundwork Inc.","(718) 346-2200","OST","875 Williams Avenue
,  11207
(40.654016736913, -73.894829659974)","11207","40.654031","-73.894854","18","42","982","3229155","3081580035","Canarsie                                                                   "
"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","Children's Arts & Science Workshops, Inc.","New York","Children's Arts & Science Workshops, Inc.","212.923.7766","High School","686 204th Street
,  10034
(40.867820783176, -73.92367507748)",,,,,,,,,
"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 186 CASTLEWOOD SCHOOL","Queens","Samuel Field YM & YWHA, Inc.","(718) 225-6750","OST","252 12 72 AVENUE
,  11426
(40.737041384952, -73.724156998946)","11426","40.750007","-73.721607","13","23","155102","4173640","4084010375","Glen Oaks-Floral Park-New Hyde Park                                        "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","East Bronx NAACP","Bronx","Tremont Crotona Day Care Center, Inc","(718) 617-2900","OST","1113 Colgate Avenue
,  10472
(40.826046739969, -73.881479645755)","10472","40.82629","-73.881509","9","17","52","2023714","2037360001","Soundview-Bruckner                                                         "
"After-School Programs","Out of School Time","I.S. 125 WOODSIDE SCHOOL","Queens","Sports and Arts In Schools Foundation, Inc.","(917) 922-5290","Middle School","46 02 47th Avenue
,  11377
(40.745193764481, -73.90484714408)","11377","40.741131","-73.918945","2","26","235","4052874","4022840006","Hunters Point-Sunnyside-West Maspeth                                       "
"After-School Programs","Out of School Time","P.S. 22 GRANITEVILLE SCHOOL","Staten Island","YMCA of Greater New York/Staten Island YMCA","(718) 556-0521","Elementary","1860 Forest Avenue
,  10303
(40.625303636339, -74.151094459154)","10303","40.625369","-74.15097","1","49","30302","5107239","5017060001","Mariner's Harbor-Arlington-Port Ivory-Graniteville                         "
"After-School Programs","Out of School Time","Dreamyard A.C.T.I.O.N.","Bronx","Dream Yard Project, Inc.","(718) 588-8007","High School","940 Garrison Avenue
,  10474
(40.818136215724, -73.890954467788)","10474","40.818219","-73.890899","2","17","93","2005984","2027400075","Hunts Point                                                                "
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","IS 252 ARTHUR S SOMMERS (K252)","Brooklyn","Neighborhood SHOPP Casa Boricua Senior Center","(347) 417-8120","Middle School","1084 LENOX ROAD
,  11212
(40.658327698451, -73.92001930874)","11212","40.658295","-73.920109","17","41","886","3101840","3046690037","Rugby-Remsen Village                                                       "
"After-School Programs","Teen Action Program","COMMUNITY SCHOOL FOR SOCIAL JUSTICE (X427)","Bronx","Citizens Advice Bureau, Inc.","718.293.0727 ext.204","13 to 21","350 Gerard Avenue
,  10451
(40.815929079791, -73.930388700335)","10451","40.815938","-73.930386","1","8","63","2001027","2023440096","West Concourse                                                             "
"After-School Programs","Out of School Time","I.S. 218 JAMES PETER SINNOTT M","Brooklyn","Police Athletic League, Inc.","(718) 277-1928","Elementary","370 FOUNTAIN AVENUE
,  11208
(40.670701990177, -73.874229268411)","11208","40.670724","-73.874208","5","42","1118","3095977","3042780001","East New York                                                              "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 96 RICHARD RODGERS SCHOOL","Bronx","Neighborhood Initiatives Development Corporation","(718) 231-9800","OST","650 Waring Avenue
,  10467
(40.861354474901, -73.869409475756)","10467","40.861371","-73.869296","11","15","33201","2049999","2043410013","Bronxdale                                                                  "
"After-School Programs","Out of School Time","P.S. 89 P.S. 89","Manhattan","Manhattan Youth Recreation & Resources Center","(212) 766-1104","Middle School","201 Warren Street
,  10282
(40.716492485594, -74.013270978409)","10282","40.716668","-74.013542","1","1","31703","1085568","1000160220","Battery Park City-Lower Manhattan                                          "
"After-School Programs","Out of School Time","P.S. 48 MAPLETON SCHOOL","Brooklyn","Federation of Italian-American Organizations of Brooklyn","(718) 236-3187","Elementary","6015 18th Avenue
,  11204
(40.621906421432, -73.987331414887)","11204","40.621871","-73.987396","12","44","244","3132140","3055190001","Borough Park                                                               "
"After-School Programs","Out of School Time","P.S. 40 GEORGE WASHINGTON","Brooklyn","Sports and Arts In Schools Foundation, Inc.","(718) 455-9445","Elementary","265 Ralph Avenue
,  11233
(40.680474673181, -73.922213723075)","11233","40.680463","-73.922264","3","41","379","3041214","3015180001","Stuyvesant Heights                                                         "
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","Far Rockaway High School","Queens","CAMBA Adult Literacy Center","(718) 523-6868"," High School","821 Beach 25 Street
,  11691
(40.601499504033, -73.762679723954)",,,,,,,,,
"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 146 EDWARD","Bronx","New York Junior Tennis League","(718) 842-2685","OST","968 CAULDWELL AVENUE
,  10456
(40.824846427373, -73.906202289442)","10456","40.825025","-73.906143","3","16","185","2004498","2026320027","Morrisania-Melrose                                                         "
"After-School Programs","Teen Action Program","Grand Street Settlement Beacon Center","New York","Grand Street Settlement, Inc.","212.674.1740","13 to 21","145 Stanton Street
,  10002
(40.72059519128, -73.985750724901)","10002","40.720581","-73.985645","3","1","3001","1004323","1003540080","Chinatown                                                                  "
"After-School Programs","Out of School Time","I.S. 117 FRANCIS SCOTT KEY SCHOOL","Brooklyn","Sports and Arts In Schools Foundation, Inc.","(718) 230-5400","Middle School","300 Willoughby Avenue
,  11205
(40.692610818713, -73.958946539111)","11205","40.692642","-73.958794","3","33","235","3055165","3019260010","Clinton Hill                                                               "
"After-School Programs","Out of School Time","Tottenville HS","Staten Island","Jewish Community Center of Staten Island, Inc.","(718) 605-3033","High School","100 Luten Avenue
,  10312
(40.528261987233, -74.192176976724)","10312","40.528092","-74.192032","3","51","198","5082634","5066130001","Annadale-Huguenot-Prince's Bay-Eltingville                                 "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 115 THE DANIEL MUCATEL SC","Brooklyn","Bergen Basin Community Development Corp.","(917) 968-0193","Elementary","1500 92 STREET
,  11236
(40.634777463078, -73.896976829683)",,,,,,,,,
"Jobs & Internships,Youth Employment","Summer Youth Employment ","Phipps Community Education Center","Bronx","Phipps Community Development","718-542-0109","14 to 24","1030 178thStreet
,  10460
(40.841345048101, -73.880303879158)",,,,,,,,,
"After-School Programs","Out of School Time","P.S. 24 ANDREW JACKSON SCHOOL","Queens","The Child Center of New York (QCG) ","(718) 445-8176","Elementary","141 11 Holly Avenue
,  11355
(40.751299796948, -73.821478547897)","11355","40.75146","-73.817849","7","20","1205","4117403","4052010021","East Flushing                                                              "
"Immigration Services,Immigrant Support Services,NDA Programs,NDA Immigrants","NDA Immigrants","Make the Road New York","Staten Island","Make the Road New York","718-727-1222 718 418-7690 X 205 ","Adult","479 Port Richmond Avenue
,  10302
(40.630934529097, -74.139014649681)","10302","40.630818","-74.139187","1","49","213","5024824","5010490005","Port Richmond                                                              "
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","The Children's Art Carnival","New York","Brooklyn Housing & Family Services, Inc.","(212) 234-4093"," High School","62 Hamilton Terrace
,  10031
(40.823323108747, -73.946094823072)","10031","40.823075","-73.946309","9","7","227","1060961","1020500064","Hamilton Heights                                                           "
"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","Chinese American Planning Council/Manhattan","New York","Chinese American Planning Council","212.941.0920","High School","100 Hester Street
,  10002
(40.71645702482, -73.992862506346)","10002","40.716553","-73.993092","3","1","16","1082489","1003010003","Chinatown                                                                  "
"After-School Programs","Beacon","MS 113","Bronx","Mosholu Montefiore Community Center","718.654.5881","6 and up","3710 Barnes Avenue
,  10467
(40.880866390448, -73.860884607064)","10467","40.880873","-73.860904","12","12","390","2058396","2046750020","Williamsbridge-Olinville                                                   "
"After-School Programs","Out of School Time","Fannie Lou","Bronx","The Childrens Aid Society","(718) 861-7893","High School","1021 Jennings Street
,  10460
(40.83092140207, -73.886333383789)",,,,,,,,,
"Family Support,NDA Programs"," Housing","Northern Manhattan Improvement Corporation","New York","F.E.G.S Brooklyn Resource Center","(212) 822-8300","Adults","76 Wadsworth Avenue
,  10033
(40.847051676059, -73.937044724943)","10033","40.847012","-73.93704","12","10","263","1063574","1021450051","Washington Heights South                                                   "
