"manhattan_cooperatives_comparable_properties_boro_block_lot","manhattan_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","manhattan_cooperatives_comparable_properties_neighborhood","manhattan_cooperatives_comparable_properties_building_classification","manhattan_cooperatives_comparable_properties_total_units","manhattan_cooperatives_comparable_properties_year_built","manhattan_cooperatives_comparable_properties_gross_sqft","manhattan_cooperatives_comparable_properties_estimated_gross_income","manhattan_cooperatives_comparable_properties_gross_income_per_sqft","manhattan_cooperatives_comparable_properties_estimated_expense","manhattan_cooperatives_comparable_properties_expense_per_sqft","manhattan_cooperatives_comparable_properties_net_operating_income","manhattan_cooperatives_comparable_properties_full_market_value","manhattan_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_estimated_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_estimated_expense","comparable_rental_1_expense_per_sqft","comparable_rental_1_net_operating_income","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_distance_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_estimated_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_estimated_expense","comparable_rental_2_expense_per_sqft","comparable_rental_2_net_operating_income","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_distance_from_coop_in_miles","comparable_rental_3_boro_block_lot","comparable_rental_3_address","comparable_rental_3_neighborhood","comparable_rental_3_building_classification","comparable_rental_3_total_units","comparable_rental_3_year_built","comparable_rental_3_gross_sqft","comparable_rental_3_estimated_gross_income","comparable_rental_3_gross_income_per_sqft","comparable_rental_3_estimated_expense","comparable_rental_3_expense_per_sqft","comparable_rental_3_net_operating_income","comparable_rental_3_full_market_value","comparable_rental_3_market_value_per_sqft","comparable_rental_3_distance_from_coop_in_miles"
"1-00498-0005","565 BROADWAY
New York, NY 
(40.724118895695, -73.997859799078)","1","10012","40.724013","-73.997987","2","1","49","1007573","1004980005","SoHo-TriBeCa-Civic Center-Little Italy                                     ","SOHO","D0-ELEVATOR","12","1900","51180","1900313","37.13","417629","8.16","1482684","10910000","213.17","1-00501-0006","423 BROADWAY
New York, NY 
(40.719685238091, -74.001636951601)","SOHO","D7-ELEVATOR","28","1910","20670","969368","46.9","221865","10.73","747503","5617000","271.75","0.14","1-00506-0016","30 CHARLTON STREET
New York, NY 
(40.727057891887, -74.004897077844)","SOHO","D1-ELEVATOR","86","1920","44256","1643414","37.13","361155","8.16","1282259","9435000","213.19","0.36","1-00470-0005","160 MOTT STREET","LITTLE ITALY","D1-ELEVATOR","36","1910","11,967","420,894","35.17","121,774","10.18","299,120","2,212,000","184.84","0.33"
"1-01169-0037","210 78 STREET
New York, NY 
(40.629822532891, -74.031029974847)","1",,,,,,,,,,"UPPER WEST SIDE (59-79)","D4-ELEVATOR","38","1926","56147","1726520","30.75","581121","10.35","1145399","8561000","152.47","1-01169-0042","226 78 STREET
New York, NY 
(40.6297270061, -74.030616821475)","UPPER WEST SIDE (59-79)","D1-ELEVATOR","42","1925","27100","780225","28.79","269477","9.94","510748","3835000","141.51","0","1-01210-0012","147 79 STREET
New York, NY 
(40.629612150649, -74.033321842043)","UPPER WEST SIDE (79-96)","D3-ELEVATOR","61","1926","76193","2491263","32.7","820130","10.76","1671133","12431000","163.15","0.17",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01428-0009","215 73 STREET
New York, NY 
(40.633397078729, -74.029479595807)","1",,,,,,,,,,"UPPER EAST SIDE (59-79)","D4-ELEVATOR","73","1930","74726","2533959","33.91","748755","10.02","1785204","13247000","177.27","1-01409-0042","192 75 STREET
New York, NY 
(40.632130015803, -74.030723663133)","UPPER EAST SIDE (59-79)","D6-ELEVATOR","43","1927","40249","1408542","35","315371","7.84","1093171","8088000","200.95","0.13","1-01409-0021","1033 LEXINGTON AVENUE
New York, NY 
(40.771908868332, -73.961122494181)","UPPER EAST SIDE (59-79)","D6-ELEVATOR","35","1923","71189","2336130","32.82","868302","12.2","1467828","10916000","153.34","0.13",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01624-0044","154 97 STREET
New York, NY 
(40.615811797327, -74.03585441417)","1",,,,,,,,,,"HARLEM-EAST","C6-WALK-UP","17","1930","8640","237600","27.5","90634","10.49","146966","703000","81.37","1-01624-0066","108 97 STREET
New York, NY 
(40.615624731467, -74.036375860256)","HARLEM-EAST","C1-WALK-UP","15","1910","9560","289177","30.25","88350","9.24","200827","1504000","157.32","0.09","1-01627-0024","155 99 STREET
New York, NY 
(40.614468583396, -74.035358830454)","HARLEM-EAST","C1-WALK-UP","20","1910","8925","245429","27.5","93647","10.49","151782","1094000","122.58","0.15","1-01627-0026","159 EAST 99 STREET","HARLEM-EAST","C1-WALK-UP","20","1910","8,925","250,807","28.1","93,578","10.48","157,229","1,132,000","126.83","0.15"
"1-01046-0013","339 55 STREET
New York, NY 
(40.644379651077, -74.016613248862)","1",,,,,,,,,,"MIDTOWN WEST","D4-ELEVATOR","72","1925","58662","1782152","30.38","644109","10.98","1138043","8512000","145.1","1-01046-0009","347 55 STREET
New York, NY 
(40.644297438436, -74.016474634526)","MIDTOWN WEST","D3-ELEVATOR","96","1911","53952","1656546","30.7","645794","11.97","1010752","7555000","140.03","0","1-01048-0026","307 57 STREET
New York, NY 
(40.643592681736, -74.018329671011)","MIDTOWN WEST","D6-ELEVATOR","125","1928","75617","2272731","30.06","755320","9.99","1517411","11365000","150.3","0.11",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01055-0049","428 46 STREET
New York, NY 
(40.648252294823, -74.009544204447)","1",,,,,,,,,,"CLINTON","C6-WALK-UP","20","1910","8175","235849","28.85","69978","8.56","165871","1245000","152.29","1-01055-0026","411 45 STREET
New York, NY 
(40.64908623177, -74.009303924148)","CLINTON","C1-WALK-UP","16","1910","9566","348039","36.38","88336","9.23","259703","1914000","200.08","0","1-01055-0031","649 9 AVENUE
New York, NY 
(40.760622376864, -73.991033944876)","CLINTON","C4-WALK-UP","22","1910","12705","387923","30.53","93523","7.36","294400","2201000","173.24","0",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01179-0019","139 END AVENUE
New York, NY 
(40.563383503186, -74.17867632003)","1",,,,,,,,,,"UPPER WEST SIDE (59-79)","D4-ELEVATOR","421","1962","426476","12730309","29.85","4243436","9.95","8486873","63591000","149.11","1-01079-9029","737 10 AVENUE
New York, NY 
(40.765011068367, -73.991555551653)","CLINTON","D7-ELEVATOR","394","1975","419217","12279591","29.29","4161112","9.93","8118479","60899000","145.27","0.89","1-01024-0001","870 8 AVENUE
New York, NY 
(40.763895909051, -73.984945534737)","MIDTOWN WEST","D6-ELEVATOR","387","1965","380441","11566789","30.4","3684094","9.68","7882695","58954000","154.96","0.99",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00531-0001","684 BROADWAY
New York, NY 
(40.727914034659, -73.994640226213)","1","10012","40.727905","-73.994667","2","1","5502","1008506","1005310001","West Village                                                               ","GREENWICH VILLAGE-CENTRAL","D0-ELEVATOR","24","1905","59248","2128781","35.93","676612","11.42","1452169","10716000","180.87","1-00532-0030","81 BLEECKER STREET
New York, NY 
(40.726825855003, -73.996465849933)","GREENWICH VILLAGE-CENTRAL","D5-ELEVATOR","43","1900","26382","1319175","50","370847","14.06","948328","7106000","269.35","0.08","1-00522-0014","640 BROADWAY
New York, NY 
(40.726439146531, -73.995881290614)","GREENWICH VILLAGE-CENTRAL","D5-ELEVATOR","31","1900","46080","1007446","21.86","404204","8.77","603242","4419000","95.9","0.16",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01186-0001","329 77 STREET
New York, NY 
(40.629850055157, -74.02755464798)","1",,,,,,,,,,"UPPER WEST SIDE (59-79)","D4-ELEVATOR","97","1930","209780","6167532","29.4","2229961","10.63","3937571","29530000","140.77","1-01167-0011","2139 BROADWAY
New York, NY 
(40.781495641164, -73.981276300858)","UPPER WEST SIDE (59-79)","D6-ELEVATOR","224","1901","224803","9487411","42.2","2864467","12.74","6622944","49977000","222.31","0.14","1-01168-0010","2161 BROADWAY
New York, NY 
(40.782089193704, -73.981069456791)","UPPER WEST SIDE (59-79)","D6-ELEVATOR","83","1925","170801","5187226","30.37","1971044","11.54","3216182","24055000","140.84","0.11","1-01244-0072","441 WEST END AVENUE","UPPER WEST SIDE (79-96)","D5-ELEVATOR","103","1926","240,040","5,652,942","23.55","2,542,024","10.59","3,110,918","22,686,000","94.51","0.21"
"1-02108-0035","474 158 STREET
New York, NY 
(40.832984506671, -73.940471165464)","1",,,,,,,,,,"WASHINGTON HEIGHTS LOWER","C6-WALK-UP","72","1910","34230","495650","14.48","221126","6.46","274524","1899000","55.48","1-02108-0065","945 ST NICHOLAS AVENUE
New York, NY 
(40.832819949377, -73.940752850218)","WASHINGTON HEIGHTS LOWER","C7-WALK-UP","32","1915","20610","301088","14.61","133607","6.48","167481","1074000","52.11","0.06","1-02109-0005","2011 AMSTERDAM AVENUE
New York, NY 
(40.834483695131, -73.940851775641)","WASHINGTON HEIGHTS LOWER","C7-WALK-UP","44","1930","24368","349437","14.34","188608","7.74","160829","1099000","45.1","0.12",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00892-0080","104 37 STREET
New York, NY 
(40.596717081926, -73.990862518389)","1",,,,,,,,,,"MURRAY HILL","D4-ELEVATOR","29","1938","14912","525946","35.27","173128","11.61","352818","2609000","174.96","1-00892-0037","163 36 STREET
New York, NY 
(40.656249124813, -74.007560795894)","MURRAY HILL","D9-ELEVATOR","23","1910","14577","732932","50.28","234544","16.09","498388","3734000","256.16","0.09","1-00893-0066","305 LEXINGTON AVENUE
New York, NY 
(40.748670387095, -73.978047734773)","MURRAY HILL","D3-ELEVATOR","50","1925","42231","1157993","27.42","447162","10.59","710831","5126000","121.38","0.1","1-00888-0055","142 EAST 33 STREET","MURRAY HILL","D1-ELEVATOR","49","1927","26,280","927,000","35.27","305,183","11.61","621,817","4,598,000","174.96","0.22"
"1-00485-0022","91 MERCER STREET
New York, NY 
(40.723129641463, -73.999838307543)","1","10012","40.723132","-73.99987","2","1","49","1007267","1004850022","SoHo-TriBeCa-Civic Center-Little Italy                                     ","SOHO","D0-ELEVATOR","11","1900","27500","786500","28.6","267575","9.73","518925","3898000","141.75","1-00504-0031","112 SULLIVAN STREET
New York, NY 
(40.725890560093, -74.00282405668)","SOHO","D1-ELEVATOR","60","1920","38880","1149094","29.55","356644","9.17","792450","5941000","152.8","0.25","1-00304-0035","75 CHRYSTIE STREET
New York, NY 
(40.717113177087, -73.994370429605)","CHINATOWN","C7-WALK-UP","45","1910","26964","745551","27.65","277544","10.29","468007","3373000","125.09","0.47",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-02180-0522","225 BENNETT AVENUE
New York, NY 
(40.857848081452, -73.933126599409)","1","10040","40.857651","-73.93322","12","10","279","1064468","1021800522","Washington Heights North                                                   ","WASHINGTON HEIGHTS UPPER","D4-ELEVATOR","106","1940","82536","1138997","13.8","436615","5.29","702382","4633000","56.13","1-02180-0530","213 BENNETT AVENUE
New York, NY 
(40.857434393319, -73.933342436696)","WASHINGTON HEIGHTS UPPER","D1-ELEVATOR","72","1930","63144","885542","14.02","427945","6.78","457597","3010000","47.67","0","1-02180-0507","4455 BROADWAY
New York, NY 
(40.857155603489, -73.932416135006)","WASHINGTON HEIGHTS UPPER","D6-ELEVATOR","85","1920","63103","795944","12.61","408289","6.47","387655","2596000","41.14","0","1-02180-0610","700 FT WASHINGTON AVENUE","WASHINGTON HEIGHTS UPPER","D1-ELEVATOR","74","1949","83,402","1,150,609","13.8","441,391","5.29","709,218","4,678,000","56.09","0.11"
"1-00848-0012","889 BROADWAY
New York, NY 
(40.738678919349, -73.989882812678)","1","10003","40.738593","-73.989932","5","2","52","1016161","1008480012","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","FLATIRON","D0-ELEVATOR","19","1920","38983","1265388","32.46","291593","7.48","973795","7247000","185.9","1-00819-0020","31 17 STREET
New York, NY 
(40.607062036743, -74.00403290793)","FLATIRON","D7-ELEVATOR","14","2005","27600","1050343","38.06","249180","9.03","801163","6064000","219.71","0.16","1-00844-0019","33 UNION SQUARE
New York, NY 
(40.736736383766, -73.990629249963)","FLATIRON","D6-ELEVATOR","19","1900","43841","2790918","63.66","809743","18.47","1981175","14669000","334.6","0.13","1-00846-0041","220 PARK AVENUE SOUTH","FLATIRON","D5-ELEVATOR","36","1900","33,638","1,410,829","41.94","586,952","17.45","823,877","6,218,000","184.85","0.14"
"1-00583-0029","59 BEDFORD STREET
New York, NY 
(40.730979305835, -74.00464196096)","1","10014","40.730919","-74.004586","2","3","67","1009799","1005830029","West Village                                                               ","GREENWICH VILLAGE-WEST","D0-ELEVATOR","25","1920","47846","1531072","32","455972","9.53","1075100","8015000","167.52","1-00506-0016","30 CHARLTON STREET
New York, NY 
(40.727057891887, -74.004897077844)","SOHO","D1-ELEVATOR","86","1920","44256","1643414","37.13","361155","8.16","1282259","9435000","213.19","0.27","1-00543-0048","136 4 STREET
New York, NY 
(40.676702889667, -73.993188867315)","GREENWICH VILLAGE-CENTRAL","D1-ELEVATOR","30","1929","20874","667901","32","198944","9.53","468957","3496000","167.48","0.24","1-00592-0080","125 WEST WASHINGTON PLACE","GREENWICH VILLAGE-WEST","D1-ELEVATOR","30","1926","17,688","518,842","29.33","134,462","7.6","384,380","2,883,000","162.99","0.28"
"1-00497-0007","542 BROADWAY
New York, NY 
(40.723480377054, -73.998399392296)","1","10012","40.723484","-73.998409","2","1","43","1007563","1004977503","SoHo-TriBeCa-Civic Center-Little Italy                                     ","SOHO","D0-ELEVATOR","11","1900","20700","728847","35.21","219627","10.61","509220","3766000","181.93","1-00449-0017","56 ST MARK'S PLACE
New York, NY 
(40.728147858386, -73.986618273712)","EAST VILLAGE","D1-ELEVATOR","24","2005","16454","645820","39.25","219661","13.35","426159","3223000","195.88","0.65","1-00178-0016","217 BROADWAY
New York, NY 
(40.711627312708, -74.008408846482)","CIVIC CENTER","D6-ELEVATOR","8","2005","26981","903594","33.49",,,"903594","11295000","418.63","0.52",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00895-0031","135 39 STREET
New York, NY 
(40.656167079568, -74.011896694704)","1",,,,,,,,,,"MURRAY HILL","D4-ELEVATOR","29","1930","26070","872563","33.47","280774","10.77","591789","4395000","168.58","1-00893-0066","305 LEXINGTON AVENUE
New York, NY 
(40.748670387095, -73.978047734773)","MURRAY HILL","D3-ELEVATOR","50","1925","42231","1157993","27.42","447162","10.59","710831","5126000","121.38","0.09","1-00893-0082","106 38 STREET
New York, NY 
(40.596249574187, -73.990182219467)","MURRAY HILL","D9-ELEVATOR","146","1930","110949","4383887","39.51","1213550","10.94","3170337","23970000","216.05","0.13",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00611-0065","23 GREENWICH AVENUE
New York, NY 
(40.734991699029, -74.000153070253)","1","10014","40.734776","-74.00004","2","3","71","1010852","1006110065","West Village                                                               ","GREENWICH VILLAGE-WEST","D4-ELEVATOR","156","1961","142941","5360288","37.5","1282181","8.97","4078107","29982000","209.75","1-00612-0051","159 7 AVENUE
New York, NY 
(40.828052364282, -73.934486932353)","GREENWICH VILLAGE-WEST","D7-ELEVATOR","26","1940","17826","649062","36.41","194789","10.93","454273","3348000","187.82","0.05","1-00572-0038","20 5 AVENUE
New York, NY 
(40.73289057348, -73.995918519)","GREENWICH VILLAGE-CENTRAL","D9-ELEVATOR","113","1940","132420","5109988","38.59","926559","7","4183429","31652000","239.03","0.2",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01520-0004","1153 PARK AVENUE
New York, NY 
(40.783716966577, -73.954449524724)","1","10128","40.783807","-73.954541","8","4","15801","1048290","1015200004","Upper East Side-Carnegie Hill                                              ","UPPER EAST SIDE (79-96)","D4-ELEVATOR","61","1915","166596","5234446","31.42","1610983","9.67","3623463","27043000","162.33","1-01524-0001","1225 PARK AVENUE
New York, NY 
(40.786055203853, -73.95278577897)","UPPER EAST SIDE (79-96)","D3-ELEVATOR","86","1925","165834","4358929","26.28","1514748","9.13","2844181","20582000","124.11","0.2","1-01516-0013","1290 LEXINGTON AVENUE
New York, NY 
(40.780344508967, -73.95493515862)","UPPER EAST SIDE (79-96)","D6-ELEVATOR","123","1962","151184","4750837","31.42","1462338","9.67","3288499","24543000","162.34","0.2","1-01521-0007","115 EAST 92 STREET","UPPER EAST SIDE (79-96)","D3-ELEVATOR","54","1927","65,692","2,557,031","38.92","964,819","14.69","1,592,212","12,043,000","183.33","0.05"
"1-00798-0026","129 22 STREET
New York, NY 
(40.602911021648, -74.002347025873)","1",,,,,,,,,,"CHELSEA","D0-ELEVATOR","17","1909","45006","1358281","30.18","326744","7.26","1031537","7724000","171.62","1-00720-0045","401 22 STREET
New York, NY 
(40.745879644272, -74.001867037873)","CHELSEA","D6-ELEVATOR","59","1999","58394","2463988","42.2","746441","12.78","1717547","12961000","221.96","0.51","1-00717-0077","460 20 STREET
New York, NY 
(40.657250068195, -73.985179392276)","CHELSEA","D7-ELEVATOR","75","1999","68260","3221669","47.2","718653","10.53","2503016","18806000","275.51","0.53",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
