"fiscal_year","agency","vendor_name","purpose","contract_value"
"2019","DCAS","REV AMBULANCE GROUP ORLANDO INC","TO PROCURE TYPE 1 AMBULANCES FOR THE NYC FIRE DEPARTMENT","162727200.00"
"2019","DEP","SCHIAVONE CONSTRUCTION CO LLC","Catskill Aqueduct Repair and Rehabilitation","158795000.00"
"2019","HRA","FJC SECURITY SERVICES INC","Unarmed Security Guards and Supervisors, Pool 2 (Task Order)","151042200.00"
"2019","DoITT","AT&T CORP","AT&T CITYWIDE TELECOMMUNICATIONS AND WIRELESS SERVICES","145000000.00"
"2019","DoITT","PRESIDIO NETWORKED SOLUTIONS GROUP LLC","TO ADJUST START/END DATE AND ADD AUTHORIZED USER AGENCIES VOIP EQUIPMENT AND SERVICES MSA","120022500.00"
"2019","DDC","RESTANI CONSTRUCTION CORP","Reconstruction of Downtown Far Rockaway","113826900.00"
"2019","DDC","AECOM-HILL JV","Project/Program Manager Services for Design-Build Program for the NYC Borough Based Jail System, Citywide","107348200.00"
"2019","DOT","AMERICAN TRAFFIC SOLUTIONS, INC.","Maintain and Operate Red Light Camera/Bus Lane Camera System","106391100.00"
"2018","DCAS","NEW YORK POWER AUTHORITY","ENERGY EFFICIENCY-CLEAN ENERGY PROG. WITH NYPA AND THE CITY FY'18 HEAT, LIGHT & POWER","6684100000.00"
"2018","SBS","NEW YORK CITY ECONOMIC DEVELOPMENT CORPORATION","Citywide Economic Development Services - NYCEDC","1874851000.00"
"2018","SBS","NEW YORK CITY ECONOMIC DEVELOPMENT CORPORATION","MARITIME, AVIATION, RAIL FREIGHT, MARKET & INTERMODAL","500759000.00"
"2018","DHS","ACACIA NETWORK HOUSING INC","EMERGENCY SHELTER SOCIAL SERVICES IN COMM. HOTELS ACACIA NETWORK HOUSING, INC.","442961800.00"
"2018","DHS","Childrens Community Services Inc","COMMERCIAL HOTELS FOR HOMELESS FAMILIES WITH CHILDREN EMERGENCY SHELTER SOCIAL SERVICES IN COMM. HOTELS","351447800.00"
"2018","DoITT","VERIZON BUSINESS NETWORK SERVICES INC","Citywide Telecommunication Services","279000000.00"
"2018","DOT","AMERICAN BRIDGE COMPANY","QB Bridge: Replacement of Upper Roadways, BRC231F","274145000.00"
"2018","DOT","UNIONPORT CONSTRUCTORS JV","Replacement of Unionport Bridge/Bruckner Expressway, Bronx","231760100.00"
"2018","DCAS","MACK TRUCKS INC","25 CUBIC YARD REAR LOADING COLLECTION TRUCKS SNOW PLOW HITCH TRUCK, 25 C.Y. REAR LOADING COLLECTION - DSNY","195385800.00"
"2018","DOT","TRIPLE CANTILEVER DESIGN JV","TD+CSS: Rehab-BQE (I-278): Sands St. to Atlantic Ave; Brklyn","184046900.00"
"2018","DEP","YONKERS CONTRACTING CO INC","Cogeneration and Electrification, North River WWTP NR-38","177211000.00"
"2018","DCAS","MACK TRUCKS INC","DUAL COMPARTMENT REAR LOADING COLLECTION TRUCKS W/ SNOW PLOW TRUCK, 25 C.Y. DUAL COMPARTMENT COLLECTION - DSNY","134288500.00"
"2018","DHS","WEST SIDE FEDERATION FOR SR & SUPPORTIVE HOUSING INC","West Side Federation for Senior and Supportive Housing, Inc. Shelter/Permanent Housing Valley Lodge","130213900.00"
"2018","DCAS","GENUINE PARTS COMPANY","CITYWIDE AUTOMOTIVE PARTS, SUPPLY AND STAFFING","129181500.00"
"2018","DHS","CENTER FOR URBAN COMMUNITY SERVICES INC","Safe Haven Services for Single Adults at 419 W. 126th St.","118085600.00"
