Category,Type of Business,Business,Address,City/State,Zip Code,Phone Number,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
Retail,Home Furnishings,Park's Upholstery,309 East 14th Street,"New York, NY",10003,212-228-3077,MANHATTAN,40.732131,-73.984395,6,2,48,1020390,1009210007,Gramercy                                                                   ,"(40.732131, -73.984395)",11724,71,4,50,7
Food and Drink,Restaurants,5 Napkin Burger,150 East 14th Street,"New York, NY",10003,,MANHATTAN,40.733663,-73.988082,3,2,42,1080125,1005590032,East Village                                                               ,"(40.733663, -73.988082)",11724,70,4,50,5
Retail,Beauty,Essentials Skin Care,123 5th Avenue,"New York, NY",10003,212-228-8141,MANHATTAN,40.739288,-73.991217,5,2,52,1016156,1008480003,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.739288, -73.991217)",11724,11,4,50,7
Retail,Apparel and Footwear,Journelle,3 East 17th Street,"New York, NY",10003,212-255-7800,MANHATTAN,40.737762,-73.991823,5,2,52,1016112,1008460005,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.737762, -73.991823)",11724,11,4,50,7
Food and Drink,Groceries and Liquors,Natural Green Market,162 3rd Avenue,"New York, NY",10003,,MANHATTAN,40.734484,-73.986324,6,2,50,1017805,1008710047,Gramercy                                                                   ,"(40.734484, -73.986324)",11724,71,4,50,7
Food and Drink,Bars and Lounges,12th Street Ale House,192 2nd Avenue,"New York, NY",10003,212-253-2323,MANHATTAN,40.73111,-73.985831,3,2,40,1082514,1004540001,East Village                                                               ,"(40.73111, -73.985831)",11724,70,4,50,5
Services,Health and Fitness,Movement Salon,190 3rd Avenue,"New York, NY",10003,212-420-7242,MANHATTAN,40.735348,-73.985696,6,2,50,1017854,1008730034,Gramercy                                                                   ,"(40.735348, -73.985696)",11724,71,4,50,7
Retail,Electronics and Video,AT&T Wireless,592 6th Avenue,"New York, NY",10011,212-645-0008,MANHATTAN,40.739354,-73.995374,5,3,54,1015407,1008197502,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.739354, -73.995374)",12074,11,4,10,7
Retail,Optical,Cohen's Fashion Optical,841 Broadway,"New York, NY",10003,212-475-0999,MANHATTAN,40.734243,-73.990896,2,2,61,1080132,1005650015,West Village                                                               ,"(40.734243, -73.990896)",11724,57,4,50,3
Food and Drink,Casual Eateries,Di Fiore Marquet Café,15 East 12th Street,"New York, NY",10003,212-229-9313,MANHATTAN,40.734306,-73.993682,2,2,61,1076982,1005700038,West Village                                                               ,"(40.734306, -73.993682)",11724,57,4,50,3
Retail,Apparel and Footwear,Michael Kors,133 5th Avenue,"New York, NY",10003,212-228-2043,MANHATTAN,40.739581,-73.991004,5,2,52,1016186,1008480073,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.739581, -73.991004)",11724,11,4,50,7
Food and Drink,Restaurants,Veritas,43 East 20th Street,"New York, NY",10003,212-353-3700,MANHATTAN,40.738867,-73.989016,5,2,52,1016210,1008490030,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.738867, -73.989016)",12073,11,4,50,7
Points of Interest,Theaters and Cinemas,Daryl Roth Theater,101 East 15th Street,"New York, NY",10003,212-239-6200,MANHATTAN,40.735233,-73.989619,5,2,50,1017788,1008710001,Gramercy                                                                   ,"(40.735233, -73.989619)",11724,11,4,50,7
Food and Drink,Casual Eateries,Sausage Inc,106 University Place,"New York, NY",10003,212-414-4344,MANHATTAN,40.734177,-73.992585,2,2,61,1009386,1005707503,West Village                                                               ,"(40.734177, -73.992585)",11724,57,4,50,3
Retail,Beauty,Lush,7 East 14th Street,"New York, NY",10003,212-255-5133,MANHATTAN,40.735859,-73.993245,5,2,52,1016062,1008420007,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.735859, -73.993245)",11724,11,4,50,7
Retail,Gifts and Florists,Cigarville,51 West 14th Street,"New York, NY",10011,212-488-8100,MANHATTAN,40.736699,-73.995248,5,3,54,1015284,1008160012,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.736699, -73.995248)",12074,11,4,10,7
Services,Health and Fitness,Bikram Yoga,841 Broadway,"New York, NY",10003,212-929-8926,MANHATTAN,40.734243,-73.990896,2,2,61,1080132,1005650015,West Village                                                               ,"(40.734243, -73.990896)",11724,57,4,50,3
Food and Drink,Casual Eateries,Jamba Juice,125 University Place,"New York, NY",10003,212-420-1179,MANHATTAN,40.734805,-73.992033,2,2,61,1009216,1005650011,West Village                                                               ,"(40.734805, -73.992033)",11724,57,4,50,3
Retail,Pharmacies,Duane Reade ,254 Park Avenue South,"New York, NY",10003,212-387-7340,MANHATTAN,40.738464,-73.987641,5,2,52,1016212,1008497508,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.738464, -73.987641)",12073,11,4,50,7
Services,Cleaners and Shoe Repair,French Dry Cleaners,230 East 14th Street,"New York, NY",10003,212-254-0950,MANHATTAN,40.732941,-73.986372,3,2,40,1006903,1004690023,East Village                                                               ,"(40.732941, -73.986372)",11724,70,4,50,5
Food and Drink,Groceries and Liquors,14th Street Deli ,353 East 14th Street,"New York, NY",10003,212-460-9370,MANHATTAN,40.7315,-73.982887,6,2,48,1082155,1009210027,Gramercy                                                                   ,"(40.7315, -73.982887)",11724,71,4,50,7
Food and Drink,Restaurants,Dang Lai Palace,180 3rd Avenue,"New York, NY",10003,212-505-2000,MANHATTAN,40.73503,-73.985927,6,2,50,1017822,1008720035,Gramercy                                                                   ,"(40.73503, -73.985927)",11724,71,4,50,7
Food and Drink,Restaurants,Mesa Grill,102 5th Avenue,"New York, NY",10011,212-807-7400,MANHATTAN,40.736971,-73.992927,5,3,54,1080621,1008177502,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.736971, -73.992927)",12074,11,4,10,7
Services,Cleaners and Shoe Repair,Michael Parisian Tailor,212 3rd Avenue,"New York, NY",10003,,MANHATTAN,40.736037,-73.985195,6,2,50,1017882,1008747501,Gramercy                                                                   ,"(40.736037, -73.985195)",11724,71,4,50,7
Food and Drink,Bars and Lounges,Belmont Lounge,117 East 15th Street,"New York, NY",10003,212-533-0009,MANHATTAN,40.73486,-73.988735,5,2,50,1017792,1008710014,Gramercy                                                                   ,"(40.73486, -73.988735)",11724,11,4,50,7
Services,Spas and Salons,Supple Spa,55 West 19th Street,"New York, NY",10011,212-929-5948,MANHATTAN,40.73982,-73.993093,5,3,54,1015461,1008210010,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.73982, -73.993093)",12074,11,4,10,7
Retail,Apparel and Footwear,Fabco Shoes,54 West 14th Street,"New York, NY",10011,212-242-4196,MANHATTAN,40.736716,-73.995327,2,3,63,1009709,1005770013,West Village                                                               ,"(40.736716, -73.995327)",12074,57,4,10,3
Food and Drink,Casual Eateries,KFC,252 East 14th Street,"New York, NY",10003,212-533-7299,MANHATTAN,40.732793,-73.986022,3,2,40,1006906,1004690030,East Village                                                               ,"(40.732793, -73.986022)",11724,70,4,50,5
Food and Drink,Groceries and Liquors,Whole Foods,4 Union Square South,"New York, NY",10003,212-673-5388,,,,,,,,,,,,,,,
Services,Spas and Salons,Venetian Salon,157 3rd Avenue,"New York, NY",10003,212-533-7700,MANHATTAN,40.734319,-73.986418,6,2,48,1019531,1008970035,Gramercy                                                                   ,"(40.734319, -73.986418)",11724,71,4,50,7
Retail,Apparel and Footwear,Cure Thrift Shop,111 East 12th Street,"New York, NY",10003,212-505-7467,MANHATTAN,40.73259,-73.989608,3,2,42,1009028,1005580048,East Village                                                               ,"(40.73259, -73.989608)",11724,70,4,50,5
Retail,Office Supplies and Stationary,Papyrus,641 6th Avenue,"New York, NY",10011,212-741-7890,MANHATTAN,40.740718,-73.994403,4,3,87,1014732,1007950044,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.740718, -73.994403)",12074,12,4,10,7
Retail,Apparel and Footwear,Urban Outfitters,526 6th Avenue,"New York, NY",10011,646-638-1646,MANHATTAN,40.737254,-73.996904,2,3,63,1009706,1005777502,West Village                                                               ,"(40.737254, -73.996904)",12074,57,4,10,3
Retail,Home Furnishings,Innovation Luggage,134 5th Avenue,"New York, NY",10011,212-924-0141,MANHATTAN,40.738761,-73.991625,5,3,54,1015452,1008200044,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.738761, -73.991625)",12074,11,4,10,7
Food and Drink,Restaurants,Choshi,77 Irving Place,"New York, NY",10003,212-420-1419,MANHATTAN,40.736907,-73.986649,5,2,50,1017899,1008740065,Gramercy                                                                   ,"(40.736907, -73.986649)",11724,11,4,50,7
Retail,Pharmacies,Duane Reade,24 East 14th Street,"New York, NY",10003,212-989-3632,MANHATTAN,40.735522,-73.992477,2,2,61,1009394,1005717502,West Village                                                               ,"(40.735522, -73.992477)",11724,57,4,50,3
Food and Drink,Casual Eateries,Toasties,25 Union Square West,"New York, NY",10011,212-924-3331,MANHATTAN,40.73629,-73.990936,5,2,52,1087304,1008430022,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.73629, -73.990936)",11724,11,4,50,7
Retail,Home Furnishings,Big D Home,22 West 14th Street,"New York, NY",10011,212-243-5621,MANHATTAN,40.7364,-73.994577,2,3,63,1083516,1005770024,West Village                                                               ,"(40.7364, -73.994577)",12074,57,4,10,3
Services,Spas and Salons,Ryan Darius Salon,82 West 12th Street,"New York, NY",10011,212-255-3579,MANHATTAN,40.735665,-73.996955,2,3,63,1009564,1005750013,West Village                                                               ,"(40.735665, -73.996955)",12074,57,4,10,3
Food and Drink,Bars and Lounges,Corkbuzz Wine Studio,13 East 13th Street,"New York, NY",10003,646-873-6071,MANHATTAN,40.734998,-73.99335,2,2,61,1083135,1005717501,West Village                                                               ,"(40.734998, -73.99335)",11724,57,4,50,3
Points of Interest,Education,Creative Pier,833 Broadway,"New York, NY",10003,212-674-7437,MANHATTAN,40.733787,-73.990997,2,2,61,1009199,1005640016,West Village                                                               ,"(40.733787, -73.990997)",11724,57,4,50,3
Points of Interest,Education,Center for Jewish History,15 West 16th Street,"New York, NY",10011,212-294-8301,MANHATTAN,40.737677,-73.993454,5,3,54,1080631,1008180027,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.737677, -73.993454)",12074,11,4,10,7
Food and Drink,Casual Eateries,Blue 9 Burger,92 3rd Avenue,"New York, NY",10003,212-333-3042,MANHATTAN,40.732176,-73.98801,3,2,42,1009022,1005580032,East Village                                                               ,"(40.732176, -73.98801)",11724,70,4,50,5
Retail,Books and News,Alabaster Book Shop,122 4th Avenue,"New York, NY",10003,212-982-3550,MANHATTAN,40.732933,-73.990002,2,2,61,1009212,1005640054,West Village                                                               ,"(40.732933, -73.990002)",11724,57,4,50,5
Retail,Electronics and Video,Adorama,42 West 18th Street,"New York, NY",10011,800-223-2500,MANHATTAN,40.739098,-73.993227,5,3,54,1015410,1008190014,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.739098, -73.993227)",12074,11,4,10,7
Food and Drink,Casual Eateries,New Taco Grill,211 East 14th Street,"New York, NY",10003,212-353-3728,MANHATTAN,40.733092,-73.986678,6,2,48,1019503,1008960010,Gramercy                                                                   ,"(40.733092, -73.986678)",11724,71,4,50,7
Retail,Apparel and Footwear,Shoe Mania,853 Broadway,"New York, NY",10003,212-253-8744,MANHATTAN,40.734646,-73.99081,2,2,61,1080133,1005650015,West Village                                                               ,"(40.734646, -73.99081)",11724,57,4,50,3
Services,Lodging,The Inn at Irving Place,56 Irving Place,"New York, NY",10003,212-533-4600,MANHATTAN,40.736098,-73.987215,6,2,50,1017844,1008730020,Gramercy                                                                   ,"(40.736098, -73.987215)",11724,71,4,50,7
Services,Banks and Finances,T.D. Bank,260 Park Avenue South,"New York, NY",10003,212-533-6036,MANHATTAN,40.738642,-73.987511,5,2,52,1016213,1008497504,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.738642, -73.987511)",12073,11,4,50,7
Retail,Apparel and Footwear,Kenneth Cole,95 5th Avenue,"New York, NY",10003,212-675-2550,MANHATTAN,40.737827,-73.992278,5,2,52,1016094,1008440040,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.737827, -73.992278)",11724,11,4,50,7
Services,Spas and Salons,Aroma Nails and Spa,211 1st Avenue,"New York, NY",10003,,MANHATTAN,40.730427,-73.983248,3,2,40,1006491,1004540038,East Village                                                               ,"(40.730427, -73.983248)",11724,70,4,50,5
Services,Banks and Finances,Bank of America,116 5th Avenue,"New York, NY",10011,212-633-7505,MANHATTAN,40.737833,-73.992296,5,3,54,1015394,1008180051,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.737833, -73.992296)",12074,11,4,10,7
Services,Cleaners and Shoe Repair,Sharon's Laundry Service,240 East 13th Street,"New York, NY",10003,212-477-5509,MANHATTAN,40.732184,-73.986711,3,2,40,1077725,1004680027,East Village                                                               ,"(40.732184, -73.986711)",11724,70,4,50,5
Food and Drink,Restaurants,Strip House,13 East 12th Street,"New York, NY",10003,212-328-0000,MANHATTAN,40.734342,-73.993772,2,2,61,1009388,1005700039,West Village                                                               ,"(40.734342, -73.993772)",11724,57,4,50,3
Retail,Books and News,Forbidden Planet,840 Broadway,"New York, NY",10003,212-473-1576,MANHATTAN,40.733861,-73.990958,2,2,61,1009210,1005640041,West Village                                                               ,"(40.733861, -73.990958)",11724,57,4,50,5
Food and Drink,Casual Eateries,Pinkberry,523 6th Avenue,"New York, NY",10011,212-414-8429,MANHATTAN,40.737163,-73.996994,2,3,71,1010648,1006090040,West Village                                                               ,"(40.737163, -73.996994)",12074,57,4,10,3
Retail,Optical,Optyx Opticians,228 2nd Avenue,"New York, NY",10003,212-375-1062,MANHATTAN,40.732244,-73.985012,3,2,40,1006512,1004550007,East Village                                                               ,"(40.732244, -73.985012)",11724,70,4,50,5
Services,Spas and Salons,Fresh Nail,27 West 15th Street,"New York, NY",10011,212-206-6988,MANHATTAN,40.737152,-73.994194,5,3,54,1015309,1008170026,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.737152, -73.994194)",12074,11,4,10,7
Food and Drink,Casual Eateries,Spoon,17 West 20th Street,"New York, NY",10011,646-230-7000,MANHATTAN,40.74004,-73.99179,5,3,54,1015493,1008220023,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.74004, -73.99179)",12074,11,4,10,7
Points of Interest,Landmarks,Theodore Roosevelt Birthplace,28 East 20th Street,"New York, NY",10003,212-260-1616,MANHATTAN,40.73895,-73.989254,5,2,52,1016182,1008480055,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.73895, -73.989254)",11724,11,4,50,7
Food and Drink,Casual Eateries,Subway,113 East 14th Street,"New York, NY",10003,212-777-7088,MANHATTAN,40.734152,-73.989208,5,2,50,1083247,1008707501,Gramercy                                                                   ,"(40.734152, -73.989208)",11724,11,4,50,7
Food and Drink,Casual Eateries,Alberto's Pizza,539 6th Avenue,"New York, NY",10011,212-989-0500,MANHATTAN,40.737685,-73.996615,4,3,81,1014527,1007900036,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.737685, -73.996615)",12074,12,4,10,7
Services,Health and Fitness,OM Yoga Center,826 Broadway,"New York, NY",10003,212-254-9642,MANHATTAN,40.733326,-73.991077,2,2,61,1009208,1005640034,West Village                                                               ,"(40.733326, -73.991077)",11724,57,4,50,5
Services,Banks and Finances,H & R Block,323 1st Avenue,"New York, NY",10003,,MANHATTAN,40.734208,-73.980349,6,2,48,1081630,1009240034,Gramercy                                                                   ,"(40.734208, -73.980349)",11729,71,4,50,7
Services,Spas and Salons,Kings Hairstyling ,225 East 14th Street,"New York, NY",10003,212-475-3939,MANHATTAN,40.732996,-73.986455,6,2,48,1019505,1008960012,Gramercy                                                                   ,"(40.732996, -73.986455)",11724,71,4,50,7
Retail,Apparel and Footwear,7 For all Mankind,73 5th Avenue,"New York, NY",10003,212-924-4146,MANHATTAN,40.736782,-73.993039,5,2,52,1016069,1008437501,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.736782, -73.993039)",11724,11,4,50,7
Food and Drink,Bars and Lounges,Paddy Maguire's Ale House,237 3rd Avenue,"New York, NY",10003,212-253-0031,MANHATTAN,40.736734,-73.984661,6,2,64,1019609,1009000059,Gramercy                                                                   ,"(40.736734, -73.984661)",11724,71,4,50,7
Food and Drink,Restaurants,Incognito Bistro,30 West 18th Street,"New York, NY",10011,212-414-1231,MANHATTAN,40.738978,-73.992942,5,3,54,1087261,1008190059,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.738978, -73.992942)",12074,11,4,10,7
Food and Drink,Restaurants,Lillie's,13 East 17th Street,"New York, NY",10003,212-337-1970,MANHATTAN,40.737534,-73.991271,5,2,52,1016116,1008460012,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.737534, -73.991271)",11724,11,4,50,7
Food and Drink,Restaurants,Periyali,35 West 20th Street,"New York, NY",10011,212-463-7890,MANHATTAN,40.740213,-73.992205,5,3,54,1015490,1008227502,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.740213, -73.992205)",12074,11,4,10,7
Retail,Electronics and Video,Sprint,39 West 14th Street,"New York, NY",10011,212-229-9900,MANHATTAN,40.736584,-73.99497,5,3,54,1080618,1008160016,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.736584, -73.99497)",12074,11,4,10,7
Retail,Apparel and Footwear,Brooks Brothers,899 Broadway,"New York, NY",10003,opening soon,MANHATTAN,40.738996,-73.989827,5,2,52,1080760,1008480015,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.738996, -73.989827)",11724,11,4,50,7
Food and Drink,Bars and Lounges,Union Bar,204 Park Avenue South,"New York, NY",10003,212-674-2105,MANHATTAN,40.736735,-73.988904,5,2,52,1016131,1008460033,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.736735, -73.988904)",11724,11,4,50,7
Food and Drink,Bars and Lounges,Park Bar,15 East 15th Street,"New York, NY",10003,212-367-9085,MANHATTAN,40.736499,-73.992635,5,2,52,1087180,1008437502,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.736499, -73.992635)",11724,11,4,50,7
Food and Drink,Casual Eateries,The Adoré ,17 East 13th Street,"New York, NY",10003,212-243-8742,MANHATTAN,40.734929,-73.993187,2,2,61,1009401,1005710030,West Village                                                               ,"(40.734929, -73.993187)",11724,57,4,50,3
Retail,Office Supplies and Stationary,Jam Paper and Envelope,135 3rd Avenue,"New York, NY",10003,212-473-6666,MANHATTAN,40.733633,-73.98692,6,2,48,1019522,1008960048,Gramercy                                                                   ,"(40.733633, -73.98692)",11724,71,4,50,7
Food and Drink,Restaurants,Bar 6,502 6th Avenue,"New York, NY",10011,212-691-1363,MANHATTAN,40.736488,-73.99746,2,3,63,1009611,1005760009,West Village                                                               ,"(40.736488, -73.99746)",12074,57,4,10,3
Points of Interest,Education,New York Film Academy,100 East 17th Street,"New York, NY",10003,212-674-4300,MANHATTAN,40.736427,-73.988727,5,2,50,1017839,1008720078,Gramercy                                                                   ,"(40.736427, -73.988727)",11724,11,4,50,7
Food and Drink,Casual Eateries,Big Daddy's Diner,239 Park Avenue South,"New York, NY",10003,212-477-1500,MANHATTAN,40.737931,-73.988016,5,2,50,1017907,1008750003,Gramercy                                                                   ,"(40.737931, -73.988016)",11724,11,4,50,7
Services,Cleaners and Shoe Repair,Dan Laundry,352 East 20th Street,"New York, NY",10003,,MANHATTAN,40.735523,-73.981114,6,2,64,1020538,1009250141,Gramercy                                                                   ,"(40.735523, -73.981114)",12073,71,4,50,7
Food and Drink,Bars and Lounges,Flute Bar,40 East 20th Street,"New York, NY",10003,212-529-7870,MANHATTAN,40.738865,-73.989059,5,2,52,1016178,1008487504,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.738865, -73.989059)",11724,11,4,50,7
Retail,Electronics and Video,Verizon Wireless,319 East 14th Street,"New York, NY",10003,212-254-4460,MANHATTAN,40.73198,-73.984041,6,2,48,1020395,1009210012,Gramercy                                                                   ,"(40.73198, -73.984041)",11724,71,4,50,7
Food and Drink,Casual Eateries,Subway,55 West 14th Street,"New York, NY",10011,212-741-8843,MANHATTAN,40.736738,-73.995338,5,3,54,1078691,1008160007,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.736738, -73.995338)",12074,11,4,10,7
Services,Cleaners and Shoe Repair,A's Organic Cleaner,265 1st Avenue,"New York, NY",10003,,MANHATTAN,40.732271,-73.981768,6,2,48,1020423,1009220022,Gramercy                                                                   ,"(40.732271, -73.981768)",11729,71,4,50,7
Services,Health and Fitness,Rinaldi Pilates,327 East 12th Street,"New York, NY",10003,212-228-5532,MANHATTAN,40.730688,-73.985109,3,2,40,1006504,1004540057,East Village                                                               ,"(40.730688, -73.985109)",11724,70,4,50,5
Points of Interest,Arts and Leisure,Collaborative Arts Project 21,18 West 18th Street,"New York, NY",10011,212-807-0202,MANHATTAN,40.738859,-73.99266,5,3,54,1015426,1008190056,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.738859, -73.99266)",12074,11,4,10,7
Retail,Apparel and Footwear,Stock Vintage,143 East 13th Street,"New York, NY",10003,212-505-2505,MANHATTAN,40.733117,-73.988879,3,2,42,1009086,1005590141,East Village                                                               ,"(40.733117, -73.988879)",11724,70,4,50,5
Food and Drink,Casual Eateries,Hollywood Diner,574 6th Avenue,"New York, NY",10011,212-691-8465,MANHATTAN,40.738816,-73.995767,5,3,54,1015370,1008180001,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.738816, -73.995767)",12074,11,4,10,7
Retail,Home Furnishings,145 Antiques,27 West 20th Street,"New York, NY",10011,212-807-1149,MANHATTAN,40.740136,-73.992021,5,3,54,1015491,1008220015,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.740136, -73.992021)",12074,11,4,10,7
Retail,Home Furnishings,Ligne Roset,250 Park Avenue South,"New York, NY",10003,212-375-1036,MANHATTAN,40.738231,-73.987818,5,2,52,1016176,1008480043,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.738231, -73.987818)",11724,11,4,50,7
Services,Spas and Salons,International Haircutters,320 East 14th Street,"New York, NY",10003,212-529-1457,MANHATTAN,40.731994,-73.984113,3,2,40,1006513,1004550017,East Village                                                               ,"(40.731994, -73.984113)",11724,70,4,50,5
Services,Banks and Finances,Chase,90 5th Avenue,"New York, NY",10011,212-255-8121,MANHATTAN,40.736354,-73.993379,5,3,54,1015291,1008160037,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.736354, -73.993379)",12074,11,4,10,7
Services,Cleaners and Shoe Repair,Steve's Express Shoe Repair,311 East 14th Street,"New York, NY",10003,212-228-9368,MANHATTAN,40.732101,-73.984326,6,2,48,1020391,1009210008,Gramercy                                                                   ,"(40.732101, -73.984326)",11724,71,4,50,7
Services,Medical and Veterinary,Fifth Avenue Veterinary Specialists,1 West 15th Street,"New York, NY",10011,212-924-3311,MANHATTAN,40.736903,-73.993595,5,3,54,,,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.736903, -73.993595)",12074,11,4,10,7
Food and Drink,Casual Eateries,Little Italy Pizza III,122 University Place,"New York, NY",10003,212-989-4225,MANHATTAN,40.734726,-73.992123,2,2,61,1009400,1005710025,West Village                                                               ,"(40.734726, -73.992123)",11724,57,4,50,3
Food and Drink,Restaurants,Thai Terminal,349 East 12th Street,"New York, NY",10003,212-614-0155,MANHATTAN,40.730528,-73.984734,3,2,40,1006499,1004540046,East Village                                                               ,"(40.730528, -73.984734)",11724,70,4,50,5
Parking,Parking,17 Street Parking Corporation,6 East 17th Street,"New York, NY",10003,212-242-9173,MANHATTAN,40.737715,-73.991755,5,2,52,1000000,1008440035,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.737715, -73.991755)",11724,11,4,50,7
