"program_type","program","site_name","address","borough_community","postcode","agency","contact_number","grade_level_age_group","location_1","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Chinatown Manpower Project, Inc.","70 Mulberry Street","Manhattan","10013","Chinatown Manpower Project, Inc.","212-571-1690","14 to 24","70 Mulberry Street
flr,  10013
(40.716141909295, -73.999172809241)","40.716092","-73.999203","3","1","29","1066494","1002000001","Chinatown                                                                  "
"Jobs & Internships","In-School Youth Employment (ISY)","Simpson Street Development Association, Inc.","997 East 163rd Street","Bronx","10459","Simpson Street Development Association, Inc.","718.589.1510",,"997 163rd Street
,  10459
(40.821012282861, -73.893418024476)","40.820985","-73.893398","2","17","159","2099787","2027240001","Hunts Point                                                                "
"Jobs & Internships","Out-of-School Youth Employment (OSY)","Catholic Charities Neighborhood Services","23-40 Astoria Boulevard","Queens","11102","Catholic Charities Neighborhood Services","718.726.9790 ext.127","16 to 21","23 40 Astoria Boulevard
,  11102
(40.771524024514, -73.926435450735)","40.771582","-73.92375","1","22","69","4439576","4005420008","Old Astoria                                                                "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Goodwill Industries of Greater New York","4-21 27th Street","Queens","11102","Goodwill Industries of Greater New York","718-278-9667 ","14 to 24","4 21 27th Street
,  11102
(40.771524024514, -73.926435450735)",,,,,,,,
"Jobs & Internships, Youth Employment","Summer Youth Employment ","PAL-New South Bx. Center","991 Longwood Ave","Bronx","10459","Police Athletic League, Inc. - Bronx ","718-389-5306","14 to 24","991 Longwood Ave
,  10459
(40.817260540417, -73.897738395898)","40.817185","-73.897667","2","17","87","2100984","2027090001","Longwood                                                                   "
"Jobs & Internships","Out-of-School Youth Employment (OSY)","Henry Street Settlement Workforce Development Center","99 Essex Street","New York","10002","Henry Street Settlement","212.478.5400 ext. 210","16 to 21","99 Essex Street
,  10002
(40.7184474156, -73.988301222787)","40.718943","-73.988012","3","1","18","1087565","1004100064","Chinatown                                                                  "
"Jobs & Internships","In-School Youth Employment (ISY)","Police Athletic League, Inc","116-25 Guy R. Brewer Boulevard","Queens","11434","Police Athletic League, Inc.","212.477.6504",,"116 25 Guy R Brewer Boulevard
,  11434
(40.676945262114, -73.775306901692)","40.686208","-73.784144","12","28","278","4464077","4123350049","Baisley Park                                                               "
"Jobs & Internships","In-School Youth Employment (ISY)","New Spirit II, Inc. -- Youth Center","162-04 South Road","Queens","11433","New Spirit II, Inc.","718.712.1100",,"162 04 South Road
,  11433
(40.698104881735, -73.787574033914)","40.699445","-73.794329","12","28","254","4215796","4101290003","South Jamaica                                                              "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","East NY Development Corporation","2644 Atlantic Avenue","Brooklyn","11207","East NY Development Corporation","718-566-2129","14 to 24","2644 Atlantic Avenue
,  11207
(40.675655262304, -73.896752975273)","40.675744","-73.896644","5","37","1198","3326728","3036870012","East New York                                                              "
"Jobs & Internships","Youth Employment","Miccio Center ","110 West 9th Street","Brooklyn","11231","Police Athletic League, Inc.","212.477.9450",,"110 9th Street
,  11231
(40.67578212491, -74.001523292383)","40.676024","-74.002318","6","38","85","3339411","3005380001","Carroll Gardens-Columbia Street-Red Hook                                   "
"Jobs & Internships","In-School Youth Employment (ISY)","Asociaciones Dominicanas, Inc","202 Union Avenue","Brooklyn","11211","Asociaciones Dominicanas, Inc","212.247.2929",,"202 Union Avenue
,  11211
(40.706434807769, -73.950331811608)","40.706403","-73.950356","1","34","511","3325853","3030580100","East Williamsburg                                                          "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Southern Queens Park Association","177-01 Baisley Boulevard ,","Queens","11434","Southern Queens Park Association","718-276-4630  x107","14 to 24","177 01 Baisley Boulevard
,  11434
(40.676945262114, -73.775306901692)","40.686284","-73.768455","12","27","426","4268835","4124060180","St. Albans                                                                 "
"Jobs & Internships","Youth Employment","Intermediate School 43 ","160 Beach 29th Street","Queens","11691","Federation Employment & Guidance Services (FEGS)","212.366.8401","MS/HS","160 Beach 29th Street
,  11691
(40.594515128003, -73.761826540295)","40.593834","-73.76174","14","31","99802","4467711","4158200001","Far Rockaway-Bayswater                                                     "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Pulse High School","560 E. 179th  Street ","Bronx","10457","Wildcat Service Corporation","718-294-0230 x3080","14 to 24","560 179th Street
,  10457
(40.848594211674, -73.893692127627)","40.8486","-73.893654","6","15","37504","2011844","2030610055","East Tremont                                                               "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","The Children's Aid Society","105 East 22nd Street","Manhattan","10010","The Children's Aid Society","917-286-1535","14 to 24","105 22nd Street
,  10010
(40.73943216627, -73.986562604958)","40.739265","-73.986215","5","2","68","1018010","1008780001","Gramercy                                                                   "
"Jobs & Internships","In-School Youth Employment (ISY)","SCO Family Services/Center for Family Life","345 43rd Street","Brooklyn","11232","SCO Family of Services","516.671.1253",,"345 43rd Street
,  11232
(40.651038320789, -74.009513156888)","40.651013","-74.009514","7","38","82","3337160","3007230025","Sunset Park West                                                           "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Catholic Charities Neighborhood Services, Inc.","200 Gold Street","Brooklyn","11201","Catholic Charities Neighborhood Services, Inc.","718-875-8801   ","14 to 24","200 Gold Street
,  11201
(40.698288822006, -73.983097400318)","40.698184","-73.983079","2","33","15","3000197","3001090001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Jacob A. Riis Neighborhood Settlement, Inc.","10-25 41st Avenue","Queens","11101","Jacob A. Riis Neighborhood Settlement, Inc.","718-784-7447 ","14 to 24","10 25 41st Avenue
,  11101
(40.745702449808, -73.938669029252)","40.755488","-73.945328","1","26","25","4433386","4004700100","Queensbridge-Ravenswood-Long Island City                                   "
"Jobs & Internships","Youth Employment","Public School 217 - Col. David Marcus Elementary School ","1100 Newkirk Avenue","Brooklyn","11230","Flatbush Development Corporation","718.859.3800","MS/HS","1100 Newkirk Avenue
,  11230
(40.633960964399, -73.966505506315)","40.63398","-73.966558","14","40","526","3121072","3052320001","Flatbush                                                                   "
"Jobs & Internships","In-School Youth Employment (ISY)","Intermediate School 232 - Winthrop School","905 Winthrop Street","Brooklyn","11203","Sesame Flyers International, Inc.","718.693.0500",,"905 Winthrop Street
,  11203
(40.658451422174, -73.929131359882)","40.65843","-73.929076","17","41","880","3099733","3046060025","Prospect Lefferts Gardens-Wingate                                          "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Chinese American Planning Council - Queens ","136-18 39th Avenue 8th flr","Queens","11354","Chinese American Planning Council - Queens ","718-358-8899  x132","14 to 24","136 18 39th Avenue
flr,  11354
(40.768620220647, -73.827190280707)","40.76033","-73.829831","7","20","871","4112492","4049800011","Flushing                                                                   "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Alianza Dominicana, Inc. - Manhattan","2410 Amsterdam Avenue , 2nd fl","Manhattan","10033","Alianza Dominicana, Inc. - Manhattan","212-740-1960","14 to 24","2410 Amsterdam Avenue
,  10033
(40.847155142524, -73.931588758739)","40.847177","-73.93159","12","10","261","1063604","1021520048","Washington Heights South                                                   "
"Jobs & Internships","Youth Employment","Youth Employment Program ","3400 Reservoir Oval","Bronx","10467","Mosholu Montefiore Community Center, Inc.","718.652-1471","HS","3400 Reservoir Oval
,  10467
(40.878775054922, -73.875633562586)","40.878889","-73.87581","7","11","423","2018218","2033430185","Norwood                                                                    "
"Jobs & Internships","Out-of-School Youth Employment (OSY)","Brooklyn Job Corps Academy","585 DeKalb Avenue","Brooklyn","11205","Arbor Employment and Training","718.623.4031","16 to 21","585 DeKalb Avenue
,  11205
(40.691240660643, -73.952776188341)","40.691223","-73.952765","3","33","241","3049016","3017640001","Bedford                                                                    "
"Jobs & Internships","Out-of-School Youth Employment (OSY)","Opportunities for a Better Tomorrow","783 4th Avenue","Brooklyn","11232","Opportunities for a Better Tomorrow","718.369.0303","16 to 21","783 4th Avenue
,  11232
(40.659289154121, -73.999107468615)","40.65927","-73.999268","7","38","101","3009757","3006610005","Sunset Park West                                                           "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Childrens Arts & Science Workshops, Inc. -Bx","229A East 204th Street","Bronx","10458","Childrens Arts & Science Workshops, Inc. -Bx","718-220-4444","14 to 24","229A 204th Street
,  10458
(40.862601328688, -73.884790015047)","40.874409","-73.885314","7","11","413","2090492","2033110152","Bedford Park-Fordham North                                                 "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Inwood Community Services, Inc.","651 Academy Street , Top Flr","Manhattan","10034","Inwood Community Services, Inc.","212-942-0043 ","14 to 24","651 Academy Street
Top Flr,  10034
(40.866018005307, -73.924772644837)","40.866001","-73.924777","12","10","291","1081917","1022340001","Marble Hill-Inwood                                                         "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Research Foundation of CUNY - LaGuardia CC","29-10 Thomson Avenue Rm C","Queens","11101","Research Foundation of CUNY - LaGuardia CC","718-482-5340","14 to 24","29 10 Thomson Avenue
Rm C,  11101
(40.745702449808, -73.938669029252)","40.745216","-73.937602","2","26","1","4003516","4002730001","Hunters Point-Sunnyside-West Maspeth                                       "
"Jobs & Internships","In-School Youth Employment (ISY)","Hellenic American Neighborhood Action Committee (HANAC)","23-16 30th Avenue","Queens","11102","Hellenic American Neighborhood Action Committee (HANAC)","212.840.8005",,"23 16 30th Avenue
,  11102
(40.771524024514, -73.926435450735)","40.76916","-73.926258","1","22","73","4436861","4005720032","Old Astoria                                                                "
"Jobs & Internships","Out-of-School Youth Employment (OSY)","Medgar Evers College","1150 Carroll Street","Brooklyn","11225","Research Foundation of CUNY on behalf of Medgar Evers College","718.270.6474","16 to 21","1150 Carroll Street
,  11225
(40.667238309257, -73.952271441436)","40.667253","-73.952195","9","35","321","3337869","3012890025","Crown Heights South                                                        "
"Jobs & Internships","Youth Employment","Afrikan Poetry Theatre ","176-03 Jamaica Avenue","Queens","11432","Afrikan Poetry Theatre","718.523.3312","MS/HS","176 03 Jamaica Avenue
,  11432
(40.71311535449, -73.792820999789)","40.707941","-73.784233","12","27","468","4209975","4098120008","Jamaica                                                                    "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Henry Street Settlement, Inc. - Vulnerable Youth","265 Henry Street ,","Manhattan","10002","Henry Street Settlement, Inc. - Vulnerable Youth","212-254-3100","14 to 24","265 Henry Street
,  10002
(40.713875617781, -73.984342988978)","40.713857","-73.984532","3","1","202","1079627","1002880078","Lower East Side                                                            "
"Jobs & Internships","In-School Youth Employment (ISY)","Intermediate School 72 - Catherine & Count Basie School","133-25 Guy R. Brewer Boulevard","Queens","11434","Queens Child Guidance Center","718.651.7770",,"133 25 Guy R Brewer Boulevard
,  11434
(40.676945262114, -73.775306901692)","40.673769","-73.775951","12","28","33402","4270059","4124950270","Springfield Gardens North                                                  "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Helen's House & Youth Center","301 Henry Street ,","Manhattan","10002","Henry Street Settlement, Inc. - Manhattan ","212-254-3100  ","14 to 24","301 Henry Street
,  10002
(40.71399949306, -73.983398773047)","40.714054","-73.982797","3","1","202","1003737","1002880021","Lower East Side                                                            "
"Jobs & Internships","In-School Youth Employment (ISY)","Family Preservation Center/MBCS","1125 Grand Concourse","Bronx","10452","Mid-Bronx Council Services, Inc.","718.588.8200",,"1125 Grand
Concourse,  10452
(40.837724263364, -73.923332211412)","40.832627","-73.919398","4","16","195","2002893","2024720034","West Concourse                                                             "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Betances Community Center","545 East 146th Street ","Bronx","10455","Aspira of New York, Inc.","212-585 -5040","14 to 24","545 146th Street
,  10455
(40.812738163622, -73.915310368294)","40.812684","-73.915213","1","8","43","2093912","2022720038","Mott Haven-Port Morris                                                     "
"Jobs & Internships","Youth Employment","BCA Education Center ","5000 8th Avenue","Brooklyn","11220","Brooklyn Chinese American Association","718.438.9312","MS/HS","5000 8th Avenue
,  11220
(40.641104606526, -74.003759923935)","40.641036","-74.003809","7","38","108","3013418","3007940039","Sunset Park East                                                           "
"Jobs & Internships","In-School Youth Employment (ISY)","South Bronx Overall Economic Development Corp.","555 Bergen Avenue , 3rd Fl.","Bronx","10455","South Bronx Overall Economic Development Corp.","718.292.3113",,"555 Bergen Avenue
,  10455
(40.815944415254, -73.916415911483)","40.815959","-73.916354","1","17","71","2097027","2022940002","Melrose South-Mott Haven North                                             "
"Jobs & Internships","Adult Employment","West Harlem","500 W. 134th Street","New York","10027","Community Impact/Columbia University","212.854.2617",,"500 134th Street
,  10027
(40.811549564461, -73.952900335682)","40.818283","-73.952856","9","7","219","1059742","1019870036","Manhattanville                                                             "
"Jobs & Internships","Youth Employment","Queens Community Resource Center ","159-17 Hillside Avenue","Queens","11432","Covenant House/Under 21","718.725.9851","HS","159 17 Hillside Avenue
,  11432
(40.71311535449, -73.792820999789)","40.707793","-73.802545","8","24","44602","4209068","4097690089","Jamaica                                                                    "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Council of Jewish Organizations of Flatbush, Inc.","1550 Coney Island Avenue","Brooklyn","11230","Council of Jewish Organizations of Flatbush, Inc.","718-252-4446","14 to 24","1550 Coney Island Avenue
,  11230
(40.619697574375, -73.964314154293)","40.619517","-73.964188","12","44","454","3171988","3065460011","Ocean Parkway South                                                        "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Youth Education Thru Sports","646 Malcolm X Blvd","Manhattan","10037","New York City Mission Society","212-368-8400","14 to 24","646 Malcolm X Blvd
,  10037
(40.818574610432, -73.937465443105)","40.818813","-73.937414","10","9","214","1081458","1017400001","Central Harlem North-Polo Grounds                                          "
"Jobs & Internships","Youth Employment","Police Athletic League PAL-Webster Center ","2255 Webster Avenue","Bronx","10457","Police Athletic League, Inc.","212.477.9450",,"2255 Webster Avenue
,  10457
(40.855630916719, -73.896023210038)","40.855656","-73.895978","5","15","38302","2013329","2031430203","Fordham South                                                              "
"Jobs & Internships","Adult Employment","BCA Education Center","5006 8th Avenue","Brooklyn","11220","Brooklyn Chinese American Association","718.438.9312",,"5006 8th Avenue
,  11220
(40.641074069955, -74.003795118627)","40.641014","-74.003834","7","38","108","3013419","3007940041","Sunset Park East                                                           "
"Jobs & Internships","In-School Youth Employment (ISY)","Public School 80 - The Michael J. Petrides School","715 Ocean Terrace","Staten Island","10301","Police Athletic League, Inc.","212.477.6504",,"715 Ocean Terrace
,  10301
(40.607458917131, -74.101488293171)","40.608517","-74.102078","2","50","177","5113169","5006830001","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   "
"Jobs & Internships","Youth Employment","STEPS, Inc ","1325 5th Avenue","New York","10029","Support For Training and Educational Services, Inc.","212.831.9080",,"1325 5th Avenue
,  10029
(40.797578953153, -73.948664533901)","40.797706","-73.948608","11","9","17402","1086046","1016170001","East Harlem South                                                          "
"Jobs & Internships","In-School Youth Employment (ISY)","Citizens Advice Bureau/Girls Club of New York","1130 Grand Concourse","Bronx","10456","Citizens Advice Bureau, Inc.","718.365.0910",,"1130 Grand
Concourse,  10456
(40.830436680009, -73.907765199504)","40.832331","-73.91959","4","16","18102","2002833","2024620042","East Concourse-Concourse Village                                           "
"Jobs & Internships","In-School Youth Employment (ISY)","Sunnyside Community Service, Inc.","43-31 39th Street","Queens","11104","Sunnyside Community Service, Inc.","718.784.6173",,"43 31 39th Street
,  11104
(40.744893366636, -73.920541345307)","40.74519","-73.925909","2","26","179","4436677","4001910005","Hunters Point-Sunnyside-West Maspeth                                       "
"Jobs & Internships","Youth Employment","Bnos Yakov Educational Center","62 Harrison Avenue","Brooklyn","11211","Bnos Yakov Educational Center","718.963.1212","MS/HS","62 Harrison Avenue
,  11211
(40.705097775655, -73.952713601158)","40.704892","-73.952445","1","33","529","3060902","3022200038","Williamsburg                                                               "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","New York City Housing Authority - Manhattan","350 Livingston Street","Manhattan","10007","New York City Housing Authority - Manhattan","212-306-3985","14 to 24","350 Livingston Street
,  10007
(40.713630519433, -74.009131383706)",,,,,,,,
"Jobs & Internships, Youth Employment","Summer Youth Employment ","PS 35/1232","905 Winthrop Street Rm 127","Brooklyn","11203","Sesame Flyers International, Inc.","718-221-8880 ","14 to 24","905 Winthrop Street
,  11203
(40.658451422174, -73.929131359882)","40.65843","-73.929076","17","41","880","3099733","3046060025","Prospect Lefferts Gardens-Wingate                                          "
"Jobs & Internships","Adult Employment","South Bronx Overall Economic Development Corporation","555 Bergen Avenue - 3rd floor","Bronx","10455","South Bronx Overall Economic Development Corp.","718.585.2600",,"555 Bergen Avenue
,  10455
(40.815944415254, -73.916415911483)",,,,,,,,
"Jobs & Internships","Adult Employment","Turning Point","5220 Fourth Avenue","Brooklyn","11220","Turning Point","718.439.0077",,"5220 Fourth Avenue
,  11220
(40.645290640072, -74.013956489484)","40.645191","-74.013924","7","38","76","3013857","3008060046","Sunset Park West                                                           "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","East Harlem Employment Services, Inc. STRIVE","240 East 123rd Street, 3rd FL","Manhattan","10035","East Harlem Employment Services, Inc. STRIVE","212-360-1100","14 to 24","240 123rd Street
,  10035
(40.801631007365, -73.935035566046)","40.801647","-73.935017","11","8","194","1054629","1017870080","East Harlem North                                                          "
"Jobs & Internships","In-School Youth Employment (ISY)","Christopher Columbus High School - H.S. 415","925 Astor Avenue, Bronx","Bronx","10469","Henkels & McCoy, Inc.","800.622.5577",,"925 Astor Avenue
Bronx,  10469
(40.859680011814, -73.861062565319)","40.859665","-73.861006","11","13","324","2050179","2043580001","Bronxdale                                                                  "
"Jobs & Internships","Out-of-School Youth Employment (OSY)","Chinatown Manpower Project, Inc.","70 Mulberry Street 3rd flr","New York","10013","Chinatown Manpower Project, Inc.","212.571.1690","16 to 21","70 Mulberry Street
,  10013
(40.716141909295, -73.999172809241)","40.716092","-73.999203","3","1","29","1066494","1002000001","Chinatown                                                                  "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","SCO Family of Services","345 43rd Street","Brooklyn","11232","SCO Family of Services","718-788-3500 ","14 to 24","345 43rd Street
,  11232
(40.651038320789, -74.009513156888)","40.651013","-74.009514","7","38","82","3337160","3007230025","Sunset Park West                                                           "
"Jobs & Internships","Youth Employment","The Children's Aid Society","885 Columbus Avenue","New York","10025","The Children's Aid Society","212.865.6337","HS","885 Columbus Avenue
,  10025
(40.797713348632, -73.963944750805)","40.797762","-73.963944","7","7","189","1081301","1018360001","Upper West Side                                                            "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Woodycrest Center For Human Development","153 West 165th Street","Bronx","10452","Woodycrest Center For Human Development","718-992-4256","14 to 24","153 165th Street
,  10452
(40.83108457688, -73.920857534442)","40.834544","-73.928932","4","8","193","2003478","2025260034","Highbridge                                                                 "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Edith and Carl Marks Jewish Community House of Bensonhurst","7802 Bay Parkway","Brooklyn","11214","Edith and Carl Marks Jewish Community House of Bensonhurst","718-331-6800 x112","14 to 24","7802 Bay Parkway
,  11214
(40.606424326706, -73.989192742721)","40.606369","-73.989235","11","44","270","3162352","3062640030","Bensonhurst West                                                           "
"Jobs & Internships","Youth Employment","Flatbush Development Corporation","1616 Newkirk Avenue","Brooklyn","11226","Flatbush Development Corporation","718.859.3800","MS/HS","1616 Newkirk Avenue
,  11226
(40.63599627408, -73.962302128878)","40.63604","-73.962241","14","40","518","3121203","3052370006","Flatbush                                                                   "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Alianza Mosaic Beacon","125 W 166th St, 1st flr","Bronx","10452","Alianza Dominicana, Inc. - Bronx","917-258-3731","14 to 24","125 166th St
flr,  10452
(40.832222907688, -73.920620687891)","40.835377","-73.927103","4","16","199","2003279","2025140077","Highbridge                                                                 "
"Jobs & Internships","In-School Youth Employment (ISY)","Jacob A. Riis Neighborhood Settlement, Inc.","10-25 41st Avenue","Queens","11101","Jacob A. Riis Neighborhood Settlement, Inc.","718.744.7447",,"10 25 41st Avenue
,  11101
(40.745702449808, -73.938669029252)","40.755488","-73.945328","1","26","25","4433386","4004700100","Queensbridge-Ravenswood-Long Island City                                   "
"Jobs & Internships","In-School Youth Employment (ISY)","East Harlem Council For Community Improvement","413 East 120th Street","New York","10035","East Harlem Council For Community Improvement","212.410.7707",,"413 120th Street
,  10035
(40.798463980235, -73.933202998449)","40.798371","-73.932987","11","8","192","1054888","1018080008","East Harlem North                                                          "
"Jobs & Internships","In-School Youth Employment (ISY)","Public School 314 - Luis Munoz Marin Elementary School","330 59th Street","Brooklyn","11220","SCO Family of Services","516.671.1253",,"330 59th Street
,  11220
(40.642201614799, -74.019175801725)","40.642121","-74.018997","7","38","74","3016258","3008620012","Sunset Park West                                                           "
