"studio_name","zip_code","phone","fax","website","email","location_1","number_and_street_address","borough","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"Beatstreet Productions","10010","212-777-8440","212-477-1735","www.beatstreetnyc.com","info@beatstreetnyc.com","928 Broadway
New York, NY 10010
(40.740027902393, -73.989541070307)","928 Broadway","MANHATTAN","40.740166","-73.989492","5","2","56","1016242","1008500012","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"Bond","10012","212-533-9400",,"www.bondedit.com","jeff_beckerman@bondedit.com","665 Broadway
New York, NY 10012
(40.727093231537, -73.995363105187)","665 Broadway","MANHATTAN","40.727354","-73.995162","2","1","5501","1083504","1005320015","West Village                                                               "
"Mixopolis, Inc.","10017","212-980-5009","212-223-4524","www.mixopolis.com","lydia@mixopolis.com","5 47th St
New York, NY 10017
(40.756386570106, -73.977903843248)","5 47th Street",,,,,,,,,
"Now Hear This","10019","212-265-1188","212-265-6363","www.nhtsound.com","larry@nhtsound.com","250 49th St
New York, NY 10019
(40.761171544305, -73.985479624333)","250 49th Street",,,,,,,,,
"Vertical Entertainment","10036","310-435-3766",,"www.vrtclentertainment.com","info@vrtclentertainment.com","440 41st Street
New York, NY 10036
(40.758455010774, -73.994667205874)","440 41st Street",,,,,,,,,
"Avatar Studios","10019","212-765-7500",,"www.avatarstudios.net","tino@avatarstudios.net","441 53rd Street
New York, NY 10019
(40.766225153107, -73.989595029629)","441 53rd Street",,,,,,,,,
"SoundHound Inc.","10036","212-575-8664","212-575-9412","www.soundhound.com","arhodes@soundhound.com","45 45th St
New York, NY 10036
(40.756045087288, -73.980914821503)","45 45th Street",,,,,,,,,
"Soundtrack","10010","212-420-6010","612-677-6403","www.soundtrackny.com","maegan.hayward@soundtrackny.com","936 Broadway
New York, NY 10010
(40.740476155115, -73.989398597655)","936 Broadway","MANHATTAN","40.740418","-73.989427","5","2","56","1016277","1008507502","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"Silver Sound Inc.","10001","212-757-5147","212-757-6245","www.silversound.us","cory@silversound.us","28 27th St
New York, NY 10001
(40.744929207453, -73.989792880475)","28 27th Street",,,,,,,,,
"Big Yellow Duck","10036","212-997-1200","212-997-1293","www.bigyellowduck.com","ralph@bigyellowduck.com","62 45th St
New York, NY 10036
(40.756422542988, -73.981914819499)","62 45th Street",,,,,,,,,
"audioEngine","10003","212-473-2700","212-473-2772","www.audioengine.net","jenniferh@audioengine.net","817 Broadway
New York, NY 10003
(40.73318406175, -73.991132870299)","817 Broadway","MANHATTAN","40.733043","-73.99116","2","2","61","1009134","1005630031","West Village                                                               "
"Strongboy Studios","10031","212-203-2325","212-222-1113","www.strongboystudios.com","ny411@strongboystudios.com","512 151st Street
New York, NY 10031
(40.829492457868, -73.945950931547)","512 151st Street","MANHATTAN","40.829289","-73.945487","9","7","237","1062160","1020820043","Hamilton Heights"
"Mediaracket","10010","212-961-7337","212-633-9933","www.mediaracket.com","tom@mediaracket.com","19 21st St
New York, NY 10010
(40.739650187141, -73.989109395733)","19 21st Street",,,,,,,,,
"Full House Productions","10011","212-645-2228","212-627-2838","www.fullhouseny.com",,"123 18th St
New York, NY 10011
(40.740167320246, -73.995686422457)","123 18th Street",,,,,,,,,
"Btoven Music","10019","917-749-0271",,"www.btovenmusic.com","brian@btovenmusic.com","245 55th Street
New York, NY 10019
(40.765136973451, -73.983146890679)","245 55th Street",,,,,,,,,
