"sitekey","sitestatus","providername","sitename","building","street","unit","borough","city","postcode","mappedaddress","phone","extension","show311","showonmap","website","ada_accessible","incomelimit","l1","itin","s1","amendedreturn","prioryear","aarp","selfemployed","opendatestr","opendateiso","closedatestr","closedateiso","apptorwalkin","mondayopen","imondayopen","mondayclose","imondayclose","tuesdayopen","ituesdayopen","tuesdayclose","ituesdayclose","wednesdayopen","iwednesdayopen","wednesdayclose","iwednesdayclose","thursdayopen","ithursdayopen","thursdayclose","ithursdayclose","fridayopen","ifridayopen","fridayclose","ifridayclose","saturdayopen","isaturdayopen","saturdayclose","isaturdayclose","sundayopen","isundayopen","sundayclose","isundayclose","ianydayopen","ianydayclose","scheduleexceptions","notes","citycouncildistrict","communitydistrict","bbl","nta","xcoordinate","ycoordinate","latitude","longitude","icon","geocoded_column"
"FBNYC - 5","Active","Food Bank For New York City","New York Common Pantry","8","East 109th Street",,"Manhattan",,,"""8 East 109th Street, Manhattan NY, 10029""","(917) 699-9198",,"Yes","Yes","http://www.foodbanknyc.org/taxhelp",,"""For all filers: Income below $55,000.""","""English, Spanish, Cantonese""","Non-CAA ITIN","Drop Off","Yes","Yes",,"Yes","Jan 28","2019-01-28T00:00:00.000","Apr 10","2019-04-10T00:00:00.000","Both","9:00 AM","9","6:00 PM","18","9:00 AM","9","6:00 PM","18","9:00 AM","9","6:00 PM","18","9:00 AM","9","6:00 PM","18","9:00 AM","9","6:00 PM","18",,,,,,,,,"9","18",,"""Muhammad Al-Amin""","09","111","1016140066","MN33","0998338","0229273","40.79596619190907","-73.94911905909342",,"(40.795966191909, -73.949119059093)"
"FBNYC - 40","Active","Food Bank For New York City","""The Resource Center for Community Development,INC, The HopeLine""","884","East 163rd Street",,"Bronx",,,"""884 East 163rd Street, Bronx NY, 10459""","(718) 402-1212",,"Yes","Yes","http://www.foodbanknyc.org/taxhelp",,"""For all filers: Income below $55,000.""","""English, Spanish""","Non-CAA ITIN","Drop Off","Yes","Yes","No","Yes","Jan 28","2019-01-28T00:00:00.000","Apr 15","2019-04-15T00:00:00.000","Walk-in Only",,,,,"10:00 AM","10","3:00 PM","15",,,,,"10:00 AM","10","3:00 PM","15",,,,,,,,,,,,,"10","15",,,"17","202","2026960095","BX33","1012297","0238422","40.82104436772316","-73.89866583019338",,"(40.821044367723, -73.898665830193)"
"AARPMN - 12","Active","AARP Tax Aide","Hamilton Grange Branch Library","503","West 145th Street","Lower Level","Manhattan",,,"""503 West 145th Street, Manhattan NY, 10031""","(212) 926-2147",,"Yes","Yes",,,"""Open to all taxpayers, with special attention to those 60 and older.""","""English, Spanish""","None","In Person","Yes","Yes","Yes","Yes","Jan 29","2019-01-29T00:00:00.000","Apr 9","2019-04-09T00:00:00.000","Walk-in Only",,,,,"12:00 PM","12","4:00 PM","16",,,,,,,,,,,,,,,,,,,,,"12","16",,"""First come, first served.  We will stop accepting taxpayers when we have reached capacity""","07","109","1020770026","MN04","0998628","0240008","40.82543031251928","-73.94804868654384",,"(40.825430312519, -73.948048686544)"
"FBNYC - 62","Active","MMCC","Pan African Community Development Initiative","1158","INTERVALE AVENUE","1STFL","Bronx",,,"""1158 INTERVALE AVENUE, Bronx NY, 10459""","(718) 882-4000","208","Yes","Yes","http://www.mmcc.org",,"Open to all taxpayers.","""English, Spanish""","Non-CAA ITIN","""In Person, Drop Off""","Yes","Yes","Yes","Yes","Jan 25","2019-01-25T00:00:00.000","Apr 10","2019-04-10T00:00:00.000","Both",,,,,,,,,,,,,,,,,"12:00 PM","12","7:00 PM","19","11:00 AM","11","7:00 PM","19","11:00 AM","11","6:00 PM","18","11","19",,,"17","202","2027060050","BX33","1013100","0240827","40.82764281911602","-73.89575424286306",,"(40.827642819116, -73.895754242863)"
"FBNYC - 31","Active","Food Bank For New York City","Phipps Opportunity Center At Melrose","3125","3rd Avenue",,"Bronx",,,"""3125 3rd Avenue, Bronx NY, 10451""","(646) 891-6111",,"Yes","Yes","http://www.foodbanknyc.org/taxhelp",,"""For all filers: Income below $55,000.""","""English, Spanish""","None","Assisted Self-Preparation","No","No","No","Yes","Jan 28","2019-01-28T00:00:00.000","Apr 15","2019-04-15T00:00:00.000","Walk-in Only",,,,,"12:00 PM","12","7:00 PM","19","12:00 PM","12","7:00 PM","19","12:00 PM","12","7:00 PM","19",,,,,,,,,,,,,"12","19",,,"17","201","2023800051","BX34","1008640","0238751","40.82195823377828","-73.91187741258507",,"(40.821958233778, -73.911877412585)"
"AARPMN - 20","Active","AARP Tax Aide","Penn South Senior Center","290","Ninth Avenue",,"Manhattan",,,"""290 Ninth Avenue, Manhattan NY, 10001""","(212) 243-3670",,"Yes","Yes",,,"""Open to all taxpayers, with special attention to those 60 and older.""","""English, Spanish""","None","In Person","Yes","Yes","Yes","Yes","Jan 31","2019-01-31T00:00:00.000","Apr 11","2019-04-11T00:00:00.000","Appointment Only",,,,,,,,,,,,,"9:30 AM","9.5","1:30 PM","13.5",,,,,,,,,,,,,"9.5","13.5",,,"03","104","1007510001","MN13","0984376","0212130","40.74892436816067","-73.99954525332757",,"(40.748924368161, -73.999545253328)"
"FBNYC - 10","Active","Food Bank For New York City","NYCHA Bedford Stuyvesant Restoration Corporation- Fulton","1368","Fulton Street",,"Brooklyn",,,"""1368 Fulton Street, Brooklyn NY, 11216""","(718) 636-6912",,"No","No","http://www.foodbanknyc.org/taxhelp",,"""For all filers: Income below $55,000.""","English","Non-CAA ITIN","Drop Off","Yes","Yes","No","Yes","Jan 28","2019-01-28T00:00:00.000","Apr 10","2019-04-10T00:00:00.000","Appointment Only","10:00 AM","10","5:00 PM","17","10:00 AM","10","5:00 PM","17","10:00 AM","10","5:00 PM","17","10:00 AM","10","5:00 PM","17","10:00 AM","10","5:00 PM","17",,,,,,,,,"10","17",,,"36","303","3018620014","BK61","0999306","0187087","40.680174516304774","-73.9457173974154",,"(40.680174516305, -73.945717397415)"
"AARPMN - 10","Active","AARP Tax Aide","George Bruce Branch Library","516","West 125th Street",,"Manhattan",,,"""516 West 125th Street, Manhattan NY, 10027""","(212) 662-9727",,"Yes","Yes",,,"""Open to all taxpayers, with special attention to those 60 and older.""","""English, Spanish""","None","In Person","Yes","Yes","Yes","Yes","Feb 1","2019-02-01T00:00:00.000","Apr 12","2019-04-12T00:00:00.000","Walk-in Only",,,,,,,,,,,,,,,,,"10:30 AM","10.5","2:30 PM","14.5",,,,,,,,,"10.5","14.5",,"""First come, first served.  We will stop accepting taxpayers when we have reached capacity""","07","109",,"MN09","0996267","0235748","40.81374134192726","-73.95658719750156",,"(40.813741341927, -73.956587197502)"
"UU - 9","Active","Food Bank For New York City","""Fort GreeneÿCouncil, Inc""","961","Ocean Avenue","Lower Level","Brooklyn",,,"""961 Ocean Avenue, Brooklyn NY, 11226""","(347) 435-3287",,"Yes","Yes","http://www.foodbanknyc.org/taxhelp",,"""For all filers: Income below $55,000.""","English","Non-CAA ITIN","Drop Off","Yes","Yes","No","Yes","Jan 28","2019-01-28T00:00:00.000","Apr 10","2019-04-10T00:00:00.000","Both","8:00 AM","8","3:00 PM","15","8:00 AM","8","3:00 PM","15","8:00 AM","8","3:00 PM","15","8:00 AM","8","3:00 PM","15","8:00 AM","8","3:00 PM","15",,,,,,,,,"8","15",,,"40","314","3052060062","BK42","0995663","0172044","40.638890244516816","-73.95887725593367",,"(40.638890244517, -73.958877255934)"
"FBNYC - 41","Active","Food Bank For New York City","The Rockaway Development & Revitalization Corporation","1920","Mott Avenue",,"Queens","Far Rockaway",,"""1920 Mott Avenue, Queens NY, 11691""","(718) 327-5300",,"Yes","Yes","http://www.foodbanknyc.org/taxhelp",,"""For all filers: Income below $55,000.""","""English, Spanish""","Non-CAA ITIN","Drop Off","Yes","Yes","No","Yes","Jan 28","2019-01-28T00:00:00.000","Apr 15","2019-04-15T00:00:00.000","Both",,,,,,,,,,,,,"10:00 AM","10","4:00 PM","16","10:00 AM","10","4:00 PM","16",,,,,,,,,"10","16",,,"31","414","4155590012","QN15","1053046","0159390","40.60389797077937","-73.75224733182567",,"(40.603897970779, -73.752247331826)"
"ARIVA - 20","Active","Ariva","Melrose Library","910","Morris Avenue",,"Bronx",,,"""910 Morris Avenue , Bronx NY, 10451""",,,"Yes","Yes","https://ariva.org",,"""Individuals without dependents: $30,000, Families with dependents: $55,000""","English","Non-CAA ITIN","In Person","Yes","Yes","No","Yes","Feb 1","2019-02-01T00:00:00.000","Apr 12","2019-04-12T00:00:00.000","Walk-in Only",,,,,,,,,,,,,,,,,"10:00 AM","10","3:00 PM","15",,,,,,,,,"10","15",,,"17","204","2024220001","BX14","1006980","0240449","40.826623187271245","-73.91786934009829",,"(40.826623187271, -73.917869340098)"
"AARPMN - 22","Active","AARP Tax Aide","RAIN Gunhill Senior Center","3377","White Plains Road","1st Floor","Bronx",,,"""192 Madison Avenue, Manhattan NY, 10016""","(718) 881-5589",,"Yes","Yes","http://www.aarp.org/taxaide",,"""Open to all taxpayers, with special attention to those 60 and older.""","""English, Spanish""","None","In Person","Yes","Yes","Yes","Yes","Feb 1","2019-02-01T00:00:00.000","Apr 12","2019-04-12T00:00:00.000","Walk-in Only",,,,,,,,,,,,,,,,,"10:00 AM","10","2:00 PM","14",,,,,,,,,"10","14",,"Preferred Income limit: $60K","12","212","2046240037","BX44","1021015","0258045","40.87487166904558","-73.86706003035614",,"(40.874871669046, -73.867060030356)"
"UU - 2","Active","Food Bank For New York City","Food Bank For New York City - Tax and Finance Center","71","St. Nicholas Avenue",,"Manhattan",,,"""71 St. Nicholas Avenue, Manhattan NY, 10026""","(646) 981-6111",,"Yes","Yes","http://www.foodbanknyc.org/taxhelp",,"""Individuals without dependents: $30,000, Families with dependents: $55,000""","""English, Spanish""","Certified Acceptance Agent","""In Person, Assisted Self-Preparation""","Yes","Yes","No","Yes","Jan 28","2019-01-28T00:00:00.000","Apr 15","2019-04-15T00:00:00.000","Appointment Only","10:00 AM","10","5:00 PM","17","12:00 PM","12","7:00 PM","19","12:00 PM","12","7:00 PM","19","12:00 PM","12","7:00 PM","19",,,,,"9:00 AM","9","4:00 PM","16",,,,,"9","19","Closed 2/18/2019 for President's Day","To make an appointment go to https://www.foodbanknyc.org/taxhelp.ÿ","09","110","1018230058","MN11","0997387","0231182","40.801207341032914","-73.9525500038924",,"(40.801207341033, -73.952550003892)"
"BXNHS -2","Active","Food Bank For New York City","Christian Cultural Center","716","Chester Street",,"Brooklyn",,,"""716 Chester Street, Brooklyn NY, 11212""","(917) 741-8441",,"Yes","Yes","http://www.foodbanknyc.org/taxhelp",,"""For all filers: Income below $55,000.""","English","Non-CAA ITIN","Drop Off","Yes","Yes","No","Yes","Jan 28","2019-01-28T00:00:00.000","Apr 10","2019-04-10T00:00:00.000","Both",,,,,"9:00 AM","9","1:00 PM","13",,,,,,,,,,,,,,,,,,,,,"9","13",,,"42","316","3036420040","BK81","1009879","0177462","40.653731749726205","-73.90763432699119",,"(40.653731749726, -73.907634326991)"
"FBNYC - 72","Active","Urban Upbound","Emerald Isle","59-26","Woodside Avenue","2nd Floor","Queens","Woodside",,"""59-26 Woodside Avenue, Queens NY, 11377""","(718) 784-0877","7","Yes","Yes","http://www.urbanupbound.org",,"""For all filers: Income below $66,000.""","""English, Spanish""","None","In Person","No","Yes","No","Yes","Feb 4","2019-02-04T00:00:00.000","Apr 15","2019-04-15T00:00:00.000","Appointment Only","10:00 AM","10","4:00 PM","16",,,,,"10:00 AM","10","4:00 PM","16",,,,,,,,,,,,,,,,,"10","16","Closed 2/18/19 for President's Day",,"26","402","4013310054","QN63","1010514","0210821","40.74529249153288","-73.90521573141751",,"(40.745292491533, -73.905215731418)"
"MMCC - 1","Active","Food Bank For New York City","Center For Employment Opportuity","50","Broadway","Suite1604","Manhattan",,,"""50 Broadway, Manhattan NY, 10004""","(212) 422-4430","2190 or 2114","No","No","http://www.foodbanknyc.org/taxhelp",,"""For all filers: Income below $55,000.""","English","Non-CAA ITIN","Drop Off","Yes","Yes","No","Yes","Jan 28","2019-01-28T00:00:00.000","Apr 15","2019-04-15T00:00:00.000","Both","9:00 AM","9","5:00 PM","17","9:00 AM","9","5:00 PM","17","9:00 AM","9","5:00 PM","17","9:00 AM","9","5:00 PM","17","9:00 AM","9","5:00 PM","17",,,,,,,,,"9","17",,"Organization members only","01","101","1000220024","MN25","0980712","0196655","40.70644855960819","-74.01276086158806",,"(40.706448559608, -74.012760861588)"
"UU - 8","Active","Food Bank For New York City","Food Bank For New York City - Virtual Prep - South Harlem","252","West 116th Street","2nd Floor","Manhattan",,,"""252 West 116th Street , Manhattan NY, 10026""","(646) 981-6111",,"No","No","http://www.foodbanknyc.org/taxhelp",,"""For all filers: Income below $55,000.""","""English, Spanish, Cantonese, Mandarin, Russian, Korean, French""","Non-CAA ITIN","Drop Off","Yes","Yes","No","Yes","Jan 28","2019-01-28T00:00:00.000","Apr 10","2019-04-10T00:00:00.000","Walk-in Only","9:00 AM","9","7:00 PM","19","9:00 AM","9","7:00 PM","19","9:00 AM","9","7:00 PM","19","9:00 AM","9","7:00 PM","19","9:00 AM","9","7:00 PM","19","9:00 AM","9","7:00 PM","19",,,,,"9","19","Closed 2/18/2019 for President's Day","Not A public site.","09","110","1018310060","MN11","0996760","0232264","40.80417804387952","-73.95481267099875",,"(40.80417804388, -73.954812670999)"
"FBNYC - 36","Active","Food Bank For New York City","Southside United HDFC - Los Sures","145","South 3rd Street",,"Brooklyn",,,"""145 South 3rd Street, Brooklyn NY, 11211""","(719) 599-1940",,"No","No","http://www.foodbanknyc.org/taxhelp",,"""For all filers: Income below $55,000.""","""English, Spanish""","Non-CAA ITIN","Drop Off","Yes","Yes","No","Yes","Jan 28","2019-01-28T00:00:00.000","Apr 10","2019-04-10T00:00:00.000","Walk-in Only","1:30 PM","13.5","4:30 PM","16.5","1:30 PM","13.5","4:30 PM","16.5",,,,,"11:00 AM","11","6:30 PM","18.5",,,,,,,,,,,,,"11","18.5",,,"34","301","3024180040","BK73","0994828","0198781","40.71227830964287","-73.9618439221166",,"(40.712278309643, -73.961843922117)"
"GB - 8","Active","Chhaya CDC","Chhaya CDC-Jackson Heights","3743","77th Street","2nd Floor","Queens","Jackson Heights",,"""3743 77th Street, Queens NY, 11372""","(718) 478-3848",,"Yes","Yes","http://www.chhayacdc.org",,"Open to all taxpayers.","""English, Spanish, Bengali, Hindi, Nepali, Tibetan, Urdu, Punjabi""","None","In Person","No","No","No","Yes","Jan 28","2019-01-28T00:00:00.000","Apr 10","2019-04-10T00:00:00.000","Appointment Only",,,,,,,,,"10:00 AM","10","5:00 PM","17","10:00 AM","10","5:00 PM","17",,,,,"10:00 AM","10","5:00 PM","17",,,,,"10","17","Closed 2/18/19 for Presidents Day",,"25","403","4012880059","QN28","1015054","0211810","40.747992397168865","-73.88882679132394",,"(40.747992397169, -73.888826791324)"
"CCHAYA - 1","Inactive","Ariva","Workforce Housing","1380","University Avenue",,"Bronx",,,"""1380 University Avenue , Bronx NY, 10453""","(646) 564-3799",,"Yes","Yes","https://ariva.org",,"""Individuals without dependents: $30,000, Families with dependents: $55,000""","""English, Spanish""","None","In Person","No","No","No","Yes","Mar 30","2019-03-30T00:00:00.000","Mar 30","2019-03-30T00:00:00.000","Appointment Only",,,,,,,,,,,,,,,,,,,,,,,,,"10:00 AM","10","4:00 PM","16","10","16",,,"16","204","2025340008","BX26","1004745","0246204","40.84242446457333","-73.92592751204384",,"(40.842424464573, -73.925927512044)"
"FBNYC - 16","Active","Food Bank For New York City","NYCHA Brooklyn Community Services  Carey Gardens Conerstone","2315","Surf Avenue",,"Brooklyn",,,"""2315 Surf Avenue , Brooklyn NY, 11224""","(718) 758-5068",,"Yes","Yes","http://www.foodbanknyc.org/taxhelp",,"""For all filers: Income below $55,000.""","""English, Spanish""","Non-CAA ITIN","Drop Off","Yes","Yes","No","Yes","Jan 28","2019-01-28T00:00:00.000","Apr 10","2019-04-10T00:00:00.000","Both",,,,,,,,,"6:00 PM","18","9:00 PM","21","6:00 PM","18","9:00 PM","21",,,,,"12:00 PM","12","4:00 PM","16",,,,,"12","21",,,"47","313","3070560014","BK21","0987062","0148385","40.573958035343324","-73.98987779381511",,"(40.573958035343, -73.989877793815)"
"FBNYC - 12","Active","Food Bank For New York City","NYCHA Breukelen Cornerstone Community Center (Police Athletic League)","715","East 105th Street",,"Brooklyn",,,"""715 East 105th Street , Brooklyn NY, 11226""","(718) 257-0152",,"Yes","Yes","http://www.foodbanknyc.org/taxhelp",,"""For all filers: Income below $55,000.""","English","Non-CAA ITIN","Drop Off","Yes","Yes","No","Yes","Jan 28","2019-01-28T00:00:00.000","Apr 10","2019-04-10T00:00:00.000","Appointment Only",,,,,"6:00 PM","18","8:00 PM","20",,,,,"6:00 PM","18","8:00 PM","20",,,,,"11:00 AM","11","4:00 PM","16",,,,,"11","20",,,"42","318","3081930001","BK50","1013108","0175644","40.6487318045714","-73.89600495640182",,"(40.648731804571, -73.896004956402)"
"GB - 1","Active","Chhaya CDC","Chhaya CDC-Richmond Hill","121-18","Liberty Ave","2nd Floor","Queens","Richmond Hill",,"""121-18 Liberty Ave, Queens NY, 11418""","(718) 478-3848",,"Yes","Yes","http://www.chhayacdc.org",,"Open to all taxpayers.","""English, Spanish, Hindi, Punjabi""","None","In Person","No","No","No","Yes","Jan 28","2019-01-28T00:00:00.000","Apr 10","2019-04-10T00:00:00.000","Appointment Only","10:00 AM","10","5:00 PM","17","10:00 AM","10","5:00 PM","17",,,,,,,,,"10:00 AM","10","5:00 PM","17",,,,,,,,,"10","17","Closed 2/18/19 for Presidents Day",,"28","410","4095750009","QN55","1033600","0189636","40.68704616404193","-73.82205604599919",,"(40.687046164042, -73.822056045999)"
"UU - 16","Active","Food Bank For New York City","Family Life Development Center","1476","Bedford Avenue","1st Floor","Brooklyn",,,"""1476 Bedford Avenue, Brooklyn NY, 11216""","(718) 636-4938",,"Yes","Yes","http://www.foodbanknyc.org/taxhelp",,"""For all filers: Income below $55,000.""","English","Non-CAA ITIN","Drop Off","Yes","Yes","No","Yes","Jan 28","2019-01-28T00:00:00.000","Apr 10","2019-04-10T00:00:00.000","Appointment Only",,,,,,,,,,,"8:00 PM","20",,,,,,,"8:00 PM","20","11:00 AM","11","3:00 PM","15",,,,,"11","20",,,"35","308","3012380044","BK61","0996932","0184431","40.67288811617305","-73.95428156585479",,"(40.672888116173, -73.954281565855)"
"PREP-BX","Active","Urban Upbound","Woori American Bank","164-25","Northern Boulevard",,"Queens","Flushing",,"""164-25 Northern Boulevard, Queens NY, 11358""","(718) 784-0877","7","Yes","Yes","http://www.urbanupbound.org",,"""For all filers: Income below $66,000.""","English","None","In Person","No","No","No","Yes","Feb 7","2019-02-07T00:00:00.000","Apr 11","2019-04-11T00:00:00.000","Appointment Only",,,,,,,,,,,,,"10:00 AM","10","4:00 PM","16",,,,,,,,,,,,,"10","16",,,"19","407","4053390001","QN51","1039166","0216458","40.76063307734739","-73.80176762270035",,"(40.760633077347, -73.8017676227)"
