"ceqr","project_name","project_description","borough","lead_agency","url"
"08DME002M","Puerto Rico Traveling Theater Company-Transfer of Unused Development Rights","The disposition of the unused development rights of Block/Lot 1037/37. The proposed blding will be 31 stories in hgt and contain approx. 573 hotel rooms, on residential unit, 10,000 sq ft of ground floor retail and below grade parking for 86 vehicles.","Manhattan","Deputy Mayor for Housing and Economic Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/5826-08DME002M"
"01BSA007Q","144-43 Farmers Boulevard","Request for a new one story building for use as a store with an accessory parking lot for seven cars","Queens","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/2715-01BSA007Q"
"01BSA103M","328 Spring Street aka 289-495 Washington Street","The construction of a 26 story, mixed use residential structure containing a community facility","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/2839-01BSA103M"
"01BSA098K","618 Dean Street","Conversion of a vacant manufacturing building located in an M1-1 zoning district, to residential occupancy","Brooklyn","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/2836-01BSA098K"
"12TLC046K","Kings Plaza Car & Limo. Inc.","To relocate a livery car service to 5100 Avenue Avenue U, Brooklyn, N.Y. 11234; both the dispatch office and the off-street parking area will be located at that address.","Brooklyn","Taxi and Limousine Commission","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/8928-12TLC046K"
"13DCP022R","Medical Facility","The applicant, Richmond Valley Professional Plaza, LLC, is seeking an Authorization pursuant to ZR Section 107-64, concerning removal of trees, and ZR Section 107-65, concerning modification of topography, and a Certification pursuant to ZR Section 36-592, concerning cross-access connections.  The proposed action would facilitate a proposal by the applicant to construct a two-story medical building with 7,485 square feet of zoning floor area and 25 accessory parking spaces.","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9088-13DCP022R"
"01BSA160X","505 East 188th Street","The reinstatement of an expired variance for an attended open parking lot","Bronx","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/2912-01BSA160X"
"98DCP028X","Lafayette Avenue Drop In Center",,"Bronx","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/2070-98DCP028X"
"13DEP014U","Kensico Salvage Foreset Management Project","The proposed Kensico Salvage Forest Management Project is an emergency clean-up and salvage project on approximately 45 acres of City-owned watershed forest land at four sites around the Kensico Reservoir designed in response to significant damage caused by Hurricane Sandy.  The objectives of the project are to remove storm debris from the sites, to remove remaining trees destabilized by damage to adjacent trees, and to restore forest cover on cleared sites as quickly as possible.  Implementation of the project will improve aesthetics, reduce safety hazards, and help to stabilize soils and restore water quality protection.  No new construction or change of land use is proposed in the project area.  The project must be accomplished this winter so that forest re-establishment can begin as soon as possible.  In order to take advantage of the coldest conditions of the year when soils are most likely to be frozen, the targeted start date for the project is the first week of January 2013.","Upstate","Department of Environmental Protection","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9219-13DEP014U"
"11DOT007X","Bus Stops Under Elevated Train Tracks","NYCDOT has initiated a program to improve pedestrian and vehicular safety and circulation at 21 bus stop locations located underneath elevated train lines.  Buses are unable to access the curb because the elevated transit structure's columns prevent lane changiing and pedestrians must wait, load and unload from the bus in the roadbed. NYCDOT wil construct new bus bulbs at these bus stops that will create a seamless pedestrian path from the sidewalk and subway station entrance to the bus stop. Providing bus bulbs will improve customer safety and convenience and achieve ADA compliance as well as enhance bus operations by improving their ability to navigate through traffic despite the columns.","Bronx","Department of Transportation","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/7474-11DOT007X"
"04BSA017M","Physical Culture Establishment","Pursuant to Sec 72-21 of the ZR to permit operation of a physical culture establishment in an existing commercial blding in a C1-5 (R7-2) district zoning.","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/3801-04BSA017M"
"11BSA001M","163 West 78th Street","Variance to permit  the construction of a 930 sf penthouse play space on top of the recently acquired and renovated school building.","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/7255-11BSA001M"
"19BSA055Q","128 	Beach 9th Street","Variance (§72-21) to permit the development of a 17-story, mixed-use, community facility and residential building on a waterfront lot contrary to ZR §62-322 (Floor Area and Floor Area Ratio (FAR)); ZR §62-341 (Maximum Base Height and Building Height); ZR §62-341(a)(2) (Setbacks) and ZR §§25-23 & 25-31(parking). R6 zoning district.","Queens","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/14102-19BSA055Q"
"09DCP084Q","Halletts Point","The project sponsor is requesting that the site be rezoned to R7-3 residential with a C2-4 commercial overlay (from its present M1-1 zone), which would enable the construction of a residential large scale development (LSGD) with ground-floor local retail (including a supermarket), accessory parking, and open space.","Queens","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/7526-09DCP084Q"
"04HPD021K","Skillman Street Homes, New Foundations Round 2A","A total of 8 homes and 8 parking space with a parking space assigned to each home.","Brooklyn","Department of Housing Preservation & Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/4055-04HPD021K"
"05BSA070R","Teitz Estates","Pursuant to Sec 72-21 to construct a one story cellar (Retail & Offices) Use Group 6 development located within a R3-2 (HS) zoning district.","Staten Island","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/4447-05BSA070R"
"00DCP063R","Hylan Boulevard Rezoning","Zoning map amendment from R3-1 to C2-2 - supersedes 96DCP052R","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/2823-00DCP063R"
"04BSA071R","Omnipoint Propsed Stealth Flag Pole","Special Permit for hgt of the proposed 82 ft stealth flag pole monopole and authorization for minor topographic modification from CPC. Special Permit for  use of the structure as a radio tower from BSA. NYS Cemetery Board approval for alteration of a cem.","Staten Island","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/3897-04BSA071R"
"94BSA011R","Colonial Funeral Home","Expansion of an Existing Funeral Parlor","Staten Island","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/534-94BSA011R"
"01BSA025K","2761 Plumb 2nd Street","The re-establishment of an expired special permit. Previously granted (733-86-BZ), which permitted an eating and drinking establishment with incidental music.","Brooklyn","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/5389-01BSA025K"
"00DEP029M","City Water Tunnel No. 1, Shaft 21","Reconstruction of the water supply shaft 21","Manhattan","Department of Environmental Protection","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/2705-00DEP029M"
"16DCP107M","338 West 39th Street","The Applicant, 338 West 39th Street LLC, is requesting a Chairperson Certification pursuant to Z.R. Section 93-31 'District Improvement Fund Bonus'. The requested action would facilitate a proposal by the Applicant to develop a 25 story hotel (Use Group 5) on the applicant owned property (Block 762, Lot 61) by increasing the allowable FAR from 10.0 to 12.0.","Manhattan","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/11917-16DCP107M"
"19DOS005Q","Queens 7/7A Parking Lot Annex","DSNY proposes to acquire an approximately 37,590 sq. ft. parcel in the College Point neighborhood of Queens for use to store vehicles as overflow parking for the Queens District 7/7A Garage across the street.  DSNY has occupied the site since 2015 under a license agreement to alleviate parking demand from Mayoral Executive Order 161 of 2012 on fleet consolidation whereby the Queens 7 Garage also services some other agency vehicles from the vicinity, notably Departments of Parks & Recreation and Environmental Protection.  DSNY would store approximately 16-24 collection trucks, and condemned DSNY vehicles pending relinquishment.  The site is paved; no construction is proposed.","Queens","Department of Sanitation","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/14016-19DOS005Q"
"19BSA093K","235 Beaumont Street","Special Permit (§73-622) to permit the enlargement of an existing single-family home, contrary to floor area requirements (ZR §23-142).  R3-1 zoning district.","Brooklyn","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/14311-19BSA093K"
"01BSA017M","603 Greenwich Street","The request for a proposal residential use of floor 3-5, plus the addition of a partial penthouse, in a former 5 story mini-storage facility, located in an M1-5 zoning district","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/5477-01BSA017M"
"01BSA030R","Hylan Boulevard & William Avenue","The request for a proposed erection of a five story community facility","Staten Island","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/2751-01BSA030R"
"17DEP052U","Replacement of Windows and Doors at Hudson River Pumping Station","The New York City Department of Environmental Protections (NYCDEP) Bureau of Environmental Planning and Analysis (BEPA) has reviewed the proposed project to replace the windows and doors at Hudson River Pumping Station located at 199 River Road North, Wappingers Falls, Town of Chelsea, Dutchess County, New York. The project would include the replacement of various windows, associated glazing, vision panels and roll-up door slats at the above-referenced location. The proposed work would begin in July 2017.","Upstate","Department of Environmental Protection","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/12928-17DEP052U"
"12TLC039Q","M & H Car & Limousine Corp.","To relocate the dispatch office of M & H CSC to 69-08 Woodside Avenue, Queens, N.Y. 11377; the off-street parking location will remain at 71-17 Roosevelt Avenue, Queens, N.Y. 11372.","Queens","Taxi and Limousine Commission","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/8755-12TLC039Q"
"01BPX001X","Burke Avenue Discontinuance and Closing","Elimination, discontinuance, and closing of Burke Avenue","Bronx","Office of the Bronx Borough President","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/2824-01BPX001X"
"01BSA024K","640/666 Conduit Boulevard","An erection of a five story community facility","Brooklyn","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/2739-01BSA024K"
"19BSA034M","32	 West 18th Street","Special Permit (§73-36) to permit the operation of a Physical Cultural Establishment (CorePower Yoga) to be located on portion of first floor of an existing mixed-use building contrary to ZR §32-10.  C8-4A  Ladies Mile Historic District.","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/14081-19BSA034M"
"17HPD070X","569-575 Prospect Avenue","This proposal involves a request from the project sponsor, VALDESIA Gardens, LLC, for construction financing from HPD to facilitate the development of a new affordable housing building in the Mott Haven East section of the Bronx, Community District 1. The proposed project would be developed through HPDs Neighborhood Construction Program (NCP). The project site is located at 569 and 575 Prospect Avenue, the northeast tax lots on Block 2674 bounded by East 150th Street and Prospect Avenue. The project site measures approximately 10,000 square feet in area and currently is vacant. Under the proposal, the site would be developed with a new seven-story mixed-use residential building containing approximately 44 units of affordable housing (plus one superintendent unit for a total of 45 units), and 13 accessory parking spaces. Of the 44 affordable units, 16 units would be available to households earning up to 70% of the Area Median Income (AMI), and 28 would be available to households earning up to 90% of the AMI.","Bronx","Department of Housing Preservation & Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/12770-17HPD070X"
"19HPD026M","1871 Adam Clayton Powell Boulevard","The Department of Housing Preservation and Development, through its HUD Multifamily Program, is seeking approval of an Article XI tax exemption pursuant to Section 577 of the Private Housing Finance Law (PHFL). The requested action would facilitate the continued preservation of 60 existing units at the property.","Manhattan","Department of Housing Preservation & Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/13917-19HPD026M"
"11TLC034K","Morenita Express Car Service Inc.","Establishment of a new livery car service with the proposed base location at 3921 Fifth Avenue Brooklyn NY 11232 and the proposed off-street parking location at 4001 Fourth Avenue, Brooklyn, NY 11232.","Brooklyn","Taxi and Limousine Commission","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/7757-11TLC034K"
"92-004R","1911 Richmond Avenue","A proposed BSA application under Section 72-21 of the Zoning Resolution to permit the change in use of an existing one story and cellar medical office building in an R3-2 District to general offices.","Staten Island","NYC Departments of Environmental Protection and City Planning (co-lead)","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/105-92-004R"
"08DME010X","Broadway Plaza","A single 3 story, approximately 167,700 sq ft retail blding. Up to 168 accessory parking spaces would be on the ground floor. The proposed project is expected to be constructed and operational by 2011.","Bronx","Deputy Mayor for Housing and Economic Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/6415-08DME010X"
"07DEP069U","Murphy Hill 2 Forest Management Project","The NYCDEP is proposing to selectively harvest timber from approximately 100 acres of land on City-owned watershed land in the Murphy Hill Recreation Unit,  in the Pepacton Basin, Town of Colchester, Delaware County. This proposed silvicultural action, known as Murphy Hill 2 Forest Management Project, is part  of a long-term forest management strategy to promote diverse species composition and younger age-classes, diversifying the watershed forest structure  and protecting long-term water quality.","Upstate","Department of Environmental Protection","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/5860-07DEP069U"
"07DEP059Q","Springfield Gardens Sewer Project Phase D","To construct a new storm sewer in a portion of Springfield Gardens with natural drainage structures in Springfield and Idlewild Parks. NYCDEP is also proposing roadway construction and reconstruction along Springfield Boulevard. And in local streets.","Queens","Department of Environmental Protection","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/6734-07DEP059Q"
"15DCP188M","2 Rector Street","The Applciant, 2 Rector Street (NY), LLC is requesting a  Chair Certification pusuant to Z.R. Section 15-30(b) (Minor Modifications). The requested Certification would facilitate a proposal by the Applicant to convert a 26-story mixed use building into residential use, with a total of 452 residential units. The proposed development would also include approximately 1,243 square feet of open space within the mezanine rooftop area.","Manhattan","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/11322-15DCP188M"
"20BSA082Q","136-18 	Maple Avenue","Special Permit (§73-66) to permit the construction of a new building in excess of the height limits established under ZR 61-21. C1-2/R6 and R6 zoning district.","Queens","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/15090-20BSA082Q"
"07DHS003Q","El Camino Inn Family Residence","DHS will enter into contract with St Christopher-Ottilie Family of Services (SCO) to provide social services for up to 144 families at 160-11 89th Avenue. The facility is currently occupied and is opening under a license agreement between DHS and SCO","Queens","Department of Homeless Services","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/5891-07DHS003Q"
"16BSA060K","399 Knickerbocker Avenue, Brooklyn","Special Permit (§73-36) to permit a physical culture establishment (Blink) within a portion of an existing commercial building. C4-3 zoning district.","Brooklyn","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/11952-16BSA060K"
"13BSA162R","20 Dea Court","Special Permit (§73-125) to permit a ambulatory diagnostic or treatment health care facility contrary to §22-14.  R3-1 zoning district.","Staten Island","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9757-13BSA162R"
"22HPD061M","Stella and Heights PLP FY22","PLP preservation Project for 83 units.","Manhattan","Department of Housing Preservation & Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/16207-22HPD061M"
"15TLC028K","GTA Car & Limo Service LLC.","Relocation of a livery car service. The proposed dispatch office location is at 1984 73rd Street, Brooklyn, N.Y. 11204. The proposed location for the off-street parking area is at 927 65th Street, Brooklyn, N.Y. 11219.","Brooklyn","Taxi and Limousine Commission","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/10884-15TLC028K"
"11BSA071M","291 Broadway","Special Permit (73-36) to legalize the operation of an existing physical culture establishment on  the cellar level in an existing 19-story commercial building.","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/7800-11BSA071M"
"19BSA024Q","251-77 	Jericho Turnpike","Special Permit (§73-44) to permit a reduction in the required parking spaces for an ambulatory diagnostic or treatment facility with an PRC-B1 parking category contrary to ZR §36-21.  C8-1/R2A zoning district.","Queens","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/14071-19BSA024Q"
"15DCP111M","537-545 West 37th Street","The Applicant, Panoramic Hudson LLC is requesting four City Planning Commission Certifications pursuant to Section 93-122 (Certification for residential use in Subdistricts A, B and E),  Section 93-31 (District Improvement Fund Bonus),  Section 93-34 (Distribution of Floor Area in the Large-Scale Plan Subdistrict A), and Section 93-821 (Permitted parking when the reservoir surplus is greater than or equal to zero). The requested Certifications would facilitate a proposal by the applicant to develop a 28-story residential building fronting West 37th Street and a 43-story hotel building fronting West 38th Street.","Manhattan","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/11042-15DCP111M"
"07DME007M","Western Rail Yard Rights-CREATED IN ERROR","CREATED IN ERROR SEE 09DCP007M","Manhattan","Deputy Mayor for Housing and Economic Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/5146-07DME007M"
"12DEP022U","Dancing Rock Forest Management Project","A proposed timber salvage/silvicultural project on NYC-owned watershed land in the Town of Olive, Ulster County, NY.  The project would involve less than 10 acres of land acquired pursuant to the Watershed Memorandum of Agreement in 1998.  The land is located within the Dancing Rock subdivision, Dancing Rock Road, off NYS Rt. 28 between Shokan and Boiceville.","Upstate","Department of Environmental Protection","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/8123-12DEP022U"
"07DME011K","167 Johnson Street LLC","Proposed to construct a new 40 story, 325,000 gsf building of residential condos with 18,000 sf of parking on its 167 Johnson site.","Brooklyn","Deputy Mayor for Housing and Economic Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/5592-07DME011K"
"17BSA133M","47 Greene Street","Variance (§72-21) to permit the legalization of retail (Use Group 6) on the cellar and ground floors of an existing building contrary to ZR §42-14(D)(2)(b).  M1-5B (SoHo Cast Iron Historic District)","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/12979-17BSA133M"
"21DEP032R","Mayflower Avenue Pumping Station Upgrade","Convert the facility into a wet pit submersible pump station, including reconfiguring the existing wet well. Upgrade to maintain a state of good repair. Ensure reliable, efficient, resilient, sustainable, low-maintenance, and safe operation. Build new parallel Force Main.","Staten Island","Department of Environmental Protection","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/15499-21DEP032R"
"18DHS020X","885 East 149th Street","The project consists of a 40.542 square feet of that contains a two story 24,780 square foot building and a one story 14,000 square foot building. The space will be renovated to meet the program's operation need and the length of stay at this location is subject to the lease terms.","Bronx","Department of Homeless Services","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/13795-18DHS020X"
"08DME008K","Sunset Marketplace","Development of an approximately 1,930,000 sq ft mixed use commercial and industrial project, including redevelopment of an approx 1,120,000 sq ft, eight-story vacant industrial blding and construction on an adjacent block of a new 5 story retail complex.","Brooklyn","Deputy Mayor for Housing and Economic Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/5967-08DME008K"
"08DME007K","Coney Island Rezoning","The proposed actions would include zoning map and text changes, alienation and mapping of City parkland, disposition of City-owned property, street mapping and demapping, and Urban Development Action Area Program (UDAAP) designation and project approval. These actions will require approvals from the New York City Planning Commission (CPC) through the Uniform Land Use Review Procedure (ULURP), and the alienation of parkland will also require State Legislature approval. The proposed actions are described in greater detail in Attachment A, Draft Scope of Work for an Environmental Impact Statement.","Brooklyn","Deputy Mayor for Housing and Economic Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/5929-08DME007K"
"18DCP152R","230 Yetman Avenue",,"Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/13636-18DCP152R"
"12DCP101X","4510 Douglas Avenue","The applicant, Thomas Kolb, is seeking Authorizations pursuant to ZR Sections 105-421 and 105-432.  The proposed actions would facilitate a proposal by the applicant to enlarge an existing single family house located at 4510 Douglas Avenue, Bronx, Community District 8.","Bronx","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/8382-12DCP101X"
"14BSA031Q","66-31 Booth Street","Special Permit (§73-621) for the enlargement of an existing two-story, two-family home, contrary to floor area (§23-141B) regulations.  R4B zoning district.","Queens","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9932-14BSA031Q"
"13DCP045M","70 Pine Street Roof","The applicant, EBNB 70 Pine Owner LLC, is seeking a Certification pursuant to ZR Section 15-30(b) to modify the open space requirements of ZR Section 15-12.  The proposed action would facilitate a proposal by the applicant to convert a building located at 70 Pine Street from commercial use to a mixed-use commercial and residential building.","Manhattan","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9192-13DCP045M"
"19HPD080X","3240 Henry Hudson Parkway","3240 Henry Hudson Parkway East is a six-story rental elevator building located in the Riverdale section of the Bronx. The project includes 107 residential units (of which 72 units will be regulated). The project will receive an Article XI tax exemption in exchange for preserving long-term affordability. HPD will not finance any rehabilitation of the property and the only HPD action involved is a tax exemption.","Bronx","Department of Housing Preservation & Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/14227-19HPD080X"
"11DHS013M","New Broadway Family Residence",,"Manhattan","Department of Homeless Services","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/7635-11DHS013M"
"14DCP131R","Vernon Avenue","The applicant, Chris Granata, is seeking a certification pursuant to ZR Section 107-121 pertaining to school seats.  The proposed action would facilitate a proposal by the applicant to merge two zoning lots into one zoning lot to construct a one two-family home.","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/10239-14DCP131R"
"15DCP173M","Tower 49 Café","The Applicant, Kato International LLC, is proposing a Chairperson Certification pursuant to Z.R. Section 37-73 (Kiosks and Open Air Café's) . The requested Certification would facilitate a proposal by the applicant to continue operation of an existing café  (renewal under prior application N110257ZCM) on Block 1284, Lot 7.","Manhattan","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/11296-15DCP173M"
"14DPR002Q","JFK International Airport  Flight Path Obstruction Removal","PANYNJ is proposing to move mature trees in Idlewild Park based upon FAA regulations which establish the contours of the federal airspace and define the heights at which objects become obstructions.","Queens","Department of Parks and Recreation","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9774-14DPR002Q"
