"organizationname","brooklyn","bronx","manhattan","queens","staten_island","fax","phone","url","nourl","description","outsideloc","outsidelocdesc","aging","anti_discrimination_human_rights","arts_culture","business","child_care_parent_information","community_service_volunteerism","counseling_support_groups","disabilities","domestic_violence","education","employment_job_training","health","homelessness","housing","immigration","legal_services","lesbian_gay_bisexual_and_or_transgender","personal_finance_financial_education","professional_association","veterans_military_families","victim_services","women_s_groups","youth_services","faith_based_organization","foundation","is_registered_with_the_attorney_general_s_office","new_york_city_agency","none_of_the_above","nonprofit","comments","other_government_organization","published","location_1","borough","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","address1","address2","city","postcode"
"Washington Heights-Inwood Coalition","N","N","Y","N","N","2127408509","2127816722","http://www.whicoalition.org","N","The Coalition conducts community workshops about child-rearing and offers group, family, and individual counseling to parents. We also maintain tenant assistances, dispute mediation, after-school centers, other youth programs and food stamp outreach program. Most of the families we serve are Latino immigrants.","N",,"N","N","N","N","Y","N","Y","N","N","Y","N","N","N","Y","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.853696, -73.932537)","MANHATTAN","40.853696","-73.932537","12","10","271","1075520","1021670056","Washington Heights North                                                   ","652 West 187th Street",,"New York","10033"
"North General Hospital","N","N","Y","N","N",,"2124234796","http://www.northgeneral.org/index.html",,"North General Hospital is committed to quality in health care delivery, the provision of primary, secondary and select tertiary care services, the creation of a broader health care delivery system and the promotion of health and health related education. ",,,"N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"1879 Madison Ave.",,"New York",
"National Multiple Sclerosis Society","N","N","Y","N","N",,"2124637787","http://www.nationalmssociety.org/NYN",,"The New York City Chapter of the National MS Society is committed to helping the thousands of New Yorkers impacted by MS continue moving their lives forward. The chapter raises funds locally to support the Society’s critical research initiatives and to pr",,,"N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"733 Third Avenue, 3rd Floor",,"New York",
"Gamma Phi Delta Sorority, Inc. - Beta Lambda Chapter","Y","Y","Y","Y","Y",,"5168492321","http://www.gpd-newyork.org","N","Gamma Phi Delta Sorority Inc. is a sisterhood of Business and Professional Women across many industries/ disciplines that come together to promote change and advancement.  We help assist youth further their scholastic efforts through training, mentorship, and financial assistance.  Our organization encourages all of its members and affiliates to advance themselves; politically, socially, and financially.

Our national organization has several affiliations with prominent organizations throughout the African-American community.  Our National Affiliates include, but are not limited to: NCNW (National Council of Negro Women), Urban League, United Negro College Fund, and the NAACP (National Association for the Advancement of Colored People).

Our Sorority operates with the goals of our National Five Point Program M.E.E.P.S.  Each chapter around the country strives to implement programs and activities that uphold the teaching of this program.","Y","National Organization/Chapters throughout the Country","Y","N","N","Y","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N",,"Y","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,,,"Manhattan",
"Savvy Ladies","N","N","Y","N","N","6462196799","6462168988","http://www.savvyladies.org","N","Savvy Ladies is a non-profit organization dedicated to empowering women through financial education. 

The free monthly newsletters, seminars, webinars and events foster a sense of community and are designed to educate, amuse, and fulfill savvy women who want to take control of their financial future. 

SavvyLadies.org is a premier destination for women to learn about money, investing and personal growth. Savvy Ladies takes women through all facets of financial planning from starting a investment program to understanding the ins and outs of a workable budget!","N",,"N","N","N","Y","N","Y","N","N","N","Y","Y","N","N","N","N","N","N","Y","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.707671, -74.005764)","MANHATTAN","40.707671","-74.005764","1","1","1502","1001167","1000750030","Battery Park City-Lower Manhattan                                          ","111 John Street, Suite 240",,"New York","10038"
"Children for Children","N","N","Y","N","N","2128504180","2128504170","http://www.childrenforchildren.org","N","Children for Children mobilizes the energy, ingenuity and compassion of young people, beginning at an early age, to discover their power and potential to solve real world problems through volunteer opportunities and service learning programs that instill a lifelong commitment to service.","N",,"N","N","N","N","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",,"Y","N","N","N","N","N","Y",,"N","Published","(40.753979, -73.979997)","MANHATTAN","40.753979","-73.979997","5","4","94","1035347","1012770008","Midtown-Midtown South                                                      ","6 East 43rd Street, 25th Floor",,"New York","10017"
"Women's Forum Inc.","N","N","Y","N","N","2124470925","2124479107","http://www.wfnewyork.org/index_2.cfm",,"The Women's Forum is a community where pre-eminent New York women leaders of diverse achievement come together to make a difference for each other and to take an active, leadership role in matters of importance to them.",,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"6 E. 39 St. 6th Fl.",,"New York",
"YWCA of the City of New York","Y","N","Y","N","Y","2122236438","2127554500","http://www.ywcanyc.org","N","Established in 1858, the YWCA of the City of New York is one of the nationï¿½s oldest non-profit organizations. Our mission is to address the critical needs of New York City women and to empower them for success and leadership in their lives, jobs and communities. We focus on underserved families through job training, educational child care and after school programs; partnerships with business, government and other not-for-profits; and advocacy on behalf of the clients we serve.","N",,"N","N","N","N","Y","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N",,"Y","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"Family Resource Center","500 West 56th Street","New York","10019"
"Morningside Center for Teaching Social Responsibility, Inc.","N","N","Y","N","N",,"2128703318",,,"MORNINGSIDE CENTER for Teaching Social Responsibility works in public schools and communities to help teachers, students, and parents build skills, knowledge and community. Through our programs, people learn to solve conflicts nonviolently, challenge bias",,,"N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.811101, -73.964168)","MANHATTAN","40.811101","-73.964168","9","7","205","1059835","1019910001","Morningside Heights                                                        ","475 Riverside Drive, Ste. 550",,"New York","10115"
"HANAC, Inc.","Y","Y","N","Y","N","2128408384","2128408005","http://hanac.org","N","Non profit social service agency funded by city, state and federal funds providing services to youth and elderly.","N",,"Y","N","N","N","N","N","N","N","N","Y","Y","N","N","Y","Y","N","N","N","N","N","Y",,"N","N","N","N","N","N","Y",,"N","Published","(40.756087, -73.981072)","MANHATTAN","40.756087","-73.981072","5","4","96","1034242","1012610015","Midtown-Midtown South                                                      ","49 West 45 Street 4Fl.",,"New York","10036"
"Queens Pride House","N","N","N","Y","N","7184295013","7184295309","http://www.queenspridehouse.org/",,,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"76-11 37th Ave. Suite 206",,"Jackson Heights",
"New Life Child Development Corporation","Y","N","N","N","N",,"7188213432",,,,,,"N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.696412, -73.912941)","BROOKLYN ","40.696412","-73.912941","4","37","435","3076869","3033620055","Bushwick North                                                             ","295 Woodbine Street",,"Brooklyn","11237"
"West Bronx Housing & Neighborhood Resource Center","N","Y","N","N","N",,"7187980929",,,,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.875377, -73.879498)","BRONX    ","40.875377","-73.879498","7","11","423","2018126","2033420007","Norwood                                                                    ","3176 Bainbridge Avenue",,"Bronx","10467"
"Office of Financial Empowerment","Y","Y","Y","Y","Y","2124873184","2122329580","http://nyc.gov/ofe","N","The Department of Consumer Affairs' Office of Financial Empowerment (OFE) is the first local government initiative in the nation aimed expressly at educating, empowering, and protecting those with low incomes, so they can build assets and make the most of their financial resources. OFE is the first program to be implemented under the Center for Economic Opportunity as part of Mayor Bloomberg's aggressive efforts to fight poverty in New York City.","N",,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N",,"N","N","N","N","Y","N","N",,"N","Published",,,,,,,,,,,"NYC Department of Consumer Affairs","42 Broadway, 8th floor","New York","10004"
"Legal Momentum","Y","Y","Y","Y","Y",,"2129256635","http://www.legalmomentum.org","N","Founded in 1970 as NOW Legal Defense and Education Fund, Legal Momentum is the nation's oldest legal advocacy organization dedicated to advancing the rights of women and girls. Legal Momentum is a leader in establishing litigation and public policy strategies to secure equality and justice for women. Its groundbreaking work on behalf of women and girls is currently focused on freedom from violence against women, equal work and equal pay, the health of women and girls, strong families, and strong communities. Its ambitious and wide-ranging legal program is known for its cutting-edge legal theories and as a source of expert assistance to other women?s rights attorneys and organizations.

Legal Momentum occupies a unique position as a multi-issue organization dedicated solely to women?s rights. Its strategic litigation, advocacy and public education programs use the power of law to open opportunities closed to women and to ensure that all women can build safe and secure lives for themselves.","Y","Washington, D.C.","N","Y","N","Y","N","N","N","N","N","N","Y","N","N","N","Y","Y","N","N","N","N","Y",,"N","N","N","N","N","N","Y",,"N","Published","(40.729135, -74.007043)","MANHATTAN","40.729135","-74.007043","2","3","69","1010382","1006007501","West Village                                                               ","395 Hudson Street",,"New York","10014"
"New York Center for Interpersonal Development","N","N","N","N","Y",,"7188766068","http://www.nycid.org/",,"he New York Center for Interpersonal Development promotes the improvement of human relationships and the strengthening of communities as fundamental to achieving a civil society. We provide youth, community, and professional development programs, and disp",,,"N","N","Y","N","N","N","Y","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",,"Y","N","N","N","N","N","Y",,"N","Published","(40.642891, -74.076874)","STATEN IS","40.642891","-74.076874","1","49","3","5000085","5000080070","West New Brighton-New Brighton-St. George                                  ","130 Stuyvesant Place, 5th Fl.",,"Staten Island","10301"
"Young Dancers In Repertory, Inc.","Y","N","N","N","N",,"3477027155",,,,,,"N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"Y","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"PO Box 205037 Sunset Station",,"Brooklyn","11220"
"District Eight NAPFE","N","Y","Y","Y","N","2129263880","9178170763","http://www.napfe.com","N","Labor Union within in the United States Postal Service and Federal Sector","Y","Washington, DC","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",,"N","N","N","N","Y","N","N",,"Y","Published",,,,,,,,,,,"P. O. Box 749",,"Bronx","10451"
"Amvets","Y","N","N","N","N",,"7187881792","http://www.amvets-ny.com","N","For more than 60 years, we in AMVETS have taken to heart the credo of service set forth by our organizationâ€™s founding fathers. In so doing, we endeavor to provide our fellow veterans with the type of support they truly deserve. This outreach effort takes many forms, from the professional advice our service officers offer on earned veterans benefits to our legislative efforts on Capitol Hill to the work done by our hospital volunteers. Other AMVETS members involve themselves in a range of initiatives aimed at contributing to the quality of life in their local communities. 

These two areasâ€”veterans service and community serviceâ€”drive the commitment we have to make a difference in the lives of others. The pages of this website provide more detailed information on each area, as well as a wealth of information for veterans, their families and other interested citizens. Please take a few minutes to review what makes AMVETS the distinctive organization it is. Our aim of building for a better America is an undertaking to which all can contribute.","N",,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.683555, -74.002708)","BROOKLYN ","40.683555","-74.002708","6","39","51","3004465","3003420045","Carroll Gardens-Columbia Street-Red Hook                                   ","103 President Street",,"Brooklyn","11231"
"United Community Day Care Center, Inc","Y","N","N","N","N",,"7183851201",,,,,,"N","N","N","N","Y","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.664728, -73.886561)","BROOKLYN ","40.664728","-73.886561","5","42","1124","3090717","3040890025","East New York                                                              ","613 New Lots Avenue",,"Brooklyn","11207"
"National Latina Institute for Reproductive Health","Y","Y","Y","Y","Y","2124222556","2124222553","http://www.latinainstitute.org","N","The mission of NLIRH is to ensure the fundamental human right to reproductive health and justice for Latinas, their families and their communities through public education, community mobilization and policy advocacy.","Y","1634 Eye Street, NW Suite 1001 , Washington DC ","N","Y","N","N","N","N","N","N","N","N","N","Y","N","N","Y","N","Y","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"50 Broad Street - Suite 1825",,"New York","10004"
"Beth Israel Rape Crisis and Domestic Violence Intervention Program","N","N","Y","N","N","2124202012","2124204516",,"Y","Provides counseling to individuals who have experienced trauma from sexual assualt, childhood sexual abuse, or intimate partner violence. Services are free and confidential. Program operates an anonymous helpline for Orthodox survivors of rape and incest.","N",,"N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"16th Street and First Avenue",,"New York","10003"
"TOP Development Corporation","Y","N","N","N","N","7184515524","7184511020","http://www.topdevelopment.org","N","TOP DEVELOPMENT CORPORATION
""Working to build the Community for the New Millennium""

TOP Development is a non-profit organization that is committed to assisting individuals and families to improve their lives and strengthen their communities.  

We are committed to implementing programs, providing services and resources that will uplift, empower, motivate and equipped individuals to improve their quality of life.

For further information about our services and or workshop dates please contact us.","N",,"Y","N","N","N","N","Y","Y","N","Y","Y","Y","Y","N","N","Y","Y","N","N","Y","N","N",,"Y","N","N","N","N","N","Y",,"N","Published","(40.641355, -73.929282)","BROOKLYN ","40.641355","-73.929282","17","45","840","3106175","3047800015","East Flatbush-Farragut                                                     ","1274 Utica Avenue",,"Brooklyn","11203"
"Kiwanis International","N","N","N","Y","N","7188680229","7188680229","http://www.kiwanis.org/",,"Kiwanis is a global organization of volunteers dedicated to changing the world, one child and one community at a time.",,,"N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"2324 Healy Ave",,"Far Rockaway",
"OPUS Dance Theatre and Community Services Inc.","N","N","Y","N","N",,"2129968413",,,"The organization provides professional and rigorous training for young dancers in all dance forms, artistic development for professional dancers, and youth-focused outreach and education initiatives. ",,,"N","N","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.800187, -73.946797)","MANHATTAN","40.800187","-73.946797","11","9","184","1088766","1016217501","East Harlem North                                                          ","1405 5th Ave STE 2S",,"New York","10029"
"Women's Network for a Sustainable Future","N","N","Y","N","N",,,"http://www.wnsf.org","N","Our mission is to mobilize businesswomen to support social responsibility and advance sustainable development by giving women in the workplace a voice in the sustainability debate.

 

WNSF believes that integrating responsible, sustainable practices throughout organizations is key to building sustainable enterprises and a sustainable future. That's why WNSF welcomes participation from women in all parts of business including marketing, communications, legal affairs, investor relations, human resources, finance, strategy, philanthropy, environment health and safety, and corporate citizenship","N",,"N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,,,"New York",
"Pride Senior Network","N","N","Y","N","N","6463366685","2126751936",,,,,,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"132 W. 22nd Street, 4th Floor",,"New York",
"Samaritan Village - Veterans Program","N","N","Y","N","N",,"7186576195","http://www.samvill.org/index2.htm",,"Veterans Program",,,"N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","Y","N",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"327 West 43rd Street",,"New York",
"St. George's Society of New York","N","N","Y","N","N","2126823465","2126826110","http://www.stgeorgessociety.org",,,,,"Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"216 East 45th Street, Suite 901",,"New York",
"International Women's Tribune Centre, Inc.","N","N","Y","N","N","2126612704","2126878633","http://www.iwtc.org/",,,,,"N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"777 U.N. Plaza, 3rd Fl.",,"New York",
"US Department of Commerce/Harlem US Export Assistance Center","Y","Y","Y","Y","N","2128606203","2128606200","http://www.Export.gov","N","US Government agency that assists US companies with exporting US-made goods and services overseas.","Y","World Wide","N","N","N","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N",,"Y","Published","(40.808644, -73.947524)","MANHATTAN","40.808644","-73.947524","10","9","222","1081602","1019100001","Central Harlem South                                                       ","163 West 125th Street, Suite 901",,"New York","10027"
