"applicant_name","address","zip_code","emp","investment","savings_annual","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"Grandstand Sports & Memorabilia, Inc.","37-18 Northern Blvd., Queens, NY","11101","16","n/a","$1,938.00 ","QUEENS   ","40.752096","-73.925887","1","26","171","4003103","4002140040","Hunters Point-Sunnyside-West Maspeth                                       "
"72andSunny Partners LLC","55 Water St., P/o Fl 5 & 6, Brooklyn, NY ","11201","113","n/a","$20,588.00 ","BROOKLYN ","40.703301","-73.992047","2","33","21","3000019","3000260050","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Stand and Build LLC","51-02 21st Street, Queens, NY","11101","2","n/a","$688.00 ","QUEENS   ","40.741017","-73.949742","2","26","7","4000210","4000390182","Hunters Point-Sunnyside-West Maspeth                                       "
"New York Blood Center","45-01 Vernon Blvd., Queens, NY","11101","280","$18,000,000.00 ","$176,857.00 ","QUEENS   ","40.748152","-73.952259","2","26","7","4441057","4000500001","Hunters Point-Sunnyside-West Maspeth                                       "
"Mega Aid Pharmacy","140 58th Street,Bldg. B, Units 8G & I, Brooklyn, NY","11220","16","n/a","$9,083.00 ","BROOKLYN ","40.645338","-74.022864","7","38","18","3257058","3057780001","Sunset Park West                                                           "
"Uncommon Goods (2nd)","140 58th St.,Bldg. B, Units 2A & B, Brooklyn, NY","11220","138","n/a","$5,275.00 ","BROOKLYN ","40.645338","-74.022864","7","38","18","3257058","3057780001","Sunset Park West                                                           "
"Uncommon Goods (7th)","140 58th Street,Bldg. B, Units 7B, Brooklyn, NY","11220","137","n/a","$5,275.00 ","BROOKLYN ","40.645338","-74.022864","7","38","18","3257058","3057780001","Sunset Park West                                                           "
"Dr. Smood New York Production LLC","47-10 Austell Place. Queens, NY","11101","13","n/a","$1,817.00 ","QUEENS   ","40.743404","-73.941909","2","26","1","4000742","4000980042","Hunters Point-Sunnyside-West Maspeth                                       "
"Favorite Plastic","1465 Utica Avenue, Brooklyn, NY","11234","42","$500,000.00 ","$92,944.00 ","BROOKLYN ","40.636521","-73.928747","18","45","932","3325342","3079690020","East Flatbush-Farragut                                                     "
"Gotham Seafood Corp.","1049 Lowell Street, Bronx, NY ","10459","70","$90,569.00 ","$1,494.00 ","BRONX    ","40.825994","-73.886977","2","17","12102","2006295","2027570112","Hunts Point                                                                "
"The Bronx Brewery","856 East 136th Street, Bronx, NY","11454","68","$699,812.00 ","$1,455.00 ",,,,,,,,,
"G & G Manhattan Fruitier, Inc.","48-09 34th Street, Queens, NY ","11101","18"," n/a ","$2,275.00 ","QUEENS   ","40.740357","-73.93158","2","26","199","4003452","4002540036","Hunters Point-Sunnyside-West Maspeth                                       "
"95 Evergreen Building Investors III, LLC","95 Evergreen Avenue, Brooklyn, NY","11206","1","$402,846.00 "," TBD ","BROOKLYN ","40.699927","-73.932531","4","34","425","3071940","3031560001","Bushwick South                                                             "
"TMI Trading Corp. adb Twin Marquis, Inc.","513 Irving Avenue, Brooklyn, NY ","11237","109","$1,504,060.00 ","$79,052.00 ","BROOKLYN ","40.694469","-73.90637","4","37","439","3078942","3034130071","Bushwick North                                                             "
"JPMorgan Chase Bank, N.A.","3 Chase Metrotech Center, aka 339 Bridge Street, Brooklyn, NY","11201","557","$13,132,488.00 ","$223,644.00 ","BROOKLYN ","40.694059","-73.985741","2","33","11","3000000","3001420100","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"JPMorgan Chase Bank, N.A.","4 Chase Metrotech Center, aka 101 Duffied Street, Brooklyn, NY","11201","3225","$41,017,840.00 ","$463,981.00 ","BROOKLYN ","40.694059","-73.985741","2","33","11","3000000","3001420100","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Magellan Aerospace, New York, Inc.fka Ellanef Manufacturing Corp.","97-11 50th Avenue, Queens, NY","11368","150","$446,909.00 ","$34,334.00 ","QUEENS   ","40.742133","-73.865661","4","21","411","4440227","4018800007","Corona                                                                     "
"Square Roots Urban Growers, Inc. (Farm)","630 Flushing Ave., Unit 375, Brooklyn, NY ","11206","3","n/a","$10,319.00 ","BROOKLYN ","40.699963","-73.948449","3","36","257","3329628","3017200001","Bedford                                                                    "
"Square Roots Urban Growers, Inc. (office)","630 Flushing Ave., Unit 375, Brooklyn, NY ","11206","4","n/a","$1,003.00 ","BROOKLYN ","40.699963","-73.948449","3","36","257","3329628","3017200001","Bedford                                                                    "
"Sharan Builders, Inc. Formerly A-Val Properties","128-12 18th Ave., Queens, NY","11356","10","$390,000.00 ","$2,059.00 ","QUEENS   ","40.783222","-73.840208","7","19","947","4098985","4041340122","College Point                                                              "
"Sky High Murals - Colossal Media, Inc.","1109 Metropolitan Avenue, Brooklyn, NY ","11211","76","$1,948,265.00 ","$4,575.00 ","BROOKLYN ","40.714329","-73.932166","1","34","449","3070491","3029270025","East Williamsburg                                                          "
"B-Reel Creative Agency, Inc.","77 Sands Street, Suite 1202, Brooklyn, NY ","11201","51"," n/a ","$5,341.00 ","BROOKLYN ","40.700092","-73.987529","2","33","13","3000171","3000770001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Morgan & Morgan PA (Salmar)","850 Third Avenue, Suite 402, Brooklyn, NY","11232","78"," n/a ","$5,254.00 ","BROOKLYN ","40.658518","-74.003327","7","38","18","3009889","3006710001","Sunset Park West                                                           "
"JPR Mechanical, Inc.","441 East 164th Street, Bronx, NY","10456","26"," n/a ","$16,013.00 ","BRONX    ","40.826141","-73.910835","3","17","185","2117413","2023860164","Morrisania-Melrose                                                         "
"JPR Mechanical, Inc.","434 East 165th Street, Bronx, NY","10456","26"," n/a ","$10,980.00 ","BRONX    ","40.8274","-73.910602","3","17","185","2001547","2023860030","Morrisania-Melrose                                                         "
"Van Blarcom Closures, Inc.","409-423 Willoughby Avenue, Brooklyn, NY","11205","141","$542,691.00 ","$54,176.00 ","BROOKLYN ","40.693197","-73.954123","3","33","241","3048569","3017510043","Bedford                                                                    "
"Deutsche Bank Securities, Inc.","Four Chase Metrotech Center, 8th floor, Brooklyn, NY ","11201","3"," n/a ","$26,369.00 ","BROOKLYN ","40.694059","-73.985741","2","33","11","3000000","3001420100","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Fresh Direct","2 Staint Ann's Avenue, Bronx, NY ","10454","2565","$14,790,501.30 ","$65,429.00 ",,,,,,,,,
"Modern Window & Door, Inc.","1411-1429 Ferris Place, Bronx, NY","10461","17","$101,395.00 ","$16,928.00 ","BRONX    ","40.83909","-73.841183","10","13","96","2027299","2038570027","Westchester-Unionport                                                      "
"Van Blarcom Closures, Inc.","152-62 Sanford Street, Brooklyn, NY","11205","140","$362,312.32 ","$42,266.00 ","BROOKLYN ","40.694149","-73.953279","3","33","241",,,"Bedford                                                                    "
"55 Water LLC","51 Water Street, Brooklyn, NY ","11201","5","$50,000,000.00 ","TBD","BROOKLYN ","40.703304","-73.992156","2","33","21","3000000","3000260050","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Transcontinental Ultra Flex, Inc.","975 Essex Street, Brooklyn, NY ","11208","279","$200,280.00 ","$380,280.00 ","BROOKLYN ","40.660379","-73.874732","5","42","1078","3098057","3044070015","East New York                                                              "
"Sunset Park Farms LLC dba Brooklyn Granger LLC","850 3rd Avenue, 9th flo, Brooklyn, NY","11232","11"," n/a ","$12,220.00 ","BROOKLYN ","40.658518","-74.003327","7","38","18","3009889","3006710001","Sunset Park West                                                           "
"I. AM. Malia Mills LLC","32 33rd Street, Brooklyn, NY","11220","13"," n/a "," TBD ","BROOKLYN ","40.658251","-74.006433","7","38","18","3336897","3006830001","Sunset Park West                                                           "
"Evergreen Architectural Arts, Inc.","253 36th Street, Brooklyn, NY","11232","78"," n/a "," TBD ","BROOKLYN ","40.65597","-74.007154","7","38","18","3345565","3006910001","Sunset Park West                                                           "
"House of Spices (India), Inc.","57-07 49th Place, Queens, NY","11378","37","$438,900.00 ","$17,560.00 ","QUEENS   ","40.721144","-73.919543","5","30","219","4462230","4026030068","Hunters Point-Sunnyside-West Maspeth                                       "
"Marathon Energy Corp.","62-01 34th Avenue, Queens, NY","11354","61","$91,940.00 ","$5,183.00 ","QUEENS   ","40.752183","-73.899803","2","26","293","4027110","4011850040","Woodside                                                                   "
"ADP Oak Point LLC","500 Oak Point Avenue, Bronx, NY","10454","55","$25,769,954.00 ",,"BRONX    ","40.80897","-73.894378","2","17","93","2004151","2026040140","Hunts Point                                                                "
