"vendor_name","vendor_address","vendor_contact_name","contact_phone","contact_email","qualified_date","recertification_date","street_number","street_name","unit","city","state","postcode","borough","borough_code","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","nta_name"
"MG Security Services LLC","133 W 25th Street, 8W, New York, NY 10001","Jissell Cuevas","212.242.6477 ext 101","jcuevas@mgsecurityservices.com",,,"133","W 25th Street","8W","New York","NY","10001","MANHATTAN","1","40.744648","-73.992937","104","3","91","1015005","1008010019","MN13","Hudson Yards-Chelsea-Flatiron-Union Square"
"Paramount Security Bureau Inc","128-14 149th St, Jamaica, NY 11436","Solomon Edobor","718.659.6764","edoborpsbinc@aol.com",,,"128-14","149th St",,"Jamaica","NY","11436","QUEENS","4","40.671212","-73.789488","412","28","788","4262820","4121070038","QN76","Baisley Park"
"Power Security Service Corp","114-41 149th St, Jamaica, NY 11436","Godspower Imasuen","718.781.9517","psi365@aol.com",,,"114-41","149th St",,"Jamaica","NY","11436","QUEENS","4","40.685348","-73.794200","412","28","190","4259589","4119800046","QN76","Baisley Park"
"RAS Security Services","115-13 Jamaica Avenue, Richmond Hill, NY 11418","Rupert Shaw","516.253.2981 or 516.662.6294","info@rassecurityservices.com",,,"115-13","Jamaica Avenue",,"Richmond Hill","NY","11418","QUEENS","4","40.698798","-73.833897","409","29","132","4192726","4092290024","QN54","Richmond Hill"
"Safeguard Security Group Inc","4505 Fort Hamilton Parkway, Brooklyn, NY 11219","Eddie Murdakhayev","347.754.2631","info@ssginc.co",,,"4505","Fort Hamilton Parkway",,"Brooklyn","NY","11219","BROOKLYN","3","40.640199","-73.994916","312","44","222","3136643","3056140057","BK88","Borough Park"
"Security USA Inc","336 West 37th St., Suite 450, New York, NY 10018","Yael Kodosh","212.594.4475","rh@securityusainc.com",,,"336","West 37th St.","Suite 450","New York","NY","10018","MANHATTAN","1","40.754573","-73.993240","104","3","111","1013604","1007600063","MN13","Hudson Yards-Chelsea-Flatiron-Union Square"
"Sentry Corporate Services d/b/a Sentry","511 West 112th Street, ste 6, New York, NY 10025","Murray Clendenin","646.235.5980","sentrycorp@gmail.com",,,"511","West 112th Street","ste 6","New York","NY","10025","MANHATTAN","1","40.804533","-73.963550","109","7","199","1056995","1018840021","MN09","Morningside Heights"
"Sera Security Services LLC","2804A Third Avenue, Bronx, NY 10455","Rafael Jimenez","718.828.1600 ext 124","rjimenez@serasecurity.com",,,"2804A","Third Avenue",,"Bronx","NY","10455","BRONX","2",,,,,,"2000679","2023070059",,
"Sightful Services d/b/a Sightful Security","20-01 College Point Boulevard, College Point, NY 11356","Stephanie Cayemitte","929.337.6262 ext 404","scayemitte@sightfulservices.com",,,"20-01","College Point Boulevard",,"College Point","NY","11356","QUEENS","4","40.781561","-73.845935","407","19","925","4099226","4041660027","QN23","College Point"
"Steadfast Protection LLC","10 Doreen Drive, Staten Island, NY 10303-2135","Vincent David Naimo","718.704.6613","steadfastprotection@gmail.com",,,"10","Doreen Drive",,"Staten Island","NY",,"STATEN IS","5","40.624249","-74.159055","501","49","30302","5093701","5016820028","SI12","Mariner's Harbor-Arlington-Port Ivory-Graniteville"
"Streamline Security Services Inc","Brooklyn Commons, 495 Flatbush Ave, 2nd Floor, Suite 39, Brooklyn, NY 11225","Desmond Ojumu","347.221.9996","info@streamlinesecurityincs.com",,,"495","Flatbush Ave","495 Flatbush Ave, 2nd Floor, Suite 39","Brooklyn","NY","11225","BROOKLYN","3","40.662184","-73.961754","309","40","327","3029735","3011970006","BK60","Prospect Lefferts Gardens-Wingate"
"Supreme Academy Security LLC","1931 Mott Avenue, Suite 405, Far Rockaway, NY 11691","Corrine Smith","718.600.9919","supremeacademy@aol.com",,,"1931","Mott Avenue","Suite 405","Far Rockaway","NY","11691","QUEENS","4","40.603929","-73.752330","414","31","101001","4298263","4155610029","QN15","Far Rockaway-Bayswater"
"T&D Security Inc T&H Security d/b/a Citadel Security Agency","34 91st Street, Suite B, Brooklyn, NY 11209","David Yorio","917.697.1211","david@citadelsecurityagency.com",,,"34","91st Street","Suite B","Brooklyn","NY","11209","BROOKLYN","3","40.621555","-74.039070","310","43","5201","3154598","3060830026","BK31","Bay Ridge"
"Universal Protection Serives, LLC dba Allied Universal Security Services","229 West 36th Street, 11th Floor, New York, NY 10018","Kevin Francis, Business Development Manager","646.737.1668         347.233.0872","kevin.francis@aus.com",,,"229","West 36th Street","11th Floor","New York","NY","10018","MANHATTAN","1","40.752707","-73.990681","105","3","109","1014441","1007860023","MN17","Midtown-Midtown South"
"Valor Security & Investigations, Inc","626 Sheepshead Bay Rd, RM 510, Brooklyn, NY 11224","Alexander Shaporov","917.362.9444","ashaporov@gmail.com",,,"626","Sheepshead Bay Rd","RM 510","Brooklyn","NY","11224","BROOKLYN","3","40.578979","-73.975261","313","48","354","3426835","3072790006","BK23","West Brighton"
"Watch Guard 24/7 LLC","71-16 Myrtle Ave, Glendale, NY 11385","Ascenza Montalbano","718.874.9857","lorraine@watchguard247.com;ascenza@watchguard247.com",,,"71-16","Myrtle Ave",,"Glendale","NY","11385","QUEENS","4","40.702036","-73.879548","405","30","629","4090499","4037090029","QN19","Glendale"
"DEHL Security Services Inc","685 Nostrand Ave, Brooklyn, NY 11216","Joy Omafuwa","718.285.9994","info@dehlsecurity.com",,,"685","Nostrand Ave",,"Brooklyn","NY","11216","BROOKLYN","3","40.673817","-73.950117","308","36","31701","3031228","3012340001","BK61","Crown Heights North"
"Century Protective Services Inc","150 Grand Street, Suite 400, White Plains, NY 10601","Nelson Soracco","914.290.6170","Jbyrne@centuryprotective.com",,,"150","Grand Street","Suite 400","White Plains","NY","10601",,,,,,,,,,,
"Combative Force & Protective Services LLC","3 Magnolia Avenue, #4, Jersey City, NJ 07306","Abdourazak Ali Maiga","347.500.2706","combativeforce2015@gmail.com",,,"3","Magnolia Avenue","#4","Jersey City","NJ","7306",,,,,,,,,,,
"Diamond Security Services Ltd","125 Lakeway Drive West, Babylon, NY 11704","Samuel Gbajumo","516.850.5424","cabioladss@gmail.com",,,"125","Lakeway Drive West",,"Babylon","NY","11704",,,,,,,,,,,
"Global Protection Management LLC","1045 N. Market Street, Suite 400, Wilmington, DE 18901","William McLuthlen","917.584.2312","bmclauthlen@glprotect.com",,,"1045","N. Market Street","Suite 400","Wilmington","DE","18901",,,,,,,,,,,
"ICTS USA Inc dba Huntleigh USA Corporation","545 E John Carpenter Fwy, Room 175, Irving, TX 75062","Diane Galford","972.457.3601","diane.galford@huntleighusa.com",,,"545","E John Carpenter Fwy","Room 175","Irving","TX","75062",,,,,,,,,,,
"ISSM Protective Services Inc","3 College Road, Monsey, NY 10952","Simon Shenker","917.588.6666","s.shenker@issm.com",,,"3","College Road",,"Monsey","NY","10952",,,,,,,,,,,
"JAG Security Inc.","678 Fulton Avenue, 1st Floor, Hempstead, NY 11550","Eric J. Clark","347.867.6593","jagsecurity.jag@gmail.com",,,"678","Fulton Avenue","1st Floor","Hempstead","NY","11550",,,,,,,,,,,
"Motivated Security Services, Inc","34 West Main Street, Suite 204, Somerville, NJ 08876","Mark Savage","908.526.1140 x264","msavage@motivatedsecurity.com",,,"34","West Main Street","Suite 204","Somerville","NJ","8876",,,,,,,,,,,
"NJB Security Services Inc","35 E Grassy Sprain Rd, Room 203, Yonkers, NY 10710","Michael Maiolo","914.237.8200 ext 208","mmaiolo@njbsecurity.com",,,"35","E Grassy Sprain Rd","Room 203","Yonkers","NY","10710",,,,,,,,,,,
"Preferred Protective Services Inc dba Preferred Protective Services","3569 Martha Blvd, Bethpage, NY 11714","Christopher Conry","O 877.924.7774                     M 631.897.1000","cconry@preferredprotectiveservices.com",,,"3569","Martha Blvd",,"Bethpage","NY","11714",,,,,,,,,,,
"Professional Security Consultants","11454 San Vincente Blvd, Los Angeles, CA 90049","Gal Yaniv","310.628.9557","gyaniv@pscsite.com",,,"11454","San Vincente Blvd",,"Los Angeles","CA","90049",,,,,,,,,,,
"Simaren Corp dba Wisdom Protective Services","837 Old Country Road, Westbury, NY 11590","Kay Simaren","718.766.5392","Mrkay@wisdomprotective.com",,,"837","Old Country Road",,"Westbury","NY","11590",,,,,,,,,,,
"SJR Security Consultants LLc","1395 Jerusalem Ave, Merrick, NY 11566","Raissa Herbert","516.743.3772","security@sjrsecurity.com",,,"1395","Jerusalem Ave",,"Merrick","NY","11566",,,,,,,,,,,
"Socaobiz Security Services LLC","70 Henry Street, 2nd Floor, Binghamton, NY 13901","Soumaila Bouraima","718.523.4646","socaobiz@gmail.com",,,"70","Henry Street","2nd Floor","Binghamton","NY","13901",,,,,,,,,,,
"SOS Security LLC","1915 Route 46 East, Parsippany, NJ 07054","Marc Bognar","973.402.6600","mbognar@sossecurity.com",,,"1915","Route 46 East",,"Parsippany","NJ","7054",,,,,,,,,,,
"Summit Security Services","390 RXR Plaza, Uniondale, NY 11556","Karen Paralikas","516.240.2400","kparalikas@summitsecurity.com",,,"390","RXR Plaza",,"Uniondale","NY","11556",,,,,,,,,,,
"Titan Global Investigations, LLC","1757 Veterans Highway, ste 58, Islandia, New York 11749","Anthony D'Gracia","631.392.4333","anthony.dgracia@titanglobalus.com",,,"1757","Veterans Highway","ste 58, Isla","Islandia","rk","11749",,,,,,,,,,,
"SW Security Services LLC","One Penn Plaza, Ste 4000, New York, NY 10119","Mike Gonzalez","212.729.5400 x 2013","mike@swsecurityservices.com",,,"1","Penn Plaza","Ste 4000","New York","NY","10119","MANHATTAN","1","40.751098","-73.992926","105","3","101","1014387","1007830070","MN17","Midtown-Midtown South"
"Alboro National LLC","3602 E. Tremont, ste 203, Bronx, NY 10465","Abe Schwebel","845.587.0055","abe@alborosecurity.com",,,"3602","E. Tremont Ave","ste 203","Bronx","NY","10465","BRONX","2","40.828778","-73.824459","210","13","152","2097754","2055430024","BX52","Schuylerville-Throgs Neck-Edgewater Park"
"Michael Zimet LLC","3240 Henru Hudson Parkway, 5B Riverdale, NY 10463","Michael Zimet","718.601.2984","mike@mzps.nyc",,,"3240","Henry Hudson Parkway",,"5B Riverdale","NY","10463","BRONX","2","40.885365","-73.913345","208","11","297","2084124","2057890024","BX29","Spuyten Duyvil-Kingsbridge"
"Securitas Security Services USA Inc d/b/a Securitas Services, Inc d/b/a Securitas Inc","1412 Broadway 17th Floor, New York, NJ 11364","Andrew Imburgia, Rya Manners","646.720.0672, 646.720.0674","andrew.imburgia@securitasinc.com;rya.manners@securitasinc.com",,,"1412","Broadway","17th Floor","New York","NJ","11364","QUEENS","4","40.766035","-73.933175","401","22","45","4467709","4005290002","QN70","Astoria"
"Greater Shield LLC dba Ground Support Services","75 Taffee Place, Brooklyn, NY 11205","Mattis Berger","718.388.3844. ext 303","mattis@greatershield.com",,,"75","Taaffe Place",,"Brooklyn","NY","11205","BROOKLYN","3","40.696735","-73.960472","303","33","1237","3054190","3018830005","BK75","Bedford"
