BOROUGH,SITE_STATUS,SITE_NAME,SITE_NUMBER,STREET_NUMBER,STREET_SUFFIX,STREET_NAME,POSTCODE,CITY,VOTER_ENTRANCE,HANDICAP_ENTRANCE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
QUEENS,A,PS 98-Douglaston School,Q0169,40-20,,235 Street,11363,Little Neck,40-20 235 Street,234th Street through Schoolyard,40.769551,-73.749603,11,19,1483,4168629,4080820285,Douglas Manor-Douglaston-Little Neck,"(40.769551, -73.749603)",14505,26,3,20,69
BROOKLYN,A,PS 203,B0388,5101,,Avenue M,11234,Brooklyn,5101 Avenue M,Avenue M To the left of main entrance,40.621623,-73.925694,18,46,680,3218626,3078490001,Flatlands,"(40.621623, -73.925694)",13825,5,2,8,38
QUEENS,A,PS 232-Lindenwood,Q0064,153-23,,83 Street,11414,Howard Beach,153-23 83 Street,Rear Schoolyard Entrance on 84th Street near 153rd Avenue,40.665781,-73.851104,10,32,6202,4247454,4114450001,Lindenwood-Howard Beach,"(40.665781, -73.851104)",15314,62,3,41,64
MANHATTAN,A,Gen Grant Houses II,10522,1295,,Amsterdam Avenue,10027,New York,1295 Amsterdam Avenue,1295 Amsterdam Avenue,40.811768,-73.957333,9,7,20901,1084093,1019640001,Morningside Heights,"(40.811768, -73.957333)",12424,37,4,23,17
BROOKLYN,A,Crown Gardens Community Center,B0037,1185,,Carroll Street,11225,Brooklyn,1185 Carroll Street,Enter on Nostrand Avenue,40.667175,-73.949721,9,35,319,3337867,3012830001,Crown Heights South,"(40.667175, -73.949721)",13509,17,2,48,44
QUEENS,A,PS / IS 270-Gordon Parks School,10861,233-15,,Merrick Boulevard,11422,Rosedale,233-15 Merrick Boulevard,Schoolyard Entrance on 234th Street near Merrick Blvd,40.674972,-73.736675,13,31,618,4529511,4129730001,Laurelton,"(40.674972, -73.736675)",24018,63,3,47,63
MANHATTAN,A,Fashion Institute of Technology,10465,298,,7 Avenue,10001,New York,298 7 Avenue,7 Ave & W 27 St (SW Corner),40.746582,-73.993942,5,3,95,1014236,1007760040,Midtown-Midtown South,"(40.746582, -73.993942)",11722,11,4,10,6
MANHATTAN,A,Penn South (Bldg 2B),M0195,339,,West 24 Street,10011,New York,341 West 24 Street,341 West 24 Street,40.746219,-73.99934,4,3,93,,,Hudson Yards-Chelsea-Flatiron-Union Square,"(40.746219, -73.99934)",12074,12,4,10,6
QUEENS,A,PS 47-Chris Galas,00063,9,,Power Road,11693,Far Rockaway,9 POWER ROAD,9 POWER ROAD,40.606045,-73.820591,14,32,107201,4448968,4153130485,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,"(40.606045, -73.820591)",20531,51,3,41,58
QUEENS,A,PS 239,10862,17-15,,Weirfield Street,11385,Ridgewood,17-15 Weirfield Street,17-15 Weirfield Street,40.699112,-73.903935,5,34,553,4435561,4035610001,Ridgewood,"(40.699112, -73.903935)",15310,54,3,30,62
BROOKLYN,A,Moffat Gardens,11478,22,,Moffat Street,11207,Brooklyn,22 Moffat Street,22 Moffat Street,40.683439,-73.910157,4,37,403,3398683,3034440016,Bushwick South,"(40.683439, -73.910157)",17214,42,2,37,53
MANHATTAN,A,PS/MS 278,11499,421,,West 219 Street,10034,New York,421 West 219 Street,9th Avenue (Between 219th and 220th Streets),,,12,10,299,1064704,1022150831,Marble Hill-Inwood,,,,,,
BRONX,A,Hellenic Orthodox Community Church,X0140,3573,,Bruckner Boulevard,10461,Bronx,3573 Bruckner Boulevard,3573 Bruckner Boulevard,40.849882,-73.827969,10,13,300,2095007,2041990001,Pelham Bay-Country Club-City Island,"(40.849882, -73.827969)",11270,43,5,12,28
BRONX,A,The Arbor,11153,3260,,Henry Hudson Parkway,10463,Bronx,3260 Henry Hudson Parkway,Entrance on Arlington Avenue,40.885922,-73.912622,8,11,297,2084125,2057890033,Spuyten Duyvil-Kingsbridge,"(40.885922, -73.912622)",11272,48,5,40,33
MANHATTAN,A,Stuyvesant Town IV,M0156,283,,Avenue C,10009,New York,283 Avenue C,283 Avenue C,40.730894,-73.975693,6,4,44,1082849,1009720001,Stuyvesant Town-Cooper Village,"(40.730894, -73.975693)",11729,71,4,51,7
QUEENS,A,PS 35-Nathaniel Woodhull,Q0097,191-02,,90 Avenue,11423,Hollis,191-02 90 Avenue,Entrance on 191st Street,40.713691,-73.769437,12,23,482,4222137,4104470007,Hollis,"(40.713691, -73.769437)",24332,41,3,16,61
QUEENS,A,PS 14-Fairview,Q0009,107-01,,Otis Avenue,11368,Corona,107-01 Otis Avenue,Otis Ave & Van Doren Street,40.740552,-73.854212,4,21,439,4437311,4019540037,Corona,"(40.740552, -73.854212)",14510,66,3,21,68
BRONX,A,Manhattan College Raymond E. Kelly '63 Bldg,11581,3900,,Waldo Avenue,10463,Bronx,3900 Waldo Avenue,3900 Waldo Ave - 5 FL meeting room,,,8,11,285,2000000,2057770719,Spuyten Duyvil-Kingsbridge,,,,,,
BROOKLYN,A,PS 158,B0223,400,,Ashford Street,11207,Brooklyn,400 Ashford Street,Enter on Belmont Avenue,40.672479,-73.884867,5,37,1150,3089176,3040150001,East New York,"(40.672479, -73.884867)",17214,45,2,37,47
BRONX,A,Adult Behavioral Health Center,10024,1500,,Waters Place,10461,Bronx,New Building - Visitors room,New Building - Visitors room,40.847702,-73.839971,11,13,284,2096968,2042260030,Van Nest-Morris Park-Westchester Square,"(40.847702, -73.839971)",11270,59,5,12,32
BROOKLYN,A,PS 216,B0208,350,,Avenue X,11223,Brooklyn,350 Avenue X,350 Avenue X,40.590467,-73.969735,15,47,37401,3195175,3071960001,Gravesend,"(40.590467, -73.969735)",18183,32,2,45,36
BROOKLYN,A,Apt. House,B0324,7502,,Ridge Boulevard,11209,Brooklyn,7502 Ridge Boulevard,Enter on Bay Ridge Parkway,40.632029,-74.030582,10,43,44,3148662,3059380040,Bay Ridge,"(40.632029, -74.030582)",17216,10,2,44,41
BRONX,A,PS 65 Mother Hale Academy,X0224,677,,East 141 Street,10454,Bronx,677 East 141 Street,Entrance thru schoolyard on Cypress Ave,40.807484,-73.91292,1,8,33,2003834,2025710001,Mott Haven-Port Morris,"(40.807484, -73.91292)",10932,49,5,35,23
BRONX,A,JHS 135 Aspire Preparatory Middle School,X0095,2441,,Wallace Avenue,10467,Bronx,2441 Wallace Avenue,Thru School Yard on Holland Ave,40.862069,-73.864654,11,13,330,2051313,2044320001,Bronxdale,"(40.862069, -73.864654)",11605,59,5,12,32
BROOKLYN,A,PS 6,10437,43,,Snyder Avenue,11226,Brooklyn,43 Snyder Avenue,43 Snyder Avenue,40.648646,-73.957172,14,40,794,3117230,3051030079,Erasmus,"(40.648646, -73.957172)",13510,60,2,11,43
BROOKLYN,A,Ocean Hill Comm Ctr,11248,305,,MacDougal Street,11233,Brooklyn,305 Macdougal Street,305 Macdougal Street,40.68076,-73.908371,16,37,369,3041566,3015280033,Ocean Hill,"(40.68076, -73.908371)",13516,55,2,37,46
BRONX,A,IS 144 Michelangelo,X0101,2545,,Gunther Avenue,10469,Bronx,Enter thru Allerton & Lodovick Aves,Enter thru Allerton & Lodovick Aves,40.863709,-73.836147,11,13,310,2053518,2044930001,Allerton-Pelham Gardens,"(40.863709, -73.836147)",11607,59,5,12,32
MANHATTAN,A,Clinton Senior Center,11119,530,,West 55 Street,10019,New York,530 West 55 Street,530 West 55 Street,40.768313,-73.99089,4,6,135,1027059,1010830015,Clinton,"(40.768313, -73.99089)",12081,12,4,19,10
QUEENS,A,PS 100-Glen Morris,Q0016,111-11,,118 Street,11420,South Ozone Park,111-11 118 Street,Back Entrance through Schoolyard on Lefferts Boulevard,40.680033,-73.82202,10,28,102,4250416,4116230001,South Ozone Park,"(40.680033, -73.82202)",24016,62,3,46,64
BROOKLYN,A,Community Board 12,11501,5910,,13 Avenue,11219,Brooklyn,5910 13 Avenue,5910 13 Avenue,,,12,44,192,3141046,3057110040,Borough Park,,,,,,
STATEN IS,A,Cassidy / Lafayette Senior Center,S0009,125,,Cassidy Place,10301,Staten Island,125 Cassidy Place,125 Cassidy Place,40.641995,-74.095965,1,49,81,5001762,5000710011,West New Brighton-New Brighton-St. George,"(40.641995, -74.095965)",10369,4,1,13,74
QUEENS,A,PS 49-Dorothy Bonawit Kole,Q0254,79-15,,Penelope Avenue,11379,Middle Village,63-60 80 Street,63-60 80 Street,40.719154,-73.8754,5,30,663,4069253,4029900045,Middle Village,"(40.719154, -73.8754)",15309,54,3,34,62
BROOKLYN,A,PS 176,B0042,1225,,Bay Ridge Avenue,11219,Brooklyn,1225 Bay Ridge Avenue,On 68 Street,40.624728,-74.005445,10,43,196,3143190,3057740001,Dyker Heights,"(40.624728, -74.005445)",17621,10,2,44,41
QUEENS,A,Rosenthal Senior Center,Q0182,45-25,,Kissena Boulevard,11355,Flushing,45-25 Kissena Boulevard,45-25 Kissena Boulevard,40.751707,-73.820168,7,20,1205,4117390,4052000052,East Flushing,"(40.751707, -73.820168)",14190,22,3,3,67
MANHATTAN,A,PS 188 Or 196,M0232,442,,East Houston Street,10002,New York,442 East Houston Street,East 3rd Street,40.719627,-73.977658,3,2,20,1004349,1003560100,Lower East Side,"(40.719627, -73.977658)",11723,70,4,50,5
STATEN IS,A,PS 57 Hubert H. Humphrey,S0001,140,,Palma Drive,10304,Staten Island,140 Palma Drive,140 Palma Drive,40.611524,-74.083505,1,49,40,5043519,5028880040,Grymes Hill-Clifton-Fox Hills,"(40.611524, -74.083505)",10691,4,1,13,74
QUEENS,A,PS 196-Grand Central Parkway,00062,71-25,,113 Street,11375,Forest Hills,71-25 113 Street,71-25 113 Street,40.723148,-73.838058,6,29,75702,4052713,4022480100,Forest Hills,"(40.723148, -73.838058)",14786,40,3,28,70
MANHATTAN,A,Lincoln Towers,M0041,140,,West End Avenue,10023,New York,140 West End Avenue,140 West End Avenue,40.776049,-73.987108,7,6,155,1070711,1011587504,Lincoln Square,"(40.776049, -73.987108)",12420,20,4,19,12
BRONX,A,PS 69 Journey Prep School,X0167,560,,Thieriot Avenue,10473,Bronx,Enter thru schoolyard on Thieriot Ave.,Enter thru schoolyard on Thieriot Ave.,40.81658,-73.860795,9,18,16,2021482,2035240020,Soundview-Castle Hill-Clason Point-Harding Park,"(40.81658, -73.860795)",11611,58,5,31,26
STATEN IS,A,IS 2 George L. Egbert,10027,333,,Midland Avenue,10306,Staten Island,333 Midland Avenue,Accessible Entrance by school yard,40.57674,-74.100575,2,50,11202,5053571,5036960100,New Dorp-Midland Beach,"(40.57674, -74.100575)",10693,30,1,14,76
BROOKLYN,A,PS 279,B0023,1070,,East 104 Street,11236,Brooklyn,1070 East 104th Street,Through the playground,40.64422,-73.892368,18,46,986,3326733,3082300001,Canarsie,"(40.64422, -73.892368)",13827,5,2,8,42
BRONX,A,PS 121 Throop,X0110,2750,,Throop Avenue,10469,Bronx,2750 Throop Avenue,Thru School Yard on Bouck Avenue,40.865953,-73.850908,11,13,348,2054253,2045260001,Allerton-Pelham Gardens,"(40.865953, -73.850908)",11607,59,5,12,32
STATEN IS,A,The Tides at Charleston,11155,15,,Tides Lane,10309,Staten Island,15 Tides Lane,15 Tides Lane,40.529133,-74.239719,3,51,226,5155401,5075960145,Charleston-Richmond Valley-Tottenville,"(40.529133, -74.239719)",10696,15,1,9,77
QUEENS,A,Martin Van Buren HS,Q0125,230-17,,Hillside Avenue,11427,Queens Village,230-17 Hillside Avenue,Entrance through school yard of 229 Street,40.732746,-73.739959,13,23,1301,4166101,4079300002,Bellerose,"(40.732746, -73.739959)",24336,63,3,16,63
MANHATTAN,A,PS 131,M0286,100,,Hester Street,10002,New York,100 Hester Street,Eldridge St. (Between Hester & Canal St.),40.716365,-73.992686,3,1,16,1082489,1003010003,Chinatown,"(40.716365, -73.992686)",11723,70,4,32,2
QUEENS,A,PS 34-John Harvard,Q0005,104-12,,Springfield Boulevard,11429,Queens Village,104-12 Springfield Boulevard,Path to Side Entrance on Springfield Blvd near 107 Ave,40.712045,-73.736536,13,27,582,4240503,4111510081,Queens Village,"(40.712045, -73.736536)",24338,63,3,6,63
MANHATTAN,A,Peter Cooper Village,10241,360,,1 Avenue,10010,New York,360 1 Avenue,360 1 Avenue,40.735773,-73.979001,6,4,60,1083681,1009780001,Stuyvesant Town-Cooper Village,"(40.735773, -73.979001)",12073,71,4,51,7
QUEENS,A,PS 102-Bayview,Q0200,55-24,,Van Horn Street,11373,Elmhurst,55-24 Van Horn Street,55-24 Van Horn Street,40.73342,-73.87786,4,25,479,4437597,4028790031,Elmhurst-Maspeth,"(40.73342, -73.87786)",14784,66,3,5,68
QUEENS,A,JHS 190-Russell Sage,Q0234,68-17,,Austin Street,11375,Forest Hills,68-17 Austin Street,Rear Pathway on 68th Avenue between School & Playground,40.722812,-73.8518,6,29,71305,4075214,4031720002,Forest Hills,"(40.722812, -73.8518)",14786,40,3,28,70
MANHATTAN,A,PS 158,M0050,1458,,York Avenue,10075,New York,1458 York Avenue,East 78th Street,40.770328,-73.951105,8,5,132,1046411,1014890001,Lenox Hill-Roosevelt Island,"(40.770328, -73.951105)",10092,23,4,1,11
BROOKLYN,A,West End Gardens,10168,1002,,44 Street,11219,Brooklyn,1002 44 Street entrance on 10th Avenue,1002 44 Street entrance on 10th Avenue,40.641678,-73.995715,12,39,112,3136331,3056080006,Sunset Park East,"(40.641678, -73.995715)",17621,2,2,27,39
QUEENS,A,Lefferts Library,10185,103-34,,Lefferts Boulevard,11419,South Richmond Hill,103-34 Lefferts Boulevard,103-34 Lefferts Boulevard,40.687305,-73.82479,10,28,106,4203685,4095560020,South Ozone Park,"(40.687305, -73.82479)",24015,62,3,46,64
QUEENS,A,PS 20-John Bowne,Q0048,142-30,,Barclay Avenue,11355,Flushing,142-30 Barclay Avenue,142-30 Barclay Avenue,40.75861,-73.824891,7,20,855,4114657,4050470001,Flushing,"(40.75861, -73.824891)",14190,22,3,3,67
QUEENS,A,PS 139-Rego Park,Q0299,93-06,,63 Drive,11374,Rego Park,93-06 63 Drive,Wetherole Street,40.728094,-73.863521,6,29,693,4072457,4030950050,Rego Park,"(40.728094, -73.863521)",14785,40,3,28,70
MANHATTAN,A,1199 Housing,M0108,2070,,1 Avenue,10029,New York,2070 1 Avenue,2070 1 Avenue,40.790369,-73.939428,11,8,162,1083953,1017010001,East Harlem South,"(40.790369, -73.939428)",12426,7,4,35,14
QUEENS,A,PS 305-Learners & Leaders,11157,378,,Seneca Avenue,11385,Ridgewood,378 Seneca Avenue,378 Seneca Avenue,40.706998,-73.915035,5,34,539,4538307,4034280015,Ridgewood,"(40.706998, -73.915035)",15310,54,3,30,62
BROOKLYN,A,Hope Gardens Youth Community Center,11445,422,,Central Avenue,11221,Brooklyn,422 Central Avenue,422 Central Avenue,40.693087,-73.91659,4,34,417,3076595,3033500028,Bushwick South,"(40.693087, -73.91659)",18181,42,2,30,53
BROOKLYN,A,Park Slope YMCA,11251,361,,15th Street,11215,Brooklyn,361 15th Street,To the right side of main entrance,40.663068,-73.983991,6,39,149,3026581,3011020012,Park Slope-Gowanus,"(40.663068, -73.983991)",17617,14,2,27,50
