"program_type","program","site_name","borough_community","agency","contact_number","grade_level_age_group","location_1","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","postcode"
"Family Support,NDA Programs"," Housing","Mothers on the Move","Bronx","Grand Street Settlement","(646) 459-3002","Adults","928 Intervale Ave
Bronx, NEW YORK 10459
(40.820040018263, -73.896665632933)","40.820063","-73.896742","2","17","87","2005450","2027030001","Longwood                                                                   ","10459"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","PS 3 RAUL JULIA MICRO SOCIETY (X003)","Bronx","Healthy Families","(718) 732-7523","Middle School","2100 LAFONTAINE AVENUE
Bronx, NEW YORK 10457
(40.849869176905, -73.892283699962)","40.849897","-73.892289","6","15","37504","2099356","2030620043","East Tremont                                                               ","10457"
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","Kingsbridge Heights Community Center","Bronx","Project Bridge","(718) 884-0700"," High School","3101 Kingsbridge Terrace
Bronx, NEW YORK 10463
(40.877585488562, -73.900269056206)","40.877505","-73.90033","8","14","277","2015788","2032570111","Van Cortlandt Village                                                      ","10463"
"Family Support,NDA Programs"," Housing","Stryckers Bay Neighborhood Council, Inc.","New York","Refugee and Immigrant Services","(212) 874-7272","Adults","61 87th Street
New York, NEW YORK 10024
(40.786999491984, -73.971275839892)",,,,,,,,,
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Homecrest Community Services, Inc.","Brooklyn","The Arab-American Family Support Center","(718) 376-4036","Seniors","1413 Avenue
Brooklyn, NEW YORK 11229
(40.601233507321, -73.944368541175)",,,,,,,,,
"Family Support,NDA Programs","Healthy Families","Bronx Family Center","Bronx","Riverdale Senior Services","(212) 503-6837",,"1515 Southern Blvd
Bronx, NEW YORK 10460
(40.83394144693, -73.889906077907)","40.833734","-73.889934","3","17","155","2113511","2029770110","Crotona Park East                                                          ","10460"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Baisley Park Houses","Queens","CONSELYEA PREPARATORY SCHOOL (K577)","(800) 624-8474","Seniors","116 45 Guy R Brewer Boulevard
Queens, NEW YORK 11434
(40.676945262114, -73.775306901692)","40.685534","-73.783746","12","28","278","4435292","4123350044","Baisley Park                                                               ","11434"
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","CPC Queens Branch Office","Queens","Brooklyn Housing & Family Services, Inc.","(212) 941-0920"," High School","136 18 39th Ave
Queens, NEW YORK 11354
(40.768620220647, -73.827190280707)","40.76033","-73.829831","7","20","871","4112492","4049800011","Flushing                                                                   ","11354"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Harlem YMCA","New York","YMCA of Greater New York / ELESAIR","(212) 875-4336","16+","180 135th Street
New York, NEW YORK 10030
(40.815023338273, -73.943122982412)",,,,,,,,,
"Family Support,NDA Programs"," Housing","WHIC","New York","Grand Street Settlement","(212) 781-6722","Adults","652 187 Street
New York, NEW YORK 10033
(40.853602404382, -73.932345278359)",,,,,,,,,
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Aquinas Housing for Seniors","Bronx","United Jewish Orgnization of Williamsburg","(718) 542-0006","Seniors","975 Tremont Avenue
Bronx, NEW YORK 10460
(40.841075978584, -73.882280122872)",,,,,,,,,
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Our Lady of Perpetual Help","Brooklyn","Lutheran Family Health Centers Adult & Family Education","(718) 630-7150 x 4070","16+","552 59 Street
Brooklyn, NEW YORK 11220
(40.639335782578, -74.014431406431)","40.639366","-74.01442","7","38","102","3337343","3008640001","Sunset Park East                                                           ","11220"
"Family Support,NDA Programs","Healthy Families","Hebrew Educational Society","Brooklyn","Queens Community in Jackson Heights","(718) 241-3000",,"9502 Seaview Avenue
Brooklyn, NEW YORK 11236
(40.632674553251, -73.891241823892)","40.632808","-73.89122","18","46","1028","3235056","3083180008","Canarsie                                                                   ","11236"
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","The Classic Center","Bronx","Center for the Integration and Advancement of New Americans","(212) 243-9090"," High School","286 156 Street
Bronx, NEW YORK 10451
(40.821871730999, -73.919853400074)",,,,,,,,,
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","Bridges Juvenile Center","Bronx","Burnside Avenue Office","(718) 732-7523"," High School","1221 Spofford Avenue
Bronx, NEW YORK 10474
(40.813944681349, -73.890640373087)","40.813893","-73.890566","2","17","93","2005938","2027380035","Hunts Point                                                                ","10474"
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","Metropolitan Diploma Plus High School (K647)","Brooklyn","Brooklyn Housing & Family Services, Inc.","(718) 287-2600"," High School","985 ROCKAWAY AVENUE
Brooklyn, NEW YORK 11226
(40.656451255408, -73.907322828305)","40.656068","-73.907245","16","42","922","3082940","3036360007","Brownsville                                                                ","11212"
"Family Support,NDA Programs","Healthy Families","Dunlevy Milbank Center","New York","Riverstone Senior Life Services, Inc.","(212) 503-6837",,"14 32 West 118th Street
New York, NEW YORK 10026
(40.803058121635, -73.953342776048)",,,,,,,,,
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Project COPE / Adult Education","Brooklyn","Agudath Israel of America Community Services, Inc.","(212) 809-5935 x 104","16+","1577 Coney Island Avenue
Brooklyn, NEW YORK 11230
(40.619047394551, -73.963997045364)","40.619028","-73.964073","14","44","768","3180584","3067310080","Midwood                                                                    ","11230"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Jewish Community Council of Greater Coney Island, Inc","Brooklyn","Manhattan Center for Science and Mathematics","(718) 449-5000","Seniors","3001 37th Street
Brooklyn, NEW YORK 11224
(40.573273749724, -74.002490640031)",,,,,,,,,
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Mercy House","Bronx","Boulevard Houses Senior Center","(718) 542-0006","Seniors","644 232nd Street
Bronx, NEW YORK 10466
(40.893237164413, -73.859331559099)",,,,,,,,,
"Family Support,NDA Programs","Health Stat Initiative","Northern Manhattan Improvement Corporation","New York","Northern Manhattan Improvement Corporation","212.822.8344","All Ages","76 Wadsworth Ave
New York, NEW YORK 10033
(40.847051676059, -73.937044724943)","40.847012","-73.93704","12","10","263","1063574","1021450051","Washington Heights South                                                   ","10033"
"Family Support,NDA Programs","Housing","Agudath Isreal of America Community Services Inc.","Brooklyn","Bridges Juvenile Center","(718) 435-1300","Adults","4520 18th Avenue
Brooklyn, NEW YORK 11204
(40.630206116961, -73.97835931751)","40.630165","-73.978416","12","44","476","3128549","3054350051","Borough Park                                                               ","11204"
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL (K507)","Brooklyn","PS 173","(718) 951-5015"," High School","400 PENNSYLVANIA AVENUE
Brooklyn, NEW YORK 11210
(40.667582496164, -73.894808525848)","40.667456","-73.894747","5","42","1156","3084440","3037880001","East New York (Pennsylvania Ave)                                           ","11207"
"Family Support,NDA Programs"," Housing","Brooklyn Housing & Family Services, Inc.","Brooklyn","Council of Jewish Orgainzations of Flatbush, Inc.","(718) 435-7585","Adults","415 Albemarle Road
Brooklyn, NEW YORK 11218
(40.645480602026, -73.976688033036)","40.64551","-73.976296","12","39","500","3124269","3053270041","Windsor Terrace                                                            ","11218"
"Family Support,NDA Programs"," Housing","Brooklyn Housing & Family Services, Inc.","Brooklyn","Council of Jewish Orgainzations of Flatbush, Inc.","(718) 435-7585","Adults","415 Albemarle Road
Brooklyn, NEW YORK 11218
(40.645480602026, -73.976688033036)","40.64551","-73.976296","12","39","500","3124269","3053270041","Windsor Terrace                                                            ","11218"
"Family Support,NDA Programs"," Housing","Citizens Advice Bureau","Bronx","JHS 166 GEORGE GERSHWIN (K166)","(718) 293-0727","Adults","2925 Grand
Bronx, NEW YORK 10468
(40.867850652405, -73.899511666178)",,,,,,,,,
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","The Arab-American Family Support Center","Brooklyn","Concourse Gardens","(718) 643-8000","Middle School","150 Court Street
Brooklyn, NEW YORK 11201
(40.68880789426, -73.992831836639)","40.688806","-73.992806","6","39","45","3003069","3002920026","Carroll Gardens-Columbia Street-Red Hook                                   ","11201"
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","Turning Point","Brooklyn","Turning Point (aka Discipleship Outreach Ministries, Inc.)","(718) 360-8171","16+","5224 6th Avenue
Brooklyn, NEW YORK 11220
(40.642523308887, -74.009472865801)","40.642482","-74.009477","7","38","100","3013968","3008080041","Sunset Park East                                                           ","11220"
"Immigration Services,Immigrant Support Services","Services - Immigrant Families","Make the Road New York (Admin & Activity site)","Staten Island","Make the Road New York","718.565.8500 718.727.1222","18+","479 Port Richmond Av Staten Island
NEW YORK,  10302
(40.630934529097, -74.139014649681)","40.630818","-74.139187","1","49","213","5024824","5010490005","Port Richmond                                                              ","10302"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","Highbridge Community Life Center","Bronx","Highbridge Community Life Center","(718) 681-2222","16+","1038 Ogden Avenue
Bronx, NEW YORK 10452
(40.833887030557, -73.928809339182)","40.833827","-73.928861","4","8","189","2003209","2025120015","Highbridge                                                                 ","10452"
"Immigration Services,Immigrant Support Services","Legal Assistance Program","Chinese Consolidated Benevolent Asociation of New York","Manhattan","Northern Manhattan   Improvement Corporation","212-822-8319","All Ages","62 Mott St
Manhattan, NEW YORK 10013
(40.716076334714, -73.998158665829)","40.716051","-73.998222","3","1","29","1002403","1002010004","Chinatown                                                                  ","10013"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","Union Settlement Association","Manhattan","Union Settlement Association","(212) 828-6298","16+","237 104th Street
Manhattan, NEW YORK 10029
(40.789924588094, -73.944769131203)",,,,,,,,,
"NDA Programs,Immigration Services,Immigrant Support Services"," Immigrant","U.C.C. Immigration Program","Brooklyn","Highbridge Community Life Center Adult Education and Training","(718) 649-7979","Adults","613 New Lots Avenue
Brooklyn, NEW YORK 11207
(40.664726498258, -73.88659110359)","40.664728","-73.886561","5","42","1124","3090717","3040890025","East New York                                                              ","11207"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","Hostos-Lincoln Academy of Science","Bronx","Rice High School","(212) 652-2812","Middle School","475 Grand
Bronx, NEW YORK 10451
(40.820696407114, -73.923841367985)",,,,,,,,,
"NDA Programs,Senior Programs,Older Adult Program","Seniors","St. Luke's","Bronx","Variety Boys & Girls Club of Queens","(718) 542-0006","Seniors","3911 Barnes Avenue
Bronx, NEW YORK 10466
(40.885144265016, -73.858606154195)","40.885201","-73.858541","12","12","396","2063301","2048360001","Williamsbridge-Olinville                                                   ","10466"
"Immigration Services,Immigrant Support Services","Services - Immigrant Families","Big Brothers/Big Sisters, Inc. (Activity Site)","Jamaica","Big Brothers/Big Sisters, Inc.","212.994.7742","14-Nov","89 56 162nd Street
Jamaica, NEW YORK 11432
(40.71311535449, -73.792820999789)","40.705395","-73.798368","12","24","44601","4208872","4097600074","Jamaica                                                                    ","11432"
"Immigration Services,Immigrant Support Services","Legal Assistance Program","LaGuardia Community College Immigration Center - CUNY","Queens","Research Foundation of CUNY","718-482-5139","All Ages","166 Queens
NEW YORK,  11101
(40.745702449808, -73.938669029252)",,,,,,,,,
"Immigration Services,Immigrant Support Services","Immigrant/Refugee Assistance","Southside Community Mission","Brooklyn","Southside Community Mission, Inc.","718.782.8181 or 718.387.6052 ","ESOL/Civics","250 Hooper Street
Brooklyn, NEW YORK 11211
(40.705817851705, -73.955664076834)","40.705898","-73.955611","1","33","529","3379706","3022070002","Williamsburg                                                               ","11211"
"Family Support,NDA Programs"," Housing","Los Sures","Brooklyn","Middle School 206","(718) 387-3600","Adults","213 4th Street
Brooklyn, NEW YORK 11211
(40.714629070551, -73.956982239867)",,,,,,,,,
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","IS 061 LEONARDO DA VINCI (Q061)","Corona","Make the Road New York","(347) 417-8180","Middle School","98 50 50 AVENUE
Corona, NEW YORK 11368
(40.749678220374, -73.853040688577)","40.742668","-73.863307","4","21","44302","4046834","4018910032","Corona                                                                     ","11368"
"Family Support,NDA Programs","Fatherhood Initiative","Fortune Society","Queens","The Fortune Society, Inc.","347.510.3619","16 to 24","29 76 Northern Blvd
Queens, NEW YORK 11101
(40.745702449808, -73.938669029252)","40.750433","-73.935323","1","26","171","4003410","4002390049","Hunters Point-Sunnyside-West Maspeth                                       ","11101"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Grand Street Settlement","New York","JHS 227 EDWARD B SHALLOW (K227)","(646) 201-4288","Seniors","80 Pitt Street
New York, NEW YORK 10002
(40.718892797837, -73.982159024877)","40.718328","-73.98245","3","2","2201","1084357","1003380001","Lower East Side                                                            ","10002"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","THEATRE ARTS PRODUCTION COMPANY SCHOOL (X225)","Bronx","Sedgwick Houses","(212) 949-4919","Middle School","2225 WEBSTER AVENUE
Bronx, NEW YORK 10457
(40.854661271511, -73.896649628603)","40.854493","-73.896717","5","15","379","2013307","2031430043","Mount Hope                                                                 ","10457"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","St. Andrews Senior Housing","Bronx","Vannguard Urban Improvement Association, Inc.","(718) 542-0006","Seniors","2155 Virgil Place
Bronx, NEW YORK 10473
(40.822348788595, -73.850239575603)","40.822318","-73.850263","9","18","86","2022369","2036120013","Soundview-Castle Hill-Clason Point-Harding Park                            ","10473"
"Immigration Services,Immigrant Support Services,NDA Programs","NDA Immigrants","Tolentine -Zeiser Community Life Center/ St, Rita","Bronx","Catholic Charities Community Service, Archdiocese of N Y","718-365-4360 ","Adult","2342 Andrews Av (near Fordham Rd
Bronx, NEW YORK 10468
(40.869693003729, -73.898926992487)","40.862324","-73.906553","7","14","255","2094685","2032180035","Kingsbridge Heights                                                        ","10468"
"Family Support,NDA Programs","Health Stat Initiative","Make the Road New York","Brooklyn","Make the Road New York","718.418.7690","All Ages","301 Grove St
Brooklyn, NEW YORK 11237
(40.698428502523, -73.915623474994)","40.698448","-73.915629","4","37","433","3075926","3033170041","Bushwick North                                                             ","11237"
"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Brooklyn Chinese American Association","Brooklyn","Brooklyn Chinese American Association","718-438-0008","A parent 16 Years Old or Older ","5010 8th Avenue
Brooklyn, NEW YORK 11220
(40.641053712241, -74.003818581755)","40.640998","-74.003848","7","38","108","3013420","3007940042","Sunset Park East                                                           ","11220"
"Immigration Services,Immigrant Support Services","Immigrant/Refugee Assistance","St. George's Episcopal Church","Queens","Flushing Jewish Community Council","718.463.0434","ESOL/Civics","135 33 38th Avenue
Queens, NEW YORK 11354
(40.768620220647, -73.827190280707)","40.760412","-73.83191","7","20","871","4457326","4049740049","Flushing                                                                   ","11354"
"Family Support,NDA Programs"," Housing","Project Home","New York","Refugee and Immigrant Services","(212) 674-9120","Adults","189 Allen
New York, NEW YORK 10002
(40.722179529789, -73.989107223936)",,,,,,,,,
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Oceanview Jewish Center","Brooklyn","Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.","(718) 891-0264","16+","3100 Brighton 4th Street
Brooklyn, NEW YORK 11235
(40.576645783547, -73.963209632669)","40.576651","-73.963189","13","48","36001","3245076","3086860067","Brighton Beach                                                             ","11235"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Jewish Community Council of Greater Coney Island, Inc.","Brooklyn","Jewish Community Council of Greater Coney Island, Inc.","(718) 449-5000 x 2237","16+","2600 Ocean Avenue
Brooklyn, NEW YORK 11229
(40.598089925354, -73.951269838066)","40.598158","-73.951186","15","48","578","3199766","3073520032","Madison                                                                    ","11229"
"Immigration Services,Immigrant Support Services","Immigrant/Refugee Assistance","Jay Senior Center","Brooklyn","Shorefront Jewish Community Council","718.743.0575","Adult","2600 Ocean Avenue
Brooklyn, NEW YORK 11229
(40.598089925354, -73.951269838066)","40.598158","-73.951186","15","48","578","3199766","3073520032","Madison                                                                    ","11229"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Jonas Bronck Housing for Seniors","Bronx","The Friends of Crown Heights Educational Centers, Inc.","(718) 542-0006","Seniors","230 179th Street
Bronx, NEW YORK 10457
(40.850932139823, -73.903961120569)",,,,,,,,,
"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Public School 73 - The Bronx School","Bronx","Highbridge Community Life Center (HCLC)","718-681-2222","A parent 16 Years Old or Older ","1020 Anderson Avenue
Bronx, NEW YORK 10452
(40.832779162508, -73.926733511735)","40.832706","-73.926838","4","8","189","2003051","2025040082","Highbridge                                                                 ","10452"
"Reading & Writing,NDA Programs,Family Literacy","Adolescent Literacy","MS 324 - Patria Mirabal School","New York","The Children's Aid Society","212.740.8655","grades 6 to 8","21 Jumel Place
New York, NEW YORK 10032
(40.839324204902, -73.936126103534)","40.839305","-73.936159","12","10","249","1076741","1021120058","Washington Heights South                                                   ","10032"
"Immigration Services,Immigrant Support Services","Services - Immigrant Families","JFK High School - Children's Arts & Science","Bronx","Children's Arts & Science Workshops, Inc.","212-923-7766","All Ages","99 Terrace View Avenue
Bronx, NEW YORK 10463
(40.877210772674, -73.91213621129)","40.877105","-73.912256","8","10","309","1064532","1022150080","Marble Hill-Inwood                                                         ","10463"
"Family Support,NDA Programs","Healthy Families","Brooklyn Housing & Family Services, Inc.","Brooklyn","Filomena Gardens","(718) 435-7585",,"415 Albemarle Road
Brooklyn, NEW YORK 11218
(40.645480602026, -73.976688033036)","40.64551","-73.976296","12","39","500","3124269","3053270041","Windsor Terrace                                                            ","11218"
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","Council of Jewish Orgainzations of Flatbush, Inc.","Brooklyn","CAMBA Adult Literacy Center","(718) 377-2900"," High School","1550 Coney Island Avenue
Brooklyn, NEW YORK 11230
(40.619697574375, -73.964314154293)","40.619517","-73.964188","12","44","454","3171988","3065460011","Ocean Parkway South                                                        ","11230"
