"contracting_company","company_representative","representative_phone","representative_email","site_address","block","lot","borough","work_description","keywords","contract_amount","start_date","zip_code","cb","upload_date","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"521 Bergen Properties LLC","MGNY Consulting Corp","718 522-1111","michael@mgnyconsulting.com","521 Bergen Avenue","2293","23","Bronx","Commercial, Retail, Alteration","hvac, electrical, plumbing, etc.","$9,410,000.00","2019-09-20T00:00:00.000","10455","Bronx 1","2021-11-26T09:18:50.000","40.815315","-73.917475","1","17","43","2000530","2022930023","Mott Haven-Port Morris"
"Next Generation Fulton LLC","Lawrence J. Berger, P.C.","212 532-0222","jfriedman@ljbpc.com","1 Hoyt Street","157","9","Brooklyn","Commercial, Alteration","electric, mechanical, plumbing , steel, and sprinkler, framing & sheetrock, ceilings, lighting fixtures, painting & taping, flooring, fire alarm, signage, low voltage, plumbing fixtures, tiling, bathroom accessories, millwork, doors and jambs","$9,000,000.00","2021-09-17T00:00:00.000","11201","Brooklyn 2","2021-11-26T09:18:50.000","40.690419","-73.985190","2","33","37","3332518","3001570009","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"PB 151 Grand LLC","Tener Consulting Services","212 337-0120","dtener@tener.net","151 Grand St.","233","17","Manhattan","Alteration, commercial, retail","flooring, electrical, hvac, drywall, masonry, concrete, metal, glass, stone, tile","$6,000,000.00","2016-03-01T00:00:00.000","10013","Manhattan 2","2021-11-26T09:18:50.000","40.720094","-73.999188","2","1","45","1003049","1002330017","SoHo-TriBeCa-Civic Center-Little Italy"
"2669 Atlantic Avenue LLC","MGNY Consulting Corp.","718 522-1112","michael@mgnyconsulting.com","149 New Jersey Avenue","3671","143","Brooklyn","Hotel, new building","general contractor, electrical, foundation, electrical, etc.","$4,500,000.00","2019-04-25T00:00:00.000","11207","Brooklyn 5","2021-11-26T09:18:50.000","40.676364","-73.895951","5","37","1198",,,"East New York"
"144-150 Barrow Street LLC","Lawrence J. Berger P.C.","212 532-0222","jfriedman@ljbpc.com","150 Barrow Street","604","1","Manhattan","Hotel, alteration","demolition, excavation, dewatering, concrete, waterproofing, scaffolding, steel, drywall, millwork, tiling, carpeting, wood flooring, painting, fire protection, plumbing, hvac, electrical","$12,000,000.00","2017-08-21T00:00:00.000","10014","Manhattan 2","2021-11-26T09:18:50.000","40.732000","-74.010070","2","3","69","1010416","1006040001","West Village"
"19-20 Bush terminal Owner LP","Unger Realty Services, Inc.","718 859-3101","josepha@ungerrealty.com","4000 1st Avenue","710","1","Brooklyn","commercial alteration","elevator, electric","$2,500,000.00","2017-11-20T00:00:00.000","11232","Brooklyn 7","2021-11-26T09:18:50.000","40.655975","-74.013371","7","38","18","3010557","3007100001","Sunset Park West"
"Vee Holding LLC","Metropolitan Realty Exemptions Inc.","718 387-3004","Goldy@mretax.com","36 Taaffe Place","1881","47","Brooklyn","Commercial, Alteration, Addition to Existing Space","electric, plumbing, hvac, etc.","$3,000,000.00","2021-11-08T00:00:00.000","11205","Brooklyn 3","2021-11-26T09:18:50.000","40.697926","-73.960976","3","33","191","3054187","3018810041","Clinton Hill"
"SIP Holdings Venture, LLC","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","50 21st Street","635","13","Brooklyn","Commercial, new building","Fa̤ade, HVAC, electrical, carpentry, drywall, masonry, etc.","$50,000,00.00","2020-08-31T00:00:00.000","11232","Brooklyn 7","2021-11-26T09:18:50.000","40.664589","-73.998724","7","38","18","3009123","3006350100","Sunset Park West"
"AIH Group LLC","Moseson & Associates Corporation","718 327-5779","yehudamoseson@hotmail.com","97-11 Supthin Boulevard","10031","10","Queens","Hotel, new building","concrete, foundation, hvac, carpentry, steel, windows, etc.","$9,500,000.00","2018-05-01T00:00:00.000","11435","Queens 12","2021-11-26T09:18:50.000",,,,,,,,
"Midtown West Hotel, LLC","Anthony Como Associates","718 273-3080","acomo@nyrets.com","112 West 128th Street & 116 West 28th Street","803","48, 49 (New Lot)","Manhattan","Alteration, hote, retail, addition to existng space","GC, electrical, plumbing, etc.","$8,000,000.00","2018-09-01T00:00:00.000","10001","Manhattan 10","2021-11-26T09:18:50.000",,,,,,,,
"108 Delancey Street SM LLC","Hucke and Associates","212 279-9100","shucke@huckeandassociates.com","108 Delancey Street","410","67","Manhattan","Commercial, retail, alteration","demolition, excavation, foundation, concrete, structural steel, thermal moisture, facae, roofing, glass, glazing, elevator, mechanical, electrical, plumbing, etc.","$6,550,000.00","2020-02-14T00:00:00.000","10002","Manhattan 3","2021-11-26T09:18:50.000","40.718671","-73.988561","3","1","18","1005338","1004100067","Chinatown"
"Harrison Realty LLC","Ben Rottenstein Associates","(718) 855-6110","aj@jackjaffa.com","269 Wallabout Street","2249","41","Brooklyn","Commercial, New Building","electrical, plumbing, hvac, etc.","$5,778,150.00","2019-12-01T00:00:00.000","11206","Brooklyn 1","2021-11-26T09:18:50.000","40.701421","-73.949029","1","33","507","3000000","3022490041","Bedford"
"752 E Tremont LLC","MGNY Consulting Corp","718 522-1111","michael@mgnyconsulting.com","752 East Tremont Avenue","2951","57","Bronx","Alteration, Addition to Existing Space","hvac, electrical, plumbing, etc.","$3,000,000.00","2019-03-01T00:00:00.000","10457","Bronx 6","2021-11-26T09:18:50.000","40.844523","-73.889345","6","17","36901","2098823","2029510057","East Tremont"
"928 Coney Island LLC","MGNY Consulting Corp.","718 522-1111","michael@mgnyconsulting.com","928 Coney Island Avenue","5418","38, 39","Brooklyn","Commercial, hotel, new building","tile work, roofing, general contractor, electrical, etc.","$5,000,000.00","2017-02-01T00:00:00.000","11230","Brooklyn 14","2021-11-26T09:18:50.000","40.634834","-73.967520","14","40","482","3000000","3054180038","Flatbush"
"Swingstell, LLC","Unger Realty Services, Inc.","718 859-3101","josepha@ungerrealty.com","3200 Skillman Avenue","245","9","Queens","Commercial, industrial, altertion","windows, fa̤ade","$4,100,000.00","2020-10-26T00:00:00.000","11101","Queens 2","2021-11-26T09:18:50.000","40.746311","-73.933112","2","26","179","4003434","4002450009","Hunters Point-Sunnyside-West Maspeth"
"240 Broadway Property LLC","Seiden & Schein, P.C.","212 433-1400","taxincentives@seidenschein.com","240 Broadway","2140","13","Brooklyn","Commercial, Retail, Alteration","electrical, plumbing, hvac, etc.","$8,000,000.00","2020-07-01T00:00:00.000","11211","Brooklyn 1","2021-11-26T09:18:50.000","40.709086","-73.960096","1","33","525","3059648","3021400013","North Side-South Side"
"Northern 13770 Properties LLC","Law Office of Thomas E. Berinato","718 575-3400","tberinator@verizon.net","137-70 Northern Boulevard","4977","48","Queens","Commercial, residential, new building","plumbing, general construction, electric, carpentry, painting, etc.","$10,000,000.00","2017-01-02T00:00:00.000","11354","Queens 7","2021-11-26T09:18:50.000","40.763746","-73.828887","7","20","869","4112352","4049770048","Flushing"
"2686-2690 Broadway LLC","Seiden & Schien PC","212 935-1400","jayseiden@seidentschein.com","2686-2690 Broadway","1874","43, 44, 45","Manhattan","Commercial, new building, retail","Electrical, plumbing, carpentry, painting, elevators, etc.","$3,355,000.00","2021-11-01T00:00:00.000","10025","Manhattan 5","2021-11-26T09:18:50.000","40.798817","-73.968740","7","7","191","1056547","1018740045","Upper West Side"
"315 Liberty Ave LLC","Unger Realty Services, Inc.","718 859-3101","josepha@ungerrealty.com","315 Liberty Avenue","3684","1","Brooklyn","Commercial, new building","Electric, hvac, plumbing, etc.","$10,000,000.00","2018-06-20T00:00:00.000","11207","Brooklyn 5","2021-11-26T09:18:50.000","40.674107","-73.898529","5","37","1198","3083477","3036840001","East New York"
"Redfern FRP LLC","Tuchman Korngold Weiss Leibman & Gelles LLP","212 687-3747","bgottlieb@tkwll.com","626 Village Lane","15537","46, 50, 51, 53, 54, 55, 56, 57, 58, 59, 60, PO Lot 1 and 63, Tentative Lot 63","Queens","Commercial, new building","Earthwork, excavation and support, foundation, superstructure, masonry, structure steel & metals, wood, plastics & composits,  therman and moisture protection, wall panel system, roofing & waterproofing, doors frames & hardware, gates & access oors, aluminium storefronts, windows, interiors glazing and louvers, drywall & carpentry, lath, acoustics, tile/stone, lvt flooring, resilient flooring, wall covering, painting & kadex, specialties, window treatment, special furnishing, kitchen cabinets & vanities, residential appliances, countertops, special furnishings, conveying eqipment, car stackers, trash chaters & waste compactor, fire suppression, plumbing, HVAC, HVAC - PTAC, electrical, lighting fixtures, telecommunications","$3,921,000.00","2021-02-01T00:00:00.000","11691","Queens 14","2021-11-26T09:18:50.000",,,,,,,,
"RLF II Bassett LLC","Tushman, Korngold, Weiss, Liebman & Lindemann, LLP","212 687-3747","bgottlieb@tkwll.com","1502 Bassett Avenue","4226","5","Bronx","Commercial alteration","Roof, electrical, plumbing, equipment, pavement, flooring, hvac, fencing, paving, power washing, painting, landscaping, windows","$2,905,000.00","2018-12-15T00:00:00.000","10461","Bronx 11","2021-11-26T09:18:50.000","40.852834","-73.842170","11","13","296","2047123","2042260005","Pelham Parkway"
"BSREP III Nero LLC","Tener Consulting Services LLC","212 337-0120","dtener@tener.net","666 Fifth Avenue","1268","1102","Manhattan","Commercial, retail, alteration","fa̤ade repair and replacement, exterior improvements and upgrades, roofing, ceilings, lighting, stone, electrical, hvac, plumbing, etc.","$333,076,649.00","2019-09-15T00:00:00.000","10103","Manhattan 5","2021-11-26T09:18:50.000","40.760549","-73.976421","5","4","104","1034520","1012687502","Midtown-Midtown South"
"Jerome Hotel Holdings LLC","Astro Realty Brokerage LLC","(718) 478-2600","AstroRealtyNY@aol.com","1665 Jerome Avenue","2861","35","Bronx","Commercial, New Building, Hotel","Plumbing, HVAC, Sprinkler, Electrical, Roofing, Drywall, etc.","$6,000,000.00","2018-04-15T00:00:00.000","10453","Bronx 5","2021-11-26T09:18:50.000","40.845913","-73.913638","5","14","217","2000000","2028610035","University Heights-Morris Heights"
"LaGuardia Assoc. LP","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","104-04 Ditmars Boulevard","1640","25","Queens","Alteration of Hotel","Electrical, Metal Work, Plumbing & Carpentry","$4,894,941.00","2015-07-01T00:00:00.000","11369","Queens 3","2021-11-26T09:18:50.000","40.767715","-73.866570","3","21","357","4312893","4016400025","East Elmhurst"
"231 East 51st Street LLC","D'Agostino, Levine, Landesman & Lederman, LLP","212 564-9800","jvanvleet@dlpartnerlaw.com","231 East 51st Street","1325","17","Manhattan","Commercial, alteration","electrical, plumbing, hvac, etc.","$9,000,000.00","2019-06-15T00:00:00.000","10022","Manhattan 6","2021-11-26T09:18:50.000","40.756115","-73.969493","6","4","98","1038468","1013250017","Turtle Bay-East Midtown"
"JLR Brooklyn RE LLC","The Eagleton Kathe Company","305 234-1944","jim@eagletonkathe.com","809 Neptune Avenue","7247","113","Brooklyn","Commercial, retail, new building","electrical, carpentry, hvac, plumbing","$20,000,000.00","2017-01-01T00:00:00.000","11224","Brooklyn 13","2021-11-26T09:18:50.000","40.579814","-73.976402","13","47","348","3000000","3072470113","Seagate-Coney Island"
"King Street Owner LLC","Podell, Schwartz, Schechter & Banfield LLP","212 883-6500","pgreco@pssb-law.com","141 King Street","555","5","Brooklyn","Commercial, new building","concrete, shoring & underpinning drainage/sanitary/site utilities, dewatering, piles, masonry, caulking/waterproofing, site improvements, fence, gates, landscaping, framin, fireproofing, steel work, roofing, metal, paneling, millwork, aluminum & glass work, carpentry, drywall, ceiling, tiling, ceramics, flooring, painting, elevators, sprinkler, plumbing, electrical, security, hvac, stackers and solar","$16,500,000.00","2019-02-01T00:00:00.000","11231","Brooklyn 6","2021-11-26T09:18:50.000","40.678581","-74.011973","6","38","53",,,"Carroll Gardens-Columbia Street-Red Hook"
"Lowe's Home Centers LLC","Bradley S. Hincher","336 658-4640","bradley.s.hincher@lowes.com","242-02 61 Avenue","8286","185","Queens","Commercial, alteration","steel, masonry, electrical, plumbing, heating & carpentry","$13,135,000.00","2016-10-01T00:00:00.000","11362","Queens 11","2021-11-26T09:18:50.000","40.755545","-73.738834","11","23","152901","4438369","4082860185","Douglas Manor-Douglaston-Little Neck"
"IPG LIC 49th Ave Upper Floor Unit Property Owner LLC","Tener Consulting Services LLC","212 337-0120","dtenner@tener.net","24-02 49th Avenue","71","1005","Queens","Commercial, alteration","elevator, electrical, plumbing, hvac, etc.","$5,720,000.00","2020-04-20T00:00:00.000","11101","Queens 2","2021-11-26T09:18:50.000","40.741916","-73.946125","2","26","1","4000542","4000717501","Hunters Point-Sunnyside-West Maspeth"
"Noble BX, LLC","MGNY Consulting Corp","718 522-1111","michael@mgnyconsulting.com","4511 Furman Avenue","5084","9","Bronx","Commercial, hotel alteration","electrical, carpentry,  plumbing, masonry, hvac, etc.","$6,000,000.00","2020-12-01T00:00:00.000","10470","Bronx 12","2021-11-26T09:18:50.000","40.899869","-73.852067","12","11","434","2071129","2050840009","Woodlawn-Wakefield"
"Michelangelo GIIK Flatiron LLC","Seiden & Schein, P.C.","212 433-1400","taxincentives@seidenschein.com","175 Fifth Avenue","851","1","Manhattan","Commercial, alteration","Mechanical, electrical, plumbing, elevator, structural, carpentry, etc.","$34,650,000.00","2020-03-01T00:00:00.000","10010","Manhattan 5","2021-11-26T09:18:50.000","40.741132","-73.989870","5","2","56","1016278","1008510001","Hudson Yards-Chelsea-Flatiron-Union Square"
"Kings Hwy Development LLC","MGNY Consulting Corp.","718 522-1112","michael@mgnyconsuting.com","18 Bridge Street","6779","1","Brooklyn","Commercial","electrical, plumbing, hvac, etc.","$5,500,000.00","2016-04-01T00:00:00.000","11201","Brooklyn 2","2021-11-26T09:18:50.000","40.704247","-73.984603","2","33","21","3329403","3000200021","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"174 Mott Group  LLC","Anthony Como Associates","718 273-3030","acomo@nyrets.com","368 Broome Street","479","40","Manhattan","Commercial, alteration","mechanical, electrical, plumbing, windows, storefronts, roof, elevators, etc.","$5,000,000.00","2020-07-01T00:00:00.000","10013","Manhattan","2021-11-26T09:18:50.000","40.720110","-73.995833","2","1","41","1007174","1004790040","SoHo-TriBeCa-Civic Center-Little Italy"
"Erbo Properties LLC","Higher Grand 541 LLC","212 655-0552","ray@541w21.com","541 West 21st Street","693","10","Manhattan","Commercial, alteration","carpenter, electrician, elevator mechanic, fencer, glazier, insulation, iron worker, laborer, mason, painter, plie driver, plumber, pipe fitter, shet metal work, waterproofer, welder","$11,000,000.00","2019-05-31T00:00:00.000","10011","Manhattan 4","2021-11-26T09:18:50.000","40.746984","-74.006464","4","3","99","1012308","1006930010","Hudson Yards-Chelsea-Flatiron-Union Square"
"JELB WEBSTER SENIOR RETAIL LLC","Seiden & Schein P.C.","212 935-1400","taxincentives@seidenschein.com","2856 Webster Avenue","3273","to be formed condominium tax lot(s) on po Lot 118","Bronx","New Building, retail","GC, ext.","$3,109,750.00","2021-04-08T00:00:00.000","10458","Bronx 7","2021-11-26T09:18:50.000","40.866723","-73.884546","7","15","397","2016237","2032730118","Belmont"
"823 39th Street Brooklyn LLC","SJP Tax Consultants, Inc.","(718) 767-8216","sp@sjpny.com","825 39th Street","908","164","Brooklyn","New Building, Commercial","electrical, plumbing, hvac, etc.","$4,500,000.00","2015-06-01T00:00:00.000","11232","Brooklyn 12","2021-11-26T09:18:50.000","40.646852","-73.996587","12","38","90","3337390","3009080162","Sunset Park East"
"E & V Building LLC","MGNY Consulting Corporation","718 522-1111","michael@mgnyconsulting.com","2784 Coney Island Avenue","7224","70","Brooklyn","Commercial, retail, alteration","electrical, plumbing, hvac, etc.","$3,500,000.00","2020-03-01T00:00:00.000","11235","Brooklyn 13","2021-11-26T09:18:50.000","40.588563","-73.960460","13","48","370","3196025","3072240070","Brighton Beach"
"SIP Holdings Venture, LLC","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","73 20th Street","635","11","Brooklyn","Commercial, new building","Fa̤ade, HVAC, electrical, carpentry, drywall, masonry, etc.","$13,200,000.00","2020-08-31T00:00:00.000","11232","Brooklyn 7","2021-11-26T09:18:50.000","40.665105","-73.997999","7","38","18","3395774","3006350011","Sunset Park West"
"122 Fifth Associates LLC","Marcus & Pollack","212 490-2900","jmarcus@marcuspollack.com","122 Fifth Avenue, New York, NY 10011","819","39","Manhattan","Commercial, retail, alteration, addition to existing space","Fa̤ade, HVAC, electrical, carpentry, drywall, masonry, etc.","$93,600,000.00","2021-02-01T00:00:00.000","10011","Manhattan 5","2021-11-26T09:18:50.000",,,,,,,,
"88 Wall Street LLC","Marcus & Pollack, LLP","212-490-2900","jmarcus@marcuspollack.com","80 & 82 Wall Street","39","1, 4","Manhattan","Hotel, Alteratio,","concrete, steel, electrical, hvac, plumbing, utilities, etc.","$30,000,000.00","2018-08-01T00:00:00.000","10005","Manhattan 1","2021-11-26T09:18:50.000",,,,,,,,
"Morgan Steel LLC","New York Grant Company","646-673-9709","ann@nygrants.com","333 Johnson Avenue","3056","200, 230","Brooklyn","Industrial, alteration","Demolition, site abatement, electrical, fire alarm, hvac, plumbing, mechanical, sprinkler, steel, carpentry","$45,000,000.00","2019-01-20T00:00:00.000","11206","Brooklyn 1","2021-11-26T09:18:50.000","40.707354","-73.935279","1","34","485","3071198","3030560230","Bushwick South"
"1462 Atlantic Avenue LLC","MGNY Consulting Corporation","718 522-1111","michael@mgnyconsulting.com","1462 Atlantic Avenue","1203","10","Brooklyn","New building, hotel","concrete, steel, electrical, carpentry, hvac, plumbing","$3,000,000.00","2015-09-15T00:00:00.000","11216","Brooklyn 8","2021-11-26T09:18:50.000","40.678085","-73.942943","8","36","313","3029869","3012030010","Crown Heights North"
"Domino A LLC and Domino B LLC","Tuchman Korngold Weiss Leibman & Gelles LLP","212 687 3747","bgottlieb@tkwlg.com","292 Kent Avenue","2414","25","Brooklyn","Commercial, New Building, Retail, Alteration","Structural Steel, Concrete, Electric, Plumbing, Sprinkler, HVAC and fa̤ade trades, etc.","$80,000,000.00","2020-01-15T00:00:00.000","11249","Brooklyn 1","2021-11-26T09:18:50.000","40.714616","-73.966839","1","33","551","3335796","3024140025","North Side-South Side"
"2368 Hoffman Street BRX LLC","Ben Rottenstein Associates","718 855-6110","aj@jackjaffa.com","2368 Hoffman Street","3065","27","Bronx","Commercial alteration","electrical, painting, plumbing, carpenters, etc.","$4,000,000.00","2020-09-01T00:00:00.000","10458","Bronx 6","2021-11-26T09:18:50.000","40.855328","-73.889045","6","15","391","2011888","2030650027","Belmont"
"Two Fulton Square LLC","Top 8 Construction","718 713-0232","tom.barone@fandtgroup.com","133-27 39th Avenue","4972","65","Queens","New building, retail, residential","earthwork, foundation, site work, concrete, masonry, metals, hvac, elec.","$48,805,216.00","2016-09-01T00:00:00.000","11354","Queens 7","2021-11-26T09:18:50.000","40.759115","-73.834172","7","20","871","4618349","4049727504","Flushing"
"3108 Northern Blvd LLC","Tuchman, Korngold, Weiss, Liebman & Lindemann, LLP","212 687-3747","bgottlieb@twkwll.com","31-08 Northern Boulevard","239","105, 109, 150, 210","Queens","Commercial, new building","steel, framing, hvac, electrical, plumbing, sprinkler/standpipe, drywall, painting flooring, fire alarm, rough carpentry, masonry/concrete, millwork, windows, finishing, insulation, roofing, elevator/asphalt, foundation/excavation, doors/frames/hardware, facade","$29,500,000.00","2019-01-15T00:00:00.000","11101","Queens 1","2021-11-26T09:18:50.000","40.751669","-73.933507","1","26","171","4003414","4002390105","Hunters Point-Sunnyside-West Maspeth"
"Vorea Jackson LLC","Seiden & Schein PC","212 935-1400","taxincentives@seidenschein.com","23-20 Jackson Avenue","85","5","Queens","Commercial, retail, new building","electric, plumbing, hvac, etc.","$27,500,000.00","2019-05-01T00:00:00.000","11101","Queens 2","2021-11-26T09:18:50.000","40.745914","-73.945382","2","26","19","4000708","4000850005","Hunters Point-Sunnyside-West Maspeth"
"One Boerum Development Partners LLC","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","One Boerum Place","153","3","Brooklyn","Retail, new building","foundation, steel, concrete, electricaal, plumbing, hvac, elevators, masonry, carpentry, windows, storefront, fire alarm, etc.","$8,000,000.00","2019-02-01T00:00:00.000","11201","Brooklyn 2","2021-11-26T09:18:50.000","40.691962","-73.989059","2","33","37","3000417","3001530003","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"TGL Community Facility LLC, TGL Retail 1 LLC, TGL Retail 2 LLC, TGL Storage LLC","Goldfarb & Fleece LLP","212 891-9121","rburton@gflegal.com","1 Seventh Avenue","607","1500, 1501, 1502, 1503","Manhattan","Commercial retail, alteration","millwork, glass, glazing, tile, flooring, paint, wall covering, window treatment, fire suppression, lighting, doors, frames and hardware, electrical, carpentry, hvac, plumbing","$6,000,000.00","2017-07-14T00:00:00.000","10011","Manhattan 2","2021-11-26T09:18:50.000","40.736658","-74.001018","2","3","71","1089806","1006077503","West Village"
"96 North 10th Street Holding","Ben Rottenstein Associates","718 855--6110","aj@jackjaffa.com","96 North 10th Street","2303","9","Brooklyn","Commercial, retail, alteration","electrical, sprinklers, plumbing, windows, elevators, etc.","$7,500,000.00","2020-03-01T00:00:00.000","11249","Brooklyn 1","2021-11-26T09:18:50.000","40.720879","-73.958181","1","33","557","3061651","3023030009","North Side-South Side"
"75 Broad LLC","Akerman LLP","212 822-2211","djuro.villaran-rokovich@akerman.com","75 Broad St.","29","70","Manhattan","Commercial, alteration","steel, electrical, plumbing, painting, carpentry, hvac, steel","$19,434,810.00","2016-05-17T00:00:00.000","10004","Manhattan 1","2021-11-26T09:18:50.000","40.704541","-74.011552","1","1","9","1000849","1000290070","Battery Park City-Lower Manhattan"
"3005 GC LLC","MGNY Consulting Corporation","718 522-1111","michael@mgnyconsulting.com","300 Grand Councourse","3310","72","Bronx","Commercial, new building","elevator, electrical, plumbing, hvac, etc.","$6,000,000.00","2020-04-01T00:00:00.000","10468","Bronx 1","2021-11-26T09:18:50.000",,,,,,,,
"135 W 29 Leasehold Owner, LLC","Marcus & Pollack","212 490-2900","jmarcus@marcuspollack.com","135 West 29th Street, New York, NY 10001","805","19","Manhattan","Commercial, Retail, Alteration","Elevators, Plumbing, Fa̤ade, Carpentry, Painting, etc.","$8,000,000.00","2021-04-30T00:00:00.000","10001","Manhattan 5","2021-11-26T09:18:50.000",,,,,,,,
"107 North First Street Realty LLC","Tuchman, Korngold, Weiss, Liebman & Lindemann, LLP","212 599-4459","bgottlieb@tkwll.com","109 North 1st Street","2364","26","Brooklyn","Commercial, alteration","electrical, fire alarm, hvac, plumbing, mechanical, sprinkler, steel, elevator, asbestos, sidewalk","$3,600,000.00","2018-05-15T00:00:00.000","11249","Brooklyn 1","2021-11-26T09:18:50.000","40.715759","-73.962639","1","34","555","3062443","3023640026","North Side-South Side"
"19-20 Bush terminal Owner LP","Unger Realty Services, Inc.","718 859-3101","josepha@ungerrealty.com","52-74 39th Street","706","24","Brooklyn","Commercial, alteration","elevator, electric, etc.","$2,500,000.00","2017-11-20T00:00:00.000","11232","Brooklyn 7","2021-11-26T09:18:50.000","40.656980","-74.013342","7","38","18","3332010","3007060024","Sunset Park West"
