"bronx_cooperatives_comparable_properties_boro_block_lot","bronx_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","bronx_cooperatives_comparable_properties_neighborhood","bronx_cooperatives_comparable_properties_building_classification","bronx_cooperatives_comparable_properties_total_units","bronx_cooperatives_comparable_properties_year_built","bronx_cooperatives_comparable_properties_gross_sqft","bronx_cooperatives_comparable_properties_est_gross_income","bronx_cooperatives_comparable_properties_gross_income_per_sqft","bronx_cooperatives_comparable_properties_full_market_value","bronx_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_est_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_dist_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_est_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_dist_from_coop_in_miles"
"2-05714-0164","3125 TIBBETT AVENUE
Bronx, NY 
(40.881142378294, -73.9081399706)","2","10463","40.881195","-73.908042","8","11","289","2091858","2057140164","Spuyten Duyvil-Kingsbridge                                                 ",,,,,"234000","1852015","7.91","3930000","16.79","2-03248-0049","2685 UNIVERSITY AVENUE
Bronx, NY 
(40.825576999979, -73.918448999722)","KINGSBRIDGE/JEROME PARK","D7-ELEVATOR","193","1926","200000","2400603","12","6750000","33.8","0.95","2-05759-0573","3411 IRWIN AVENUE
Bronx, NY 
(40.884596845168, -73.905535532873)","KINGSBRIDGE/JEROME PARK","D3-ELEVATOR","401","1962","345000","2505955","7.26","5310000","15.39","0.2"
"2-05771-0041","474 238 STREET
Bronx, NY 
(40.887492918014, -73.906053246915)","2",,,,,,,,,,,,,,"76500","956250","12.5","2690000","35.2","2-05773-0290","275 238 STREET
Bronx, NY 
(40.88556828581, -73.901694586434)","KINGSBRIDGE/JEROME PARK","D1-ELEVATOR","72","1937","71091","997401","14.03","3110000","43.7","0.3","2-05795-0537","3555 NETHERLAND AVENUE
Bronx, NY 
(40.886372374526, -73.910726409353)","RIVERDALE","D1-ELEVATOR","55","1939","60792","690719","11.36","1790000","29.4","0.25"
"2-02684-0074","986 LEGGETT AVENUE
Bronx, NY 
(40.814631976912, -73.899936085143)","2","10455","40.814645","-73.899915","2","17","83","2005100","2026840074","Longwood                                                                   ",,,,,"16950","170395","10.05","361000","21.3","2-02612-0053","1253 FRANKLIN AVENUE
Bronx, NY 
(40.830921022465, -73.902870461666)","MORRISANIA/LONGWOOD","C1-WALK-UP","37","1916","33055","278466","8.42","590000","17.85","1.15","2-02266-0020","550 139 STREET
Bronx, NY 
(40.807704734233, -73.917561175815)","MOTT HAVEN/PORT MORRIS","C7-WALK-UP","11","1931","11405","210856","18.49","788000","69","1"
"2-05919-0436","3777 INDEPENDENCE AVENUE
Bronx, NY 
(40.888990840119, -73.913056791538)","2","10463","40.8889","-73.913036","8","11","309","2085871","2059190436","North Riverdale-Fieldston-Riverdale                                        ",,,,,"255000","3085500","12.1","8670000","34","2-04342-0010","2280 OLINVILLE AVENUE
Bronx, NY 
(40.859362051632, -73.868536757872)","BRONXDALE","D1-ELEVATOR","256","1965","255000","3151521","12.36","8860000","34.7","3.15","2-05909-0163","3950 BLACKSTONE AVENUE
Bronx, NY 
(40.890261642548, -73.911362719053)","RIVERDALE","D1-ELEVATOR","176","1959","237000","3082644","13.01","9600000","40.5","0.25"
"2-05909-0031","4499 HENRY HUDSON PARKWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","2","10471","40.890936","-73.908487","8","11","30701","2091892","2059090031","North Riverdale-Fieldston-Riverdale                                        ",,,,,"70000","1043000","14.9","3530000","50","2-05793-0467","3555 OXFORD AVENUE
Bronx, NY 
(40.88632086694, -73.908793797665)","RIVERDALE","D1-ELEVATOR","57","1960","72553","895116","12.34","2520000","34.7","0.4","2-05907-0348","3725 BLACKSTONE AVENUE
Bronx, NY 
(40.888932645311, -73.911592854676)","RIVERDALE","D1-ELEVATOR","42","1968","41803","660893","15.81","2230000","53","0.15"
"2-04325-0021","2121 PAULDING AVENUE
Bronx, NY 
(40.853992209629, -73.859820173488)","2","10462","40.854146","-73.859861","11","13","248","2049530","2043250021","Pelham Parkway                                                             ",,,,,"153804","2025598","13.17","6310000","41","2-04323-0018","2160 MATTHEWS AVENUE
Bronx, NY 
(40.855584960591, -73.862859391516)","PELHAM PARKWAY SOUTH","D1-ELEVATOR","133","1964","136122","1793068","13.17","5580000","41","0.15",,,,,,,,,,,,
"2-03073-0041","2386 ARTHUR AVENUE
Bronx, NY 
(40.855246380615, -73.887790918873)","2","10458","40.855226","-73.887834","6","15","391","2012139","2030730041","Belmont                                                                    ",,,,,"10776","114764","10.65","243000","22.55","2-03078-0010","2500 ARTHUR AVENUE
Bronx, NY 
(40.857575550821, -73.885815272598)","BELMONT","C7-WALK-UP","16","1903","13600","165017","12.13","464000","34.1","0.2","2-03086-0007","643 182 STREET
Bronx, NY 
(40.851216932019, -73.888496981664)","BELMONT","C7-WALK-UP","17","1907","11232","118107","10.52","306000","27.2","0.2"
"2-03199-0066","2410 DAVIDSON AVENUE
Bronx, NY 
(40.861731752566, -73.902956656266)","2","10468","40.861816","-73.902949","7","14","253","2014322","2031990066","Kingsbridge Heights                                                        ",,,,,"40000","438000","10.95","1140000","28.5","2-03214-0074","2525 AQUEDUCT AVENUE
Bronx, NY 
(40.865387472356, -73.902181339293)","KINGSBRIDGE HTS/UNIV HTS","C1-WALK-UP","51","1923","42790","450316","10.52","1170000","27.3","0.3","2-03213-0063","60 190 STREET
Bronx, NY 
(40.863089582584, -73.898710505205)","KINGSBRIDGE HTS/UNIV HTS","C1-WALK-UP","47","1922","45035","485413","10.78","1260000","28","0.2"
"2-03095-0007","700 OAKLAND PLACE
Bronx, NY 
(40.847341815736, -73.889453102335)","2","10457","40.8473","-73.889319","6","17","371","2012658","2030950007","East Tremont                                                               ",,,,,"25176","283230","11.25","734000","29.2","2-03129-0018","938 BRONX PARK
Bronx, NY 
(40.845744061264, -73.87987515035)","EAST TREMONT","D1-ELEVATOR","38","1931","37000","514535","13.91","1600000","43.2","0.45","2-03198-0110","15 EVELYN PLACE
Bronx, NY 
(40.85927089196, -73.904169644077)","KINGSBRIDGE HTS/UNIV HTS","D1-ELEVATOR","30","1931","29892","330537","11.06","857000","28.7","1.2"
"2-02878-0061","1641 ANDREWS AVENUE
Bronx, NY 
(40.848267885988, -73.919415392994)","2","10453","40.848236","-73.919411","5","14","21501","2009001","2028780061","University Heights-Morris Heights                                          ",,,,,"55750","543562","9.75","1150000","20.63","2-02865-0032","1566 MACOMBS ROAD
Bronx, NY 
(40.825576999979, -73.918448999722)","HIGHBRIDGE/MORRIS HEIGHTS","C1-WALK-UP","56","1925","60000","584726","9.75","1240000","20.67","0.35","2-02879-0080","1834 PHELAN PLACE
Bronx, NY 
(40.853071904671, -73.916562723999)","HIGHBRIDGE/MORRIS HEIGHTS","C1-WALK-UP","60","1926","55700","504123","9.05","1200000","21.54","0.35"
"2-04252-0017","1910 PELHAM PARKWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","2","10461","40.855675","-73.829012","10","13","300","2047829","2042520017","Pelham Bay-Country Club-City Island                                        ",,,,,"44329","564751","12.74","1590000","35.9","2-04178-0010","3555 BRUCKNER BOULEVARD
Bronx, NY 
(40.825576999979, -73.918448999722)","SCHUYLERVILLE/PELHAM BAY","D3-ELEVATOR","142","1960","112000","1426482","12.74","4010000","35.8","0.5","2-04246-0020","2025 CONTINENTAL AVENUE
Bronx, NY 
(40.852503424205, -73.829825319969)","SCHUYLERVILLE/PELHAM BAY","D1-ELEVATOR","55","1963","57840","481575","8.33","1020000","17.63","0.15"
"2-04251-0011","1874 PELHAM PARKWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","2","10461","40.85552","-73.830415","10","13","300","2047812","2042510011","Pelham Bay-Country Club-City Island                                        ",,,,,"85218","1085677","12.74","3050000","35.8","2-04246-0020","2025 CONTINENTAL AVENUE
Bronx, NY 
(40.852503424205, -73.829825319969)","SCHUYLERVILLE/PELHAM BAY","D1-ELEVATOR","55","1963","57840","481575","8.33","1020000","17.63","0.15","2-04178-0010","3555 BRUCKNER BOULEVARD
Bronx, NY 
(40.825576999979, -73.918448999722)","SCHUYLERVILLE/PELHAM BAY","D3-ELEVATOR","142","1960","112000","1426482","12.74","4010000","35.8","0.5"
"2-03218-0074","2265 DR
Bronx, NY 
(40.825576999979, -73.918448999722)","2",,,,,,,,,,,,,,"46440","464400","10","1100000","23.69","2-03203-0038","2487 DAVIDSON AVENUE
Bronx, NY 
(40.863818748432, -73.901496787781)","KINGSBRIDGE HTS/UNIV HTS","D1-ELEVATOR","42","1931","36750","412997","11.24","1070000","29.1","0.3","2-03228-0097","1945 LORING PLACE
Bronx, NY 
(40.855367621922, -73.914208972549)","KINGSBRIDGE HTS/UNIV HTS","D1-ELEVATOR","42","1927","47500","468574","9.86","1110000","23.37","0.6"
"2-03293-0052","274 194 STREET
Bronx, NY 
(40.864814857741, -73.892478126009)","2",,,,,,,,,,,,,,"18500","212195","11.47","450000","24.32","2-03278-0018","2726 DECATUR AVENUE
Bronx, NY 
(40.865475149577, -73.888059019446)","BEDFORD PARK/NORWOOD","C1-WALK-UP","31","1915","24080","262087","10.88","679000","28.2","0.3","2-03277-0014","2656 DECATUR AVENUE
Bronx, NY 
(40.864044879438, -73.889596273764)","BEDFORD PARK/NORWOOD","C1-WALK-UP","23","1910","22000","289429","13.16","614000","27.9","0.2"
"2-05785-0268","3299 CAMBRIDGE AVENUE
Bronx, NY 
(40.883831709832, -73.908685062721)","2","10463","40.884793","-73.908308","8","11","295","2084073","2057850268","Spuyten Duyvil-Kingsbridge                                                 ",,,,,"111675","1340100","12","3770000","33.8","2-05746-0567","2675 HENRY HUDSON PARKWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","RIVERDALE","D1-ELEVATOR","78","1951","92782","1170220","12.61","3290000","35.5","0.55","2-05787-0137","3220 NETHERLAND AVENUE
Bronx, NY 
(40.883961568175, -73.911511205264)","RIVERDALE","D1-ELEVATOR","85","1954","100498","1228776","12.23","3450000","34.3","0.1"
"2-03383-0001","4260 KATONAH AVENUE
Bronx, NY 
(40.897357927919, -73.867104111231)","2","10470","40.897335","-73.867134","12","11","45101","2019336","2033830001","Woodlawn-Wakefield                                                         ",,,,,"93645","1087504","11.61","2310000","24.67","2-03308-0051","253 202 STREET
Bronx, NY 
(40.872917301805, -73.88514514725)","BEDFORD PARK/NORWOOD","D1-ELEVATOR","101","1965","101050","1129955","11.18","2930000","29","1.95","2-03395-0047","530 234 STREET
Bronx, NY 
(40.897260756984, -73.863334123436)","WOODLAWN","D7-ELEVATOR","88","1955","113670","959974","8.45","2040000","17.95","0.15"
"2-04256-0003","1944 UNIONPORT ROAD
Bronx, NY 
(40.849950335768, -73.86875865479)","2","10462","40.849848","-73.868841","11","15","230","2047874","2042560003","Van Nest-Morris Park-Westchester Square                                    ",,,,,"56634","568605","10.04","1350000","23.84","2-04284-0001","2039 CRUGER AVENUE
Bronx, NY 
(40.85151387209, -73.866826178161)","MORRIS PARK/VAN NEST","D1-ELEVATOR","73","1935","81456","777618","9.55","1850000","22.71","0.15","2-04285-0010","2036 CRUGER AVENUE
Bronx, NY 
(40.851373130657, -73.866758916347)","MORRIS PARK/VAN NEST","D1-ELEVATOR","43","1937","43854","440155","10.04","1050000","23.94","0.15"
"2-02474-0015","825 WALTON AVENUE
Bronx, NY 
(40.825799600355, -73.925029194073)","2","10451","40.825717","-73.925032","4","8","63","2002903","2024740015","West Concourse                                                             ",,,,,"44304","524780","11.84","1470000","33.2","2-02436-0033","1245 FINDLAY AVENUE
Bronx, NY 
(40.833674757128, -73.911866063217)","MELROSE/CONCOURSE","D1-ELEVATOR","67","1924","48870","487880","9.98","1160000","23.74","0.9","2-02432-0005","986 MORRIS AVENUE
Bronx, NY 
(40.828527009337, -73.916800136382)","MELROSE/CONCOURSE","D1-ELEVATOR","30","1929","34125","453026","13.28","960000","28.1","0.55"
"2-03173-0013","2420 MORRIS AVENUE
Bronx, NY 
(40.86117304681, -73.90010446152)","2","10468","40.861182","-73.900159","5","14","23703","2013904","2031730013","Fordham South                                                              ",,,,,"75010","746349","9.95","1770000","23.6","2-03143-0001","2100 TIEBOUT AVENUE
Bronx, NY 
(40.853292871978, -73.89856816685)","FORDHAM","D1-ELEVATOR","84","1971","86275","1216326","14.1","2580000","29.9","0.5","2-03169-0045","2089 CRESTON AVENUE
Bronx, NY 
(40.853941916863, -73.903741779661)","FORDHAM","D1-ELEVATOR","92","2003","92728","868550","9.37","2070000","22.32","0.55"
"2-05722-0445","555 KAPPOCK STREET
Bronx, NY 
(40.878183769341, -73.917330021908)","2","10463","40.87807","-73.917484","8","11","29302","2083246","2057220445","Spuyten Duyvil-Kingsbridge                                                 ",,,,,"539000","6387150","11.85","17900000","33.2","2-03115-9021","2481 SOUTHERN BOULEVARD
Bronx, NY 
(40.855876005422, -73.880994737537)","BELMONT","D3-ELEVATOR","311","1975","249600","3019551","12.1","7180000","28.8","2.4","2-05909-0825","630 246 STREET
Bronx, NY 
(40.892304399856, -73.911313521866)","RIVERDALE","D3-ELEVATOR","403","1958","443283","9589106","21.63","39700000","90","0.9"
"2-03016-0005","1898 LONGFELLOW AVENUE
Bronx, NY 
(40.839101161617, -73.882087398869)","2","10460","40.838936","-73.882325","6","17","359","2010964","2030160005","East Tremont                                                               ",,,,,"19250","206297","10.72","437000","22.7","2-03055-0014","540 187 STREET
Bronx, NY 
(40.856573766863, -73.889546534311)","BELMONT","C1-WALK-UP","17","1910","13600","135306","9.95","322000","23.68","1.25","2-03282-0042","2679 DECATUR AVENUE
Bronx, NY 
(40.864442941075, -73.889308204821)","BEDFORD PARK/NORWOOD","C1-WALK-UP","17","1912","18839","188236","9.99","399000","21.18","1.85"
"2-05748-0500","3001 HENRY HUDSON PARKWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","2","10463","40.882699","-73.9161","8","11","301","2083488","2057480500","Spuyten Duyvil-Kingsbridge                                                 ",,,,,"140000","1680000","12","4720000","33.7","2-05773-0290","275 238 STREET
Bronx, NY 
(40.88556828581, -73.901694586434)","KINGSBRIDGE/JEROME PARK","D1-ELEVATOR","72","1937","71091","997401","14.03","3110000","43.7","0.85","2-05769-0132","3660 WALDO AVENUE
Bronx, NY 
(40.887054233434, -73.904139372067)","KINGSBRIDGE/JEROME PARK","D1-ELEVATOR","86","1940","72000","1044871","14.51","3530000","49","0.65"
"2-02421-0013","270 162 STREET
Bronx, NY 
(40.82645700183, -73.91782103863)","2",,,,,,,,,,,,,,"10675","120950","11.33","256000","23.98","2-02430-0033","1191 CLAY AVENUE
Bronx, NY 
(40.831925030072, -73.910913985357)","MELROSE/CONCOURSE","C1-WALK-UP","12","1929","11500","140601","12.23","395000","34.3","0.5","2-02427-0018","1268 CLAY AVENUE
Bronx, NY 
(40.833666143802, -73.909851664709)","MELROSE/CONCOURSE","C1-WALK-UP","12","1909","11345","102734","9.06","218000","19.22","0.65"
"2-05795-0518","3530 HENRY HUDSON PARKWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","2","10463","40.886429","-73.912248","8","11","297","2084162","2057950518","Spuyten Duyvil-Kingsbridge                                                 ",,,,,"312000","3588000","11.5","9260000","29.7","2-05909-0825","630 246 STREET
Bronx, NY 
(40.892304399856, -73.911313521866)","RIVERDALE","D3-ELEVATOR","403","1958","443283","9589106","21.63","39700000","90","0.35","2-05903-0283","3611 HENRY HUDSON PARKWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","RIVERDALE","D3-ELEVATOR","123","1951","134000","1961368","14.64","6630000","49.5","0.1"
"2-02968-0035","810 RITTER PLACE
Bronx, NY 
(40.830850271595, -73.898447463132)","2","10459","40.830906","-73.898","3","17","151","2010324","2029680035","Morrisania-Melrose                                                         ",,,,,"17520","200604","11.45","425000","24.26","2-02422-0048","299 162 STREET
Bronx, NY 
(40.826180186611, -73.9167894267)","MELROSE/CONCOURSE","C1-WALK-UP","21","1910","17550","180957","10.31","430000","24.5","1.05","2-02955-0005","1912 PROSPECT AVENUE
Bronx, NY 
(40.84342140114, -73.889802947777)","EAST TREMONT","C1-WALK-UP","21","1910","18250","226515","12.41","637000","34.9","1"
"2-03209-0045","2333 GRAND AVENUE
Bronx, NY 
(40.825576999979, -73.918448999722)","2","10468","40.860771","-73.90465","7","14","253","2014559","2032090045","Kingsbridge Heights                                                        ",,,,,"40428","462900","11.45","1300000","32.2","2-03196-0001","2200 GRAND AVENUE
Bronx, NY 
(40.825576999979, -73.918448999722)","KINGSBRIDGE HTS/UNIV HTS","D1-ELEVATOR","49","1932","45387","426287","9.39","904000","19.92","0.2","2-03218-0052","2325 DR
Bronx, NY 
(40.825576999979, -73.918448999722)","KINGSBRIDGE HTS/UNIV HTS","D1-ELEVATOR","49","1924","39792","601753","15.12","2030000","51","0.1"
"2-05779-0820","3840 GREYSTONE AVENUE
Bronx, NY 
(40.888520649836, -73.90484668984)","2","10463","40.888257","-73.904958","8","11","335","2084039","2057790820","North Riverdale-Fieldston-Riverdale                                        ",,,,,"186480","2424240","13","7550000","40.5","2-05909-0163","3950 BLACKSTONE AVENUE
Bronx, NY 
(40.890261642548, -73.911362719053)","RIVERDALE","D1-ELEVATOR","176","1959","237000","3082644","13.01","9600000","40.5","0.4","2-05920-0670","3801 HUDSON MANOR TERRACE
Bronx, NY 
(40.888545076654, -73.915673378076)","RIVERDALE","D1-ELEVATOR","135","1960","152400","2071191","13.59","6450000","42.3","0.55"
"2-05759-0364","3240 RIVERDALE AVENUE
Bronx, NY 
(40.883444836663, -73.907775609496)","2","10463","40.883355","-73.90793","8","11","285","2083674","2057590364","Spuyten Duyvil-Kingsbridge                                                 ",,,,,"67987","815844","12","2290000","33.7","2-05827-1620","244 FIELDSTON TERRACE
Bronx, NY 
(40.896252862234, -73.89906520725)","FIELDSTON","D1-ELEVATOR","72","1961","63237","702836","11.11","1820000","28.8","0.9","2-05864-0516","6555 BROADWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","RIVERDALE","D1-ELEVATOR","73","1961","62570","840222","13.43","2620000","41.9","1.65"
"2-03110-0089","785 181 STREET
Bronx, NY 
(40.825576999979, -73.918448999722)","2",,,,,,,,,,,,,,"19523","202063","10.35","428000","21.92","2-03111-0010","2125 SOUTHERN BOULEVARD
Bronx, NY 
(40.846768928149, -73.88384038006)","EAST TREMONT","C7-WALK-UP","41","1931","31190","297468","9.54","631000","20.23","0.1","2-03183-0076","2295 MORRIS AVENUE
Bronx, NY 
(40.858140734274, -73.901911550202)","FORDHAM","C7-WALK-UP","29","1916","24642","297443","12.07","836000","33.9","1.15"
"2-02516-0026","136 168 STREET
Bronx, NY 
(40.836087065433, -73.91748632609)","2",,,,,,,,,,,,,,"30800","336275","10.92","713000","23.15","2-02514-0036","1065 NELSON AVENUE
Bronx, NY 
(40.834352015691, -73.92770737014)","HIGHBRIDGE/MORRIS HEIGHTS","C7-WALK-UP","30","1926","31875","358740","11.25","930000","29.2","0.2","2-02374-0073","650 MELROSE AVENUE
Bronx, NY 
(40.818614298589, -73.916583694633)","MORRISANIA/LONGWOOD","C7-WALK-UP","21","1913","9342","139360","14.92","471000","50","1.4"
"2-05789-0015","3206 FAIRFIELD AVENUE
Bronx, NY 
(40.884416197762, -73.913662592788)","2","10463","40.884599","-73.913588","8","11","297","2084121","2057890015","Spuyten Duyvil-Kingsbridge                                                 ",,,,,"59352","762673","12.85","2380000","40.1","2-05793-0467","3555 OXFORD AVENUE
Bronx, NY 
(40.88632086694, -73.908793797665)","RIVERDALE","D1-ELEVATOR","57","1960","72553","895116","12.34","2520000","34.7","0.2","2-05907-0348","3725 BLACKSTONE AVENUE
Bronx, NY 
(40.888932645311, -73.911592854676)","RIVERDALE","D1-ELEVATOR","42","1968","41803","660893","15.81","2230000","53","0.3"
