"dca_license_number","license_status","business_name","dba_trade_name","building_number","street","unit","city","state","postcode","borough","darp_enrollment_status","rotow_enrollment_status","community_board","council_district","police_precinct","bbl","bin","x_coordinate","y_coordinate","latitude","longitude","census_tract","nta","geocoded_column_1"
"2047505-DCA","Active","MACARTHUR AUTOBODY & TOWING INC",,"170","E LINCOLN AVE",,"VALLEY STREAM","NY","11580-5905","Outside NYC",,,,,,,,,,,,,,
"2067407-DCA","Active","NYCA LLC",,"10115","ROCKAWAY BLVD",,"OZONE PARK","NY","11417-2228","Queens","Enrolled",,"410","32","106","4095220031","4201988","1029087","186989","40.679805","-73.838346","94","South Ozone Park","POINT (-73.838346 40.679805)"
"0915955-DCA","Active","ONE STOP 86 ST. INC.",,"8202","7TH AVE",,"BROOKLYN","NY","11228-2807","Brooklyn","Not Enrolled","Not Enrolled","310","43","68","3060100047","3152227","978681","165645","40.621332","-74.020061","140","Dyker Heights","POINT (-74.020061 40.621332)"
"0851591-DCA","Active","ADIEL'S AUTO REPAIRS, INC.",,"3717","54TH ST",,"WOODSIDE","NY","11377-2433","Queens","Not Enrolled","Not Enrolled","402","26","108","4012090037","4027631","1009710","212740","40.750757","-73.90802","255","Woodside","POINT (-73.90802 40.750757)"
"0890594-DCA","Active","QUALITY AUTOMOTIVE SERVICES, INC.",,"12228","FARMERS BLVD",,"SPRINGFIELD GARDENS","NY","11413-1047","Queens","Enrolled","Enrolled","412","27","113","4124580128","4269113","1050628","188067","40.682629","-73.760673","366","St. Albans","POINT (-73.760673 40.682629000000006)"
"0853860-DCA","Active","RESPONSE TOWING SERVICE INC.","CHAMPION COLLISION","17030","39TH AVE",,"FLUSHING","NY","11358-2261","Queens","Not Enrolled","Not Enrolled","407","19","109","4053230068","4120197","1040988","216785","40.761519","-73.795188","1175","Murray Hill","POINT (-73.795188 40.761519)"
"0833080-DCA","Active","PRECISION COLLISION AUTO BODY INC.",,"12317","101ST AVE",,"SOUTH RICHMOND HILL","NY","11419-1407","Queens","Enrolled","Enrolled","409","28","102","4094640023","4199853","1033446","191049","40.690926","-73.822601","154","Richmond Hill","POINT (-73.822601 40.690926)"
"2067393-DCA","Active","ALL PRO AUTOBODY INC.",,"3475","FORT HAMILTON PKWY",,"BROOKLYN","NY","11218-2194","Brooklyn","Enrolled",,"312","39","66","3053020032","3123397","988068","174406","40.64538","-73.986242","498","Kensington-Ocean Parkway","POINT (-73.986242 40.64538)"
"1397016-DCA","Active","A & R COLLISION EXPERTS CORP",,"8625","LIBERTY AVE",,"OZONE PARK","NY","11417-1325","Queens","Enrolled","Not Enrolled","410","32","106","4091070027","4438513","1025451","186999","40.67985","-73.851455","54","Ozone Park","POINT (-73.851455 40.67985)"
"1428104-DCA","Active","GRAY'S AUTO ENTERPRISES INC.",,"1639","UTICA AVE",,"BROOKLYN","NY","11234-1524","Brooklyn","Enrolled","Not Enrolled","318","46","63","3077540034","3214515","1004156","169604","40.632178","-73.928283","722","Flatlands","POINT (-73.928283 40.632178)"
"2081613-DCA","Active","1-2-3 AUTO SERVICE, INC.",,"1820","UTICA AVE",,"BROOKLYN","NY","11234-2123","Brooklyn",,,"318","45","63","3077970047","3216403","1004284","167974","40.627704","-73.927827","730","Flatlands","POINT (-73.927827 40.627704)"
"2026018-DCA","Active","CHRIS & SON TOWING INC",,"2916","ATLANTIC AVE",,"BROOKLYN","NY","11207-2729","Brooklyn",,,"305","37","75","3039670015","3088336","1015702","186097","40.677414","-73.886608","1170","East New York","POINT (-73.886608 40.677414)"
"0838740-DCA","Active","CLOVE AUTO BODY, INC.",,"240","CLOVE RD",,"STATEN ISLAND","NY","10310-1210","Staten Island","Enrolled","Not Enrolled","501","49","120","5002050068","5005499","949249","170427","40.63439","-74.126105","13302","West New Brighton-New Brighton-St. George","POINT (-74.126105 40.63439)"
"0931300-DCA","Active","MOTION AUTOMOTIVE, INC.",,"3500","HEATHCOTE AVE",,"BRONX","NY","10475-1208","Bronx","Enrolled","Not Enrolled","212","12","47","2052860036","2072576","1032775","261974","40.885599","-73.824508","46202","Co-op City","POINT (-73.82450800000001 40.885599)"
"1331368-DCA","Active","KEM AUTO CENTER INC.",,"2080","STILLWELL AVE",,"BROOKLYN","NY","11223-3439","Brooklyn","Not Enrolled","Not Enrolled","313","47","60","3068700031","3329282","988370","156474","40.596161","-73.985165","300","Bensonhurst East","POINT (-73.985165 40.596161)"
"2017805-DCA","Active","FINEST AUTOMOTIVE RECOVERY INC",,"1410","61ST ST",,"BROOKLYN","NY","11219-5407","Brooklyn","Enrolled",,"312","44","66","3057270019","3141386","985266","167544","40.626566","-73.996369","250","Bensonhurst West","POINT (-73.99636900000002 40.626566)"
"1006768-DCA","Active","JIMMY'S FIX A DENT INC.","FIX A DENT AUTO BODY","10","VAN ST",,"STATEN ISLAND","NY","10310-1311","Staten Island","Enrolled","Not Enrolled","501","49","120","5001870141","5005161","950977","172620","40.640416","-74.11989","13302","West New Brighton-New Brighton-St. George","POINT (-74.11989000000001 40.640416)"
"1225509-DCA","Active","HELMS BROS. INC.",,"20824","NORTHERN BLVD",,"BAYSIDE","NY","11361-3148","Queens","Not Enrolled","Not Enrolled","411","19","111","4073050030","4156686","1046633","215836","40.758877","-73.77482","1447","Bayside-Bayside Hills","POINT (-73.77482 40.758877)"
"0859357-DCA","Active","CROMWELL COLLISION & TOWING, INC.",,"1297","INWOOD AVE",,"BRONX","NY","10452-3207","Bronx","Enrolled","Not Enrolled","204","16","44","2028640001","2008407","1006270","244748","40.838425","-73.920421","219","Highbridge","POINT (-73.920421 40.838425)"
"2091960-DCA","Active","NORTH WEST ERS, INC.",,"6410","MAURICE AVE",,"MASPETH","NY","11378-1335","Queens",,,"405","30","104","4023750106","4054797","1011340","206161","40.7325","-73.902254","515","Maspeth","POINT (-73.902254 40.7325)"
"2037882-DCA","Active","Machine Towing Inc",,"18609","MERRICK BLVD",,"SPRINGFIELD GARDENS","NY","11413-1455","Queens","Enrolled",,"412","27","113","4127170084","4000000","1051971","187149","40.680099","-73.75584","352","St. Albans","POINT (-73.75584 40.680099)"
"2048713-DCA","Active","ACES AUTO BODY & TOWING INC",,"6417","NEW UTRECHT AVE",,"BROOKLYN","NY","11219-5724","Brooklyn","Not Enrolled","Not Enrolled","311","38","62","3057480049","3142113","984934","166725","40.624298","-73.997536","250","Bensonhurst West","POINT (-73.997536 40.624298)"
"2089583-DCA","Active","HARD CORE AUTOMOTIVE CORP.",,"749","E 136TH ST",,"BRONX","NY","10454-3410","Bronx",,,"201","17","40","2025650060","2003778","1008374","231911","40.803185","-73.912863","19","Mott Haven-Port Morris","POINT (-73.912863 40.803185)"
"1386995-DCA","Active","TOW AUTHORITY INC.",,"412","MASPETH AVE",,"BROOKLYN","NY","11211-1704","Brooklyn","Not Enrolled","Not Enrolled","301","34","90","3029280001","3325325","1004193","201222","40.718962","-73.928056","449","East Williamsburg","POINT (-73.928056 40.718962)"
"1423268-DCA","Active","EXCELLENCE AUTO & TOWING INC.",,"5511","NORTHERN BLVD",,"WOODSIDE","NY","11377-1940","Queens","Enrolled","Not Enrolled","401","26","114","4011570034","4026045","1010389","213787","40.753434","-73.905655","295","Woodside","POINT (-73.905655 40.753434)"
"1276631-DCA","Active","NORTHSIDE AUTO TOWING INC.",,"9154","GOLD RD",,"OZONE PARK","NY","11417-2417","Queens","Enrolled","Enrolled","410","32","106","4113730038","4000000","1027398","184909","40.674104","-73.844449","58","Ozone Park","POINT (-73.844449 40.674104)"
"2012876-DCA","Active","CASINO GARAGE INC.",,"7505","BEACH CHANNEL DR",,"ARVERNE","NY","11692-1027","Queens","Enrolled",,"414","31","100","4160900020","4303327","1038856","154516","40.590619","-73.803388","94202","Hammels-Arverne-Edgemere","POINT (-73.803388 40.590619)"
"1065438-DCA","Active","FINEST AUTOMOTIVE RECOVERY, INC.",,"583","BALTIC ST",,"BROOKLYN","NY","11217-2706","Brooklyn","Enrolled","Not Enrolled","306","33","78","3004010001","3426931","989535","187247","40.680988","-73.981876","127","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","POINT (-73.981876 40.680988)"
"2094045-DCA","Active","D & T AUTOMOTIVE INC",,"13935","QUEENS BLVD",,"JAMAICA","NY","11435-2925","Queens",,,"408","24","107",,,"1035222","196383","40.705556","-73.816156","214","Briarwood-Jamaica Hills","POINT (-73.816156 40.705556)"
"1443457-DCA","Active","CERTIFIED TOWING, INC",,"2917","ARTHUR KILL RD",,"STATEN ISLAND","NY","10309-1136","Staten Island","Not Enrolled","Not Enrolled","503","51","123","5072060235","5104539","919881","137862","40.547185","-74.227997","226","Charleston-Richmond Valley-Tottenville","POINT (-74.227997 40.547185)"
"1309073-DCA","Active","JAY'S TOWING INC",,"13316","35TH AVE",,"FLUSHING","NY","11354-2713","Queens","Not Enrolled","Not Enrolled","407","20","109","4049460165","4111935","1030174","217612","40.763852","-73.834218","869","Flushing","POINT (-73.834218 40.763852)"
"1451903-DCA","Active","HOLLIS COURT COLLISION & RECOVERY INC.",,"4719","HOLLIS COURT BLVD",,"FLUSHING","NY","11358-3958","Queens","Enrolled","Enrolled","411","20","111","4056110001","4126860","1042813","213214","40.751706","-73.788631","1429","Auburndale","POINT (-73.788631 40.751706)"
"1413887-DCA","Active","KNIGHTS COLLISION EXPERTS, INC.",,"2000","EASTERN PKWY",,"BROOKLYN","NY","11233-2912","Brooklyn","Enrolled","Enrolled","316","37","73","3015400072","3041998","1010306","186877","40.679573","-73.906059","367","Ocean Hill","POINT (-73.906059 40.679573)"
"0832835-DCA","Active","SCUFFY'S COLLISION INC.","PRO BODIES.","7011","GARFIELD AVE",,"WOODSIDE","NY","11377-6031","Queens","Enrolled","Not Enrolled","402","30","108","4024360066","4056364","1013634","207819","40.737043","-73.893969","489","Elmhurst-Maspeth","POINT (-73.893969 40.73704300000001)"
"1191333-DCA","Active","USAC TOWING CORP.",,"3108","NORTHERN BLVD",,"LONG ISLAND CITY","NY","11101-2818","Queens","Enrolled","Not Enrolled","401","26","114","4002390105","4003414","1002673","213137","40.751669","-73.933507","171","Hunters Point-Sunnyside-West Maspeth","POINT (-73.933507 40.751669)"
"2087355-DCA","Active","FINEST TOUCH MOTORSPORTS 1 INC",,"87-97","256TH ST",,"FLORAL PARK","NY","11001-1707","Queens","Enrolled",,"413","23","105","4088310009","4180741","1065072","204525","40.727954","-73.708678","157903","Glen Oaks-Floral Park-New Hyde Park","POINT (-73.708678 40.727954)"
"0832876-DCA","Active","NIC-WAY CORPORATION","ADVANCED AUTO BODY","201","62ND ST",,"BROOKLYN","NY","11220-4409","Brooklyn","Enrolled","Not Enrolled","307","38","72","3057890001","3143617","977692","173225","40.642137","-74.023631","22","Sunset Park West","POINT (-74.023631 40.642137)"
"1064889-DCA","Active","BIG G'S AUTO SALES, INC.",,"3600","BOSTON RD",,"BRONX","NY","10469-2647","Bronx","Not Enrolled","Not Enrolled","212","12","47","2048830001","2065450","1027622","259615","40.879151","-73.843159","46202","Co-op City","POINT (-73.843159 40.879151)"
"1418198-DCA","Active","DESTINATION AUTOMOTIVE & RECOVERY INC.",,"34","COFFEY ST",,"BROOKLYN","NY","11231-1510","Brooklyn","Enrolled","Not Enrolled","306","38","76","3005880033","3008758","981047","185009","40.674483","-74.011547","53","Carroll Gardens-Columbia Street-Red Hook","POINT (-74.011547 40.67448300000001)"
"1277334-DCA","Active","JMX TOWING INC",,"12406","ROCKAWAY BLVD",,"SOUTH OZONE PARK","NY","11420-2517","Queens","Not Enrolled","Not Enrolled","410","28","106","4117460041","4254664","1036031","185405","40.675419","-73.813323","840","South Ozone Park","POINT (-73.813323 40.675419)"
"2083985-DCA","Active","D&S TOWING INC",,"660","OLD COUNTRY RD",,"WESTBURY","NY","11590-4504","Outside NYC",,,,,,,,,,,,,,
"2093566-DCA","Active","JIANS COLLISION CENTER INC",,"5816","LAUREL HILL BLVD",,"WOODSIDE","NY","11377-7416","Queens",,,"402","30","108","4023420014","4054158","1009552","207556","40.736334","-73.9087","243","Elmhurst-Maspeth","POINT (-73.9087 40.736334)"
"1363361-DCA","Active","O.Z. AUTO BODY INC.",,"9825","LINDEN BLVD",,"OZONE PARK","NY","11417-2523","Queens","Enrolled","Not Enrolled","410","32","106","4115010057","4248254","1029459","185133","40.674709","-73.837018","864","South Ozone Park","POINT (-73.837018 40.674709)"
"0855687-DCA","Active","ALL-TYPE TOWING CORP.",,"4242","FRANCIS LEWIS BLVD",,"BAYSIDE","NY","11361-2561","Queens","Not Enrolled","Not Enrolled","411","19","111","4053730026","4121247","1044111","215770","40.758655","-73.783895","1181","Auburndale","POINT (-73.783895 40.758655)"
"0895551-DCA","Active","HI BOM YOON","O-SUNG TOWING","7952","ALBION AVE",,"ELMHURST","NY","11373-3725","Queens","Not Enrolled","Not Enrolled","404","25","110","4015370027","4038519","1016288","208627","40.739252","-73.884388","485","Elmhurst-Maspeth","POINT (-73.884388 40.73925200000001)"
"2028454-DCA","Active","BEN & NINO AUTOBODY CORP",,"2302","MCDONALD AVE",,"BROOKLYN","NY","11223-4739","Brooklyn","Enrolled","Not Enrolled","315","47","61","3071230041","3000000","991643","156443","40.596073","-73.973379","398","Gravesend","POINT (-73.973379 40.596073)"
"1125673-DCA","Active","RODRIGUEZ, FELIPE","KANTOZ TOWING","209","N 10TH ST",,"BROOKLYN","NY","11211-1108","Brooklyn","Not Enrolled","Not Enrolled","301","33","94","3022990021","3000000","997003","200973","40.718292","-73.953994","519","North Side-South Side","POINT (-73.953994 40.718292)"
"2076622-DCA","Active","FINEST TOUCH MOTORSPORTS 1 INC",,"25607","JERICHO TPKE",,"FLORAL PARK","NY","11001-1707","Queens","Enrolled",,"413","23","105","4088310009","4180741","1065072","204525","40.727682","-73.708398","157903","Glen Oaks-Floral Park-New Hyde Park","POINT (-73.708398 40.727682)"
"0850093-DCA","Active","BREEN BROS. TOWING, INC.",,"211","VETERANS RD W",,"STATEN ISLAND","NY","10309-1205","Staten Island","Enrolled","Not Enrolled","503","51","123","5070670161","5086598","924673","141419","40.554638","-74.214394","20801","Rossville-Woodrow","POINT (-74.214394 40.554638)"
"1464029-DCA","Active","AUTO TOW NYC INC.",,"14046","QUEENS BLVD",,"JAMAICA","NY","11435-3220","Queens","Not Enrolled","Not Enrolled","412","24","103","4096190028","4206303","1035597","195562","40.703301","-73.81481","214","Briarwood-Jamaica Hills","POINT (-73.81481 40.703301)"
"2038782-DCA","Active","LIBERTY BELL CAR CARE & TOWING INC",,"8625","LIBERTY AVE",,"OZONE PARK","NY","11417","Queens",,,"410","32","106",,,"1025235","186978","40.67985","-73.851455","54","Ozone Park","POINT (-73.851455 40.67985)"
"0884086-DCA","Active","TRIANGLE TOWING AND RECOVERY, INC.",,"7708","CYPRESS AVE",,"GLENDALE","NY","11385-6075","Queens","Enrolled","Not Enrolled","405","30","104","4035580003","4549246","1012302","192622","40.695335","-73.898839","565","Glendale","POINT (-73.898839 40.695335)"
"1329948-DCA","Active","ALL BORO TOWING L.L.C.",,"1115","E 179TH ST",,"BRONX","NY","10460-2307","Bronx","Enrolled","Not Enrolled","206","15","48","2040050006","2042438","1018457","245545","40.840574","-73.876373","220","East Tremont","POINT (-73.876373 40.840574)"
"2082053-DCA","Active","TIMMY'S AUTOMOTIVE CORP",,"401","W 218TH ST",,"NEW YORK","NY","10034-1103","Manhattan","Enrolled",,"112","10","34","1022140024","1082040","1008469","256441","40.870513","-73.912431","299","Marble Hill-Inwood","POINT (-73.912431 40.870513)"
"1089466-DCA","Active","BRIGHTON ENTERPRISES, INC.",,"2750","STILLWELL AVE",,"BROOKLYN","NY","11224-2722","Brooklyn","Not Enrolled","Not Enrolled","313","47","60","3069970086","3188521","989202","150720","40.580367","-73.982173","348","Seagate-Coney Island","POINT (-73.982173 40.580367)"
"1348077-DCA","Active","PARADISE TOWING AND RECOVERY LLC",,"1611","E 233RD ST",,"BRONX","NY","10466-3303","Bronx","Enrolled","Enrolled","212","12","47","2049720007","2067177","1031539","263212","40.889004","-73.82897","456","Eastchester-Edenwald-Baychester","POINT (-73.82897 40.889004)"
"2094845-DCA","Active","PLAZA BODY SHOP, INC",,"2700","NOSTRAND AVE",,"BROOKLYN","NY","11210-5326","Brooklyn","Enrolled",,"314","45","70","3076650058","3210332","999425","164653","40.618598","-73.945339","746","Flatlands","POINT (-73.945339 40.618598)"
"2025002-DCA","Active","FINEST AUTOMOTIVE RECOVERY INC",,"326","BUTLER ST",,"BROOKLYN","NY","11217-2702","Brooklyn",,,"306","33","78","3004130029","3006620","989192","187120","40.680302","-73.98224","127","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","POINT (-73.98224 40.680302)"
"0832943-DCA","Active","METRO AUTO BODY INC.",,"9614","NORTHERN BLVD",,"CORONA","NY","11368-1046","Queens","Enrolled","Not Enrolled","403","21","115","4017110005","4437203","1019713","215083","40.756959","-73.871995","375","North Corona","POINT (-73.871995 40.756959)"
"2071695-DCA","Active","CANARSIE MOTORS INC",,"514","E 81ST ST",,"BROOKLYN","NY","11236-3117","Brooklyn","Enrolled",,"318","46","69","3079590055","3406481","1007069","172720","40.64073","-73.917785","954","Canarsie","POINT (-73.91778500000001 40.64073)"
"0978538-DCA","Active","ANT.'S TOWING CORP.",,"450","E 176TH ST",,"BRONX","NY","10457-6102","Bronx","Not Enrolled","Not Enrolled","206","15","48","2029080020","2009525","1012070","247588","40.846203","-73.899448","395","Claremont-Bathgate","POINT (-73.89944800000002 40.846203)"
"2044974-DCA","Active","SARDAR JI TOWING INC",,"7515","NORTHERN BLVD",,"JACKSON HEIGHTS","NY","11372-1148","Queens",,,"403","25","115","4011710036","4026612","1014269","214328","40.754907","-73.891649","30903","Jackson Heights","POINT (-73.891649 40.754907)"
"2004154-DCA","Active","BLACK & YELLOW AUTO CENTER LLC",,"1680","JEROME AVE",,"BRONX","NY","10453-5702","Bronx",,,"205","14","46","2028480012","2008154","1008230","247626","40.846319","-73.913327","22701","Mount Hope","POINT (-73.913327 40.846319)"
"1389410-DCA","Active","MAC ARTHUR COLLISION AND TOWING, INC.",,"13709","EASTGATE PLZ",,"SPRINGFIELD GARDENS","NY","11413-2624","Queens","Enrolled","Not Enrolled","412","27","113","4129990001","4279925","1051772","185688","40.67609","-73.756572","352","St. Albans","POINT (-73.756572 40.67609)"
"1427313-DCA","Active","FULL THROTTLE AUTOMOTIVE INCORPORATED","FIX A DENT TOWING","70","S BRIDGE ST",,"STATEN ISLAND","NY","10309-2619","Staten Island","Enrolled","Not Enrolled","503","51","123","5075840112","5163857","918403","130665","40.525076","-74.236853","226","Charleston-Richmond Valley-Tottenville","POINT (-74.236853 40.525076)"
"2097194-DCA","Active","C & S AUTOMOTIVE INC",,"1000","BROOK AVE",,"BRONX","NY","10451-4237","Bronx",,,"203","17","42","2023860008","2001544","1008674","240544","40.82688","-73.911748","185","Morrisania-Melrose","POINT (-73.911748 40.82688)"
"1201170-DCA","Active","A & R AUTO TOWING, INC.",,"7523","18TH AVE",,"BROOKLYN","NY","11214-1114","Brooklyn","Not Enrolled","Not Enrolled","311","47","62","3062270001","3329032","985315","162680","40.613196","-73.996164","274","Bensonhurst West","POINT (-73.996164 40.613196)"
"2078448-DCA","Active","AA ALWAYS TOWING INC",,"10604","MERRICK BLVD",,"JAMAICA","NY","11433-2415","Queens","Enrolled",,"412","27","103","4101640090","4442246","1042761","194474","40.70027","-73.788982","254","South Jamaica","POINT (-73.788982 40.70027)"
"2089836-DCA","Active","COUNTY WIDE AUTO COLLISION INC",,"6005","FLUSHING AVE",,"MASPETH","NY","11378-3220","Queens",,,"405","30","104","4026990037","4060323","1010003","201309","40.719186","-73.907096","525","Maspeth","POINT (-73.907096 40.719186)"
"1345445-DCA","Active","RIDGE POND AUTO REPAIR, INC.","RIDGEWOOD AUTO SPRING","6307","FRESH POND RD",,"RIDGEWOOD","NY","11385-2623","Queens","Enrolled","Not Enrolled","405","30","104","4036080011","4087417","1011949","198597","40.711737","-73.900087","61301","Ridgewood","POINT (-73.900087 40.711737)"
"2047264-DCA","Active","EAST COAST CUSTOMS AUTOMOTIVE INC",,"1040","BRONX RIVER AVE",,"BRONX","NY","10472-5502","Bronx","Enrolled",,"209","17","43","2037090015","2023324","1016638","239573","40.824189","-73.882976","52","Soundview-Bruckner","POINT (-73.882976 40.824189)"
"0833071-DCA","Active","D MACARTHUR AUTO BODY LTD",,"12319","197TH ST",,"SPRINGFIELD GARDENS","NY","11413-1119","Queens","Enrolled","Enrolled","412","27","113","4127330094","4458735","1053326","189394","40.68625","-73.750932","376","St. Albans","POINT (-73.750932 40.68625)"
"1435372-DCA","Active","QUEENS VILLAGE TOWING INC.",,"18510","MERRICK BLVD",,"SPRINGFIELD GARDENS","NY","11413-1404","Queens","Enrolled","Enrolled","412","27","113","4129990193","4000000","1051807","187061","40.679662","-73.756927","352","St. Albans","POINT (-73.756927 40.679662)"
"0914360-DCA","Active","BOSCAINO COLLISION & TOWING CORP",,"766","ROCKAWAY PKWY",,"BROOKLYN","NY","11236-1830","Brooklyn","Enrolled","Not Enrolled","317","42","67","3081220051","3228505","1009504","176475","40.651024","-73.90899","960","Canarsie","POINT (-73.90899 40.651024)"
"1455396-DCA","Active","JYD TOWING LLC",,"18506","MERRICK BLVD",,"SPRINGFIELD GARDENS","NY","11413-1404","Queens","Enrolled","Not Enrolled","412","27","113","4129990190","4000000","1051638","186972","40.679615","-73.757042","352","St. Albans","POINT (-73.757042 40.679615)"
"1162956-DCA","Active","ON POINT COLLISION & TOWING SERVICES, INC.",,"14610","GUY R BREWER BLVD",,"JAMAICA","NY","11434-5326","Queens","Enrolled","Enrolled","413","31","105","4133100069","4285465","1048500","180936","40.663071","-73.768413","320","Springfield Gardens South-Brookville","POINT (-73.768413 40.663071)"
"2094830-DCA","Active","COMPETITION AUTO WORKS INC",,"1867","42ND ST",,"ASTORIA","NY","11105-1026","Queens",,,"401","22","114","4007910007","4430658","1012750","222729","40.77797","-73.897096","12301","Steinway","POINT (-73.897096 40.77797)"
"1434803-DCA","Active","HENRY J'S TOWING INC.",,"60","WINANT PL",,"STATEN ISLAND","NY","10309-1313","Staten Island","Enrolled","Not Enrolled","503","51","123","5074080025","5086884","917697","134910","40.536723","-74.239434","226","Charleston-Richmond Valley-Tottenville","POINT (-74.239434 40.536723)"
"1384669-DCA","Active","BEAR TRANSPORTATION LLC",,"953","COLGATE AVE",,"BRONX","NY","10473-4901","Bronx","Enrolled","Enrolled","209","17","43","2036480019","2127183","1017308","238865","40.822243","-73.880559","28","Soundview-Castle Hill-Clason Point-Harding Park","POINT (-73.880559 40.822243)"
"0832844-DCA","Active","CASINO TOWING SERVICE INC",,"7105A","AMSTEL BLVD",,"ARVERNE","NY","11692-1034","Queens","Enrolled","Not Enrolled","414","31","100","4160760001","4439004","1039769","155241","40.592603","-73.800095","954","Hammels-Arverne-Edgemere","POINT (-73.800095 40.592603000000004)"
