"program_type","program","site_name","borough_community","agency","contact_number","grade_level_age_group","location_1","number_and_street_address","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"Reading & Writing","Family Literacy","Good Shepherd Services","Bronx","Good Shepherd Services","718-933-7439","A parent 16 Years Old or Older ","1508 Webster Avenue
Bronx, NEW YORK 10457
(40.839482319009, -73.90540739991)","1508 Webster Avenue","10457","40.838815","-73.905823","3","16","169","2009394","2028960080","Claremont-Bathgate                                                         "
"Reading & Writing","Adult Literacy","Oceanview Jewish Center","Brooklyn","Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.","718.891.0264","At least 16 Years Old or Older","3100 Brighton 4th Street
Brooklyn, NEW YORK 11235
(40.576645783547, -73.963209632669)","3100 Brighton 4th Street","11235","40.576651","-73.963189","13","48","36001","3245076","3086860067","Brighton Beach                                                             "
"Reading & Writing","Adult Literacy","New Heights Neighborhood Center","New York","Northern Manhattan Improvement Corporation","212.822.8300","At least 16 Years Old or Older","216 Ft Washington Avenue
New York, NEW YORK 10032
(40.842343769667, -73.942200758685)","216 Ft. Washington Avenue","10032","40.842571","-73.942097","12","10","251","1063381","1021380079","Washington Heights South                                                   "
"Reading & Writing","Family Literacy","Public School 20 - Port Richmond Elementary School ","Staten Island","Jewish Community Center of Staten Island, Inc.","718.508.3883","A parent 16 Years Old or Older ","131 Park Avenue Staten Island
NEW YORK,  10302
(40.637388825601, -74.132301030959)","131 Park Avenue","10302","40.6374","-74.132323","1","49","207",,,"Port Richmond                                                              "
"Reading & Writing","Adult Literacy","Davidson Community Center","Bronx","Citizens Advice Bureau","718.508.3132","At least 16 Years Old or Older","2038 Davidson Avenue
Bronx, NEW YORK 10453
(40.853748378517, -73.908539967339)","2038 Davidson Avenue","10453","40.853537","-73.908741","5","14","243","2008399","2028630028","University Heights-Morris Heights                                          "
"Reading & Writing","Adolescent Literacy","MS 324 - PATRIA (M324) ","New York","The Children's Aid Society","212.740.8655","grades 6 to 8","21 Jumel Place
New York, NEW YORK 10032
(40.839324204902, -73.936126103534)"," 21 Jumel Place","10032","40.839305","-73.936159","12","10","249","1076741","1021120058","Washington Heights South                                                   "
"Reading & Writing","Adult Literacy","Highbridge Community Life Center","Bronx","Highbridge Community Life Center","718.681.2222","At least 16 Years Old or Older","1038 Ogden Avenue
Bronx, NEW YORK 10452
(40.833887030557, -73.928809339182)","1038 Ogden Avenue","10452","40.833827","-73.928861","4","8","189","2003209","2025120015","Highbridge                                                                 "
"Reading & Writing","Adult Literacy","PS 503","Brooklyn","Lutheran Family Health Centers Adult & Family Education","718.630.7150","At least 16 Years Old or Older","330 59th Street
Brooklyn, NEW YORK 11220
(40.642201614799, -74.019175801725)","330 59th Street","11220","40.642121","-74.018997","7","38","74","3016258","3008620012","Sunset Park West                                                           "
"Reading & Writing","Family Literacy","P.S 52","Queens","Homes for the Homeless","212.529.5252","A parent 16 Years Old or Older ","178 37 146 Terrace
Queens, NEW YORK 11434
(40.676945262114, -73.775306901692)","178-37  146 Terrace","11434","40.661122","-73.766733","13","31","320","4285972","4133530020","Springfield Gardens South-Brookville                                       "
"Reading & Writing","Family Literacy","West Farms Beacon Program ","Bronx","Phipps Community Development","718.542.8333","A parent 16 Years Old or Older ","1970 Farms Road
Bronx, NEW YORK 10460
(40.838405811988, -73.881248180681)","1970 West Farms Road","10460","40.839565","-73.880358","6","17","60","2094603","2030210038","Crotona Park East                                                          "
"Reading & Writing","Adult Literacy","The Jewish Community Center of Staten Island","Staten Island","The Jewish Community Center of Staten Island","718.508.3881","At least 16 Years Old or Older","1297 Arthur Kill Road Staten Island
NEW YORK,  10312
(40.565263465624, -74.184003351052)","1297 Arthur Kill Road","10312","40.565262","-74.183882","3","51","228","5077603","5059000105","New Springville-Bloomfield-Travis                                          "
"Reading & Writing","Adult Literacy","Opportunities for a Better Tomorrow","Brooklyn","Opportunities for a Better Tomorrow","718.369.0303","At least 16 Years Old or Older","25 Thornton Street
Brooklyn, NEW YORK 11206
(40.700912589288, -73.943900574878)","25 Thornton Street","11206","40.701018","-73.943699","1","33","507","3061498","3022750021","Bedford                                                                    "
"Reading & Writing","Adult Literacy","The Fortune Society","Queens","The Fortune Society","212.691.7554","At least 16 Years Old or Older","29 76 Northern Boulevard
Queens, NEW YORK 11101
(40.745702449808, -73.938669029252)","29-76 Northern Boulevard","11101","40.750433","-73.935323","1","26","171","4003410","4002390049","Hunters Point-Sunnyside-West Maspeth                                       "
"Reading & Writing","Family Literacy","Public School 173 ","New York","Northern Manhattan Improvement Corporation","212.822.8300","A parent 16 Years Old or Older ","306 Fort Washington Avenue
New York, NEW YORK 10033
(40.845617301854, -73.940420101067)","306 Fort Washington Avenue","10033","40.845469","-73.940468","12","10","263","1063503","1021420154","Washington Heights South                                                   "
"Reading & Writing","Adult Literacy","Make the Road New York","Queens","Make the Road New York","718.418.7690","At least 16 Years Old or Older","71 24 Roosevelt Avenue
Queens, NEW YORK 11372
(40.751630739367, -73.883612545283)","71-24 Roosevelt Avenue","11372","40.746551","-73.894199","4","25","265","4459321","4013030009","Elmhurst-Maspeth                                                           "
"Reading & Writing","Adult Literacy","Inwood Community Services, Inc.","New York","Inwood Community Services, Inc.","212.942.0043","At least 16 Years Old or Older","651 Academy Street
New York, NEW YORK 10034
(40.866018005307, -73.924772644837)","651 Academy Street","10034","40.866001","-73.924777","12","10","291","1081917","1022340001","Marble Hill-Inwood                                                         "
"Reading & Writing","Adolescent Literacy","JHS 22 ","Bronx","Supportive Childrens Advocacy Network (SCAN)","212.-683.2522","grades 6 to 8","270 167th Street
Bronx, NEW YORK 10456
(40.833227654258, -73.914085372255)"," 270 East 167th Street","10456","40.833131","-73.914027","4","16","175","2002410","2024380050","East Concourse-Concourse Village                                           "
"Reading & Writing","Adult Literacy","Mercy Center, Inc.","Bronx","Mercy Center, Inc.","718.993.2789","At least 16 Years Old or Older","377 145th Street
Bronx, NEW YORK 10454
(40.813855830175, -73.92035529273)","377 East 145th Street","10454","40.81384","-73.920403","1","8","43","2115799","2023070025","Mott Haven-Port Morris                                                     "
"Reading & Writing","Adult Literacy","Flatbush YMCA","Brooklyn","YMCA of Greater New York / ELESAIR","212.875.4336","At least 16 Years Old or Older","1401 Flatbush Avenue
Brooklyn, NEW YORK 11210
(40.636590672567, -73.951602593108)","1401 Flatbush Avenue","11210","40.636511","-73.951539","14","45","788","3120877","3052280008","Flatbush                                                                   "
"Reading & Writing","Family Literacy","Community Elementary School 55 - Benjamin Franklin School ","Bronx","Supportive Childrens Advocacy Network (SCAN)","212.683.2522","A parent 16 Years Old or Older ","450 St Pauls Place
Bronx, NEW YORK 10456
(40.836276563944, -73.904611130772)","450 St. Pauls Place","10456","40.836404","-73.905014","3","16","14702","2009463","2029020001","Claremont-Bathgate                                                         "
"Reading & Writing","Adolescent Literacy","Intermediate School 168 - Parsons School ","Queens","The Child Center of NY","718.458.4243 ext. 205","grades 6 to 8","158 40 76th Road
Queens, NEW YORK 11366
(40.728164407262, -73.792268173937)"," 158-40 76th Road","11366","40.724458","-73.810216","8","24","1257","4147847","4068260001","Kew Gardens Hills                                                          "
"Reading & Writing","Family Literacy","Public School 196 - Ten Eyck Elementary School ","Brooklyn","Brooklyn Center For Urban Environment","718.788.8500","A parent 16 Years Old or Older ","207 Bushwick Avenue
Brooklyn, NEW YORK 11206
(40.70870461256, -73.939969344398)","207 Bushwick Avenue","11206","40.708723","-73.940002","1","34","485","3071024","3030460001","Bushwick South                                                             "
"Reading & Writing","Adult Literacy","Washington Houses Community Center","New York","Union Settlement Association","212.828.6016 ","At least 16 Years Old or Older","1775 3rd Avenue
New York, NEW YORK 10029
(40.787046638823, -73.947929348156)","1775 3rd Avenue","10029","40.786574","-73.948303","11","8","15602","1079203","1016470001","East Harlem South                                                          "
"Reading & Writing","Family Literacy","Public School 199Q - Maurice Fitzgerald Elementary School ","Queens","Sunnyside Community Service, Inc.","718.786.6958","A parent 16 Years Old or Older ","39 20 48th Avenue
Queens, NEW YORK 11104
(40.744893366636, -73.920541345307)","39-20 48th Avenue","11104","40.740088","-73.926214","2","26","189","4002915","4002060003","Hunters Point-Sunnyside-West Maspeth                                       "
"Reading & Writing","Family Literacy","Public School 225 - Eileen E. Zaglin ","Brooklyn","Shorefront YM-YWHA","718.934.3500","A parent 16 Years Old or Older ","1075 Ocean View Avenue
Brooklyn, NEW YORK 11235
(40.579791094425, -73.956433505479)","1075 Ocean View Avenue","11235","40.579737","-73.956329","13","48","61004","3245498","3087120056","Brighton Beach                                                             "
"Reading & Writing","Adult Literacy","Highbridge Community Life Center","Bronx","Highbridge Community Life Center","718.681.2222","At least 16 Years Old or Older","950 Anderson Avenue
Bronx, NEW YORK 10452
(40.831063771587, -73.928018257847)","950 Anderson Avenue","10452","40.831036","-73.928079","4","8","189","2092381","2025040045","Highbridge                                                                 "
"Reading & Writing","Adult Literacy","Queens Community House","Queens","Queens Community House","718.898.7461","At least 16 Years Old or Older","74 09 37 Avenue
Queens, NEW YORK 11372
(40.751630739367, -73.883612545283)","74-09 37 Avenue, Room 421","11372","40.748992","-73.891561","3","25","289","4029563","4012740035","Jackson Heights                                                            "
"Reading & Writing","Family Literacy","P.S. 79","Bronx","Good Shepherd Services","718-933-7439","A parent 16 Years Old or Older ","125 181 Street
Bronx, NEW YORK 10453
(40.854878793912, -73.903423365652)","125 East 181 Street","10453","40.854872","-73.903458","5","14","23704","2013849","2031700001","Fordham South                                                              "
"Reading & Writing","Adult Literacy","SCO Family of Services","Brooklyn","SCO Family of Services","718.455.1166","At least 16 Years Old or Older","75 Lewis Avenue
Brooklyn, NEW YORK 11206
(40.695007999414, -73.937422302529)","75 Lewis Avenue","11206","40.694962","-73.937422","3","36","287","3379533","3015920001","Stuyvesant Heights                                                         "
"Reading & Writing","Adult Literacy","Jewish Community Council of Greater Coney Island, Inc.","Brooklyn","Jewish Community Council of Greater Coney Island, Inc.","718.449.5000","At least 16 Years Old or Older","3049 Brighton 6th Street
Brooklyn, NEW YORK 11235
(40.578431288323, -73.961743706863)","3049 Brighton 6th Street","11235","40.578435","-73.961751","13","48","362","3397165","3086767501","Brighton Beach                                                             "
"Reading & Writing","Adolescent Literacy","IN-Tech Academy, Middle School / High School 368 ","Bronx","Research Foundation of CUNY","212.652.2800","grades 6 to 8","Tibbett Avenue Bronx NEW YORK
,  10463
(40.878349575397, -73.911281609715)"," Tibbett Avenue & W 230th Street","10463",,,,,,,,
"Reading & Writing","Adult Literacy","CAB Community Center","Bronx","Citizens Advice Bureau","718.508.3132","At least 16 Years Old or Older","1130 Grand
Bronx, NEW YORK 10456
(40.831694143639, -73.916041046959)","1130 Grand Concourse","10456","40.832331","-73.91959","4","16","18102","2002833","2024620042","East Concourse-Concourse Village                                           "
"Reading & Writing,English Language Program,Adult Literacy","ESOL","St. George's Episcopal Church","Queens","Flushing Jewish Community Council","718.463.0434","ESOL/Civics","135 33 38th Avenue
Queens, NEW YORK 11354
(40.768620220647, -73.827190280707)","135-33 38th Avenue (Flushing) ","11354","40.760412","-73.83191","7","20","871","4457326","4049740049","Flushing                                                                   "
"Reading & Writing","Adult Literacy","Brooklyn Chinese-American Association","Brooklyn","Brooklyn Chinese-American Association","718.438.0008","At least 16 Years Old or Older","5006 8th Avenue
Brooklyn, NEW YORK 11220
(40.641074069955, -74.003795118627)","5006 8th Avenue","11220","40.641014","-74.003834","7","38","108","3013419","3007940041","Sunset Park East                                                           "
"Reading & Writing","Adult Literacy","Edenwald Community Center","Bronx","Baychester Youth Council, Inc.","718.325.9484","At least 16 Years Old or Older","1150 229th Street
Bronx, NEW YORK 10466
(40.886200971745, -73.845154371492)","1150 East 229th Street","10466","40.886175","-73.845107","12","12","458","2094178","2049050001","Eastchester-Edenwald-Baychester                                            "
"Reading & Writing","Adolescent Literacy","CUNY/Creative Arts Team ","New York","Research Foundation of CUNY","212.652.2800","grades 6 to 8","101 31st Street
New York, NEW YORK 10001
(40.747957024004, -73.989239618728)"," 101 West 31st Street","10001","40.748084","-73.989588","5","3","101","1015182","1008070039","Midtown-Midtown South                                                      "
"Reading & Writing","Adult Literacy","CAMBA","Brooklyn","CAMBA","718.940.1737","At least 16 Years Old or Older","885 Flatbush Avenue
Brooklyn, NEW YORK 11226
(40.6503755945, -73.958664777259)","885 Flatbush Avenue","11226","40.650229","-73.958658","14","40","794","3117223","3051030028","Erasmus                                                                    "
"Reading & Writing,English Language Program,Adult Literacy","ESOL","Southside Community Mission","Brooklyn","Southside Community Mission, Inc.","718.782.8181 or 718.387.6052 ","ESOL/Civics","250 Hooper Street
Brooklyn, NEW YORK 11211
(40.705817851705, -73.955664076834)","250 Hooper Street","11211","40.705898","-73.955611","1","33","529","3379706","3022070002","Williamsburg                                                               "
"Reading & Writing","Adult Literacy","Community Learning Center at IS 171","Brooklyn","Cypress Hills Local Development Corporation","718.647.2800","At least 16 Years Old or Older","528 Ridgewood Avenue
Brooklyn, NEW YORK 11208
(40.686153081044, -73.869667918389)","528 Ridgewood Avenue","11208","40.68618","-73.869625","5","37","1184","3092456","3041340020","Cypress Hills-City Line                                                    "
"Reading & Writing","Adult Literacy","SoBRO","Bronx","SoBRO","718.292.3113","At least 16 Years Old or Older","555 Bergen Avenue
Bronx, NEW YORK 10455
(40.815944415254, -73.916415911483)","555 Bergen Avenue","10455","40.815959","-73.916354","1","17","71","2097027","2022940002","Melrose South-Mott Haven North                                             "
"Reading & Writing","Adult Literacy","Educational Center Satellite","Brooklyn","Turning Point (aka Discipleship Outreach Ministries, Inc.)","718.360.8169","At least 16 Years Old or Older","5224 Sixth Avenue
Brooklyn, NEW YORK 11221
(40.642523308887, -74.009472865801)","5224 Sixth Avenue","11221","40.642482","-74.009477","7","38","100","3013968","3008080041","Sunset Park East                                                           "
"Reading & Writing","Adolescent Literacy","Environmental Science Sec School (M635) ","New York","Supportive Childrens Advocacy Network (SCAN)","212.683.2522","grades 6 to 8","410 100 Street
New York, NEW YORK 10029
(40.785470644534, -73.94206586038)"," 410 East 100 Street","10029","40.785671","-73.942548","11","8","162","1052998","1016930001","East Harlem South                                                          "
"Reading & Writing","Family Literacy","Saratoga Family Inn ","Queens","Homes for the Homeless","718.244.0670","A parent 16 Years Old or Older ","175 15 Rockaway Boulevard
Queens, NEW YORK 11434
(40.676945262114, -73.775306901692)","175-15 Rockaway Boulevard","11434","40.657786","-73.77031","13","31","320","4286135","4133810001","Springfield Gardens South-Brookville                                       "
"Reading & Writing","Adult Literacy","Beacon Family Center at IS 8","Queens","SQPA-NY Southern Queens Park Association NY","718.276.4630","At least 16 Years Old or Older","108 35 167th Street
Queens, NEW YORK 11432
(40.71311535449, -73.792820999789)","108-35 167th Street","11432","40.69719","-73.787192","12","27","258","4216655","4101780001","South Jamaica                                                              "
"Reading & Writing","Family Literacy","Public School 189 ","New York","Washington Heights- Inwood Coalition, Inc","212.781.6722","A parent 16 Years Old or Older ","2580 Amsterdam Avenue
New York, NEW YORK 10040
(40.85286583741, -73.927424897743)","2580 Amsterdam Avenue","10040","40.852631","-73.927604","12","10","277","1076750","1021590051","Washington Heights North                                                   "
"Reading & Writing","Adult Literacy","Catholic Charities Neighborhood Services","Queens","Catholic Charities Neighborhood Services","718.726.9790","At least 16 Years Old or Older","23 40 Astoria Boulevard
Queens, NEW YORK 11102
(40.771524024514, -73.926435450735)","23-40 Astoria Boulevard","11102","40.771582","-73.92375","1","22","69","4439576","4005420008","Old Astoria                                                                "
"Reading & Writing","Adult Literacy","Chinatown Manpower Project, Inc","New York","Chinatown Manpower Project, Inc","212.571.1691","At least 16 Years Old or Older","70 Mulberry Street
New York, NEW YORK 10013
(40.716141909295, -73.999172809241)","70 Mulberry Street","10013","40.716092","-73.999203","3","1","29","1066494","1002000001","Chinatown                                                                  "
"Reading & Writing","Adult Literacy","Jewish Community Council of Greater Coney Island, Inc.","Brooklyn","Jewish Community Council of Greater Coney Island, Inc.","718.449.5000","At least 16 Years Old or Older","4608 13th Avenue
Brooklyn, NEW YORK 11219
(40.636670213094, -73.990459280846)","4608 13th Avenue","11219","40.636595","-73.990502","12","44","222","3328605","3056220038","Borough Park                                                               "
"Reading & Writing","Adult Literacy","PS 25","Brooklyn","CAMBA","718.940.1737","At least 16 Years Old or Older","787 Lafayette Avenue
Brooklyn, NEW YORK 11221
(40.691050099236, -73.941394999532)","787 Lafayette Avenue","11221","40.691037","-73.941342","3","36","281","3049858","3017870014","Stuyvesant Heights                                                         "
"Reading & Writing","Adult Literacy","Jewish Community Council of Greater Coney Island, Inc.","Brooklyn","Jewish Community Council of Greater Coney Island, Inc.","718.449.5000","At least 16 Years Old or Older","8635 21st Avenue
Brooklyn, NEW YORK 11214
(40.602534293267, -73.996780438871)","8635 21st Avenue","11214","40.602524","-73.996827","11","47","290","3166996","3063780019","Bensonhurst West                                                           "
"Reading & Writing","Family Literacy","PS 375 Jackie Robinson School (K375) ","Brooklyn","Brooklyn Center For Urban Environment","718.788.8500","A parent 16 Years Old or Older ","46 McKeever Place
Brooklyn, NEW YORK 11225
(40.665013170515, -73.95904314893)"," 46 McKeever Place","11225","40.665035","-73.959031","9","35","325","3034356","3013010001","Crown Heights South                                                        "
"Reading & Writing","Family Literacy","Public School 8 - Luis Belliard Elementary School ","New York","The Children's Aid Society","212.740.8655","A parent 16 Years Old or Older ","465 167th Street
New York, NEW YORK 10032
(40.838920516451, -73.936766910909)","465 West 167th Street","10032","40.838954","-73.936838","12","10","249","1081842","1021120001","Washington Heights South                                                   "
"Reading & Writing","Adult Literacy","Make the Road New York","Staten Island","Make the Road New York","718.418.7690","At least 16 Years Old or Older","479 Port Richmond Avenue Staten Island
NEW YORK,  10302
(40.630934529097, -74.139014649681)","479 Port Richmond Avenue","10302","40.630818","-74.139187","1","49","213","5024824","5010490005","Port Richmond                                                              "
"Reading & Writing,English Language Program,Adult Literacy","ESOL","Jackson Heights-Elmhust Kehilah","Queens","Jackson Heights-Elmhust Kehilah, Inc.","718.457.4591","ESOL/Civics","33 47 91st Street (Jackson Heights
Queens, NEW YORK 11372
(40.751630739367, -73.883612545283)","33-47 91st Street (Jackson Heights)","11372","40.755586","-73.876834","3","25","275","4431407","4014390001","Jackson Heights                                                            "
"Reading & Writing","Adult Literacy","Our Lady of Perpetual Help","Brooklyn","Lutheran Family Health Centers Adult & Family Education","718.630.7150","At least 16 Years Old or Older","552 59 Street
Brooklyn, NEW YORK 11220
(40.639335782578, -74.014431406431)","552 59 Street","11220","40.639366","-74.01442","7","38","102","3337343","3008640001","Sunset Park East                                                           "
"Reading & Writing","Family Literacy","Public School 377 - Alejandrina DeGautier Elementary School ","Brooklyn","Brooklyn Center For Urban Environment","718.788.8500","A parent 16 Years Old or Older ","200 Woodbine Street
Brooklyn, NEW YORK 11221
(40.69395980632, -73.915297461557)"," 200 Woodbine Street","11221","40.694018","-73.915263","4","37","415","3076784","3033600001","Bushwick South                                                             "
"Reading & Writing","Adult Literacy","YMCA of Greater New York / ELESAIR","New York","YMCA of Greater New York / ELESAIR","212.630.9688","At least 16 Years Old or Older","5 63 Street
New York, NEW YORK 10023
(40.770651671718, -73.980314316121)","5 West 63 Street","10023","40.770689","-73.980465","7","6","149","1027468","1011160024","Lincoln Square                                                             "
"Reading & Writing","Adolescent Literacy","I.S. 126Q","Queens","Jacob Riis Neighborhood Settlement","718.204.6797","grades 6 to 8","31 51 21st Street
Queens, NEW YORK 11101
(40.745702449808, -73.938669029252)","31-51  21st Street","11101","40.766264","-73.930709","1","22","77","4006382","4005530001","Astoria                                                                    "
"Reading & Writing","Adult Literacy","Turning Point Education Center","Brooklyn","Turning Point (aka Discipleship Outreach Ministries, Inc.)","718.360.8169","At least 16 Years Old or Older","5013 7th Avenue
Brooklyn, NEW YORK 11220
(40.642353653563, -74.005963807531)","5013 7th Avenue","11220","40.642307","-74.006043","7","38","108","3013388","3007940004","Sunset Park East                                                           "
"Reading & Writing","Family Literacy","Public School 149 - Christa McAuliffe School ","Queens","Goodwill Industries of Greater New York","718.426.0888","A parent 16 Years Old or Older ","93 11 34th Avenue
Queens, NEW YORK 11372
(40.751630739367, -73.883612545283)","93-11 34th Avenue","11372","40.754837","-73.874605","3","25","273","4035441","4014410015","Jackson Heights                                                            "
"Reading & Writing","Adult Literacy","HANAC - c/o JHS 204","Queens","HANAC, INC.","212.996.3949","At least 16 Years Old or Older","36 41 28 Street
Queens, NEW YORK 11106
(40.761699790013, -73.931663252957)","36-41 28 Street","11106","40.757065","-73.932664","1","26","51","4004156","4003430001","Queensbridge-Ravenswood-Long Island City                                   "
"Reading & Writing","Adult Literacy","Ridgewood Bushwick Senior Citizens Council, Inc.","Brooklyn","Ridgewood Bushwick Senior Citizens Council, Inc.","718.381.9653","At least 16 Years Old or Older","1474 Gates Avenue
Brooklyn, NEW YORK 11237
(40.697840308647, -73.913832482461)","1474 Gates Avenue","11237","40.697788","-73.913906","4","37","433","3387654","3033440016","Bushwick North                                                             "
"Reading & Writing","Adult Literacy","Shorefront YM-YWHA","Brooklyn","Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.","718.646.1444","At least 16 Years Old or Older","3300 Coney Island Avenue
Brooklyn, NEW YORK 11235
(40.575793969704, -73.959507450797)","3300 Coney Island Avenue","11235","40.575607","-73.959463","13","48","36002","3326880","3086930001","Brighton Beach                                                             "
"Reading & Writing","Adult Literacy","Project COPE/Adult Education","Brooklyn","Agudath Israel of America Community Services, Inc.","212.809.5935","At least 16 Years Old or Older","1577 Coney Island Avenue
Brooklyn, NEW YORK 11230
(40.619047394551, -73.963997045364)","1577 Coney Island Avenue","11230","40.619028","-73.964073","14","44","768","3180584","3067310080","Midwood                                                                    "
"Reading & Writing","Adult Literacy","Chinese American Planning Council","New York","Chinese American Planning Council","212.941.0041","At least 16 Years Old or Older","220 Church Street
New York, NEW YORK 10013
(40.71698884234, -74.006380099985)","220 Church Street, Suite 1329","10013","40.71683","-74.006454","1","1","33","1001622","1001480015","SoHo-TriBeCa-Civic Center-Little Italy                                     "
