"date_and_time_of_initial","date_and_time_of_ranger","borough","property","location","species_description","call_source","species_status","animal_condition","duration_of_response","age","animal_class","_311sr_number","final_ranger_action","of_animals","pep_response","animal_monitored","rehabilitator","hours_spent_monitoring","police_response","esu_response","acc_intake_number"
"2021-06-12T16:02:00.000","2021-06-12T16:07:00.000","Manhattan","Riverside Park","79th St Boat Basin","Chicken","Employee","Domestic","Unhealthy","1.25","Adult","Domestic;#Birds",,"ACC","1","true","false",,,"false","false","162285"
"2021-06-12T15:00:00.000","2021-06-12T15:00:00.000","Staten Island","Lemon Creek Park","Rocks under bridge that is behind playground","Canada Goose","Observed by Ranger","Native","Healthy","0.1","Infant","Birds",,"Relocated/Condition Corrected","1","false","false",,,"false","false",
"2021-06-12T12:45:00.000","2021-06-12T13:55:00.000","Bronx","Bill Rainey Park","Bill Rainey Park Public Restrooms","Cat","Employee","Domestic","Healthy","0.5","Juvenile","Domestic",,"Advised/Educated others","1","false","false",,,"false","false",
"2021-06-12T12:15:00.000","2021-06-12T12:30:00.000","Bronx","Mullaly Park","Mullaly Park North Ballfields","Common Snapping Turtle","Employee","Native","Healthy","4","Adult","Terrestrial Reptile or Amphibian","311-06574202","Relocated/Condition Corrected","1","false","false",,,"false","false",
"2021-06-11T13:30:00.000","2021-06-11T13:30:00.000","Manhattan","Riverside Park","79th Street Boat Basin","Mallard Duck","Central","Native","Healthy","0.5","Adult","Birds",,"Advised/Educated others","1","false","false",,,"false","false",
"2021-06-11T16:00:00.000","2021-06-11T16:15:00.000","Bronx","Van Cortlandt Park","Van Cortlandt Park Lake by the golf house","Domestic Duck","Public","Domestic","Healthy","1","Juvenile","Domestic;#Birds","31106566589","Rehabilitator","1","false","false","Wild Bird Fund",,"false","false",
"2021-06-11T15:30:00.000","2021-06-11T15:30:00.000","Bronx","Van Cortlandt Park","Van Cortlandt House Museum","Bat (Unknown)","Conservancies/""Friends of"" Groups","Native","Healthy","0.25","Adult","Small Mammals-RVS",,"Relocated/Condition Corrected","1","false","false",,,"false","false",
"2021-06-10T14:05:00.000","2021-06-10T15:22:00.000","Manhattan","Central Park","Hallett Nature Sanctuary","Common Snapping Turtle","Public","Native","Healthy","2","Adult","Terrestrial Reptile or Amphibian",,"Relocated/Condition Corrected","1","false","true",,"1.5","false","false",
"2021-06-10T12:20:00.000","2021-06-10T12:21:00.000","Manhattan","Central Park","Field outside the French Gardens in Conservatory Gardens","Red-Eared Slider","Public","Invasive","N/A","0.25","Adult","Terrestrial Reptile or Amphibian",,"Unfounded","0","false","false",,,"false","false",
"2021-06-10T17:00:00.000","2021-06-10T17:30:00.000","Brooklyn","Flatbush and Tilden Avenues","By Kings Theater","Red-tailed Hawk","Public","Native","Injured","3","Adult","Raptors","311-06556493","Rehabilitator","1","false","false","Wild Bird Fund",,"false","false",
"2021-06-10T17:50:00.000","2021-06-10T17:54:00.000","Queens","Flushing Meadows Corona Park","Base of the Unisphere","Red-tailed Hawk","Central","Native","Injured","1.5","Juvenile","Raptors","311-06555702","Rehabilitator","1","false","false","Bobby Horvath",,"false","false",
"2021-06-10T16:20:00.000","2021-06-10T16:45:00.000","Staten Island","High Rock Park","Altamount House","Canada Goose","Employee","Native","Healthy","3","Infant","Birds","311-06555451","Rehabilitator","1","false","false","Wild Bird Fund",,"false","false",
"2021-06-09T11:24:00.000","2021-06-09T14:00:00.000","Queens","Alley Pond Park","Oakland Lake","Chicken","Central","Domestic","Healthy","1","Adult","Domestic;#Birds",,"Unfounded","0","false","false",,,"false","false",
"2021-06-09T12:00:00.000","2021-06-09T12:30:00.000","Queens","406 Woodward Avenue","Found behind fence","American Kestrel","Public","Native","Injured","4","Juvenile","Raptors","311-06543897","Rehabilitator","1","false","false","Bobby Horvath",,"false","false",
"2021-06-09T14:30:00.000","2021-06-09T14:30:00.000","Brooklyn","Prospect Park","East Drive V/O Zucker Playground","Eastern Gray Squirrel","Public","Native","DOA","0.5","Adult","Small Mammals-non RVS",,"Relocated/Condition Corrected","1","false","false",,,"false","false",
"2021-06-08T11:44:00.000","2021-06-08T12:00:00.000","Manhattan","West Harlem Piers","Marginal St and St Clare Pl","Chicken","Central","Domestic","Unhealthy","1","Infant","Birds","311-06529567","Rehabilitator","1","false","false","Wild Bird Fund",,"false","false",
"2021-06-07T14:30:00.000","2021-06-07T14:45:00.000","Brooklyn","Prospect Park","Near the Audubon Center","Common Grackle","Public","Native","Injured","2","Adult","Birds","311-06521707","ACC","1","false","false",,,"false","false","118648"
"2021-06-07T10:45:00.000","2021-06-07T11:00:00.000","Brooklyn","Leif Ericson Park","3rd Ave","American Kestrel","Public","Native","Injured","1","Juvenile","Raptors",,"Unfounded","0","false","false",,,"false","false",
"2021-06-07T10:00:00.000","2021-06-07T09:30:00.000","Brooklyn","Fort Greene Park","Washington and Willoughby","Canada Goose","Employee","Native","Injured","3","Adult","Birds",,"Rehabilitator","1","false","false","Wild Bird Fund",,"false","false",
"2021-06-05T22:50:00.000","2021-06-07T10:45:00.000","Staten Island","Snug Harbor Cultural Center","Green/Boat Pond","Mallard Duck","Employee","Native","Injured","0.35","Adult","Birds",,"Monitored Animal","1","false","true",,"0.25","false","false",
"2021-06-07T09:00:00.000","2021-06-07T10:00:00.000","Staten Island","Clove Lakes Park","Royal Oak Circle","Common Snapping Turtle","Employee","Native","Healthy","0.75","Adult","Terrestrial Reptile or Amphibian",,"Unfounded","0","false","false",,,"false","false",
"2021-06-06T10:58:00.000","2021-06-06T11:00:00.000","Bronx","Bailey Playground","In the playground","Rock Dove","Central","Native","Healthy","0.75","Adult","Birds",,"Monitored Animal","2","false","false",,,"false","false",
"2021-06-06T13:00:00.000","2021-06-06T13:10:00.000","Queens","Rockaway Beach and Boardwalk","Rockaway Beach 124th Street","Herring Gull","Central","Native","Injured","2.5","Adult","Birds","3-11-06505650","ACC","1","false","false",,,"false","false","118580"
"2021-01-04T13:30:00.000","2021-01-04T13:40:00.000","Bronx","Crotona Park","Outside M&O Office","Cat","Employee","Domestic","Injured","0.5","Adult","Domestic",,"Unfounded","0","false","false",,,"false","false",
"2021-06-05T12:00:00.000","2021-06-05T13:30:00.000","Queens","Rockaway Beach and Boardwalk","Beach 86th Street and Boardwalk","Laughing Gull","Employee","Native","Injured","3","Adult","Birds","311-06494215","ACC","1","false","false",,,"false","false","118526"
"2021-06-05T12:45:00.000","2021-06-05T15:30:00.000","Manhattan","Riverside Park","West 79th inside park","Raccoon","Central","Native","Injured","1","Infant","Small Mammals-RVS","311-06491340","Unfounded","0","false","false",,,"false","false",
"2021-06-05T09:30:00.000","2021-06-05T09:40:00.000","Bronx","Raoul Wallenberg Forest","Southwest Entrance","Raccoon","Central","Native","Injured","1","Adult","Small Mammals-RVS",,"Unfounded","0","false","false",,,"false","false",
"2021-06-05T11:02:00.000","2021-06-05T11:05:00.000","Queens","Rockaway Beach and Boardwalk","Boardwalk and B108th","Diamondback Terrapin","Employee","Native","Healthy","0.25","Infant","Terrestrial Reptile or Amphibian",,"Advised/Educated others","1","false","false",,,"false","false",
"2021-06-05T08:45:00.000","2021-06-05T09:30:00.000","Manhattan","Central Park","West 81st Street and Central Park West","Red-eared Slider","Central","Invasive","Injured","1.5","Adult","Terrestrial Reptile or Amphibian","311-06489753","Unfounded","0","false","false",,,"false","false",
"2021-06-04T12:00:00.000","2021-06-04T12:00:00.000","Staten Island","Clove Lakes Park","Martling Ave and Slosson Ave","Raptor (Unknown)","Central","Native","Unhealthy","1","Adult","Raptors","31106480251","Unfounded","0","false","false",,,"false","false",
"2021-06-04T10:25:00.000","2021-06-04T12:00:00.000","Manhattan","Central Park","90th St by the Reservoir","Raccoon","Central","Native","Healthy","1","Infant","Small Mammals-RVS",,"Unfounded","0","false","false",,,"false","false",
"2021-06-03T15:30:00.000","2021-06-03T16:15:00.000","Brooklyn","Prospect Park","East Drive south of Zoo","Common Snapping Turtle","Conservancies/""Friends of"" Groups","Native","Healthy","0.75","Adult","Terrestrial Reptile or Amphibian",,"Relocated/Condition Corrected","1","false","true",,"0.5","false","false",
"2021-06-03T17:30:00.000","2021-06-03T17:31:00.000","Queens","Forest Park","Skate Park","Blue Jay","Public","Native","Healthy","0.25","Infant","Birds",,"Relocated/Condition Corrected","1","false","false",,,"false","false",
"2021-06-02T10:00:00.000","2021-06-02T10:00:00.000","Bronx","Van Cortlandt Park","Van Cortlandt Nature Center","Barn Swallow","Observed by Ranger","Native","Healthy","2","Adult","Birds",,"Relocated/Condition Corrected","1","false","false",,,"false","false",
"2021-06-02T13:00:00.000","2021-06-02T13:00:00.000","Bronx","Van Cortlandt Park","Van Cortlandt Nature Center","Bird (Unknown)","Public","N/A","N/A","0.25","Infant","Birds",,"Relocated/Condition Corrected","1","false","false",,,"false","false",
"2021-06-03T13:00:00.000","2021-06-03T13:15:00.000","Queens","Kissena Park","Kissena Lake","Mute Swan","Central","Invasive","Healthy","1.5","Adult","Birds",,"Monitored Animal","1","false","false",,,"false","false",
"2021-06-03T09:15:00.000","2021-06-03T11:00:00.000","Queens","Cunningham Park","Garage, lawnmower area","Raccoon","Central","Native","Healthy","1","Adult","Small Mammals-RVS",,"Unfounded","0","false","false",,,"false","false",
"2021-06-03T09:45:00.000","2021-06-03T10:00:00.000","Brooklyn","Prospect Park","Long Meadow","Wood Duck","Conservancies/""Friends of"" Groups","Native","Healthy","1.5","Infant","Birds","311-064-72247","Rehabilitator","1","false","false","Wild Bird Fund",,"false","false",
"2021-06-03T08:30:00.000","2021-06-03T08:35:00.000","Queens","Juniper Valley Park","40.71998157323772, -73.88377368998059     Running track","Raccoon","Central","Native","Injured","2.75","Adult","Small Mammals-RVS","311-06468820","ACC","1","false","false",,,"false","false","118297"
"2021-06-01T09:30:00.000","2021-06-01T09:30:00.000","Staten Island","Wolfe's Pond Park","Near Acme Pond","Common Grackle","Employee","Native","Unhealthy","0.5","Adult","Birds",,"Unfounded","0","false","false",,,"false","false",
"2021-06-02T09:39:00.000","2021-06-02T11:00:00.000","Staten Island","Clove Lakes Park","By the Basketball courts","Turtle (Unknown)","Employee","N/A","Healthy","3.5","Adult","Terrestrial Reptile or Amphibian",,"Unfounded","0","false","false",,,"false","false",
"2021-06-02T11:30:00.000","2021-06-02T11:30:00.000","Queens","Forest Park","Skate Park","Blue Jay","Employee","Native","Healthy","0.5","Infant","Birds",,"Relocated/Condition Corrected","1","false","false",,,"false","false",
"2021-06-02T10:15:00.000","2021-06-02T10:45:00.000","Staten Island","Freshkills Park","William T. Davis Wildlife Refuge","Spiny Softshell Turtle","Employee","Exotic","Healthy","5","Adult","Terrestrial Reptile or Amphibian","311-06462450","Rehabilitator","1","false","false","Wild Bird Fund",,"false","false",
"2021-06-02T07:55:00.000","2021-06-02T07:55:00.000","Queens","Fort Totten Park","Fort Totten Visitor Center","Warbling Vireo","Observed by Ranger","Native","Healthy","0.25","Adult","Birds",,"Relocated/Condition Corrected","1","false","false",,,"false","false",
"2021-06-01T17:00:00.000","2021-06-01T17:07:00.000","Queens","Flushing Meadows Corona Park","Marina Parking Lot","Raccoon","Employee","Native","Healthy","1.25","Infant","Small Mammals-RVS",,"Relocated/Condition Corrected","1","false","false",,,"false","false",
"2021-06-01T13:15:00.000","2021-06-01T01:16:00.000","Bronx","Ranaqua Park","Ranaqua Garage","Cat","Employee","Domestic","Injured","2","Adult","Domestic","311-06451554","ACC","1","false","false",,,"false","false","161016"
"2021-06-01T15:00:00.000","2021-06-01T15:00:00.000","Manhattan","Morningside Park","Barbecue Area #5","Snake (Unknown)","Central","N/A","N/A","1","Infant","Terrestrial Reptile or Amphibian",,"Unfounded","0","false","false",,,"false","false",
"2021-06-01T15:30:00.000","2021-06-01T15:30:00.000","Brooklyn","Marine Park","Salt Marsh Nature Center","Diamondback Terrapin","Public","Native","Healthy","0.5","Infant","Terrestrial Reptile or Amphibian",,"Relocated/Condition Corrected","3","false","false",,,"false","false",
"2021-06-01T10:00:00.000","2021-06-01T10:30:00.000","Manhattan","Inwood Hill Park","Outside the Inwood Hill Nature Center at 218 St","Red-tailed Hawk","Central","Native","Unhealthy","2.5","Adult","Raptors","311-06447131","Rehabilitator","1","false","false","Bobby Horvath","0.5","false","false",
"2021-05-31T09:30:00.000","2021-05-31T09:34:00.000","Bronx","Bronx Park","By the playground off East 180th Street and Boston Road","Chicken","Central","Domestic","Healthy","1.5","Adult","Domestic;#Birds","311-06434744","ACC","3","false","false",,,"false","false","160938"
"2021-05-31T12:00:00.000","2021-05-31T12:30:00.000","Bronx","Ranaqua Park","Bay 18","Cat","Central","Domestic","Injured","1","Adult","Domestic",,"Advised/Educated others","0","false","false",,,"false","false",
"2021-05-29T15:30:00.000","2021-05-29T15:30:00.000","Staten Island","Franklin D. Roosevelt Boardwalk and Beach","Midland Ave and Father Capodanno Blvd near PEP command","Brant Goose","Employee","Native","Unhealthy","1.5","Adult","Birds","311-06422979","ACC","1","false","false",,,"false","false","117968"
"2021-05-29T13:00:00.000","2021-05-29T15:30:00.000","Manhattan","Central Park","West 79th and West Dr","Dog","Conservancies/""Friends of"" Groups","Domestic","Healthy","2","Adult","Domestic","311-06422998","ACC","3","false","false",,,"false","false","160841"
"2021-05-29T10:57:00.000","2021-05-28T11:08:00.000","Manhattan","Central Park","Conservatory Waters","Mallard Duck","Public","Native","Injured","1","Infant","Birds",,"Unfounded","0","false","false",,,"false","false",
"2021-05-28T09:15:00.000","2021-05-28T09:30:00.000","Brooklyn","Prospect Park","The Boathouse by the boat ramp","Mute Swan","Public","Invasive","Injured","1","Adult","Birds","311-06412112","Relocated/Condition Corrected","1","false","false",,,"false","false",
"2021-05-28T14:00:00.000","2021-05-28T14:00:00.000","Manhattan","Othmar Ammann Playground","Oak Hydrana shrubs close to 1st Ave","Dog","Public","Domestic","Healthy","3","Adult","Domestic","311-06415795","ACC","3","false","false",,,"false","false","160759"
"2021-05-28T17:00:00.000","2021-05-28T17:00:00.000","Manhattan","Inwood Hill Park","Payson Playground","House Sparrow","Public","Native","Injured","0.5","Adult","Birds",,"Monitored Animal","1","false","true",,"0.5","false","false",
"2021-05-28T13:00:00.000","2021-05-28T13:30:00.000","Manhattan","Inwood Hill Park","Gaelic Field","Red-tailed Hawk","Central","Native","Injured","1","Adult","Raptors","311-06414159","Unfounded","0","false","false",,,"false","false",
"2021-05-28T11:30:00.000","2021-05-28T12:00:00.000","Manhattan","Fort Tryon Park","Field by Met Cloisters","American Robin","Employee","Native","Unhealthy","1","Juvenile","Birds",,"Rehabilitator","1","false","false","Wild Bird Fund",,"false","false",
"2021-05-27T11:00:00.000","2021-05-28T11:00:00.000","Brooklyn","Prospect Park","Duck Island","Canada Goose","Central","Native","Injured","1","Adult","Birds",,"Monitored Animal","1","false","true",,"0.5","false","false",
"2021-05-26T16:30:00.000","2021-05-26T16:30:00.000","Manhattan","Central Park","Field near 65th St","Rock Dove","Public","Native","Injured","0.5","Adult","Birds",,"Advised/Educated others","1","false","false",,,"false","false",
"2021-05-27T08:30:00.000","2021-05-27T08:30:00.000","Manhattan","Riverside Park","Elington in the Park","Dog","Central","Domestic","Injured","0.5","Juvenile","Domestic",,"Advised/Educated others","1","false","false",,,"false","false",
"2021-05-27T08:30:00.000","2021-05-27T08:30:00.000","Bronx","Van Cortlandt Park","Barbecue area at 241st street","Raccoon","Employee","Native","Healthy","0.5","Juvenile","Small Mammals-RVS",,"Relocated/Condition Corrected","2","false","false",,,"false","false",
"2021-05-27T08:30:00.000","2021-05-27T08:30:00.000","Staten Island","Blue Heron Park","Poillon Avenue main entrance","Eastern Box Turtle","Observed by Ranger","Native","Healthy","0.25","Adult","Terrestrial Reptile or Amphibian",,"Relocated/Condition Corrected","1","false","false",,,"false","false",
"2021-05-26T16:30:00.000","2021-05-26T16:45:00.000","Brooklyn","Red Hook Recreation Area","V/O Columbia Street Entrance","Bird (Unknown)","Central","N/A","Injured","1","Adult","Birds",,"Unfounded","0","false","false",,,"false","false",
"2021-05-26T00:00:00.000","2021-05-26T13:00:00.000","Manhattan","Inwood Hill Park","Muscota Marsh","Canada Goose","Central","Native","Injured","1","Adult","Birds",,"Unfounded","0","false","false",,,"false","false",
"2021-05-26T12:30:00.000","2021-05-26T13:30:00.000","Manhattan","Riverside Park","79th Street Boat Basin","Canada Goose","Central","Native","Healthy","0.5","Adult","Birds",,"Advised/Educated others","1","false","false",,,"false","false",
"2021-05-26T11:00:00.000","2021-05-26T12:00:00.000","Manhattan","Madison Square Park","North of Ferrgut Statue","Eastern Gray Squirrel","Central","Native","Unhealthy","0.5","Adult","Small Mammals-non RVS","311-06391894","Unfounded","0","false","false",,,"false","false",
"2021-05-26T12:00:00.000","2021-05-26T12:03:00.000","Bronx","Van Cortlandt Park","Field behind nature center","Red-Eared Slider","Employee","Invasive","Healthy","0.25","Adult","Marine Reptiles",,"Relocated/Condition Corrected","1","false","false",,,"false","false",
