 leveranciers;5110 - Verblijf extern;5210 - Wagenpark;5-Vervoer en verblijfskosten
GroupSupport.Com;1;;1
Hampshire Hotel;1;;1
Hengelo Motel;1;;1
Hermans Dijkstra Restaurant;1;;1
Hertz Automobielen;;1;1
Herwers Groep;;1;1
Het Chocolade Huis;1;;1
Het Kasteel;1;;1
Hettema;1;;1
Heyde Hoeve Convenience;1;;1
Hoeve de Hulsdonk;1;;1
Hof van Eerde;1;;1
Hof van Wageningen Hotel en Congrescentrum;1;;1
Holland Catering Specialisten;1;;1
Holland Consulting Group;1;;1
Holland Evenementen Groep;1;;1
Honac Nederland;;1;1
Hotel Centraal Harlingen;1;;1
Hotel De Ville;1;;1
Hotel New York Rotterdam;1;;1
Hotel Steigenberger Kurhaus;1;;1
Hotel-Cafe-Restaurant Zwolle;1;;1
Hotelexploitatiemaatschappij Danny Kayelaan Zoetermeer B.V.;1;;1
Hotel-Restaurant de Prins Westzaan;1;;1
Huize Molenaar Cuisinier;1;;1
Hulskamp Audiovisueel;1;;1
Ibis Accor Hotels;2;;2
In De Driehoek, Zalencentrum;1;;1
Interim Direct/Van der Wijst personenvervoer;;3;3
Internet New Business Concepts (Vergaderruimte-Utrecht.nl);1;;1
It Rains Fishes;1;;1
J. Bongers Drankengroothandel B.V.;1;;1
Jaarbeurs Catering Services;1;;1
Jaarbeurs Utrecht;1;;1
Karel V Utrecht Grand Hotel;1;;1
Kasteel De Hooge Vuursche;1;;1
Kasteel Heemstede Restaurant;1;;1
KLM;1;;1
Koets;;1;1
Kossen Boten-Motoren;;1;1
KPN (incl. Getronics, PTT Telecom);2;1;2
Kunstpassage;1;;1
L.A.J.M. van Langh/Brasserie De Koepel;1;;1
La Place Catering Service Restaurant;1;;1
Landgoed Avegoor;1;;1
Landgoed De Klinze;1;;1
Landgoed De Reehorst Hotel en Congrescentrum, Facilitairbedrijf (incl. Antropia);1;;1
Landgoed Het Spelderholt;1;;1
Landgoed Huize Bergen;1;;1
Landgoed Vriezenhuis;1;;1
LAVG - Landelijke Associatie van Gerechtsdeurwaarders;;1;1
Lazuli Cursuscentrum & Zaalverhuur;1;;1
Lease Quality;;1;1
Leaseplan Nederland;;9;9
Lunchroom Nieuw Engelhard;1;;1
M.M. Projects;1;;1
Maatschap Drs. J. Kaandorp en Dr. C.M. Kaandorp-Huber;1;;1
Meeting Plaza;1;;1
Mercure Hotels;1;;1
Miste 39;1;;1
ML Hospitality Exploitatie B.V.;1;;1
Mobilenergy;;1;1
Modern Kraanverhuur-, Takel-, Bergings- en Autotransportbedrijf;;1;1
Molecaten Horeca;1;;1
Mooirivier Congreshotel (vh Conferentiecentrum de Bron);1;;1
Motel Assen;1;;1
Motel Nuland;1;;1
Motel Tiel;1;;1
Movenience;;1;1
Museum voor Communicatie;1;;1
Nationaal Noords Centrum;1;;1
NBC - Nieuwegeins Business Center, De Blokhoeve, Exploitatie;1;;1
New Babylon Meeting Center;1;;1
NH Hotels (incl. Nhow hotels);2;;2
Nijkerks Automobielbedrijf B.V.;;1;1
NLtronics;1;;1
Novotel;1;;1
NS - Spoorwegen Nederlandse;;1;1
NS Stations Retailbedrijf (Seats2Meet.com, vh Servex);1;;1
Oostduinhaghe Hotel;1;;1
Openbare Bibliotheek Amsterdam;1;;1
Oudaen Stadskasteel;1;;1
Ozinga-van der Horst Groep;;1;1
Park Honingen Veghel B.V.;;1;1
Park Plaza;1;;1
Parkhotel;1;;1
Partycentrum Open Huis;1;;1
Pavlov Bar Restaurant;1;;1
Podium Communicatie;1;;1
Post Workboats;;1;1
Postillion Hotels;1;;1
Potijk Autobekleding;;1;1
Pouw Vervoer;;1;1
PPO Praktijkonderzoek Plant & Omgeving;1;;1
Pree E-rf-tech;;1;1
Princeville Hotel Breda;1;;1
Prinsenhof Hotel (Groningen);1;;1
Protestantse Gemeente te s-Hertogenbosch;1;;1
Protestantse Stichting De Voorhof;1;;1
Qbxs stands;1;;1
Recreatie Noord-Holland;1;;1
Regardz (incl. Iassociate);1;;1
Regus;1;;1
Rijn IJssel Training & Opleiding;1;;1
Riwojo Verhuur;1;;1
ROC Mondriaan;1;;1
Savas Quality Seating;;1;1
Schouwburg & Congrescentrum Orpheus;1;;1
Seats2meet.com;1;;1
Sodexo;1;;1
Stam Autobedrijven;;1;1
Stern Groep (incl. Arend Motors, Arend Auto);;1;1
Stg Het Drentse Landschap;1;;1
Stichting Domesta;1;;1
Stichting Dominicanenklooster Zwolle;1;;1
Stichting Groninger Forum;1;;1
Stichting Kontakt der Kontinenten Conferentiehotel;1;;1
Stichting Volkshuis Deventer;1;;1
Stichting Welzijn Zwijndrechtse Waard;1;;1
Storm Wageningen;1;;1
Strandhotel;1;;1
Sunder Bromfietsen;;1;1
Sustainable Taxi Services (TAXI-E);;1;1
Swissconnection;1;;1
't Schoutenhuis;2;;2
'T Vliegveld Cafe-Restaurant;1;;1
Taat & De Regt;1;;1
Talis Woondiensten;1;;1
Technische Centrale;;1;1
Terwolde Groningen;;1;1
Theaterhotel De Oranjerie;1;;1
Tip Top Verhuur Service;1;;1
TomTom International B.V.;;1;1
TomTom Telematics Sales B.V.;;1;1
Tyrilo (incl. Oscars restaurant);1;;1
Unie Services;1;;1
V.O.F. Autobedrijf Vos;;1;1
V.O.F. Den Haller;1;;1
VAIR;1;;1
Vallei Auto Groep;;1;1
Van Beynum Autobedrijven;;1;1
Van De Weerd S Autobedrijf Bennekom;;2;2
Van den Udenhout Autobedrijf;;1;1
Van der Valk Hotels;1;;1
Van Kerkhof & Visscher;;1;1
Van Wijk Bikeparts;;1;1
Veba Meditemp;;1;1
Verenigde Automobielbedrijven Zaandam B.V.;;1;1
Vereniging Tot Behoud van Natuurmonumenten;1;;1
Vereniging van Eigenaren;1;;1
Vereniging VNO-NCW;1;;1
Verhuurbedrijf Zuid-Holland;1;;1
Vermaat Leisure, Horeca, Service;1;;1
Vetho;1;;1
Vidiline Voting;1;;1
Vineyard Catering;1;;1
Vis en Meer;1;;1
Vroeg;1;;1
VW Garage van der Velden;;1;1
W.A. Hienfeld;;1;1
Wassenaar Ingenieursbureau;2;;2
Watertaxi Rotterdam;;1;1
Wealer;;1;1
Woonplus Schiedam;1;;1
WPM Groep (incl. Kantoormanagement);4;;4
WTC Schiphol;1;;1
Yearth;1;;1
Zaalverhuur 7;1;;1
Zalen-Restaurant 'de Veldhoek';1;;1
ZCN Totaalvervoer (incl. Zorgvervoercentrale Nederland);1;2;2
Zin Kloosterhotel;1;;1
Zomers-Groningen Lunch, Diner;1;;1
Zwartewater Hotel;1;;1
Eindtotaal;7;9;9
