Gemeente_naam;Verkiezingen_type;Verkiezingen_jaar;Stembureau_nummer;Stembureau_naam;Stembureau_woonplaats;Stembureau_straat;Stembureau_huisnummer;Stembureau_huisletter;Stembureau_huisnummertoevoeging;Stembureau_postcode;Stembureau_wijknaam;Stembureau_buurtnaam;Stembureau_openingstijden_14-03-2022;Stembureau_openingstijden_15-03-2022;Stembureau_openingstijden_16-03-2022;Stembureau_toegankelijk_voor_lichamelijke_beperking;Gebouw_gebruiksdoel;Stembureau_BAG_referentie_nummer;Stembureau_X;Stembureau_Y;Longitude;Latitude;Gemeente_verkiezingswebsite;Verkiezingen_contactgegevens
Stichtse Vecht;Gemeenteraadsverkiezingen;2022;11;De Shelter Scouting, naast ambulancepost;Maarssen;Floraweg;16;;;3608BW;Maarssenbroek;Boomstede;Niet geopend;Niet geopend;07:30 tot 21:00;ja;bijeenkomstfunctie;0333200000000265;130835.597000;459325.700000;5.034363;52.121620;https://stichtsevecht.nl/onderwerpen/gemeenteraadsverkiezingen/;Team Verkiezingen, verkiezingen@stichtsevecht.nl
Stichtse Vecht;Gemeenteraadsverkiezingen;2022;12;Sportzaal Fazantenkamp;Maarssen;Fazantenkamp;163;;;3607CH;Maarssenbroek;Fazantenkamp;Niet geopend;Niet geopend;07:30 tot 21:00;ja;sportfunctie;0333200000013754;129683.638000;460446.144000;5.017460;52.131639;https://stichtsevecht.nl/onderwerpen/gemeenteraadsverkiezingen/;Team Verkiezingen, verkiezingen@stichtsevecht.nl
Stichtse Vecht;Gemeenteraadsverkiezingen;2022;13;Kerkcentrum De Ark;Maarssen;Duivenkamp;844;;;3607WG;Maarssenbroek;Duivenkamp;07:30 tot 21:00;07:30 tot 21:00;07:30 tot 21:00;ja;bijeenkomstfunctie;0333200000001416;130300.811000;460361.094000;5.026480;52.130903;https://stichtsevecht.nl/onderwerpen/gemeenteraadsverkiezingen/;Team Verkiezingen, verkiezingen@stichtsevecht.nl
Stichtse Vecht;Gemeenteraadsverkiezingen;2022;14;RK Verrijzenisgemeenschap;Maarssen;Reigerskamp;611;;;3607JK;Maarssenbroek;Reigerskamp;07:30 tot 21:00;07:30 tot 21:00;07:30 tot 21:00;ja;bijeenkomstfunctie;0333200000006711;129738.641000;460562.987000;5.018255;52.132692;https://stichtsevecht.nl/onderwerpen/gemeenteraadsverkiezingen/;Team Verkiezingen, verkiezingen@stichtsevecht.nl
Stichtse Vecht;Gemeenteraadsverkiezingen;2022;15;Jenaplan Basisschool 't Bontenest;Maarssen;Spechtenkamp;232;;;3607KN;Maarssenbroek;Spechtenkamp;Niet geopend;Niet geopend;07:30 tot 21:00;ja;onderwijsfunctie;0333200000011435;129665.738000;461111.158000;5.017149;52.137615;https://stichtsevecht.nl/onderwerpen/gemeenteraadsverkiezingen/;Team Verkiezingen, verkiezingen@stichtsevecht.nl
Stichtse Vecht;Gemeenteraadsverkiezingen;2022;16;De Valkenier;Maarssen;Valkenkamp;555;;;3607MJ;Maarssenbroek;Valkenkamp;Niet geopend;Niet geopend;07:30 tot 21:00;ja;woonfunctie, overige gebruiksfunctie;0333200000011233;129512.228000;461066.299000;5.014910;52.137205;https://stichtsevecht.nl/onderwerpen/gemeenteraadsverkiezingen/;Team Verkiezingen, verkiezingen@stichtsevecht.nl
Stichtse Vecht;Gemeenteraadsverkiezingen;2022;17;Wijkcentrum 't Schuurtje;Maarssen;Zwanenkamp;1301;;;3607NZ;Maarssenbroek;Zwanenkamp;Niet geopend;Niet geopend;07:30 tot 21:00;ja;bijeenkomstfunctie;0333200000014060;129174.702000;461557.097000;5.009943;52.141601;https://stichtsevecht.nl/onderwerpen/gemeenteraadsverkiezingen/;Team Verkiezingen, verkiezingen@stichtsevecht.nl
Stichtse Vecht;Gemeenteraadsverkiezingen;2022;18;Willem van Hoornhof;Maarssen;Zebraspoor;253;;;3605GP;Maarssenbroek;Zebraspoor;Niet geopend;Niet geopend;07:30 tot 21:00;ja;woonfunctie;0333200000013049;129609.095000;461572.399000;5.016287;52.141758;https://stichtsevecht.nl/onderwerpen/gemeenteraadsverkiezingen/;Team Verkiezingen, verkiezingen@stichtsevecht.nl
Stichtse Vecht;Gemeenteraadsverkiezingen;2022;19;Zwembad Safari 2;Maarssen;Bisonspoor;237;;01;3605JM;Maarssenbroek;Bisonspoor;Niet geopend;Niet geopend;07:30 tot 21:00;ja;bijeenkomstfunctie;1904200000030989;130298.507162;460917.568273;5.026406;52.135904;https://stichtsevecht.nl/onderwerpen/gemeenteraadsverkiezingen/;Team Verkiezingen, verkiezingen@stichtsevecht.nl
Stichtse Vecht;Gemeenteraadsverkiezingen;2022;20;Zwembad Safari 1;Maarssen;Bisonspoor;237;;01;3605JM;Maarssenbroek;Bisonspoor;Niet geopend;Niet geopend;07:30 tot 21:00;ja;bijeenkomstfunctie;1904200000030989;130298.507162;460917.568273;5.026406;52.135904;https://stichtsevecht.nl/onderwerpen/gemeenteraadsverkiezingen/;Team Verkiezingen, verkiezingen@stichtsevecht.nl
Stichtse Vecht;Gemeenteraadsverkiezingen;2022;21;Basisschool Het Kompas 1;Maarssen;Buitenweg;308;;;3602ZK;Maarssen;Zandweg-Oostwaard;Niet geopend;Niet geopend;07:30 tot 21:00;ja;onderwijsfunctie, overige gebruiksfunctie;0333200000001379;132130.203000;460939.800000;5.053158;52.136183;https://stichtsevecht.nl/onderwerpen/gemeenteraadsverkiezingen/;Team Verkiezingen, verkiezingen@stichtsevecht.nl
Stichtse Vecht;Gemeenteraadsverkiezingen;2022;22;Gemeentelijke Sporthal;Breukelen;Broekdijk Oost;28;;;3621LN;Breukelen;Landgoed Nijenrode;Niet geopend;Niet geopend;07:30 tot 21:00;ja;sportfunctie;0311200000001559;128445.680000;464037.510000;4.999100;52.163860;https://stichtsevecht.nl/onderwerpen/gemeenteraadsverkiezingen/;Team Verkiezingen, verkiezingen@stichtsevecht.nl
Stichtse Vecht;Gemeenteraadsverkiezingen;2022;23;Raadzaal Gemeente Stichtse Vecht;Breukelen;Markt;12;;;3621AB;Breukelen;Breukelen Zuid;07:30 tot 21:00;07:30 tot 21:00;07:30 tot 21:00;ja;kantoorfunctie;0311200000004880;128888.260000;464846.680000;5.005506;52.171153;https://stichtsevecht.nl/onderwerpen/gemeenteraadsverkiezingen/;Team Verkiezingen, verkiezingen@stichtsevecht.nl
Stichtse Vecht;Gemeenteraadsverkiezingen;2022;24;Zwembad 't Kikkerfort 1;Breukelen;Schepersweg;14;a;;3621JK;Breukelen;Breukelen Noord;Niet geopend;Niet geopend;07:30 tot 21:00;ja;bijeenkomstfunctie, sportfunctie;0311200000006541;128377.010000;465730.000000;4.997963;52.179068;https://stichtsevecht.nl/onderwerpen/gemeenteraadsverkiezingen/;Team Verkiezingen, verkiezingen@stichtsevecht.nl
Stichtse Vecht;Gemeenteraadsverkiezingen;2022;25;OBS De Regenboog;Breukelen;Heycoplaan;13;;;3621WS;Breukelen;Breukelen Midden;Niet geopend;Niet geopend;07:30 tot 21:00;ja;onderwijsfunctie;0311200000003006;128541.100000;465335.590000;5.000393;52.175531;https://stichtsevecht.nl/onderwerpen/gemeenteraadsverkiezingen/;Team Verkiezingen, verkiezingen@stichtsevecht.nl
Stichtse Vecht;Gemeenteraadsverkiezingen;2022;26;Zwembad 't Kikkerfort 2;Breukelen;Schepersweg;14;a;;3621JK;Breukelen;Breukelen Noord;Niet geopend;Niet geopend;07:30 tot 21:00;ja;bijeenkomstfunctie, sportfunctie;0311200000006541;128377.010000;465730.000000;4.997963;52.179068;https://stichtsevecht.nl/onderwerpen/gemeenteraadsverkiezingen/;Team Verkiezingen, verkiezingen@stichtsevecht.nl
Stichtse Vecht;Gemeenteraadsverkiezingen;2022;27;Dorpshuis Ons Genoegen;Nieuwer Ter Aa;Doude van Troostwijkstraat;20;;;3626AV;Nieuwer Ter Aa;Nieuwer Ter Aa;Niet geopend;Niet geopend;07:30 tot 21:00;ja;bijeenkomstfunctie, onderwijsfunctie;0311200000000090;127198.550000;466952.490000;4.980634;52.189997;https://stichtsevecht.nl/onderwerpen/gemeenteraadsverkiezingen/;Team Verkiezingen, verkiezingen@stichtsevecht.nl
Stichtse Vecht;Gemeenteraadsverkiezingen;2022;28;Sporthal Kockengen 1;Kockengen;Sportweg;4;;;3628AZ;Kockengen;Kockengen Dorp;07:30 tot 21:00;07:30 tot 21:00;07:30 tot 21:00;ja;sportfunctie;0311200000002142;125398.830000;462174.040000;4.954732;52.146956;https://stichtsevecht.nl/onderwerpen/gemeenteraadsverkiezingen/;Team Verkiezingen, verkiezingen@stichtsevecht.nl
Stichtse Vecht;Gemeenteraadsverkiezingen;2022;29;Sporthal Kockengen 2;Kockengen;Sportweg;4;;;3628AZ;Kockengen;Kockengen Dorp;Niet geopend;Niet geopend;07:30 tot 21:00;ja;sportfunctie;0311200000002142;125398.830000;462174.040000;4.954732;52.146956;https://stichtsevecht.nl/onderwerpen/gemeenteraadsverkiezingen/;Team Verkiezingen, verkiezingen@stichtsevecht.nl
Stichtse Vecht;Gemeenteraadsverkiezingen;2022;31;Studio Idee;Loenen aan de Vecht;Driehovenlaan;2;;;3632BK;Loenen aan de Vecht;Driehoven;07:30 tot 21:00;07:30 tot 21:00;07:30 tot 21:00;ja;gezondheidszorgfunctie, kantoorfunctie, overige gebruiksfunctie;0329200000000414;129909.340000;469041.070000;5.020121;52.208899;https://stichtsevecht.nl/onderwerpen/gemeenteraadsverkiezingen/;Team Verkiezingen, verkiezingen@stichtsevecht.nl
Stichtse Vecht;Gemeenteraadsverkiezingen;2022;32;Dorpshuis Nigtevecht;Nigtevecht;Jhr. Huydecoperstraat;1;;;1393NV;Nigtevecht;Nigtevecht Dorp;Niet geopend;Niet geopend;07:30 tot 21:00;ja;bijeenkomstfunctie, onderwijsfunctie, sportfunctie;0329200000002853;130370.260000;476248.030000;5.026340;52.273693;https://stichtsevecht.nl/onderwerpen/gemeenteraadsverkiezingen/;Team Verkiezingen, verkiezingen@stichtsevecht.nl
Stichtse Vecht;Gemeenteraadsverkiezingen;2022;33;Dorpshuis Vreeland;Vreeland;Fetha;16;;;3633CT;Vreeland;Vreeland Dorp;07:30 tot 21:00;07:30 tot 21:00;07:30 tot 21:00;ja;bijeenkomstfunctie, kantoorfunctie;0329200000004149;130707.924843;471421.593962;5.031634;52.230330;https://stichtsevecht.nl/onderwerpen/gemeenteraadsverkiezingen/;Team Verkiezingen, verkiezingen@stichtsevecht.nl
Stichtse Vecht;Gemeenteraadsverkiezingen;2022;34;Montessorischool Loenersloot;Loenersloot;Hollandstraat;25;;;3634AS;Loenersloot;Loenersloot Dorp;Niet geopend;Niet geopend;07:30 tot 21:00;ja;onderwijsfunctie;0329200000002230;128630.470000;471354.160000;5.001232;52.229628;https://stichtsevecht.nl/onderwerpen/gemeenteraadsverkiezingen/;Team Verkiezingen, verkiezingen@stichtsevecht.nl
Stichtse Vecht;Gemeenteraadsverkiezingen;2022;35;Gymzaal Loenen;Loenen aan de Vecht;Keizer Ottolaan;15;;;3632BV;Loenen aan de Vecht;Driehoven;Niet geopend;Niet geopend;07:30 tot 21:00;ja;onderwijsfunctie;0329200000000676;129696.983000;469105.821000;5.017010;52.209471;https://stichtsevecht.nl/onderwerpen/gemeenteraadsverkiezingen/;Team Verkiezingen, verkiezingen@stichtsevecht.nl
Stichtse Vecht;Gemeenteraadsverkiezingen;2022;36;Drive-thru stembureau;Breukelen;Stationsweg;91;;;3621LK;Breukelen;Corridor;Niet geopend;Niet geopend;06:30 tot 19:00;ja;bijeenkomstfunctie, industriefunctie, kantoorfunctie, logiesfunctie;0311200000006557;127803.770000;464588.540000;4.989674;52.168781;https://stichtsevecht.nl/onderwerpen/gemeenteraadsverkiezingen/;Team Verkiezingen, verkiezingen@stichtsevecht.nl
