Leverancier;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1180 - Reis en verblijfkosten;Eindtotaal
Anoniem_DEF_284;;;;;;;1;;1
Anoniem_DEF_289;;;3;;;4;;;4
Anoniem_DEF_291;;;;;3;;;;3
Anoniem_DEF_292;;;;;;1;;;1
Anoniem_DEF_293;;;;;;1;;;1
Anoniem_DEF_295;;;1;;;;1;;1
Anoniem_DEF_298;;;;;;;1;;1
Anoniem_DEF_300;;;;;;1;;;1
Anoniem_DEF_302;;;;1;;;;;1
Anoniem_DEF_307;;;;;;1;;;1
Anoniem_DEF_308;;;;1;;;;;1
Anoniem_DEF_309;;;;;1;;;;1
Anoniem_DEF_310;;;;1;;;;;1
Anoniem_DEF_318;;;;;;;1;;1
Anoniem_DEF_322;3;;;;;;;;3
Anoniem_DEF_323;;;;;;1;;;1
Anoniem_DEF_324;;;;;7;;;;7
Anoniem_DEF_326;;;;;;1;;;1
Anoniem_DEF_328;;;;;1;;;;1
Anoniem_DEF_33;;;;;;1;;;1
Anoniem_DEF_334;;;;;1;1;;;1
Anoniem_DEF_336;;;;;;1;;;1
Anoniem_DEF_339;;;;;;3;;;3
Anoniem_DEF_342;;;;1;;;;;1
Anoniem_DEF_344;;;;;;1;;;1
Anoniem_DEF_345;;;;;1;;;;1
Anoniem_DEF_347;;;;;;1;;;1
Anoniem_DEF_348;;;;;;;1;;1
Anoniem_DEF_349;1;;;1;;;3;;3
Anoniem_DEF_35;;;;;;1;;;1
Anoniem_DEF_350;;;;1;;;;;1
Anoniem_DEF_353;;;;1;;;;;1
Anoniem_DEF_356;;;;2;;;;;2
Anoniem_DEF_358;;;;1;;;;;1
Anoniem_DEF_36;;;;;;1;;;1
Anoniem_DEF_360;;;;1;;;;;1
Anoniem_DEF_361;;;;;;1;;;1
Anoniem_DEF_367;;;;;;2;;;2
Anoniem_DEF_368;;;;;;1;;;1
Anoniem_DEF_377;;;;;;4;;;4
Anoniem_DEF_378;;;;;1;;;;1
Anoniem_DEF_38;;;;;;2;;;2
Anoniem_DEF_383;;;;;;1;;;1
Anoniem_DEF_387;;;;2;;;;;2
Anoniem_DEF_389;;;;;;1;;;1
Anoniem_DEF_390;;;;1;;;;;1
Anoniem_DEF_391;;;2;;2;;;;3
Anoniem_DEF_395;;;;;;;1;;1
Anoniem_DEF_398;;;;;;;1;;1
Anoniem_DEF_40;;;;;;1;;;1
Anoniem_DEF_401;;;;;;;1;;1
Anoniem_DEF_404;;;;;;;1;;1
Anoniem_DEF_405;;;;1;;;1;;1
Anoniem_DEF_406;;;;;;;1;;1
Anoniem_DEF_407;;;;1;;;;;1
Anoniem_DEF_410;;;;;;1;;;1
Anoniem_DEF_413;;;;1;;;;;1
Anoniem_DEF_415;;;;;2;;;;2
Anoniem_DEF_421;;;;;1;1;;;2
Anoniem_DEF_423;;;;;;2;;;2
Anoniem_DEF_424;;;;;;1;;;1
Anoniem_DEF_427;;;;;;1;;;1
Anoniem_DEF_429;;;;1;;1;;;1
Anoniem_DEF_437;;;;;1;;;;1
Anoniem_DEF_438;2;;;1;;1;2;;2
Anoniem_DEF_442;;;;;;;1;;1
Anoniem_DEF_446;;;;;;1;;;1
Anoniem_DEF_447;;;;2;;;;;2
Anoniem_DEF_450;;;;;;2;;;2
Anoniem_DEF_451;;;;;;1;;;1
Anoniem_DEF_458;;;;;;1;;;1
Anoniem_DEF_461;;;2;;;;;;2
Anoniem_DEF_468;;;1;;;;;;1
Anoniem_DEF_47;;;;1;;;;;1
Anoniem_DEF_470;;;;;;2;;;2
Anoniem_DEF_471;;;;;;1;1;;1
Anoniem_DEF_473;;;;1;;;;;1
Anoniem_DEF_474;;;;;;1;;;1
Anoniem_DEF_477;;;;;;1;1;;1
Anoniem_DEF_479;;;;1;;;1;1;1
Anoniem_DEF_48;;;;;;2;;;2
Anoniem_DEF_480;;;;;;3;;;3
Anoniem_DEF_482;;;;;;1;;;1
Anoniem_DEF_486;;;;2;;;;;2
Anoniem_DEF_487;;;;;;1;;;1
Anoniem_DEF_488;;;;;;5;;;5
Anoniem_DEF_489;;;;;;1;;;1
Anoniem_DEF_49;;;;;1;;;;1
Anoniem_DEF_491;;;;;;1;;;1
Anoniem_DEF_493;;;;;4;;;;4
Anoniem_DEF_495;;;;1;;1;;;1
Anoniem_DEF_496;;;;1;;;;;1
Anoniem_DEF_498;;;;;;2;;;2
Anoniem_DEF_499;;;;;;1;;;1
Anoniem_DEF_50;;;1;;;;;;1
Anoniem_DEF_504;;;;;2;;;;2
Anoniem_DEF_507;;;;;;3;;;3
Anoniem_DEF_508;;;;;1;;;;1
Anoniem_DEF_51;;;;;;2;;;2
Anoniem_DEF_512;;;;;;3;;;3
Anoniem_DEF_513;;;;;;1;;;1
Anoniem_DEF_514;;;;;;1;;;1
Anoniem_DEF_516;;;;;2;;;;2
Anoniem_DEF_52;;;;1;;;;;1
Anoniem_DEF_521;;;;;;;1;;1
Anoniem_DEF_522;;;;1;;;;;1
Anoniem_DEF_529;;;;;;1;;;1
Anoniem_DEF_531;;;;1;;1;1;;1
Anoniem_DEF_532;;;;1;;;;;1
Anoniem_DEF_534;;;;;;1;;;1
Anoniem_DEF_536;;;;;;1;;;1
Anoniem_DEF_540;;;;;;3;;;3
Anoniem_DEF_541;;;;;;2;;;2
Anoniem_DEF_542;;;;;;2;;;2
Anoniem_DEF_546;;;;1;;1;1;1;2
Anoniem_DEF_548;;;;1;;;;;1
Anoniem_DEF_549;;;1;;;1;;;1
Anoniem_DEF_550;;;;;;1;;;1
Anoniem_DEF_553;;;;;;1;;;1
Anoniem_DEF_554;;;;1;;;;;1
Anoniem_DEF_555;;;;;;1;;;1
Anoniem_DEF_556;;;;2;7;2;1;;7
Anoniem_DEF_558;;;;;;1;;;1
Anoniem_DEF_560;;;;;;1;;;1
Anoniem_DEF_561;;;;;;1;;;1
Anoniem_DEF_566;;;;1;;;;;1
Anoniem_DEF_571;;;;;;1;;;1
Anoniem_DEF_58;;;;;;1;;;1
Anoniem_DEF_581;;;;1;;;;;1
Anoniem_DEF_582;;;;;;2;;;2
Anoniem_DEF_584;;;;;;2;;;2
Anoniem_DEF_587;;;;1;;;;;1
Anoniem_DEF_588;;;;1;;;;;1
Anoniem_DEF_589;;;;;;;1;;1
Anoniem_DEF_593;;;;;;2;;;2
Anoniem_DEF_594;;;;1;;2;;;2
Anoniem_DEF_595;;;;2;;;;;2
Anoniem_DEF_596;;;;;;1;;;1
Anoniem_DEF_599;;;;;;2;;;2
Anoniem_DEF_600;;;;;;1;;;1
Anoniem_DEF_603;;;;;;2;;;2
Anoniem_DEF_605;;;;;;2;;;2
Anoniem_DEF_610;;;;1;;;1;;1
Anoniem_DEF_613;;;;;;5;;;5
Anoniem_DEF_616;;;;;;2;;;2
Anoniem_DEF_617;;;;;;;1;;1
Anoniem_DEF_619;;;;;;1;;;1
Anoniem_DEF_623;;;;;;1;;;1
Anoniem_DEF_625;;;;;1;1;;;1
Anoniem_DEF_626;;;;;;2;;;2
Anoniem_DEF_628;;;;;;1;;;1
Anoniem_DEF_629;;;;;1;;;;1
Anoniem_DEF_630;;;;;1;;;;1
Anoniem_DEF_632;;;;;;;1;;1
Anoniem_DEF_633;;;;;;;1;;1
Anoniem_DEF_635;;;;;;2;;;2
Anoniem_DEF_637;;;;;;;1;;1
Anoniem_DEF_639;;;;;;1;;;1
Anoniem_DEF_64;;;;;;1;;;1
Anoniem_DEF_640;;;;;;1;;;1
Anoniem_DEF_641;;;;1;;;;;1
Anoniem_DEF_642;;;1;;;;;;1
Anoniem_DEF_643;;;;1;;;;;1
Anoniem_DEF_644;;;;1;;;;;1
Anoniem_DEF_646;;;;1;;;;;1
Anoniem_DEF_647;;;;;;1;;;1
Anoniem_DEF_648;;;;2;;;;;2
Anoniem_DEF_651;;;;;;1;;;1
Anoniem_DEF_652;;;;;;1;;;1
Anoniem_DEF_654;;;;;;1;;;1
Anoniem_DEF_659;;;;1;;;;;1
Anoniem_DEF_662;;;;;;1;;;1
Anoniem_DEF_665;;;;;;2;;;2
Anoniem_DEF_666;;;;;;1;;;1
Anoniem_DEF_667;;;;;;1;;;1
Anoniem_DEF_668;;;;;;;1;;1
Anoniem_DEF_67;;;;1;;;;;1
Anoniem_DEF_671;;;;;1;;;;1
Anoniem_DEF_672;;;;1;;;;;1
Anoniem_DEF_677;;;;;;1;;;1
Anoniem_DEF_678;;;;;;2;;;2
Anoniem_DEF_679;;;;2;;1;1;;2
Anoniem_DEF_68;;;;;;1;;;1
Anoniem_DEF_681;;;;;;1;;;1
Anoniem_DEF_682;;;;;;1;;;1
Anoniem_DEF_684;;;;;;1;;;1
Anoniem_DEF_685;;;;;1;1;;;1
Anoniem_DEF_686;;;;;;;1;;1
Anoniem_DEF_689;;;;;;1;;;1
Anoniem_DEF_69;;;;;1;;;;1
Anoniem_DEF_690;;;;;;6;;;6
Anoniem_DEF_691;;;;;7;;;;7
Anoniem_DEF_695;;;;1;;;;;1
Anoniem_DEF_696;;;;1;;;;;1
Anoniem_DEF_697;;;;;;1;;;1
Anoniem_DEF_699;;;;;1;;;;1
Anoniem_DEF_7;;;;;;1;;;1
Anoniem_DEF_70;;;;;;1;;;1
Anoniem_DEF_700;;;;;;5;;;5
Anoniem_DEF_701;;;;;;1;;;1
Anoniem_DEF_704;;;;;;1;;;1
Anoniem_DEF_707;;;;;;1;;;1
Anoniem_DEF_710;;;;1;;;1;;1
Anoniem_DEF_715;;;;;;;1;;1
Anoniem_DEF_717;;;;;;1;;;1
Anoniem_DEF_719;;;;;5;;;;5
Anoniem_DEF_720;;;;;;2;;;2
Anoniem_DEF_721;;;;;;1;;;1
Anoniem_DEF_722;;;;;1;;;;1
Anoniem_DEF_723;;;;;;2;;;2
Anoniem_DEF_724;;;;;1;;;;1
Anoniem_DEF_726;;;;;7;;;;7
Anoniem_DEF_727;;;;;;1;;;1
Anoniem_DEF_729;;;;;;;1;;1
Anoniem_DEF_73;;;;1;;;;;1
Anoniem_DEF_731;;;;;;1;;;1
Anoniem_DEF_732;;;;1;;1;;;1
Anoniem_DEF_737;;;;;;1;;;1
Anoniem_DEF_743;;;;;;1;;;1
Anoniem_DEF_750;;;;;;1;;;1
Anoniem_DEF_751;;;;;2;;;;2
Anoniem_DEF_752;;;;1;;;;;1
Anoniem_DEF_755;;;;;;;1;;1
Anoniem_DEF_756;;;;1;;;;;1
Anoniem_DEF_758;;;;;;;1;;1
Anoniem_DEF_759;;;;;1;2;;;2
Anoniem_DEF_76;;;;;;1;;;1
Anoniem_DEF_760;;;;;;;1;;1
Anoniem_DEF_761;;;;;;2;;;2
Anoniem_DEF_762;;;;;;1;;;1
Anoniem_DEF_763;;;;;;1;;;1
Anoniem_DEF_766;;;;;2;1;;;2
Anoniem_DEF_768;;;;;;;1;;1
Anoniem_DEF_77;;;;;;1;;;1
Anoniem_DEF_770;;;;;1;;;;1
Anoniem_DEF_772;;;;;;1;;;1
Anoniem_DEF_773;;;;;;1;;;1
Anoniem_DEF_774;;;;;;3;;;3
Anoniem_DEF_775;;;;;;;1;;1
Anoniem_DEF_778;;;;;;1;;;1
Anoniem_DEF_779;;;;;;2;;;2
Anoniem_DEF_78;;;;;;1;;;1
Anoniem_DEF_780;;;;;;;1;;1
Anoniem_DEF_781;;;;;1;;;;1
Anoniem_DEF_782;;;;;;2;;;2
Anoniem_DEF_786;;;;;;1;;;1
Anoniem_DEF_787;;;;;;1;;;1
Anoniem_DEF_79;;;;1;;;;;1
Anoniem_DEF_790;;;;;;1;;;1
Anoniem_DEF_791;;;;;;;1;;1
Anoniem_DEF_795;;;;;;;2;;2
Anoniem_DEF_796;;;;;;1;;;1
Anoniem_DEF_797;;;;;;2;;;2
Anoniem_DEF_798;;;;;;1;;;1
Anoniem_DEF_80;;;;1;;;;;1
Anoniem_DEF_800;;;;;;;1;;1
Anoniem_DEF_802;;;;;;1;;;1
Anoniem_DEF_803;;;;;;1;;;1
Anoniem_DEF_804;;;;;;2;;;2
Anoniem_DEF_806;;;;;;;1;;1
Anoniem_DEF_81;;;;1;;;;;1
Anoniem_DEF_812;;;;;3;;;;3
Anoniem_DEF_816;;;;1;;;;;1
Anoniem_DEF_817;;;;;2;;;;2
Anoniem_DEF_819;;;;;;1;;;1
Anoniem_DEF_82;;;;;1;;;;1
Anoniem_DEF_820;;;;;;1;;;1
Anoniem_DEF_821;;;;;;2;;;2
Anoniem_DEF_831;;;1;;;;;;1
Anoniem_DEF_832;;;;1;;;;;1
Anoniem_DEF_835;;;;;;2;;;2
Anoniem_DEF_836;;;;;;1;;;1
Anoniem_DEF_838;;;;1;1;1;1;;2
Anoniem_DEF_839;;;;;;;1;;1
Anoniem_DEF_841;;;;;;;;1;1
Anoniem_DEF_842;;;;;;1;;;1
Anoniem_DEF_843;;;;;;1;;;1
Anoniem_DEF_844;;;;;;;1;;1
Anoniem_DEF_845;;;;;4;2;;;5
Anoniem_DEF_847;;;;;;5;;;5
Anoniem_DEF_848;;;;1;;;1;;1
Anoniem_DEF_852;;;;;;;;1;1
Anoniem_DEF_855;;;;1;;;;;1
Anoniem_DEF_856;;;;;;1;;;1
Anoniem_DEF_858;;;;;;2;;;2
Anoniem_DEF_859;;;1;;;;;;1
Anoniem_DEF_860;;;;;;2;;;2
Anoniem_DEF_861;;;;2;;;;;2
Anoniem_DEF_863;;;;;;1;;;1
Anoniem_DEF_864;;;;;;1;;;1
Anoniem_DEF_865;;;;1;;;1;;1
Anoniem_DEF_868;;;;;;4;;;4
Anoniem_DEF_872;;;;;;;1;;1
Anoniem_DEF_873;;;;;;4;;;4
Anoniem_DEF_875;1;;;;;;;;1
Anoniem_DEF_878;;;;;;1;;;1
Anoniem_DEF_880;;;;;;1;;;1
Anoniem_DEF_881;;;;;1;;;;1
Anoniem_DEF_885;;;;1;;;;;1
Anoniem_DEF_886;;;;1;;;;;1
Anoniem_DEF_887;;;1;;;1;;;1
Anoniem_DEF_888;;;;;;1;;;1
Anoniem_DEF_89;;;;;;1;;;1
Anoniem_DEF_890;;;;;;1;;;1
Anoniem_DEF_891;;;;;;1;;;1
Anoniem_DEF_892;;;;;;1;;;1
Anoniem_DEF_893;;;;1;;;;;1
Anoniem_DEF_898;;;;2;;1;1;1;2
Anoniem_DEF_899;;;;;;4;;;4
Anoniem_DEF_900;;;;1;;;;;1
Anoniem_DEF_904;;;;;;;1;;1
Anoniem_DEF_905;;;;;;3;;;3
Anoniem_DEF_906;;;;;;2;;;2
Anoniem_DEF_907;;;;;;1;;;1
Anoniem_DEF_909;;;;1;;;;;1
Anoniem_DEF_91;;;;;;1;;;1
Anoniem_DEF_917;;;;;;1;;;1
Anoniem_DEF_920;;;;;;1;;;1
Anoniem_DEF_921;;;;;;1;;;1
Anoniem_DEF_922;;;;;;1;;;1
Anoniem_DEF_923;;;;;;1;;;1
Anoniem_DEF_924;;;;;;1;;;1
Anoniem_DEF_928;;;;;;1;;;1
Anoniem_DEF_930;;;;;;2;;;2
Anoniem_DEF_936;;;;1;;;;;1
Anoniem_DEF_937;;;;;;1;;;1
Anoniem_DEF_938;;;;1;;;;;1
Anoniem_DEF_94;;;;;;;1;;1
Anoniem_DEF_943;;;;;;2;;;2
Anoniem_DEF_945;;;1;;;;;;1
Anoniem_DEF_946;;;;1;;;;;1
Anoniem_DEF_947;;;;;1;;;;1
Anoniem_DEF_953;;;;;;1;;;1
Anoniem_DEF_954;;;;;1;;;;1
Anoniem_DEF_957;;;;;;1;;;1
Anoniem_DEF_958;;;;;;1;;;1
Anoniem_DEF_959;;;;;;2;;;2
Anoniem_DEF_960;;;;;;2;;;2
Anoniem_DEF_963;;;;;1;;;;1
Anoniem_DEF_964;;;;;1;;;;1
Anoniem_DEF_965;;;;1;;;;;1
Anoniem_DEF_968;;;;;;1;;;1
Anoniem_DEF_969;;;;;;3;;;3
Anoniem_DEF_970;;;;;1;;;;1
Anoniem_DEF_971;;;;1;;;;;1
Anoniem_DEF_972;;;;1;7;1;2;;7
Anoniem_DEF_977;;;1;;;;;;1
Anoniem_DEF_979;;;;1;;;;;1
Antratek Electronics;;;;;;1;;;1
ANWB-Rijopleiding;;;;;;4;;;4
Any Lamp;;;;1;;;;;1
Apenheul;;;;;1;;1;;1
Apotheek A15 B.V.;;;1;;;;;;1
Apotheek Hoensbroek B.V.;;;;;;1;;;1
APS Squadron Patches B.V.;;;;1;;;1;;1
Arbron;;;;;;1;;;1
Ardis Opleidingen B.V.;;;;;;1;;;1
Arendse Health Club Dongen B.V.;;;;;;;1;;1
Argentino Tango;;;;;;;1;;1
Arnauld Geschenken B.V.;;;;;1;;;;1
Art of Co-creation;;;;;;1;;;1
Art of Training;;;;;;1;;;1
Artiestenverloningen B.V.;;;;1;;;;;1
Artihove Regina B.V.;;;;1;;;1;;1
ARTTRA Cultureel Organisatiebureau;;;;;;;1;;1
Ascent Safety B.V.;;;;;;2;;;2
ASK-Meerkerk;;;;1;;;;;1
Asstex;;;;;;1;;;1
At Computing B.V.;;;;;;1;;;1
Atal B.V.;;;1;;;;;;1
ATCO;;;;;;2;;;2
Athletic Skills Model (ASM) B.V.;;;;;;2;;;2
AtmR Gifts B.V.;;;;;;;1;;1
ATP Business Travel B.V.;;;;;;;;4;4
AutiTalent B.V.;;;;;6;1;;;6
Automotive Publishing B.V.;;;;;;1;;;1
Avans Hogeschool B.V.;;;;;;1;;;1
Avans Hogeschool MB B.V.;;;;;;2;;;2
Aviation War Books;;;;;;1;;;1
Axitraxi B.V.;;;;1;;;;;1
Ayonas B.V.;;;;;;2;;;2
AZ Barbecue & Gourmet Partyservice B.V.;;;;1;;;;;1
Azerty;;;;;;1;;;1
B.V. Auberge de Rousch;;;;1;;;;;1
B.V. Bureau JPO;;;;;;1;;;1
B.V. Sport;;;1;;;;;;1
B.V. Tilb. Uniformkleermakerij;;;;;;1;;;1
B.V. Vega Meet- en Regeltechniek;;;;;;1;;;1
B.V. Verpakkingsindustrie Veenendaal;;;;;;1;;;1
B+B Vakmedianet B.V.;;;;;;2;;;2
BAG Office B.V.;;;;1;;;;;1
Baker Tilly (Netherlands) N.V.;;;;;;1;;;1
Bakker Geluidsverhuur;;;;1;;;;;1
Bakkerij Boonstra;;;;1;;;;;1
Bakkerij Dunselman;;;;;;;1;;1
Bakkerij Hilvers B.V.;;;;1;;;;;1
Bambook v.o.f.;;;;1;;;;;1
Banketbakkerij Boheemen;;;;1;;;;;1
Banketbakkerij Maison Kelder B.V.;;;;1;;;;;1
Banketbakkerij Ritmeester;;;;1;;;;;1
Banketbakkerij Teurlings B.V.;;;;;;1;;;1
Bar Restaurant Pavlov B.V.;;;;;;;1;;1
Barbarossa Beach B.V.;;;;;;;1;;1
Barend;;;;;1;1;;;1
Barista Cafe Njoy;;;;;;1;;;1
BARSTORIES;;;;;;;1;;1
Bastion Hotel Breda B.V.;;;;;;1;;;1
Bastion Hotel Rhoon B.V.;;;;;;1;;;1
Bastion Hotel Roosendaal B.V.;;;;;;1;;;1
Baston Service B.V.;;;;;;;1;;1
Bavak Beveiligingsgroep B.V.;;;;;;1;;;1
Bax-shop.nl B.V.;;;;;1;1;;;2
BBFreestyle;;;;1;;;;;1
BBO-ergo B.V.;;;2;;;;;;2
BCD Travel Nederland B.V.;;;;;;;;1;1
Be7;;;;;;1;;;1
Beach Inn B.V.;;;1;;;;;;1
Beach Professionals B.V.;;;;;;;1;;1
Bears Horeca B.V.;;;;;;;1;;1
Bechtle direct B.V.;;;1;;;;;;1
Behavior Change Academy B.V.;;;;;1;;;;1
Behr Groep Nederland B.V.;;;;;;2;;;2
BeiDe & Co. B.V.;;;;1;;;;;1
Beker- en Biljarthuis Lambregts V.O.F.;;;;;;1;;;1
Beleg van Breda;;;;;;1;;;1
Beleving aan zee;;;;;1;;;;1
Belgisch Biercafé Olivier B.V.;;;;;;;1;;1
Bema Shopping B.V.;1;;;;;;;;1
Bema Trading B.V.;;;;;1;;;;1
Bémar B.V.;;;;;3;;;;3
Berenschot Groep B.V.;;;;;5;;;;5
Berkdijk Bloemen & Co B.V.;;;;1;;;;;1
Berlitz Schools of Languages B.V.;;;;;;5;;;5
