Handelsnaam anonimiseerd;5110 - Verblijf extern;5210 - Wagenpark;Eindtotaal
Bluekens Truck en Bus B.V.;;2;2
BMAir International B.V.;;1;1
BMW Den Haag B.V.;;1;1
Bochane Auto I Zeist;;1;1
Bondewel Oliën en Gassen (Terneuzen) B.V.;;1;1
Botenverhuur De Rijnstroom;;1;1
Bourguignon Leeuwarden B.V.;;1;1
Brandsma's Automobielbedrijf B.V.;;1;1
Breeland B.V.;;1;1
Brezan Automaterialen Goes;;2;2
Britline;;4;4
Broeder de Vries Dutch Medical Services B.V.;;4;4
Broekhuis Apeldoorn B.V.;;1;1
Broekhuis Automaterialen B.V.;;1;1
Broekhuis Zeist;;1;1
Broekman Eemshaven Services B.V.;;4;4
Brouwer Motors B.V.;;1;1
Budget Rent a Car;;5;5
Burg Trailer Service B.V.;;1;1
Burger Ferry Agencies B.V.;;3;3
Burtec B.V.;;1;1
C. Bos en Zonen Beheer B.V.;;1;1
Camping 'It Wiid' B.V.;2;;2
Cannock Chase Public;;1;1
Car Cleaning Correct B.V.;;2;2
Car Cool Center;;1;1
Carbouw;;1;1
Carglass B.V.;;1;1
Carrier Transicold, Vego Trans;;1;1
Carrosserie Akkermans B.V.;;3;3
Carrosserie Elenbaas B.V.;;1;1
Carrosseriefabriek Veth Arnhem B.V.;;1;1
Cartal Schagen;;1;1
CARU Containers B.V.;;2;2
CARU Containers Rental B.V.;;1;1
Carwash Leeuwarden B.V.;;1;1
Carwash Uden B.V.;;1;1
CELECTRIC B.V.;;1;1
Christelijke Hogeschool Ede;;1;1
Claushuis Groep;;1;1
Complete Store Van Dijk B.V.;;2;2
Connexxion Taxi Services B.V.;;6;6
Connexxion Tours B.V.;;7;7
Conrad Electronic Benelux B.V.;;1;1
Contour Advanced Systems B.V.;;1;1
Coolblue B.V.;;1;1
Coöperatieve Vereniging 'Esonstad' UA;2;;2
D. van Dam B.V.;;1;1
DAF Trucks N.V.;;1;1
Damen Hydrauliek Best B.V.;;1;1
DB Cargo Nederland N.V.;;1;1
DDS Druma B.V.;;1;1
De Burgh Acht B.V.;;1;1
De Burgh Son B.V.;;1;1
De Molen Banden;;1;1
De Molen Banden B.V.;;1;1
De Pooter Olie B.V.;;1;1
De Vier Gewesten B.V.;;2;2
De Vlas Transport B.V.;;1;1
Deba Bedrijfswagens Bergen op Zoom B.V.;;1;1
Delta International Promotioneel B.V.;;1;1
Den Hartogh Cleaning B.V.;;1;1
Destil B.V.;;1;1
DFDS Seaways IJmuiden B.V.;;3;3
DHL International B.V.;;1;1
Dijssel B.V.;;4;4
Dräger Nederland B.V.;;1;1
Dronk Bedrijfswagen-Onderdelen B.V.;;1;1
DSV Air & Sea (Rotterdam);;2;2
E.B. Bredow Hydraulick Heerhugowaard B.V.;;1;1
E.B.O. van Weel;;2;2
Easy2send.nl B.V.;;1;1
Eberca B.V.;;1;1
ECR Nederland B.V.;;1;1
Eenzet Handelsonderneming B.V.;;1;1
Eindhovense Carrosseriefabriek B.V.;;1;1
Ematra Richttechniek B.V.;;2;2
E-Milers Group B.V.;;1;1
Engbers Motors B.V.;;1;1
ENGIE Services West B.V.;;1;1
Eriks B.V.;;1;1
Ernst & Young Accountants LLP;;2;2
Esonstad Horeca;1;;1
Esve B.V.;;1;1
Eurocross Assistance Netherlands B.V.;;2;2
Euromaster Bandenservice;;2;2
EVO Fenedex B.V.;;1;1
Evobus Nederland B.V.;;1;1
Exide Technologies B.V.;;1;1
Expo Display Service;;1;1
Fabory Nederland;;1;1
Falkom Kranen Import B.V.;;1;1
Federal Express Nederland;;1;1
Ferrini B.V.;;1;1
Fliteline B.V.;;8;8
Fluiconnecto B.V.;;1;1
Forte Midden Nederland;;1;1
Forward Support Trading B.V.;;7;7
Fresh Zone Car Clean;;1;1
G.S. Meppel B.V.;;1;1
G.T.O. Transporten B.V.;;4;4
Geertsma Tankstations B.V.;;1;1
Gencom Products B.V.;;1;1
Gentenaar Cleaning Moerdijk B.V.;;1;1
Geostick Nederlandse Etikettenindustrie B.V.;;1;1
Gomes Schiphol;;1;1
Gomes Warmenhuizen;;2;2
Gröninger Cleaning Systems B.V.;;1;1
H. de Vries Reinigingsapparatuur B.V.;;1;1
H. van Poelgeest Noordwijk B.V.;;1;1
H. van Poelgeest Oud-Centrum B.V.;;1;1
Haar Nederland C.V.;;1;1
Hako B.V.;;1;1
Hamer B.V.;;1;1
Harbers Trucks Barneveld B.V.;;4;4
Harry Meijer B.V.;;1;1
Harvest Automotive B.V.;;1;1
Havik Auto;;1;1
Health2Work B.V.;;1;1
Heffiq Heftruck Verhuur B.V.;;1;1
Heliflight Holland B.V.;;1;1
Hertz Automobielen Nederland B.V.;;4;4
Hiab Benelux B.V.;;1;1
Hobur Twente B.V.;;1;1
Holland Inbouw;;2;2
Hollandse Telecommunicatie Maatschappij;;1;1
Hoogeboom Zeilmakerij B.V.;;1;1
Hoogenraad Transport V.O.F.;;1;1
Hotel Contact B.V.;4;;4
Hugen Brandbeveiliging en Adviesbureau B.V.;;1;1
Huijsmans Service Center B.V.;;1;1
I.O.S. Boiten B.V.;;1;1
Infrastructure Services & Projects B.V.;;1;1
Intercédé B.V.;;1;1
Intimus International Netherlands B.V.;;1;1
Invoned Apeldoorn B.V.;;1;1
ITS Hendrion B.V.;;2;2
Iveco Nederland B.V.;;1;1
J. Hoekstra B.V.;;1;1
J.W.M. van Tiel;;2;2
Jager & Wiering H.O. Pirtek Utrecht;;1;1
Jan de Wit Autocars N.V.;;4;4
JCB;;3;3
Jonker Carrosserieen B.V.;;1;1
JS Laadtechniek B.V.;;2;2
Jungheinrich Nederland B.V.;;3;3
K.I.G. Heerenveen B.V.;;1;1
K.M. A. Logistics and Textiles B.V.;;2;2
Kalkhoven Beveiliging B.V.;;1;1
Kalmar Netherlands B.V.;;1;1
Kegama Automat. t.h.o.d.n. Brezan Automat.;;1;1
Kenbri Fire Fighting B.V.;;2;2
KLM Passagekantoor Eindhoven;;2;2
Koks After Sales B.V.;;3;3
Konijnenburg B.V.;;1;1
Koninklijke PostNL B.V.;;6;6
Kooning Schiphol B.V.;;1;1
Kraakman Perfors B.V.;;1;1
Krabbers-van Liempt;;1;1
Kuiken B.V.;;1;1
Kuiken N.V.;;2;2
Kuil Banden;;1;1
Kwint B.V.;;1;1
L&S Specials B.V.;;1;1
Lamers High Tech Systems B.V.;;1;1
Landhotel Bosoord;2;;2
Langhout Intern Transport B.V.;;1;1
Leaseplan Nederland N.V.;;9;9
Lemmens Motorsport;;1;1
Liebherr-Nederland B.V.;;7;7
Louwman & Parqui B.V.;;1;1
Louwman Amersfoort;;1;1
Louwman Amsterdam B.V.;;2;2
Louwman Den Haag B.V.;;2;2
M. Ringelberg Touringcars B.V.;;1;1
M.G. Dassen Beheer B.V.;;1;1
M.S. de Vries & Company B.V.;;2;2
Maandag Interim Professionals B.V.;;2;2
Mabo-Lifting Nederland B.V.;;1;1
Machinefabriek J. van Geffen;;5;5
Manutan B.V.;;1;1
Marine Trading & Services B.V.;;1;1
Martin Schilder Rental B.V.;;1;1
Mennens Groningen B.V.;;1;1
Mercedes-Benz Dealer Bedrijven B.V.;;5;5
Mercedes-Benz Nederland B.V.;;1;1
Mercedes-Benz Roelofarendsveen;;1;1
Michelin Nederland N.V.;;1;1
Mijno van Dijk Mechanisatie B.V.;;1;1
Mobiel B.V.;;1;1
Mobile Information Services B.V.;;6;6
Motoport Hengelo B.V.;;1;1
Motoport Hippolytushoef;;1;1
Motor Centrum West B.V.;;2;2
Motrac Intern Transport B.V.;;5;5
Munckhof Regie;;3;3
Munters Netherlands B.V.;;3;3
Nationaal Parachutisten Centrum Teuge B.V.;;1;1
Nautische Unie;;1;1
Nefkens Rent;;1;1
Nijwa Rijssen;;1;1
Noorderpoort;;1;1
Nooteboom Trailer Service B.V.;;1;1
Omnimark B.V.;;1;1
Orange Blue Terminals B.V.;;4;4
Overlander;;1;1
PAK Aanhangwagens B.V.;;1;1
Papro Nederland;;1;1
Park-line B.V.;;1;1
PECOFacet (Holland) B.V.;;1;1
Peinemann Heftrucks B.V.;;6;6
PEMAR Technische Groothandel B.V.;;1;1
Peter Claassen Inbouwstation B.V.;;1;1
Peters Aanhangwagens V.O.F.;;1;1
Pijnappel Aanhangwagens B.V.;;1;1
Pirtek B.V.;;1;1
Polymax Industrietechniek B.V.;;2;2
Pon Dealer B.V.;;1;1
Pon's Automobielhandel B.V.;;3;3
PostNL Real Estate Development B.V.;;1;1
Pricewaterhousecoopers Accountants N.V.;;3;3
Profile Tyrecenter Abi Soest B.V.;;1;1
Profile Tyrecenter Car-Service;;1;1
Profile Tyrecenter Truck Europe N.V.;;1;1
Profile Tyrecenter-Friese Bandenservice;;2;2
Protempo B.V.;;1;1
Pyroban Benelux B.V.;;1;1
Quality Stores Online B.V.;;1;1
R. Tichelaar;;1;1
Randstad Resource Bedrijf Zakelijk B.V.;;3;3
Randstad Uitzendbureau;;1;1
Ravas Europe B.V.;;1;1
Rederij Wadden Transport;;2;2
Renault Nederland N.V.;;1;1
Rhenus Air B.V.;;8;8
Ron Meijer Marine Services;;2;2
Rüttchen Automotive Breda vestiging Den-Bosch;;1;1
Rüttchen Automotive, vest. bedr.auto's Breda;;1;1
Ruys Handelsvereniging B.V.;;1;1
S.C.B. Schade Centrum Biemond B.V.;;1;1
Saval B.V.;;1;1
Scania Nederland B.V.;;3;3
Schadeherstel Roland Poppe;;1;1
Schiphol Nederland B.V.;;3;3
Schot Verticaal Transport B.V.;;6;6
Schotpoort Traffic Center B.V.;;6;6
Schouten Spijkenisse B.V.;;1;1
Schouten Tiel B.V.;;2;2
Schouten Utrecht B.V.;;1;1
Sealane Terminals B.V.;;3;3
Secumar Benelux B.V.;;1;1
Seko Benelux B.V.;;7;7
Servicestation M. Rijks B.V.;;1;1
Servicestation Rijtex Nieuweschans B.V.;;1;1
Service-Station Valkenhuizen Jo Brouwers B.V.;;1;1
SGS Nederland B.V.;;1;1
Silver Star Agencies B.V.;;1;1
Simako BDM Apeldoorn B.V.;;1;1
Sixt B.V.;;4;4
Smeba Brandbeveiliging B.V.;;1;1
Smeets M.B. Eindhoven B.V.;;1;1
Smeets M.B. Zuid-Limburg B.V.;;1;1
Spijkstaal International B.V.;;1;1
Spliethoff's Bevrachtingskantoor B.V.;;5;5
Sta-Rho Aanhangwagens B.V.;;1;1
Start People;;1;1
Steder Group B.V.;;5;5
Stena Line B.V.;;1;1
Stern Auto;;4;4
Stern Auto B.V.;;2;2
SternRent;;1;1
SternRent B.V.;;6;6
Stevens Auto-Elektron. en Diesel/Hydr. V.O.F.;;1;1
Stichting Elfstedenhal;1;;1
Still Intern Transport B.V.;;1;1
Tank Services Groningen B.V.;;1;1
Tankstation Drok B.V.;;1;1
Taxi- en Bergingsbedrijf Dorenbos B.V.;;1;1
Taxibedrijf Van der Wijst;;4;4
Technisch Bureau Magema B.V.;;2;2
Technische Centrale;;1;1
Terberg Specials B.V.;;1;1
Terberg Techniek IJsselstein;;1;1
Terex Cranes Germany GmbH;;2;2
Thermo King Transportkoeling B.V.;;1;1
TIP Trailer Services Netherlands B.V.;;5;5
TNT Express Nederland B.V.;;6;6
Tobias Fiscaal;;1;1
Topmoto B.V.;;1;1
TOTAL Nederland N.V.;;1;1
Toyota Material Handling Nederland B.V.;;2;2
Traktiebatterijen Nederland B.V.;;1;1
Transmo B.V.;;2;2
Transvision B.V.;;6;6
Trim-Line of Holland B.V.;;1;1
Triorep B.V.;;1;1
Truckland Heerhugowaard;;2;2
Truckland Noord-Holland B.V.;;1;1
Truckstop Acht B.V.;;1;1
TTS Swifterbant;;2;2
Twisk Truck Service Alkmaar;;2;2
UAS Baarn;;4;4
United Parcel Service Nederland B.V.;;1;1
v.d. Linden v. Sprankhuizen Bedrijfsw. B.V.;;2;2
v.d. Vlist Speciaal- en Zwaartransport B.V.;;7;7
Valkenhuizen Exploitatie;;1;1
Van Breemen Onroerend Goed B.V.;;2;2
Van den Corput All Office B.V.;;1;1
Van der Heijden Milieu- en Install.techn.;;1;1
Van der Werf Jelsum B.V.;;1;1
Van Dongen Berging B.V.;;1;1
Van Hooft Bedrijfswagen Veghel B.V.;;3;3
Van Poelgeest Hilversum B.V.;;2;2
Van Tilburg-Bastianen B.V.;;1;1
Van Tilburg-Bastianen DAF B.V.;;3;3
Van Vliet Parts B.V.;;4;4
Vanderkooij Telecommunicatie B.V.;;3;3
VanDoClean B.V.;;1;1
VDL Bus & Coach Service FRY-ZHN B.V.;;1;1
VDL Bus Venlo B.V.;;2;2
Veghelse Truck & Trailer Service B.V.;;2;2
Verbrugge Marine B.V.;;2;2
Verbrugge Zeeland Terminals B.V.;;1;1
Vereniging van Automobieltechnici ATC;;1;1
Verkerk Utrecht B.V.;;1;1
VHD Alarmcentrale;;2;2
Vink Lisse B.V.;;1;1
Visser B.V.;;2;2
Volvo Group The Netherlands B.V.;;4;4
Volvo Truck Center Almere;;1;1
Vreugdenhil Berging B.V.;;1;1
Wagon Care B.V.;;4;4
Wash Drive In Horsterweg V.O.F.;;1;1
Washmobile V.O.F.;;1;1
Washplan-Ned.;;1;1
We Share Talent B.V.;;1;1
Weda B.V.;;1;1
Wensink;;2;2
Wensink Apeldoorn;;1;1
Wensink Assen;;1;1
Wensink Automotive B.V.;;2;2
Werklust Holland B.V.;;1;1
Wiba Zevenaar B.V.;;2;2
Wiegel Transport Equipment B.V.;;1;1
Wildkamp B.V.;;1;1
Wiltec B.V.;;1;1
Wurth Elektronik Nederland B.V.;;2;2
Xerox (Nederland) B.V.;;1;1
Yamaha Motor Europe N.V.;;6;6
Z.A.M. Zeister Automobiel Maatschappij B.V.;;2;2
Zanten B.V.;;1;1
Zet Solutions B.V.;;1;1
Eindtotaal;4;11;11
