Leveranciers;8110 - Vakliteratuur, abonnementen en overige informatie;8210 - Vertaaldiensten;8310 - Relatiegeschenken niet voor eigen personeel;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;8-Communicatie
CHOI Centrum Hoger Onderwijs Informatie;1;;;;;1
Chris Booms fotografie;;;;1;1;1
Chris Hopley Vertaalbureau;;1;;;;1
Christelijke Hogeschool Windesheim;1;;;;;1
Cinnamon Interactive;;;;;2;2
Circus Elleboog;;;;1;;1
CiT Collections Information Technology;;;;;1;1
CitySense (vh Jacobi Theater);;;;1;;1
Clara.Net;1;;;;;1
CNV Vakmensen;1;;;;;1
Coenegracht Training & Opleiding;;;;;1;1
Colour Digital;;;;;1;1
Communicatie Bureau De Lynx;;;;1;;1
Communicatie M;;;;;2;2
ComScore (vh Nedstat);1;;;;;1
Conferentiecentrum Kaap Doorn;;;;1;;1
Consumentenbond;1;;;;;1
Convoy Uitgevers/Instondo beheer;1;;;;;1
Coosto;2;;;;;2
Corbisnis;;;;;1;1
Crazy Piano's Scheveningen;;;1;;;1
Creabea;;;;;2;2
CS fotografie;;;;;1;1
Cultural Motion;;;;;1;1
Curly Words;;1;;;;1
Cuypergenootschap;1;;;;;1
D&B Mobility;;;;1;;1
Damen van Deventer;1;;;;2;2
Daphne Heemskerk;;;;1;2;2
Dara;;;;1;;1
De Correspondent;;;;1;;1
De Doelenpers Uitgeverij;1;;;;;1
De Kunst Uitgeverij;1;;;;;1
De Leeskring Intiem;1;;;;;1
De Lindenhof;;;;1;;1
De Melkfabriek;;;;1;;1
De Nederlandse Museumvereniging;1;;;;;1
De Observant Stadscafé;;;;1;1;1
De Persgroep (incl. PCM, De Volkskrant, Het Parool, Trouw, Algemeen Dagblad, Perscombinatie);1;;;;1;1
De Perslijst;;;;;1;1
De Programmerij;;;;;1;1
De Pudding/Saroma [Puddingfabriek];;;;;1;1
De Schalm-Praktijk voor Persoonlijke Begeleiding;1;;;;;1
De Telefoongids (KPN);1;;;;;1
De Toorts Uitgeverij;1;;;;;1
Den Haag Marketing & Events;;;2;;;2
Detron (incl. Kender Thijssen, Finntax, Issue Information Technology, KT);;;;1;;1
DIA Duitsland Instituut Amsterdam;;;;1;;1
Diensten Stichting Mediation;1;;;;;1
Dierk Hendriks Fotografie;;;;;1;1
Dot Red webdevelopment;;;;;1;1
Doxis;1;;;;;1
Drakenburg Conferentiecentrum;;;;1;;1
Droge & van Drimmelen;1;;;;;1
Droog;;;1;;;1
DSL-Reclame;;;;;1;1
DT Duidelijke Taal Tekstproducties;;;;;1;1
Dudok (Horeca Exploitatie WWZ IV);;;;1;;1
Dun & Bradstreet;2;;;;;2
Dynamics User group;1;;;;;1
EBSCO Europe;3;;;;;3
ECI Horeca;;;;1;;1
EDG Media (Educatieve Distributie Groep);1;;;;;1
Edmund Optics;;;;;1;1
Educom;;;;;1;1
Eelco Beukers tekst en productie;;1;;;2;2
Eik en Linde Cafe;;;;1;;1
Eisma Group Media (incl. Bouwmedia, Businessmedia, Trademedia, Industrialmedia);1;;;;;1
EM-Cultuur;1;;;;1;1
En publique;;;;;2;2
Engels & Partners;;;;;1;1
Enigma Consulting;1;;;;;1
Enigmatry;;;;;1;1
Equrion Services;1;;;;;1
Erfgoed Brabant;1;;;;;1
Erfgoedhuis Zuid-Holland;;;;1;;1
Erich Snijder Fotografie;;;;;1;1
ESN (incl. Service en Netwerkbeheer, Automatisering);;;;1;;1
Esther Duine Communicatie;;;;;2;2
Europa Nostra;1;;;;;1
Eurotext Vertaalbureau;;2;;;;2
Evert Doorn Fotografie;;;;;1;1
Exed;;;;;1;1
Expertisecentrum Nederlands;1;;;;;1
Expo Display Service;;;;;2;2
F. Kappeyne van de Coppello;;;;1;;1
Fakton (Beurs-WTC);;;;1;;1
Filmgasten;;;;;1;1
Financieele Dagblad;1;;;;;1
Flexwebhosting;;;;;1;1
Forall Media;;;;1;;1
Fosfor Ontwerp;;;;;1;1
Foto Konijnenberg;;;;;1;1
Fotografie Marijke Volkers;;;;;1;1
Fotostudio Wierd;;;;;1;1
Frederik de Wal;;;;;1;1
Friesch Dagblad;1;;;;;1
Geertje Korf;;;;;1;1
Gefelicitaart;;;1;;;1
Gelders Genootschap;;;;1;;1
Gem Redactie;;;;;1;1
Gemaco (vh Jos Premiums & Gifts);;;;1;;1
Geschenkbezorgen.nl (incl. Wijnlatenbezorgen);;;1;;;1
Giethoorn Ten Brink Drukkerij;1;;;;;1
Gilde Amersfoort;;;;1;;1
Go 4 Events;;;1;;;1
Goldmund Wyldebeast & Wunderliebe;;;;;2;2
Gordion Cultureel Advies;;;;;1;1
Grafisch Bedrijf Tuijtel;;;;;1;1
Grondtaal Vertaalbureau;;1;;;;1
GroupM;;;;;1;1
Guy Königstein;;;;1;;1
H.A. de Kort's Trading;;;;;1;1
H.J. Hiep;;;;;2;2
H+N+S Landschapsarchitecten;;;;2;;2
Hafo Spec Zaak voor Foto en Video;;;;;1;1
Handelingsbrutaal;;;;1;;1
Hans Roggen Fotografie;;;;;1;1
Haptikos;1;;;;;1
Heemschut;1;;;;;1
Helmus Advies Cultureel Erfgoed;;;;1;;1
Hendrikx van der Spek, Bureau voor Bedrijfscommunicatie;;;;;1;1
Het Gouden Oor;1;;;;;1
Het Klooster Leerhotel;;;;1;;1
Het Nieuwe Trivium;;;;1;;1
Hexspoor It;1;;;;;1
High Profile Uitgeverij;1;;;;;1
High Tea;;;;1;;1
Hoger Onderwijs Persbureau;1;;;;;1
Hogeschool Arnhem en Nijmegen;1;;;;;1
Hollandse Hoogte;1;;;;1;1
Hostmanship Group Nederland;1;;;;;1
Houtschild Boekhandel;2;;;;;2
Hulskamp Audiovisueel;;;1;;;1
Human Touch;;;;;1;1
Huyser Boekhandel;;;1;;;1
ICT Media;1;;;;;1
Id&Dn;;;;;1;1
Idee Aan Zee;;;;;1;1
IDG Communications;1;;;;;1
IEPC Incentive Europe Premiums Concepts & Licensing;;;;;1;1
Ijsselhallen Exploitatie Mij.;;;;;1;1
In2Content;;;;;2;2
Inbo Adviseurs Stedenbouwkundigen;;;;;1;1
Infotrading;4;;;;;4
Innovero Software Solutions (incl. FormDesk);;;;;1;1
Instituut Fondsenwerving;1;;;;;1
Insyde;;;;1;1;2
Intermax;;;;;1;1
IP Uitgeverij;1;;;;;1
Isabel van Lent;;;;;3;3
Jaarbeurs Utrecht;;;;2;;2
Jan van Delen Touringcars en Busreizen;;;;1;;1
Jebo Entertainment;;;1;;;1
Joey Mercuur Patisserie;;;;1;;1
Joost Enkelaar Fotografie;;;;1;;1
Jos Knippen;;;;;1;1
Josje Deekens Fotografie;;;;;1;1
Julia Wolff Management;;;;1;;1
Jungle Minds;;;;;1;1
Kerckebosch Drukkerij, Uitgeverij, Studiecentrum, Grafische Communicatie;1;;;;;1
Keukenstudio Beelen;;;;;1;1
Kick Smeets Fotografie;;;;;1;1
Klantocratie;1;;;;;1
KNAG;1;;;;;1
KNGGW Koninklijk Nederlandsch Genootschap voor Geslacht- en Wapenkunde;1;;;;;1
Kobalt Media;;;;;1;1
koekepeer Producties;;;;;1;1
Koken Op Maat;;;1;;;1
Koninklijke De Swart;;;;;2;2
Koninklijke van Gorcum;1;;;;;1
Kop & Schouders;1;;;1;1;1
KPC Onderw Innovatie Centrum Stg;;;;1;;1
KVAN Koninklijke Vereniging van Archivarissen;1;;;;;1
Kwaliteitskring Noord Nederland;1;;;;;1
Laarhoven Design;;;;1;3;3
Lanasta;;;;;1;1
Landelijk Expertisecentrum Sociale;1;;;;;1
Landkaartje;;;;;1;1
LDC Uitgeverij;1;;;;;1
Le Passage;;;;;1;1
Leeswereld;1;;;;;1
Lenthe Publishers & Consultants;1;;;;;1
Leukdoordebrievenbus;;;1;;;1
Leukeleu;;;;;2;2
Lexis Nexis;1;;;;;1
Libris Veenendaal Boekhandel;;;;1;;1
Linguistic Systems;1;;;;;1
Linschoten Vereeniging;1;;;;;1
Logeion Vereniging Voor Communicatie;1;;;;;1
LookDown luchtfotografie;;;;;1;1
Lubbers Internet Oplossingen / Presenter;;;;;3;3
Lud Arte;;;;1;;1
M Balyon Grafische Vormgeving;;;;;1;1
M.A. van Os;;1;;;;1
M.J.F. van Uitert;;;;;1;1
M.S.A. Bovens;;;;;2;2
Mainpress (incl. Computerboek.nl, Managementboek.nl, Jongbloed);2;;;;;2
Maklu;1;;;;;1
ManagementMedia (GrafiCom);1;;;;;1
Marbles;;;;2;;2
Marcel Kentin Photography;;;;;1;1
Margareta Svensson;;;;;1;1
Margriet van Lith;;;;;1;1
Maria Lamslag;;;;;1;1
Mark van Eeuwen Productions;;;;;1;1
Marketing Groningen;;;2;;;2
Marleen Kamminga;;;;;1;1
Martiniplaza Groningen (vh Martinihal);;;;;1;1
Maters & Hermsen Journalistiek en Opleidingen;;;;;1;1
Matrijs Stichting;1;;;;;1
Matthijs de Boer Stedenbouw;;;;;1;1
Media Mission;;;;;2;2
Meltwater the Netherlands;1;;;;;1
MeMo Belettering & zeefdruk;;;;;1;1
Mercurius Art Productions (incl. Goede Doelen Kerstkaarten);;;1;;;1
Metamorfose Vertalingen;;1;;;;1
Metropolisfilm Post-Production;;;;;1;1
Mies Tekst en Training;;;;1;;1
Mijksenaar;;;;;1;1
Mk2 Visuele Media;;;;1;;1
MMM Interactieve Communicatie;;;;;1;1
Monique van der Steen Fotografie;;;;;1;1
Monumenten Adviesbureau;1;;;;;1
Motivaction;;;;;2;2
Movares Nederland;;;;;1;1
MT Abonnementenland;1;;;;;1
Mts voor Communicatie;;;;;1;1
Museum Catering;;;;2;;2
Museumstoomtram;;;;1;;1
Music Entertainment Bookings;;;;1;;1
MYbusinessmedia (vh Media Business Press);1;;;;;1
N P Groen;;;;;1;1
NAi Boekverkopers;1;1;;;1;2
Nanette de Jong Fotografie;;;;;1;1
Nationaal Renovatie Platform Stg;;;;;1;1
Nationale Beeldbank;;;;;1;1
Naturalis - National Natuurhistorisch Museum;1;;;;;1
Navigators Studentenvereniging Enschede;1;;;;;1
NDC Mediagroep;1;;;;;1
Nederlands Fotogenootschap;1;;;;;1
Nederlands Fotomuseum;1;;;;1;1
Nederlandse Vereniging van Monument;1;;;;;1
NESMA Ned. Software metrieken Gebruikers ass.;1;;;;;1
Netzo;;;;1;;1
Nevi/Neho;1;;;;;1
New Babylon Meeting Center;;;;1;;1
NGFG Nederlands Genootschap van Functionarissen Voor De Gegevensbescherm;1;;;;;1
NH Hotels (incl. Nhow hotels);;;;1;;1
Nico van Maastricht grafisch ontwerp;;;;1;1;1
Nienke Elenbaas Fotografie;;;;;1;1
Nieuwspoort;1;;;1;;1
Nive Ned Ver Voor Management;1;;;;;1
Nluug Buro;1;;;;;1
Noloc;1;;;;;1
Noordhoff Uitgevers (incl. Wolters-Noordhoff);1;;;;;1
Noortje Hoppe;;;;;1;1
Novelties Business Gifts;;;1;;;1
Novum Foto;;;;;1;1
NVOR Nederlandse Vereniging voor Onderwijsrecht ;1;;;;;1
NVS-NVL;1;;;;;1
NVVA Ned Ver Voor Aanbestedingsrecht;1;;;;;1
O Dubbel D B.V.;;;;;1;1
OBT - Opmeer/De Bink/Tds - Boekdruk;;;;;1;1
Occhio;;;;;1;1
OCLC (incl. PICA);1;;;;;1
Omroep Muziek Stg;;;;;1;1
Onze Taal Genootschap;1;;;;;1
OOQ;;;;;2;2
Ooxo.nl VOF;;;;;1;1
Ordina (incl. Be Value, Clockwork);;;;1;;1
Originals Recruitment;;;;;3;3
OSP Office Service Partners (incl. Du Monde Food, Catering);;;1;2;;2
Otto Cramwinckel Uitgever;1;;;;;1
Oud London Catering-Hotel-Restaurant;;;;1;;1
PAL Pioniers in Authentiek Leiderschap;1;;;;;1
Pardon Consult (vh Wassenaar Consult);1;;;;;1
Paris Uitgeverij;1;;;;;1
Parkc;;;;;1;1
Paul Paris les Images;;;;;1;1
PDC Informatie Architectuur;;;;;2;2
Pepe Heykoop & Tiny Miracles Foundation;;;1;;;1
Performa Uitgeverij;1;;;;;1
Peter Cox;;;;;1;1
Pictoright;;;;;1;1
Pictura Imaginis;;;;;1;1
Pixelpillow;;;;;1;1
Pixelpolder;;;;;1;1
Platform Outsourcing Nederland;1;;;;;1
Plint (Poezie en Beeldende Kunst);;;1;;;1
Pom Hospitality;;;;1;;1
Pondera Consult;;;;1;;1
Prae Artiestenverloning;;;;1;;1
Prima Focus;;;;;1;1
Printxpress;;;1;1;1;1
Profiel Produkties;1;;;;;1
Protinus It;;;;1;;1
Pulchri Studio;;;;1;;1
PVIB Platform Voor Informatiebeveiliging;1;;;;;1
R&A;1;;;;;1
Raccourci Ver(taal)bureau;;;;;1;1
Rafel Media v.o.f.;;;;;1;1
Raoul Suermondt architectuurfotogra;;;;;1;1
Rederij de Vecht;;;1;;;1
Regardz (incl. Iassociate);;;;1;;1
Reijers Communicatie;;;;;1;1
Reinaerde;;;1;;;1
Rendement;1;;;;;1
Rendezvous;;;1;;;1
Reprorecht;1;;;;1;1
Rijksmuseum Amsterdam;;;1;;;1
Rijksmuseum Voor Volkenkunde;;;;1;;1
Rinie Bleeker;;;;;1;1
Rixt A. Bosma Kunsthistorica;;;;;1;1
RKD Rijksbureau voor Kunsthistorische Documentatie;1;;;;;1
Roadside BV;;;;;1;1
Rob Jastrzebski;;;;;1;1
Rob Walrecht;;;;1;1;1
Robin Utrecht Fotografie;;;;;1;1
Rodenburg;;;1;;;1
Ronald Tilleman Photography;;;;;1;1
Ruben Jorksveld Fotografie;;;;;1;1
Ruben Schipper Fotojournalist;;;;;1;1
Ruimtevolk / BSDV Bureau voor stads- en dorpsvernieuwing;;;;1;;1
Saus!;;;;1;2;2
SBRCURnet Stg Bouwresearch;;;;;1;1
Schaap Ontwerpers;;;;;4;4
Schokland;;;;1;;1
Schuttelaar & Partners;;;;;1;1
Schwandt Infographics;;;;;1;1
Scriptum Publishers, Uitgeverij;1;;;;;1
SDU - Service Centrum Uitgevers;1;;;;1;2
Security Press;1;;;;;1
Serge technau Fotografie;;;;;1;1
Siebe Swart Fotografie;;;;2;2;2
Sip Signproductions;;;;;1;1
Siteworkers;;;;;1;1
Sjans Holding BV;;;;;1;1
Skippy-Rent;;;;1;;1
Social & Co;;;;;2;2
SOD Opleidingen;1;;;;;1
Sodexo;;;;4;;4
Soundfocus;;;;;1;1
Spaarnestad Foto;;;;;1;1
Speed Print;;;;;1;1
Stang Gubbels;;;;;1;1
Steenhuismeurs;;;;;1;1
Stg Boekman;1;;;;;1
Stg Platform voor Innovatie in Toezicht;;;;1;;1
Stichting Archief Programmatuur Stap;2;;;;;2
Stichting Feestje voor het Goede Doel;1;;;;;1
Stichting Kunstzone;1;;;;;1
Stichting LIMA;;;;;1;1
Stichting Maria Austria Instituut;;;;;1;1
Stichting Media Diner;1;;;;;1
Stichting Reuvens;;;;1;;1
Stichting ST!R;1;;;;;1
Stichting Stimular;1;;;;;1
Stichting Ti Coast;;;;;1;1
Stichting vrienden Nederlands;1;;;;;1
Stichting Werk Aan De Linie;;;;1;;1
StoereVrouwen;;;;1;;1
Stone Age;;;;1;;1
Studio A Mediamelange;;;;;1;1
Studio BIB;;;;;2;2
Studio BNO;;;;;2;2
Sue McDonnnell Translations;;2;;;1;2
Swets Info Services (incl. Blackwell, Zeitlinger);1;;;;;1
SWP Uitgeverij;1;;;;;1
't Manneke;;;;2;;2
Taalcentrum-Vu;;1;;;1;2
Taferelen;;;;1;;1
Tangelo Software (vh Cumquat Information Technology);;;;;3;3
Tast;;;;;1;1
Ten Brink;1;;;;;1
TestNet;1;;;;;1
Tetteroo Media;;;;;1;1
TGV Teksten En Presentatie;;;;1;1;1
The Game Company;;;;1;;1
Thea van den Heuvel Fotografie;;;;;1;1
Theaterbureau Grünfeld;;;;1;;1
Thiememeulenhoff;1;;;;;1
Thoth Uitgeverij;2;;;;;2
Tias Nimbas Business School Utrecht;;;;;2;2
Tijdlijn Bureau;;;;1;;1
Tineke Dijkstra;;;;;1;1
TMG - de Telegraaf Media Group;1;;;;;1
TNO;1;;;;;1
TOB media (Tonnaer Bykorf);1;;;;;1
Today's Logistics;1;;;;;1
Total Identity, Total Public;;;;;1;1
Totality Informatisering;;;2;;2;3
Ubachs Wisburn/JWT Amsterdam;;;;;4;4
Uitgeverij Merroos;;;;1;;1
Uitgeversmaatschappij Walburg Pers;1;;;;;1
uNiek-Design;1;;1;1;3;3
Vakmedianet Management;1;;;;;1
Valerie Kuypers Fotografie;;;;;1;1
Valiz;1;;;;;1
Van Beek Art Supplies;;;;1;;1
Van Campen Consulting;1;;;;;1
Van der Valk Hotels;;;;;1;1
Van Dijk Educatie;1;;;;;1
Van Heugten Tours (incl. Bert Flink);;;1;;;1
Van Stockum;1;;1;;;1
VastinVorm;1;;;;;1
Veldkamp Mediaonderzoek, Marktonderzoek;;;;;2;2
Verenigde Bijzondere Scholen;1;;;;;1
Vereniging Voor Terpenonderzoek;1;;;;;1
Vereniging Voor Volksgezondheid en Weterschap;1;;;;;1
Verloren Uitgeverij;1;;;;;1
Veronica Schip;;;;;1;1
Vertaalbureau Perfect;;1;;;;1
Videm Communicatie;1;;;;2;2
Vizualism/Frephitophe;;;;;2;2
VNSG Vereniging Nederlandstalige SAP Gebruikers;1;;;;;1
VNU Exhibitions;;;;;2;2
Voc Uitgevers;1;;;;;1
Vorm Vijf Ontwerpteam;;;;;1;1
Vos/Abb Consulting;1;;;;;1
VVK Vereniging Voor Klachtrecht in De Publieke Sector;1;;;;;1
W.J. Gasille;;;;;1;1
Warpnet;;;;;2;2
Wbooks (vh Waanders, Uitgeverij, Drukkers);1;;;;;1
Web of Life;;;;;1;1
Webredactie A. Teesing;;;;;1;1
Webstate;;;;;1;1
Weekbladpers Tijdschriften;1;;;;;1
Wegener Nieuws Media (incl. De Gelderlander, De stentor);;;;;1;1
Weka Uitgeverij;1;;;;;1
Weleer;;;;1;2;2
Westerhuis Verhuur;;;1;;;1
Westerlengte Tekst en Advies;;;;;2;2
Widexs;;;;;1;1
Wiegers Foto Vaklaboratorium;;;;;1;1
Wilkens C S Overheidsvertalingen;;1;;;;1
Wim van der Ende Fotografie;;;;1;1;1
Wing Process Consultancy;;;;1;;1
WNK Bedrijven Groen;;;;1;;1
Woestenburg Tekst en Uitleg.;;;;1;1;1
Wolters Kluwer (incl. Kluwer);2;;;;;2
Wouter van der Sar;;;;;1;1
x publishers B.V.;;;1;;;1
XLane BV;;;;;2;2
Xolphin;;;;;1;1
Your Source;;;;;4;4
Yoursurprise.Com;;;;1;1;1
Zalsman;1;;1;;2;2
Zoef;;;;1;;1
Zuiderlicht B.V.;;;;;1;1
Eindtotaal;6;3;4;6;7;7
