geo_shape;geo_point_2d;nr;adres;x;y;buurtcode;buurtnaam;wijkcode;wijknaam;stadsdeelc;stadsdeeln
"{""coordinates"": [5.495107022965081, 51.46189870908627, 44.48252107016742], ""type"": ""Point""}";51.46189870908627, 5.495107022965081;77;Argonautenlaan 11;162498.895614;385875.32261;435;Oude Gracht-Oost;43;Wijk Begijnenbroek;4;Stadsdeel Woensel-Zuid
"{""coordinates"": [5.492446282830661, 51.46211261047329, 44.48231622297317], ""type"": ""Point""}";51.46211261047329, 5.492446282830661;78;Faunuslaan 2;162313.95393;385898.848647;435;Oude Gracht-Oost;43;Wijk Begijnenbroek;4;Stadsdeel Woensel-Zuid
"{""coordinates"": [5.499087408947018, 51.462720890252, 44.48105305340141], ""type"": ""Point""}";51.462720890252, 5.499087408947018;79;Amazonenlaan 23;162775.370691;385967.208847;435;Oude Gracht-Oost;43;Wijk Begijnenbroek;4;Stadsdeel Woensel-Zuid
"{""coordinates"": [5.493808846641539, 51.46336926325987, 44.48030027933419], ""type"": ""Point""}";51.46336926325987, 5.493808846641539;81;Faunuslaan 16;162408.439707;386038.790554;435;Oude Gracht-Oost;43;Wijk Begijnenbroek;4;Stadsdeel Woensel-Zuid
"{""coordinates"": [5.499495114530943, 51.46496676880624, 44.477546132169664], ""type"": ""Point""}";51.46496676880624, 5.499495114530943;82;Palamedesweg 1;162803.318192;386217.10911;435;Oude Gracht-Oost;43;Wijk Begijnenbroek;4;Stadsdeel Woensel-Zuid
"{""coordinates"": [5.494355986731233, 51.45830901962517, 44.48812774848193], ""type"": ""Point""}";51.45830901962517, 5.494355986731233;89;Achilleslaan 3;162447.290509;385475.888433;434;Oude Gracht-West;43;Wijk Begijnenbroek;4;Stadsdeel Woensel-Zuid
"{""coordinates"": [5.487081872845121, 51.45968610099354, 44.4863364007324], ""type"": ""Point""}";51.45968610099354, 5.4870818728451205;94;Castorstraat 2;161941.528162;385628.371264;434;Oude Gracht-West;43;Wijk Begijnenbroek;4;Stadsdeel Woensel-Zuid
"{""coordinates"": [5.489839182059533, 51.46129710374536, 44.48370596207678], ""type"": ""Point""}";51.46129710374536, 5.489839182059533;95;Thomaslaan 52;162132.903058;385807.863816;434;Oude Gracht-West;43;Wijk Begijnenbroek;4;Stadsdeel Woensel-Zuid
"{""coordinates"": [5.488358619175759, 51.46324894542008, 44.48074603173882], ""type"": ""Point""}";51.46324894542008, 5.4883586191757585;98;Muzenlaan 71;162029.708696;386024.86444;434;Oude Gracht-West;43;Wijk Begijnenbroek;4;Stadsdeel Woensel-Zuid
"{""coordinates"": [5.488616121395165, 51.46546806189289, 44.47728794813156], ""type"": ""Point""}";51.46546806189289, 5.488616121395165;102;Thaliastraat 1;162047.259277;386271.768712;434;Oude Gracht-West;43;Wijk Begijnenbroek;4;Stadsdeel Woensel-Zuid
"{""coordinates"": [5.489999240094565, 51.474523335002175, 44.463149555027485], ""type"": ""Point""}";51.474523335002175, 5.489999240094565;103;Schildstraat 44;162141.948233;387279.313809;541;Eckart;54;Wijk Dommelbeemd;5;Stadsdeel Woensel-Noord
"{""coordinates"": [5.493056134417428, 51.47450934295189, 44.46302596479654], ""type"": ""Point""}";51.47450934295189, 5.4930561344174285;104;Mercuriuslaan 178;162354.329474;387278.06161;541;Eckart;54;Wijk Dommelbeemd;5;Stadsdeel Woensel-Noord
"{""coordinates"": [5.498255309243395, 51.4745860686858, 44.46265712566674], ""type"": ""Point""}";51.4745860686858, 5.498255309243395;106;Schutterlaan 84;162715.531334;387287.135692;541;Eckart;54;Wijk Dommelbeemd;5;Stadsdeel Woensel-Noord
"{""coordinates"": [5.499486261552352, 51.47395492648434, 44.46357909962535], ""type"": ""Point""}";51.47395492648434, 5.499486261552352;107;Kleine Beerpad 12;162801.160428;387217.051536;541;Eckart;54;Wijk Dommelbeemd;5;Stadsdeel Woensel-Noord
"{""coordinates"": [5.492384941201295, 51.47302371321076, 44.46536807809025], ""type"": ""Point""}";51.47302371321076, 5.492384941201295;111;Mercuriuslaan 99;162307.936896;387112.715831;541;Eckart;54;Wijk Dommelbeemd;5;Stadsdeel Woensel-Noord
"{""coordinates"": [5.493662432554323, 51.46957907390628, 44.47066150698811], ""type"": ""Point""}";51.46957907390628, 5.493662432554323;117;Plutostraat 28;162397.254617;386729.624531;541;Eckart;54;Wijk Dommelbeemd;5;Stadsdeel Woensel-Noord
"{""coordinates"": [5.488873072848941, 51.469507566325284, 44.471000246703625], ""type"": ""Point""}";51.469507566325284, 5.488873072848941;119;Venuslaan 335;162064.486847;386721.193388;541;Eckart;54;Wijk Dommelbeemd;5;Stadsdeel Woensel-Noord
"{""coordinates"": [5.454688006483963, 51.43569437627068, 44.52497013192624], ""type"": ""Point""}";51.43569437627068, 5.454688006483963;123;Engelsbergenstraat 72;159692.693223;382956.675743;613;Engelsbergen;61;Wijk Oud-Strijp;6;Stadsdeel Strijp
"{""coordinates"": [5.489078711802614, 51.42928436998258, 44.533313545398414], ""type"": ""Point""}";51.42928436998258, 5.489078711802614;134;Pastoor Sickingstraat 38;162085.037818;382246.338999;215;Joriskwartier;21;Wijk Oud-Stratum;2;Stadsdeel Stratum
"{""coordinates"": [5.495806708080908, 51.42272059943273, 44.54312778450549], ""type"": ""Point""}";51.42272059943273, 5.495806708080908;140;Mimosalaan 55;162554.021728;381516.789818;236;Nieuwe Erven;23;Wijk Putten;2;Stadsdeel Stratum
"{""coordinates"": [5.498680974326783, 51.420827990831604, 44.545909746550024], ""type"": ""Point""}";51.420827990831604, 5.498680974326783;143;Laurierplein 60;162754.262039;381306.53757;237;Kruidenbuurt;23;Wijk Putten;2;Stadsdeel Stratum
"{""coordinates"": [5.50260097883147, 51.42030935616561, 44.546519469469786], ""type"": ""Point""}";51.42030935616561, 5.50260097883147;145;Lavendellaan 32;163027.018563;381249.263793;237;Kruidenbuurt;23;Wijk Putten;2;Stadsdeel Stratum
"{""coordinates"": [5.504580505752532, 51.41756548357915, 44.5506550418213], ""type"": ""Point""}";51.41756548357915, 5.504580505752532;155;Antilopenlaan 17;163165.202721;380944.225652;238;Schuttersbosch;23;Wijk Putten;2;Stadsdeel Stratum
"{""coordinates"": [5.50718987433411, 51.416830039551954, 44.551660895347595], ""type"": ""Point""}";51.416830039551954, 5.50718987433411;157;Elandsgang 7;163346.851244;380862.702709;238;Schuttersbosch;23;Wijk Putten;2;Stadsdeel Stratum
"{""coordinates"": [5.504785243321926, 51.416134132468144, 44.55285215750337], ""type"": ""Point""}";51.416134132468144, 5.504785243321926;158;Elandsgang 20;163179.701819;380785.009589;238;Schuttersbosch;23;Wijk Putten;2;Stadsdeel Stratum
"{""coordinates"": [5.425551407539745, 51.48070409509822, 44.45636299345642], ""type"": ""Point""}";51.48070409509822, 5.425551407539745;166;Maasstraat 55;157664.044124;387962.586837;521;Kerkdorp Acht;52;Wijk Achtse Molen;5;Stadsdeel Woensel-Noord
"{""coordinates"": [5.426649459775705, 51.479911929789154, 44.45755154825747], ""type"": ""Point""}";51.479911929789154, 5.426649459775705;167;IJsselstraat 14;157740.369314;387874.498245;521;Kerkdorp Acht;52;Wijk Achtse Molen;5;Stadsdeel Woensel-Noord
"{""coordinates"": [5.424337027061619, 51.47895368189547, 44.45913639385253], ""type"": ""Point""}";51.47895368189547, 5.424337027061619;168;Roompot 33;157579.785496;387767.807082;521;Kerkdorp Acht;52;Wijk Achtse Molen;5;Stadsdeel Woensel-Noord
"{""coordinates"": [5.426028268661168, 51.47650888425025, 44.46287202090025], ""type"": ""Point""}";51.47650888425025, 5.426028268661168;170;Scheldestraat 8;157697.419253;387495.881525;521;Kerkdorp Acht;52;Wijk Achtse Molen;5;Stadsdeel Woensel-Noord
"{""coordinates"": [5.427529387818704, 51.4774378752754, 44.46136582084], ""type"": ""Point""}";51.4774378752754, 5.427529387818704;171;Volkerak 21;157801.648282;387599.289893;521;Kerkdorp Acht;52;Wijk Achtse Molen;5;Stadsdeel Woensel-Noord
"{""coordinates"": [5.429137790506654, 51.479338112014425, 44.4583433624357], ""type"": ""Point""}";51.479338112014425, 5.429137790506654;174;Rijnstraat 74;157913.263626;387810.757139;521;Kerkdorp Acht;52;Wijk Achtse Molen;5;Stadsdeel Woensel-Noord
"{""coordinates"": [5.431487354603504, 51.48038953807447, 44.456610683351755], ""type"": ""Point""}";51.48038953807447, 5.431487354603504;175;Niersstraat 24;158076.412123;387927.826664;521;Kerkdorp Acht;52;Wijk Achtse Molen;5;Stadsdeel Woensel-Noord
"{""coordinates"": [5.428940400834896, 51.48094759775832, 44.45584628265351], ""type"": ""Point""}";51.48094759775832, 5.428940400834896;176;Amstelstraat 140;157899.448469;387989.806748;521;Kerkdorp Acht;52;Wijk Achtse Molen;5;Stadsdeel Woensel-Noord
"{""coordinates"": [5.436583332803211, 51.4781794609148, 44.459839451126754], ""type"": ""Point""}";51.4781794609148, 5.436583332803211;179;Jaap Hamminglaan 15;158430.578798;387682.180692;521;Kerkdorp Acht;52;Wijk Achtse Molen;5;Stadsdeel Woensel-Noord
"{""coordinates"": [5.430237637921207, 51.476386911367065, 44.4628903567791], ""type"": ""Point""}";51.476386911367065, 5.430237637921207;184;De Regge 29;157989.862417;387482.476749;521;Kerkdorp Acht;52;Wijk Achtse Molen;5;Stadsdeel Woensel-Noord
"{""coordinates"": [5.429441847555568, 51.475998681343505, 44.46352683287114], ""type"": ""Point""}";51.475998681343505, 5.429441847555568;185;Cor Gehrelslaan 50;157934.601885;387439.25317;521;Kerkdorp Acht;52;Wijk Achtse Molen;5;Stadsdeel Woensel-Noord
"{""coordinates"": [5.429632668671071, 51.473724037109825, 44.46705674659461], ""type"": ""Point""}";51.473724037109825, 5.429632668671071;186;Bert Kemplaan 8;157948.006632;387186.203671;521;Kerkdorp Acht;52;Wijk Achtse Molen;5;Stadsdeel Woensel-Noord
"{""coordinates"": [5.435207156012526, 51.47643906437046, 44.4626044081524], ""type"": ""Point""}";51.47643906437046, 5.435207156012526;189;Simon van Hapertlaan 16;158335.103905;387488.49516;521;Kerkdorp Acht;52;Wijk Achtse Molen;5;Stadsdeel Woensel-Noord
"{""coordinates"": [5.440809207927543, 51.47525384072913, 44.464213942177594], ""type"": ""Point""}";51.47525384072913, 5.440809207927543;190;Boschdijk 981;158724.389744;387356.909469;521;Kerkdorp Acht;52;Wijk Achtse Molen;5;Stadsdeel Woensel-Noord
"{""coordinates"": [5.435650747043062, 51.47514790696554, 44.46459437627345], ""type"": ""Point""}";51.47514790696554, 5.435650747043062;192;Maan Wijzenbeeklaan 1;158366.017021;387344.872598;521;Kerkdorp Acht;52;Wijk Achtse Molen;5;Stadsdeel Woensel-Noord
"{""coordinates"": [5.435861474384994, 51.47336996187149, 44.46735057234764], ""type"": ""Point""}";51.47336996187149, 5.435861474384994;194;Henk van den Broeklaan 4;158380.78962;387147.083605;521;Kerkdorp Acht;52;Wijk Achtse Molen;5;Stadsdeel Woensel-Noord
"{""coordinates"": [5.434710777051163, 51.47246798400675, 44.46880074776709], ""type"": ""Point""}";51.47246798400675, 5.434710777051163;195;Jan Glaserlaan 5;158300.90804;387046.684479;521;Kerkdorp Acht;52;Wijk Achtse Molen;5;Stadsdeel Woensel-Noord
"{""coordinates"": [5.430178907803012, 51.472585319748255, 44.46880497969687], ""type"": ""Point""}";51.472585319748255, 5.430178907803012;197;Jan Gielenlaan 14;157986.032476;387059.542152;521;Kerkdorp Acht;52;Wijk Achtse Molen;5;Stadsdeel Woensel-Noord
"{""coordinates"": [5.495357281341239, 51.438501239221, 44.51876593474299], ""type"": ""Point""}";51.438501239221, 5.4953572813412395;3;Constant Nefkensstraat 13;162520.15436;383272.354566;312;Lakerlopen;31;Wijk De Laak;3;Stadsdeel Tongelre
"{""coordinates"": [5.497788702378107, 51.43976272329332, 44.51669728849083], ""type"": ""Point""}";51.43976272329332, 5.497788702378107;7;Frans Halsstraat 49;162688.998776;383412.949912;312;Lakerlopen;31;Wijk De Laak;3;Stadsdeel Tongelre
"{""coordinates"": [5.499556944619274, 51.44026764135397, 44.51583053637296], ""type"": ""Point""}";51.44026764135397, 5.499556944619274;8;Bosboomstraat 35;162811.855214;383469.310804;312;Lakerlopen;31;Wijk De Laak;3;Stadsdeel Tongelre
"{""coordinates"": [5.502699810106905, 51.44001811016576, 44.51606384012848], ""type"": ""Point""}";51.44001811016576, 5.502699810106905;10;Jacob Marisplein 12;163030.415409;383441.892141;312;Lakerlopen;31;Wijk De Laak;3;Stadsdeel Tongelre
"{""coordinates"": [5.500309989934403, 51.44355908331581, 44.51069980766624], ""type"": ""Point""}";51.44355908331581, 5.500309989934403;18;Parklaan 19;162863.643922;383835.568178;311;Villapark;31;Wijk De Laak;3;Stadsdeel Tongelre
"{""coordinates"": [5.495958111479532, 51.44162395186317, 44.513905306346714], ""type"": ""Point""}";51.44162395186317, 5.495958111479532;21;Pauwlaan 1;162561.41133;383619.821748;311;Villapark;31;Wijk De Laak;3;Stadsdeel Tongelre
"{""coordinates"": [5.492575862108708, 51.44216228451441, 44.51323405187577], ""type"": ""Point""}";51.44216228451441, 5.4925758621087075;23;Koekoeklaan 21;162326.171706;383679.365958;311;Villapark;31;Wijk De Laak;3;Stadsdeel Tongelre
"{""coordinates"": [5.485674561883355, 51.44181119624466, 44.514104031957686], ""type"": ""Point""}";51.44181119624466, 5.485674561883355;28;Parklaan 62;161846.413;383639.635165;311;Villapark;31;Wijk De Laak;3;Stadsdeel Tongelre
"{""coordinates"": [5.487498443824439, 51.43948727021467, 44.517614358104765], ""type"": ""Point""}";51.43948727021467, 5.487498443824439;29;Nachtegaallaan 2;161973.575242;383381.269161;311;Villapark;31;Wijk De Laak;3;Stadsdeel Tongelre
"{""coordinates"": [5.451751362786531, 51.428159356337105, 44.53674306999892], ""type"": ""Point""}";51.428159356337105, 5.451751362786531;38;Vivaldistraat 31;159489.238448;382118.211842;721;Genderdal;72;Wijk Oud-Gestel;7;Stadsdeel Gestel
"{""coordinates"": [5.452641835928492, 51.42449844457782, 44.54235770367086], ""type"": ""Point""}";51.42449844457782, 5.4526418359284925;46;Schubertlaan 271;159551.533882;381710.98724;721;Genderdal;72;Wijk Oud-Gestel;7;Stadsdeel Gestel
"{""coordinates"": [5.448330194323036, 51.42390638153618, 44.54345785267651], ""type"": ""Point""}";51.42390638153618, 5.448330194323036;47;Smetanalaan 13;159251.706896;381644.858738;721;Genderdal;72;Wijk Oud-Gestel;7;Stadsdeel Gestel
"{""coordinates"": [5.447369961869424, 51.422665369416194, 44.54541458003223], ""type"": ""Point""}";51.422665369416194, 5.447369961869424;49;Smetanalaan 53;159185.03431;381506.739236;721;Genderdal;72;Wijk Oud-Gestel;7;Stadsdeel Gestel
"{""coordinates"": [5.459052322689937, 51.42959420799817, 44.53420745674521], ""type"": ""Point""}";51.42959420799817, 5.459052322689937;53;Karel de Stoutestraat 47;159996.834665;382278.316489;713;Hagenkamp;71;Wijk Rozenknopje;7;Stadsdeel Gestel
"{""coordinates"": [5.460913774564709, 51.4305540949756, 44.5326421065256], ""type"": ""Point""}";51.4305540949756, 5.460913774564709;55;Lambert van Leuvenhof 2;160126.179267;382385.234343;713;Hagenkamp;71;Wijk Rozenknopje;7;Stadsdeel Gestel
"{""coordinates"": [5.460447080826408, 51.43228317796015, 44.52999069541693], ""type"": ""Point""}";51.43228317796015, 5.460447080826408;56;Maria van Bourgondiëlaan 2;160093.530538;382577.563751;713;Hagenkamp;71;Wijk Rozenknopje;7;Stadsdeel Gestel
"{""coordinates"": [5.46179353082865, 51.42940105841679, 44.534384582191706], ""type"": ""Point""}";51.42940105841679, 5.4617935308286505;61;Karel de Grotelaan 317;160187.491262;382257.020256;712;Oude Spoorbaan;71;Wijk Rozenknopje;7;Stadsdeel Gestel
"{""coordinates"": [5.465119457351846, 51.429130145853534, 44.534654872491956], ""type"": ""Point""}";51.429130145853534, 5.465119457351846;64;Godfriedstraat 6;160418.822754;382227.123371;712;Oude Spoorbaan;71;Wijk Rozenknopje;7;Stadsdeel Gestel
"{""coordinates"": [5.467258529787424, 51.43267447059011, 44.52908205986023], ""type"": ""Point""}";51.43267447059011, 5.467258529787424;68;Hagenkampweg Zuid 132;160567.150109;382621.594434;712;Oude Spoorbaan;71;Wijk Rozenknopje;7;Stadsdeel Gestel
"{""coordinates"": [5.471422657250755, 51.43522029620667, 44.524958168156445], ""type"": ""Point""}";51.43522029620667, 5.471422657250755;72;Mecklenburgstraat 2;160856.392952;382905.147031;712;Oude Spoorbaan;71;Wijk Rozenknopje;7;Stadsdeel Gestel
"{""coordinates"": [5.497853592024235, 51.46154443257892, 44.48293889313936], ""type"": ""Point""}";51.46154443257892, 5.497853592024235;76;Icaruslaan 43;162689.827446;385836.195492;435;Oude Gracht-Oost;43;Wijk Begijnenbroek;4;Stadsdeel Woensel-Zuid
"{""coordinates"": [5.495740027920672, 51.4631954736872, 44.48047758080065], ""type"": ""Point""}";51.4631954736872, 5.495740027920672;80;Argonautenlaan 24;162542.671019;386019.654599;435;Oude Gracht-Oost;43;Wijk Begijnenbroek;4;Stadsdeel Woensel-Zuid
"{""coordinates"": [5.496018981458385, 51.464124575778456, 44.47902159579098], ""type"": ""Point""}";51.464124575778456, 5.496018981458385;83;Odysseuslaan 83;162561.901764;386123.047248;435;Oude Gracht-Oost;43;Wijk Begijnenbroek;4;Stadsdeel Woensel-Zuid
"{""coordinates"": [5.493218771572261, 51.465060342896535, 44.47770256455988], ""type"": ""Point""}";51.465060342896535, 5.493218771572261;84;Romuluslaan 41;162367.159987;386226.865282;435;Oude Gracht-Oost;43;Wijk Begijnenbroek;4;Stadsdeel Woensel-Zuid
"{""coordinates"": [5.500922043743317, 51.464993505256395, 44.47743541561067], ""type"": ""Point""}";51.464993505256395, 5.500922043743317;85;Damocleslaan 3;162902.470851;386220.237528;435;Oude Gracht-Oost;43;Wijk Begijnenbroek;4;Stadsdeel Woensel-Zuid
"{""coordinates"": [5.495385991845036, 51.46587578146431, 44.476332407444715], ""type"": ""Point""}";51.46587578146431, 5.495385991845036;87;Argostraat 28;162517.625;386317.805397;435;Oude Gracht-Oost;43;Wijk Begijnenbroek;4;Stadsdeel Woensel-Zuid
"{""coordinates"": [5.492360433134075, 51.45855636229312, 44.487839312292635], ""type"": ""Point""}";51.45855636229312, 5.492360433134075;90;Calchaslaan 10;162308.559467;385503.203313;434;Oude Gracht-West;43;Wijk Begijnenbroek;4;Stadsdeel Woensel-Zuid
"{""coordinates"": [5.491030059536945, 51.45804830327846, 44.48869084287435], ""type"": ""Point""}";51.45804830327846, 5.4910300595369455;91;Pygmalionlaan 44;162216.179427;385446.548428;434;Oude Gracht-West;43;Wijk Begijnenbroek;4;Stadsdeel Woensel-Zuid
"{""coordinates"": [5.490482898663158, 51.459425394735945, 44.486580193042755], ""type"": ""Point""}";51.459425394735945, 5.490482898663158;93;Midaslaan 34;162177.934032;385599.697317;434;Oude Gracht-West;43;Wijk Begijnenbroek;4;Stadsdeel Woensel-Zuid
"{""coordinates"": [5.491298317194144, 51.465020238247845, 44.477856329642236], ""type"": ""Point""}";51.465020238247845, 5.491298317194144;99;Nestorlaan 13;162233.714267;386222.210965;434;Oude Gracht-West;43;Wijk Begijnenbroek;4;Stadsdeel Woensel-Zuid
"{""coordinates"": [5.491791847029264, 51.46617655364953, 44.47603696864098], ""type"": ""Point""}";51.46617655364953, 5.491791847029264;101;Nestorlaan 35;162267.824783;386350.901605;434;Oude Gracht-West;43;Wijk Begijnenbroek;4;Stadsdeel Woensel-Zuid
"{""coordinates"": [5.494978342495655, 51.47282477681891, 44.46555346343666], ""type"": ""Point""}";51.47282477681891, 5.494978342495655;110;Kometenlaan 1;162488.153216;387090.847521;541;Eckart;54;Wijk Dommelbeemd;5;Stadsdeel Woensel-Noord
"{""coordinates"": [5.491906737005711, 51.47121004110778, 44.46821037493646], ""type"": ""Point""}";51.47121004110778, 5.491906737005711;114;Mercuriuslaan 67;162275.002657;386910.894659;541;Eckart;54;Wijk Dommelbeemd;5;Stadsdeel Woensel-Noord
