;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal
anoniem_IenW_428;;;;1;;;;;;1
anoniem_IenW_429;;;;1;;;;;;1
anoniem_IenW_43;;;;;;1;;;;1
anoniem_IenW_430;;;;;;1;;;;1
anoniem_IenW_431;;;;1;;;;;;1
anoniem_IenW_432;;;;1;;;;;;1
anoniem_IenW_433;;;;1;;;;;;1
anoniem_IenW_434;;;;1;;;;;;1
anoniem_IenW_435;;;;;;1;;;;1
anoniem_IenW_44;;;;;1;;;;;1
anoniem_IenW_45;;;;;;1;;;;1
anoniem_IenW_46;;;;1;;;;;;1
anoniem_IenW_47;;;;;1;;;;;1
anoniem_IenW_48;;;;;;1;;;;1
anoniem_IenW_49;;;;;1;;;;;1
anoniem_IenW_5;;;;;;1;;;;1
anoniem_IenW_50;1;;;;;;;;;1
anoniem_IenW_51;;;;;;1;;;;1
anoniem_IenW_52;;;;1;;;;;;1
anoniem_IenW_53;;;;1;;;;;;1
anoniem_IenW_54;;;;1;;;;;;1
anoniem_IenW_55;;;;1;;;;;;1
anoniem_IenW_56;;;;;1;;;;;1
anoniem_IenW_57;;;;1;;1;;;;1
anoniem_IenW_58;;;;;;1;;;;1
anoniem_IenW_59;;;;1;;;;;;1
anoniem_IenW_6;;;;;;1;;;;1
anoniem_IenW_656;;;;;;1;;;;1
anoniem_IenW_657;;;;;2;;;;;2
anoniem_IenW_667;1;;;;;1;;;1;1
anoniem_IenW_668;;;;;;2;;;;2
anoniem_IenW_669;;;;1;;;;;;1
anoniem_IenW_670;;;;1;;;;;;1
anoniem_IenW_7;;;;;;1;;;;1
anoniem_IenW_700;;;;;;1;;;;1
anoniem_IenW_701;;;;;;2;;;;2
anoniem_IenW_705;;;;;;1;;;;1
anoniem_IenW_706;;;;1;;;;;;1
anoniem_IenW_712;;;;1;;;;;;1
anoniem_IenW_713;;;;1;;;;;;1
anoniem_IenW_714;;;;;1;;;;;1
anoniem_IenW_715;;;;1;;;;;;1
anoniem_IenW_716;;;;1;;;;;;1
anoniem_IenW_717;;;;;;1;;;;1
anoniem_IenW_718;;;;1;;;;;;1
anoniem_IenW_8;;;;1;;;;;;1
anoniem_IenW_9;;;;1;;;;;;1
Anouk Chocolade;;;;1;;;;;;1
Ans van Wieren-Bier;;;;;;2;;;;2
Antea Nederland B.V.;;;;;;6;;;;6
AOG Contractonderwijs B.V.;;;;;;2;;;;2
AON Ned. Makel. in Assurant.-Risico-Adviser.;1;;;;;;;;;1
AP-Aeronautical Professionals Malta;;;;;;1;;;;1
Apeldoorn Milieu Advies;;;;1;;;;;;1
APG Service Partners B.V.;1;;;;;;;;;1
Appassionato;;;;1;;;;;;1
Aquagis B.V.;;;;;;1;;;;1
Aqualab Zuid B.V.;;;;;;1;;;;1
Aquasport Sail Away;;;1;;;;;;;1
ArabesQ;;;;1;;;;;;1
ARAM Academy B.V.;;;;;;1;;;;1
Arbo Unie B.V.;1;;1;;2;1;;;;2
ArboNed B.V.;;;;;;1;;;;1
ARCADIS Nederland B.V.;;;;;;1;;;;1
Ardis Opleidingen B.V.;;;;;1;4;;;;4
Ardis Organisatieontwikkeling B.V.;2;;;1;1;3;;;;3
Arenda Oomen Fotografie;1;;;;;;;;;1
Arendshorst Buitenactiviteiten;;;;1;;;;;;1
Argentijns Restaurant San Telmo B.V.;;;;1;;;;;;1
Argos Coaching;;;;;;1;;;;1
ArjenOkxAdvies;;;;;;3;;;;3
Arnage Horeca B.V.;;;;1;;;;;;1
ARQ IVP B.V.;1;;1;;;2;;;;3
Art & Dining;;;;1;;;;;;1
Art 4 You Decorations;;;;1;;;;;;1
Art Centre Delft B.V.;;;;1;;;;;;1
Art for More;;;;1;;;;;;1
Art4heartcoaching;;;;;1;1;;;;1
Artiestenbureau van Otterloo B.V.;;;;1;;;;;;1
Artige B.V.;1;;;1;1;;;;;1
Artihove Regina B.V.;;;;1;;;;;;1
Artisticomm;;;;;1;;;;;1
Artizani;;;;1;;;;;;1
arvato Finance B.V.;;;;;;1;;;;1
Assemblee Sprekersbureau B.V.;;;;;;1;;;;1
Assisi B.V.;;;;1;;;;;;1
At Computing B.V.;;;;;;1;;;;1
At Osborne B.V.;;;;;;2;;;;2
Atelier de Pleijsterplaats;;;;;;1;;;;1
Atelier Diana Lepelaar;;;;1;;;;;;1
Atelier MarieMarie;;;;;;1;;;;1
Athlon Car Lease Nederland B.V.;;;;1;;;;;1;1
Atlantic Hotel Exploitatie B.V.;;;;;;;;;1;1
Atlantis;;;;;1;;;;;1
Autax;;;;;;;;;1;1
Authentic Haka Experience;;;;1;;;;;;1
Auto- en Motorrijschool Westerhuis;;;;;;1;;;;1
Autom. en Transportbedr. L. Breman & Zn. B.V.;;;;;;;;;1;1
Automotive Publishing B.V.;;;;;1;2;;;;2
Autostalling de Bazuin;;;;;;;;;1;1
Avalon-Sports;;;;1;;;;;;1
Avans Hogeschool B.V.;;;;;;3;;;;3
Avans Hogeschool MB B.V.;;;;;;1;;;;1
AvdR Webinars B.V.;;;;;;1;;;;1
Aveco De Bondt;;;;;;1;;;;1
Avex B.V.;;;;1;;2;;;;2
Aviste B.V.;;;;1;;;;;;1
A-Way Events & Wellness B.V.;2;;;;;;;;;2
AXICA Kongress- und Tagungszentrum;;;;2;;;;;;2
AYYA Hotel LLC;;;;;;;;;1;1
AZ Barbecue & Gourmet Partyservice B.V.;;;;1;;;;;;1
Aziatisch Restaurant Paradijsvogel;;;;1;;;;;;1
B&B het Eibernest;;;;1;;;;;1;1
B&S Autoaanpassing en Research B.V.;;;1;;;;;;;1
B.E.A.C.H. B.V.;;;;1;;;;;;1
B.V. Auberge de Rousch;;;;1;;;;;;1
B.V. Princeville Exploitatie;;;;1;;;;;;1
B.V. Rederij G. Doeksen en Zonen;;;;;;;;;1;1
B.V. Restaurant De Leuf;;;;1;;;;;;1
B.V. Snack-Grill-Bar V.M.;;;;1;;;;;;1
B.V. Topselect;;;;;;1;;;;1
B+B Vakmedianet B.V.;;;;;;1;;;;1
BaanBaan B.V.;;;;;1;;;;;1
BaanPlus;;;;;1;;;;;1
Babbels;1;;;;;;;;;1
Babel B.V.;1;;;;2;1;;;;2
Bacoadviesbureau;;;;;;2;;;;2
Baek Food & Drinks;;;;1;;;;;;1
BAINES SIMMONS LIMITED;;;;;;2;;;;2
Bakker Boer;;;;1;;;;;;1
Bakker Wim;;;;1;;;;;;1
Bakkerij Andringa;;;;1;;;;;;1
Bakkerij Bornhijm B.V.;;;;1;;;;;;1
Bakkerij Broekmans B.V.;;;;1;;;;;;1
Bakkerij De Lekkerbek B.V.;;;;1;;;;;;1
Bakkerij 'Den Soeten Inval';;;;1;;;;;;1
Bakkerij Dieteren B.V.;;;;1;;;;;;1
Bakkerij Dijkman;;;;1;;;;;;1
Bakkerij Hallema;;;;1;;;;;;1
Bakkerij Hilvers B.V.;;;;1;;;;;;1
Bakkerij Out B.V.;;;;1;;;;;;1
Bakkerij Paul Schalke B.V.;;;;1;;;;;;1
Bakkerij Pots;;;;1;;;;;;1
Bakkerij Risseeuw B.V.;;;;1;;;;;;1
Bakkerij Schuurmans;;;;1;;;;;;1
Bakkerij Vonk-Asmus;;;;1;;;;;;1
Bakx & Meijer B.V.;1;;;2;2;;;;;2
Balance B.V.;;;;1;;;;;;1
Balans & Impuls B.V.;1;;;;1;2;;;;2
Balansgroep B.V.;;;;;;1;;;;1
Ballon Express 2.0 B.V.;;;;1;;;;;;1
Bally's Bowling;;;;1;;;;;;1
BAM Bouw en Techniek B.V.;;;;;;2;;;;2
BAM Infra Regionaal Den Haag;;;;1;;;;;;1
Bambook V.O.F.;;;;;;1;;;;1
Bammetje Bakery;1;;;;;;;;;1
BANK15 B.V;1;;;;;;;;;1
Banketbakkerij Boheemen;;;;1;;;;;;1
Banketbakkerij en Chocolaterie Wesseling B.V.;;;;1;;;;;;1
Banketbakkerij Jansen-de Koning;;;;1;;;;;;1
Banketbakkerij Konditorei v.d. Sterre V.O.F.;;;;1;;;;;;1
Banketbakkerij Maison Kelder B.V.;1;;;1;;;;;;1
Banketbakkerij Nijstad;;;;1;;;;;;1
Banketbakkerij Plasman;;;;1;;;;;;1
Banketbakkerij Stoffer;;;;1;;;;;;1
Banketbakkerij Theo Blom V.O.F.;;;;1;;;;;;1
Banketbakkerij van Asselt B.V.;;;;1;;;;;;1
Banketbakkerij van Beek & Specker B.V.;;;;1;;;;;;1
Banketbakkerij Van Bragt;;;;1;;;;;;1
Banketbakkerij, Chocolaterie Van Ingen;;;;1;;;;;;1
Bar & Restaurant Huisman B.V.;;;;1;;;;;;1
Bar Company B.V.;;;;;1;;;;;1
Bar Restaurant Pavlov B.V.;1;;;2;;;;;;2
Barbacoa;;;;1;;;;;;1
Barbarossa Beach B.V.;;;;2;;;;;;2
Barista Mobile t.h.o.d.n. Casabarista;;;;;1;;;;;1
Barn47 B.V.;;;;1;;;;;;1
Bart Hoogveld beeldredactie & fotografie;;;;1;;;;;;1
Bartine;;;;1;;;;;;1
Bartolomeus Productions;;;;1;;;;;;1
Bas van Leeuwen Training & Advies;;;;;1;;;;;1
Basaal 2.0;;;;1;;;;;;1
Bascule Groep;;;;;;1;;;;1
Basic Arbo Bedrijfsadvies;;;1;;;;;;;1
Bbob-coaching;;;;;;1;;;;1
BCN B.V.;;;;;;;1;;;1
BCT Beach House B.V.;;;;1;;;;;;1
Be You & Beyond;;;;;1;;;;;1
Beach Professionals B.V.;;;;1;;;;;;1
Beachclub Indigo B.V.;;;;2;;;;;;2
Beachclub Klein Scheveningen;;;;1;;;;;;1
Beachclub no.5 B.V.;;;;1;;;;;;1
Beachclub The Bing B.V.;;;;1;;;;;;1
BeanBrothers;;;;1;;;;;;1
Bebronna BVBA;;;;1;;;;;;1
Bedrijfscatering Jan Vendrig;;;;1;;;;;;1
Bedrijfsfitness Nederland B.V.;;;;;1;;;;;1
Beeksma Banket B.V.;;;;1;;;;;;1
BeerWalk;;;;1;;;;;;1
Behavior Change Group B.V.;;;;;;1;;;;1
Beiden Handjes;;;;1;;;;;;1
Beleving aan zee;;;;1;;;;;;1
Beleving in Communicatie;;;;;1;1;;;;1
Belgian Beer Cafe Belvédère;;;;2;;;;;;2
Belgian Maintenance Association vzw;;;;;;1;;;;1
Belgisch Biercafé Olivier B.V.;;;;1;;;;;;1
BeLife Zorg B.V.;;;;;;1;;;;1
Belit Corporation n.v.;;;;;;;;;1;1
Bellevue Groothoofd hotel culinair B.V.;;;;1;;;;;;1
Ben Kei Den Haag;;;;1;;;;;;1
Ben Tiggelaar & Company B.V.;1;;;;;;;;;1
BeOnTop;;;;;;1;;;;1
Ber.ver. v. Nederl. Stedeb.kund. & Planologen;;;;;;1;;;;1
Berends Groente- en Fruitzaak;;;;1;;;;;;1
Berenschot B.V.;;;;1;1;1;;;;1
Berenschot Groep B.V.;;;;;;1;;;;1
Berghauser Pont Academy B.V.;;;;;;2;;;;2
Berkvens Tentenverhuur;;;;1;;;;;;1
Berlage B.V.;;;;1;;;;;;1
Berlin Marriott Hotelmanagement Gmb;;;;;;;;;1;1
Beroepsvereniging Vide;;;;;;1;;;;1
Bert Hellinger Instituut Nederland;;;;;;1;;;;1
Bespeak B.V.;;;;;;2;;;;2
Best Escape B.V.;;;;1;;;;;;1
Bestuursacademie;;;;;;1;;;;1
Bestuursacademie Nederland Opleidingen B.V.;;;;;;3;;;;3
Betonvereniging';;;;;;1;;;;1
Bets Fietsen;;;;1;;;;;;1
Better Minds at Work;;;;;;1;;;;1
Betty Wijntjes, coach loopbaan en ontwikkel.;;;;;1;;;;;1
Betuwse Stromen B.V.;;;;1;;;;;;1
Beuk Touringcars;;;;2;;1;;;1;2
Beurs van Berlage C.V.;;;;;;;1;;;1
Bev. der Bouwk. Bond v. Nederland. Arch. BNA;;;;;;1;;;;1
Bever Bodegraven B.V.;;;1;;;;;;;1
Beverhof B.V.;;;;1;;;;;;1
BGH Participaties B.V.;;;;;;1;;;;1
Bidfood B.V.;;;;;;;;;6;6
Bierbrouwerij De Koningshoeven B.V.;;;;1;;;;;;1
Bierbrouwerij Duits & Lauret B.V.;;;;1;;;;;;1
Biesbosch Museum;;;;1;;;;;;1
Big Sur B.V.;;;;1;;;;;;1
Bij de Buren;;;;1;;;;;;1
Bij de Buurvrouw B.V.;;;;1;;;;;;1
Bij Verweij;;;;1;;;;;;1
Bijl Opleiding en Advies;;;;;;2;;;;2
BijzonderStrafrecht B.V.;;;;;;1;;;;1
Bike Citizens Mobile Solutions GmbH;1;;;;;;;;;1
Bilderberg Europa Hotel Scheveningen;;;;;;;;;1;1
Bink Rooftop;2;;;1;;1;;;;2
Bio-Diverse research & consulting;;;;;;;;;1;1
Bis 26 B.V.;;;;1;;;;;;1
Bison Bowling;;;;1;;;;;;1
Bisschoppelijk Centrum Rolduc;;;;1;;;;;;1
Bistro Pampus;;;;1;;;;;;1
Bistro Tante Pietje;;;;1;;;;;;1
Blaak Beheer B.V.;;;;1;;;;;;1
Blend;;;;;;1;;;;1
Blik Grafisch Ontwerp;;;;1;;1;;;;1
Bloeiing;;;;;1;;;;;1
Bloembinderij Andreanum;;;;1;;;;;;1
Bloembinderij De Korenschoof;;;;1;;;;;;1
Bloemboutique Ton Hofman;;;;1;;;;;;1
Bloemenboetiek Panhuis;;;;1;;;;;;1
Bloemenboutique Fonville;1;;;1;1;;;;;1
Bloemenhuis Abrahamse;;;;;;1;;;;1
Bloemenhuis D.P. van Wageningen;;;;1;;;;;;1
Bloemenhuis De Narcis;;;;1;;;;;;1
Bloemenhuis 'Magnolia';;;;1;;;;;;1
Bloemsierkunst T. Haasjes B.V.;;;;1;;;;;;1
BloomingData;;;;;;1;;;;1
BLOSSOM bloemisterij;;;;1;;1;;;;2
Blue Sakura B.V.;;;;1;;;;;;1
BlueCity010 B.V.;;;;1;;;;;;1
BLYENBURGH & CO;1;;;;;1;;;;1
BLZ Boekhandel Buitelaar;;;;;;1;;;;1
BMC Advies B.V.;;;;1;;;;;;1
BMC Implementatie;;;;;;1;;;;1
BMD Advies Centraal Nederland B.V.;;;;;;2;;;;2
Bme Utrecht B.V.;;;;1;;;;;;1
BNP Paribas Leasing Solutions N.V.;;;;;;;1;;;1
Boardsensation;;;;;1;;;;;1
Bobbe International B.V.;1;;;;;;;;;1
Bodymind Opleidingen;;;;;;1;;;;1
BOEi;;;;;;1;;;;1
Boekhandel Douwes;;;;1;;;;;;1
Boekhandel Van der Velde;;;;1;;;;;;1
Boels Traffic Service B.V.;;;;;1;;;;;1
Boer Salades B.V.;;;;1;;;;;;1
Boerderij De Middenhof Nieuwegein;;;;1;;;;;;1
Boerderij De Weistaar;;;;1;;;;;;1
Boerderij Hoekelum;;;;1;;;;;;1
Boerensolexverhuur;;;;1;;;;;;1
Bojo B.V.;;;;;;1;;;;1
Bokaal B.V.;;;;1;;;;;;1
Bokhorst Communicatie;;;;2;;;;;;2
Bokscoaching.nl;;;;;;1;;;;1
bol.com B.V.;;;1;1;;1;;;;1
Bomboca;;;;1;;;;;;1
Bomen Centrum Nederland B.V.;;;;1;;;;;;1
Bommel;;;;1;;;;;;1
Bon Bon Partyservice B.V.;;;;;1;;;;;1
Bon Courage B.V.;;;;;;2;;;;2
Bonappetit Internet Services B.V.;;;;1;;;;;;1
Bonte Motief;1;;;;;;;;;1
Boogh Arbeidsre-integratie;;;;;1;1;;;;1
Boom Distributie Centrum;;;;;1;;;;;1
Boonoonoonoos B.V.;;;;2;;;;;;2
Boot & Stuurliedencoöp. 'De Koperen Ploeg' WA;;;;1;;;1;;1;1
Bootservice Leeuwen;;;1;;;;;;;1
Bord&Stift;;;;1;;;;;;1
Borgerpark Media V.O.F.;;;;;1;;;;;1
Bos & Bos Catering B.V.;;;;1;;;;;;1
Bos Training & Consultancy B.V.;;;;;1;1;;;;1
Bosch Rexroth B.V.;;;;;;2;;;;2
Bossbloemen;;;;1;;;;;;1
Botenverhuur De Rijnstroom V.O.F.;;;;1;;;;;;1
Boterhal;;;;1;;;;;;1
Bouman Coaching & Therapie;;;;;1;;;;;1
Boutiquehotel The Roosevelt;;;;;;;;;1;1
Bouw- & Scheepvaartservice Ronassis;;;;1;;;;;;1
BouwCirculair B.V.;;;;;;1;;;;1
Bouwend Nederland;;;;;;1;;;;1
Bouwgenootschap B.V.;;;;;;1;;;;1
Bouzy;;;;1;;;;;;1
Bowling en Partycentrum Lelystad B.V.;;;;1;;;;;;1
Bowling Scheveningen B.V.;1;;;;;;;;;1
Bowling-Restaurant Menken;;;;1;;;;;;1
Boxing Podjan;;;;1;;;;;;1
bQuind B.V.;;;;;;1;;;;1
Brabant Expres;1;;;;;;;;;1
Brabanthallen;;;;;;1;;;;1
Brain Box Mediatraining B.V.;;;;;;1;;;;1
Branchever. Recycling Breken en Sorteren;;;;;1;;;;;1
Brandchart;;;;;2;;;;;2
brandgiving;;;;;2;;;;;2
Brandpreventie Academy B.V.;;;;;;1;;;;1
Brasserie &Zo;;;;1;;;;;;1
Brasserie De Boerderij;;;;1;;;;;;1
Brasserie De Kloostertuin;;;;1;;;;;;1
Brasserie Eiggenwijzz;;;;1;;;;;;1
Brasserie Het Raadhuis;;;;1;;;;;;1
Brasserie Ome Bernard B.V.;;;;1;;;;;;1
Brasserie Restaurant de Luifel;;;;1;;;;;;1
Brasserie Restaurant Les Trappistes;;;;1;;;;;;1
Brasserie Sequenza;;;;1;;;;;;1
