objectid;zaaknummer;omschrijving;zaaktype_oms;zaakproduct_oms;zaaksubproduct_oms;status_oms;adres;postcode;ddindiening;ddbeschikking;geo_shape;geo_point_2d
173954;EHV-ZP2023-000275;verrichten groot onderhoud Floraplein fase 2;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Bouwen;Zaak gestart;Cameliastraat 12;5644CN;2023-01-23T01:00:00+00:00;2023-01-24T01:00:00+00:00;"{""coordinates"": [5.492297992822933, 51.41687193905755], ""type"": ""Point""}";51.41687193905755, 5.492297992822933
173958;H14/20499-DHV-91761;Horecabedrijf Paviljoen Genneper Parken;Aanvraag beschikking regulier behandelen;Alcoholwet;;Beschikking vastgesteld;Antoon Coolenlaan 2A;5644RX;2014-06-04T02:00:00+00:00;2020-09-17T02:00:00+00:00;"{""coordinates"": [5.472480363436137, 51.41810080048207], ""type"": ""Point""}";51.41810080048207, 5.472480363436137
173959;H20/43179-DHV-127908;horecabedrijf Mathilde Drinks & More;Aanvraag beschikking regulier behandelen;Alcoholwet;;Beschikking vastgesteld;Kleine Berg 26;5611JV;2020-12-29T01:00:00+00:00;2021-03-29T02:00:00+00:00;"{""coordinates"": [5.4751943995964485, 51.43712698196956], ""type"": ""Point""}";51.43712698196956, 5.4751943995964485
173960;EHV-ZP2022-000732;plaatsen van een mobiele kraan / hoogwerker;Aanvraag beschikking regulier behandelen;Gebruik openbare ruimte;Flitsvergunning gebruik openbare ruimte (container, steiger, etc.);Zaak afgerond;Gedempte Gracht 87;5611DM;2022-07-20T02:00:00+00:00;2022-07-22T02:00:00+00:00;"{""coordinates"": [5.481068381619706, 51.43844229030326], ""type"": ""Point""}";51.43844229030326, 5.481068381619706
173961;V21/47137-OVR-47137;aanvullende werkzaamheden behorende bij eerder verleende vergunning met zaaknummer V17_31928, de BunkerToren;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Binnenplanse afwijking, Bouwen;Beschikking vastgesteld;Vincent van den Heuvellaan 411;5612MZ;2021-11-21T01:00:00+00:00;2022-07-18T02:00:00+00:00;"{""coordinates"": [5.479514445589806, 51.44696067489172], ""type"": ""Point""}";51.44696067489172, 5.479514445589806
173965;H19/36384-DHV-117829;horecabedrijf Berlage B.V.;Aanvraag beschikking regulier behandelen;Alcoholwet;;Beschikking vastgesteld;Kleine Berg 16;5611JV;2019-03-28T01:00:00+00:00;2019-07-01T02:00:00+00:00;"{""coordinates"": [5.475229678310305, 51.437477333793815], ""type"": ""Point""}";51.437477333793815, 5.475229678310305
173967;V16/28050-OVR-28050;plaatsen van een luchtbehandelingskast en koelmachine op het dak;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Bouwen;Zaak afgerond;Parmentierweg 3;5657EH;2016-12-14T01:00:00+00:00;2017-02-22T01:00:00+00:00;"{""coordinates"": [5.398531113547957, 51.45596610264386], ""type"": ""Point""}";51.45596610264386, 5.398531113547957
173972;EHV-ZP2023-000348;realiseren van 88 woningen;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Uitweg, Bouwen;Zaak gestart;Antony Moddermanstraat 24;5652GH;2023-01-27T01:00:00+00:00;2023-01-30T01:00:00+00:00;"{""coordinates"": [5.4429609209288285, 51.440980402883675], ""type"": ""Point""}";51.440980402883675, 5.4429609209288285
173976;EHV-ZP2023-000220;kappen van een boom;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Vellen van houtopstanden (kappen);Intake afgerond;Parklaan 44;5613BG;2023-01-18T01:00:00+00:00;2023-01-19T01:00:00+00:00;"{""coordinates"": [5.491919011149698, 51.441910924998375], ""type"": ""Point""}";51.441910924998375, 5.491919011149698
173978;V19/37431-OVR-37431;realiseren van een appartementencomplex met 158 appartementen en een commerciele ruimte op de begane grond;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Handelen in strijd met Ruimtelijke Ordening, Bouwen;Zaak afgerond;Stoomstraat 297;5617AS;2019-07-12T02:00:00+00:00;2019-10-24T02:00:00+00:00;"{""coordinates"": [5.461605477637148, 51.44571435129623], ""type"": ""Point""}";51.44571435129623, 5.461605477637148
173979;V19/37395-OVR-37395;aanbouwen van een woonruimte in houtskeletbouw en het slopen van de bestaande berging;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Handelen in strijd met Ruimtelijke Ordening, Bouwen;Beschikking vastgesteld;Dr Willem Leijdslaan 1;5642MR;2019-07-09T02:00:00+00:00;2019-08-27T02:00:00+00:00;"{""coordinates"": [5.520037871859191, 51.43980118887561], ""type"": ""Point""}";51.43980118887561, 5.520037871859191
173980;EHV-ZP2022-000295;plaatsen van een dakkapel aan de voorgevel van de woning;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Bouwen;Zaak afgerond;Generaal Bothastraat 53;5642NK;2022-06-21T02:00:00+00:00;2022-09-21T02:00:00+00:00;"{""coordinates"": [5.5144295456990875, 51.44019006246003], ""type"": ""Point""}";51.44019006246003, 5.5144295456990875
173987;V21/47566-OVR-47566;bouwen van 14 woningen, 2 maisonettes en 24 appartementen met parkeergarage, aansluitend op de bestaande parkeergarage van Meerrijk / Meergras blok D2;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Bouwen;Beschikking vastgesteld;Meergras 40;5658LR;2021-12-23T01:00:00+00:00;2022-05-09T02:00:00+00:00;"{""coordinates"": [5.409026429080298, 51.441038092903234], ""type"": ""Point""}";51.441038092903234, 5.409026429080298
173991;EHV-ZP2022-001313;plaatsen van een fietsenstalling;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Buitenplanse kleine afwijking, Bouwen;Beschikking vastgesteld;Geestakker 2;5625XA;2022-09-02T02:00:00+00:00;2023-01-03T01:00:00+00:00;"{""coordinates"": [5.47946433032841, 51.46826410949457], ""type"": ""Point""}";51.46826410949457, 5.47946433032841
173998;V20/42497-OVR-42497;transformeren winkel met bovenwoningen naar winkel met 11 appartementen;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Handelen in strijd met Ruimtelijke Ordening, Bouwen;Beschikking vastgesteld;Kruisstraat 70F;5612CJ;2020-10-30T01:00:00+00:00;2021-02-25T01:00:00+00:00;"{""coordinates"": [5.475533781719034, 51.44665028353208], ""type"": ""Point""}";51.44665028353208, 5.475533781719034
174003;V17/28860-OVR-28860;splitsen van de bovenwoning in 2 appartementen;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Bouwen;Beschikking vastgesteld;Hooghuisstraat 13;5611GS;2017-03-02T01:00:00+00:00;2017-06-20T02:00:00+00:00;"{""coordinates"": [5.478025277141724, 51.43801758955995], ""type"": ""Point""}";51.43801758955995, 5.478025277141724
174009;EHV-ZP2022-001133;plaatsen van een steiger;Aanvraag beschikking regulier behandelen;Gebruik openbare ruimte;Vergunning 5 dgn container/(rol)steiger;Zaak afgerond;St Catharinastraat 2;5611JC;2022-08-18T02:00:00+00:00;2022-08-19T02:00:00+00:00;"{""coordinates"": [5.470683273484634, 51.43735663989526], ""type"": ""Point""}";51.43735663989526, 5.470683273484634
174012;V21/47478-OVR-47478;verduurzamen van 38 woningen d.m.v. het vervangen van PH-schuiframen en vervangen van de voordeuren;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Bouwen;Beschikking vastgesteld;Hondsruglaan 56;5629GA;2021-12-17T01:00:00+00:00;2022-02-09T01:00:00+00:00;"{""coordinates"": [5.464877219276118, 51.4842092399546], ""type"": ""Point""}";51.4842092399546, 5.464877219276118
174013;V21/47137-OVR-47137;aanvullende werkzaamheden behorende bij eerder verleende vergunning met zaaknummer V17_31928, de BunkerToren;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Binnenplanse afwijking, Bouwen;Beschikking vastgesteld;Vincent van den Heuvellaan 111;5612MZ;2021-11-21T01:00:00+00:00;2022-07-18T02:00:00+00:00;"{""coordinates"": [5.4797125298253535, 51.447139913468824], ""type"": ""Point""}";51.447139913468824, 5.4797125298253535
174014;985101-DHV-6007;Horecavergunning, Vereniging Centro Espanol;Aanvraag beschikking regulier behandelen;Alcoholwet;Alcoholwetvergunning (paracommercieel);Beschikking vastgesteld;Hugo de Grootplein 47A;5652LL;1998-10-07T02:00:00+00:00;2005-04-15T02:00:00+00:00;"{""coordinates"": [5.439742093148205, 51.44045855558267], ""type"": ""Point""}";51.44045855558267, 5.439742093148205
174016;H20/42382-DHV-126795;horecabedrijf Fabriquesfoutje;Aanvraag beschikking regulier behandelen;Alcoholwet;Alcoholwetvergunning (horecabedrijf en slijtersbedrijf);Beschikking vastgesteld;Edisonstraat 111;5621HL;2020-10-19T02:00:00+00:00;2020-11-10T01:00:00+00:00;"{""coordinates"": [5.4605117238451095, 51.45262828995448], ""type"": ""Point""}";51.45262828995448, 5.4605117238451095
174020;V21/47166-OVR-47166;verbreden van een dakkapel in het voorgeveldakvlak;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Bouwen;Beschikking vastgesteld;Woenselsestraat 359;5623ED;2021-11-23T01:00:00+00:00;2022-02-22T01:00:00+00:00;"{""coordinates"": [5.470972849966572, 51.4606291008262], ""type"": ""Point""}";51.4606291008262, 5.470972849966572
174021;V21/47138-OVR-47138;aanvullende werkzaamheden behorende bij eerder verleende vergunning met zaaknummer V17_31928, de BunkerToren;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Bouwen;Beschikking vastgesteld;Vincent van den Heuvellaan 189;5612MZ;2021-11-21T01:00:00+00:00;2022-06-20T02:00:00+00:00;"{""coordinates"": [5.479672323991049, 51.44709032797026], ""type"": ""Point""}";51.44709032797026, 5.479672323991049
174023;V21/46399-OVR-46399;transformeren van het leegstaande gedeelte van de Fatimakerk tot appartementencomplex en realiseren nieuwbouw woningen op naastgelegen perceel;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Bouwen;Beschikking vastgesteld;Fatimahof 34;;2021-09-23T02:00:00+00:00;2022-02-09T01:00:00+00:00;"{""coordinates"": [5.495451842566603, 51.42743630286945], ""type"": ""Point""}";51.42743630286945, 5.495451842566603
174024;V20/41651-OVR-41651;"bouwen van 56 nieuwbouwwoningen; PUUR Hooglanden";Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Uitweg, Aanleg, Bouwen;Beschikking vastgesteld;Grasbloem 4;5658GJ;2020-08-21T02:00:00+00:00;2020-10-28T01:00:00+00:00;"{""coordinates"": [5.418736079049755, 51.436999801850696], ""type"": ""Point""}";51.436999801850696, 5.418736079049755
174029;EHV-ZP2022-001316;plaatsen tijdelijke tent voor laden en lossen;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Bouwen;Beschikking vastgesteld;Hurksestraat 20A;5652AK;2022-09-05T02:00:00+00:00;2022-10-25T02:00:00+00:00;"{""coordinates"": [5.440334914198108, 51.43356694868406], ""type"": ""Point""}";51.43356694868406, 5.440334914198108
174031;V21/45865-VGW-45865;aanvragen van een splitsingsvergunning ivm nieuwe wetgeving gemeente Eindhoven;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Buitenplanse afwijking;Zaak afgerond;Geldropseweg 40A;5611SJ;2021-07-29T02:00:00+00:00;2022-10-19T02:00:00+00:00;"{""coordinates"": [5.487590165031152, 51.434045603114036], ""type"": ""Point""}";51.434045603114036, 5.487590165031152
174033;EHV-ZP2022-000829;plaatsen van een container;Aanvraag beschikking regulier behandelen;Gebruik openbare ruimte;Flitsvergunning gebruik openbare ruimte (container, steiger, etc.);Zaak afgerond;Biesterweg 56;5615AJ;2022-07-26T02:00:00+00:00;2022-08-03T02:00:00+00:00;"{""coordinates"": [5.486855476473977, 51.42555009837867], ""type"": ""Point""}";51.42555009837867, 5.486855476473977
174038;EHV-ZP2022-002046;plaatsen van een kozijn in de pui van winkelpand;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Bouwen;Zaak afgerond;Marktstraat 6;5611EA;2022-10-25T02:00:00+00:00;2022-12-29T01:00:00+00:00;"{""coordinates"": [5.477646311989177, 51.43951333916434], ""type"": ""Point""}";51.43951333916434, 5.477646311989177
174040;EHV-ZP2023-000275;verrichten groot onderhoud Floraplein fase 2;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Bouwen;Zaak gestart;Papaverstraat 30;5644CR;2023-01-23T01:00:00+00:00;2023-01-24T01:00:00+00:00;"{""coordinates"": [5.493030615248557, 51.416330362785224], ""type"": ""Point""}";51.416330362785224, 5.493030615248557
174041;V21/47398-VGW-47398;splitsen van de bestaande bovenwoning in 3 zelfstandige appartementen;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Binnenplanse afwijking, Bouwen;Beschikking vastgesteld;Noord Brabantlaan 74A;5652LE;2021-12-13T01:00:00+00:00;2022-08-31T02:00:00+00:00;"{""coordinates"": [5.439396171201582, 51.44255984906673], ""type"": ""Point""}";51.44255984906673, 5.439396171201582
174043;V21/47137-OVR-47137;aanvullende werkzaamheden behorende bij eerder verleende vergunning met zaaknummer V17_31928, de BunkerToren;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Binnenplanse afwijking, Bouwen;Beschikking vastgesteld;Vincent van den Heuvellaan 379;5612MZ;2021-11-21T01:00:00+00:00;2022-07-18T02:00:00+00:00;"{""coordinates"": [5.479519233604576, 51.4469738215144], ""type"": ""Point""}";51.4469738215144, 5.479519233604576
174044;H19/35535-DHV-116475;horecabedrijf Onder de Leidingstraat;Aanvraag beschikking regulier behandelen;Alcoholwet;;Beschikking vastgesteld;Leidingstraat 45;5617AJ;2019-01-09T01:00:00+00:00;2019-06-07T02:00:00+00:00;"{""coordinates"": [5.454861939794748, 51.4478751822571], ""type"": ""Point""}";51.4478751822571, 5.454861939794748
174049;V19/39098-OVR-39098;transformeren café  met bovenwoning naar café  met appartementen;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Handelen in strijd met Ruimtelijke Ordening, Gemeentelijk monument, Bouwen;Beschikking vastgesteld;Stratumseind 14A;5611ES;2019-12-27T01:00:00+00:00;2020-03-30T02:00:00+00:00;"{""coordinates"": [5.48061331712093, 51.43663222951799], ""type"": ""Point""}";51.43663222951799, 5.48061331712093
174050;H21/46276-DHV-132620;horecabedrijf Vegan Heroes;Aanvraag beschikking regulier behandelen;Alcoholwet;;Beschikking vastgesteld;Willemstraat 19;5611HB;2021-09-13T02:00:00+00:00;2021-11-11T01:00:00+00:00;"{""coordinates"": [5.473811897594647, 51.43816869157764], ""type"": ""Point""}";51.43816869157764, 5.473811897594647
174052;H15/24531-DHV-99573;horecabedrijf Fuso Restaurant B.V.;Aanvraag beschikking regulier behandelen;Alcoholwet;;Beschikking vastgesteld;Stationsplein 15;5611AB;2015-11-27T01:00:00+00:00;2016-01-27T01:00:00+00:00;"{""coordinates"": [5.479434406920499, 51.44131833557161], ""type"": ""Point""}";51.44131833557161, 5.479434406920499
174054;EHV-ZP2022-000456;plaatsen van een dakkapel op de voorgevel;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Bouwen;Getoetst aan regelgeving;Generaal Dibbetslaan 74;5623JR;2022-07-04T02:00:00+00:00;2022-10-20T02:00:00+00:00;"{""coordinates"": [5.4778443427951435, 51.46161192456016], ""type"": ""Point""}";51.46161192456016, 5.4778443427951435
174055;V20/43046-OVR-43046;bouwen van 81 grondgebonden woningen in Berckelbosch, deelplan 10 (Mahler);Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Bouwen;Beschikking vastgesteld;Trompetstraat 2;5642RT;2020-12-17T01:00:00+00:00;2021-10-15T02:00:00+00:00;"{""coordinates"": [5.526198678446609, 51.435912427748136], ""type"": ""Point""}";51.435912427748136, 5.526198678446609
174057;EHV-ZP2022-001366;plaatsen van een mobiele kraan/hoogwerker;Aanvraag beschikking regulier behandelen;Gebruik openbare ruimte;Vergunning gebruik openbare ruimte (container, steiger, etc.);Zaak afgerond;Woenselse Markt 3;5612CP;2022-09-09T02:00:00+00:00;2022-09-16T02:00:00+00:00;"{""coordinates"": [5.472113413010807, 51.451826902005415], ""type"": ""Point""}";51.451826902005415, 5.472113413010807
174065;EHV-ZP2022-002649;het plaatsen van een bouwplaats;Aanvraag beschikking regulier behandelen;Gebruik openbare ruimte;Bouwplaatsinrichting klasse C;Zaak afgerond;Venuslaan 587;5632HR;2022-12-05T01:00:00+00:00;2022-12-29T01:00:00+00:00;"{""coordinates"": [5.489664862598078, 51.475390632028464], ""type"": ""Point""}";51.475390632028464, 5.489664862598078
174074;EHV-ZP2023-000087;kappen van 4 bomen;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Vellen van houtopstanden (kappen);Zaak afgerond;St Jorislaan 82;5611PN;2023-01-07T01:00:00+00:00;2023-01-31T01:00:00+00:00;"{""coordinates"": [5.489022635938602, 51.43072615290302], ""type"": ""Point""}";51.43072615290302, 5.489022635938602
174079;H19/36791-DHV-118491;horecabedrijf Drinkers Pub BV;Aanvraag beschikking regulier behandelen;Alcoholwet;;Beschikking vastgesteld;Stratumseind 95;5611ER;2019-05-03T02:00:00+00:00;2021-09-21T02:00:00+00:00;"{""coordinates"": [5.48312002236341, 51.43565937822272], ""type"": ""Point""}";51.43565937822272, 5.48312002236341
174081;V21/44270;Wijzigen gebruik van een pand t.b.v. kamerverhuur;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Binnenplanse afwijking;Zaak afgerond;Zeelsterstraat 150;5652EN;2021-03-30T02:00:00+00:00;2022-06-23T02:00:00+00:00;"{""coordinates"": [5.438542487686899, 51.43765405993786], ""type"": ""Point""}";51.43765405993786, 5.438542487686899
174084;EHV-ZP2022-000249;wijzigen gebruik van het terrein t.b.v. Stadsoase Festival;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Binnenplanse afwijking;Zaak gestart;Javalaan 149;5631DB;2022-06-20T02:00:00+00:00;2022-08-10T02:00:00+00:00;"{""coordinates"": [5.500774233348162, 51.449976822749775], ""type"": ""Point""}";51.449976822749775, 5.500774233348162
174085;H17/28446-DHV-105618;horecabedrijf Cafetaria Manders;Aanvraag beschikking regulier behandelen;Alcoholwet;;Beschikking vastgesteld;Hoogstraat 133A;5615PC;2017-01-18T01:00:00+00:00;2017-03-14T01:00:00+00:00;"{""coordinates"": [5.469480853785845, 51.43145139727067], ""type"": ""Point""}";51.43145139727067, 5.469480853785845
174087;V21/47138-OVR-47138;aanvullende werkzaamheden behorende bij eerder verleende vergunning met zaaknummer V17_31928, de BunkerToren;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Bouwen;Beschikking vastgesteld;Vincent van den Heuvellaan 305;5612MZ;2021-11-21T01:00:00+00:00;2022-06-20T02:00:00+00:00;"{""coordinates"": [5.479601503016993, 51.44701743218109], ""type"": ""Point""}";51.44701743218109, 5.479601503016993
174089;V22/48794-OVR-48794;uitbreiden van het woonhuis;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Binnenplanse afwijking, Bouwen;Beschikking vastgesteld;Mackaylaan 15;5631NM;2022-04-04T02:00:00+00:00;2022-06-22T02:00:00+00:00;"{""coordinates"": [5.514783899920093, 51.454963426579624], ""type"": ""Point""}";51.454963426579624, 5.514783899920093
174093;EHV-ZP2022-002606;brandveilig gebruik t.b.v. Korein Don Bosco 2;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Brandveilig gebruik, Bouwen;Ontwerpbeschikking ter inzage gelegd;Don Boscostraat 2;5611KW;2022-11-30T01:00:00+00:00;2023-01-05T01:00:00+00:00;"{""coordinates"": [5.475975066888589, 51.43473664219979], ""type"": ""Point""}";51.43473664219979, 5.475975066888589
174099;V20/43046-OVR-43046;bouwen van 81 grondgebonden woningen in Berckelbosch, deelplan 10 (Mahler);Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Bouwen;Beschikking vastgesteld;Trombonestraat 1;5642RW;2020-12-17T01:00:00+00:00;2021-10-15T02:00:00+00:00;"{""coordinates"": [5.527780778906259, 51.43477425181676], ""type"": ""Point""}";51.43477425181676, 5.527780778906259
174100;V21/43660-OVR-43660;uitbreiden van het bestaande appartement;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Handelen in strijd met Ruimtelijke Ordening, Bouwen;Beschikking vastgesteld;Karolingersweg 2A;5616HX;2021-02-12T01:00:00+00:00;2021-04-01T02:00:00+00:00;"{""coordinates"": [5.455802021549335, 51.43724088309709], ""type"": ""Point""}";51.43724088309709, 5.455802021549335
174101;V20/43030-OVU-43030;realiseren van een appartementengebouw van 59 appartementen De Majoor;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Handelen in strijd met Ruimtelijke Ordening, Bouwen;Beschikking vastgesteld;Generaal Taylorpad 131;5623KN;2020-12-17T01:00:00+00:00;2021-12-02T01:00:00+00:00;"{""coordinates"": [5.4759947701024, 51.46591336109761], ""type"": ""Point""}";51.46591336109761, 5.4759947701024
174102;EHV-ZP2022-001670;plaatsen van een mobiele kraan / hoogwerker;Aanvraag beschikking regulier behandelen;Gebruik openbare ruimte;Flitsvergunning gebruik openbare ruimte (container, steiger, etc.);Zaak afgerond;Hugo de Grootplein 1;5652LJ;2022-09-29T02:00:00+00:00;2022-09-30T02:00:00+00:00;"{""coordinates"": [5.440779630388998, 51.44232370702318], ""type"": ""Point""}";51.44232370702318, 5.440779630388998
174108;V20/40588-OVU-40588;bouwen van een drietal gebouwen met 260 appartementen, 4 grondgebonden woningen en een commerciële ruimte op de begane grond , project Hartje Eindhove;Aanvraag beschikking uitgebreid behandelen;Omgevingsvergunning;Bouwen;Beschikking vastgesteld;PSV-laan 101;5616LA;2020-05-18T02:00:00+00:00;2021-03-08T01:00:00+00:00;"{""coordinates"": [5.46495916213773, 51.44354827150322], ""type"": ""Point""}";51.44354827150322, 5.46495916213773
