Leveranciers;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;1-Personele exploitatie
Bowling Scheveningen;;;;1;;;;;;1
BPP Professional Education (incl. MVP Markus Verbeek Praehep);;;;;;1;;;;1
Brain Box Mediatraining;;;;;;1;;;;1
Brainport Development;;;;;;1;;;;1
Brasserie Panneke;;;;1;;;;;;1
Bredemeijer Group;;;;1;;;;;;1
Bridgehead Strategic Sourcing Support B.V.;;;;;;1;;;;1
Brilmij Groep;;;1;;;;;;;1
Brinkhuis Management & Advies;;;;;;1;;;;1
Brood- en Banketbakkerij Broer;;;;1;;;;;;1
Brouwers Tours;;;;;;;;;1;1
Bruijn Advies;;;;;;1;;;;1
BRUT & BUBBELS;;;;1;;;;;;1
BSI Group Management Systems;;;;;;1;;;;1
BT Global Services (incl. Syntegra);;;;;;1;;;;1
Buckaroo Online Payment Services;;;;;;1;;;;1
Buildingbusiness Uitgeverij;;;;;;1;;;;1
Buiten Strandpaviljoen;;;;1;;;;;;1
Buitengoed Hagenhorst;1;;;;;1;;;;1
Buitenhof Brasserie;;;;1;;;;;;1
BUREAU CHRISTIAENS ADVIES EN COACHING;;;;;;1;;;;1
Bureau Greven;;;;;;1;;;;1
Bureau Schijf, Partner in Leiderschap;;;;;;2;;;;2
Bureau Taal;;;;;;1;;;;1
Buro Iksa;;;;;;1;;;;1
Buro Sambal;;;;1;;;;;;1
Buro3R;;;;1;;;;;;1
Business Models;;;;;;1;;;;1
C L ARNOLD BIK;;;;;;1;;;;1
CAD Accent;;;;;;1;;;;1
Cadeau-specialist.nl;1;;;1;;;;;;1
Café Darts de Goudenregen;;;;;;;1;;;1
Cafe 't Plein;;;;1;;;;;;1
Caleidoscoop Leertrajecten;;;;;;1;;;;1
Canal Company;;;;1;;;;;;1
CAOP - Centrum Voor Arbeidsverhoudingen Overheidspersoneel;1;;;1;;1;;;;1
Capgemini;;;;;;2;;;;2
CapitalP;;;;;;;;;1;1
CAPRA Centraal Adviesbureau voor Publiek Recht en Administratie;;;;;;1;;;;1
Capriole Coffee-Service;;;;1;;;;;;1
Carlton Hotel;1;;;1;;;;;1;1
Carnavalsland;;;;1;;;;;;1
Carnegie Stichting;;;;;;2;;;;2
CB Centraal Boekhuis (incl. Facturatie);;;;1;;1;;;;1
Center for Business Model Innovation BV;;;;;;1;;;;1
Center For People And Buildings;;;;;;2;;;;2
Centraal Bureau Genealogie;;;;1;;;;;;1
Centrum Quadraat;;;;1;;;;;;1
Centrum Voor Conflicthantering;;;;;;2;;;;2
Centrum Voor Mindfulness;;;;;;1;;;;1
CGI Group (incl. Logica CMG);;;;;;1;;;;1
ChallengeNext! B.V.;;;;;1;;;;;1
Choy Consultants;;;;;;1;;;;1
Christelijke Hogeschool Ede;;;;;;1;;;;1
Christian Restaurant;;;;1;;;;;;1
Circumference;;;;;;1;;;;1
Civas;;;;;;1;;;;1
C-Kracht;;;;;;1;;;;1
Claire Werkt!;;;1;;;1;;;;1
Cleandesk.nu;;;;1;;;;;;1
Cloos Eetcafé;;;;1;;;;;;1
Clou Marketing, Informatie en Research;;;;;;1;;;;1
CLS Computertraining;;;;;;1;;;;1
CMI Career Management Institute;;;;;;1;;;;1
Coachcenter;;;;;;1;;;;1
Cocon (Bert Wever);;;;;;3;;;;3
Coffee Company;;;;1;;;;;;1
Collabo;;;;;;2;;;;2
Colour Digital;;;;1;;1;;;;1
Colourshift;;;;;;1;;;;1
Compacon & Partners;;;;2;;;;;;2
Company Sandwich;;;;1;;;;;;1
Comparex (incl. PC-Ware);;;4;;;;;;;4
Compass Group Nederland (incl. Eurest, ECS Catering, Avenance);;;;1;;;;;;1
Compu'Train;;;;;;2;;;;2
Conclusion;;;;;;1;;;;1
Conducto;;;;;;1;;;;1
Conferentiecentrum Kaap Doorn;;;;;;1;;;;1
Connexxion;;;;1;;;;;;1
Conquaestor Management Consulting;;;;;;2;;;;2
Consonant;;;;;;1;;;;1
Consulo;;;4;;;;;;;4
Convergent;;;;;;1;;;;1
Cooperatie Nederlandse Associatie voor Praktijkexamens;;;;;;1;;;;1
COOPERATIEF EIGENWIJZER;;;;1;;;;;;1
Corner Stone Marketing & Sales;;;;;;1;;;;1
CORNERSTONE-CONSULTANTS;;;;;;1;;;;1
Corporate Facility Partners;;;;;;1;;;;1
Corridor Taverne;;;;1;;;;;;1
COT Instituut Voor Veiligheids en Crisismanagement;;;;;;2;;;;2
Court Garden Hotel;;;;;;;;;1;1
Covalent Information Technology Solutions;;;;;;1;;;;1
Crazy Piano's Scheveningen;;;;1;;;;;;1
Creme Vereniging;;;;1;;;;;;1
Crown Electric Records;;;;;;1;;;;1
CS-Opleidingen;;;;;;2;;;;2
Culpepper Beachclub;;;;1;;;;;;1
Cure & Care Development;;;;;;1;;;;1
CursOR;;;;;;1;;;;1
DAB TAX;;;;;;;;;1;1
Dara;;;;1;;;;;;1
Darque Magic;;;;1;;;;;;1
Dassen Communicatie Advies ;;;;1;;;;;;1
DBR De Boer, Ritsema & van Eck;;;;;;1;;;;1
De Arendshoeve Hotel;;;;;;1;;;;1
De Argumentenfabriek;;;;;;3;;;;3
De Baak incl. Seaside, Administratie, Hospitality, Management Centrum;;;;;;4;;;1;4
De Babbel Apeldoorn;;;;1;;;;;;1
De Bak Stg/Café;;;;1;;;;;;1
De Barrier Eetcafé;;;;1;;;;;;1
De Basiliek Restaurant;;;;1;;1;;;1;2
De Belgische Keizer Café-Restaurant;;;;1;;;;;;1
De Bonte Wever Assen (De Smelt);;;;;;;;;1;1
De Bosrand Hotel;;;;;;;;;1;1
De Broodfabriek;;;;2;;;;;;2
De Doelen Hotel-Grand Café;;;;;;;;;1;1
De Eeuwige Jachtvelden Café-Restaurant;;;;1;;1;;;;1
De Federatie;;;;;;2;;;;2
De Galan Groep (incl. Opleidingen);;;;;;2;;;;2
De Galan School Voor Training;;;;;1;1;;;;1
De Gelagkamer Restaurant;;;;1;;;;;;1
De Gespleten Arent;;;;1;;;;;;1
De Groen Advisering;;;;;;;;;1;1
De Grote Beer Cafe Diner;;;;1;;;;;;1
De Haagse Gravin;;;;1;;;;;;1
De Halve Maan;;;;1;;;;;;1
De Ibis Illustraties;;;;1;;;;;;1
De Jong Tours;;;;;;;;;1;1
De Kaasspecialist Wennekes;;;;1;;;;;;1
De Kastanjehof Restaurant-Hotel;;;;1;;;;;;1
De Kleine Eetcafe;;;;1;;;;;;1
De Kleine Witte Café;;;;1;;;;;;1
De Knegt & Leeflang;;;;1;;;;;;1
De Kookfabriek;;;;1;;;;;;1
De Koperen Bel Proeverij;;;;;;1;;;;1
De Leeuw;;;;;;1;;;;1
De Lof der Zotheid Restaurant Café Diner;;;;1;;;;;;1
De Markthof;;;;1;;;;;;1
De Nieuwe Bierton;;;;1;;;;;;1
De Nieuwe Jutter Stg;;;;;;1;;;;1
De Observant Stadscafé;;;;1;;;;;;1
De Ooievaar Beheer;;;;1;;;;;;1
De Ooievaart - Ga Den Haag;;;;1;;;;;;1
De Persgroep (incl. PCM, De Volkskrant, Het Parool, Trouw, Algemeen Dagblad, Perscombinatie);;;;1;;;;;;1
De Poort van Kleef Café-Restaurant;;;;1;;1;;;;1
De Prael Brouwerij;;;;1;;;;;;1
De Pubquizmaster;;;;1;;;;;;1
De Redactie (Automotive Publishing);;;;;;1;;;;1
De Ruijter Strategie;;;;;;1;;;;1
De Rustende Jager Hotel-Restaurant;;;;;;;;;1;1
De 's-Limmerick Café;;;;1;;;;;;1
De Sniep Restaurant & Hotel;;;;;;;;;1;1
De Spijker B.V.;;;;1;;;;;;1
De Taaltrainer;;;;;;1;;;;1
De Toekomstbus;;;;;;1;;;;1
De Tuinkamer;;;;;;1;;;;1
De Tuyn Restaurant (J.A.W. Groeneveld);;;;1;;;;;;1
De Twee Heeren Bar Bistro;;;;1;;;;;;1
De Twee Provincien Restaurant (HACCP Exploitatie);;;;1;;;;;;1
De Veiling Restaurant;;;;;;1;;;;1
De Verrassingsmand (H. van den Burg-Kouwenhoven);;;;1;;;;;;1
De Wijde Blik;;;;;;1;;;;1
De Wits Café-Restaurant;;;;1;;;;;;1
De Zoete Inval Bistro;;;;1;;;;;;1
Debat Nl;;;;;;1;;;;1
Debatrix;;;;;;1;;;;1
Déblé Venlo Relatiegeschenken;;;;1;;;;;;1
Dehora Consultancy Group;;;;;;1;;;;1
Dekker Zoetermeer;;;;1;;;;;;1
Dekxels Restaurant;;;;1;;;;;;1
Delft Projects & Consultancy;;;;1;;;;;;1
Deloitte Consulting;;;;;;2;;;;2
Delphi Grieks Restaurant;;;;1;;;;;;1
Delta Hotel;;;;1;;;;;;1
Den Haag Evenementen;;;;;;2;;;;2
Den Haag Marketing & Events;1;;;2;;;;;;2
Den Haag Nieuw Centrum Stichting;1;;;;;;;;;1
Dendy Bar Restaurant;;;;1;;;;;;1
Denk Producties;;;;;;1;;;;1
DEP Works;;;;;;;;;1;1
Deskbookers;;;;;;1;;;;1
D-ICT Solutions/Slim Bekeken;;;;;;1;;;;1
Diemen & van Gestel;;;;;;1;;;;1
Digital Action;;;;;;1;;;;1
Disconsult (incl. Dior Opleidingen);;;;;;1;;;;1
Ditverzinjeniet.nl;;;;1;;;;;;1
DK Vertaaldiensten;;;;;;1;;;;1
DNV Det Norske Veritas;;;;;;1;;;;1
Doen Strandclub;;;;1;;;;;;1
DoeNederland.nl;;;;1;;;;;;1
Domino's Pizza;;;;1;;;;;;1
Domstad Hogeschool, Cursus- en Vergadercentrum;;;;;;1;;;;1
Donker Holding (incl. Donkergroen);;;;1;;;;;;1
Doornse Oranjerie B.V.;;;;1;;;;;;1
Dopper;;;;1;;;;;;1
Double Healix Educational Media;;;;;;1;;;;1
Double U Building;;;;;;1;;;;1
DPA Supply Chain (incl. Conink Consultants, Dpa Flex);;;;;;;;;1;1
Drenthe Tours;;;;;;;;;1;1
Driessen;;;;;;1;;;;1
Dsa Express;;;;;;;;;1;1
Dudok (Horeca Exploitatie WWZ IV);;;;1;;;;;;1
Duin & Kruidberg Landgoed;;;;1;;;;;1;1
Duister Den Haag;;;;1;;;;;;1
Dulang Indonesische Lekkernijen Restaurant;;;;1;;;;;;1
Dyna Vision;;;;;;1;;;;1
East Coast Café;;;;1;;;;;;1
Easy Ergonomics;;;1;;;;;;;1
Easystaff;;;;;;2;;;;2
Ebbinge & Company;;;;;;2;;;;2
Ecabo Services Stichting;;;;;;1;;;;1
Ecorys Nederland (incl. Ecorys-Kolpron);;;;;;2;;;;2
Edad Reizen;;;;;;;;;1;1
E-Democracy;;;;;;1;;;;1
Eden Hotels;;;;;;;;;1;1
EEG Professionals;;;1;;;;;;;1
Eetcafé Het Nieuws van Apeldoorn;;;;1;;;;;;1
Eetcafe Tios Y Tias;;;;1;;;;;;1
EHM Hotels (incl. Apollo Hotels & Resorts);;;;;;;;;1;1
e-hulp.nl;;;;;;2;;;;2
EIC Europees Instituut Voor Certified Public Controllers;;;;;;1;;;;1
EIGEMAN-ID;;;;;;1;;;;1
El Barrio Tapas Y Restaurante;;;;1;;;;;;1
El Pollo Productions;;;;1;;;;;;1
Elba Media;;;;;;1;;;;1
Elenchis;;;;;;1;;;;1
Elycio Talen;;;;;;1;;;;1
Emd Centre;;;;;;2;;;;2
Emma Communicatie;;;;;;1;;;;1
Endemol;;;;;;1;;;;1
Enerdeco;;;;;;1;;;;1
Enerjoy;;;1;;;;;;;1
English Upside Down;;;;;;1;;;;1
Enneagram Nederland;;;;;;1;;;;1
Entopic;;;;;;1;;;;1
E-Office (incl. Work21);;;1;1;;2;;;;2
EPI-USE;;;;;;1;;;;1
Equinix;;;;;;1;;;;1
Equipe Quality Products (incl. Health2Work);;;1;;;;;;;1
ETC International;;;;;;1;;;;1
Eten bij Werelds;;;;1;;1;1;;;1
Eten en Zo;;;;1;;;;;;1
Euroforum;;;;;;1;;;;1
Euroforum/SBO Studiecentrum Bedrijf en Overheid;;;;;;1;;;;1
Euroforum/Secretary Management Institute;;;;;;1;;;;1
Euromast;;;;1;;;;;;1
European Language Centre;;;;;;1;;;;1
European Leadership Platform;;;;;;1;;;;1
European Security Academy;;;;;;1;;;;1
Evenementenbedrijf Carpe Diem;;;;;;;2;;;2
Excellent Incasso;;;;;;;;;1;1
Experience Island;;;;1;;;;;;1
Expertisecentrum Conflictmanagement;;;;;;1;;;;1
ExplainIT;;;;;;2;;;;2
Exploit.Maatsch. De Roode Schuur Nijkerk;;;;;;;;;1;1
Expo Display Service;;;;1;;;;;;1
EYE Bar Restaurant;;;;1;;;;;;1
Eyewish Groeneveld;;;1;;;;;;;1
F & B;;;;;;1;;;;1
Facility Improvement;;;;;;;;;1;1
Fakton (Beurs-WTC);;;;;;2;;;;2
Falck Group;;;;;;3;;;;3
Falke & Verbaan;;;;;;1;;;;1
FAMO Federatie van Algemene Middelenmanagers bij de Overheid;;;;;;1;;;;1
Fine Fresh Food;;;;1;;;;;;1
FINESSE RONDOM HET LEVENSEINDE;;;;;;1;;;;1
First Priority Music;;;;1;;;;;;1
First Service Business Events;;;;;;;;;1;1
Fitplaza;;;;1;;;;;;1
Fletcher Hotel Restaurant;;;;;;;;;1;1
Fleurcentrum Blok;;;;1;;;;;;1
Fleuribelli;;;;1;;;;;;1
Flowers For You;;;;1;;;;;;1
Flowers4U;;;;1;;;;;;1
Focus Advisering Training Coaching, Conferences;;;;;;2;;;;2
Fontana Resort Bad Nieuweschans;;;;;;;;;1;1
FORE DEVELOPMENT;;;;;;2;;;;2
Form-Ed;;;;1;;;;;;1
Forsa Advies;;;;;;1;;;;1
Fortune Factory;;;;1;;;;;;1
Fouquet Restaurant (De Bruijn - Kamphuis);;;;1;;;;;;1
Frame;;;;;;1;;;;1
Franke Interim Management;;;;;;1;;;;1
Frankwatching;;;;;;1;;;;1
Fratelli Restaurant;;;;1;;;;;;1
Frezon;;;;1;;;;;;1
FRIENDS OF THE BRANDS;;;;1;;;;;;1
Frijters Mind Tuning;;;;;;1;;;;1
Fruitful Office Nederland;;;;1;;;;;;1
Fujitsu Technology Solutions (vh Fujitsu Siemens);;;;;;;;;1;1
Futura Bloemsierkunst;;;;1;;;;;;1
Future Consult;;;;;;2;;;;2
Fysical Hillegersberg;;;;;;1;;;;1
G4S Beveiliging (incl. Group 4, Securicor, Falck, Hacousto, Ricas);;;;;;1;;;;1
Gadgets Land;;;;1;;;;;;1
Gaertner Ergonomische Meubelen;;;1;;;;;;;1
Gall & Gall;;;;1;;;;;;1
Gargouilles;;;;1;;;;;;1
Garoeda Indonesisch Restaurant;;;;1;;;;;;1
Gartner;;;;;;2;;;;2
Geen Kunst;;;;1;;;;;;1
GEMORO;;;;;;1;;;;1
Georganiseerde Eerstelijnszorg Zoetermeer;;;;1;;;;;;1
Geschenkbezorgen.nl (incl. Wijnlatenbezorgen);;;;1;;;;;;1
Get Events;;;;1;;;1;;;1
Geurst (incl. Pastis Restaurant);;;;1;;;;;;1
GEWOONBOOT;;;;;;1;;;;1
GGMD voor Doven en Slechthorenden;;;1;;;;;;;1
GH Catering;;;;;;1;;;;1
Gio Coffee;;;;1;;;;;;1
GITP (incl. Pi Company);;;;;;2;;;;2
Globalizen;;;;;;1;;;;1
GLOEDCOMMUNICATIE;;;;;;1;;;;1
Go Opleidingen;;;;;;1;;;;1
Goal Trainingen;;;;;;1;;;;1
Goed Restaurant;;;;;;1;;;;1
Goesting Restaurant;;;;1;;;;;;1
Golden City Chinees Restaurant ;;;;1;;;;;;1
Golden Plate Brasserie en Restaurant;;;;1;;;;;;1
Golden Ship;;;;1;;;;;;1
Golden Tulip;;;;;;1;;;1;1
Golfbaan Delfland (Schipluiden);;;;1;;;;;;1
Golfbaan Ockenburgh Stg;;;;1;;;;;;1
Golfclub Zwolle;;;;1;;;;;;1
Gotcha Beachlounge Club;;;;1;;;;;;1
Governance University;;;;;;1;;;;1
GRAB N BITE;;;;;;1;;;;1
Grachten Atelier;;;;1;;;;;;1
Gradus Groep;;;;;;1;;;;1
Granny's Corner Eetcafé;;;;1;;;;;;1
Greenwish;;;;;;2;;;;2
GRILL & STEAKHOUSE DESPERADO;;;;;;1;;;;1
Groningen Congresbureau;;;;;;1;;;;1
Grontmij;;;;;;3;;;;3
Groote Societeit;;;;1;;;;;;1
Gusto Mangia E Bevi;;;;1;;;;;;1
Haaglanden Opleidingscentrum;;;;;;2;;;;2
Haags Historisch Museum inz. Gevangenpoort;;;;1;;;;;;1
Haagse Beek organisatieadvies;;;;;;1;;;;1
Haddock Horeca;;;;1;;;;;;1
Hampshire Hotel;;;;;;2;;;1;2
Handelsonderneming;;;;1;;;;;;1
Han's on Interim Management;;;;;;1;;;;1
Hanting Cuisine;;;;1;;;;;;1
Happy Garden Chinese Wok Restaurant;;;;1;;;;;;1
Hartelijk gefaciliteerd (Annet Noordijk);;;;;;1;;;;1
Havana (Santé Horeca Beheer);;;;1;;;;;;1
Hay Group;;;;;;2;;;;2
HBO Raad;;;;;;2;;;;2
Headfirst;;;;;;4;;;;4
HEAE Backus (Het Coach Bureau);;;;;;1;;;;1
Healthcity Heuvelpoort;;;;;;1;;;;1
Heechsicht;;;;1;;;;;;1
Helder Werk;;;;;;1;;;;1
Heliview;;;;;;1;;;;1
Hemingway's Restaurant;;;;;;1;;;;1
Hendrikx van der Spek, Bureau voor Bedrijfscommunicatie;;;;;;1;;;;1
Henkie's Hoekie / Batelaan H.J.;;;;1;;;;;;1
Hennekes Preventie en Reintegratie;;;1;;;;;;;1
HERBERG DE KOP VAN T LAND;;;;1;;;;;;1
Herman Koetsier;;;;1;;;;;;1
Hertz Automobielen;;;;;;;;;1;1
Het Balkon;;;;;;1;;;;1
Het Echte Werkt;;;;;;1;;;;1
Het Eetcafe Ravensdonck;;;;1;;;;;;1
Het Feestbeest;;;;1;;;;;;1
Het Gevangenismuseum;;;;;;1;;;;1
Het Heden Restaurant en Tuin;;;;2;;;;;;2
Het Jagershuis Hotel-Restaurant;;;;;;;1;;;1
Het Kabinet Eten en Drinken;;;;1;;;;;;1
Het Kookplein Kookschool en Lunchrestaurant;;;;1;;;;;;1
Het Leyendak Huisartsenpraktijk;;;;;;1;;;;1
Het Muntgebouw Utrecht;;;;;;1;;;;1
Het NIC - Nederlands Inkoop Centrum;;;;;;2;;;;2
Het Oranje Kruis;;;1;;;;;;;1
Het Pageshuis;;;;;;1;;;;1
Het Pleidooi/Lancee Café-Restaurant;;;;1;;;;;;1
Het Postkantoor;;;;1;;;;;;1
Het Prentenkabinet;;;;1;;;;;;1
Het Spinnewiel Hotel-Restaurant;;;;1;;;;;;1
Het Tiende Huis;;;;;;2;;;;2
Het Wapen van Delden Hotel;;;;;;;;;1;1
Hiemstra & De Vries;;;;;;2;;;;2
High Five Health Promotion;;;2;;;;;;;2
High Tea;;;;1;;;;;;1
HistoMobil;;;;1;;;;;;1
HOEZO! Projectmanagement en Congresorganisatie;;;;;;1;;;;1
Hof der Muzen Grand Cafe (J. Kos);;;;1;;;;;;1
HofstadEvents.nl;;;;1;;;;;;1
Hofstede Landduin;;;;1;;;;;;1
Hogenkamp Klompen en Souvenirs;;;;1;;;;;;1
Hogeschool Rotterdam;;;;;;1;;;;1
Hogeschool van Amsterdam;;;;;;1;;;;1
Hogeschool van Utrecht;;;;;;2;;;;2
Hogeschool van Utrecht/Centrum Voor Communicatie & Journalistiek;;;;;;1;;;;1
HolaPress Communicatie;;;;;;1;;;;1
Holiday Inn;;;;;;1;;;1;1
Holland 4 You Relatiegeschenken;;;;1;;;;;;1
Holland Branding Group;;;;;;1;;;;1
Holland Service Koeriers;;;;;;;;;1;1
Holland Tour Guides;;;;1;;;;;;1
Hollegien Training en Advies;;;;;;3;;;;3
Hotel Contact/Worldmeetings;;;;;;;;;1;1
Hotel Corona/Calincor;;;;;;;1;;;1
HOTEL DE HOOGT;;;;;;;;;1;1
Hotel De Limbourg;;;;;;;;;1;1
