FID,omschr,kantcode,wvk_id,wvk_begdat,begafstand,endafstand,begintijd,eindtijd,fk_veld1,fk_veld4,izi_side,ibn,gdb_geomattr_data,shape
maximum_snelheden_wegvak_overdag.16,30,H,190191002,2014-11-01T00:00:00,0,435,0,0,019019100220141101,KLK0009846207,L,I,,"LINESTRING (95332 395739, 95341 395744, 95367 395749, 95467 395781, 95542 395802, 95730 395862, 95747 395869)"
maximum_snelheden_wegvak_overdag.17,30,H,190191024,2014-11-01T00:00:00,56,65,0,0,019019102420141101,KLK0009846207,L,I,,"LINESTRING (95322.54910000041 395738.05490000173, 95332 395739)"
maximum_snelheden_wegvak_overdag.19,100,H,190191024,2014-11-01T00:00:00,0,56,6,19,019019102420141101,KLK0009846212,L,I,,"LINESTRING (95267 395731, 95312 395737, 95322.54910000041 395738.05490000173)"
maximum_snelheden_wegvak_overdag.20,100,H,314387006,2014-11-01T00:00:00,0,505,6,19,031438700620141101,KLK0008638133,R,I,,"LINESTRING (157302 493830, 157316 493843, 157351 493876, 157415 493937, 157450 493969, 157456 493974, 157615 494128, 157668 494178)"
maximum_snelheden_wegvak_overdag.23,100,H,390391006,2014-11-01T00:00:00,0,79,6,19,039039100620141101,KLK0009692717,R,I,,"LINESTRING (195047.30700000003 495935.70899999887, 195063.99300000072 495969.36499999836, 195074.84699999914 495986.33100000024, 195088.90900000185 496002.7969999984)"
maximum_snelheden_wegvak_overdag.24,30,H,129165005,2014-11-01T00:00:00,0,334,0,0,012916500520141101,KLK0009792994,L,I,,"LINESTRING (64557 382675, 64669 382599, 64831 382484)"
maximum_snelheden_wegvak_overdag.25,100,H,191191019,2014-11-01T00:00:00,101,104,6,19,019119101920141101,KLK0009846211,L,I,,"LINESTRING (95841.03849999979 395905.8478000015, 95843.70600000024 395906.8929999992)"
maximum_snelheden_wegvak_overdag.26,30,H,191191019,2014-11-01T00:00:00,0,101,0,0,019119101920141101,KLK0009846207,L,I,,"LINESTRING (95747 395869, 95841.03849999979 395905.8478000015)"
maximum_snelheden_wegvak_overdag.28,100,H,315388011,2014-11-01T00:00:00,0,91,6,19,031538801120141101,KLK0008638133,R,I,,"LINESTRING (157668 494178, 157724.02100000158 494249.6330000013)"
maximum_snelheden_wegvak_overdag.30,100,H,406338025,2014-11-01T00:00:00,0,125,6,19,040633802520141101,KLK0008630677,R,I,,"LINESTRING (203341.69200000167 469190.18400000036, 203385 469205, 203446 469220, 203462 469222)"
maximum_snelheden_wegvak_overdag.32,70,H,130259023,2014-11-01T00:00:00,0,32,0,0,013025902320141101,KLK0009789779,L,I,,"LINESTRING (65491.789999999106 429670.6319999993, 65500.210999999195 429662.6799999997, 65511.32299999893 429660.563000001, 65520.0549999997 429664.13500000164)"
maximum_snelheden_wegvak_overdag.33,70,H,135261023,2014-11-01T00:00:00,0,31,0,0,013526102320141101,KLK0009789746,L,I,,"LINESTRING (67653.13500000164 430587.84600000083, 67656.57499999925 430577.79199999943, 67663.71799999848 430571.8379999995, 67674.30200000107 430569.98600000143)"
maximum_snelheden_wegvak_overdag.34,50,H,214459021,2014-11-01T00:00:00,0,27,0,0,021445902120141101,KLK0008079090,L,I,,"LINESTRING (107334.12700000033 529968.0419999994, 107334.50200000033 529961.8720000014, 107336.36800000072 529955.6539999992, 107342.16899999976 529949.425999999, 107347.48299999908 529947.2980000004)"
maximum_snelheden_wegvak_overdag.35,30,H,216301010,2014-11-01T00:00:00,0,44,0,0,021630101020141101,KLK0008693563,R,I,,"LINESTRING (108380 450526, 108389 450543, 108402.73690000176 450563.60539999977)"
maximum_snelheden_wegvak_overdag.37,100,H,216301010,2014-11-01T00:00:00,44,72,6,19,021630101020141101,KLK0008436528,R,I,,"LINESTRING (108402.73690000176 450563.60539999977, 108409 450573, 108416 450584, 108418.05200000107 450586.4620000012)"
maximum_snelheden_wegvak_overdag.38,100,H,173288031,2014-11-01T00:00:00,0,77,6,19,017328803120141101,KLK0009568020,R,I,,"LINESTRING (86844 444111, 86871.04899999872 444038.7989999987)"
maximum_snelheden_wegvak_overdag.40,30,H,195327033,2014-11-01T00:00:00,0,71,0,0,019532703320141101,KLK0009564258,L,I,,"LINESTRING (97956.07499999925 463783.7650000006, 97958.43800000101 463794.6629999988, 97995.86899999902 463841.2879999988)"
maximum_snelheden_wegvak_overdag.41,50,H,216402032,2014-11-01T00:00:00,2,51,0,0,021640203220141101,KLK0008249386,R,I,,"LINESTRING (108375.26559999958 501434.30779999867, 108379.39600000158 501444.5089999996, 108400 501477)"
maximum_snelheden_wegvak_overdag.42,70,H,216402032,2014-11-01T00:00:00,0,2,0,0,021640203220141101,KLK0008249385,R,I,,"LINESTRING (108374.5150000006 501432.4539999999, 108375.26559999958 501434.30779999867)"
maximum_snelheden_wegvak_overdag.43,80,H,294353015,2014-11-01T00:00:00,0,9,0,0,029435301520141101,KLK0008195014,R,I,,"LINESTRING (147313.05200000107 476996.5799999982, 147311.96700000018 476987.8729999997)"
maximum_snelheden_wegvak_overdag.44,130,H,413155008,2014-11-01T00:00:00,0,21,0,0,041315500820141101,KLK0008314411,R,I,,"LINESTRING (206525.42799999937 377532.42599999905, 206515.6700000018 377529.1889999993, 206508.4389999993 377521.77800000086)"
maximum_snelheden_wegvak_overdag.45,100,H,516556001,2014-11-01T00:00:00,0,205,6,19,051655600120141101,KLK0009962633,R,I,,"LINESTRING (258334 578296, 258377 578331, 258464 578398, 258471 578402, 258489 578412, 258499 578416)"
maximum_snelheden_wegvak_overdag.47,100,H,528457013,2014-11-01T00:00:00,0,493,6,19,052845701320141101,KLK0008647956,R,I,,"LINESTRING (263771.9210000001 528624.5240000002, 264263.73099999875 528593.2069999985)"
maximum_snelheden_wegvak_overdag.49,100,H,371522030,2014-11-01T00:00:00,0,162,6,19,037152203020141101,KLK0008572385,L,I,,"LINESTRING (185947 561427, 185950.9919999987 561420.0130000003, 185968.01099999994 561324.9299999997, 185978 561281, 185980.96299999952 561268.6710000001)"
maximum_snelheden_wegvak_overdag.51,100,H,372522016,2014-11-01T00:00:00,0,181,6,19,037252201620141101,KLK0008572385,L,I,,"LINESTRING (186003 561177, 186006 561165, 186048 561053, 186067.18400000036 561007.8280000016)"
maximum_snelheden_wegvak_overdag.53,100,H,397328013,2014-11-01T00:00:00,125,126,6,19,039732801320141101,KLK0008309196,L,I,,"LINESTRING (198570.53770000115 464369.7617999986, 198570.311999999 464368.75400000066)"
maximum_snelheden_wegvak_overdag.54,30,H,397328013,2014-11-01T00:00:00,0,125,0,0,039732801320141101,KLK0008309192,L,I,,"LINESTRING (198600 464491, 198592 464468, 198585.41099999845 464445.3770000003, 198578.10500000045 464403.55900000036, 198570.53770000115 464369.7617999986)"
maximum_snelheden_wegvak_overdag.56,100,H,419278034,2014-11-01T00:00:00,0,184,6,19,041927803420141101,KLK0008537950,R,I,,"LINESTRING (209805.73699999973 439272.9539999999, 209814.88199999928 439277.7899999991, 209866.8440000005 439300.03500000015, 209886.8299999982 439309.94099999964, 209928 439333, 209965.69900000095 439361.4149999991)"
maximum_snelheden_wegvak_overdag.58,30,H,203255004,2014-11-01T00:00:00,0,257,0,0,020325500420141101,KLK0008695281,R,I,,"LINESTRING (101942 427757, 101953 427742, 101961 427719, 101975 427691, 101984 427677, 102021 427627, 102041 427589, 102044 427579, 102058 427530)"
maximum_snelheden_wegvak_overdag.59,30,H,203255006,2014-11-01T00:00:00,14,150,0,0,020325500620141101,KLK0008695281,R,I,,"LINESTRING (101825.46189999953 427957.1543000005, 101898 427842)"
maximum_snelheden_wegvak_overdag.60,50,H,203255006,2014-11-01T00:00:00,0,14,0,0,020325500620141101,KLK0008640539,R,I,,"LINESTRING (101818 427969, 101825.46189999953 427957.1543000005)"
maximum_snelheden_wegvak_overdag.61,130,H,220179036,2014-11-01T00:00:00,15,74,0,0,022017903620141101,KLK0009842032,R,I,,"LINESTRING (110122.20369999856 389992.11769999936, 110110.46999999881 389957.0879999995, 110102.52699999884 389936.01099999994)"
maximum_snelheden_wegvak_overdag.62,30,H,220179036,2014-11-01T00:00:00,0,15,0,0,022017903620141101,KLK0008640920,R,I,,"LINESTRING (110126.96799999848 390006.34099999815, 110122.20369999856 389992.11769999936)"
maximum_snelheden_wegvak_overdag.63,80,H,207259055,2014-11-01T00:00:00,0,13,0,0,020725905520141101,KLK0009695565,R,I,,"LINESTRING (103908 429908, 103921 429907)"
maximum_snelheden_wegvak_overdag.64,100,H,330159011,2014-11-01T00:00:00,4,91,6,19,033015901120141101,KLK0009937847,R,I,,"LINESTRING (165239.99570000172 379535.4096000008, 165261.11300000176 379530.01900000125, 165325.78799999878 379527.6799999997)"
maximum_snelheden_wegvak_overdag.66,100,H,331159004,2014-11-01T00:00:00,0,268,6,19,033115900420141101,KLK0009937847,R,I,,"LINESTRING (165533.24399999902 379506.97300000116, 165548.58300000057 379515.40900000185, 165562.8990000002 379517.19900000095, 165662.21700000018 379517.4539999999, 165761 379518, 165799.24300000072 379517.4539999999)"
maximum_snelheden_wegvak_overdag.68,30,H,358021006,2014-11-01T00:00:00,111,139,0,0,035802100620141101,KLK0008191945,R,I,,"LINESTRING (179038.8317000009 310810.47509999946, 179037 310783)"
maximum_snelheden_wegvak_overdag.70,100,H,358021006,2014-11-01T00:00:00,0,111,6,19,035802100620141101,KLK0008191949,R,I,,"LINESTRING (179036.86400000006 310921.36199999973, 179038 310910, 179039 310887, 179040 310840, 179039 310813, 179038.8317000009 310810.47509999946)"
maximum_snelheden_wegvak_overdag.71,30,H,184336029,2014-11-01T00:00:00,0,49,0,0,018433602920141101,KLK0008483636,L,I,,"LINESTRING (92194 468077, 92234.13300000131 468104.84099999815)"
maximum_snelheden_wegvak_overdag.72,30,H,184336033,2014-11-01T00:00:00,0,17,0,0,018433603320141101,KLK0008483636,L,I,,"LINESTRING (92179.7650000006 468068.188000001, 92194 468077)"
maximum_snelheden_wegvak_overdag.73,100,H,360465005,2014-11-01T00:00:00,0,102,6,19,036046500520141101,KLK0008564050,R,I,,"LINESTRING (180083.26799999923 532936.6629999988, 180077 532998, 180080 533025, 180083 533038)"
maximum_snelheden_wegvak_overdag.75,50,H,260482024,2014-11-01T00:00:00,0,36,0,0,026048202420141101,KLK0008779130,R,I,,"LINESTRING (130351 541225, 130354 541261)"
maximum_snelheden_wegvak_overdag.76,100,H,406338009,2014-11-01T00:00:00,0,259,6,19,040633800920141101,KLK0008630677,R,I,,"LINESTRING (203494 469233, 203496 469242, 203511 469262, 203519 469267, 203588 469306, 203606 469315, 203705 469376)"
maximum_snelheden_wegvak_overdag.78,30,H,286140007,2014-11-01T00:00:00,0,211,0,0,028614000720141101,KLK0008312730,R,I,,"LINESTRING (143218 370263, 143226 370268, 143385 370354, 143404 370362)"
maximum_snelheden_wegvak_overdag.79,30,H,286140025,2014-11-01T00:00:00,0,56,0,0,028614002520141101,KLK0008312730,R,I,,"LINESTRING (143404 370362, 143412 370375, 143422 370388, 143441.13100000098 370402.9770000018)"
maximum_snelheden_wegvak_overdag.80,100,H,473545006,2014-11-01T00:00:00,0,33,6,19,047354500620141101,KLK0008570128,R,I,,"LINESTRING (236726.13500000164 572968.25, 236732.82499999925 573000.3319999985)"
maximum_snelheden_wegvak_overdag.82,100,H,473546026,2014-11-01T00:00:00,0,72,6,19,047354602620141101,KLK0008570128,R,I,,"LINESTRING (236732.82499999925 573000.3319999985, 236736 573010, 236754 573046, 236765 573065)"
maximum_snelheden_wegvak_overdag.84,80,H,249491024,2014-11-01T00:00:00,20,31,0,0,024949102420141101,KLK0008825248,R,I,,"LINESTRING (124760.60819999874 545717.0828000009, 124760.79199999943 545717.4629999995, 124760.17100000009 545728.5170000009)"
maximum_snelheden_wegvak_overdag.85,50,H,249491024,2014-11-01T00:00:00,0,20,0,0,024949102420141101,KLK0008149354,R,I,,"LINESTRING (124747.57699999958 545702.9580000006, 124756.46700000018 545708.5150000006, 124760.60819999874 545717.0828000009)"
maximum_snelheden_wegvak_overdag.86,100,H,413155007,2014-11-01T00:00:00,0,29,0,0,041315500720141101,KLK0008456356,R,I,,"LINESTRING (206510.1000000015 377508.6799999997, 206523.5399999991 377524.09699999914, 206525.42799999937 377532.42599999905)"
maximum_snelheden_wegvak_overdag.87,100,H,128165005,2014-11-01T00:00:00,0,53,6,19,012816500520141101,KLK0009792997,L,I,,"LINESTRING (64495.53799999878 382752.3299999982, 64528.39900000021 382710.9849999994)"
maximum_snelheden_wegvak_overdag.89,100,H,129164010,2014-11-01T00:00:00,35,51,6,19,012916401020141101,KLK0009792996,L,I,,"LINESTRING (64863.566100001335 382471.1763000004, 64878.73800000176 382465.2019999996)"
maximum_snelheden_wegvak_overdag.91,30,H,129164010,2014-11-01T00:00:00,0,35,0,0,012916401020141101,KLK0009792994,L,I,,"LINESTRING (64831 382484, 64863.566100001335 382471.1763000004)"
maximum_snelheden_wegvak_overdag.92,30,H,129165012,2014-11-01T00:00:00,37,46,0,0,012916501220141101,KLK0009792994,L,I,,"LINESTRING (64551.42080000043 382682.01960000023, 64557 382675)"
maximum_snelheden_wegvak_overdag.93,100,H,129165012,2014-11-01T00:00:00,0,37,6,19,012916501220141101,KLK0009792997,L,I,,"LINESTRING (64528.39900000021 382710.9849999994, 64551.42080000043 382682.01960000023)"
maximum_snelheden_wegvak_overdag.96,100,H,373378009,2014-11-01T00:00:00,0,379,6,19,037337800920141101,KLK0008569225,R,I,,"LINESTRING (186811.52800000086 489483.5780000016, 186822 489488, 186843 489495, 186957 489523, 187016 489566, 187028 489579, 187074 489648, 187098 489673, 187113.55600000173 489685.40300000086)"
maximum_snelheden_wegvak_overdag.97,30,H,417459013,2014-11-01T00:00:00,0,237,0,0,041745901320141101,KLK0008670949,L,I,,"LINESTRING (208958.6099999994 529938.7320000008, 208956 529919, 208955 529902, 208955 529886, 208956 529870, 208960 529850, 208985.8350000009 529777.0219999999, 209011.79199999943 529711.9990000017)"
maximum_snelheden_wegvak_overdag.98,30,H,418459009,2014-11-01T00:00:00,0,128,0,0,041845900920141101,KLK0008670949,L,I,,"LINESTRING (209011.79199999943 529711.9990000017, 209044.79100000113 529695.4400000013, 209055.9450000003 529668.9899999984, 209073.49799999967 529629.3559999987, 209083.84099999815 529613.7609999999)"
maximum_snelheden_wegvak_overdag.99,50,H,168316069,2014-11-01T00:00:00,0,64,0,0,016831606920141101,KLK0008534058,L,I,,"LINESTRING (84122.72300000116 458383.9050000012, 84077.89200000092 458429.34600000083)"
maximum_snelheden_wegvak_overdag.101,100,H,338141022,2014-11-01T00:00:00,0,22,6,19,033814102220141101,KLK0008191291,R,I,,"LINESTRING (169322.43200000003 370500.7329999991, 169331.2498999983 370480.5775000006)"
maximum_snelheden_wegvak_overdag.102,30,H,338141022,2014-11-01T00:00:00,22,61,0,0,033814102220141101,KLK0008191287,R,I,,"LINESTRING (169331.2498999983 370480.5775000006, 169335.39799999818 370471.09600000083, 169345.5859999992 370443.9279999994)"
maximum_snelheden_wegvak_overdag.103,50,H,169315073,2014-11-01T00:00:00,0,24,0,0,016931507320141101,KLK0008801680,L,I,,"LINESTRING (84868.4459999986 457558.3200000003, 84851.6037000008 457575.4178000018)"
maximum_snelheden_wegvak_overdag.104,70,H,169315073,2014-11-01T00:00:00,24,36,0,0,016931507320141101,KLK0008089948,L,I,,"LINESTRING (84851.6037000008 457575.4178000018, 84849.46400000155 457577.58999999985, 84843.74700000137 457583.86400000006)"
maximum_snelheden_wegvak_overdag.105,80,H,205260022,2014-11-01T00:00:00,0,14,0,0,020526002220141101,KLK0009695565,R,I,,"LINESTRING (102834 430248, 102848 430245)"
maximum_snelheden_wegvak_overdag.106,50,H,205260042,2014-11-01T00:00:00,0,33,0,0,020526004220141101,KLK0008479899,R,I,,"LINESTRING (102607.54100000113 430008.64400000125, 102641 430008)"
maximum_snelheden_wegvak_overdag.107,30,H,340274012,2014-11-01T00:00:00,0,22,0,0,034027401220141101,KLK0010232732,R,I,,"LINESTRING (170173 437185, 170194.375 437190.2010000013)"
maximum_snelheden_wegvak_overdag.108,80,H,62192034,2014-11-01T00:00:00,0,20,0,0,006219203420141101,KLK0009790319,R,I,,"LINESTRING (31396.77199999988 396473.88599999994, 31394.313999999315 396470.38699999824, 31395.515000000596 396459.25499999896, 31398.780999999493 396456.76900000125)"
maximum_snelheden_wegvak_overdag.109,30,H,400111011,2014-11-01T00:00:00,0,54,0,0,040011101120141101,KLK0009573223,R,I,,"LINESTRING (200043.1550000012 355899.7580000013, 200013.90199999884 355944.72199999914)"
maximum_snelheden_wegvak_overdag.110,80,H,62196014,2014-11-01T00:00:00,0,20,0,0,006219601420141101,KLK0009790319,R,I,,"LINESTRING (31036.28500000015 398081.7650000006, 31033.903000000864 398080.8289999999, 31029.26399999857 398068.6710000001, 31031.3759999983 398064.4200000018)"
maximum_snelheden_wegvak_overdag.111,50,H,128217019,2014-11-01T00:00:00,0,21,0,0,012821701920141101,KLK0009846933,R,I,,"LINESTRING (64338.11400000006 408653.2109999992, 64344.278999999166 408649.1429999992, 64350.107000000775 408647.94900000095, 64357.69000000134 408648.86199999973)"
maximum_snelheden_wegvak_overdag.112,70,H,220434063,2014-11-01T00:00:00,0,10,0,0,022043406320141101,KLK0008796837,R,I,,"LINESTRING (110230 517185, 110236 517193)"
maximum_snelheden_wegvak_overdag.113,100,H,401281020,2014-11-01T00:00:00,0,47,6,19,040128102020141101,KLK0008306767,R,I,,"LINESTRING (200892.28700000048 440552.90399999917, 200936.29800000042 440535.55700000003)"
maximum_snelheden_wegvak_overdag.115,70,H,131259023,2014-11-01T00:00:00,0,27,0,0,013125902320141101,KLK0009789779,L,I,,"LINESTRING (65520.0549999997 429664.13500000164, 65526.00800000131 429670.6169999987, 65527.99199999869 429679.8779999986, 65525.44099999964 429688.73999999836)"
maximum_snelheden_wegvak_overdag.116,130,H,229252073,2014-11-01T00:00:00,0,15,0,0,022925207320141101,KLK0008480127,R,I,,"LINESTRING (114850.63800000027 426140.0720000006, 114865.6400000006 426140.4600000009)"
maximum_snelheden_wegvak_overdag.117,30,H,362276032,2014-11-01T00:00:00,0,41,0,0,036227603220141101,KLK0008309038,L,I,,"LINESTRING (181131.72199999914 438404.01000000164, 181104.66600000113 438373.1959999986)"
maximum_snelheden_wegvak_overdag.119,100,H,385331012,2014-11-01T00:00:00,0,170,6,19,038533101220141101,KLK0010082669,R,I,,"LINESTRING (192816.34899999946 465695.38800000027, 192835 465681, 192898 465632, 192929 465611, 192953 465595)"
maximum_snelheden_wegvak_overdag.120,50,H,402404009,2014-11-01T00:00:00,0,38,0,0,040240400920141101,KLK0009772111,R,I,,"LINESTRING (201263 502292, 201264 502323, 201264 502330)"
maximum_snelheden_wegvak_overdag.121,50,H,402404034,2014-11-01T00:00:00,0,35,0,0,040240403420141101,KLK0009772111,R,I,,"LINESTRING (201147 502215, 201182 502217)"
maximum_snelheden_wegvak_overdag.122,70,H,195327034,2014-11-01T00:00:00,0,74,0,0,019532703420141101,KLK0009564260,L,I,,"LINESTRING (97754.48699999973 463698.05099999905, 97778.09200000018 463715.58100000024, 97796.50200000033 463725.58100000024, 97818.09299999848 463732.8539999984, 97818.9475999996 463732.9814000018)"
maximum_snelheden_wegvak_overdag.123,30,H,195327034,2014-11-01T00:00:00,211,229,0,0,019532703420141101,KLK0009564258,L,I,,"LINESTRING (97945.61820000038 463768.66849999875, 97947.38199999928 463770.83999999985, 97956.07499999925 463783.7650000006)"
maximum_snelheden_wegvak_overdag.124,50,H,195327034,2014-11-01T00:00:00,74,211,0,0,019532703420141101,KLK0009564259,L,I,,"LINESTRING (97818.9475999996 463732.9814000018, 97844.00299999863 463736.7179999985, 97868.55000000075 463738.30900000036, 97889.23200000077 463739.4450000003, 97905.82400000095 463741.26399999857, 97920.37000000104 463746.03599999845, 97934.52499999851 463755.01099999994, 97945.61820000038 463768.66849999875)"
maximum_snelheden_wegvak_overdag.125,100,H,365054020,2014-11-01T00:00:00,0,58,6,19,036505402020141101,KLK0008191765,R,I,,"LINESTRING (182850 327396, 182856.45800000057 327366.6770000011, 182848.41200000048 327339.561999999)"
maximum_snelheden_wegvak_overdag.127,30,H,389404018,2014-11-01T00:00:00,0,28,0,0,038940401820141101,KLK0009931994,L,I,,"LINESTRING (194666 502079, 194693 502073)"
maximum_snelheden_wegvak_overdag.129,100,H,390392012,2014-11-01T00:00:00,0,114,6,19,039039201220141101,KLK0009692717,R,I,,"LINESTRING (195088.90900000185 496002.7969999984, 195113 496072, 195123 496111)"
maximum_snelheden_wegvak_overdag.130,100,H,173288028,2014-11-01T00:00:00,0,36,6,19,017328802820141101,KLK0009568014,L,I,,"LINESTRING (86869.35300000012 444206.9990000017, 86869 444219, 86873.46869999915 444242.57400000095)"
maximum_snelheden_wegvak_overdag.132,50,H,173288028,2014-11-01T00:00:00,36,45,0,0,017328802820141101,KLK0009568010,L,I,,"LINESTRING (86873.46869999915 444242.57400000095, 86875.12000000104 444251.28500000015)"
maximum_snelheden_wegvak_overdag.133,100,H,173289003,2014-11-01T00:00:00,0,398,6,19,017328900320141101,KLK0009568020,R,I,,"LINESTRING (86751 444497, 86767 444425, 86791 444322, 86791 444299, 86793 444293, 86816 444205, 86832 444148, 86844 444111)"
maximum_snelheden_wegvak_overdag.135,30,H,196327010,2014-11-01T00:00:00,0,201,0,0,019632701020141101,KLK0009564258,L,I,,"LINESTRING (97995.86899999902 463841.2879999988, 98004.96499999985 463864.5879999995, 98006.94299999997 463883.6640000008, 98007.20800000057 463902.38899999857, 98086.13899999857 463980.0300000012, 98104.62999999896 464000.3979999982)"
maximum_snelheden_wegvak_overdag.136,100,H,407338011,2014-11-01T00:00:00,0,37,6,19,040733801120141101,KLK0008630677,R,I,,"LINESTRING (203705 469376, 203729 469399, 203731.6099999994 469401.1000000015)"
maximum_snelheden_wegvak_overdag.138,50,H,174308067,2014-11-01T00:00:00,0,24,0,0,017430806720141101,KLK0008534149,L,I,,"LINESTRING (87139.7490000017 454235.32400000095, 87124 454253)"
maximum_snelheden_wegvak_overdag.139,80,H,83225031,2014-11-01T00:00:00,0,40,0,0,008322503120141101,KLK0010138715,R,I,,"LINESTRING (41682.335999999195 412774.06799999997, 41673.28200000152 412767.0469999984, 41668.76199999824 412759.7010000013, 41667.631999999285 412750.09600000083, 41671.58700000122 412741.0560000017)"
maximum_snelheden_wegvak_overdag.141,100,H,395153008,2014-11-01T00:00:00,0,176,6,19,039515300820141101,KLK0008313140,R,I,,"LINESTRING (197613.91099999845 376726.4979999997, 197648 376723, 197770 376743, 197785.4759999998 376751.68400000036)"
maximum_snelheden_wegvak_overdag.143,100,H,351367011,2014-11-01T00:00:00,0,271,6,19,035136701120141101,KLK0008569159,R,I,,"LINESTRING (175798.8660000004 483857.6070000008, 175803 483857, 175893 483832, 175906 483830, 175937 483830, 175967 483836, 175980 483840, 176051 483869, 176059.52100000158 483871.19200000167)"
maximum_snelheden_wegvak_overdag.144,100,H,371522029,2014-11-01T00:00:00,0,94,6,19,037152202920141101,KLK0008572385,L,I,,"LINESTRING (185980.96299999952 561268.6710000001, 186003 561177)"
maximum_snelheden_wegvak_overdag.146,100,H,516556034,2014-11-01T00:00:00,0,99,6,19,051655603420141101,KLK0009962633,R,I,,"LINESTRING (258126.10399999842 578158.0700000003, 258138 578166, 258147 578171, 258174 578188, 258213 578204)"
maximum_snelheden_wegvak_overdag.148,100,H,96179007,2014-11-01T00:00:00,0,43,6,19,009617900720141101,KLK0009793165,L,I,,"LINESTRING (48076.29600000009 389576.8520000018, 48114.756400000304 389557.6218000017)"
maximum_snelheden_wegvak_overdag.150,30,H,96179007,2014-11-01T00:00:00,43,58,0,0,009617900720141101,KLK0009793160,L,I,,"LINESTRING (48114.756400000304 389557.6218000017, 48128 389551)"
maximum_snelheden_wegvak_overdag.151,130,H,219178025,2014-11-01T00:00:00,0,189,0,0,021917802520141101,KLK0009842032,R,I,,"LINESTRING (109860.76000000164 389363.91800000146, 109858.84699999914 389336.7490000017, 109863.58100000024 389271.26999999955, 109864.42100000009 389233.46499999985, 109861.89999999851 389202.80000000075, 109856.44000000134 389175.49599999934)"
maximum_snelheden_wegvak_overdag.152,80,H,353163033,2014-11-01T00:00:00,0,23,0,0,035316303320141101,KLK0008312960,L,I,,"LINESTRING (176575.56599999964 381666.5249999985, 176598.01099999994 381663.5689999983)"
maximum_snelheden_wegvak_overdag.153,100,H,416415018,2014-11-01T00:00:00,0,106,6,19,041641501820141101,KLK0008669097,R,I,,"LINESTRING (208347 507538, 208350 507548, 208361 507585, 208372.2190000005 507640.9059999995)"
