Rijlabels;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3160 - Uitbesteden accountancy en financi�n;4110 - Consumptieve diensten;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;5210 - Wagenpark;6110 - Aanschaf hardware;6220 - Beheer, onderhoud programmatuur & software;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7410 - Verwerven en afstoten;8110 - Vakliteratuur, abonnementen en overige informatie;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;9510 - BZ specifiek;Eindtotaal
BLOSSOM bloemisterij;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;1
BMW Den Haag B.V.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1
Bobbe International B.V.;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;5
Bodega De Posthoorn;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Boekbinderij Hudéjo/Van der Nat;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
Boekhandel Douwes;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Boertien Vergouwen Overduin B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
BoFit B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Boomerang Beach;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Borzo Kunsthandel B.V.;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1
Boterwaag Den Haag B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Brainstein B.V.;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;2
Brasserie Soho B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Brasserie-Traiteur Dungelmann B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Breakaway;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Breton Advocaten;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1
Brian Ashman Dutch Translations;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Brinkhomes Custom Campers;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;1
Brinks V.O.F.;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;1
British Council;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Budoflex;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Buena Vista Beach Club B.V.;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;1
Buitenlandse Persvereniging in Nederland;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Bureau Benninga;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Bureau G.I.T.;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Bureau Lapoutre Den Haag;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2
Bureau PDOT;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Bureau van Bijlert;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Bureau Zuidema B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2
Burn Out Poli;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Buro Brand Visuele Communicatie;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;1
BuroCocon;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Burrata Turfmarkt B.V.;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;1
Business For Development B.V.;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2
BUSINESS MONITOR INTERNATIONAL LTD BMI RESEARCH / FITCH SOLU;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;4
Cadeaubonnen.nl B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Haags Filmhuis;;;1;;;1;;;;;;;;;;;;;;;;1;;;;;;;1
Café Restaurant Rootz B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Café-Restaurant De Plantage B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Cafe Blossom;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Cafe/Restaurant De Eeuwige Jachtvelden;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;1
Can Do Academy;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Capgemini N.V.;;;;;2;;;;;;;;;;;;;;;;2;;;;;;;;2
Capilla;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Cappon Coaching & Training;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Capriole Coffee Café B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Carlton Hotel Collection;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;1
CDAC Network Limited;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Cees Advocaten N.V.;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;2
CENTAUR MEDIA;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Centraal Boekhuis B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;1
Centrum Permanente Educatie;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Centrum Quadraat;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Ceps - Centre For European Policy Studies Brussel;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
CGB Services;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Charlotte Jaartsveld Communicatie;;;;1;;;;2;;;;;;;;;;;;;;;;;;;;;2
CHE Synnervation B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;1
Chocolaterie Gelaterie De Lelie;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Chris de Bode Fotografie;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Chubb Fire & Security Twente;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;3
Ciao! Ciao! B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Cibt Brussel;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2
CIBT Netherlands;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2
Cindrillon;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1
Citylife B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Clarion Hotel Prague Old Town;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2
Cleve Dominum Beheer;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Cloose;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
CM.COM Netherlands B.V.;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;1
Coöperatie De Betekenaar UA;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;1
Coöperatief Congrestolkensecretariaat UA;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Coöperatieve Taxi Onderneming Taxi St. Job UA;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Coach to coach B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Comic House Amsterdam B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
COMPAREX Nederland B.V.;;;;;;;;;;;1;;;;;;;;5;;4;3;;;;;;;6
Compu'Train;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Condite B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Connexxion Taxi Services B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Coolblue B.V.;;;;;;;;;;;;;;;1;;;1;;;;1;;;;;;;1
Copex Air B.V.;;;;;;;;;;;;7;;;;;;;;;;2;;;;;;;7
Corporate Traveller Johannesburg;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Cortenaer B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Courtyard By Marriott Moscow;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Creatiff Grafische Producties;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;1
Croon advocaten N.V.;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1
Culpepper B.V.;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;2
CURA Preventie B.V.;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Cushman & Wakefield V.O.F.;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2
Customer Contact Company B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Customeyes B.V.;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2
Cynthiadeheer.nl;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1
Da Portare Via Amsterdam B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Dürst Britt & Mayhew;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Dagelijks Lekker B.V.;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;1
Dance Holland;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
DarkPark Delft;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Dataveem B.V.;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2
DataWeb B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1
Daxtrio B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
De Argumentenfabriek B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
De Baak B.V.;;;;;3;;;;;;;;;;;;;;;;;1;;;;;;;3
De Bootsmannen B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
De Franse Stap Culinair;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
De Gruijter Sprl Deurne;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
De Haagsche Reclamewinkel;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
De Haagse Creatieven Alliantie B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
De Haan Advocaten & Notarissen;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1
De Holland Winkel;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
De Javaanse Vlam;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
De Jonge Helden;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
De Jongens uit Schoorl;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
De Kaag V.O.F.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
De Kookfabriek Den Haag B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;1
'De Nineties';;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
de Persgroep Nederland B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
De Positioneerders;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
De Rijtuigenloods B.V.;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;3
De Roo Taxi B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
De Rotterdam B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
De Schenker B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
De Speld B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
De Staffing Groep Nederland B.V.;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;5
De Vegetarische Slager;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
De Vries Projekt Design B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
De werktuin;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Dekker & Van Velzen;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2
Dekker Zoetermeer;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Delft Dynamics Holding B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
DeLimes B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Diebels Relatiegeschenken B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Digital Action;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Digital Revolution B.V.;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
Dikscommuniceert;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Diner Thuis;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;1
Dino4 B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Direct Dutch B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Direction Briefings for Business Leaders;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2
DISC Factor B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Discountoffice.nl B.V.;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;1
Distinguished;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Divertido - koken en creëren;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
D'Javas;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Don Quijote Nederland B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Dopper;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;1
Double Healix Educational Media B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;2;;2
Double Tree By Hilton Toronto Downtown Toronto;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Down The Hatch;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Down Under BEACH B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Dreamtree Coaching;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Drs. J.S.E. Vriesema, Consultancy;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Drukkerij Lemver;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
Dubois & Co. Registeraccountants;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Dudok Den Haag B.V.;;1;;;;1;;;;;;;;;;;;;;;;;;;;1;;;1
Dunea N.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Duodecima;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Dutch Association of Corporate Treasurers;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1
Dutch PA;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2
Dutch Pinball Museum;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
DXC Technology;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;3
Easylocate;;;;;;;;;;;;;;;;;;;;;;2;;;;1;;;2
Ebbinge B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Eca International Londen;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;4
ECORYS Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2
EEN! B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
EENWERK;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
El Niño B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Elycio Talen B.V.;;;;1;4;;;;;;;;;;;;;;;;;1;;;;;;;4
Emerce B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Emergo;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
EMMA Communicatie B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Employee Performance Group B.V.;;;;;2;;;;;;;;;;;;;;;;2;;;;;;3;;4
Engelen en Partners Organisatieontwikk. B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
English Translation Service;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2
Epson Europe B.V.;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
Ergatis B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ernst & Young Accountants LLP;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2
Erstad B.V.;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2
ESB B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;1
Esencia Coaching, Training & Advies;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Eten bij Werelds;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Etikettenkoning B.V.;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
Eur. Instit. voor Certified Public Controll.;;;;;;;1;;;;;;;;;;;;;;;1;;;1;;;;1
Eurest Services B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Eurocross Assistance Netherlands B.V.;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Euroforum;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
EUROPEAN ACADEMY;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
