Leveranciers;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;1-Personele exploitatie
Accent Onderwijsondersteuning;;;;;;;1;1
Accent/ Receptieservices;;;1;;;;;1
Accor Hotel Operator;;;;;;;1;1
Accountantskantoor Geerlofs B.V.;;;1;;;;1;1
Accretio;;;;;2;;;2
Accupunctuur Ben Verbree;;;;;1;;;1
Achievements;;;;;;;1;1
Achmea (incl. Interpolis, Agis Zorg., Fbto, Centraal Beheer, Avero, Arbo Dienst, Rechtsbijstand, Schadeservice);;1;2;;1;;;2
Achterkamp Bedrijfsopleidingen;;;;;1;;;1
Ackermans Werk Advies (AWA);;;1;;;;;1
ACM Opleidingen;;;;;1;;;1
AcQ Arbo B.V.;;;;;2;;;2
ACS Auditing & Consulting Services;;;;;1;;;1
Act! Amoraal coaching & training;;;;;1;;;1
Acteursbureau Kapok;;;;1;;;1;1
Actief Events;;1;;;;;;1
Actifood;;;1;;;;;1
Active Presentation Multimedia BV;;;;;1;;;1
Ad Simonse Personeels & Organisatieadvies;;;;;1;;;1
Adecco Group (incl. Ajilon, Ajilon TTP, vh DNC);;;1;1;;;1;1
Administratieve Dienstverlening Vermeulen (ADV);;;1;;;;;1
Adrem Autoverhuur;;;;;;;1;1
Adriaan Taxi;;1;;;;;1;1
Adriaanse Van der Weel Advocaten;;;;;;;1;1
Advante Proces en Informatie;;;1;;1;;;1
AdviCo Mercuur B.V.;;;1;;;;;1
Advies- en Klachtenbur. Jeugdzorg;;;;3;;;;3
Adviesbureau De Waay B.V.;;;;;1;;;1
Adviesbureau Physical Fitness;;;;;1;;;1
Advising People & Organisation;;;1;;;;;1
Advocatenkantoor Boekel;;;1;;;;;1
Advocatenkantoor Hage;;;;;;;1;1
Advocatenkantoor Thomas van Dijk;;;2;;;;;2
Advyt (vh Amethist);;;;;1;;;1
Aegis Advocaten;;;;;;;1;1
AEON Loopbaanadvies;;;1;;;;;1
Aequo Leading People;;;;;1;;;1
AES Security Management;;;;;1;;;1
Agathos;;;;;1;;;1
AGC Gerechtsdeurwaarders & Incasso;;;;;;;1;1
Agrifirm;;;1;;;;;1
AimAtArt;;;;;1;;;1
Ai-Opener;;;;;1;;;1
Airport Medical Services Cv;;1;;;;;;1
Airpur/ Fa. Klein;;1;;;;;;1
AKL Training;;;;;1;;;1
Aktiviteitenpark De Wilgenweard;;1;;;;;;1
Al Gusto;;1;;;;;;1
Albert Heijn (incl. albert.nl);;;;;;;1;1
Albert Vermeer;;;;;;;1;1
Albron Catering;;;1;;1;1;;1
AlbumPrinter;;;1;;;;;1
Albyco;;;1;;;;;1
Alcmaria Taxi Services;;;;;;;1;1
Alcoholvrij.com;;;1;;;;;1
Aldeneyck Juridisch advies;;;;;1;;;1
Alex Aalders Bloemist;;;1;;;;;1
Alex van Groningen Corporate & Finance Training;;;;;1;;;1
Alexander Hotel;;;;;;;1;1
Alfabeta Tekst & Training;;;;;1;;;1
Alfra V.O.F.;;;1;;;;;1
Alfun Verhuur;;;;;1;;;1
Alle Tonen;;;;;1;;;1
Allen & Overy;;;;;;;1;1
Allgifts;;;;;1;;;1
Allure RFID;;;;;1;;;1
Alpha Advocaten;;;;;;;1;1
Alpha Cursus;;;;;1;;;1
Alpina van Houwening & Ijsselstijn;;;1;;;;;1
Alprovi;;1;;;;;;1
Altimate Netherlands B.V.;;;;;2;;;2
Always Green (Full Moon City);;;1;;;;;1
Amadore Hotels en Restaurants;;;;;1;;1;1
Amantis Loopbaanadvies Coaching Training;;;;;1;;;1
Amarone Restaurant;;;;;;;1;1
Amaze Escape Events;;;;;1;;;1
Amazic Source;;;;;1;;;1
Amazing Bread Company (incl. Mammomi);;;2;;2;;;2
Ambassade Hotel;;;;;1;;;1
Ambulante Fiom;;;;;1;;;1
Ambuwerk;;;;;1;;;1
Americaine Fotografie;;;;;;;1;1
American Base;;;1;;;;;1
AMI Consultancy;;;;;1;;;1
AMIS Services;;;;;2;;;2
Amrath Hotel;;;;;;;1;1
Amsterdam Airport Schiphol;;;;;1;;2;2
Amsterdam Business School;;;;;1;;1;1
Amsterdam Roest BV;;1;;;;;;1
Amsterdams Juridisch Genootschap 'Notarielevereniging';;;;;1;;;1
Anahata Personal Coaching;;;;;1;;;1
Anaquia;;;;;1;;;1
AnB advies;;;;;1;;;1
Ander Licht;;;;;1;;;1
Andersson Elffers & Felix;;;;;4;;;4
Anderzorg;;;1;;;;;1
Andrea en Andrea B.V.;;;;;3;;;3
Andrea Saes;;;1;;1;;;1
Andries Wijn & Gastronomie;;;1;;;;;1
Angela Wijers Trainingen;;;;;1;;;1
Anggrek Bloemsierkunst;;;1;;;;;1
Anker & Kompas;;;1;;1;;;1
Anne Mulder, Internet & Communication;;;1;;;;;1
Annelie Creatief Atelier;;;;;1;;;1
Annelies Hillen Coaching;;;;;1;;;1
Annelies Kraan & partners;;;;;2;;;2
ANP - Algemeen Nederlands Persbureau;;;;;1;;;1
Ansink Advocaat En Mediator;;;1;;;;;1
Antea (vh Oranjewoud, Save);;;;;1;;;1
Anton Ten Westenend;;;1;;;;;1
Aob Compaz;;;2;;1;;;2
AOG Contractonderwijs (incl. Academie voor Management);;;;;2;;;2
Apartt Rotterdam Horeca;;1;;;;;;1
APCOA Parking;;;;;;;1;1
Apetito;;;;;;;1;1
APG Algemene Pensioen Groep;;;;;;;1;1
Apollo13;;;1;;1;;;1
Apollofirst;;;;;;;1;1
Appelscha-Outdoor;;;;;1;;;1
Apply Opleidingen;;;;;1;;;1
APS Alwica Penitentiaire Shops;;;1;;;;;1
Aps Arnhem-Zuid;;;;;1;;;1
Aqua Flor Bloembinders;;;1;;;;;1
Aquabus;;;;;;;1;1
Aquarius Hotel-Restaurant;;;;;;;1;1
AR Updates B.V.;;;;;1;;;1
ARAG Rechtsbijstand;;;1;;;;;1
Aram;;;;;1;;;1
Arbeids Psychologie Amsterdam;;1;1;;;;;1
Arbeidskundig Bureau Wim Ambagts B.V.;;;1;;;;;1
Arbo Safe;;;;;1;;;1
Arbo Unie;;5;2;;1;;;6
ArboFragma;;;;;1;;;1
ArboVitale;;2;;;;;;2
Archeon Novum;;;1;;1;;;1
Ardis Management Development;;;2;;1;;;2
Ares Mental Power;;;;;2;;;2
Argos adviesonderzoek, advies en coaching;;;;;1;;;1
Aristo Holding;;;;;1;;1;1
Arjen Prins Fotografie;;;;;1;;;1
Ark Media;;;1;;;;;1
Arke;;;;;;;2;2
Arnauld Geschenken;;;1;;;;;1
Arnhems Meisje Grand Café;;;1;;;;;1
Arnhemse Borduurcentrale;;;1;;;;;1
Arns Taxi;;;;;;;1;1
Arriva Openbaar Vervoer;;;;;;;1;1
Ars Docendi (Th.L. Bellekom);;;;;;;1;1
Arslan & Ter Wee Advocaten;;;1;;;;;1
Arsvitae Arbeidspsychologie & Loopbaanadvies;;;1;;;;;1
Artihove;;;1;;;;;1
ArtXtra;;;1;;;;;1
Ascoltare communicatie & coaching;;;;;1;;;1
Ascom;;;1;;1;;;1
Asco-Sports Inc;;;1;;;;;1
Asgard Hotel;;;;;;;1;1
Ask De Chef;;;;;1;;;1
ASPA Direct;;;1;;;;;1
Aspekt;;;1;2;1;;;2
Asrom Computeropleidingen;;;;;1;;;1
Assa Abloy (incl. Crawford, Cardo, Albany, Besam, Lips);;;1;;;;;1
Asselbergs & Klinkhamer Advocaten;;;;;1;;;1
Associated Business Consultants;;;;;2;;;2
Associatie Jeugdzorg;;;;;1;;;1
Astrid Willems;;;;;1;;;1
AT Computing;;;;;1;;;1
Athene Palace Grieks Restaurant;;;1;;;;;1
Athlon Car Lease;;;;;;;1;1
Atim Adviesbureau;;;2;;2;;;2
Atlas International Movers;;;;;;;2;2
Atletiekvereniging Startbaan;;;1;;;;;1
Atos;;;;;1;;;1
ATPI Group (incl. The Advanced Travel Partner, ATP Corporate Travel, ATP Event Experts, ATP Groups & Incentives);;;;;;;2;2
Atrivision;;;;;2;;;2
AuDe;;;;;1;;;1
Auditconnect;;;;;1;;;1
Audius;;;;;1;;;1
Augusta Hotel & Restaurant;;;;;;;1;1
Auke Smits Publiciteit;;;;2;;;;2
Aura Software;;;;;1;;;1
Ausma De Jong Advocaten;;;;;;;1;1
Authentication in Art (AIA);;;;;1;;;1
Auto- en Schadebedrijf Oostpolder;;;1;;;;;1
Auto Sturm;;;;;;;2;2
Autobedrijf Snijders;;;;;;;1;1
Autop;;;1;;;;1;1
Autorent;;;;;;;1;1
Autoverhuur Assen B.V.;;;;;;;1;1
Autoverhuur Bultman;;;1;;;;;1
AutoVerhuur Lelystad;;;;;;;1;1
Autoverhuur Rijnmond;;;;;;;1;1
Autoverhuur Roelofs;;;;;;;1;1
AV Pro Licht en Geluids Verhuur;;1;;;;;;1
Avans;;;;;2;;;2
AVB Amstelveens Vertaalburo;;;1;;;;;1
Avetica;;;;;1;;1;1
Avicenna Academie voor Leiderschap;;;1;;1;;;1
Avifauna Vogelpark en HCR;;;1;;;;1;1
Avis Autoverhuur (incl. Budget rent a car);;;;;;;2;2
AVK Adviesgroep voor Kantoorinnovatie;;;;;1;;;1
AvM Mindfulness Trainingen;;;1;;;;;1
Avontuurfabriek;;1;2;;;;;2
AWVN;;;;;1;;;1
Axians;;;;;1;;;1
Azami optiek bv;;1;;;;;;1
Aziatische Bloemsierkunst;;;1;;;;;1
B en C Melissen Van Donselaar advocaten;;;;;;;1;1
B&B Haarlem;;;1;;;;;1
B&T Productions;;1;;;;;;1
B.A. Blansjaar;;;;;;;1;1
B.E.L. Spronk;;;;;;;1;1
B.F. Keulen;;;;;;;1;1
B.I. Meuwese;;;;;1;;;1
B.I.O. Bureau Individuele Ontplooiing;;;;;1;;;1
B.J.H. Bouma;;;;;;;1;1
B.J.H. van Rijn;;;;;;;1;1
B.M. Beg advocaat;;;;;;;1;1
B.W. Hopperus-Buma;;;;;;;1;1
B+B Vakmedianet;;;1;;2;;;2
BaanBaan;;;;;1;;;1
Babbels;;;1;;;;;1
Babbilage Restaurant-Brasserij;;;1;;;;1;1
Babel Taleninstituut;;;;;1;;;1
Babycompany.nl;;;1;;;;;1
Babypark Kesteren;;;;;;;1;1
BACD;;;;;1;;;1
Back Seat;;;;;;;1;1
Back2basic;;;;;1;;;1
Backshop;;1;1;;;;;1
Badhotel;;;;;;;1;1
Bagels & Beans;;;1;;;;;1
Bak Alkmaar;;;;;;;1;1
Bakker & Schnabel Training;;;;;1;;1;2
Bakker Ammerlaan;;;1;;;;;1
Bakker Derks;;;1;;;;;1
Bakker Travel;;;;;;;1;1
Bakker van Keulen;;;1;;;;;1
Bakker Wim BV;;;1;;;;;1
Bakkerij A.M.J. Verbeek;;;1;;;;;1
Bakkerij Bart;;;1;;;;;1
Bakkerij Bongaards;;;1;;;;;1
Bakkerij Bos;;1;1;;;;;1
Bakkerij Jos Rood;;;1;;;;;1
Bakkerij Kaspers;;;1;;;;;1
Bakkerij Schutte;;;1;;;;;1
Bakkerij van Gassel;;;1;;;;;1
Baklust;;;1;;;;;1
Balabanova;;;;;1;;;1
Balans & Impuls;;1;1;;2;;;2
Balansgroep Opleidingen & Consultancy;;;;;1;;;1
Bali Hotel-Restaurant;;;;;;;1;1
Balkan Grill Restaurant;;;1;;;;;1
BAMW Beroepsregister voor agogen en maatschappelijk werkers;;;1;;2;;;2
Ban Personeelsdiensten;;;1;;1;;;1
Banketbakkerij Arnold Cornelis;;;1;;;;;1
Banketbakkerij Bliek;;;1;;;;;1
Banketbakkerij Boheemen;;;1;;;;;1
Banketbakkerij Gosselaar;;;1;;;;;1
Banketbakkerij J. Smit;;;1;;;;;1
Banketbakkerij Lindeboom;;1;1;;;;;1
Banketbakkerij Maison Kelder;;1;1;;;;;1
Banketbakkerij Nijstad;;;1;;;;;1
Banketbakkerij Prins;;;1;;;;;1
Banketbakkerij Salverda;;;1;;;;;1
Banketbakkerij Stevers;;;1;;;;;1
Banketbakkerij Vlaar;;;1;;;;;1
Banning Advocaten;;;;;;;1;1
Bardot B.V.;;;;;;;1;1
Bar-Eetcafe Den Enghel;;;1;;;;;1
Barents Krans Advocaten;;;;;;;1;1
Baronie Advocaten;;;1;;;;;1
Bart Strijbosch;;;1;;;1;;1
Bart van zadelhoff;;;;;;;1;1
Bartimeus Sonneheerd;;;1;;1;;;1
BAS Bedrijfskleding B.V.;;;1;;;;;1
Basaal Restaurant;;;1;;;;;1
Bass Jump Drive-In;;;1;;;;;1
Bastion Hotels;;;;;;;1;1
Baston Service (Swingaway);;1;1;;;;;1
Battlefieldlive Nederland;;;1;;;;;1
Batus Management en Advies;;;;;1;;;1
Bavak Beveiligingsgroep;;;;;2;;;2
Bays Retail;;;;;;1;;1
BB Office & Ergonomics;;;1;;;;;1
BBN Belangenvereniging Bedrijfshulpverlening Nederland;;;;;1;;;1
BCD Travel;;;1;;;;7;7
BCN Business Centre Nederland;;;1;;1;;1;2
BDGF B.V.;;;;;;;1;1
Be Now;;;1;;;;;1
Beach Ameland (vh Peddels Outdoor Center);;1;;;;;;1
Beachclub De Karavaan;;1;;;;;;1
Beatrix Theater;;;;;1;;;1
BECCA Europe;;;;;1;;;1
Becis;;;;;1;;;1
Bedier Café;;;1;;;;;1
Bedrijfs Kleding Flevoland;;;1;;;;;1
Bedrijfsfitness Nederland;;2;3;;1;;;3
Bedrijfsfysionet;;1;;;;;;1
Bee Training & Advies;;;;;1;;;1
Beeckestijn Business School;;;;;1;;;1
Beek, D.J. Van;;;;;1;;;1
Beer Advocaten;;;;;1;;;1
Beerze Bulten BV;;;;;;;1;1
Begemann Consultancy;;;;;1;;;1
Beijk Horeca Heerenveen B.V.;;;;;1;;;1
Bekius Schoolmaterialen;;;;;1;;;1
Belangenvereninging City Tax;;;;;;;1;1
Belfleur Bloemenatelier;;;1;;;;;1
Belinda Kalkman orthopedagoog/GZ-psycholoog;;1;1;;;;;1
Beljon-Westerterp;;;1;1;2;;;2
Bella Torino Ristorante;;;1;;;;;1
Bemore you;;;;;1;;;1
Ben Mey Tweewielers;;;1;;;;;1
Ben Schoorl docent;;;;;;;1;1
Bendien Consultancy;;;;;1;;;1
Benecke Beheer B.V.;;;;;1;;;1
Benecke Consultants;;;;;1;;;1
Benecke Professional Media B.V.;;;1;1;;;;1
Benedictus Bureau;;;;;;;1;1
Benelux Association of Stable Isotope Scientists;;;;;1;;;1
Benelux Taxi Service;;;;;;;1;1
Benner Exploitatie (Kaap Hoorn, Via Vecchia);;;1;;;;;1
Benscore;;;1;;;;;1
Bente Adriaens;;;;;1;;;1
Berendsen Optiek;;1;;;;;;1
Berenschot Groep (incl. HB, KSG, Mazars Berenschot);;;1;;3;;;3
Berg Brood & Banket Service;;;1;;;;;1
Berge Henegouwen Van, S T.;;;;;;;1;1
Berger Psychologie;;1;1;;;;;1
Bergerhof Taxi Tours;;;1;;;;;1
Bergh Optiek;;1;;;;;;1
Berlage Brasserie;;;1;;;;;1
Bernard Poelman;;;1;;;;;1
Berrie en Trixxx van Hoof;;;;;1;;;1
Bert Hellinger Instituut Nederland;;;;;1;;;1
Bert Oosterhout;;;1;;;;;1
Bert van Dijk Bij Voorkeur;;;1;;;;;1
Beschermingsbewind.nl;;;;;1;;;1
Best Western Hotels;;;1;;1;;1;1
Betaald Voetbal De Graafschap B.V.;;;;;;;1;1
Beter Evenementen;;;1;;;;;1
Beter Horen;;1;;;;;;1
Beter in Fotografie;;;;;1;;;1
BeterBOB B.V.;;;;;;;1;1
Betsy De Clown;;;1;;;;;1
Betty Wijntjes Loopbaanontwikkeling;;;1;;;;;1
Betuwe Express Touringcarbedrijf;;;;;;;1;1
Between;;;1;;;;1;1
Beugeling Interim Partner B.V.;;;;;1;;;1
Beuk Touringcars;;;1;;1;;1;1
Beurshotel;;;;;;;1;1
Bever Zwerfsport;;;2;;;;;2
Bevordering Notariele Wetenschap St;;;1;;1;;;1
Bewegingscentrum Ter Apel;;;1;;;;;1
Bex Communicatie;;;;;1;;;1
Bezorgbeer/ De Beer Dordrecht;;;;;;;1;1
Bezorgservice Janko Zeijlemaker;;;;;1;;;1
BGL Partners;;;;;1;;;1
Bibliotheek Haarlem centrum;;;1;;1;;;1
Biermans Ijzerhandel;;;1;;;;;1
BigBusinessPublishers;;;;;1;;;1
Bij de Buurvrouw;;;1;;;;;1
Bij Teus;;;1;;;;;1
Bijzonder Strafrecht;;;1;;1;;;1
Bike Totaal Mastwijk Tweewielers;;;1;;1;;;1
Bilderberg Hotels;;;;;1;;2;2
Bilfinger (incl. Tebodin, Real Estate);;;;;1;;;1
BIM Media;;;;;1;;;1
BINC Mediators-Juristen;;;;;1;;;1
BING Bureau Integriteit Nederlandse Gemeenten;;;;;1;;;1
Bingh Advocaten;;;1;;;;;1
Binnenlands Bestuur;;;;;1;;;1
BIS Bedrijfs Informatie Systemen (incl. Correspondentie);;;;;1;;;1
Bisnez Management;;;;;1;;;1
bITA Center;;;;;1;;;1
Bitter en Zoet Hotel Restaurant;;;;;;;1;1
Bizz Design;;;;;1;;;1
BJU Boom Juridische Uitgevers (incl. Sun);;;1;;1;;;1
Blaauw Sombeek & Partners;;;;;1;;;1
Blijburg aan Zee;;;1;;;;;1
Bloem & Partners;;;;;;;1;1
Bloembinderij Cees van Eijck;;;1;;;;;1
Bloembinderij Geschikt;;;1;;;;;1
Bloembinderij Johnflora;;;1;;;;;1
Bloemenhuis De Narcis;;;1;;;;;1
Bloemenhuis Klimop;;;1;;;;;1
Bloemenmagazijn Aan De Zeven Alleetjes;;1;1;;;;;1
Bloemenstudio Pierrot Toolenburg;;1;1;;;;;1
Bloemsierkunst Anneke Kapteyn;;;1;;;;;1
Bloemsierkunst Artisjok;;;1;;;;;1
Bloemsierkunst de Groot;;;1;;;;;1
Bloemsierkunst Flora;;;1;;;;;1
Bloemstylist Hans Zijlstra;;;1;;;;;1
Blokker;;;1;;;;;1
Blokvoort Advocatenkantoor B.V.;;;;;1;;;1
Blom Advocaten;;;;;;;1;1
Blom Opleidingen;;;;;1;;;1
Blom Verkeersveiligheidstrainingen;;;1;;1;;;1
Blomberg Congres Instituut;;;1;;1;;;1
Blomke fan Romke;;;;;1;;;1
Blomsma Groep (incl. Print & Sign, Sign & Safety, Colorprinting, Repro);;;1;;;;;1
Blooming Hotels;;;;;1;;;1
Blooming Trainingsbureau;;;;;1;;;1
Blossom Bloemisterij;;;1;;;;;1
Blue Lagoon Grill Restaurant;;;;;;1;;1
Blue Music Alkmaar;;;1;;;;;1
BMC Groep (Advies, Verandermanagement & Coaching);;;;2;2;;;3
BMCtalent;;;;;1;;;1
BMW;;;;;;;1;1
Bo Fleur;;;1;;;;;1
Boeder Cs Gerechtsdeurwaarders;;;;;1;;;1
Boeketcadeau.nl;;;1;;;;;1
Boels Verhuur (incl. HuurMax);;;1;;;;;1
BOER DE, J F.;;;;;;;1;1
Boer Goossens Hotel-Café-Restaurant;;;1;;;;;1
Boerderij 'T Geertje;;1;;;;;;1
Boergondineren.nl;;;;;1;;;1
Boerma beheer;;;1;;;;;1
Boers Opticien;;1;;;;;;1
Boertiengroep (incl. Ncatb);;;;;4;;;4
Boetzelaer 136;;;1;;;;;1
Bogaers Taleninstituut B.V.;;;;;1;;;1
Bokstijn Feestartikelen;;;;;;1;;1
Bol.Com;;;1;;1;;;1
Bolletje Winkel;;;1;;;;;1
Bombance;;;1;;1;;;1
Bo-mij Beheer (incl. Bo-rent);;;;;;;1;1
Bonheur Horeca Groep;;;;;;;1;1
Bonhof Bloemsierkunst;;;1;;;;;1
Bontekoe Produkties;;;;;1;;;1
Boom & Bos;;;;;1;;;1
Boom en bloem;;;1;;;;;1
Boomerang Beach (vh Billabong Beach);;;1;;;;;1
Boontje;;;;;1;;;1
Boost Events;;;1;;;;;1
Bootje Varen;;;;;1;;;1
Bootjes en Broodjes;;1;;;;;;1
Bootsma de Rouwe Advocaten;;;;;;;1;1
Bora Bora Strandpaviljoen;;;1;;;;;1
Boringa & Lankester;;;;;1;;;1
Borsboom Consulting & Coaching;;;;;1;;;1
Bos & Ven / Rosep;;;;;1;;1;1
Bos Incasso;;;;;;;1;1
Bos Tuingereedschappen;;;1;;;;;1
Bos, Ontwikkeling in Organisatie;;;;;1;;;1
Bosan;;;;;1;;;1
Bosch (Robert);;;1;;;;;1
Bosch Sport Business;;;;;1;;;1
Boschhuis Hotel-Café-Restaurant;;1;;;1;;1;1
Boskamp & Willems Advocaten;;;1;;;;;1
Boswachter Liesbosch Restaurant;;;1;;;;;1
Boulevardtrain;;;1;;;;;1
Bounce;;1;2;;;;;3
Bounin Special Services;;;1;;;;4;4
Bouquetterie Fronita;;;1;;;;;1
Boutique Des Fleurs;;;1;;;;;1
Bouwmeester van Leeuwen;;;;;1;;;1
Bovo Tours;;;;;;;1;1
BOW psychologisch advies;;;2;;;;;2
Bowl & Fun Emmen;;1;;;;;;1
Bowling Scheveningen;;1;1;;;;;1
Boxem Ter Apel;;;1;;;;1;1
BPI Services;;;1;;;;;1
BPP Professional Education (incl. MVP Markus Verbeek Praehep);;;;;1;;;1
Braam Groep (incl. Trainingen, Detachering en IT vacatures);;;;;1;;1;1
Brabant Hotel;;;;;1;;;1
Brabants Dagblad;;;1;;;;;1
Brady Groupe (incl. Seton, Transposafe);;;1;;;;;1
Brain Box Mediatraining;;;1;;3;;;3
Braint;;;;;1;;;1
Bramasole;;;1;;;;;1
Brand Visie;;;;;1;;;1
Brands Advocaten;;;1;;;;;1
Brandt-Gerritsen;;;1;;;;;1
Brasserie De Boerderij;;;1;;;;;1
Brasserie Diggels (incl. Gelpenberg);;;1;;;;;1
Brasserie D'Oude Veiling;;;;;;;1;1
Brasserie l´Anders B.V.;;;1;;;;;1
Brasserie Lunchroom La Cour;;1;1;;;;1;1
Break Out Events;;;;;1;;;1
Brechtje Kessener;;;;;1;;;1
Breeland Recreatie;;;1;;;;;1
Bremer-Wegh;;;;;1;;;1
Breur Beveiligingen, Ijzerhandel;;;2;;;;;2
Brezo-Elan (shirts-bedrukken.com);;;1;;;;;1
Bright Events (incl. Uitjes & Eten);;1;;;1;;;1
Brijder Verslavingszorg;;;;;1;;;1
Brilmij Groep;;1;1;;;;;1
Brilservice;;1;;;;;;1
Brinkhuis Management & Advies;;;;;2;;;2
Brinq Training & Communicatie;;;;;1;;;1
British Language Training Centre B.;;;;;1;;;1
Britten, à table!;;;1;;;;;1
Bron Recreatiebedrijf;;;1;;;;;1
Bronsgeest Deur Advocaten;;;;;1;;;1
Brood en Banketbakkerij Besseling;;;1;;;;;1
Brooklyn Hotel;;;;;;;1;1
Brouwer Financiële Hulpverlening;;;1;;;;;1
Brouwers Tours;;;;;1;;1;1
Bruijn Advies;;;1;;;;;1
Bruinsma Verkeersopleidingen;;;;;1;;;1
Brull personenvervoer;;;;;;;1;1
Brunet Advocaten;;;2;;;;;2
BSC Verde B.V.;;;;;1;;;1
BSR Heerenveen Chiropractor;;;1;;;;;1
BSSt Baumann & Steffen Sicherheitst;;;1;;;;;1
BT Global Services (incl. Syntegra);;;2;;;;;2
BTG (incl. Telegrootgebruik (TGG), Telegrootgebruik Inkoop, Belstore);;;1;;;;;1
BTO B.V.;;;;;2;;;2
Bubamara's Schmink;;;;;;1;;1
Buckaroo Online Payment Services;;;2;;;;;2
Budget / Sternrent;;;;;;;1;1
Budget en Begeleidingsbureau Kreule;;;1;;;;;1
Budoshop TeeJooS;;;1;;;;;1
Buffet Service;;1;;;;;;1
Buggytours;;;1;;;;;1
Buiten Business (incl. Jezoektietsleuks.nl);;;1;;;;;1
Buitencentrum De Linderij;;;1;;;;;1
Buitengoed Hagenhorst;;;;;1;;1;1
Buitengoed Uylenburg;;;;;;;1;1
Buitenherberg Ter Linde;;;;;1;;;1
