;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financiën;Eindtotaal
Argo;2;;1;;;;;2
Art & Mind;;;1;;;;;1
Art 4 You Decorations;2;;;;;;;2
Arteria Consulting B.V.;;;2;;;;;2
Arthur Massoeurs Tolk Nederlandse Gebarentaal;1;;1;;;;;1
Assistis;;;3;;;;;3
ASVZ;1;;;;;;;1
Atos Nederland B.V.;;;4;;;2;;4
Augeo academy B.V.;2;;;;;;;2
AukjeSmit;;;2;;;;;2
Automotive Publishing B.V.;2;;;;;;;2
AVB Vertalingen;;;;;;1;;1
Aviste B.V.;1;;;;;;;1
AxiaZ;2;;;;;;;2
Babbage Company B.V.;2;;;;;;;2
Baker Tilly (Netherlands) N.V.;1;;;;;;;1
Battle of Concepts B.V.;2;;;;;;;2
BedrijfsID B.V.;2;;;;;;;2
Been Here;1;;;;;;;1
Beer advocaten N.V.;;;2;;;;;2
Begonia Advies;2;;;;;;;2
BENU Apotheek 't Gouden Hert B.V.;1;;;;;;;1
Berengroep B.V.;;;7;;;;;7
Berenschot Groep B.V.;;;4;;6;;;7
Bernhoven B.V.;;;2;;;;;2
Bewonersvereniging Aahof;1;;;;;;;1
Bezemer & Schubad B.V.;;;1;;;;;1
Binnenmars Advies en Bemiddeling;2;;;;;;;2
BI-zone Albert Cuyp en omgeving;;;2;;;;;2
Blauw Research B.V.;3;;;;;;;3
BMC Advies B.V.;;1;1;;;;;2
BMC Implementatie;;;2;;;;;2
Boer & Croon Corporate Finance B.V.;;;1;;;;;1
Bokhorst Communicatie;;2;;;;;;2
bol.com B.V.;;;1;;;;;1
Booij B.V.;2;;;;;;;2
Bouman Coaching & Therapie;1;;;;;;;1
Bourgonje Geluid- en Lichtservice B.V.;1;;;;;;;1
Brickq;1;;;;;;;1
Brigitte van Gool Producties & Management;1;;;;;;;1
Brink Management/Advies;2;;;;;;;2
Broekhuizen Communicatie;2;;;;;2;;2
BroekmansConsult;;;1;;;;;1
BS&F B.V.;2;;;;;;;2
Bureau Beke;3;;;;;;;3
Bureau Mozaiek;2;;;;;;;2
Bureau Obelon;;;2;;;;;2
Bureau op zolder;1;;;;;;;1
Bureauvijftig t.h.o.d.n. Bureauvijftig B.V.;2;;;;;;;2
Buro StrakZ;1;;;;;;;1
BVS Advies;;;;;;1;;1
Bzzzonder Groep B.V.;1;;;;;;;1
Capgemini Nederland B.V.;;2;;;;;;2
Carintreggeland;4;;;;;;;4
Carla Veenman Marketing Advies;1;;;;;;;1
Caroline Mobach;1;;;;;;;1
cathyvanbeek consultancy & coaching;;;4;;;;;4
Centrum voor medische zorg de Kasteellaan;;;1;;;;;1
Centrum voor Publieke Innovatie CPI B.V.;;;3;;;;;3
CGI Nederland B.V.;1;;3;;;;;3
Charles River Laboratories Den Bosch B.V.;;;2;;;;;2
CIIO B.V.;;;1;;;;;1
Cimsolutions;3;;;;;3;;4
Cinnamon Interactive B.V.;;;1;;;;;1
Clemence Ross Consultancy;;;3;;;;;3
CM.COM Netherlands B.V.;;;;;;1;;1
CMS Derks Star Busmann - Amsterdam;7;;;;;;;7
Coach in Actie;;;1;;;;;1
Colourful People B.V.;3;;;;;;;3
Common Eye B.V.;2;;;;;;;2
COMPAREX Nederland B.V.;4;;;;;2;;4
Compass Group Nederland B.V.;1;;;;;;;1
Congresbureau Friesland;3;;2;;;;;3
Conjunct;1;;2;;;;;2
ConnectTools B.V.;1;;;;;;;1
Coöperatie specialisten Jonkerbosch UA;;;1;;;;;1
Coöperatie Toegang Tilburg UA;1;;;;;;;1
Coöperatieve vereniging MEE NL UA;2;;;;;;;2
Corporate Facility Partners B.V.;2;;;;;;;2
Corvers Procurement Services B.V.;2;;;;;;;2
Courius B.V.;;;2;;;;;2
CQT Zorg & Gezondheid B.V.;;;4;;;;;4
Cramer Milieuadvies;1;;;;;;;1
Cre-Aid B.V.;2;;;;;;;2
Cream Consult, Creativiteit & Innovatie;1;;;;;;;1
Cultural Bridges;;;1;;;;;1
Curltalk;1;;;;;;;1
D & A Medical Group B.V.;3;;;;;;;3
Datapool Services B.V.;2;;;;;;;2
De Aanhef Tekst & Media;;;;2;;;;2
De Argumentenfabriek Groep B.V.;3;;;;;;;3
De Bossche Specialisten Coöperatie UA;;;1;;;;;1
De Fourniturenspecialist;1;;;;;;;1
De Harmonie;1;;;;;;;1
De Holland Winkel;1;;;;;;;1
De Jonge Specialist;;;1;;;;;1
De Regelaar;2;;;;;;;2
De Slijpsteen Samenwerking Strat. en Org.adv.;2;;;;;;;2
De Textexpert;1;;;;;;;1
De Waterreus;1;;;;;;;1
Debatexpert;1;;;;;;;1
Deloitte Accountancy & Advies B.V.;;;2;;;;;2
Deloitte Accountants B.V.;2;;;;;;3;4
Deloitte Consulting B.V.;;2;2;;;;;2
Deloitte Risk Advisory B.V.;;;;;;5;;5
Delta III Visuals & Communications;1;;;;;;;1
Dentallect B.V.;1;;;;;;;1
Desan Marktonderzoek B.V.;2;;1;;;1;;3
Di-AcetylM B.V.;;;7;;;;;7
Diemen & Van Gestel Select B.V.;;;;;;2;;2
Divosa, Land. veren. leid.gev. gemeent. dnst.;2;;;;;;;2
D'Javas;;;1;;;;;1
DM Redactie & Onderzoek;;;1;;;;;1
d-Media B.V.;1;;;;;;;1
DMM Consultancy;2;;;;;;;2
Docfactory B.V.;;;2;;;;;2
Doekle Terpstra Advies;;;1;;;;;1
DPA Legal Services B.V.;2;;;;;;;2
DPI Animation House B.V.;1;;;;;;;1
Dr. J. Buijs Internistenpraktijk B.V.;;;1;;;;;1
DSP-Groep B.V.;;;6;;;2;;6
DVJ Insights B.V.;1;;;;;;;1
ECORYS Nederland B.V.;2;;2;;;;;3
Edin B.V.;1;;;;;;;1
EdithRaap;1;;;;;;;1
EHdK B.V.;2;;;;;;;2
Eiffel B.V.;;;;;4;;;4
Elise Doll;1;;;;;;;1
Enneüs;;;2;;;;;2
Entopic B.V.;3;;;;;;;3
Epona Software Productions B.V.;1;;;;;;;1
Equalis Strategy & Modeling B.V.;;;4;;;;;4
ER;1;;;;;;;1
EricCorton;1;;;;;;;1
Erik Jansen Fotografie;1;;;;;;;1
Ernst & Young Accountants LLP;;;4;;;;;4
E-Space B.V.;2;;;;;;;2
Eva Tekstproducties;1;;;;;;;1
Eventif;1;;;;;;;1
everywhereIM;;;1;;;;;1
Evolve B.V.;2;;;;;;;2
Fabrique [merken, design & interactie];4;;;;;;;4
Face Two B.V.;2;;2;;;;;2
Facilion B.V.;2;;;;;;;2
FAECTOR;;;1;;;;;1
Fairbeads;1;;;;;;;1
FCB Dienstverlenen in Arbeidsmarktvraagstukk.;2;;;;;;;2
Federatie Medisch Specialisten;2;;;;;;;2
Ferro Explore B.V.;2;;;;;;;2
Fine Arts Productions John van Helvert;;;1;;;;;1
Firely Holding B.V.;2;;;;;;;2
Flim Projectmanagement B.V.;2;;;;;;;2
Flinke Jongen Entertainment;1;;;;;;;1
FMMU B.V.;;;4;;;;;4
Fotogeniek;1;;;;;;;1
Fotografie : Paul Voorham;1;;;;;;;1
Fotografie Jurgen Huiskes;1;;;;;;;1
Future Communication Consultants B.V.;2;;;;;;;2
Gartner Nederland B.V.;;;;;;4;;4
GeneratieThuis;;;1;;;;;1
Geodan B.V.;;;1;;;;;1
Gerechtsdeurw.kant. R.A.M. Vismans B.V.;4;;;;;;;4
Gezond Verstand ZZ;;;2;;;;;2
Giftcards B.V.;;;1;;;;;1
Gijs Wanders;1;;;;;;;1
GMI Groep B.V.;1;;2;;;;;2
Greenberry B.V.;2;;;;;;;2
Grey Valley B.V;2;;;;;;;2
Grgld;1;;;;;;;1
GroeiKracht;;;1;;;;;1
Groenendijk & Kloppenburg Advocaten;1;;;;;;;1
Groepspraktijk Lievekamp;;;1;;;;;1
GroupMapping B.V.;2;;;;;;;2
GroupStrat B.V.;;;;;;2;;2
Grow a Pair B.V.;;;;;;1;;1
Guppies in the Dark B.V.;3;;;;;;;3
Gupta Strategists B.V.;5;;;;;;;5
Gynaecologen Tjongerschans;2;;;;;;;2
H.R. Guest Fotografie;1;;;;;;;1
Haai B.V.;;;;;;1;;1
Hameeda Lakho Training Coaching en Advies;1;;;;;;;1
Hans Tak;1;;;;;;;1
HeadFirst B.V.;;;5;;;;;5
Healthcare Control B.V.;2;;;;;;;2
Henk Sijsling Advies;2;;;;;;;2
HIMSS;2;;;;;;;2
HoCoSto Holding B.V.;3;;;;;;;3
Hoeksma, Homans & Menting Organisat.adv. B.V.;;;2;;;;;2
Hogeschool Zeeland/Hogeschool Zeeland (WEB);1;;;;;;;1
Hollandse Hoogte B.V.;1;;;;;;;1
Hooftman Consultancy;3;;1;;;;;3
House of Lords B.V.;2;;;;;;;2
HowAboutYou B.V.;2;;;;;;;2
Hugo van der Steenhoven;2;;;;;;;2
Huisartsen mts. de Breet en de Breet-Coumans;1;;1;;;;;1
Huisartsen Nieuw Plettenburgh;;;1;;;;;1
Huisartsengroep Frankische Driehoek;;;1;;;;;1
Huisartsengroepspraktijk de vier kwartieren;;;1;;;;;1
Huisartsenmaatschap Hoge Vliert;;;1;;;;;1
Huisartsenpraktijk Bakel;;;1;;;;;1
Huisartsenpraktijk Boekel;;;1;;;;;1
Huisartsenpraktijk de Kroon;1;;;;;;;1
Huisartsenpraktijk de Ypelaer;;;1;;;;;1
Huisartsenpraktijk Geffen;;;1;;;;;1
Huisartsenpraktijk Gest en van der Linden;;;1;;;;;1
Huisartsenpraktijk Gruijters en Stalpers;;;1;;;;;1
Huisartsenpraktijk Jorna;;;1;;;;;1
Huisartsenpraktijk Klimmen Kuijpers-Debets;;;1;;;;;1
Huisartsenpraktijk Konijnenberg en De Hartog;;;1;;;;;1
huisartsenpraktijk Kuypers;;;1;;;;;1
Huisartsenpraktijk Maessen B.V.;;;1;;;;;1
Huisartsenpraktijk Nieuwkuijk;;;1;;;;;1
Huisartsenpraktijk Nistelrode;;;1;;;;;1
Huisartsenpraktijk Nuland;;;1;;;;;1
Huisartsenpraktijk Olthof;;;1;;;;;1
Huisartsenpraktijk T. Radstake;;;1;;;;;1
Huisartsenpraktijk Ubachs-Vogels;;;1;;;;;1
Huisartsenpraktijk Van der Maas B.V.;;;1;;;;;1
Huisartsenpraktijk Van der Vlies-Kapsenberg;;;1;;;;;1
Huisartsenpraktijk van Osch en van Kempen;;;1;;;;;1
Huisartsenpraktijk Zandstra, De Boer & Graat;;;1;;;;;1
Huisartsenzorg Pekkeriet;;;1;;;;;1
Huisartspraktijk Disseldorp;;;1;;;;;1
Huisartspraktijk Hiemstra B.V.;;;1;;;;;1
Huitsing Management & Advies;;;2;;;;;2
HUMINT Solutions Netherlands;2;;;;;;;2
HVR PA/PR;2;;2;;;;;2
I & O Research B.V.;;;3;;;;;3
I.v.O.v. Maatsch. Vraagstukken;3;;;;;;;3
ICTRecht B.V.;2;;;;;;;2
Ideeaanzee B.V.;2;;;;;;;2
Ieder-In;2;;;;;;;2
IG & H Consulting & Interim;6;;;;;;;6
Ilionx;2;;;;;;;2
Imageselect B.V.;1;;;;;;;1
In2Content B.V.;;;2;;;;;2
In60seconds;;;;;;2;;2
in60seconds B.V.;1;;;;;;;1
Inforwijzer;3;;;;;;;3
Ingrid Brons Tekst en Training;;;1;;;;;1
Inkesta B.V.;;;;;;1;;1
Innovention Change Management B.V.;2;;2;;;;;2
InsideStory;;;;;;2;;2
Instituut voor Publieke Waarden B.V.;4;;2;;;;;5
Integis B.V.;;;2;;;;2;2
International Health Terminology Standards Development Organisation;4;;;;;;;4
Internedservices;;;;;;4;;4
Intraval, Buro voor Onderzoek & Advies;;;2;;;;;2
Irma Haxe projecten & trainingen;;;1;;;;;1
ItaQ;2;;;;;;;2
Jacot Audiovisueel Rental B.V.;2;;;;;;;2
JAM visueel denken B.V.;1;;2;;;;;2
Janny van der Heijden Producties;1;;;;;;;1
jb Lorenz Ontwikkelen B.V.;3;;;;;;;3
Jellarious;3;;;;;;;3
Jeronimus van Pelt;1;;;;;;;1
Jester Strategy B.V.;3;;;;;;;3
Jeugdfocus;1;;;;;;;1
Jilles;;;;;1;;;1
Jo Bos & Co;2;;;;;;;2
Jongens van Beheer B.V.;;;;;;1;;1
Jongvws, Verenig. voor Jonge VWS-Medewerkers;2;;;;;;;2
Jort Klarenbeek;;;1;;;;;1
Juffrouw Annie;2;;;;;;;2
JustJulie;1;;;;;;;1
K for Knowledge h.o.d.n. De K van Kennis;2;;;;;;;2
Kadenza B.V.;;;;;;2;;2
KansPlus;2;;;;;;;2
Kantar Netherlands B.V.;3;;2;;;;;4
KBO-PCOB;1;;2;;;;;2
Kennisbureau ter Meulen;2;;;;;;;2
Kerkhoven, huisarts;;;1;;;;;1
Kersten & Van de Pol;1;;;;;;;1
Key Conference Support;;;1;;;;;1
Keycontrols;2;;;;;;;2
Kick Smeets Fotografie;1;;;;;;;1
Klijberg Communicatie;2;;;;;;;2
Klippa Holding B.V.;;;;;;2;;2
Knapp Advisory Services;2;;;;;;;2
KNMP Holding B.V.;;;3;;;;;3
Kon. Ned. Mij. tot Bevord. der Geneeskunst;3;;2;;;;;3
Koning Photography;1;;;;;;;1
Koninkl. Nederl. Org. van Verloskundigen;1;;;;;;;1
Koninklijke Joh. Enschedé B.V.;3;;;;;;;3
KPMG Advisory N.V.;;;7;;;2;;7
KPN B.V.;;;;;;7;;7
KPN Consulting B.V.;;;;;;1;;1
KR8LAB;3;;;;;;;3
Kracht van Beleving;2;;;;;;;2
krijn van beek;2;;;;;;;2
Kris Kras context, content and design;2;;;;;;;2
KRO-NCRV;1;;;;;;;1
Kruger Business Consultants B.V.;2;;;;;;;2
KuneVerda B.V.;3;;;;;;;3
Kwink Groep B.V.;4;;;;;;;4
LA FILLE;2;;;;;;;2
Labyrinth onderzoek & advies;;;2;;;;;2
Land. Ver. BOinK, bel.ver. v. ouders in de ko;3;;2;;;;;3
Landstede;1;;;;;;;1
Langer Door;1;;1;;;;;1
Lapidair Teksten;1;;;;;;;1
LBVD Consultancy B.V.;;;;;;1;;1
Lean Consultancy Group B.V.;1;;;;;;;1
Leaseplan Nederland N.V.;1;;;;;;;1
Ledger Leopard B.V.;;;2;;;;;2
Leidse Onderwijsinstellingen B.V.;1;;;;;;;1
Lexenzo;2;;;;;;;2
Lexicon Trainingen;1;;;;;;;1
LexisNexis Benelux;1;;;;;;;1
Leyden Academy on Vitality and Ageing B.V.;1;;;;;;;1
Likewise;2;;;;;;;2
LINKIT B.V.;4;;;;;;;4
Liza Leijenhorst;2;;;;;;;2
Lizzy de Wilde tekstschrijver;1;;;;;;;1
Logistiek Optima Forma (L.O.F.) B.V.;;;1;;;;;1
Lost Lemon B.V.;;;3;;;;;3
Luca Konrad Tolk Nederlandse Gebarentaal;1;;;;;;;1
Lydia Janssen;;;2;;;;;2
M.C.D.P. Weggeman B.V.;;2;;;;;;2
MAAN consultancy;;;2;;;2;;2
Maatsch. Huisartsenpraktijk Oonincx-Teunissen;;;1;;;;;1
Maatschap Huisartsenpraktijk Dronten Zuid;;;1;;;;;1
Maatschap voor Communicatie;2;;;;;;;2
MakeSense Amsterdam;1;;;;;;;1
MALZ B.V.;3;;;;;;;3
Marcel Uljee Teksten;1;;;;;;;1
Mare Holland B.V.;2;;;;;;;2
Marian Schouten;1;;;;;;;1
Marieke Duijsters Fotografie;1;;;;;;;1
Marilyn Donkor Productions;1;;;;;;;1
Marjanne Sint Consultancy B.V.;1;;;;;;;1
Marjon van den Broek Visagie;1;;;;;;;1
Marketresponse Nederland B.V.;1;;;;;;;1
Marleen van Amersfoort;2;;;;;;;2
Maskerclass;1;;;;;;;1
Mavention B.V.;;;;;;1;;1
Mavention Beheer en Producten B.V.;;;;;;1;;1
Medi Zorg Consultancy;;;2;;;;;2
Media Distillery Nederland B.V.;1;;;;;;;1
MediQuest B.V.;;;1;;;;;1
Medisch Centrum Dammerich;;;1;;;;;1
Meetingselect B.V.;;;2;;;;;2
Meeuw & Roos;3;;;;;;;3
MetaStory Instituut;1;;;;;;;1
Mijke Sluis Project- en Interim Management;1;;;;;;;1
Mijksenaar B.V.;;;3;;;;;3
MIND Landelijk Platform Psychische Gezondheid;2;;;;;;;2
Miranda Wesselink;3;;;;;;;3
Missing Chapter Foundation;;;2;;;;;2
Molen De Ster;1;;;;;;;1
Monika Scholten Zorgmanagement;2;;;;;;;2
Mostert Consult. Creativity/Innov. Management;;;2;;;;;2
Motivaction International B.V.;4;;2;;;;;4
Mr. W.E.H. Sloots Beheer B.V.;;;2;;;;;2
MVMZ (Maatschap voor Medezeggenschap);;3;;;1;;;3
MWM2 B.V.;2;;;;;;;2
N.V. Deventer Schouwburg;1;;;;;;;1
Naar-Keuze';2;;;;;;;2
NATIONAL HEALTH INSURANCE FUND;;;1;;;;;1
Nationale Beeldbank B.V.;1;;;;;;;1
Ned. Federatie van Univers. Medische Centra;4;;;;;;;4
Ned. Org. voor toegep.-nat.wetensch. ond. TNO;;;6;;;;;6
Nederl. Veren. voor Obstetrie en Gynaecologie;2;;;;;;;2
Nederlands Debat Instituut Holding B.V.;;;1;;;;;1
Nederlands Huisartsen Genootschap;1;;2;;;;;2
Nederlandsch Octrooibureau;;;1;;;;;1
Nederlandse School voor Openbaar Bestuur B.V.;1;;;;;;;1
Nederlandse Vereniging van Sociale Innovatie;2;;;;;;;2
Ners;1;;;;;;;1
Nestas Communicatie B.V.;2;;;;;;;2
NetSolid;;;1;;;;;1
NHvR Medische Teksten;1;;;;;;;1
Nielsen Sports Nederland B.V.;;;2;;;;;2
Nieuwsover.nl;;;1;;;;;1
No Isolation B.V.;1;;;;;;;1
Noblesse Oblige B.V.;2;;;;;;;2
NOC*NSF;;;;;1;;;1
NOS;;;;;1;;;1
Noto Services B.V.;;;2;;;;;2
Notuleerservice Nederland B.V.;1;;;;;;;1
Novasports;2;;;;;;;2
Nuffic;;;;;;1;;1
NVO, Ned. Ver. Van Pedagog. en Onderwijskund.;3;;;;;;;3
NVZ Vereniging van Ziekenhuizen;5;;;;;;;5
Nysingh Advocaten-Notarissen N.V.;;;2;;;;;2
O.W.M. DSW Zorgverzekeraar UA;4;;;;;;;4
Oasis Data & Document Management Netherlands;;;2;;;;;2
Objectief B.V.;5;;2;;;;;6
OnlyHuman Groep B.V.;4;;;;;;;4
Ontwerpbureau NEO en CO;;;1;;;;;1
Ontwerpwerk B.V.;2;;;;;;;2
Open Now B.V.;3;;;;;;;3
OPPstap Zorg & Welzijn B.V.;1;;;;;;;1
Optima Forma;;;;;;2;;2
Optima Forma B.V.;1;;;;;;;1
Ordina Beheer & Outsourcing;;;2;;;1;;2
Ordina Nederland B.V.;;;3;;;1;;3
Ordina Technologie & Competenties B.V.;;;2;;;;;2
orgb B.V.;1;;;;;;;1
OSNABRUG;1;;;;;;;1
O-Utrecht;;;2;;;;;2
Ovamus Film & Muziek;1;;;;;;;1
Panteia B.V.;4;;3;;;;;5
PatiÃ«ntenfederatie Nederland;2;;2;;;;;2
Pels Rijcken & Droogleever Fortuijn N.V.;;;;;1;;;1
Per Saldo;2;;;;;;;2
Personeelsvereniging Arcus College;1;;;;;;;1
Pharmacopoeia;;;1;;;;;1
Pharos. Stichting;;;2;;;;;2
PHB Pennekamp advies;;;1;;;;;1
Phil Nijhuis Fotografie;1;;;;;;;1
Phit B.V.;;;2;;;;;2
Picoo B.V.;2;;;;;;;2
Pitches & Presentations;1;;;;;;;1
PostNL Data Solutions B.V.;1;;;;;;;1
Pr. Máxima Centrum voor Kinderoncologie B.V.;;;;;1;;;1
Pricewaterh.Coopers Pens., Act.&Insur.Serv.BV;4;;;;;;;4
Pricewaterhousecoopers Advisory N.V.;5;;1;;;4;;5
Prinsendam 148 Consultancy;2;;;;;;;2
Prismant B.V.;;;3;;;;;3
Protinus IT B.V.;3;;1;;;;;4
Psychiatriepraktijk van Nijen;;;1;;;;;1
Publicis;7;;;;;;;7
Publiek Denken;2;;;;;;;2
Pura Vida;2;;;;;;;2
Q-Consult Personeelsvereniging;3;;;;;;;3
Quality Bookings B.V.;1;;;;;;;1
Quint;;;;;;2;;2
Quint Wellington Redwood Nederland B.V.;;;4;;;;;4
Quintensis B.V.;;;;;;2;;2
R20/Consultancy B.V.;;;;;;1;;1
RebelGroup Executives B.V.;3;;4;;;;;4
Reclamestudio Guthschmidt B.V.;1;;;;;;;1
Regioplan;;;2;;;;;2
Regioplan Beleidsonderzoek B.V.;2;;3;;;;;3
Remlicht;1;;;;;;;1
Rene Verleg Fotografie;1;;;;;;;1
Respondenten.nl B.V.;;;1;;;;;1
RIGO RESEARCH EN ADVIES BV;2;;;;;;;2
Rita van Driel;2;;;;;;;2
RoboSophica;1;;;;;;;1
ROC A12;1;;;;;;;1
Roorda Reclamebureau B.V.;7;;;;;;;7
Roos Menkhorst;;;1;;;;;1
Royal Liverpool and Broadgreen University Hospitals NHS Trust;;;1;;;;;1
Ruigrok NetPanel;;;3;;;2;;4
Rutger C. Kips;2;;;;;;;2
S.V.P. Sfeerbeheer B.V.;2;;;;;;;2
SamenMetEls B.V.;;;2;;;;;2
Scenarios 4 Summits B.V.;;;4;;;;;4
Schaal X B.V.;4;;;;;;;4
Scholings Train. en Opleid. Centrum Stoc B.V.;1;;;;;;;1
Schuttelaar & Partners, Maatsch. Comm. B.V.;3;;;;;1;;3
Scooperz;3;;;;;;;3
Seastarters B.V.;;;3;;;;;3
SeederDeBoer;;;;;;2;;2
September B.V.;;;1;;;;;1
Significant Public B.V.;7;;5;;;;;7
Significant Synergy B.V.;3;;;;;2;;3
Silent Partners;2;;;;;;;2
Sint Antonius Ziekenhuis Locatie Nieuwegein;;;1;;;;;1
Sioo B.V.;;;3;;;;;3
Sira Consulting B.V.;3;;3;;;;;4
SiRM Healthcare B.V.;;;4;;;;;4
Siss trainingen;1;;;;;;;1
Site 4 All;1;;;;;;;1
Siza;5;;;;;;;5
Sjoerd van der Hucht Fotografie;1;;;;;;;1
Smart&Able B.V.;2;;;;;;;2
Social Finance NL B.V.;2;;;;;;;2
Social Impact Factory Utrecht B.V.;;;1;;;;;1
SoftwareONE B.V.;1;;;;;;;1
Solved. Nederland B.V.;;;1;;;;;1
Sophie Hospers coaching en advies;3;;;;;;;3
Soundfocus B.V.;1;;;;;;;1
Soundlink;1;;;;;;;1
SpectraFacility B.V.;1;;;;;;;1
Spotler Nederland B.V.;1;;;;;;;1
Sprengers Advocaten;;;;;2;;;2
St.Patientenzorg Nederlands Kanker Instituut;;;4;;;;;4
Stadscafé De Observant;1;;;;;;;1
STAMET PROJECTS;2;;;;;;;2
Starsound Productions Exploitatie B.V.;1;;;;;;;1
Stepwise B.V.;1;;;;;;;1
STG ZET BRABANT;1;;1;;;;;1
Stg. Administratie Indonesische Pensioenen;;;1;;;;;1
Stg. Beh. Drd.gld. Advocatenkant. Mijnsbergen;;;;;1;;;1
Stg. Centr. voor Arbeidsverhoud. Overh.pers.;2;;;;;;;2
Stg. Chr. R.O.C. Noord- en Oost-Nederland;1;;;;;;;1
Stg. Dr. Hilda Verwey-Jonker, I.v.O. van M.V.;2;;;;;;;2
Stg. European Family Justice Center Alliance;1;;;;;;;1
Stg. Ger. Scholengrp/Pr.ond. Gomarus College;1;;;;;;;1
Stg. Instituut voor Verantw. Medicijngebruik;4;;5;;;;;5
Stg. Landel. CoÃƒÂ¶rd.centr. Reiz.advis.;3;;;;;;;3
Stg. Leger des Heils Jeugdbesch. & Reclass.;3;;;;;;;3
Stg. Med.-Ethische Toetsing Onderz. PatiÃƒÂ«nte;;;1;;;;;1
Stg. Multicultureel Netwerk Rijksambtenaren;2;;;;;;;2
Stg. Ned. Inst. v. Onderz. van de Gezondh.zrg;5;;4;;;;;6
Stg. Onderz.centr. Ketenzorg Chron. Ziekten;;;1;;;;;1
Stg. Pharos Expert.centrum Gezondheidsversch.;3;;1;;;;;4
Stg. SVH (Stg. vakbekwaamheid Horeca) 2.0;;;6;;;;;6
Stg. Trimbos-Inst., Inst. Ment. Health & Add.;;;2;;;;;2
Stg.TRIP Transf.-/transpl.react. in patiÃ«nten;;;4;;;;;4
Sticht. Beoordel. Ethiek Biomedisch Onderzoek;;;1;;;;;1
Sticht. HAS KennisTransfer en Bedr.opleid.;1;;;;;;;1
Stichting (Ont)Regel de zorg;2;;4;;;;;4
Stichting Aafje Thuiszorg Huizen Zorghotels;5;;;;;;;5
Stichting Accessibility;;;;;;1;;1
Stichting Administratiekantoor Dataland;2;;;;;;;2
Stichting Atilla;2;;;;;;;2
Stichting Atrium Den Haag;1;;;;;;;1
Stichting Basalt Film;;;2;;;;;2
Stichting bewaring archieven CASA;3;;;;;;;3
Stichting Bureau Raedelijn;;;3;;;;;3
Stichting Centerdata;;;3;;;;;3
Stichting Civil Care;1;;;;;;;1
Stichting ContourdeTwern;2;;;;;;;2
Stichting Cordaan;6;;;;;;;6
Stichting Critical Mass;;;1;;;;;1
Stichting CuraMare;5;;;;;;;5
Stichting de Zorgambassade;2;;;;;;;2
Stichting Derdengelden Nysingh Advocaten;;;1;;;;;1
Stichting Dutch Hospital Data;;;2;;;;;2
Stichting een van de jongens;;;1;;;;;1
Stichting Eten+Welzijn;2;;;;;;;2
