Leveranciers;9301 - Laboratoriumonderzoek;9302 - Laboratoriummaterialen;9303 - Laboratoriuminstrumenten;9304 - Aankoop onderzoeksmateriaal;9305 - Research & development;9600 - VWS Specifiek;9-Dienstspecifiek
ITK Diagnostics;;3;;;;;3
IVZ Informatie Voorziening Zorg;;;;;1;;1
Izore Centrum Infectieziekten;1;;;;;;1
J.H. Ritmeester BV;;2;;;;;2
JaKo;;;1;;;;1
JAS Joint Analytical Systems;;1;2;;;;2
Jeol;;;2;;;;2
Jeroen Bosch Ziekenhuis, Institute;1;;;;;;1
Jeugdhulp Friesland;;;;;1;;1
JM Separations;;2;;;;;2
Jurrie Klok Koeriers;;;;;;2;2
Kato Group;;1;;;;;1
Kema;;;;;4;;4
KiVa B.V.;;;;;3;;3
Koelairco;;;1;;;;1
Koninklijke Fabr. Posthumus (PS Groep);;1;;;;;1
KPN (incl. Getronics, PTT Telecom);;;;;;7;7
Kropman Installatietechniek;;;2;;1;;2
Kruyswijk Hulpverlening & weerbaarheid;;;;;1;;1
KTI Fridina koeltechnische installaties;;;1;;;;1
Kwink Groep;;;;;1;;1
KWR Water;;;;;3;;3
La Biosystems;;3;4;;;;4
Labelform;;1;;;;;1
Laboratorium Microbiologie/Patholog Twente Achterhoek / Oost Nederland;1;;;;;;1
Laurentius Ziekenhuis Roermond;1;;;;;1;1
LEas, projecten&interim-management P.J.W.M. Hop;;;;;1;;1
Leene Communicatie (incl. Leene.txt);;;;;1;;1
Leica Microsystems & Geosystems;;;1;;;;1
LeVel Acoustics;;;;;1;;1
Life Technologies (incl. Invitrogen, AB Applied Biosystems);;4;2;;;;4
Linde Gas (incl. Cryoservice en Therapeutics);;4;;;;;4
LIOS;;;;;1;;1
LIS Consult/H.C. De Vriend;;;;;2;;2
Lloyd's Register (incl. Cedeo);;;1;;;;1
Louis Bolk Instituut;;;;;2;;2
Lubron Waterbehandeling;;1;1;;;;1
Lunivi Beheer;;;;;1;;1
M. Schimmel Pelsdierenbedrijf;;;;2;;;2
M+P Raadgevende Ingenieurs;;;;;2;;2
Maatschap Medische Microbiologie;1;;;;;;1
Mango International B.V.;;;;;2;;2
Manutan (vh Overtoom International);;1;;1;;;1
Marcel Uljee Teksten;1;;;;;;1
Marin Maritiem Research Instituut Nederland;;;;;2;;2
Marketresponse;;;;;1;;1
Mart Microbiology;;1;1;;;;1
Martini Ziekenhuis;;;;;;1;1
Master Nederland;;1;;;;;1
MCH Medisch Centrum Haaglanden (incl. Westeinde, Antoniushove);;;;;;2;2
MCS Diagnostics;;4;2;;;;4
Meander Medisch Centrum;4;;;;;1;4
Medeco;;1;;;;;1
Media Products;;1;;;;;1
Medica Europe;;1;;;;;1
Mediost;;1;;;;;1
Mediphos Medical Supplies;;2;1;;;;2
Medisch Centrum Alkmaar;2;;;;2;;3
Medisch Centrum Leeuwarden;;;;;;1;1
Meekers Medical;;1;;;;;1
Melag Services;;;1;;;;1
Melles Griot;;1;;;;;1
Meridian Bioscience Europe;;1;;;;;1
Messer;;2;;;;;2
Metrohm Applikon;;2;1;;;;2
Mettler-Toledo;;2;3;;;;3
Microlan;;1;;;;;1
Microscope Consultancy;2;;;;2;;2
Miele;;;1;;;;1
Miltenyi Biotec;;2;;;;;2
Minerva meettechniek;;;1;;;;1
Minigrip;;2;;;;;2
Misco Nederland;;1;;;;;1
Movianto Nederland;;;;;;4;4
Movisie Fulfilment;;;;;2;;2
MSA Nederland;;;1;;;;1
MT Diagnostics;;2;;;;;2
Mts voor Communicatie;;;;;1;;1
MuniSense;;;;;2;;2
Nationaal Lucht- en Ruimtevaartlaboratorium;;;;;3;;3
Nationale Hoorstichting;;;;;2;;2
Nauta Security Storage;;;1;;;;1
Neopost (incl. Neopost Finance);;;1;;;;1
NIDSA Holding BV;;;1;;;;1
Nieuwland Advies, Opleiding, Automatisering;;;;;1;;1
Nikon Instruments Europe B.V;;1;;;;;1
Noorderpoort Centrum Vakopleiding / Stichting Voor Beroepsonderwijs, Volwasseneneducatie en Voortgezet Onderwijs;;;;;1;;1
Novaveth;;2;;;;;2
Noviprint;;1;;;;;1
Odura;;;;;1;;1
OLVG Onze Lieve Vrouwe Gasthuis;;;;;;1;1
Olympus;;;2;;;;2
Omegam;;;;;2;;2
Onderzoek Nederland Publicaties;;;;;1;;1
Oud London Catering-Hotel-Restaurant;;;;;1;;1
Oxoid;;3;;;;;3
P.A. van Miltenburg & Zn Aannemingsbedrijf;;;1;;;;1
Pall Europe;;;2;;;;2
Palux Service Center;;;1;;;;1
PamGene International BV;;;;;1;;1
Parker Hannifin;;1;1;;;;1
Pelican Rouge (vh Autobar Holland, Cafe Bar);;;2;;;;2
Pepscan Presto BV;;1;;;;;1
Percuros BV;;;;;1;;1
Perkinelmer Nederland;;5;5;;;;6
Peter Smit Communicatiestrategie bv;;;;;1;;1
Phenomenex;;1;;;;;1
Philips Electronics Nederland;;1;;;;;1
Pi Research;;;;;1;;1
Pimzos;;1;;;;;1
Planetenbaan Apotheek;;1;;;;;1
Plant Research International;;;;;4;;4
Poly Temp Scientific;;1;4;;;;4
Poolster Koeltechniek;;;1;;;;1
PQR;;;;;1;;1
PreMeo Thuisvaccinatie;;;;;2;;2
Procyon Networks;;;;;1;;1
Prolyse;;1;1;;;;1
Promega Benelux;;2;;;;;2
Promis Electro Optics;;1;1;;;;1
Prosense;;1;;;;;1
Protinus It;;1;;;;;1
Qiagen Benelux;;4;;;;;4
Qlip;;;;;1;;1
QRS Healthcare;;1;;;;;1
Rae Benelux;;1;1;;;;1
RDOG Hollands Midden;;;;;3;;3
Regel Partners;;;1;;;;1
Rekel Producties;;;;;2;;2
Research Diet Services;;1;;1;;;1
RiaggZuid;;;;;1;;1
Rigo Research en Advies;;;;;3;;3
ROC van Twente;;;;;2;;2
Roche Diagnostics Nederland;;4;4;;;2;5
Rog Psychologiepraktijk;;;;;;1;1
Rogier Bosman Chemie;;;;1;;;1
Rogier Brink Communicatie;;;;;1;;1
Rovers Medical Devices;;1;;;;;1
Royal Haskoning DHV (incl. Koninklijke Haskoning, Royal Haskoning, Corsmit, DHV);;;;;2;;2
RPS Advies- en Ingenieursbureau (incl. Analyse, Bcc);3;;;;3;;4
RS Components;;1;;;;;1
Ruigrok/Netpanel;;;;;1;;1
RuimteFocus;;;;;2;;2
Rutgers WPF;;;;;4;;4
Salm en Kipp;;2;2;1;;;2
Saltro Diagnostic and Medical;5;;;;2;;5
Sanbio;;2;;;;;2
Sanitas Water;;;;;1;;1
Sanofi Pasteur;;;;;;8;8
Sarstedt;;1;;;;;1
Schneider Electric (incl. MGE UPS Systems);;;1;;;;1
Schuttelaar & Partners;;;;;2;;2
Seeburger Benelux;;;1;;;;1
Sentron Europe;;1;;;;;1
Separations Analytical Instruments;;1;1;;;;1
Shimadzu Benelux;;1;2;;;;2
Siemens Nederland;;2;1;;;;2
Sigma-Aldrich;;3;;;;;3
Sijnesael Advies;;;;;2;;2
Silve;;;;;2;;2
Sint Elisabeth Ziekenhuis;7;;;;;;7
Sint Lucas Andreas Ziekenhuis;;;;;;2;2
Sintec;;;2;;;;2
Sitech Site Services;;;;;2;;2
Slachtplaats ''''Oud-Rijssenburg'''' van Yperen en zn.;;1;;;;;1
Smeba Brandbeveiliging;;;1;;;;1
Smeva Service;;;1;;;;1
SOA Aids Nederland;;;;;3;;3
Sopachem;;1;;;;;1
Sotto le Stelle;;;;;1;;1
Spaarne Ziekenhuis;;;;;4;;4
Spectrum Europe BV;;3;1;;;;3
Stago BNL (incl. Kordia Science For Life);;1;1;;;;1
Stap (Stichting Alcoholpreventie);;;;;2;;2
Starlet;1;;;;;;1
Steril Medical Technics;;;1;;;;1
Stichting Bronovo-Nebo;;;;;;1;1
Stichting Crisislab;;;;;1;;1
Stichting Hiv Monitoring Foundation;;;;;5;;5
Stichting IRun2BFit;;;;;1;;1
Stichting Kanjertraining;;;;;2;;2
Stichting Miletus;;;;;2;;2
Stichting Opleidingen Sfeerkeepers;;;;;2;;2
Stichting Ravon;;;;;2;;2
Stichting Reactif;;;;;1;;1
Stichting Star-MDC Medisch Diagnostisch Centrum;4;;;;;1;4
Stichting Verslavingszorg Noord Nederland;;;;;1;;1
Stimezo/Rutgers;;;;;;1;1
Stratec Services;;1;2;;;;2
Stratumse Apotheek;;;;;;1;1
Stroomt interactions;;;;;1;;1
Studio2 Communications;;;1;;;;1
Surfmarket (vh surfdiensten);;1;;;;;1
Swagelok Nederland Sales & Serv.;;1;;;;;1
Synergy Health (incl. Lips Gezondheidszorg, Textielservice);;;;;;1;1
Sysmex (vh Goffin Meyvis);;;1;;6;;6
T Service;;1;;;;;1
Taks;;;;;2;;2
Tauw;4;;;;2;;4
TEBU-BIO;;1;;;;;1
Tecan Benelux;;;1;;;;1
Technische Unie;;1;1;;;;1
Technologiestichting STW;;;;;2;;2
Technolution;;;;;3;;3
Tecnilab-BMI;;2;2;3;;;4
Telstar Laboratory Equipment (vh PMV Particle Measurement & Validation, Clean Air Techniek, ilShin);;2;5;;;;5
Tergooi Ziekenhuizen Hilversum;3;;;;;;3
Thermo Fisher Scientific (incl. Fisher Emergo, Fermentas);;2;3;;;;3
TNO Triskelion;;;;;3;;3
Tomas Schats;;;;;1;;1
Topa Verpakking;;1;;;;;1
Toyota (incl. Louwman);;;1;;;;1
Trade Med;;1;;;;;1
Tradinco Instrumenten-Apparaten;;;1;;;;1
Triplemass;;1;2;;;;2
Triptic;;;;;2;;2
Tritium Microbiologie;;2;;;;;2
Tromp Medical;;1;;;;;1
TSH Benelux;;;1;;;;1
U-Cytech;;2;;;;;2
Uitgetypt.nl (inc transcript.nl);;;;;1;;1
UNO Roestvaststaal B.V.;;2;;;;;2
Urenco Nederland;1;;;;;;1
V&Vn Beroepsvereniging van Zorgprofessionals;;;;;1;;1
Van Beek SPF Varkens;;1;;;;;1
Van Der Voort Amsterdam Lucht & Milieu;;2;1;2;;;3
Van 't Net;;;;;1;;1
VanMensConsultancy;;;;;2;;2
VCK Groep, Travel & Logistics;;1;;;;;1
VDW Coolsystems;;;1;;;;1
VE Van Egmond Systems;;1;;;;;1
VeiligheidNL (vh Stg Consument en Veiligheid);;;;;2;;2
Veip Disinfectants;;1;;1;;;1
Vektis;;;;;2;;2
Verspoor Advies;;;;;1;;1
Veteffect Consultancy & Recruiting;;;;;2;;2
Veugen High Care BV;;;1;;;;1
Vinitex Laboratoriuminrichtingen;;;1;;;;1
ViroClinics Biosciences;1;;;1;2;;2
VSL (vh NMi van Swinden Laboratorium);;1;1;;;;1
VTN Veiligheidstechniek Nederland;;1;1;;;;2
Warmtebouw Utrecht;;;1;;;;1
Wassingmaat;;;1;;;;1
Waterland Ziekenhuis;2;;;;;2;2
Waters Chromatography;;1;2;;;;2
Watson Marlow;;2;;;;;2
Westburg;;2;1;;;;2
Westfries Gasthuis;;;;;;1;1
White Queen;;;;;4;;4
Wilten Instrumenten;;;1;;;;1
Wim's Dierenspeciaalzaak;;;;1;;;1
Wing Process Consultancy;;;;;1;;1
Wittich & Visser;;1;;;;;1
Worksphere - Stork en Strukton;;;1;;;;1
World Courier Holland;;1;;;;;1
WSV Kunststoffen;;1;;;;;1
WTS Benelux;;;1;;;;1
Wulverhorst;;1;1;;;;1
Xerox;;;1;;;;1
Zaans Medisch Centrum;3;;;;;1;3
Zetes;;1;;;;;1
Z-Index;;;;;;1;1
Zirbus Technology Benelux;;1;;;;;1
Zorgsaam Zeeuws-Vlaanderen;1;;;;;;1
Eindtotaal;8;8;7;4;8;11;11
