Leveranciers;4000 Diensten en middelen overig;4110 Consumptieve diensten;4120 Risicobeheersen;4130 Schoonmaak;4210 Post-, koeriers- en transportdiensten;4310 Documentmanagement;4410 Afvalzorgmanagement;4510 Inrichting van gebouwen;4610 Benodigdheden en hulpmiddelen;4710 Bankdiensten;4-Diensten en middelen
ECI Horeca;;;;;;;;;1;;1
Ecom instruments;;;;;;;;;1;;1
Economic Business weeks Tilburg;;;;;;;;;1;;1
Ecu '92 Economie Combinatie Utrecht;;;;;;;;;1;;1
Eden Springs;;1;;;;;;;;;1
EERENBERG ROB;;;;;;;;;1;;1
Eetcafé Het Nieuws van Apeldoorn;;1;;;;;;;;;1
Eijck van Takel en Berging;;;;;;;;;1;;1
El centro de la Salsa;;1;;;;;;;;;1
Embregts Kassen BV;;;;;;;;;1;;1
Emigratiebeurs;;;;;;;;;1;;1
Emma Communicatie;;;;;;;;;2;;2
Equens (vh Interpay);;;;;;;;;;4;4
Equipe Quality Products (incl. Health2Work);;;;;;;;;1;;1
Erasmus Universiteit/Risbo;;;;;;;;;;1;1
Ergo2Work (Dutchrebels Holding);;;;;;;;1;;;1
Erik Hartman Communicatie;;;;;;;;;;1;1
Erwin Wieringa;;;;;;;;;1;;1
Escape Mobility Company (vh H. van Leeuwen, van Leeuwen Companies, CURA Safety Solutions);;;;;;;;1;;;1
Ese (incl. Otto Gebr);;;;;;;1;;;;1
Essensor;;;;;;;;1;;;1
ESTOURGIE F.;;;;;;;;;1;;1
ESV Economische Studenten Ver;;;;;;;;;1;;1
Euro Advies;;;;;;;;;2;1;2
Euro-Index;;;;;;;;;1;;1
Euser Transport;;;;;1;;;;;;1
Evac Safety Products;;;1;;;;;;;;1
EW-EHBO;;;;;;;;;1;;1
Expert Shops Nederland;;;;;;;;;1;;1
Expo Display Service;;;;;;;;;1;;1
Ezwim Services BV;;;;;;;;;1;1;1
F. Schrijver Orthopedische Schoentechniek;;;;;;;;;1;;1
Faber Vlaggen (vh Shipmate);;;;;;;;;1;;1
Facilicom Facility Solutions;;1;;;;;;;2;;2
Fair Groep;;;7;;;;;;;;7
Faktor 50;;;;;;;;;1;;1
Falck Group;;;3;;;;;;;;3
FAZANTENBOS BV;;1;;;;;;;;;1
Financieele Dagblad;;;;;;1;;;;;1
Firmament;;;;;;;;;1;;1
First Class Catering & Verhuur;;1;;;;;;;;;1
First Maastricht;;;;;;;;;1;;1
First Service Business Events;;;2;;;;;;;1;2
Fiscaal Rechtelijk Dispuut PNO;;;;;;;;;1;;1
Flash Services Nederland;;;1;;;;;;;;1
FLEVONICE;;;;;;;;;1;;1
Flexwebhosting;;;;;;;;;1;;1
FLOKSTRA;;;;;;;;;1;;1
FLOORZ;;;;;;;;;1;;1
Fofic;;;;;;;;;2;;2
Foto Anno Bakker;;;;;;;;1;;;1
Fox-IT, Crypto;;;;;;;;;;1;1
Frama Nederland;;;;;1;;;;1;;1
Frame;;;;;;;;1;;;1
Framo Sport Medische Groothandel;;;;;;;;;1;;1
FSDC Fiscaal Studie en Documentatiecentrum;;;;;;;;;2;1;2
FSV in Fiscalibus;;;;;;;;;1;;1
G4S Beveiliging (incl. Group 4, Securicor, Falck, Hacousto, Ricas);2;;1;;;;;;;;2
GBNED Onderzoekbureau;;;;;;;;;1;;1
GDS Europe;;;;;;;;;1;;1
Gebr. Vermeer Transport;;;;;1;;;;;;1
Gelderse Vlaggenhandel;;;;;;;;;1;;1
Genootschap voor Informatie Archite;;;;;;;;;1;;1
Geonovum;;;;;;;;;2;;2
George Pisa en Zn Tailleurs;;;;;;;;;1;;1
Gerecht Grand Cafe;;1;;;;;;;;;1
Gerson Kantoorspecialisten;;;;;;;;;1;;1
GEWELDBEHEERSING;;;;;;;;;1;;1
Gielissen;;;;;;;;;1;;1
Gijsbers Bedrijven Tilburg;;;;;;;;;1;;1
Gispen International;;;;;;;;5;;;5
Glimworm IT;;;;;;;;;1;;1
GOM Schoonhouden;;1;;1;;;;1;;;1
Goudreinet Vuren;;1;;;;;;;;;1
Greenz;;1;;;;;;;;;1
Groenendijk Bedrijfsschoenen en kleding;;;1;;;;;1;2;;2
Groningen Airport Eelde;;;1;;;;;;;;1
Groninger Fiscale Eenheid;;;;;;;;;1;;1
Groothuis Cafe Eetcafe;;1;;;;;;;;;1
GSA Facilitaire Diensten;;;;1;1;;;;;;1
Gumbo Millennium;;;;;;;;;1;;1
Gunnebo;;;;;;;;;1;;1
GX Creative Online Development B.V.;;;;;;;;;2;;2
Haagen Rookgeneratoren;;;1;;;;;;;;1
Hafele Nederland;;;;;;;;;1;;1
Hagisto Systemen;;;;;;;;3;;;3
Hamer Slijterij-Wijnkoperij;;;;;;;;;1;;1
Hamstra Berging;;;;;;;;;1;;1
Handelsonderneming Joh Steenkist;;;;;;;;;1;;1
Handelsonderneming Tonnie Vugts;;;;;;;;;1;;1
Haneu;;;;;;;;;1;;1
Harrems Tools;;;;;;;;1;;;1
HARRIE PARIDAANS BROOD & BANKET-;;1;;;;;;;;;1
Hartech Meet- & Testapparatuur;;;;;;;;;1;;1
Hartwig Instruments;;;;;;;;;1;;1
Haulo Berging;;;;;;;;;1;;1
Hazenberg Drukkerij;;;;;;4;;;;;4
Heartmax Benelux;;;;;;;;;1;;1
Hectas Bedrijfsdiensten;;;;8;;;;;;;8
Heijmans (incl. NMM, Burgers Ergon, Breijn, Utiliteitsbouw, Civiel, ...);;;2;;;;;;;;2
Helms Milieutechniek;;;;;;;;;1;;1
HEMMEN van;;;;;;;;;1;;1
Henk Maas Weegschalen;;;;;;;;;1;;1
Heras Security Systems;;;1;;;;;1;;;1
Het Blommeke;;;;;;;;;1;;1
Het NIC - Nederlands Inkoop Centrum;;;;1;;;;;;1;1
Het Oranje Kruis;;;1;;;;;;;;1
Het Wijnhuis Grand Café;;1;;;;;;;;;1
Hettich Benelux;;;;;;;;;1;;1
Hobeka;;;;;;;;;1;;1
Hobrand Brandweermaterialen;;;1;;;;;;;;1
Hoffmann Bedrijfsuitrusting;;;;;;;;;1;;1
Hofland Groothandel;;;;;;;;1;;;1
Hofma Foto;;;;;;;;;1;;1
Holland Brochure Services BV;;;;;;;;;1;;1
Holland Vlaggen;;;;;;;;1;;;1
Hollander Techniek;;;2;;;;;;;;2
Honac Nederland;;;;;;;;;1;;1
Honeywell;;;5;;;;;;;;5
Hoogeveen Yachting B.V.;;;;;;;;2;;;2
HooVos Brandbeveiliging;;;1;;;;;;;;1
Horeca Exploitatie Maatschappij Utrecht;;1;;;;;;;;;1
Horecagrootkeukenshop.nl;;;;;;;;;1;;1
Hotel Villa Ruimzicht;;1;;;;;;;;;1
Hout & De Wolf;;;;;;;;;1;;1
Houterman Autosleepdienst in Lent;;;;;;;;;1;;1
HSE Faktor;;;;;;;;;1;;1
IBAN BIC SERVICE NL;;;;;;;;;;1;1
Icon Protect;;;;;;;;;2;;2
ID Ware International;;;;;;;;;1;;1
IDTechnology BV;;;;;;;;;1;;1
IERSEL EMZ BART VAN;;1;;;;;;;;;1
Igo Post Internationale Geschenken Organisatie;;;;;;;;;1;;1
IHC Merwede (incl. Hytop, Hytech, Sealing Solution, Beaver dredgers);;;;;;;;;3;;3
IMK Instituut voor het Midden- en Kleinbedrijf;;;;;;;;;1;;1
Imtech (incl. Radio Holland, Bostec);;;3;;;;;1;;1;3
Inbraakpreventie;;;;;;;;;1;;1
Incendio;;;1;;;;;;;;1
Inframatica Consultants;;;;;;;;;;1;1
ING Bank;;;;;;;;;1;7;7
Inklinks;;;;;;;;;1;;1
INNOVATA;;;;;;1;;;;;1
Innovero Software Solutions (incl. FormDesk);;;;;;;;;1;;1
Inofec Kantoormeubelen;;;;;;;;1;;;1
Inotec Barcode Security;;;;;;;;;1;;1
Intelligence Group;;;;;;;;;2;;2
Inter-Actief;;;;;;;;;1;;1
Interim Direct/Van der Wijst personenvervoer;;;;;1;;;;;;1
Interpromo;;;;;;;;;1;;1
Intronics;;;;;;;;;1;;1
Intrum Justitia;;;;;;;;;;1;1
IPC Israel Producten Centrum Mineral Care (incl. Crystal Impressions);;;;;;;;;1;;1
Ipsos (incl. Synovate);;;;;;;;;3;;3
IS Interned Services Groep;;;;;;;;;1;;1
ISS Computers;;;;;;;;;1;;1
ISS Holding;;;;3;;;;;;;3
ISS Holding/Security;;;7;;;;;;;;7
Issis;;;;;;;;;1;;1
iWelcome;;;;;;;;;;1;1
Jachthaven Kortenhoef;;1;;;;;;;;;1
Jachthuis Leimuiden;;;;;;;;;1;;1
Jacobs Verhuizingen;;;;;1;;;;;;1
Jager Aannemersbedrijf;;;;1;;;;1;;;1
Jan Ravestijn;;;;;;;;1;;;1
Jan van Breda;;1;;;;;;;;;1
JAVO Bedrijfshulpverlening;;;;;;;;;1;;1
JBM Koeriers;;;;;6;;;;;;6
JDAK B.V.;;;;;;;;;1;;1
JEVE VERPAKKINGEN;;;;;;;;;2;;2
Joh. Enschedé Stamps;;;;;;7;;;;;7
Jong Europe;;;;;;;;;2;;2
Jos Ten Berg Handelsmaatschappij;;;;;;;;2;;;2
Jump-O-lux (incl. Jolfix);;;;;;;;;1;;1
Jungheinrich Nederland;;;;;;;;;1;;1
Kaak Event Rent Groenlo;;;;;;;;;1;;1
Kabeldirect;;;;;;;;;1;;1
Kadaster (incl. de Grift);;;;;;;;;1;;1
Kade 87;;1;;;;;;;;;1
Kantoorvakhandel H. van der Heijde;;;;;;;;;1;;1
Kardex Systemen;;;;;;;;4;;;4
Kato Group;;;;;;;;;1;;1
KAV Autoverhuur;;;;;;;;;1;;1
KBenP (Koenen, Baak en Partners);;1;;;;;;;;;1
Kees VOF;;;;;;;;;1;;1
Keesing Reference Systems;;;;;;;;;1;;1
Keet F.G.M.;;;;;;;;;1;;1
Keizer & van Straten BV.;;;;;;;;;1;;1
Kemkers, de echte Groenteman;;1;;;;;;;;;1
Kerkvoorde Catering Wolvega;;1;;;;;;;;;1
King Arthur Groep;;1;;;;;;;;;1
KIT- IMC Koninklijk Instituut Voor De Tropen - Intercultural Professionals;;;;;;;;;1;;1
KNIPOOG P.V.;;;;;;;;;1;;1
Knol's Koek;;1;;;;;;;;;1
Kodak Nederland;;;;;;;;;1;;1
Kolibri Labels;;;;;;;;;1;;1
KommaGo (incl. Netwekshop.nl, Portofoon.nl, Headset.nl, Vergadertelefonie.nl, Routershop.nl, Wifishop.nl);;;1;;;;;;;;1
Koninklijke Ahrend (incl. Ahrend Inrichtingen);;;;;;;;8;;;8
Koninklijke Bdu Uitgeverij;;;;;;;;;1;;1
Koninklijke Begeer (incl. W. van Veluw);;;;;;;;;1;;1
Koninklijke De Swart;;;;;;;;;2;;2
Koninklijke Fabr. Posthumus (PS Groep);;;;;;;;;2;;2
Koninklijke van der Most;;;;;;7;;;1;;7
Kooijman Takel & Berging;;;;;;;;;1;;1
Kooning Schiphol;;;;;;;;;1;;1
Kop Beveiliging;;;3;;;;;;;;3
Korst van der Hoeff veilingen;;;;;;;;;1;;1
Kort Pack;;;;;;;;;1;;1
KPN (incl. Getronics, PTT Telecom);;;2;;;;;;1;;2
Kraal International Berging & Transport;;;;;1;;;;1;;1
KROL KONSULT;;;;;;;;;;1;1
Kroon;;;;;;;;;1;;1
Kruithof Medisch Adviesbureau;;;;;;;;;1;;1
Kruizinga;;;;;1;;;;;;1
KSB Repro;;;;;;1;;;2;;2
Kuiper de internationale verhuizer;;;;;;;;;1;;1
Kusters Facilities;;;;;1;;8;;;;8
L.P.E. Mulder;;;;;;;;;1;;1
La Cubanita;;1;;;;;;;;;1
Laarhoven Design;;;;;;;;;2;;2
Lagerweij & Partners;;;;;;;;;1;;1
Lameijer-Exon;;;;1;;;;;;;1
LAMERS FIRMA;;;;;;;;;1;;1
Lancker Wolters Beveiliging&ICT;;;1;;;;;;;;1
Las Fiestas Del Mundo;;1;;;;;;;;;1
Le Bistroquet;;1;;;;;;;;;1
Leaseweb;;;;;;;;;1;;1
Leeuwendaal Advies;;;;;;;;;2;;2
Leo Van Devavidhya;;;;;;;;;1;;1
Leonardus Hospice;;;;;;;;;1;;1
LIFT Limburgs Interim Functievervullingstrajecten;;;;;;;;;1;;1
Lijnco Speciaaldrukkerij Groningen;;;;;;6;;;;;6
Limon Spaans Restaurant ;;1;;;;;;;;;1
Logeion Vereniging Voor Communicatie;;;;;;;;;1;;1
Logicx (incl. Berging, Mobiliteit, Brugel);;;;;6;;;;;;6
Loodgietersbedrijf Kees van Dooren;;;;;;;;;1;;1
Looijenga Bankkerij Chocolaterie;;1;;;;;;;;;1
Lopharm;;;;;;;;;1;;1
Lotusstudiekring Vereniging;;;2;;;;;;;;2
LPD Plaagdierenbestrijding;;;;1;;;;;;;1
Lubbers Bakkerij;;1;;;;;;;;;1
Lübeck Grand Café Exploitatie;;1;;;;;;;;;1
Luchthaven Maastricht;;;;;;;;;;1;1
Lumidee Headset Company;;;;;;;;;2;;2
Lust Cafe (Bisjamon);;1;;;;;;;;;1
LVR Snackwagen;;1;;;;;;;;;1
Lyreco Nederland (vh Ahrend Office Products);;1;;1;;;;1;4;;4
M.W. Wentzel;;;;;;;;;;1;1
M2C Telecom BV;;;;;;;;;1;;1
Maaltijdenwinkel & Catering;;1;;;;;;;;;1
Maas Internationaal - Koffieautomaten;;7;;;;;;;;;7
Maesstede Catering;;1;;;;;;;;;1
MAGNIN & SCHIPPER BV.;;;;;;;;;1;;1
Mainpress (incl. Computerboek.nl, Managementboek.nl, Jongbloed);;;;;;1;;;;;1
Malakka Chinees-Indisch Specialiteiten Restaurant;;1;;;;;;;;;1
Mammut Sports Group Benelux;;;;;;;;;1;;1
Mansveld;;;;;;;;;1;;1
