x;y;Locatienaam;Organisatie;Straat;Nummer;Letter;Toevoeging;Adres;Postcode;Woonplaats;PCPlaats;Wijknaam;Buurtnaam;Domein;Hoofdfunctie;Functie;Kaart;Doelgroep;Telefoon;Email;Website1;Website2;Toegankelijkheid
135225;457101;Wijkservicecentrum Noordwest;;Amsterdamsestraatweg;283;;;Amsterdamsestraatweg 283;3551 CE;Utrecht;3551 CE Utrecht;Noordwest;2e Daalsebuurt e.o.;Welzijn;Wijkbureau en wijkservicecentrum;;Wijkbureau en wijkservicecentrum;Bewoners, ondernemers;030-2860000;noordwest@utrecht.nl;http://www.utrecht.nl/wijk-noordwest/wijkservicecentrum/;;http://www.toegankelijkutrecht.nl/toegankelijk/toe_view.asp?ac=info&toe_permanent_guid={5B472C4E-DCB6-4E4F-AC66-607888EBD49C}&lan_id=1
129239;457733;Wijkservicecentrum Vleuten - De Meern;;Dorpsplein;1;;;Dorpsplein 1;3512 JC;Vleuten;3512 JC Vleuten;Vleuten - De Meern;Vleuten;Welzijn;Wijkbureau en wijkservicecentrum;;Wijkbureau en wijkservicecentrum;Bewoners, ondernemers;030-2860000;"vleutendemeern@utrecht.nl
";http://www.utrecht.nl/wijk-vleuten-de-meern/wijkservicecentrum/;;http://www.toegankelijkutrecht.nl/toegankelijk/toe_view.asp?ac=info&toe_permanent_guid={DE8402D1-AAA5-4A69-8C65-ECE3DDF847A3}&lan_id=1
137976;456433;Wijkbureau Oost;;FC Donderstraat;1;;;FC Donderstraat 1;3572 JA ;Utrecht;3572 JA  Utrecht;Noordoost;Zeeheldenbuurt, Hengeveldstraat e.o.;Welzijn;Wijkbureau en wijkservicecentrum;;Wijkbureau en wijkservicecentrum;Bewoners, ondernemers;030-2860000;oost@utrecht.nl;http://www.utrecht.nl/wijk-oost/wijkbureau/;;http://www.toegankelijkutrecht.nl/toegankelijk/toe_view.asp?ac=info&toe_permanent_guid={28C4DD3E-F982-463C-9CEC-4055D6EBC41C}&lan_id=1
134969;453690;Wijkbureau Zuidwest;;Marco Pololaan;71;;;Marco Pololaan 71;3526 GA;Utrecht;3526 GA Utrecht;Zuidwest;Kanaleneiland-zuid;Welzijn;Wijkbureau en wijkservicecentrum;;Wijkbureau en wijkservicecentrum;Bewoners, ondernemers;030-2860000;zuidwest@utrecht.nl;http://www.utrecht.nl/wijk-zuidwest/wijkservicecentrum/;;http://www.toegankelijkutrecht.nl/toegankelijk/toe_view.asp?ac=info&toe_permanent_guid={32C414E8-8502-4CF4-B4FC-1B4299F446A6}&lan_id=1
136688;453092;Wijkbureau Zuid;;'t Goylaan;75;;;'t Goylaan 75;3525 AG;Utrecht;3525 AG Utrecht;Zuid;Nieuw Hoograven-zuid;Welzijn;Wijkbureau en wijkservicecentrum;;Wijkbureau en wijkservicecentrum;Bewoners, ondernemers;030-2860000;zuid@utrecht.nl;http://www.utrecht.nl/wijk-zuid/wijkbureau/;;
135852;455758;Wijkbureau Binnenstad;;Stadsplateau;1;;;Stadsplateau 1;3521 AZ;Utrecht;3521 AZ Utrecht;Binnenstad;Hoog Catharijne, NS, Jaarbeurs;Welzijn;Wijkbureau en wijkservicecentrum;;Wijkbureau en wijkservicecentrum;Bewoners, ondernemers;030-2860000;binnenstad@utrecht.nl;http://www.utrecht.nl/wijk-binnenstad/wijkbureau-binnenstad/;;http://www.toegankelijkutrecht.nl/toegankelijk/toe_view.asp?ac=info&toe_permanent_guid={7705D0A4-5DB2-4A64-A6F9-153459281CEA}&lan_id=1
135790;456920;Buurthuis De Balk;;Balkstraat;31;;;Balkstraat 31;3513 XL;Utrecht;3513 XL Utrecht;Noordwest;Pijlsweerd-noord;Welzijn;Buurthuis;Recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis;;030-2333315;;;;
135518;456665;Buurthuis De Uithoek;Me'kaar Utrecht;2E Daalsedijk;2;B;;2E Daalsedijk 2B;3551 EJ;Utrecht;3551 EJ Utrecht;Noordwest;2e Daalsebuurt e.o.;Welzijn;Buurthuis;Sociaal makelaar, recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis;;030-2430150;info@mekaarutrecht.nl;http://buurthuisdeuithoek.nl/;http://www.mekaarutrecht.nl;http://www.toegankelijkutrecht.nl/toegankelijk/toe_view.asp?ac=info&toe_permanent_guid={F21CF32C-8BF6-4980-B1D7-F822082ACADE}&lan_id=1
137735;455608;Buurthuis Oudwijk;;Oudwijkerdwarsstraat;148;;;Oudwijkerdwarsstraat 148;3581 LJ;Utrecht;3581 LJ Utrecht;Oost;Oudwijk;Welzijn;Buurthuis;Recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis;;030-2567330;;;;
137231;454768;Buurthuis Sterrenzicht;Vooruit Utrecht;Keerkringplein;40;;;Keerkringplein 40;3582 PM;Utrecht;3582 PM Utrecht;Oost;Sterrenwijk;Welzijn;Buurthuis;Sociaal makelaar, recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis;;06-39563935 / 06-81032868;info@vooruitutrecht.nl;http://www.vooruitutrecht.nl/;;http://www.toegankelijkutrecht.nl/toegankelijk/toe_view.asp?ac=info&toe_permanent_guid={E1EDAFB9-60CC-4261-BF23-9BA40B96F9D5}&lan_id=1
134422;458024;Buurthuis Zuilen;Me'kaar Utrecht;Sint Ludgerusstraat;251;;;Sint Ludgerusstraat 251;3553 CX;Utrecht;3553 CX Utrecht;Noordwest;Elinkwijk e.o.;Welzijn;Buurthuis;Sociaal makelaar, recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis;;030­7210522;info@mekaarutrecht.nl;http://www.mekaarutrecht.nl;;http://www.toegankelijkutrecht.nl/toegankelijk/toe_view.asp?ac=info&toe_permanent_guid={10BCAAF2-4908-452B-8127-D9EF3DCD35E2}&lan_id=1
135877;459235;Buurthuis De Boog;Wijk&co;Gambiadreef;60;;;Gambiadreef 60;3564 ES;Utrecht;3564 ES Utrecht;Overvecht;Zambesidreef e.o.;Welzijn;Buurthuis;Sociaal makelaar, recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis;;030-2431694 / 06-52508398 / 06-10650104;gert.beffers@wijkenco.nl / tjitske.vdwoude@wijkenco.nl;http://www.wijkenco.nl/locaties/de-boog/;http://www.wijkenco.nl;http://www.toegankelijkutrecht.nl/toegankelijk/toe_view.asp?ac=info&toe_permanent_guid={68BACC4B-B9D5-4AED-A6FC-BF9F320672FF}&lan_id=1
136408;458095;Buurthuis De Bram;Wijk&co;Rhonedreef;40;;;Rhonedreef 40;3561 VA;Utrecht;3561 VA Utrecht;Overvecht;Taagdreef, Rubicondreef e.o.;Welzijn;Buurthuis;Sociaal makelaar, recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis;;030-2618170 / 06-10018605;wendela.vernooij@wijkenco.nl;http://www.wijkenco.nl/locaties/de-bram/;http://www.wijkenco.nl;http://www.toegankelijkutrecht.nl/toegankelijk/toe_view.asp?ac=info&toe_permanent_guid={D2F9E81F-8230-4317-B9AE-C3A6BAE6D7FC}&lan_id=1
132980;455232;Buurthuis KC Voorn;Doenja;Akkrummerraklaan;131;;;Akkrummerraklaan 131;3544 TT;Utrecht;3544 TT Utrecht;Leidsche Rijn;Langerak;Welzijn;Buurthuis;Sociaal makelaar, recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis;;06-12782632;info@doenjadienstverlening.nl;http://www.doenjadienstverlening.nl;;
129323;456288;Cultuurcampus;Welzaam Utrecht;Burchtpoort;16;;;Burchtpoort 16;3452 MA;Vleuten;3452 MA Vleuten;Vleuten - De Meern;Vleuterweide-noord/oost/centrum;Welzijn;Buurthuis;Sociaal makelaar, recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis;;030-6773131 / 030-6620650;;http://www.cultuurcampusvleuterweide.nl;http://www.welzaamutrecht.nl;http://www.toegankelijkutrecht.nl/toegankelijk/toe_view.asp?ac=info&toe_permanent_guid={D2B043D0-5776-4662-9355-9354CE4AC6A0}&lan_id=1
134502;457280;Buurthuis Oase;Me'kaar Utrecht;Cartesiusweg;11;;;Cartesiusweg 11;3534 BA;Utrecht;3534 BA Utrecht;West;Schepenbuurt, Bedrijvengebied Cartesiusweg;Welzijn;Buurthuis;Sociaal makelaar, recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis;;;info@mekaarutrecht.nl;http://www.mekaarutrecht.nl;;
131420;457462;Buurthuis KC Waterwin;Doenja;Musicallaan;104;;;Musicallaan 104;3543 BT;Utrecht;3543 BT Utrecht;Leidsche Rijn;Terwijde-west;Welzijn;Buurthuis;Sociaal makelaar, recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis;;06-54283775;info@doenjadienstverlening.nl;http://www.doenjadienstverlening.nl;;
131689;456385;Buurthuis KC ´t Zand;Doenja;Pauwoogvlinder;20;;;Pauwoogvlinder 20;3544 DB;Utrecht;3544 DB Utrecht;Leidsche Rijn;Het Zand-oost;Welzijn;Buurthuis;Sociaal makelaar, recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis;;06-11519607 / 06-55785565;info@doenjadienstverlening.nl;http://www.doenjadienstverlening.nl;;
134283;458721;Buurthuis De Beatrix (in het Vorstelijk Complex);Me'kaar Utrecht;Prinses Beatrixlaan;2;;;Prinses Beatrixlaan 2;3554 JK;Utrecht;3554 JK Utrecht;Noordwest;Schaakbuurt e.o.;Welzijn;Buurthuis;Sociaal makelaar, recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis;;030­7210511;info@mekaarutrecht.nl;http://www.vorstelijkcomplex.nl;http://www.mekaarutrecht.nl;http://www.toegankelijkutrecht.nl/toegankelijk/toe_view.asp?ac=info&toe_permanent_guid={73B105BA-32AB-4C1E-8BF4-B14CE76CE8A1}&lan_id=1
136549;459154;Buurthuis De Dreef + JC Procific;Wijk&co;Schooneggendreef;27c-29;;;Schooneggendreef 27c-29;3562 GG;Utrecht;3562 GG Utrecht;Overvecht;Neckardreef e.o.;Welzijn;Buurthuis;Sociaal makelaar, recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis;;030-2634022 / 06-10575385;emine.goktekin@wijkenco.nl;http://www.wijkenco.nl/locaties/de-dreef/;http://www.wijkenco.nl;
128621;456503;Buurthuis Weide Wereld;Welzaam Utrecht;Teunisbloemlaan;48;;;Teunisbloemlaan 48;3452CB;Vleuten;3452CB Vleuten;Vleuten - De Meern;Vleuterweide-west;Welzijn;Buurthuis;Sociaal makelaar, recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis;;06-81318461 / 06-39563945;;http://www.welzaamutrecht.nl;;
135211;457649;Buurthuis De Speler;Me'kaar Utrecht;Thorbeckelaan;18;C;;Thorbeckelaan 18C;3552 CS;Utrecht;3552 CS Utrecht;Noordwest;Ondiep;Welzijn;Buurthuis;Sociaal makelaar, recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis;;030-7210570;info@mekaarutrecht.nl;http://www.mekaarutrecht.nl;;http://www.toegankelijkutrecht.nl/toegankelijk/toe_view.asp?ac=info&toe_permanent_guid={986C2040-2637-42A8-98E0-23DAE562E6B9}&lan_id=1
134712;454291;Buurthuis Hart van Noord;Doenja;Trumanlaan;60;C;;Trumanlaan 60C;3527 BR;Utrecht;3527 BR Utrecht;Zuidwest;Kanaleneiland-noord;Welzijn;Buurthuis;Sociaal makelaar, recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis;;06-25030121;info@doenjadienstverlening.nl;http://www.doenjadienstverlening.nl;;
129340;455275;Buurthuis De Pijler;Welzaam Utrecht;Bovenpolder;80;;;Bovenpolder 80;3453 NP;De Meern;3453 NP De Meern;Vleuten - De Meern;Veldhuizen;Welzijn;Buurthuis;Sociaal makelaar, recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis;;06-81318461 / 06-39563945;;http://www.welzaamutrecht.nl;;http://www.toegankelijkutrecht.nl/toegankelijk/toe_view.asp?ac=info&toe_permanent_guid={ADBF5156-B86D-4263-B313-7179E0D21365}&lan_id=1
136724;453092;Buurthuis Hart van Hoograven;Vooruit Utrecht;'t Goylaan;77;;;'t Goylaan 77;3525 AA;Utrecht;3525 AA Utrecht;Zuid;Nieuw Hoograven-zuid;Welzijn;Buurthuis;Sociaal makelaar, recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis;;06-41785264;info@vooruitutrecht.nl;http://www.vooruitutrecht.nl/;;
137795;452905;Buurthuis De Musketon;Vooruit Utrecht;Hondsrug;19;;;Hondsrug 19;3524 BP;Utrecht;3524 BP Utrecht;Zuid;Lunetten-noord;Welzijn;Buurthuis;Sociaal makelaar, recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis;;06-81032857 / 06-41563276 / 06-81687651;info@vooruitutrecht.nl;http://www.vooruitutrecht.nl/;;http://www.toegankelijkutrecht.nl/toegankelijk/toe_view.asp?ac=info&toe_permanent_guid={64B207A3-B1B1-418D-82D4-F1DCC31B2902}&lan_id=1
135005;455809;Buurthuis Rosa;Me'kaar Utrecht;Malakkastraat;6;;;Malakkastraat 6;3531 HM;Utrecht;3531 HM Utrecht;West;Lombok-west;Welzijn;Buurthuis;Sociaal makelaar, recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis;;06-48269326 / 06-39563946 / 06-41784071;info@mekaarutrecht.nl;http://www.mekaarutrecht.nl;;
134383;454157;Cultuurhuis Kanaleneiland Zuid;Doenja;Peltlaan;172;;;Peltlaan 172;3527 EC;Utrecht;3527 EC Utrecht;Zuidwest;Kanaleneiland-noord;Welzijn;Buurthuis;Sociaal makelaar, recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis;;030-2881241;info@doenjadienstverlening.nl;http://www.doenjadienstverlening.nl;;http://www.toegankelijkutrecht.nl/toegankelijk/toe_view.asp?ac=info&toe_permanent_guid={557FFFA1-EB29-4FD7-80DA-FD0DD67E2A8A}&lan_id=1
136445;457381;Buurthuis De Leeuw;Wijk&co;Samuel Van Houtenstraat;1;;;Samuel Van Houtenstraat 1;3515 CG;Utrecht;3515 CG Utrecht;Noordoost;Staatsliedenbuurt;Welzijn;Buurthuis;Sociaal makelaar, recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis;;030-2759555 / 06-10017966;wies.kool@wijkenco.nl;http://www.wijkconnect.com/utrecht/hoograven/organisaties/buurthuis-t-bokkie;http://www.wijkenco.nl;http://www.toegankelijkutrecht.nl/toegankelijk/toe_view.asp?ac=info&toe_permanent_guid={01412B9C-76A2-42D8-BD22-3DA5695DB400}&lan_id=1
137379;453978;Buurthuis 't Bokkie;Vooruit Utrecht;Elandplein;25;;;Elandplein 25;3523 SX;Utrecht;3523 SX Utrecht;Zuid;Bokkenbuurt;Welzijn;Buurthuis;Sociaal makelaar, recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis;;030-2515011;info@vooruitutrecht.nl;http://www.vooruitutrecht.nl/;;http://www.toegankelijkutrecht.nl/toegankelijk/toe_view.asp?ac=info&toe_permanent_guid={74AA1267-DF35-488A-B77E-E01DCCAAE7CA}&lan_id=1
135878;459235;Buurthuis De Boog Jeugd;;Gambiadreef;100;;;Gambiadreef 100;3564 ES;Utrecht;3564 ES Utrecht;Overvecht;Zambesidreef e.o.;Welzijn;Buurthuis;Recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis;;;;;;
131867;457059;Huiskamer Tableau;;Glenn Millerpad;66;;;Glenn Millerpad 66;3543 GG;Utrecht;3543 GG Utrecht;Leidsche Rijn;Terwijde-oost;Welzijn;Buurthuis;Recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis;;030-2809080;m.berkane@doenjadienstverlening.nl;http://www.doenjadienstverlening.nl;;
137296;456871;Griftpark Gamebox (speluitleen);;Griftpark Gamebox;;;;Griftpark Gamebox ;3514 XR;Utrecht;3514 XR Utrecht;Noordoost;Tuinwijk-oost;Welzijn;Buurthuis;Recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis;;;;;;
134036;455852;Buurthuis Het Pandje I;Me'kaar Utrecht;Herderplein;21;;;Herderplein 21;3533 HP;Utrecht;3533 HP Utrecht;West;Halve Maan-noord;Welzijn;Buurthuis;Sociaal makelaar, recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis;;06-43555874;info@mekaarutrecht.nl;http://www.mekaarutrecht.nl;;
134040;455852;Buurthuis Suikerspin/ Het pandje II;Me'kaar Utrecht;Herderplein;22;;;Herderplein 22;3533 HP;Utrecht;3533 HP Utrecht;West;Halve Maan-noord;Welzijn;Buurthuis;Sociaal makelaar, recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis;;06-24992790;info@mekaarutrecht.nl;http://www.mekaarutrecht.nl;;
134023;455850;Jongerenhuiskamer Herderplein Het pandje III;Me'kaar Utrecht, Stichting JoU;Herderplein;18-20;;;Herderplein 18-20;3533 HP;Utrecht;3533 HP Utrecht;West;Halve Maan-noord;Welzijn;Buurthuis;Sociaal makelaar, recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis;;030-2361919;info@jou-utrecht.nl;http://www.jou-utrecht.nl/;;
135588;453043;Jongerencentrum Kanaleneiland;Doenja;Livingstonelaan;1350;;;Livingstonelaan 1350;3526 JX;Utrecht;3526 JX Utrecht;Zuidwest;Bedrijvengebied Kanaleneiland-zuid;Welzijn;Buurthuis;Sociaal makelaar, recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis;;030-2898437;info@doenjadienstverlening.nl;http://www.doenjadienstverlening.nl;;
134969;453690;Doenja dienstverlening;Doenja;Marco Pololaan;71;;;Marco Pololaan 71;3526 GB;Utrecht;3526 GB Utrecht;Zuidwest;Kanaleneiland-zuid;Welzijn;Advisering en ondersteuning;Sociaal makelaar, aanspreekpunt, faciliteren en ondersteunen initiatieven van bewoners, verbeteren kwaliteit wijknetwerken, sociaal beheren buurthuizen en speeltuinen;Advisering en ondersteuning;;030-2860000;zuidwest@utrecht.nl;http://www.doenjadienstverlening.nl;;
136357;454256;Buurthuis Strandpaviljoen;Doenja;Noordzeestraat;20;;;Noordzeestraat 20;3522 PK;Utrecht;3522 PK Utrecht;Zuidwest;Rivierenwijk;Welzijn;Buurthuis;Sociaal makelaar, recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis;;0900-1824;info@doenjadienstverlening.nl;http://buurthuisstrandpaviljoen.nl;http://www.doenjadienstverlening.nl;
131244;457181;Buurthuis Hof 't Spoor;;Operettelaan;629;;;Operettelaan 629;3543 BR;Utrecht;3543 BR Utrecht;Leidsche Rijn;Terwijde-west;Welzijn;Buurthuis;Recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis;;030-2809095;info@doenjadienstverlening.nl;http://www.doenjadienstverlening.nl;;
137096;458944;De Pahud Centrum voor Advies en Hulpverlening;;Pahud de Mortangedreef;63-67;;;Pahud de Mortangedreef 63-67;3562 AB;Utrecht;3562 AB Utrecht;Overvecht;Neckardreef e.o.;Welzijn;Buurthuis;Recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis;;;;;;
134320;458417;Jongerencentrum;Stichting JoU;Prins Bernhardlaan;2;;;Prins Bernhardlaan 2;3512 JT;Utrecht;3512 JT Utrecht;Noordwest;Pr. Bernhardplein e.o., Demkagebied;Welzijn;Buurthuis;Recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis;;030-2361919;"info@jou-utrecht.nl
";http://www.jou-utrecht.nl/;;
129330;457737;Buurthuis De Schakel;Welzaam Utrecht;Schoolstraat;11;;;Schoolstraat 11;3451 AA;Vleuten;3451 AA Vleuten;Vleuten - De Meern;Vleuten;Welzijn;Buurthuis;Sociaal makelaar, recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis;;030-2361919;info@welzaamutrecht.nl;http://www.welzaamutrecht.nl/;;
135269;456111;Ubuntuhuis;;Vleutenseweg;162;;;Vleutenseweg 162;3532 HN ;Utrecht;3532 HN  Utrecht;West;Lombok-west;Welzijn;Buurthuis;Recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis;;030-2680890;ubuntuhuis@gmail.com;http://www.ubuntu-huis.blogspot.nl;;
136818;455080;Particulier buurthuis De Sjuut;;Moutstraat;2;;;Moutstraat 2;3511 XT;Utrecht;3511 XT Utrecht;Binnenstad;Springweg e.o., Geertebuurt;Welzijn;Buurthuis in zelfbeheer;Recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis in zelfbeheer;;030-2317735;;;;
136780;455524;Buurthuis In de 3 Krone;;Oudegracht;227;;;Oudegracht 227;3511 NJ;Utrecht;3511 NJ Utrecht;Binnenstad;Springweg e.o., Geertebuurt;Welzijn;Buurthuis in zelfbeheer;Recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis in zelfbeheer;;030-8785729;;http://www.inde3krone.nl;;
137999;457507;WeveHuis;;Wevelaan;2;;;Wevelaan 2;3571 XS;Utrecht;3571 XS Utrecht;Noordoost;Tuindorp-oost;Welzijn;Buurthuis in zelfbeheer;Recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis in zelfbeheer;;;;http://www.wevehuis.nl;;
137735;455608;Buurthuis Podium Oost;;Oudwijkerdwarsstraat;148;;;Oudwijkerdwarsstraat 148;3581 LJ;Utrecht;3581 LJ Utrecht;Oost;Oudwijk;Welzijn;Buurthuis in zelfbeheer;Recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis in zelfbeheer;;030-2581994;info@podiumoostutrecht.nl;http://www.podiumoostutrecht.nl;;
136472;453698;Buurthuis De Nieuwe Jutter;;Amerhof;66;;;Amerhof 66;3522 TR;Utrecht;3522 TR Utrecht;Zuidwest;Rivierenwijk;Welzijn;Buurthuis in zelfbeheer;Recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis in zelfbeheer;;030-2883190 (of 2851799);;http://www.denieuwejutter.nl;;
131091;454717;Sociaal Cultureel Centrum De Schalm;;Oranjelaan;10;;;Oranjelaan 10;3454 ZJ;De Meern;3454 ZJ De Meern;Vleuten - De Meern;De Meern-zuid;Welzijn;Buurthuis in zelfbeheer;Recreatieve activiteiten, ontmoeting, vrijwilligerswerk, informatie en advies;Buurthuis in zelfbeheer;;030-6662609;info@schalmdemeern.nl;http://www.schalmdemeern.nl;;http://www.toegankelijkutrecht.nl/toegankelijk/toe_view.asp?ac=info&toe_permanent_guid={29185F30-3F40-4683-AB47-5014835DFDB0}&lan_id=1
