Leverancier;8110 - Vakliteratuur, abonnementen en overige informatie;8510 - Diversen communicatie;Eindtotaal
ANP Pers Support Benelux B.V.;1;2;2
Antiquariaat De Ghoede;1;;1
ANWB B.V.;1;;1
APC tekst;;2;2
Arend Media;;1;1
Arenda Oomen Fotografie;1;2;2
Arie Kievit;1;;1
Athenas B.V.;;1;1
Augeo academy B.V.;;1;1
Aura Software B.V.;1;;1
AV Partners;;1;1
AVEQ Creatieve Producties B.V.;;2;2
AVEQ show, theatre & congress facilities B.V.;;2;2
AWAREWAYS;;5;5
B.V. Algemeen Nederlands Persbureau ANP;2;1;2
B+B Vakmedianet B.V.;1;;1
Bak & Bakker C.S. Journalisten;;2;2
Balans;1;;1
Bart Hoogveld beeldredactie & fotografie;1;;1
Bart Maat Fotografie;;1;1
Bart van Vliet Freelance Fotograaf;;1;1
Bay of Tales - design & strategie;;1;1
Ben Tiggelaar & Company B.V.;;1;1
Beuth Verlag GmbH;1;;1
BijDeHand Media B.V.;1;;1
BKB;;6;6
BKFF bas kijzers fotografie en film;;1;1
Bliksem! See the difference;;1;1
Bobbe International B.V.;4;;4
Boek 9 B.V.;1;;1
Boekencentrum B.V.;;;
Boekhandel De Kloof;1;;1
Boekhandel Douwes;1;;1
Boekuwzending.com B.V.;1;;1
bol.com B.V.;1;;1
Bonzet Boekbinders;1;;1
Boom uitgevers Amsterdam B.V.;1;;1
Boom uitgevers Den Haag;2;;2
Broekhuizen Communicatie;1;4;4
Brug in Bedrijf;;1;1
Bureau BlauwGeel B.V.;1;;1
Buro Opaal;;1;1
Business Cartooning;;1;1
Buyck Displays;;1;1
Capital Media Services B.V.;;2;2
Carnegie-Stichting;1;;1
CB Facturatie B.V.;1;;1
Cedris;1;;1
Celsus juridische uitgeverij;1;;1
Christiaan Kanis;1;;1
Clevr B.V.;;1;1
Coaching Nederland B.V.;1;;1
Conqreet;;2;2
Consumentenbond;1;;1
Contactum;;1;1
Contenture;;1;1
Copy Service Leeuwarden B.V.;;1;1
Corps 3 op twee B.V.;2;2;2
Creatief Buro LotterMoser;;1;1
Creja Ontwerpen B.V.;1;1;1
Crisisplan B.V.;1;;1
CRP B.V.;1;;1
CUE-Support B.V.;;1;1
Daan van Elk Media;1;;1
Dannes Wegman;;1;1
Daphne Cornelisse;;1;1
DCI Media B.V.;;1;1
de firma Langenberg;;2;2
De Groene Amsterdammer weekbl. voor Nederland;1;;1
de Leeskring/Delta;1;;1
De Puzzelmaker;1;;1
De Staatsrechtkring/VU;1;;1
De Surinaamse Juristen Blad;1;;1
De Volkskrant B.V.;1;;1
deLex B.V.;2;;2
deLex Media en Management B.V.;1;;1
Delft Congress Support B.V.;1;;1
Dept Design & Technology B.V.;;1;1
Deutsche Gesellschaft fÃ¼r Rechtsmedizin e.V;1;;1
DLT Media B.V.;1;;1
DPG Media B.V.;2;;2
DPI;1;4;4
Drs. Martijn Delaere journalist;;1;1
Drukkerij Engelen Sevenum B.V.;1;;1
DTG B.V.;1;1;1
Duoprint t.h.o.d.n. Multicopy Den Haag Centr.;1;;1
Dynamit B.V.;;1;1
EBSCO Information Services B.V.;1;;1
EMMA Communicatie B.V.;2;;2
en Insp.-instellingen-Fenelab;1;;1
Epidemic Sound, Netherlands Branch;;1;1
ER;1;;1
Erik Jansen Fotografie;1;;1
ESB B.V.;1;;1
Eveline Bets Tekst & Publiciteit;2;;2
every media;2;5;5
Exploitatiemij. Grand Hotel Karel V B.V.;1;;1
Facilion B.V.;1;;1
Federatie Vaktherapeutische Beroepen;1;;1
Ferro Explore B.V.;;2;2
FI (Future) Groep B.V.;;1;1
Filmolux Benelux B.V.;1;;1
Firma Verschoor;1;;1
First Floor TV;;1;1
FIRST.Org;1;;1
Fixvision;;1;1
FIZZ Digital Agency B.V.;;2;2
Flip! Reclame Promotie & Ontwerp;;1;1
Follow The Money B.V.;1;;1
Fotoburo Peter Drent;1;1;1
Fotografie : Paul Voorham;1;;1
Fotopersbureau Armino;;1;1
Freek van den Bergh Fotografie;1;;1
Frephitophe;;1;1
Freshbeat Studio;;1;1
Friesch Dagblad B.V.;1;;1
Future Communication Consultants B.V.;;2;2
FWG Bedrijf B.V.;;1;1
G2K B.V.;;2;2
Genootschap Onze Taal;1;;1
Getty Images (Netherlands) B.V.;;1;1
GH+O;1;2;2
gloedcommunicatie;1;2;2
Greengiving B.V.;;1;1
H.J.M. Zonderland Fotografie;;1;1
Hafo B.V.;;1;1
Hamer Media;;1;1
Hans Roggen Fotografie;;1;1
Hans Tak;1;;1
Hebbers;;1;1
Hellenique Media B.V.;1;;1
Het Financieele Dagblad B.V.;1;;1
Het Media Atelier V.O.F.;;1;1
Het Parool B.V.;1;;1
Het Podcast Kantoor;;2;2
Hoeksjan Redactie en communicatie;;1;1
Hoge Noorden B.V.;;1;1
Hogrefe Uitgevers B.V.;1;;1
Holapress Communicatie;1;;1
Hollandse Hoogte B.V.;1;1;1
hoogholland media;1;1;1
House in the Field producties;;1;1
Houx Digiprint;;1;1
Huis aan Huis Flyers B.V.;;1;1
Humor werkt producties;;1;1
Ideeaanzee B.V.;1;3;4
Imageselect B.V.;1;1;1
in60seconds B.V.;2;3;3
Incassobureau Plaggemars;1;;1
Inclusion Incorporated;;1;1
Infoprojects;;2;2
Ingeborg Lunenburg Opleiding en Advies;1;;1
InPromo B.V.;;1;1
Int. Air Transport Association (Neth.) B.V.;1;;1
International Bar Association;;1;1
IPMA - NL;1;;1
IQ-Media B.V.;1;;1
Iretail.Solutions B.V.;;1;1
ISF B.V.;2;;2
Islamitische-Boekhandel Refah;1;;1
It-J.;1;;1
J. vd Nieuwenhuizen, tekst, redactie & advies;1;;1
Janine Hoekman;1;;1
Jessecartoons;4;1;4
Jolenta Weijers Journalistiek;;1;1
Jongerenplatform Young & Connected B.V.;;2;2
Joris Fiselier Infographics;;1;1
Josje Deekens Fotografie;;1;1
Juist Just;;1;1
Juridisch Persbureau Utrecht;;2;2
JVDT B.V.;;1;1
Kaliber Interactive B.V.;;2;2
Kamera Express Groningen B.V.;;1;1
Katja Visser Grafisch Ontwerp;1;;1
KBO-PCOB;;1;1
Keiretsu Europe B.V.;;1;1
Kick Smeets Fotografie;1;;1
Klantenservice Federatie;1;;1
KNMP Holding B.V.;1;;1
Kodision B.V.;;2;2
Koetsenruijter Conflictman. en Bemiddeling;1;;1
Kon. Ned. Veren. van Informatieprofessionals;1;;1
Kon. Verenig. van Archivarissen in Nederland;1;;1
Koning Photography;;1;1
Koninklijke Nederl. Ver. voor Int. Recht;1;;1
Koninklijke van der Most B.V.;;1;1
Kris Kras context, content and design;;1;1
Kris Kras Design B.V.;;1;1
Kwaliteitskring Noord Nederland;1;;1
Landelijke Vereniging van Vertrouwenspersonen;1;;1
Laposta B.V.;;1;1
Later is Nu B.V.;;1;1
LEDvertiser.nl B.V.;;3;3
Leeskring en Videoshop Demob B.V.;1;;1
Leesland;1;;1
Leidsch Dagblad;1;;1
Leonie Slingeland Filmpjes;;1;1
LEV communicatie B.V.;2;;2
LexisNecis Business Info. Sol. B.V.;1;;1
LexisNexis Univentio B.V.;2;;2
Lichtgevoelig;;1;1
Ligtenberg;;1;1
Livewords;;1;1
Logeion;1;;1
Logeion (Beroepsvereniging voor Communicatie);1;;1
Loo Van Eck B.V.;;1;1
Lopende Teksten;1;1;1
Louis Meulstee Photography;1;;1
Lycka Media;1;;1
LZO E-learning B.V.;;1;1
MADE BY MEDIA;;1;1
Maessen Plastics B.V.;1;;1
Mainpress B.V.;7;;7
Manchu Media;;1;1
Manifesta' Bureau voor Grafische Vormgeving;;2;2
Manutan B.V.;1;1;1
Marieke Duijsters Fotografie;1;;1
Marieke van der Velden Fotografie;;1;1
Marleens Bureau;1;;1
Martijn Beekman Fotografie;;1;1
Maters & Hermsen Journalistiek B.V.;;2;2
MatZwart;;2;2
Maven at Work B.V.;1;;1
MDPI;;1;1
Media Info Groep B.V.;2;;2
Mediageniek;;1;1
Mediahuis Limburg B.V.;1;;1
Meer van Tekst;1;;1
Mentimeter AB;;1;1
MEO;;1;1
Merken aan de Maas;;1;1
Merkenbureau Knijff & Partners B.V.;;1;1
Metabolic B.V.;2;;2
Mindcampus B.V.;1;;1
Moduli Print B.V.;1;;1
Moneypenny.nl B.V.;2;;2
monty amsterdam;;1;1
MSdV Services B.V.;;1;1
Multicopy Lelystad B.V.;;1;1
Muziekhuis Westerhaven;;1;1
Mwee beeld licht geluid;;1;1
NDC mediagroep B.V.;1;;1
Ned. Beroepsver. voor Contractmanagement;1;;1
Ned. Software metrieken Gebruikers ass. NESMA;1;;1
Ned. Ver. van HRD-Prof. in Ontw. en Opleiden;1;;1
Nederlands Architectuur Forum;1;;1
Nederlandse Juristen-Vereniging;1;;1
Nederlandse School voor Openbaar Bestuur B.V.;1;;1
Nederlandse Vereniging voor Burgerzaken;1;;1
Nederlandse Vereniging voor wetgeving;1;;1
Net aan Zet;;1;1
Nevi B.V.;1;;1
NIBHV B.V.;1;;1
Nicolai Schewe;;1;1
NLUUG;1;;1
Noinoloi;2;;2
Nomos Verlegsgeseltlschaft mbH & Co. KG;1;;1
Novagraaf Nederland B.V.;;1;1
NRC Media;1;1;1
O'bi Design;1;1;1
OBT B.V.;;1;1
OCLC B.V.;1;;1
Oehoe;1;;1
Omroepvereniging BNNVARA;1;;1
Online Seminar The Netherlands B.V.;;2;2
Ontwerpwerk B.V.;;4;4
Open Now B.V.;;4;4
Organisatie Groep Zuid (O.G.Z.) B.V.;;1;1
Paul Tolenaar Fotografie;1;;1
PBLQ B.V.;2;;2
People & Print Group;;1;1
Persmanager B.V.;1;;1
Peterboer.com;;1;1
Phil Nijhuis Fotografie;;1;1
Pink Marketing B.V.;;2;2
Pixel Universe;1;;1
Plaatwerk, Fotografen;1;;1
Poley Tekst;1;;1
Politico Sprl;1;;1
Postma Motiondesign;;1;1
Pro-ductions;;2;2
Proef Media B.V.;1;;1
Prosu Media Producties B.V.;1;;1
Protinus IT B.V.;;1;1
PUCK HR & Communications B.V.;2;;2
PvIB: Platform voor informatiebeveiliging;1;;1
Quasir B.V.;1;;1
R&S Company B.V.;1;;1
RDMG Uitgeverij B.V.;1;;1
ReadSpeaker B.V.;;1;1
Ready for take-off;;1;1
REBRANDT;;2;2
Rechtnet B.V.;1;1;1
Reclamestudio Guthschmidt B.V.;;1;1
Reed Business B.V.;1;;1
Reijne's Gezinsleesportefeuille B.V.;1;;1
RELX Nederland B.V.;1;1;1
Rendement Uitgeverij B.V.;1;;1
Research Link;1;;1
Richard Sluijs ontwerpen;;2;2
Riesjart Annaars Grafische Vormgeving;;2;2
Rob Gieling Fotografie;1;1;2
Rob Kok Old Books & Prints;1;;1
Roel Dijkstra Persfotografie;1;;1
Roorda Reclamebureau B.V.;;2;2
San Reclame, Design & Belettering;;1;1
Sanders en Aurora Leesportef. Uitgeverij B.V.;1;;1
Sanoma Media Netherlands B.V.;1;;1
Savannah Bay;1;;1
Scenarios 4 Summits B.V.;;1;1
Schiermeier Video- en Audioproducties;;3;3
Schut Journalistiek;2;;2
Sdu Uitgevers B.V.;4;;4
Sealaprint B.V.;1;;1
Security Press B.V.;;;
Simian B.V.;;1;1
Sjoerd van der Hucht Fotografie;1;2;2
SLASH2 B.V.;;1;1
Smart2B B.V.;1;;1
Snip Design;;1;1
Snoek Multimedia B.V.;1;;1
SocialMediaMen B.V.;;2;2
Soundfocus B.V.;;1;1
SpendLab Best Deal B.V.;1;;1
Springer Media B.V.;1;;1
Starsound Productions Exploitatie B.V.;1;2;2
Stay in Touch Media B.V.;2;;2
Stg. Nat. Instituut voor Budgetvoorlichting;1;;1
Stg. ZB - Planbur. en Bibliotheek van Zeeland;1;;1
Sticht. Instituut voor Carib. Belastingrecht;1;;1
Sticht. Int. Belasting Documentatie Bureau;1;;1
Stichting Achterland;1;;1
Stichting Belangenbehartiging Alfabetisering;;1;1
Stichting Biblionova;1;;1
Stichting Cisa;1;;1
Stichting Contextueel Pastoraat in Nederland;1;;1
Stichting De Snuffelmuis;1;;1
Stichting Internat. Perscentrum 'Nieuwspoort';1;;1
Stichting Kennisoverdracht WSNP;1;;1
Stichting Migratierecht Nederland;2;;2
Stichting Mollie Payments;;1;1
Stichting MVO Nederland;1;1;2
Stichting Nadine Foundation;1;;1
Stichting NBD Biblion;1;;1
Stichting Nederlands Gebarencentrum (NGc);;1;1
Stichting Njcm-Boekerij;1;;1
Stichting Perspectief Herstelbemiddeling;;1;1
Stichting SAM;1;;1
Stichting Stimulansz;1;;1
Stichting Stimular;1;;1
Stichting T.M.C. Asser Instituut;1;;1
Stratfor Enterprises;1;;1
Strijbosch B.V.;1;;1
Studio Gijs Leijdekkers;;1;1
Studio Jeroen Borsboom;;1;1
Studio Kerstin;1;;1
Studio Lammert Jonkman;2;;2
studio neetje;1;;1
Studio Wittenberg;1;;1
Stumpel Boekhandel-Kantoorinstallaties B.V.;1;;1
Sunway Shipping;1;;1
SURFmarket;2;;2
SurveyMonkey Europe UC;1;;1
SVDC;1;;1
T&T Compet&t.b.v.;2;;2
Talent Kitchen B.V.;;1;1
Tappan B.V.;;1;1
Taylor & Francis Books Ltd.;1;;1
TBWA\NEBOKO B.V.;;5;5
Tekst & Teaching;1;;1
TelDesign B.V.;;2;2
Texcellent;;1;1
The Digital Photo Experience;;1;1
The Ministry of Creativity B.V.;;1;1
The Oddshop B.V.;1;1;1
The One Minute Company;;1;1
ThiemeMeulenhoff B.V.;1;;1
Thijs Lansbergen;;1;1
Things To Make And Do B.V.;2;3;4
Tineke Dijkstra Fotografie;1;;1
Tint, Buro voor Grafische Vormgeving;1;2;2
TMG Landelijke Media B.V.;1;;1
TODAY DESIGNERS B.V.;;2;2
Total Identity;;2;2
Total Text;1;;1
Tranquilo;;1;1
Truman Amsterdam B.V.;;2;2
Twenty Four Webvertising Nieuws B.V.;;1;1
Uitgeverij De Bezige Bij B.V.;;;
Uitgeverij Lannoo N.V.;1;;1
Uitgeverij Paris B.V.;2;;2
Uitgeverij Scripta Manum;1;;1
Uitgeverij Sportgericht;1;;1
Uitgeverij Studiecentrum Kerckebosch;1;;1
Ursula Cocheret de la Morini�re;;1;1
USG Marketing & Communications;;2;2
Vakmedianet BouwCommunities B.V.;1;;1
Vakmedianet Food & Horeca B.V.;1;;1
Vakmedianet Management B.V.;1;;1
Valerie Kuypers Fotografie;;1;1
VDLC;1;;1
VDO Opleidingen, Trainingen en Examens;1;;1
Veen media;1;;1
Ver. Nederlands Tijdschrift voor Geneeskunde;1;;1
Ver. van Ambt. Secr. Medezeggensch.org. Ned.;1;;1
Ver. voor Klachtrecht in de publieke sector;1;;1
Verbeeld;;1;1
Verenig. Politie Dieren- en Milieubescherming;1;;1
Vereniging Coin;1;;1
Vereniging Facility Management Nederland;1;;1
Vereniging LFB;;1;1
Vereniging Testnet;1;;1
Vereniging Vluchtelingenwerk Nederland;2;;2
Vereniging voor Arbeidsrecht;1;;1
Vereniging voor Belastingwetenschap;1;;1
Vereniging voor Intellectuele Eigendom;1;;1
Veronica Uitgeverij B.V.;1;;1
Videonieuwsbericht B.V.;;1;1
Vince Illustraties;1;1;1
Visserijnieuws B.V.;1;;1
VIXY B.V.;;1;1
VoorMeerWaarde B.V.;;1;1
Vorm Vijf Adviesteam;1;2;2
Vorm Vijf Ontwerpteam B.V.;;1;1
VormPro;;1;1
VZW Karus campus Gent;1;;1
Walvisch Fotografie;1;1;1
Welzijnscommunicatie;;1;1
Went Werkt Journalistiek;;1;1
Westerdoc;1;;1
Wielinga Wijnimport V.O.F.;;1;1
Willem Film;1;;1
Wirtz, Film & Experience Agency B.V.;1;2;2
Wolters Kluwer Nederland B.V.;5;;5
Worcflow;1;;1
Xerox (Nederland) B.V.;3;4;4
Xerox Services B.V.;;1;1
Xyva B.V.;;1;1
Yed Holding;;2;2
Youvia B.V.;;1;1
Zoer Assen;1;;1
Zootz B.V.;1;;1
Zwinq Dld B.V.;1;;1
Eindtotaal;7;7;8
