Rijlabels;9010 - GWW;9410 - Lokale belastingen - waterschapslasten;9520 - BZK Specifiek;9560 - I&M specifiek;Eindtotaal
Aakwadraat Networks B.V.;;;;1;1
Aan de Gaag;;;;1;1
Aanmelder.nl B.V.;;;;1;1
Aann.- & Verh.bedr. J. Hoondert & Zn. B.V.;;;;4;4
Aann. Mij. Thomassen-Akkrum B.V.;;;;2;2
Aannemersbedrijf Engel Staphorst;;;;2;2
Aannemersbedrijf Kienstra B.V.;;;;1;1
Aannemersbedrijf Nagelhout Woudsend B.V.;;;;1;1
Aannemersbedrijf P. de Visser Werkendam B.V.;;;;2;2
Aannemersbedrijf Roseboom B.V.;;;;3;3
Aannemersbedrijf Rouwmaat Groenlo B.V.;;;;5;5
Aanneming Wegenbouw G. Hemmen B.V.;;;;7;7
Aannemingsbedrijf A.J. Kuipers B.V.;;;;2;2
Aannemingsbedrijf AVK B.V.;;;;2;2
Aannemingsbedrijf De Vries Werkendam B.V.;;;;4;4
Aannemingsbedrijf De Wilde B.V.;;;;2;2
Aannemingsbedrijf G. van der Ven B.V.;;;;2;2
Aannemingsbedrijf H. de Boer Muiderberg B.V.;;;;1;1
Aannemingsbedrijf J. van den Broek B.V.;;;;2;2
Aannemingsbedrijf P. Klein en Zoon B.V.;;;;4;4
Aannemingsbedrijf Tatenhove B.V.;;;;1;1
Aannemingsbedrijf Van den Nieuwendijk B.V.;;;;2;2
Aannemingsbedrijf Vermeulen Benthuizen B.V.;;;;9;9
Aannemingsbedrijf Vissers B.V.;;;;3;3
Aannemingsmaatschappij Markus B.V.;;;;2;2
Aannemingsmaatschappij van Gelder B.V.;;;;7;7
Aatop personeelsdiensten B.V.;;;;4;4
AB Vakwerk Agri B.V.;;;;1;1
ABB B.V.;;;;8;8
Abbink Groep B.V.;;;;3;3
ABC Display Industry B.V.;;;;2;2
ABC Hekwerk-Oost;;;;1;1
ABC Nova Nieuwegein B.V.;;;;5;5
Abe Veenstra landschapsarchitect;;;;2;2
Abemo Adviesbur. voor Effic. Manag. Onderst.;;;;4;4
ABF Group B.V.;;;;1;1
ABF Research B.V.;;;;3;3
Abilitec B.V.;;;;2;2
Abilitec Consultants B.V.;;;;3;3
Abiom Communication Systems (A.C.S.) B.V.;;;;3;3
Ablocare-advies;;;;1;1
ABO Milieuconsult B.V.;;;;2;2
Abode Beheer B.V.;;;;1;1
Aboma;;;;1;1
ABOVO Media;;;;1;1
ABR B.V.;;;;2;2
ABS Group Ltd.;;;;1;1
Absoluta Food and Facilities B.V.;;;;1;1
ABT B.V.;;;;2;2
Abus Kraansystemen B.V.;;;;1;1
ABV Haukes Inspectiediensten B.V.;;;;1;1
AC Restaurant & Hotel Amsterdam;;;;1;1
AC Restaurant & Hotel Holten;;;;1;1
Acacia Water B.V.;;;;2;2
Academie voor Organisatiecultuur;;;;1;1
Acaleph Opleiding Training en Adviezen B.V.;;;;1;1
Accanto B.V.;;;;3;3
Accenture B.V.;;;;2;2
Access Innovations B.V.;;;;2;2
Accor Hospitality Nederland N.V.;;;;1;1
Account Concepts B.V.;;;;1;1
Accountor Nederland B.V.;;;;1;1
Accres Apeldoorn B.V.;;;;1;1
Accres Uitgevers;;;;1;1
ACES Direct B.V.;;;;1;1
Achmea Bank N.V.;;;;2;2
Achmea Schadeverzekeringen N.V.;;;;1;1
Achmea Tussenholding B.V.;;;;2;2
Achterhoek-Notaris;;;;1;1
Achtienhonderdeenenvijftig (1851) B.V.;;;;1;1
AcquiMedia;;;;1;1
Acquire Publishing B.V.;;;;1;1
ACS audiovisual solutions B.V.;;;;1;1
Acta Marine B.V.;;;;2;2
Acta Safety Professionals B.V.;;;;1;1
Actual Design;;;;1;1
Acuerdis B.V.;;;;5;5
ACVO;;;;1;1
Ad Em Producties B.V.;;;;1;1
Ad Hoc Beheer B.V.;;;;1;1
'A'dam Ports Assoc.' v/h de Amsterdamse Haven;;;;1;1
ADC Archeologisch Diensten Centrum N.V.;;;;1;1
ADC Archeologische Opgravingen B.V.;;;;1;1
ADC Lettersprint B.V.;;;;1;1
ADC Reproservice B.V.;;;;1;1
Adec Nederland B.V.;;;;1;1
Adesys B.V.;;;;1;1
Adigis B.V.;;;;2;2
Adinf B.V.;;;;5;5
Adjust Consulting B.V.;;;;3;3
Adlittelhelpt;;;;1;1
ADoBZ;;;;2;2
Adromi B.V.;;;;2;2
Adse Holding B.V.;;;;2;2
Adv.bur.;;;;3;3
Adv.bur. Schadeverg. J.R.M. van der Poel B.V.;;;;4;4
Advance Communications;;;;1;1
Advanced Programs Europe B.V.;;;;1;1
Adventurecook;;;;1;1
Advier;;;;1;1
Advies en Management Mr. Dr. A.H.A. Lutters;;;;3;3
Advies Management & Training B.V.;;;;3;3
Advies Talent B.V.;;;;4;4
Advies010;;;;2;2
Adviesbur. voor Bouwconstruct. Wagemaker B.V.;;;;6;6
Adviesbureau Balenco;;;;1;1
Adviesbureau C2 B.V.;;;;5;5
Adviesbureau E.C.O. Logisch;;;;1;1
Adviesbureau G. Dekker;;;;2;2
Adviesbureau Gyroscoop;;;;4;4
Adviesbureau ir. J.G. Hageman B.V.;;;;4;4
Adviesbureau Kiene B.V.;;;;4;4
Adviesbureau Kusters B.V.;;;;4;4
Adviesbureau STATEMA B.V.;;;;3;3
Adviesbureau VEM;;;;2;2
Adviesburo Van Beest;;;;2;2
Adviesdienst Mens & Veiligheid B.V.;;;;5;5
Advin B.V.;;;;8;8
Advisafe Risk Management B.V.;;;;4;4
ADVITAM B.V.;;;;2;2
Advitec B.V.;;;;2;2
Aebi Schmidt Nederland B.V.;;;;5;5
AEQUATOR Groen & Ruimte B.V.;;;;1;1
Aeres Hogeschool Wageningen;;;;1;1
Aermast Holland;;;;1;1
AEVO Zuid-Holland;;;;5;5
afgekort R.E.T. N.V.;;;;2;2
Afmitech Friesland B.V.;;;;1;1
Afvalwater Services B.V.;;;;1;1
AGM Inspectie;;;;2;2
Agmi Traffic B.V.;;;;1;1
AGOTEC B.V.;;;;4;4
Agrarische Natuur Vereniging 'Het Camperland';;;;1;1
Agrima II B.V.;;;;1;1
Agtersloot Hydraulisch Advies B.V.;;;;4;4
Ahead Recruitment B.V.;;;;4;4
Ahoy Rotterdam N.V.;;;;1;1
Ahrend Inrichten;;;;1;1
Ahrend Nederland B.V.;;;;1;1
Ai Uchi B.V.;;;;1;1
Aicom B.V.;;;;2;2
Aikima;;;;1;1
Aircr. Develop. and Systems Engineering B.V.;;;;4;4
Akerflex B.V.;;;;3;3
Akke Holsteijn / Werk in Communicatie;;;;1;1
akkiDO milieuadvies;;;;2;2
AKZO Nobel Industrial Chemicals B.V.;;;;1;1
Alan en Pim's Rotterdam B.V.;;;;1;1
Alarma 33;;;;2;2
Alba Secretarisdiensten & Projectbegeleiding;;;;3;3
Albar Industrie;;;;3;3
Albert Heijn B.V.;;;;1;1
Alcedo;;;;1;1
Alcredis Finance B.V.;;;;1;1
Alex Pitstra Media;;;;2;2
Alfa Laval Benelux B.V.;;;;2;2
Alfabet 2.0 B.V.;;;;1;1
Alg. Rotterdamse Student. Roeiver. 'Skadi';;;;1;1
Algemeen Groninger Persbureau Tammeling B.V.;;;;1;1
All4sports B.V.;;;;1;1
Alles in beeld;;;;1;1
Alles voor de lunch;;;;1;1
Allianz Global Assistance;;;;7;7
Allianz Nederland Schadeverzekering;;;;1;1
All-Inn Verspreidingen B.V.;;;;1;1
All-round Catering Service Hapjesgigant M & M;;;;1;1
Almad Eco B.V.;;;;1;1
Almelose Borstelindustrie B.V.;;;;1;1
Alnic B.V.;;;;6;6
Alpha Bedrijfsdeuren B.V.;;;;1;1
Alpha Holland B.V.;;;;1;1
Alpha.One B.V.;;;;1;1
Alphabet Nederland B.V.;;;;1;1
Alten DDA;;;;4;4
Altenburg & Wymenga Ecologisch Onderzoek B.V.;;;;4;4
Alterego Consult B.V.;;;;1;1
Alternate Computerversand Nederland;;;;1;1
Alticom B.V.;;;;1;1
Alt-Tab Bedrijfsondersteuning;;;;1;1
AL-West B.V.;;;;5;5
AM Producties;;;;1;1
AM&P B.V.;;;;1;1
Amadore Wellness Hotel de Kamperduinen B.V.;;;;1;1
Amarantha Bloemsierkunst;;;;1;1
Amazing Bread Company B.V.;;;;1;1
Ambidexter Management B.V.;;;;2;2
Ambiënt Advies B.V.;;;;3;3
Ambitiekompas B.V.;;;;3;3
AMBor Creatie;;;;2;2
Ameco Adviesgroep Milieubeleid B.V.;;;;4;4
Amersfoort Beheer B.V.;;;;1;1
AMI Maastricht;;;;3;3
Amis Services B.V.;;;;1;1
AMJ Advies;;;;1;1
AmsterBammetje;;;;1;1
Amsterdam Consultants;;;;2;2
Amsterdam Engineering B.V.;;;;2;2
Amsterdam Quality Bookings;;;;1;1
Amundsen International Staffing B.V.;;;;1;1
Amvest Management B.V.;;;;1;1
AMVM Advies;;;;4;4
Analyse Bureau Safety Inventarisatie B.V.;;;;1;1
Andarr Technology Services;;;;2;2
ANDC;;;;1;1
Ander Licht;;;;2;2
Andes B.V.;;;;2;2
Andeweg B.V.;;;;3;3
Anke Nobel Illustraties;;;;1;1
Annonu Techniek B.V.;;;;2;2
Anny van Huet, Advies & Training;;;;1;1
Anoniem 100;;;;1;1
Anoniem 101;;;;1;1
Anoniem 105;;;;1;1
Anoniem 106;;;;1;1
Anoniem 107;;;;1;1
Anoniem 108;;;;1;1
Anoniem 109;;;;1;1
Anoniem 110;;;;1;1
Anoniem 112;;;;4;4
Anoniem 114;;;;1;1
Anoniem 115;;;;1;1
Anoniem 116;;;;1;1
Anoniem 117;;;;1;1
Anoniem 118;;;;1;1
Anoniem 12;;;;2;2
Anoniem 120;;;;1;1
Anoniem 126;;;;1;1
Anoniem 127;;;;7;7
Anoniem 128;;;;4;4
Anoniem 130;;;;8;8
Anoniem 131;;;;7;7
Anoniem 132;;;;2;2
Anoniem 139;;;;1;1
Anoniem 140;;;;1;1
Anoniem 144;;;;1;1
Anoniem 145;;;;1;1
Anoniem 147;;;;1;1
Anoniem 148;;;;1;1
Anoniem 149;;;;1;1
Anoniem 150;;;;7;7
Anoniem 152;;;;1;1
Anoniem 153;;;;1;1
Anoniem 154;;;;2;2
Anoniem 155;;;;2;2
Anoniem 156;;;;1;1
Anoniem 158;;;;1;1
Anoniem 160;;;;9;9
Anoniem 161;;;;1;1
Anoniem 164;;;;1;1
Anoniem 167;;;;2;2
Anoniem 169;;;;11;11
Anoniem 170;;;;7;7
Anoniem 171;;;;9;9
Anoniem 172;;;;6;6
Anoniem 173;;;;8;8
Anoniem 174;;;;6;6
Anoniem 175;;;;7;7
Anoniem 176;;;;9;9
Anoniem 177;;;;7;7
Anoniem 178;;;;11;11
Anoniem 179;;;;8;8
Anoniem 18;;;;1;1
Anoniem 180;;;;5;5
Anoniem 181;;;;8;8
Anoniem 182;;;;7;7
Anoniem 183;;;;7;7
Anoniem 184;;;;6;6
Anoniem 185;;;;9;9
Anoniem 186;;;;9;9
Anoniem 187;;;;7;7
Anoniem 188;;;;10;10
Anoniem 189;;;;1;1
Anoniem 190;;;;7;7
Anoniem 191;;;;9;9
Anoniem 192;;;;3;3
Anoniem 193;;;;5;5
Anoniem 194;;;;7;7
Anoniem 195;;;;7;7
Anoniem 196;;;;10;10
Anoniem 197;;;;8;8
Anoniem 198;;;;8;8
Anoniem 199;;;;2;2
Anoniem 200;;;;7;7
Anoniem 201;;;;5;5
Anoniem 204;;;;1;1
Anoniem 205;;;;9;9
Anoniem 206;;;;1;1
Anoniem 207;;;;2;2
Anoniem 211;;;;1;1
Anoniem 215;;;;5;5
Anoniem 228;;;;1;1
Anoniem 229;;;;1;1
Anoniem 230;;;;1;1
Anoniem 233;;;;2;2
Anoniem 234;;;;1;1
Anoniem 238;;;;2;2
Anoniem 240;;;;1;1
Anoniem 241;;;;4;4
Anoniem 243;;;;1;1
Anoniem 245;;;;1;1
Anoniem 248;;;;1;1
Anoniem 25;;;;10;10
Anoniem 253;;;;1;1
Anoniem 255;;;;1;1
Anoniem 256;;;;2;2
Anoniem 257;;;;2;2
Anoniem 259;;;;4;4
Anoniem 262;;;;10;10
Anoniem 265;;;;3;3
Anoniem 267;;;;1;1
Anoniem 27;;;;1;1
Anoniem 270;;;;1;1
Anoniem 275;;;;2;2
Anoniem 276;;;;1;1
Anoniem 278;;;;1;1
Anoniem 28;;;;4;4
Anoniem 282;;;;1;1
Anoniem 283;;;;1;1
Anoniem 285;;;;1;1
Anoniem 288;;;;1;1
Anoniem 289;;;;1;1
Anoniem 29;;;;1;1
Anoniem 290;;;;1;1
Anoniem 297;;;;2;2
Anoniem 298;;;;1;1
Anoniem 299;;;;1;1
Anoniem 3;;;;1;1
Anoniem 30;;;;1;1
Anoniem 300;;;;1;1
Anoniem 303;;;;2;2
Anoniem 307;;;;1;1
Anoniem 309;;;;1;1
Anoniem 311;;;;1;1
Anoniem 312;;;;1;1
Anoniem 313;;;;2;2
Anoniem 317;;;;3;3
Anoniem 321;;;;2;2
Anoniem 322;;;;1;1
Anoniem 324;;;;1;1
Anoniem 326;;;;1;1
Anoniem 327;;;;1;1
Anoniem 329;;;;4;4
Anoniem 33;;;;1;1
Anoniem 330;;;;1;1
Anoniem 332;;;;1;1
Anoniem 34;;;;2;2
Anoniem 341;;;;1;1
Anoniem 344;;;;1;1
Anoniem 349;;;;7;7
Anoniem 35;;;;1;1
Anoniem 353;;;;1;1
Anoniem 354;;;;1;1
Anoniem 355;;;;1;1
Anoniem 356;;;;1;1
Anoniem 358;;;;1;1
Anoniem 364;;;;2;2
Anoniem 365;;;;1;1
Anoniem 366;;;;2;2
Anoniem 367;;;;2;2
Anoniem 369;;;;1;1
Anoniem 37;;;;12;12
Anoniem 370;;;;1;1
Anoniem 371;;;;3;3
Anoniem 372;;;;9;9
Anoniem 38;;;;1;1
Anoniem 381;;;;1;1
Anoniem 384;;;;1;1
Anoniem 385;;;;1;1
Anoniem 388;;;;2;2
Anoniem 39;;;;2;2
Anoniem 390;;;;2;2
Anoniem 392;;;;1;1
Anoniem 397;;;;1;1
Anoniem 40;;;;1;1
Anoniem 402;;;;1;1
Anoniem 405;;;;7;7
Anoniem 407;;;;3;3
Anoniem 408;;;;1;1
Anoniem 411;;;;1;1
Anoniem 412;;;;1;1
Anoniem 416;;;;2;2
Anoniem 417;;;;1;1
Anoniem 419;;;;1;1
Anoniem 42;;;;4;4
Anoniem 421;;;;2;2
Anoniem 423;;;;2;2
Anoniem 424;;;;1;1
Anoniem 425;;;;1;1
Anoniem 426;;;;1;1
Anoniem 429;;;;1;1
Anoniem 430;;;;1;1
Anoniem 431;;;;4;4
Anoniem 434;;;;1;1
Anoniem 438;;;;2;2
Anoniem 44;;;;1;1
Anoniem 442;;;;4;4
Anoniem 443;;;;1;1
Anoniem 444;;;;2;2
Anoniem 446;;;;2;2
Anoniem 449;;;;4;4
Anoniem 452;;;;1;1
Anoniem 453;;;;1;1
Anoniem 454;;;;2;2
Anoniem 455;;;;1;1
Anoniem 456;;;;2;2
Anoniem 457;;;;1;1
Anoniem 46;;;;1;1
Anoniem 462;;;;1;1
Anoniem 463;;;;1;1
Anoniem 467;;;;2;2
Anoniem 471;;;;4;4
Anoniem 475;;;;1;1
Anoniem 476;;;;2;2
Anoniem 477;;;;1;1
Anoniem 48;;;;1;1
Anoniem 480;;;;1;1
Anoniem 481;;;;1;1
Anoniem 486;;;;1;1
Anoniem 487;;;;2;2
Anoniem 490;;;;2;2
Anoniem 491;;;;1;1
Anoniem 492;;;;1;1
Anoniem 493;;;;1;1
Anoniem 494;;;;1;1
Anoniem 495;;;;1;1
Anoniem 496;;;;1;1
Anoniem 497;;;;2;2
Anoniem 498;;;;1;1
Anoniem 50;;;;4;4
Anoniem 500;;;;1;1
Anoniem 501;;;;1;1
Anoniem 502;;;;1;1
Anoniem 503;;;;1;1
Anoniem 504;;;;1;1
Anoniem 51;;;;2;2
Anoniem 516;;;;1;1
Anoniem 538;;;;1;1
Anoniem 539;;;;3;3
Anoniem 546;;;;1;1
Anoniem 547;;;;1;1
Anoniem 548;;;;5;5
Anoniem 55;;;;1;1
Anoniem 551;;;;1;1
Anoniem 552;;;;1;1
Anoniem 554;;;;3;3
Anoniem 556;;;;4;4
Anoniem 558;;;;1;1
Anoniem 559;;;;9;9
Anoniem 56;;;;3;3
Anoniem 562;;;;1;1
Anoniem 563;;;;2;2
Anoniem 564;;;;2;2
Anoniem 565;;;;5;5
Anoniem 567;;;;2;2
Anoniem 569;;;;6;6
Anoniem 57;;;;1;1
Anoniem 573;;;;1;1
Anoniem 576;;;;1;1
Anoniem 579;;;;1;1
Anoniem 581;;;;1;1
Anoniem 583;;;;4;4
Anoniem 585;;;;2;2
Anoniem 586;;;;2;2
Anoniem 588;;;;4;4
Anoniem 590;;;;1;1
Anoniem 591;;;;5;5
Anoniem 594;;;;7;7
Anoniem 595;;;;1;1
Anoniem 6;;;;2;2
Anoniem 60;;;;1;1
Anoniem 600;;;;1;1
Anoniem 604;;;;1;1
Anoniem 606;;;;1;1
Anoniem 607;;;;1;1
Anoniem 608;;;;1;1
Anoniem 61;;;;1;1
Anoniem 611;;;;1;1
Anoniem 614;;;;2;2
Anoniem 616;;;;1;1
Anoniem 617;;;;2;2
Anoniem 618;;;;1;1
Anoniem 619;;;;1;1
Anoniem 622;;;;1;1
Anoniem 623;;;;5;5
Anoniem 624;;;;9;9
Anoniem 625;;;;9;9
Anoniem 626;;;;1;1
Anoniem 63;;;;7;7
Anoniem 634;;;;1;1
Anoniem 635;;;;1;1
Anoniem 637;;;;1;1
Anoniem 638;;;;1;1
Anoniem 639;;;;1;1
Anoniem 642;;;;1;1
Anoniem 645;;;;1;1
Anoniem 648;;;;2;2
Anoniem 65;;;;1;1
Anoniem 651;;;;1;1
Anoniem 652;;;;1;1
Anoniem 653;;;;1;1
Anoniem 655;;;;1;1
Anoniem 661;;;;1;1
Anoniem 663;;;;1;1
Anoniem 664;;;;4;4
Anoniem 668;;;;10;10
Anoniem 669;;;;1;1
Anoniem 67;;;;7;7
Anoniem 671;;;;4;4
Anoniem 673;;;;1;1
Anoniem 674;;;;1;1
Anoniem 675;;;;2;2
Anoniem 676;;;;1;1
Anoniem 68;;;;1;1
Anoniem 681;;;;2;2
Anoniem 682;;;;1;1
Anoniem 684;;;;1;1
Anoniem 686;;;;1;1
Anoniem 688;;;;1;1
Anoniem 693;;;;1;1
Anoniem 695;;;;1;1
Anoniem 696;;;;2;2
Anoniem 70;;;;1;1
Anoniem 702;;;;3;3
Anoniem 704;;;;1;1
Anoniem 705;;;;1;1
Anoniem 706;;;;7;7
Anoniem 707;;;;1;1
Anoniem 71;;;;1;1
Anoniem 711;;;;1;1
Anoniem 715;;;;4;4
Anoniem 716;;;;1;1
Anoniem 718;;;;1;1
Anoniem 720;;;;4;4
Anoniem 721;;;;1;1
Anoniem 722;;;;9;9
Anoniem 725;;;;1;1
Anoniem 726;;;;1;1
Anoniem 727;;;;1;1
Anoniem 728;;;;1;1
Anoniem 73;;;;1;1
Anoniem 730;;;;1;1
Anoniem 733;;;;1;1
Anoniem 734;;;;2;2
Anoniem 735;;;;1;1
Anoniem 738;;;;5;5
Anoniem 739;;;;2;2
Anoniem 74;;;;1;1
Anoniem 740;;;;6;6
Anoniem 741;;;;1;1
Anoniem 742;;;;1;1
Anoniem 743;;;;1;1
Anoniem 745;;;;1;1
Anoniem 746;;;;3;3
Anoniem 747;;;;1;1
Anoniem 749;;;;1;1
Anoniem 750;;;;1;1
Anoniem 751;;;;1;1
Anoniem 753;;;;4;4
Anoniem 754;;;;2;2
Anoniem 756;;;;1;1
Anoniem 757;;;;5;5
Anoniem 759;;;;1;1
Anoniem 764;;;;7;7
Anoniem 765;;;;7;7
Anoniem 766;;;;7;7
Anoniem 767;;;;6;6
Anoniem 768;;;;8;8
Anoniem 769;;;;10;10
Anoniem 770;;;;1;1
Anoniem 775;;;;1;1
Anoniem 777;;;;1;1
Anoniem 778;;;;1;1
Anoniem 780;;;;1;1
Anoniem 783;;;;1;1
Anoniem 785;;;;1;1
Anoniem 786;;;;7;7
Anoniem 787;;;;1;1
Anoniem 790;;;;2;2
Anoniem 791;;;;1;1
Anoniem 794;;;;1;1
Anoniem 796;;;;3;3
Anoniem 797;;;;1;1
Anoniem 798;;;;1;1
Anoniem 799;;;;2;2
Anoniem 80;;;;1;1
Anoniem 82;;;;9;9
Anoniem 83;;;;1;1
Anoniem 84;;;;1;1
Anoniem 88;;;;1;1
Anoniem 91;;;;1;1
Anoniem 94;;;;2;2
Anoniem 97;;;;3;3
Anoniem 98;;;;3;3
ANS Baggermanagement B.V.;;;;2;2
ANS Verkeer & Ruimte B.V.;;;;1;1
ANSINGER B.V.;;;;1;1
Ansul;;;;1;1
Antargaz Nederland B.V.;;;;1;1
Antea Inspection B.V.;;;;8;8
Antea Nederland B.V.;;;;8;8
Anthony Fudge & Associates;;;;2;2
Antropia B.V.;;;;1;1
ANWB B.V.;;;;3;3
Apartt Rotterdam Horeca B.V.;;;;1;1
APcon Adviesbureau B.V.;;;;1;1
Apenheul;;;;1;1
Apollo13;;;;1;1
Appia Quality Projects B.V.;;;;3;3
Applaus B.V.;;;;1;1
APPM Management Consultants B.V.;;;;5;5
APPMA Projectmanagement en Advies;;;;2;2
Aqua Sailing Business Events;;;;1;1
Aqua Technics Benelux;;;;1;1
Aqua Vision B.V.;;;;5;5
Aquagis B.V.;;;;2;2
Aqualab Zuid B.V.;;;;2;2
Aquanoom B.V.;;;;4;4
Aquasurvey;;;;2;2
AquaTerra-KuiperBurger;;;;5;5
AquaTerra-KuiperBurger (ATKB);;;;5;5
Aquatuur B.V.;;;;2;2
Aquifer Advies B.V.;;;;1;1
A-Quin B.V.;;;;1;1
Aquirius B.V.;;;;3;3
ARA Adviesburo B.V.;;;;1;1
ARA Groep B.V.;;;;4;4
Aracor Holding B.V.;;;;4;4
ARAG SE Nederland;;;;1;1
Aram Planning Consultants B.V.;;;;4;4
Arane adviseurs in verkeer en vervoer B.V.;;;;5;5
Aranea Grafimedia B.V.;;;;1;1
ARBÉ Management;;;;4;4
Arbo Aanzet;;;;2;2
Arbo Inspectie Dienst B.V.;;;;1;1
Arbo Unie B.V.;;;;4;4
ARCADIS Nederland;;;;7;7
ARCADIS Nederland B.V.;;;;9;9
Arch.- & Konstruktieburo Van Rossum V.O.F.;;;;2;2
Architektenburo K. van Velsen B.V.;;;;5;5
ArchiXL B.V.;;;;1;1
Arendshoeve B.V.;;;;1;1
ARERI;;;;2;2
Arfman Hekwerk B.V.;;;;2;2
Argentina Cultural Services (A.C.S.);;;;1;1
Aride interactieve communicatie;;;;1;1
Aristo Eindhoven B.V.;;;;1;1
Aristo Utrecht B.V.;;;;1;1
Arkhitekton;;;;1;1
ARMAEX B.V.;;;;4;4
ARN Sustainability B.V.;;;;1;1
Arnage Horeca B.V.;;;;1;1
Arnhem-Diamant B.V.;;;;2;2
Arnopress;;;;1;1
Aron Nijs Fotografie;;;;1;1
Arriva Touring;;;;1;1
ARS Traffic & Transport Technology B.V.;;;;8;8
Art & Dining;;;;1;1
Art Centre Delft;;;;2;2
Art Culinair;;;;1;1
art of change B.V.;;;;2;2
ARTeFACT! Advies en Onderzoek in Erfgoed;;;;2;2
Artiestenverloningen B.V.;;;;1;1
Artige B.V.;;;;1;1
Artium Experts Hoogeveen B.V.;;;;1;1
Artium Experts Rotterdam B.V.;;;;2;2
Artpub B.V.;;;;1;1
Arup B.V.;;;;5;5
Arup-Nebest;;;;8;8
ASB Security B.V.;;;;1;1
Asbestsanering Haarsma B.V.;;;;1;1
Asbestzoeken B.V.;;;;1;1
Ascender B.V.;;;;1;1
ASL asbest saneringen B.V.;;;;2;2
Aspentech;;;;3;3
ASR Nederland N.V.;;;;1;1
ASSA ABLOY Nederland B.V.;;;;3;3
Assembl3d B.V.;;;;2;2
Assurantiebedrijf Hoofdstad B.V.;;;;1;1
Asterisa;;;;4;4
Astoria B.V.;;;;1;1
Asya B.V.;;;;1;1
At Osborne B.V.;;;;7;7
ATABNL.com;;;;1;1
Atelier Groenblauw / Opmaat;;;;1;1
Atelier Juttersgeluk;;;;1;1
Atelier NL B.V.;;;;1;1
Athenas B.V.;;;;1;1
Atlantic Hotel Exploitatie B.V.;;;;1;1
Atlas Landkaartenbedrijf;;;;1;1
Atlas Services Group Dredging B.V.;;;;3;3
Atos Nederland B.V.;;;;7;7
Attached B.V.;;;;1;1
Attentie Attentie;;;;1;1
ATTERO B.V.;;;;1;1
Atypical;;;;2;2
Aude;;;;1;1
Automation4B B.V.;;;;2;2
Automotive Publishing B.V.;;;;1;1
AutomotiveNL B.V.;;;;2;2
Auto-Onderdelen Centrale;;;;1;1
Auvimedia;;;;1;1
Auxilium B.V.;;;;2;2
AVA Groep B.V.;;;;2;2
AVA MANAGEMENT & ENGINEERING B.V.;;;;4;4
Avance Maastricht B.V.;;;;4;4
Avcommit B.V.;;;;3;3
Aveco De Bondt;;;;7;7
Avenue2 Infra;;;;6;6
Avex B.V.;;;;3;3
A-Vier Producties;;;;2;2
Aviodrome Exploitatie B.V.;;;;1;1
Aviste B.V.;;;;1;1
Avivas;;;;2;2
AVL E-Style;;;;1;1
AVSM Arbo Consult;;;;1;1
Awareness B.V.;;;;2;2
AxelConsultancy;;;;1;1
Axent Notarissen;;;;4;4
Axflow B.V.;;;;2;2
Axians;;;;4;4
AXLE Focused;;;;2;2
Ayers Rock Holding B.V.;;;;1;1
Azbil Telstar Benelux B.V.;;;;1;1
Azerty;;;;1;1
Aziatisch Restaurant Jasmijn & Ik;;;;1;1
