;Departement;Sector;Organisatie;Plaats;Functienaam;Motivatie;
24;OCW;Hoger Beroepsonderwijs;Hogeschool der Kunsten Den Haag;Den Haag;Docent;Uitkeringen ivm beeindiging dienstverband worden volledig in het jaar van toekenning verantwoord. Door de HdK DH over de gehele periode tot aan pensionering te betalen wachtgeldkosten(WW-BWRHBO) ad 95710 zou meer bedragen dan de ontslagvergoeding. ;
25;OCW;Hoger Beroepsonderwijs;Hogeschool van Amsterdam;Amsterdam;Directeur Dienst;de hoogte van de uitkering houdt verband met de lengte van het dienstverband ;
26;OCW;Hoger Beroepsonderwijs;Hogeschool van Arnhem en Nijmegen;Arnhem;Docent;Overschrijding wordt veroorzaakt door ontslagvergoeding. ;
27;OCW;Hoger Beroepsonderwijs;Hogeschool van Arnhem en Nijmegen;Arnhem;Hoofddocent;Overschrijding veroorzaakt door ontslagvergoeding. ;
28;OCW;Hoger Beroepsonderwijs;Hogeschool van Arnhem en Nijmegen;Arnhem;Hoofddocent;Overschrijding wordt veroorzaakt door ontslagvergoeding. ;
29;OCW;Media;AVRO;Hilversum;Programmamedewerker 1;Ontslagvergoeding ;
30;OCW;Media;AVRO;Hilversum;Programmamedewerker 3;Ontslagvergoeding ;
31;OCW;Media;AVRO;Hilversum;Programmamedewerker 4;Ontslagvergoeding ;
32;OCW;Media;AVRO;Hilversum;Programmamedewerker 5;Ontslagvergoeding ;
33;OCW;Media;KRO;Hilversum;Marketing manager;afvloeiingsregeling in verband met reorganisatie ;
34;OCW;Media;KRO;Hilversum;Producer;afvloeiingsregeling in verband met reorganisatie ;
35;OCW;Media;Stichting AKN;Hilversum;Infrastructuurbeheerder;overschrijding als gevolg van ontslagvergoeding. ;
36;OCW;Media;Stichting G4 Radio (FunX);ROTTERDAM;Algemeen directeur;Overschrijding onstaan door uitkering ontslagvergoeding. ;
37;OCW;Middelbaar Beroepsonderwijs;AOC Oost;LOCHEM;Beleidsmedewerker;mobiliteitsafspraken in verband met exitregeling ;
38;OCW;Middelbaar Beroepsonderwijs;AOC Oost;LOCHEM;docent;Mobiliteitsafspraken in verband met een exitregeling ;
39;OCW;Middelbaar Beroepsonderwijs;Stichting Amarantis Onderwijsgroep;AMSTERDAM;Voorzitter CvB;Ontslagvergoeding ;
40;OCW;Middelbaar Beroepsonderwijs;Stichting ROC Eindhoven;EINDHOVEN;Directeur;De verschuiving van Automotive richting Helmond gecombineerd met verandenede eisen op managementgebied hebben geleid tot uiteengaan. ;
41;OCW;Middelbaar Beroepsonderwijs;Stichting ROC Eindhoven;EINDHOVEN;Projectleider;Specifieke onderwijskundige competenties van de projectleider, op het gebied van EVC-beoordelingen, waren door inhoudelijke koerswijziging niet langer zinvol voor ROC Eindhoven. Gecombineerd met een verschuiving van onderwijsontwikkeling van stafdienst naar onderwijsteams heeft dit geleid tot uiteengaan. ;
42;OCW;Overig;Nederlandse Org. toeg. natuurwetenschappelijk onderzoek (TNO);Delft;Directeur;Ontslag is niet aan eigen schuld of toedoen te wijten. Herplaatsingsmogelijkheden niet voorhanden. Betrokkene heeft een schadeloosstelling ontvangen, gebaseerd op de neutrale kantonrechtersformule. ;
43;OCW;Overig;Nederlandse Org. toeg. natuurwetenschappelijk onderzoek (TNO);Delft;Informatiekundige;Ontslag is niet aan eigen schuld of toedoen te wijten. Herplaatsingsmogelijkheden niet voorhanden. Betrokkene heeft een schadeloosstelling ontvangen, gebaseerd op de neutrale kantonrechtersformule. ;
44;OCW;Overig;Nederlandse Org. toeg. natuurwetenschappelijk onderzoek (TNO);Delft;Manager;Functie is opgeheven. Ontslag is niet aan eigen schuld of toedoen te wijten. Herplaatsingsmogelijkheden niet voorhanden. Betrokkene heeft een schadeloosstelling ontvangen, gebaseerd op de neutrale kantonrechtersformule. ;
45;OCW;Overig;Nederlandse Org. toeg. natuurwetenschappelijk onderzoek (TNO);Delft;Manager;Functie is opgeheven. Ontslag is niet aan eigen schuld of toedoen te wijten. Herplaatsingsmogelijkheden niet voorhanden. Betrokkene heeft een schadeloosstelling ontvangen, gebaseerd op de neutrale kantonrechtersformule. ;
46;OCW;Overig;Nederlandse Org. toeg. natuurwetenschappelijk onderzoek (TNO);Delft;Manager;Ontslag is niet aan eigen schuld of toedoen te wijten. Herplaatsingsmogelijkheden niet voorhanden. Betrokkene heeft een schadeloosstelling ontvangen, gebaseerd op een gerechtelijke uitspraak. ;
47;OCW;Overig;Nederlandse Org. toeg. natuurwetenschappelijk onderzoek (TNO);Delft;Manager;Ontslag is niet aan eigen schuld of toedoen te wijten. Herplaatsingsmogelijkheden niet voorhanden. Betrokkene heeft een schadeloosstelling ontvangen, gebaseerd op de neutrale kantonrechtersformule. ;
48;OCW;Overig;Nederlandse Org. toeg. natuurwetenschappelijk onderzoek (TNO);Delft;Projectmanager;Ontslag is niet aan eigen schuld of toedoen te wijten. Herplaatsingsmogelijkheden niet voorhanden. Betrokkene heeft een schadeloosstelling ontvangen, gebaseerd op de neutrale kantonrechtersformule. ;
49;OCW;Overig;Nederlandse Org. toeg. natuurwetenschappelijk onderzoek (TNO);Delft;Wetenschappelijk medewerker;Functie is opgeheven. Ontslag is niet aan eigen schuld of toedoen te wijten. Herplaatsingsmogelijkheden niet voorhanden. Betrokkene heeft een schadeloosstelling ontvangen, gebaseerd op de neutrale kantonrechtersformule. ;
50;OCW;Overig;St. Nationaal Natuurhistorisch Museum (NATURALIS);LEIDEN;Algemeen Directeur;De ontslagvergoeding is als gevolg van voortijdige beeindiging van het dienstverband uitbetaald. ;
51;OCW;Overig;Stichting Theaterproduktie Rotterdam;Rotterdam;ZAkelijk Leider;Door bijzondere omstandigheid in kader van een ontslag afwikkeling werd in 2011 in formele zin de Wopt-norm overschreden voor de heer A.C de Ronde. De bezoldiging van bestuurders wordt in principe conform de CAO ruim onder het Wopt salarisplafond toegekend. De ontslagvergoeding werd door de kantonrechter vastgesteld en is mede gebaseerd op 22 dienstjaren. Van deze overschrijding zal bij het Ministerie van Binnenlandse Zaken een melding worden gemaakt, dat is mogelijk in het begin van het tweede kwartaal van 2012 wanneer de meldingsmogelijkheid worden geopend ten behoeve van 2011. ;
52;OCW;Overig;Technische Universiteit Delft;Delft;Communicatie adviseur;Beeindiging van het dienstverband i.v.m. reorganisatie ;
53;OCW;Overig;Technische Universiteit Delft;Delft;Data-architect;Beeindiging van het dienstverband i.v.m. reorganisatie ;
54;OCW;Overig;Technische Universiteit Delft;Delft;Docent;Beeindiging van het dienstverband i.v.m. reorganisatie ;
55;OCW;Overig;Technische Universiteit Delft;Delft;Hoogleraar;Beeindiging van het dienstverband i.v.m. reorganisatie ;
56;OCW;Overig;Technische Universiteit Delft;Delft;Hoogleraar;Beeindiging van het dienstverband i.v.m. reorganisatie. ;
57;OCW;Overig;Technische Universiteit Eindhoven;Eindhoven;hoogleraar;De overschrijding is het gevolg van een betaalde vergoeding, samenhangend met de beëindiging van het dienstverband. ;
58;OCW;Overig;Universiteit Twente;Enschede;Beleidsdirecteur;De ontslagvergoeding vloeit voort uit een overeenkomst met het bestuur van de rechtspersoon, welke rechtspersoon ten tijde van het aangaan van de overeenkomst geen deel uitmaakte van de universiteit en derhalve een zelfstandige beslissingsbevoegdheid had. ;
59;OCW;Overig;Universiteit van Tilburg;Tilburg;projectmanager;beeindigingsovereenkomst gesloten per 1-1-2012, waarbij langdurige ontslaguitkeringen zijn afgekocht ;
60;OCW;Primair onderwijs;Stichting Atrium voor Katholiek Primair Onderwijs in Langedijk;Noord-Scharwoude;leraar primair onderwijs;Ontslagvergoeding na beeindiging door kantonrechter ;
61;OCW;Rijk (incl. Defensie en Rechterlijke macht);Ministerie van Onderwijs, Cultuur en Wetenschappen;DEN HAAG;Manager Projectenpool;In 2011 is er een normoverschrijding omdat de medewerker een vertrekstimuleringspremie heeft ontvangen conform sociaal flankerend beleid OCW. ;
62;OCW;Voortgezet onderwijs;Stichting DaCapo;Sittard;Unitdirecteur;"Herverdeling van werkzaamheden binnen de organisatie waardoor er geen vervangende gelijkwaardige functie meer voorhanden was
Tussen partijen was een zodanig fundamenteel en onoverbrugbaar verschil van inzicht gerezen over de wijze waarop vanaf 2011 de werkzaamheden verricht behoorden te worden. ";
63;OCW;Voortgezet onderwijs;Stichting VO Regio Schijndel;SCHIJNDEL;Voorzitter College van Bestuur;De ontslagvergoeding is aan de werknemer toegekend in aanvulling op een elders lager te verdienen salaris en afkoop van alle uitkeringsaanspraken die voor rekening van de werkgever zouden zijn gekomen. Daarnaast ziet de werknemer af van de aanspraken voortvloeiend uit het opgebouwde spaarverlof. ;
64;OCW;Voortgezet onderwijs;VRIJE UNIVERSITEIT;AMSTERDAM;Beleidsmedewerker;Betreft een eenmalige ontslaguitkering ivm een voorgenomen einde dienstverband. Medewerker geniet tot feitelijk einde dienstverband levensloopverlof. ;
65;OCW;ZBO's;Koninklijke Nederlandse Akademie van Wetenschappen (KNAW) incl. NIOD;Amsterdam;Hoofd afdeling Onderzoek Informatie;ontslag ;
66;SZW;Gemeenten;Socialedienst Veluwerand;Harderwijk;Directeur;Vertrek directeur ;
67;SZW;Overig;Hameland;Lichtenvoorde;Inkoper;Afvloeiing conform sociaal plan vanwege reorganistatie. ;
68;SZW;ZBO's;UWV;AMSTERDAM;Districtmanager SMZ;De ontslagvergoeding is op basis van een gerechtelijke uitspraak. ;
69;SZW;ZBO's;UWV;AMSTERDAM;Hoofd Gegevensdiensten & Informatie;Ontslagvergoeding is op basis van een gerechtelijke uitspraak. ;
70;V&J;Rijk (incl. Defensie en Rechterlijke macht);Commissie Gelijke Behandeling;UTRECHT;directeur bedrijfsvoering;Conform gemaakte afspraken in vaststellingsovereenkomst via DIRR ;
71;V&J;Rijk (incl. Defensie en Rechterlijke macht);Ministerie van Veiligheid en Justitie;DEN HAAG;Afdelingshoofd;Vaststellingsovereenkomst in het kader van SFB ;
72;V&J;Rijk (incl. Defensie en Rechterlijke macht);Ministerie van Veiligheid en Justitie;DEN HAAG;Medewerker;Vaststellingsovereenkomst in het kader van SFB ;
73;V&J;Rijk (incl. Defensie en Rechterlijke macht);Ministerie van Veiligheid en Justitie;DEN HAAG;Medewerker;Vaststellingsovereenkomst in het kader van SFB ;
74;V&W;Middelbaar Beroepsonderwijs;Stichting STC-Group;ROTTERDAM;Lid College van Bestuur;"Ontslagvergoeding i.v.m. gefaseerde uittreding College van Bestuur; in 2001 besloten door het toenmalige bestuur van de Stichting. ";
75;V&W;ZBO's;Luchtverkeersleiding Nederland;SCHIPHOL-OOST;Controller;Dit betreffen vertrekregelingen die voortvloeien uit een reductie van 28 fte in het kader van het programma ‘Inkomsten en Uitgaven in Balans’. Deze reductie van 28 fte is additioneel aan bovengenoemde reductie van honderd fte. ;
76;V&W;ZBO's;Luchtverkeersleiding Nederland;SCHIPHOL-OOST;Coördinator;Dit betreffen vertrekregelingen die voortvloeien uit een reductie van 28 fte in het kader van het programma ‘Inkomsten en Uitgaven in Balans’. Deze reductie van 28 fte is additioneel aan bovengenoemde reductie van honderd fte. ;
77;V&W;ZBO's;Luchtverkeersleiding Nederland;SCHIPHOL-OOST;Expert;Dit betreffen eenmalige ontslaguitkeringen toegekend in 2011. ;
78;V&W;ZBO's;Luchtverkeersleiding Nederland;SCHIPHOL-OOST;Flight Service Specialist (2);Als reactie op het wegvallen van een belangrijk deel van de inkomsten uit heffingen, ten gevolge van de economische crisis, heeft het bestuur het programma ‘Inkomsten en Uitgaven in Balans’ geïnitieerd. Eén van de doelen van dit programma is een reductie ;
79;V&W;ZBO's;Luchtverkeersleiding Nederland;SCHIPHOL-OOST;Manager;Dit betreffen eenmalige ontslaguitkeringen toegekend in 2011. ;
80;V&W;ZBO's;Luchtverkeersleiding Nederland;SCHIPHOL-OOST;Senior Consultant;Als reactie op het wegvallen van een belangrijk deel van de inkomsten uit heffingen, ten gevolge van de economische crisis, heeft het bestuur het programma ‘Inkomsten en Uitgaven in Balans’ geïnitieerd. Eén van de doelen van dit programma is een reductie ;
81;V&W;ZBO's;Luchtverkeersleiding Nederland;SCHIPHOL-OOST;Senior Technicus;Dit betreffen vertrekregelingen die voortvloeien uit een reductie van 28 fte in het kader van het programma ‘Inkomsten en Uitgaven in Balans’. Deze reductie van 28 fte is additioneel aan bovengenoemde reductie van honderd fte. ;
82;V&W;ZBO's;Luchtverkeersleiding Nederland;SCHIPHOL-OOST;Specialist;Dit betreffen eenmalige ontslaguitkeringen toegekend in 2011. ;
83;V&W;ZBO's;Luchtverkeersleiding Nederland;SCHIPHOL-OOST;Teamleader;Dit betreffen eenmalige ontslaguitkeringen toegekend in 2011. ;
84;V&W;ZBO's;Stichting Centraal Bureau Rijvaardigheidsbewijzen;RIJSWIJK;assistent applicatiebeheerder;als gevolg van ontslagvergoeding ;
85;V&W;ZBO's;Stichting Centraal Bureau Rijvaardigheidsbewijzen;RIJSWIJK;beleidsmedewerker;als gevolg van ontslagvergoeding ;
86;V&W;ZBO's;Stichting Centraal Bureau Rijvaardigheidsbewijzen;RIJSWIJK;informatie analist;als gevolg van ontslagvergoeding ;
87;V&W;ZBO's;Stichting Centraal Bureau Rijvaardigheidsbewijzen;RIJSWIJK;medewerker fiscale zaken;als gevolg van ontslagvergoeding ;
88;VROM;Woningcorporaties;Far West;AMSTERDAM;Hoofd Beheer en Herhuisvesting;Ontslagvergoeding ivm opsplitsing en opheffing Far West ;
89;VROM;Woningcorporaties;Far West;AMSTERDAM;Hoofd Ontwikkeling;Ontslagvergoeding ivm opsplitsing en opheffing Far West ;
90;VROM;Woningcorporaties;Mozaïek Wonen;Gouda;Persoonsnaam ingevuld;Ontslagvergoeding na boventalligheid, werknemer was 37 jaar en 1 maand in dienst. ;
91;VROM;Woningcorporaties;Mozaïek Wonen;Gouda;Persoonsnaam ingevuld;Ontslagvergoeding vastgesteld door Kantonrechter Gouda, werkneemster was 18 jaar en 7 maanden in dienst. ;
92;VROM;Woningcorporaties;Stichting Havensteder;ROTTERDAM;manager;Overschrijding ten gevolge van uitkeringen inzake beëindiging van het dienstverband (reorganisatie). ;
93;VROM;Woningcorporaties;Stichting Omnia Wonen;HARDERWIJK;manager finanance en control;vergoeding beeindiging arbeidsovereenkomst ;
94;VROM;Woningcorporaties;Stichting Stadlander;BERGEN OP ZOOM;hoofd administratie voormalig Soomland;Medewerker was hoofd administratie bij fusiepartner Soomland, en door fusie op 1 januari 2011 automatisch in dienst gekomen bij Stadlander. Per 1 november 2011 is hij officieel boventallig verklaard, en door de vele dienstjaren bij voormalig Soomland heeft hij op basis van het sociaal statuut recht op een minimale ontslagvergoeding van â‚¬ 149.184. Dit bedrag is in de jaarrekening 2011 verwerkt. ;
95;VROM;Woningcorporaties;Stichting woCom;SOMEREN;Directeur FinanciÃ«n & Control;Het contract van de directeur Financiën & Control is per 30-9-2011 ontbonden. Hierdoor is het belastbaar loon gestegen. Daarnaast heeft de directeur Financiën & Control een ontslagvergoeding ontvangen. Door de ontbinding van het contract van de directeur Financiën & Control komt deze boven het grensbedrag van â‚¬ 193.000,- uit. ;
96;VROM;Woningcorporaties;Stichting Wonen Limburg;ROERMOND;Manager OD;Ontslagvergoeding ;
97;VROM;Woningcorporaties;Stichting Wonen Zuid;ROERMOND;Regiodirecteur;Ontslagvergoeding na 15 jaar dienstverband. ;
98;VROM;Woningcorporaties;Stichting YMERE;AMSTERDAM;Manager technische projectbegeleiding;Ontslagvergoeding is conform sociaal plan. Deze is, vanwege langjarig dienstverband, boven de WOPT-norm gekomen. ;
99;VROM;Woningcorporaties;TIWOS, Tilburgse Woonstichting;TILBURG;Directeur/bestuurder;De ontslagvergoeding van 1 maandsalaris en de contractuele ontslagvergoeding van â‚¬ 20.000, zorgen samen voor een overschrijding. ;
100;VROM;Woningcorporaties;Viverion;Lochem;manager vastgoed;Vanwege ontslagvergoeding is het normbedrag overschreden ;
101;VROM;Woningcorporaties;Woningstichting Brabantse Waard;Zevenbergen;Manager Wonen;Door de ontslagvergoeding wordt de norm overschreden. ;
102;VROM;Woningcorporaties;Woningstichting Eigen Haard;AMSTERDAM;Senior projectleider;Overschrijding komt door eenmalige kosten in verband met de beeindiging van het dienstverband. ;
103;VROM;Woningcorporaties;Woningstichting Rochdale;AMSTERDAM;medewerker;beëindigingsvergoeding conform sociaal plan obv kantonrechtersformule ;
104;VROM;Woningcorporaties;Woningstichting Servatius;MAASTRICHT;manager Finance & Control;ontslagvergoeding conform uitspraak kantonrechter d.d. 28.02.2011 ;
105;VROM;Woningcorporaties;Woonstad Rotterdam;ROTTERDAM;Stafmedewerker F&C;In verband met eenmalige schadevergoeding. ;
106;VROM;Woningcorporaties;Woonstichting Lieven de Key;AMSTERDAM;Projectadministrateur;De uitkering ten gevolge van afvloeiing zijn conform bij de reorganisatie vastgesteld sociaal plan. ;
107;VROM;Woningcorporaties;Woonstichting Lieven de Key;AMSTERDAM;Projectleider;De uitkering ten gevolge van afvloeiing zijn conform bij de reorganisatie vastgesteld sociaal plan. ;
108;VROM;ZBO's;Stichting Advisering Bestuursrechtspraak voor Milieu en Ruimtelijke Ordening;DEN HAAG;Senior Adviseur;Uitkering in verband met het beëindigen van het dienstverband in 2013 ;
109;VWS;Overig;Stichting Bureau Jeugdzorg Zeeland;MIDDELBURG;Afdelingshoofd Toegang en Regie;Uitkering ivm beëindiging van het dienstverband ;
110;VWS;Zorgaanbieders;Aafje Thuiszorg Huizen Zorghotels;ROTTERDAM;Adviseur;Overschrijding in verband met uitkering bij beëindiging dienstverband ;
111;VWS;Zorgaanbieders;Aafje Thuiszorg Huizen Zorghotels;ROTTERDAM;Manager;Overschrijding in verband met uitkering bij beëindiging dienstverband ;
112;VWS;Zorgaanbieders;Aafje Thuiszorg Huizen Zorghotels;ROTTERDAM;Manager;Overschrijding in verband met uitkering bij beëindiging dienstverband ;
113;VWS;Zorgaanbieders;Academisch Ziekenhuis Maastricht;Maastricht;Stafadviseur;  ;
114;VWS;Zorgaanbieders;Academisch Ziekenhuis Maastricht;Maastricht;Stafadviseur;  ;
115;VWS;Zorgaanbieders;Admiraal De Ruyter Ziekenhuis;Vlissingen;Manager;De twee oud-werknemers worden vermeld vanwege de hoogte van de eenmalig uit te keren ontslagvergoeding. ;
116;VWS;Zorgaanbieders;Admiraal De Ruyter Ziekenhuis;Vlissingen;specialist;De twee oud-werknemers worden vermeld vanwege de hoogte van de eenmalig uit te keren ontslagvergoeding. ;
117;VWS;Zorgaanbieders;Altra;AMSTERDAM;Directeur;Stamrechtuitkering i.v.m. tussentijdse beëindiging dienstverband ;
118;VWS;Zorgaanbieders;Atrium Medisch Centrum Parkstad;HEERLEN;Zorggroepmanager;  ;
119;VWS;Zorgaanbieders;Catharina;ARNHEM;Regiomanager;Het gemiddelde belastbare loon per jaar van ministers wordt overschreden a.g.v. het uitkeren van een vergoeding i.v.m. het beëindigen van het dienstverband op grond van een vaststellingsovereenkomst. ;
120;VWS;Zorgaanbieders;De Bascule;AMSTERDAM;directeur;Uitkering in verband met beëindiging dienstverbandbetrokkene was directeur binnen een maatschap van de Bascule en Spirit (jeugdzorg). De kosten kwamen voor 75% ten laste van Spirit;
121;VWS;Zorgaanbieders;De Vogellanden, Centrum voor Revalidatie;Zwolle;Bestuurder;Bdragen zijn inclusief vooruitbetaald salaris over 3 maanden 2012 en beëindigingsvergoeding ad 60.000 ;
122;VWS;Zorgaanbieders;DRIESTROOM STICHTING DE;ELST GLD;Persoonsnaam ingevuld;Door ontslagvergoeding is er sprake van overschrijding normbedrag ;
123;VWS;Zorgaanbieders;GGD Midden-Nederland;Zeist;Afdelingshoofd;In 2011 is een contract gesloten met een afdelingshoofd over beëindiging van het dienstverband bij de GGD. De getroffen regeling heeft primair het aanvaarden van een werkkring elders ten doel en loopt maximaal door tot 1 januari 2016. ;
124;VWS;Zorgaanbieders;GGZ Westelijk Noord-Brabant (GGZ-WNB);BERGEN OP ZOOM;Beleidsmedewerker;In het kader van de uitgevoerde reorganisatie is een ontslagvergoeding uitgekeerd, waardoor de vergoeding aan deze persoon boven de WOPT-grens uitkomt. ;
125;VWS;Zorgaanbieders;GGZ Westelijk Noord-Brabant (GGZ-WNB);BERGEN OP ZOOM;Directeur facilitaire dienst & ICT;In het kader van de uitgevoerde reorganisatie is een ontslagvergoeding uitgekeerd, waardoor de vergoeding aan deze persoon boven de WOPT-grens uitkomt. ;
126;VWS;Zorgaanbieders;GGZ Westelijk Noord-Brabant (GGZ-WNB);BERGEN OP ZOOM;Directeur Financien;In het kader van de uitgevoerde reorganiatie is een ontslag vergoeding uitgekeerd, waardoor de vergoeding aan deze person boven de WOPT-grens uitkomt. ;
127;VWS;Zorgaanbieders;GGZ Westelijk Noord-Brabant (GGZ-WNB);BERGEN OP ZOOM;Directeur Zorg;In het kader van de uitgevoerde reorganisatie is een ontslagvergoeding uitgekeerd, waardoor de vergoeding aan deze persoon boven de WOPT-grens uitkomt. ;
128;VWS;Zorgaanbieders;Humanitas DMH;NIEUWEGEIN;Rayonmanager;De overschrijding wordt veroorzaakt door de vergoeding beeindiging dienstverband. Er was in korte tijd een onhoudbare situatie ontstaan. Via een vaststellingsovereenkomst kon de arbeidsrelatie met betrokkene op de korst mogelijke termijn worden opgelost.;
129;VWS;Zorgaanbieders;Inovum;LOOSDRECHT;Voormalig hoofd P&O;Uitbetaling ontbindingsovereenkomst ;
130;VWS;Zorgaanbieders;Jeroen Bosch Ziekenhuis;'S-HERTOGENBOSCH;Clustermanager;  ;
131;VWS;Zorgaanbieders;Lava-Team;DRUNEN;Directeur;Op 15 maart 2011 is directeur P. de Ruiter op non actief gesteld. Na diverse procedures is op 2 januari 2012 een einde gekomen aan het dienstverband. Over 2011 is er een ontslagvergoeding uitgekeerd aan directeur ad. _ 112.984 ;
132;VWS;Zorgaanbieders;Lentis;ZUIDLAREN;Projectleider;Overschrijding ten gevolge van uitkeringen inzake beëindiging van het dienstverband. ;
133;VWS;Zorgaanbieders;Lievegoed Zorggroep;BILTHOVEN;Bestuurder;Bestuurder tot 31-07-2011 ;
134;VWS;Zorgaanbieders;LSG-Rentray;ZUTPHEN;Activiteiten begeleider;  ;
135;VWS;Zorgaanbieders;LSG-Rentray;ZUTPHEN;Lid Raad van Bestuur;  ;
136;VWS;Zorgaanbieders;Martini Ziekenhuis (Algemeen Christelijk Ziekenhuis Groningen);GRONINGEN;Directeur;  ;
137;VWS;Zorgaanbieders;Meander Medisch Centrum;AMERSFOORT;Lid raad van bestuur;De overschrijding van het gemiddeld belastbaar loon bij de leden van de Raad van Bestuur is structureel. Het betreft marktconforme salarissen, mede gezien vanuit de concurrentiepositie ten opzichte van overige zorginstellingen en de marktsector. ;
138;VWS;Zorgaanbieders;Medisch Centrum Alkmaar;ALKMAAR;medisch specialist;  ;
139;VWS;Zorgaanbieders;Nederlands Psychoanalytisch Instituut;AMSTERDAM;afdelingshoofd;  ;
