Leveranciers;9590 - V&J specifiek;9-Dienstspecifiek
Aps (Dsluis,Veer,Schans,Schouw);2;2
Aps Aalburg;2;2
APS Alwica Penitentiaire Shops;5;5
Aps Arnhem-Zuid;2;2
Aps Jtr Advies;2;2
APS N.H.N. WESTLINGE;1;1
Aps Zwaag;2;2
Aqua;1;1
Aqua Compleet;1;1
Aqua Engine Parts;1;1
Aqua Mister (Aqua Active);1;1
Aquacare;1;1
Aquariumhuis Romberg;1;1
Ara Groep (incl. HFM\Bovaco);4;4
Arabisch Nederlandse Uitgeverij;1;1
ARAG Rechtsbijstand;1;1
ARAS Security;1;1
Arbe Dienstverlening;5;5
Arbèl B.V.;1;1
Arbo Unie;1;1
Arcus College;1;1
Ardis Management Development;1;1
Arfos Management Services;3;3
Argus Etiketten;1;1
Arian Tuintechniek;1;1
Arie Kok Slagerij Catering Partytenten;1;1
Arjen Kandt Speciaaltransport;1;1
Arkin;1;1
Arno Hendriksen Biljarts;1;1
Arno Roozeboom Fotografie;1;1
Arntz Nederland;1;1
Arob Antennebouw;1;1
Arriva Openbaar Vervoer;2;2
Ars Aequi;1;1
Ars Docendi (Th.L. Bellekom);1;1
Ars Traffic & Transport Tech;2;2
Arseus Medical;1;1
Arslan & Ersoy Advocaten;1;1
Arslan & Ter Wee Advocaten;1;1
Art Line;1;1
Art of Living Nederland;1;1
Art4U - Amsterdam Art Center;1;1
Artesia Water research Unlimit;1;1
Artiance;1;1
Artihove;1;1
Aruna Algoe;2;2
Arvelo Training & Advies;1;1
ASC - Afrika Studiecentrum;1;1
Ascesis Psychiatrische Expertise;2;2
Ascom;1;1
Asecos;1;1
Ashley Juan Eloise;1;1
Asian Tower;1;1
Asp4All Hosting;2;2
Asphalia;1;1
ASR Betalingscentrum;1;1
Assa Abloy (incl. Crawford, Cardo, Albany, Besam, Lips);2;2
Assa Stenman Holland;1;1
Asschat Design;1;1
Associação Brasileira Capoeira Reversão;1;1
Associatie Internisten;1;1
Asta Leisure Group BV;1;1
Asya Fastfood;1;1
Atag Nederland;1;1
Atal Medisch Diagnostisch Centrum;1;1
Ateliers 1-1-9;1;1
Ateno;4;4
ATEX Examencentrum B.V.;1;1
Atim Adviesbureau;1;1
Atria B.V.;2;2
Atrium Medisch Centrum Parkstad;1;1
ATS Systems;1;1
Attema;1;1
Audion Elektro;1;1
Augie Attractieverhuur;1;1
Auke Smits Publiciteit;2;2
Aura Software;1;1
Ausems Kerkvliet;2;2
Ausma De Jong Advocaten;2;2
Ausma Vorkheftrucks;2;2
Auto Poets Centrum Breda B.V.;1;1
Autogros Automaterialen;1;1
Automatic Signal Rijsenhout;2;2
Automator;1;1
Autop;1;1
Autorijschool Rens de Geus;1;1
Autotelex;2;2
AV Partners;1;1
AVC Algemeen Verpakkings Centrum;1;1
AveleijnSDT;4;4
Aves Advocaten;1;1
Avetica;1;1
Avex;2;2
Avis Autoverhuur (incl. Budget rent a car);1;1
Avision;1;1
AVL Antoni van Leeuwenhoek Ziekenhuis;1;1
AVVH Adviesbureau voor Veilig Voedsel & Hygiene;1;1
A-Ware Logistics;2;2
AWVN;1;1
Axians;1;1
Axitraxi;1;1
Aya-Dikmen;1;1
A-Z Barbecue & Gourmet Party;1;1
B en C Melissen Van Donselaar advocaten;1;1
B&B Handelsonderneming;1;1
B&G Hekwerk;1;1
B. Elfring;1;1
B. Gotink;2;2
B.A. Blansjaar;5;5
B.E.L. Spronk;1;1
B.E.P. Myjer;1;1
B.F. Keulen;2;2
B.G.J. Gunnewijk;4;4
B.H.M.J. Sonnenschein;1;1
B.I. Meuwese;3;3
B.J. Hollemans;1;1
B.J. Verheij;1;1
B.J.H. Bouma;2;2
B.L. Mulder BV;1;1
B.N.M. van der Poel;1;1
B.T. Takkenkamp / H. Boersema;1;1
B.V. Haarlemmermeer Gerechtsdeurwaarders/Incassobureau;1;1
B.V. Makelaardij Herbert Schoo;1;1
B.V. ROVINIJ Adviesgroep;1;1
B.V. Voorne Gas;1;1
B.W. Hopperus-Buma;1;1
B.W. Roelofs-Van Bon;3;3
B+B Vakmedianet;1;1
BA Repair B.V.;1;1
Baars & Bloemhoff;2;2
Baas BV;1;1
Babypark Kesteren;1;1
Babyplanet;1;1
Badiss;1;1
Bakerraad Verloskundigen Zwolle;1;1
Bakker Groenvoorzieningen en Hoveniersbedrijf;1;1
Bakker Professional;1;1
Bakker Sturkenboom;1;1
Bakkerij Afrah;1;1
Bakkerij Jos Rood;1;1
Bakkerij Nass;1;1
Bakkerij van der Breggen;1;1
BalkTrade;1;1
Ball Contact Henk Pieterse;1;1
Bam (incl. Interflow);3;3
BAMW Beroepsregister voor agogen en maatschappelijk werkers;1;1
Banning Advocaten;1;1
Baptist Ijzerwaren&Gereedschappen;1;1
Barents Krans Advocaten;1;1
Baronie Advocaten;1;1
Bart Driessen;1;1
Bart Strijbosch;7;7
Bart van zadelhoff;1;1
Bartels Technische Inspecties;1;1
Barut Tapijten;1;1
Bas - Business Art Service;1;1
Bas de Vette AV Beeldproducties;1;1
Bascom Camera's;1;1
Baseclear;1;1
Basic Fit Nederland B.V.;1;1
Batta Ramona;1;1
Bavak Beveiligingsgroep;1;1
Bavo RNO Groep;2;2
Bax-Shop.nl;1;1
Bayer Healthcare;1;1
Baza Seeds B.V.;1;1
BCD Travel;4;4
Bechan Impex;1;1
Beckers & Bergmans Advocaten;1;1
Bedrijfskleding Maas & Waal B.V.;1;1
Beeckman, S.C.;1;1
Beek Advocaten;1;1
Beelen Fysiotherapie;1;1
Begrafenisonderneming van Dijk;1;1
Beke Advies- en Onderzoeksgroep;5;5
Bekius Schoolmaterialen;1;1
Beko Interieurs;2;2
Beko Slijpinrichting;1;1
Beleggingsmaatschappij Tobur Rotterdam B.V.;1;1
Belhadi Taxi;1;1
BenAle Risk Management Advice;2;2
Benedictus Bureau;1;1
Benetech;1;1
Bennies Fifties;1;1
Benthem & Gratama Advocaten;2;2
Ben-Tita, N. (huisarts);1;1
Benu Apotheken;1;1
Berendsen Textiel Service;1;1
Berenschot Groep (incl. HB, KSG, Mazars Berenschot);2;2
Berg-Barrio Y Mendez, A.M. van Den;1;1
Bergsma-Van Raaphorst, T.;1;1
Berkhof Optiek;1;1
Berkhout De Lange Advocaten;1;1
Berko Noord;1;1
Bernhoven Ziekenhuis;1;1
Bert Regeling;1;1
Bert Van Loon Groentechniek B.V.;1;1
Besbo Automaterialen;1;1
Best Medical Care;1;1
Betapress;1;1
Beter Horen;1;1
Bethesda Ziekenhuis;1;1
Betsie'S Kledingverhuur;1;1
Bevar;1;1
Bewegingscentrum Ter Apel;1;1
Bewindvoering Midden Nederland;1;1
Bharatsingh Holding B.V.;4;4
Bhazz Projectontwikkeling;1;1
Bialkowski;1;1
Biblionet;1;1
Bibliotheek Arnhem;1;1
Bibliotheek Breda;1;1
Bicicare;1;1
Biemans M.;2;2
Bierling-De Schepper;1;1
Biermans Ijzerhandel;1;1
Biesbosch Jachthaven;1;1
Biga Groep (Sociale Werkgroep);1;1
Bijbeltekst.com;1;1
Bijzondere Bedankjes;1;1
Bilbliotheek Hoorn;1;1
Bilfinger (incl. Tebodin, Real Estate);3;3
Biljartboetiek v. Halem-Brugmans;1;1
Biljartfabriek Princesse;1;1
Biljarthandel Oude Nijhuis;1;1
Biljartsport Rotterdam;1;1
Bilt en Bahadoer Opleidingsinstituut B.V.;1;1
Bingh Advocaten;1;1
Bingham Schiedam;1;1
Bini R.E.G. Drs.;2;2
Binnenstad Huisartsenpraktijk;1;1
Bio-Rad Laboratories;1;1
BIS Bedrijfs Informatie Systemen (incl. Correspondentie);1;1
Bis Restaurant;1;1
Bitonic B.V.;1;1
BKR Bureau Krediet Registratie;1;1
Blaas Schippers Van de Grint Advocaten;1;1
BlackRockStar;1;1
Blankenburg Huisartsenpraktijk;1;1
Blendad;2;2
BLGG AgroXpertus;1;1
Blickle Wielen;1;1
Blixembosch Revalidatiecentrum;1;1
Bloemenhuis Dick van Wageningen;1;1
Bloemenhuis Klimop;1;1
Bloemenstudio Helleborus;1;1
Bloemisterij 'T Molentje;1;1
Blokker;1;1
Blokland Metaalbewerking;2;2
Blom Advocaten;1;1
Blom Opleidingen;1;1
Blom Verkeersveiligheidstrainingen;1;1
Blossom Bloemisterij;1;1
BM Metaalbewerkingsmachines;1;1
BMC Groep (Advies, Verandermanagement & Coaching);1;1
BME Asbest Consult;1;1
BMT Surveys (Amsterdam) B.V.;2;2
Boag;1;1
Boca Kaarsen;1;1
Bodemkundig Adviesbureau Edelman;1;1
Boeder Cs Gerechtsdeurwaarders;1;1
Boekel De Neree Advocaten;1;1
Boek-en kantoorvakhandel Deeder;1;1
Boekencentrum;1;1
Boekhandel Bonvrie;1;1
Boekhandel De Bengel;1;1
Boekhandel De Koperwiek;1;1
Boekhandel Haasbeek;1;1
Boekhandel Krings;1;1
Boels Verhuur (incl. HuurMax);1;1
Boerema Geluidstechniek;1;1
Boerhof Projectinrichting Heeten;2;2
Boersma Advocaten;1;1
Boersma, H.G.M.;1;1
Boesjes & Wijngaard Advocaten;1;1
Bokhoven Bouw;2;2
Bokstijn Feestartikelen;1;1
Boksvereniging De Amateur;1;1
Bol.Com;1;1
Bolero;1;1
Bolk Bestratingen;1;1
Bolwerk Advocaten;1;1
Bomer Bewindvoeringen;1;1
Bo-mij Beheer (incl. Bo-rent);1;1
Bonebakker A.E.;1;1
Bongers-Ramakers H.H.M.;2;2
Boodschappendienst Amsterdam;1;1
Boogaard;1;1
Boogaard Advocaten;1;1
Boogaard van den J.W.;1;1
Boom J.C. V.D.;1;1
Boot Advokatenkantoor;1;1
Bootsma de Rouwe Advocaten;1;1
Boringa & Lankester;2;2
Borsboom en Hamm Advocaten;2;2
Bos Tuingereedschappen;1;1
Bosan;1;1
Bosch (Robert);1;1
Bosch Advocaten Cooperatie;1;1
Bosgraaf Machinehandel;1;1
Bosklopper C.M.;2;2
Bosman Medische en Orthopedische;1;1
Bossers & Cnossen;1;1
Bosveld Gerechtsdeurwaarders & Incasso's;1;1
Bouman & Van Beerendonk;1;1
Bouman Advocaten;1;1
Bout, R.;3;3
Bouter;1;1
Bouwman Advocaten;1;1
Bouwplein CarpentierMooren B.V.;1;1
Bouwradius Training & Advies;1;1
Bovenij Ziekenhuis;1;1
Bowling & Partycentrum Groningen;1;1
Bowling en Partycentrum De Hofstede;1;1
Bowltech Internationaal;1;1
Boxem Ter Apel;1;1
BPN B.V.;1;1
Bpo-Axsys B.V.;1;1
Braakman cs Gerechtsdeurwaarders- & Incassopraktijk;1;1
Brabant Sport- En Spelverhuur;1;1
Brabant Water;1;1
Brady Groupe (incl. Seton, Transposafe);1;1
Brammer;1;1
Brand Interieurbouw en Aannemeningsbedrijf;1;1
Brand, Broek & Erkens;1;1
Branded Concepts B.V.;1;1
Brandsma R.;2;2
Branweer Maastricht;1;1
Brasserie Lunchroom La Cour;1;1
Braun, P.C.;2;2
Breda, Van;2;2
Bredenoord Aggregaten;1;1
Breedveld Staal;1;1
Breedveld Vouw- en Paneelwanden;1;1
Breeschoten Interieurverzorging;1;1
Brehm;1;1
Breijer Bouw en Installatie, Contractonderhoud, Elektrotecniek, Technisch Beheer;1;1
Brekelmans St Beh Derdengelden;1;1
Brenntag;1;1
Breunissen Vroegop Gerechtsdeurwaarders Incasso;1;1
Breur Beveiligingen, Ijzerhandel;4;4
Breustedt Chemie;1;1
Brijder Verslavingszorg;1;1
Brilmij Groep;1;1
Brilshop;1;1
Brinkhuis, H.;1;1
Brink's Nederland;2;2
Broadcast Technology & Development;1;1
Broeder de vries dutch medical services;1;1
Broekies Kidsfun;2;2
Brondool;2;2
Bronneberg Advocaten;1;1
Brouwer, Kubbinga & Partners;2;2
BRS Traffic Systems;1;1
Bruinsma Verkeersopleidingen;2;2
Bruna;1;1
BSB Reclame;1;1
BSG Logistiek;1;1
BSN Medical;1;1
BSN Werkervaringsbedrijf;2;2
BSSt Baumann & Steffen Sicherheitst;1;1
BTA Montage;1;1
Buchrnhornen;1;1
Buchten Huisartsenpraktijk;1;1
Buijze Pers B.V.;1;1
Buik en van der Horst Gerechtsdeurwaarders;1;1
Buiter Beton;1;1
Buiteveld Bouwbedrijf;2;2
Buma Stemra;5;5
Bumicom Telecom;1;1
Bunkercentrale;2;2
Bureau BOT Begeleidingsdeskunding in Ontwikkeling & Training;5;5
Bureau Bruinsma;2;2
Bureau G.I.T;1;1
Bureau Jeugdzorg Drenthe;1;1
Bureau Keizer;1;1
Bureau Maatschappelijk Herstel Rehabilitatie;1;1
Bureau O.O.R.;1;1
Bureau van Nol;1;1
Bureau Veritas;1;1
Bureau Visschedijk;1;1
Bureau Voor Kwaliteitszorg Zwolle;1;1
Buren Advocaten Belastingadviseurs Notarissen;1;1
Burg Schilder V.A.;1;1
Burghouwt Bouwbeslag;1;1
Buro Van der Schoor V.O.F.;1;1
Burotronic & Kiel;1;1
Bus Handelsmaatschappij;2;2
Buschman J.;2;2
Buva Rationele Bouwprodukten;1;1
Buzolit;1;1
BVA Beurtvaartadres (inc transfollow);1;1
BVCM Stg Derdengelden;1;1
BVDA Internationaal;1;1
BWT Nederland (vh Christ Holland);1;1
Byloth B.V.;1;1
C & T Technics;1;1
C. Hecht & Co;1;1
C. Jonker;3;3
C. Mulckhuyse Bouw- en Aannemingsbedrijf;1;1
C. Otte;1;1
C. Snijder;1;1
C. van Putten;1;1
C.A. Colceru;1;1
C.A.J. De Waard;1;1
C.A.M. Koenis-Gerdes;1;1
C.A.M. van der Meijs;2;2
C.F. Korvinus;1;1
C.G. Holthausen;1;1
C.H.B. Winters;1;1
C.J. Petiet;2;2
C.J. Ruissen;1;1
C.J. van Gestel;2;2
C.J.F. Kemperman Psychiater/Neuroloog;5;5
C.J.M. Clarijs;2;2
C.J.M. Klaassen;1;1
C.J.M. Kramer-Pepping;1;1
C.M. van Deutekom;1;1
C.M.B. van den Bergh;2;2
C.P.C. Kuijs;1;1
C.R. Pengel-Forst;1;1
C.S.M. Morel;1;1
C.T. Snijder Incasso & Gerechtsdeurwaarder;1;1
C.T.H.M. Salet;2;2
C.W.M. van Ballegooijen;1;1
C1000;1;1
Cablon Medical;1;1
Cadac Group;1;1
CAG Consult Air Group;1;1
CAIW Holding (incl. Caiway);2;2
Calertho Bouwkunde;1;1
Caljouw Rademaker Verhuizingen;1;1
Calluna Tuinarchitectuur;1;1
Camco Welding Equipment;1;1
Camping Het Drents Kwartiertje;1;1
Canoy Advocaten;1;1
Cantus Iuventis;1;1
CAOP - Centrum Voor Arbeidsverhoudingen Overheidspersoneel;3;3
Capgemini;5;5
CAPRA Centraal Adviesbureau voor Publiek Recht en Administratie;1;1
Card ID Solutions;1;1
Card Services Zwolle;1;1
Cardiologen maatschap Geldrop;1;1
Career Vision;1;1
Carepack Holland;1;1
CareSharing B.V.;1;1
Carling;1;1
Carlton Hotel;1;1
Carlux;1;1
Carnegie Stichting;1;1
Casa Rotterdam;1;1
Casa Santa Maria (vh de Vier Vensters Restaurant);1;1
Casa Verde Arte en Flores;1;1
Castelijns Kaandorp Hoekstra Advocaten;1;1
Cateringspecialist Bertus Voortman;1;1
Catharina Ziekenhuis;1;1
Cats Advocaten B.V.;1;1
Cavari Clinics;2;2
CB Centraal Boekhuis (incl. Facturatie);1;1
CBRE (incl. CB Richard Ellis, ING REIM);1;1
Cb-Technics;1;1
CCD Cleaning Consultancy Delft;1;1
CCV Services;1;1
Cees Oosterom Design;1;1
Cellumica;1;1
Cementbouw Bindmiddelen B.V.;2;2
Centraal Bureau STEL;1;1
Central Veterinary Institute;1;1
Centrale Huisartsen Posten;1;1
Centrale Huisartsenpost Kop van Noord-Holland;1;1
Centrale Huisartsenpost Nightcare B.V.;1;1
Centrale Huisartsenpost Rijnmond;1;1
Centrale Huisartsenpost Salland;1;1
Centric (incl. Qualityhouse);1;1
Centrum Orthopedie Rotterdam;1;1
Centrum Quadraat;1;1
Centrum Voor Jeugd En Gezin Rijnmond;1;1
Centrum voor Keteninformatisering;1;1
Centrum voor Sociale Psychiatrie R. van 't Hoff;1;1
Centrum Voor Verslavingsonderzoek;3;3
CEP Confederation of European Probation;2;2
Cerno Development;1;1
CGI Group (incl. Logica CMG);2;2
Ch Brandbeveiliging;1;1
Champ Aubert;1;1
Change Plus;2;2
Changes & Chances;2;2
Chemetall;2;2
Chemische Reiniging J. Raats;1;1
Chilal Bakkerij;1;1
Chin.-Ind. Afhaalrestaurant De Mandarijn;1;1
Chip Bizz;6;6
Christelijk Algemeen Ziekenhuis Noordwest-Veluwe;1;1
Christelijk Koor Inspiratie;1;1
Christelijke Hogeschool Windesheim;1;1
Christeyns;3;3
Chromolux B.V.;1;1
CIBT/V&V Visumdienst;1;1
Cigköftem;1;1
Ciolina;1;1
Cirkel Advocaten;1;1
Citybloem Bloemdecorateurs;1;1
Claassen Advocaten;1;1
Claassen, Kornet & Voors Advocaten;1;1
Classic Incasso;1;1
CLB Benelux;1;1
CleanLeaseFortex (vh Rentex Fortex);2;2
Cleerdin & Hamer Advocaten;1;1
Clerq De C.;1;1
CM Club Message Benelux (incl. Callfactory);1;1
CMIB;1;1
CNC Service Noord B.V.;1;1
CNC Team Nederland;1;1
Cnf Koetsier;1;1
CNV Vakmensen;1;1
Cocon (Bert Wever);1;1
Cocon Oogmode;1;1
Codan;1;1
Code Name Future;1;1
Cofely (incl. Kalibra, GTI, Fabricom Oil, en Axima Services);4;4
Cogas Energie, Meetdiensten, Infra & Beheer, Kabel (incl. CoNet);1;1
Cohen Advocaten;1;1
