Rijlabels;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financi�n;Eindtotaal
Objectief B.V.;4;;;;;;;4
PBLQ B.V.;4;;;;;;;4
Pricewaterhousecoopers Advisory N.V.;4;;;;;;;4
Prismant B.V.;;;4;;;;;4
Publicis;;;;4;;;;4
Regioplan Beleidsonderzoek B.V.;4;;;;;;;4
SiRM Healthcare B.V.;;;4;;;;;4
Stg. Trimbos-Inst., Inst. Ment. Health & Add.;4;;;;;;;4
Stg.TRIP Transf.-/transpl.react. in patiënten;4;;;;;;;4
Stichting MOVISIE;4;;2;;;;;4
Stichting W.J.H. Mulier Inst., Sportonderzoek;;;4;;;;;4
Stichting Wie beter eet wordt sneller beter;4;;;;;;;4
Technopolis B.V.;;;4;;;;;4
Triskelion B.V.;;;4;;;;;4
USG HR Professionals;;;;;;4;;4
Deloitte Consulting B.V.;5;;;;;;;5
HeadFirst B.V.;5;;;;;;;5
I & O Research B.V.;;;5;;;;;5
Ordina Nederland B.V.;5;;;;;;;5
Panteia B.V.;4;;4;;;;;5
RebelGroup Executives B.V.;4;;4;;;;;5
St.Patientenzorg Nederlands Kanker Instituut;;;5;;;;;5
Stg. Instituut voor Verantw. Medicijngebruik;5;;;;;;;5
Stg. Ned. Inst. v. Onderz. van de Gezondh.zrg;4;;5;;;;;5
Stichting Kijksluiter;;;5;;;;;5
Stichting portaal voor patiëntveiligheid/CMR;;;5;;;;;5
Stichting Waarborgfonds voor de Zorgsector;5;;;;;;;5
UNITED NATIONS OFFICE ON DRUGS AND CRIME;;;;;;5;;5
Vanberkel Professionals B.V.;5;;;;;2;;5
Vektis Beheer B.V.;3;;4;;;;;5
Berenschot Groep B.V.;5;;;1;4;;;6
Ernst & Young Accountants LLP;6;;;;;3;2;6
KPMG Advisory N.V.;5;;4;;;3;;6
Significant B.V.;6;;2;;;;;6
Stg. SVH (Stg. vakbekwaamheid Horeca) 2.0;6;;;;;;;6
Stichting Farmaceutische Kengetallen;6;;;;;;;6
Andersson Elffers Felix;7;;6;;;4;;7
Di-AcetylM B.V.;7;;;;;;;7
Stg. Centr. voor Arbeidsverhoud. Overh.pers.;;;7;;;;;7
Stichting Sensoor de landelijke luisterlijn;7;;;;;;;7
Tolkcontact B.V.;7;;;;;;;7
Webhelp Nederland BV (SNT Nederland BV);;;;;;7;;7
Stichting Advies- en Klachtenbureau Jeugdzorg;;;8;;;;;8
Stichting PGOsupport;8;;;;;;;8
Berengroep B.V.;9;;;;;;;9
Transvision B.V.;11;;;;;;;11
Eindtotaal;11;4;9;6;5;7;2;12
