;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1180 - Reis en verblijfkosten;Eindtotaal
Advanced Forces Group B.V.;;;;;;7;;;7
Adventure King B.V.;;;;;;;1;;1
Adviesgroep Transport & Logistiek;;;;;;1;;;1
AESC B.V.;;;;;;1;;;1
Agere Opleidingen B.V.;;;;;;1;;;1
Agrip Advies;;;;;;;1;;1
Ai-Opener;;;;;;2;;;2
Air-Comms;;;;;;1;;;1
Aircraft Maintenance & Training School B.V.;;;;;;6;;;6
AIRINC International Holdings B.V.;;;;;3;;;;3
Airlusion Holding B.V.;;;;;;1;;;1
Airtime;;;;;;;1;;1
Akkermans Leisure & Golf;;;;;;;1;;1
Alfred's Holding B.V.;;;;;;;1;;1
ALJ Consult;;;;;;1;;;1
All In Verhuur B.V.;1;;;;;;1;;1
Allers;;;;1;;;1;;1
Alliance Healthcare;;;1;;;;;;1
AllwaysFit;;;;;;1;;;1
Alternate Computerversand Nederland;1;;;;;1;;;1
A-Mac B.V.;;;;;;1;;;1
Amaze Escape Events;;;;;;;1;;1
Ambitech B.V.;;;;;;3;;;3
Ambu B.V.;;;;;;1;;;1
Ambutraining;;;;;;3;;;3
Amenti Consultancy;;;;;;1;;;1
Amersfoort Beheer B.V.;;;;;;;1;;1
Amice Opleidingscentrum B.V.;;;;;;1;;;1
AMN Systems B.V.;;;;;1;1;;;1
Amsterdam Film School B.V.;;;;;;1;;;1
Amsterdams ADR Instituut B.V.;;;;;;4;;;4
Amsterdamse Bloemenmarkt;;;;1;;;;;1
Analytics@Work B.V.;;;;;2;;;;2
Anchor Men;;;;;;4;;;4
André Holding B.V.;;;;;;2;;;2
Anemoon Bloemen;;;;1;;;;;1
Animo B.V.;;;1;;;;;;1
Anker & Kompas;;;;;;1;;;1
Anna Events;;;;;;;1;;1
anoniem_DEF_1;;;;;;1;;;1
anoniem_DEF_100;;;;;;1;;;1
anoniem_DEF_1001;;;;;;2;;;2
anoniem_DEF_1004;;;1;;;;;;1
anoniem_DEF_1005;1;;;;;;;;1
anoniem_DEF_1006;;;;;1;1;;;1
anoniem_DEF_1007;;;;1;;;;;1
anoniem_DEF_1009;;;;;;;1;;1
anoniem_DEF_101;;;;;;1;;;1
anoniem_DEF_1013;5;;;;7;;;;7
anoniem_DEF_1014;;;;1;;;;;1
anoniem_DEF_1015;;;;;;4;;;4
anoniem_DEF_1016;;;;;;2;;;2
anoniem_DEF_1017;;;;;;2;;;2
anoniem_DEF_1018;;;;;;2;;;2
anoniem_DEF_1019;;;;;;1;;;1
anoniem_DEF_102;;;;;;1;;;1
anoniem_DEF_1020;1;;;1;7;1;2;;7
anoniem_DEF_1021;;;;;;1;;;1
anoniem_DEF_1023;;;;;;1;;;1
anoniem_DEF_1027;;;;;;;1;;1
anoniem_DEF_1029;;;;;1;;;;1
anoniem_DEF_1030;;;;1;;;;;1
anoniem_DEF_1031;;;;1;;;;;1
anoniem_DEF_1033;;;;;;1;;;1
anoniem_DEF_1036;;;;;;1;;;1
anoniem_DEF_1037;;;;;;2;;;2
anoniem_DEF_1038;;;;;;1;1;;1
anoniem_DEF_1039;;;;1;;;;;1
anoniem_DEF_1042;;;1;;;;;;1
anoniem_DEF_1046;;;;1;;;1;;1
anoniem_DEF_1047;;;;;1;;;;1
anoniem_DEF_1049;;;;1;;1;1;;1
anoniem_DEF_105;;;;;;;1;;1
anoniem_DEF_1050;;;;;;1;;;1
anoniem_DEF_1054;;;;1;;;;;1
anoniem_DEF_1055;;;1;1;;;2;;2
anoniem_DEF_1056;;;;;1;;;;1
anoniem_DEF_1059;;;;;1;;;1;1
anoniem_DEF_1061;1;;;;;;;;1
anoniem_DEF_1064;;;;;;2;;;2
anoniem_DEF_1068;;;;;2;;;;2
anoniem_DEF_107;;;;1;;1;;;1
anoniem_DEF_1070;;;;;;1;;;1
anoniem_DEF_1071;;;;;;1;;;1
anoniem_DEF_1072;;;;;;1;;;1
anoniem_DEF_1075;;;;;;;1;;1
anoniem_DEF_1077;;;1;;;;;;1
anoniem_DEF_1079;2;;;;;;1;;2
anoniem_DEF_1080;;;;;4;;;;4
anoniem_DEF_1081;;;;;;2;;;2
anoniem_DEF_1082;;;;;;1;;;1
anoniem_DEF_1085;;;;;1;;;;1
anoniem_DEF_1086;;;;1;;;;;1
anoniem_DEF_1087;;;;;;2;;;2
anoniem_DEF_1088;;;;;;1;;;1
anoniem_DEF_1089;;;;;1;;;;1
anoniem_DEF_1090;;;;;1;;;;1
anoniem_DEF_1091;;;;;;1;;;1
anoniem_DEF_1092;;;;;;2;;;2
anoniem_DEF_1093;;;;;;;1;;1
anoniem_DEF_1094;;;;;;1;;;1
anoniem_DEF_1097;;;;;;1;;;1
anoniem_DEF_1098;;;;;;1;;;1
anoniem_DEF_110;;;;1;;;;;1
anoniem_DEF_1100;;;;1;;;;;1
anoniem_DEF_1102;;;;;1;;;;1
anoniem_DEF_1104;;;;1;;;;;1
anoniem_DEF_1105;;;;1;;;;;1
anoniem_DEF_1106;;;;2;;;;;2
anoniem_DEF_1107;;;;1;;;1;;1
anoniem_DEF_1108;;;;;;5;;;5
anoniem_DEF_111;;;;1;;;;;1
anoniem_DEF_1111;;;;1;;1;;;1
anoniem_DEF_1112;;;;;;2;;;2
anoniem_DEF_1113;;;1;;;;;;1
anoniem_DEF_1114;;;;;1;;;;1
anoniem_DEF_1117;;;;;;2;;;2
anoniem_DEF_1118;;;;;;2;;;2
anoniem_DEF_1119;;;;;;1;;;1
anoniem_DEF_112;;;;1;;;;;1
anoniem_DEF_1120;;;;;;6;;;6
anoniem_DEF_1121;;;;;;;1;;1
anoniem_DEF_1122;;;;;2;;;;2
anoniem_DEF_1123;;;;;;1;;;1
anoniem_DEF_1126;;;;;;1;;;1
anoniem_DEF_1127;;;;1;;;;;1
anoniem_DEF_113;;;;1;;;;;1
anoniem_DEF_1132;;;;;;4;;;4
anoniem_DEF_1134;;;;;;1;;;1
anoniem_DEF_1138;;;1;;;;;;1
anoniem_DEF_1140;;;;;;;1;;1
anoniem_DEF_1141;;;;;;;1;;1
anoniem_DEF_1142;;;;;;1;;;1
anoniem_DEF_1143;;;;;;1;;;1
anoniem_DEF_1144;;;;1;;;;;1
anoniem_DEF_1146;;;;;1;;;;1
anoniem_DEF_1147;;;;;;2;;;2
anoniem_DEF_1148;;;;;3;;;;3
anoniem_DEF_1151;;;;;;1;;;1
anoniem_DEF_1154;;;;;1;;;;1
anoniem_DEF_1155;;;;;;1;;;1
anoniem_DEF_1156;;;;;;;1;;1
anoniem_DEF_116;;;;;;1;;;1
anoniem_DEF_1161;;;;;;;1;;1
anoniem_DEF_1163;;;;;1;;1;;1
anoniem_DEF_1165;;;;;1;;;;1
anoniem_DEF_117;;;;1;;;;;1
anoniem_DEF_1171;;;;;1;;;;1
anoniem_DEF_1175;;;;;;1;;;1
anoniem_DEF_1176;;;;;;1;;;1
anoniem_DEF_1177;;;;;;1;;;1
anoniem_DEF_1178;;;;1;;;;;1
anoniem_DEF_1179;;;;1;;;;;1
anoniem_DEF_118;;;;1;;;;;1
anoniem_DEF_1183;;;;;;;1;;1
anoniem_DEF_1185;;;;;;1;;;1
anoniem_DEF_1187;;;;;1;;;;1
anoniem_DEF_1188;;;;;;;1;;1
anoniem_DEF_119;;;;;;;1;;1
anoniem_DEF_1190;;;;1;;;;;1
anoniem_DEF_1198;;;;;1;;;;1
anoniem_DEF_1202;;;;1;;;;;1
anoniem_DEF_1203;;;;;1;;;;1
anoniem_DEF_1204;;;;;1;;;;1
anoniem_DEF_1208;;;;;;;1;;1
anoniem_DEF_1209;;;;;;1;;;1
anoniem_DEF_1213;;;;;;2;;;2
anoniem_DEF_1217;;;;1;;;;;1
anoniem_DEF_1218;;;;;;2;;;2
anoniem_DEF_1230;;;;;;1;;;1
anoniem_DEF_1231;;;;;;1;;;1
anoniem_DEF_1233;;;;;;3;;;3
anoniem_DEF_1234;;;;;;1;;;1
anoniem_DEF_1237;;;;;;2;;;2
anoniem_DEF_1238;;;;;;;1;;1
anoniem_DEF_1243;;;;;;2;;;2
anoniem_DEF_1244;;;;;;;1;;1
anoniem_DEF_1247;;;;;;1;;;1
anoniem_DEF_1250;;;;;;5;;;5
anoniem_DEF_1251;;;;;;;1;;1
anoniem_DEF_1253;;;;;;2;;;2
anoniem_DEF_1254;1;;;;;;;;1
anoniem_DEF_1256;;;;;;1;;;1
anoniem_DEF_1257;;;;;;1;1;;1
anoniem_DEF_1258;;;;1;;;;;1
anoniem_DEF_126;;;;;;1;;;1
anoniem_DEF_1260;;;;1;;;;;1
anoniem_DEF_1261;;;;1;;;1;;1
anoniem_DEF_1262;;;;1;;;;;1
anoniem_DEF_1264;;;;;1;;;;1
anoniem_DEF_1265;;;;1;;;;;1
anoniem_DEF_1268;;;;;;;1;;1
anoniem_DEF_1272;;;;;1;;;;1
anoniem_DEF_1277;;;;;;;1;;1
anoniem_DEF_1280;;;;;;;1;;1
anoniem_DEF_1281;;;;1;;;;;1
anoniem_DEF_1282;;;;1;;;;;1
anoniem_DEF_1286;;;;2;;;;;2
anoniem_DEF_1289;;;;;;1;;;1
anoniem_DEF_1290;;;;1;;;;;1
anoniem_DEF_1291;;;;;;1;;;1
anoniem_DEF_1292;;;;;;1;;;1
anoniem_DEF_1295;;;;1;;;;;1
anoniem_DEF_1298;;;;;;1;;;1
anoniem_DEF_1299;;;;1;;;;;1
anoniem_DEF_1301;;;;1;;;;;1
anoniem_DEF_1303;;;;1;;;;;1
anoniem_DEF_1304;;;;;;1;;;1
anoniem_DEF_1305;;;;;;1;1;;1
anoniem_DEF_1307;;;;1;;;;;1
anoniem_DEF_1308;;;;1;;;;;1
anoniem_DEF_1309;;;;1;;;;;1
anoniem_DEF_1310;;;;;;;1;;1
anoniem_DEF_1311;;;;;;2;;;2
anoniem_DEF_1312;;;;1;;;;;1
anoniem_DEF_1314;;;;1;;;;;1
anoniem_DEF_1315;;;;;;1;;;1
anoniem_DEF_1317;;;;;1;;;;1
anoniem_DEF_1318;;;;1;;;;;1
anoniem_DEF_1319;;;;;;1;;;1
anoniem_DEF_1320;;;;;;1;;;1
anoniem_DEF_1321;;;;;;1;;;1
anoniem_DEF_1322;;;;;;1;;;1
anoniem_DEF_1323;;;;;;;1;;1
anoniem_DEF_133;;;;;;1;;;1
anoniem_DEF_1330;;;;1;;;;;1
anoniem_DEF_1331;;;;1;;;;;1
anoniem_DEF_1332;;;;;;1;;;1
anoniem_DEF_1333;;;1;;;;;;1
anoniem_DEF_1334;;;;1;;;;;1
anoniem_DEF_1337;;;;1;;;;;1
anoniem_DEF_1339;1;;1;1;4;1;;;4
anoniem_DEF_134;;;;;;1;;;1
anoniem_DEF_1342;;;;;1;;;;1
anoniem_DEF_1343;;;;;1;;;;1
anoniem_DEF_1345;;;;;;1;;;1
anoniem_DEF_1350;;;;;;;1;;1
anoniem_DEF_1351;;;;;;;1;;1
anoniem_DEF_1352;;;;;;2;;;2
anoniem_DEF_1353;;;;;;1;;;1
anoniem_DEF_1355;;;;1;;;;;1
anoniem_DEF_1356;;;;;;1;;;1
anoniem_DEF_1359;;;;1;;;;;1
anoniem_DEF_136;;;;;;;1;;1
anoniem_DEF_1360;;;;;;1;;;1
anoniem_DEF_1361;;;;1;;;;;1
anoniem_DEF_137;;;;;;1;;;1
anoniem_DEF_139;;;;;;1;;;1
anoniem_DEF_142;;;;;;;1;;1
anoniem_DEF_147;;;;;;1;;;1
anoniem_DEF_148;;;;;;2;;;2
anoniem_DEF_150;;;;;;2;;;2
anoniem_DEF_151;;;;;;;1;;1
anoniem_DEF_155;;;;1;;;;;1
anoniem_DEF_156;;;;1;;;;;1
anoniem_DEF_157;;;;;;1;;;1
anoniem_DEF_16;;;;;1;2;;;2
anoniem_DEF_165;;;;;;1;;;1
anoniem_DEF_169;;;;;;5;;;5
anoniem_DEF_17;;;;1;;;;;1
anoniem_DEF_177;;;;;;1;;;1
anoniem_DEF_18;;;;;;;1;;1
anoniem_DEF_180;;;;1;;;;;1
anoniem_DEF_181;;;;;1;;;;1
anoniem_DEF_183;;;;1;;1;2;;2
anoniem_DEF_187;;;;1;;;;;1
anoniem_DEF_188;;;;1;;;;;1
anoniem_DEF_190;;;;;1;;;;1
anoniem_DEF_191;;;;;;1;;;1
anoniem_DEF_193;1;;;1;;;1;;2
anoniem_DEF_194;1;;;;;;;;1
anoniem_DEF_197;;;;1;;;;;1
anoniem_DEF_198;;;;;1;;;;1
anoniem_DEF_199;;;1;;;;;;1
anoniem_DEF_20;;;;;;2;;;2
anoniem_DEF_200;;;1;;;;;;1
anoniem_DEF_206;;;;1;1;;;;1
anoniem_DEF_209;;;;1;;;;;1
anoniem_DEF_210;;;;;;1;;;1
anoniem_DEF_213;;;;;1;;;;1
anoniem_DEF_214;;;;;;3;;;3
anoniem_DEF_215;;;;;;3;;;3
anoniem_DEF_216;;;;;;1;;;1
anoniem_DEF_218;;;;;;;1;;1
anoniem_DEF_219;;;;1;;;;;1
anoniem_DEF_22;;;;1;;;;;1
anoniem_DEF_220;;;;;;1;;;1
anoniem_DEF_223;;;;;;1;;;1
anoniem_DEF_224;;;;;;1;;;1
anoniem_DEF_227;;;1;;;;;;1
anoniem_DEF_229;;;;;;;1;;1
anoniem_DEF_23;;;1;;;;;;1
anoniem_DEF_230;;;;1;;;;;1
anoniem_DEF_231;;;;;;1;;;1
anoniem_DEF_235;;;;;;1;;;1
anoniem_DEF_237;;;;;1;;;;1
anoniem_DEF_242;;;;;;2;;;2
anoniem_DEF_244;;;;;;;1;;1
anoniem_DEF_245;;;;;1;;;;1
anoniem_DEF_246;;;;;2;;;;2
anoniem_DEF_25;;;1;;;;;;1
anoniem_DEF_251;;;;;;1;;;1
anoniem_DEF_253;;;;;;1;;;1
anoniem_DEF_258;;;1;;;;;;1
anoniem_DEF_260;;;;1;;;1;;1
anoniem_DEF_268;;;;;;;2;;2
anoniem_DEF_269;;;;;;1;;;1
anoniem_DEF_27;;;;;;;;;
anoniem_DEF_270;;;;;1;;;;1
anoniem_DEF_271;;;;;1;;;;1
anoniem_DEF_279;;;1;;;;;;1
anoniem_DEF_28;;;;;1;;;;1
anoniem_DEF_282;;;;;;1;;;1
anoniem_DEF_284;;;;1;;;;;1
anoniem_DEF_288;;;;1;;;;;1
anoniem_DEF_290;;;;;;1;;;1
anoniem_DEF_296;;;;;1;;1;;1
anoniem_DEF_298;;;;;1;;;;1
anoniem_DEF_3;;;;;;2;;;2
anoniem_DEF_302;;;;;;1;;;1
anoniem_DEF_31;;;;1;;;;;1
anoniem_DEF_310;;;;;;;1;;1
anoniem_DEF_318;;;;;;1;;;1
anoniem_DEF_319;;;;1;;;;;1
anoniem_DEF_32;;;;;3;;;;3
anoniem_DEF_328;;;;1;;;;;1
anoniem_DEF_330;;;;1;;;;;1
anoniem_DEF_331;;;;1;;;;;1
anoniem_DEF_332;;;;;;;1;;1
anoniem_DEF_333;;;;;;;1;;1
anoniem_DEF_337;;;;;;1;;;1
anoniem_DEF_338;;;;1;;;;;1
anoniem_DEF_339;;;;;2;;;;2
anoniem_DEF_341;;;;1;;;;;1
anoniem_DEF_342;;;;;;1;;;1
anoniem_DEF_344;;;;;;;1;;1
anoniem_DEF_349;;;;1;;;;;1
anoniem_DEF_35;;;;;;2;;;2
anoniem_DEF_351;;;;;;1;;;1
anoniem_DEF_352;;;;;;1;;;1
anoniem_DEF_355;;;;;;1;;;1
anoniem_DEF_357;;;;;;2;;;2
anoniem_DEF_359;;;;;;1;;;1
anoniem_DEF_360;;;;;;;2;;2
anoniem_DEF_37;;;;;;;1;;1
anoniem_DEF_385;;;;;;1;;;1
anoniem_DEF_389;;;;;;1;;;1
anoniem_DEF_390;;;;;;4;;;4
anoniem_DEF_392;;;;1;;;;;1
anoniem_DEF_393;;;;;;2;;;2
anoniem_DEF_396;;;1;;;;;;1
anoniem_DEF_398;;;;;;1;1;;1
anoniem_DEF_4;;;;;;1;;;1
anoniem_DEF_407;;;;;;;1;;1
anoniem_DEF_409;;;;1;;;;;1
anoniem_DEF_410;;;;;;1;;;1
anoniem_DEF_411;;;;;;1;;;1
anoniem_DEF_413;;;;;;;1;;1
anoniem_DEF_414;;;;;;2;;;2
anoniem_DEF_417;;;;;;1;;;1
anoniem_DEF_418;;;;;;3;;;3
anoniem_DEF_421;;;;;;1;;;1
anoniem_DEF_422;;;;;1;;;;1
anoniem_DEF_423;;;;1;;;;;1
anoniem_DEF_425;;;;;1;;;;1
anoniem_DEF_43;;;;;;1;;;1
anoniem_DEF_431;;;;;;;1;;1
anoniem_DEF_432;;;;;;1;;;1
anoniem_DEF_434;;;;;2;;;;2
anoniem_DEF_44;;;;;;1;;;1
anoniem_DEF_441;;;;;;1;;;1
anoniem_DEF_445;;;;;;1;;;1
anoniem_DEF_449;;;;;;;1;;1
anoniem_DEF_450;;;;;;2;;;2
anoniem_DEF_454;;;;;;1;;;1
anoniem_DEF_458;;;;;;1;;;1
anoniem_DEF_46;;;;;;1;;;1
anoniem_DEF_460;;;;;;1;;;1
anoniem_DEF_462;;;;;;;1;;1
anoniem_DEF_465;;;1;;;;;;1
anoniem_DEF_467;;;1;;;1;;;1
anoniem_DEF_468;;;;;;1;;;1
anoniem_DEF_469;;;;;;1;;;1
anoniem_DEF_471;;;;1;;;;;1
anoniem_DEF_473;;;;2;;;;;2
anoniem_DEF_477;;;;;2;;;;2
anoniem_DEF_481;;;;1;;;;;1
anoniem_DEF_483;;;;;;2;;;2
anoniem_DEF_484;;;;;;;1;;1
anoniem_DEF_485;;;;2;;1;2;;3
anoniem_DEF_486;;;;1;;;;;1
anoniem_DEF_49;;;1;;;;;;1
anoniem_DEF_494;;;;;1;;;;1
anoniem_DEF_495;;;;;1;;;;1
anoniem_DEF_497;;;;;;1;;;1
anoniem_DEF_499;;;;;;;1;;1
anoniem_DEF_50;;;;;;;1;;1
anoniem_DEF_501;;;;;;1;;;1
anoniem_DEF_502;;;;;;1;;;1
anoniem_DEF_503;;;;;;1;;;1
anoniem_DEF_505;;;;1;1;;;;1
anoniem_DEF_506;;;;;1;;;;1
anoniem_DEF_512;;;;;;1;;;1
anoniem_DEF_515;;;1;;;;;;1
anoniem_DEF_521;;;;1;;;;;1
anoniem_DEF_533;;;;;;;1;;1
anoniem_DEF_54;;;;;;1;;;1
anoniem_DEF_544;;;;;;;1;;1
anoniem_DEF_546;1;;;;1;1;;;1
anoniem_DEF_549;;;;1;;;;;1
anoniem_DEF_550;;;;;;1;;;1
anoniem_DEF_551;;;;1;;;;;1
anoniem_DEF_554;;;;;;;1;;1
anoniem_DEF_555;;;;1;;;;;1
anoniem_DEF_556;;;;1;;;;;1
anoniem_DEF_562;;;;1;;;;;1
anoniem_DEF_566;;;1;;;;;;1
anoniem_DEF_567;;;;;;1;;;1
anoniem_DEF_576;;;1;;;;;;1
anoniem_DEF_578;;;;;1;;;;1
anoniem_DEF_581;;;;;;1;;;1
anoniem_DEF_586;;;;;;1;;;1
anoniem_DEF_588;;;;;;1;;;1
anoniem_DEF_589;;;;;;2;;;2
anoniem_DEF_590;;;;;1;;;;1
anoniem_DEF_591;;;;;;2;;;2
anoniem_DEF_598;;;;;;;1;;1
anoniem_DEF_6;;;;;;1;;;1
anoniem_DEF_60;;;;;;;1;;1
anoniem_DEF_605;;;1;;1;;;;1
anoniem_DEF_606;;;;;;;1;;1
anoniem_DEF_607;;;;;1;1;1;;1
anoniem_DEF_61;;;;1;;;;;1
anoniem_DEF_610;;;;;;1;;;1
anoniem_DEF_612;;;1;;;;;;1
anoniem_DEF_615;;;;;;;1;;1
anoniem_DEF_618;;;;;;2;;;2
anoniem_DEF_619;;;;1;;;;;1
anoniem_DEF_620;;;;;1;;;;1
anoniem_DEF_621;;;;;;1;;;1
anoniem_DEF_622;;;;;;1;;;1
anoniem_DEF_628;;;;;;1;;;1
anoniem_DEF_63;;;;;;1;;;1
anoniem_DEF_630;;;;;;;1;;1
anoniem_DEF_631;;;;;;1;;;1
anoniem_DEF_632;;;;;;1;;;1
anoniem_DEF_634;;;;1;;;;;1
anoniem_DEF_636;;;;;;1;;;1
anoniem_DEF_638;;;;;;1;;;1
anoniem_DEF_642;;;;;;1;;;1
anoniem_DEF_643;;;;;;1;;;1
anoniem_DEF_644;;;;;;1;;;1
anoniem_DEF_647;;;;;;;1;;1
anoniem_DEF_648;;;;;;;2;;2
anoniem_DEF_649;;;;;;;1;;1
anoniem_DEF_65;;;;;;1;;;1
anoniem_DEF_655;;;;1;;;;;1
anoniem_DEF_656;;;;1;;;;;1
anoniem_DEF_657;;;;;;;;2;2
anoniem_DEF_658;;;;;;5;;;5
anoniem_DEF_66;;;;;;2;;;2
anoniem_DEF_661;;;;;;2;;;2
anoniem_DEF_662;;;;;;1;;;1
anoniem_DEF_665;;;;;;;1;;1
anoniem_DEF_667;;;;;;2;;;2
anoniem_DEF_669;;;;;;;1;;1
anoniem_DEF_674;;;;;;1;;;1
anoniem_DEF_677;;;;;2;;;;2
anoniem_DEF_68;;;;;;;;1;1
anoniem_DEF_681;;;;1;;;;;1
anoniem_DEF_682;;;;;1;;;;1
anoniem_DEF_683;;;;;;;1;;1
anoniem_DEF_684;;;;;;;1;;1
anoniem_DEF_687;;;;;;1;;;1
anoniem_DEF_689;;;;1;;;;;1
anoniem_DEF_690;;;;;;1;;;1
anoniem_DEF_692;;;;;;;1;;1
anoniem_DEF_696;;;;1;;;1;;1
anoniem_DEF_697;;;;;;1;;;1
anoniem_DEF_699;;;;;;1;;;1
anoniem_DEF_700;;;;;;1;;;1
anoniem_DEF_701;;;;;;1;;;1
anoniem_DEF_702;;;;;;1;;;1
anoniem_DEF_704;;;;;;1;;;1
anoniem_DEF_706;;;;;;1;;;1
anoniem_DEF_708;;;;1;;;;;1
anoniem_DEF_709;;;;;;2;;;2
anoniem_DEF_714;;;;;;1;;;1
anoniem_DEF_717;;;;;;;1;;1
anoniem_DEF_72;;;;;;1;;;1
anoniem_DEF_723;;;;;;1;;;1
anoniem_DEF_725;;;;;;1;;;1
anoniem_DEF_727;;;;;;1;;;1
anoniem_DEF_728;;;;;;;1;;1
anoniem_DEF_73;;;;;;;1;;1
anoniem_DEF_731;;;;;;1;;;1
anoniem_DEF_732;;;;;;1;;;1
anoniem_DEF_733;;;;;;4;;;4
anoniem_DEF_737;;;;;;1;;;1
anoniem_DEF_738;;;;;;1;;;1
anoniem_DEF_74;;;;1;;;;;1
anoniem_DEF_745;;;;;;1;;;1
anoniem_DEF_75;;;;;;1;;;1
anoniem_DEF_750;;;;;;2;;;2
anoniem_DEF_752;;;;;;;1;;1
anoniem_DEF_753;;;;;;2;;;2
anoniem_DEF_757;;;;;;;1;;1
anoniem_DEF_759;;;;;;2;;;2
anoniem_DEF_760;;;;;;;1;;1
anoniem_DEF_762;;;;;;1;;;1
anoniem_DEF_763;;;;1;;;;;1
anoniem_DEF_769;;;;1;;;;;1
anoniem_DEF_77;;;;;;;1;;1
anoniem_DEF_772;;;;;;;1;;1
anoniem_DEF_777;;;;;;1;;;1
anoniem_DEF_778;;;;;;1;;;1
anoniem_DEF_78;;;;;;1;;;1
anoniem_DEF_782;;;2;;;;;;2
anoniem_DEF_783;;;;;;2;;;2
anoniem_DEF_786;;;;1;;;;;1
anoniem_DEF_787;;;;;;2;;;2
anoniem_DEF_788;;;;;;1;;;1
anoniem_DEF_790;;;;;;1;1;;1
anoniem_DEF_795;;;;;;1;;;1
anoniem_DEF_801;;;;;;;1;;1
anoniem_DEF_803;;;;1;;;;;1
anoniem_DEF_804;;;;1;;;;;1
anoniem_DEF_807;;;;;;3;;;3
anoniem_DEF_811;;;;;;1;;;1
anoniem_DEF_814;;;;;;1;;;1
anoniem_DEF_817;;;;1;;;;;1
anoniem_DEF_819;;;;1;;;;;1
anoniem_DEF_82;;;;;;;1;;1
anoniem_DEF_821;;;;;;;1;;1
anoniem_DEF_822;;;;;1;;;;1
anoniem_DEF_823;;;;;;4;;;4
anoniem_DEF_824;;;;;4;;;;4
anoniem_DEF_825;;;;;;3;;;3
anoniem_DEF_827;;;;1;;;;;1
anoniem_DEF_830;2;;;;5;1;;;6
anoniem_DEF_831;;;;;;1;;;1
anoniem_DEF_832;;;;;1;;;;1
anoniem_DEF_834;;;;1;;;;;1
anoniem_DEF_837;;;;1;;1;;;1
anoniem_DEF_839;;;;;;1;;;1
anoniem_DEF_84;;;;1;;;;;1
anoniem_DEF_844;;;;;1;;;;1
anoniem_DEF_849;;;4;;;3;;;4
anoniem_DEF_85;;;;1;;;;;1
anoniem_DEF_850;;;;;;1;;;1
anoniem_DEF_851;;;;;;;1;;1
anoniem_DEF_852;;;;;;4;;1;4
anoniem_DEF_855;;;;;;1;;;1
anoniem_DEF_857;;;;;;1;1;;1
anoniem_DEF_858;;;;;;6;;;6
anoniem_DEF_859;;;;;;1;;;1
anoniem_DEF_860;;;;;;4;;;4
anoniem_DEF_861;;;;;;1;;;1
anoniem_DEF_862;;;;;;2;;;2
anoniem_DEF_864;;;;;;1;1;;1
anoniem_DEF_867;;;3;;;;;;3
anoniem_DEF_868;;;1;1;;1;3;;3
anoniem_DEF_87;;;;1;;;;;1
anoniem_DEF_871;;;;1;6;3;1;;7
anoniem_DEF_872;;;;;;2;;;2
