Leverancier;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal
Anoniem_BZK_374;;;;;;1;;;;1
Anoniem_BZK_375;;;;1;;;;;;1
Anoniem_BZK_376;;;;1;;;;;;1
Anoniem_BZK_377;;;;;;;;;1;1
Anoniem_BZK_378;1;;;;;;;;1;1
Anoniem_BZK_380;;;;;;;;;1;1
Anoniem_BZK_381;2;;;;;;;;1;2
Anoniem_BZK_387;;;;;;1;;;;1
Anoniem_BZK_390;;;;;;;;;4;4
Anoniem_BZK_391;;;;;;;;;5;5
Anoniem_BZK_392;;;;;;;;;2;2
Anoniem_BZK_393;;;;;;;;;4;4
Anoniem_BZK_394;;;4;;;;;;6;6
Anoniem_BZK_4;;;;;;1;;;;1
Anoniem_BZK_401;4;;;;;;;;;4
Anoniem_BZK_416;;;;;;;;;1;1
Anoniem_BZK_417;;;;1;;;;;;1
Anoniem_BZK_419;;;;;;1;;;;1
Anoniem_BZK_420;;;4;;;;;;;4
Anoniem_BZK_421;;;;;;1;;;;1
Anoniem_BZK_423;1;;;;;;;;;1
Anoniem_BZK_429;;;;;;1;;;;1
Anoniem_BZK_431;;;;1;;;;;;1
Anoniem_BZK_432;;;;1;;;;;;1
Anoniem_BZK_439;;;;;;1;;;;1
Anoniem_BZK_443;;;;1;;;;;;1
Anoniem_BZK_444;;;;;;1;;;;1
Anoniem_BZK_448;;;;1;;;;;;1
Anoniem_BZK_451;1;;;;;;;;;1
Anoniem_BZK_46;;;;;;1;;;;1
Anoniem_BZK_47;;;;;;1;;;;1
Anoniem_BZK_5;;;;;;2;;;;2
Anoniem_BZK_50;;;;;;1;;;;1
Anoniem_BZK_51;;;;;;1;;;;1
Anoniem_BZK_54;;;;;;1;;;;1
Anoniem_BZK_55;;;;;;2;;;;2
Anoniem_BZK_61;;;;;;;;;1;1
Anoniem_BZK_63;;;4;;;;;;;4
Anoniem_BZK_7;;;;;;1;;;;1
Anoniem_BZK_70;;;;;;1;;;;1
Anoniem_BZK_72;;;;;;;;;1;1
Anoniem_BZK_74;;;1;;;;;;;1
Anoniem_BZK_75;;;;;;1;;;;1
Anoniem_BZK_81;;;;;;1;;;;1
Anoniem_BZK_82;;;;;;1;;;;1
Anoniem_BZK_9;;;;1;;;;;;1
Anoniem_BZK_92;;;;;;1;;;;1
Anoniem_BZK_94;;;;1;;;;;;1
Anoniem_BZK_96;;;;;;;;;;
Anoniem_BZK_97;;;;;;;;;;
Anoniem_BZK_99;2;;;;;;;;;2
AOG Contractonderwijs;;;;;;2;;;;2
APG Service Partners B.V.;4;;;;;;;;;4
Arbo Unie;;;6;;;;;;;6
Arbode Consultancy B.V.;;;2;;;;;;;2
Arbolight;;;2;;;;;;;2
ArboNed B.V.;;;;;;1;;;;1
ArboVitale B.V.;;;1;;;;;;;1
Archeon Novum;;;;1;;;;;;1
Arden University;;;;;;1;;;;1
Ardis Opleidingen B.V.;;;;;1;4;;;;4
Ardis Organisatieontwikkeling B.V.;;;;;;4;;;;4
Arenda Oomen Fotografie;;;;;1;;;;;1
Argos Coaching;;;;;;2;;;;2
Arising;;;;;;1;;;;1
ARQ IVP B.V.;;;;;;1;;;;1
Arsenaal Restaurants;;;;1;;;;;;1
Art and the City;;;;;;1;;;;1
Artichoc Chocoladewerken;;;;1;;;;;;1
Artige B.V.;;;;1;;;;;;1
Asgard Hotel B.V.;;;;;;;;;1;1
ASIS International Benelux;;;;;;1;;;;1
Aspectibus;;;;;;3;;;;3
Astrid Spanjaardt Coaching;;;;;1;1;;;;1
Astrid van Assen;;;;1;;;;;;1
Atelier van Biesbergen;;;;1;;;;;;1
Athene Palace B.V.;;;;1;;;;;;1
Athene Palace Den Haag B.V.;;;;1;;;;;;1
Atlassian Holdings B.V.;;;;;;1;;;;1
Attitude Matters;;;;;;1;;;;1
Aude;;;;;;1;;;;1
August;1;;;1;;;;;;1
Aukje Kaptein Huisarts;;;;;;1;;;;1
AutiTalent B.V.;;;;;;;;;1;1
Autorijschool Kneteman;;;;;;1;;;;1
Avans Hogeschool MB B.V.;;;;;;2;;;;2
AVDD B.V.;2;;;;;;;;2;2
AvdR Webinars B.V.;;;;1;;1;;;;1
Avisi Consultancy B.V.;;;;;;1;;;;1
B. Cornelissen;1;;;;;;;;;1
B. Visser;;;;;;;;;1;1
B.G.L. & Partners B.V.;;;;;;1;;;;1
B.V. Beatrixoord;;;;;;1;;;;1
B.V. Princeville Exploitatie;;;;1;;;;;;1
B.V. Rederij G. Doeksen en Zonen;;;;;;;;;1;1
B+B Vakmedianet B.V.;;;;;;2;;;;2
B+B Vakmedianet Groep B.V.;;;;;;1;;;;1
BA Praktijk B.V.;;;4;;;;;;;4
Bakker Klink;;;;1;;;;;;1
Bakker Meijer Hoogezand B.V.;;;;1;;;;;;1
Bakker Prins;1;;;;;;;;;1
Balans & Impuls B.V.;;;1;;;1;;;;2
Bali Food B.V.;;;;1;;;;;;1
Balkan Grill Boro;;;;1;;;;;;1
Bally's Bowling;;;;1;;;;;;1
Banketbakkerij Boheemen;1;;;1;;;;;;1
Banketbakkerij Borgman;;;;1;;;;;;1
Banketbakkerij De Jong;;;;1;;;;;;1
Banketbakkerij Maison Kelder B.V.;1;;;1;;;;;;1
Banketbakkerij Tamminga en Verweij;;;;1;;;;;;1
Bannink Coaching & Consultancy;;;;;;1;;;;1
Bar Company B.V.;;;;1;;;;;;1
Bar Restaurant Pavlov B.V.;1;;;2;;;;;;2
Barbarossa Beach B.V.;;;;1;;;;;;1
BarBier Gouda;;;;1;;;;;;1
Bargi Beheer B.V.;;;;;;;;;1;1
Bartine;;;;1;;;;;;1
Basis & Beleid Organisatie-Adviseurs B.V.;;;;;;2;;;;2
Bast Psycholoog;;;;;1;;;;;1
Baton Rentals en Finance;;;;;;;;2;;2
Bavak Beveiligingsgroep B.V.;;;;;;2;;;;2
Beach Club Peukie B.V.;;;;1;;;;;;1
Beach Club WOW;;;;1;;;;;;1
Beach Noordwijk B.V.;;;;1;;;;;;1
Beachclub BAIT;1;;;;;;;;;1
Beachclub People;;;;1;;;;;;1
Bedrijfsarts Hoven;;;3;;;;;;;3
Bedrijfsartsenpraktijk Jaco Greaves;;;4;;;;;;;4
Bedrijfsbureau RSC B.V.;;;;;;1;;;;1
Bedrijfsdiensten Nederland;;;;1;;;;;;1
Behavior Change Academy;;;;;;1;;;;1
Behavior Change Group B.V.;;;;;;1;;;;1
Beijer Projects;;;;1;;;;;;1
Beleving aan zee;;;;;;1;;;;1
BensVillages B.V.;;;;1;;;;;;1
Benthem Crouwel Architekten B.V.;;;;;1;;;;;1
Berenschot B.V.;;;;;;2;;;;2
Berenschot Groep B.V.;;;;;;2;;;;2
Berghauser Pont Academy B.V.;;;;;;2;;;;2
Bernard Poelman Maatkleding;;;;;;1;;;;1
Bert Hellinger Instituut Nederland;;;;;;1;;;;1
Bestuursacademie Nederland Opleidingen B.V.;;;;;;1;;;;1
Beter Horen;;;1;;;;;;;1
Better at Work;;;;;;1;;;;1
Betty Wijntjes;;;;;;1;;;;1
Bex*communicatie;;;;;;1;;;;1
Bezair;;;;;;;;;4;4
Billink B.V.;;;;1;;;;;;1
Binnenlands Bestuur B.V.;;;;;2;;;;;2
BinQ;;;;1;;;;;;1
Bison Bowling;;;;1;;;;;;1
BitesWeLove B.V.;;;;2;;;;;;2
Blankestijn & Partners B.V.;;;;;;2;;;;2
BLOSSOM bloemisterij;;;;1;;;;;;1
Bobbe International B.V.;;;;;;;;1;;1
BodemenergieNL;;;;;;1;;;;1
Bodymindtherapy.nl;;;;;;1;;;;1
Boeckhout Arbo;;;2;;;;;;;2
Boerma Ontwikkeling in Organisaties;;;;;;1;;;;1
Boertien Vergouwen Overduin B.V.;;;;;;1;;;;1
BoFit B.V.;;;;1;;;;;;1
bol.com B.V.;;;1;1;;1;;;1;1
Bona Dea B.V.;;;;1;;;;;;1
Boogh Arbeidsre-integratie;;;;;1;1;;;;1
Boogh Harmelen;;;1;;;;;;;1
Boom uitgevers Amsterdam B.V.;;;;;;1;;;;1
Bootcamp Team;;;;;;1;;;;1
Bornbasket.nl;;;;1;;;;;;1
Borrel Experience B.V.;;;;1;;;;;;1
Bos & Bos Catering B.V.;;;;1;;;;;;1
Bos Incasso B.V.;;;;;;;;;1;1
Bospaviljoen 't Leesten B.V.;;;;1;;;;;;1
Bossche Brouwers;;;;1;;;;;;1
Boterwaag Den Haag B.V.;;;;1;;;;;;1
Boudrie Consultancy;;;;;;1;;;;1
Bourgonje Geluid- en Lichtservice B.V.;;;;2;;;;;;2
Bouzy;;;;1;;;;;;1
Bowling Scheveningen B.V.;;;;1;;;;;;1
BRACK pop-up;;;;1;;;;;;1
Braincreators B.V.;;;;;;2;;;;2
Brandpreventie Academy B.V.;;;;;;1;;;;1
Brasserie Buitenhuis B.V.;;;;1;;;;;;1
Brasserie 'de Graaf van Haamstede';;;;1;;;;;;1
Brasserie de Koepel;;;;1;;;;;;1
Brasserie Golf Ockenburgh;;;;1;;;;;;1
Brasserie Quartier B.V.(LE QUARTIER);;;;1;;;;;;1
Brasserie Sequenza;;;;1;;;;;;1
Brasserie Soho B.V.;1;;;1;;;;;;1
Brasserie WW;;;;1;;;;;;1
Brian Smits;;;;;;1;;;;1
Bribenco B.V.;;;;1;;;;;;1
Bridge2learn;;;;;;1;;;;1
Bridgeman B.V.;;;;;;3;;;;3
Bridgeman B.V. Human Potentials;;;;;;1;;;;1
Brillat-Savarin B.V.;;;;1;;;;;;1
Brit Gezond Werken en Wonen;;;2;;;;;;;2
Brood en Banket Margriet;1;;;1;;;;;;2
Brood en Banket Margriet B.V.;;;;1;;;;;;1
Brood- en Banketbakkerij Godschalk;;;;1;;;;;;1
Brood- en Banketbakkerij Vries B.V.;;;;1;;;;;;1
Broodrunner;;;;1;;;;;;1
Broos Water B.V.;;;;;;1;;;;1
Brownies per Post;;;;1;;;;;;1
brth;;;;;;1;;;;1
Budgetgift.nl B.V.;;;;1;;;;;;1
Building Traditions;;;;;;1;;;;1
BUITENGOED DE UYLENBURG;;;;;;;;;1;1
Buitengoed Uylenburg B.V.;;;;;;1;;;;1
Buitenverblijf Buiten Westen;;;;;;1;;;;1
Bureau Doorenbos;;;;;;1;;;;1
Bureau Kroner architecten B.V.;;;;;;1;;;;1
Bureau Streefkerk B.V.;;;;;;1;;;;1
Bureau Zuidema B.V.;;;;;;2;;;;2
Bureau Zuidema Learning Solutions B.V.;;;;;;3;;;;3
Burgundy Street B.V.;;;;1;;;;;;1
Burn Out Poli;;;;1;;1;;;;1
Buro BRAND Visuele Communicatie B.V.;;;;;;1;;;;1
buro ROOD;;;;;;1;;;;1
Buro van de Panne;;;;;;1;;;1;1
Burrata Goudenregenplein B.V.;1;;;1;;;;;;1
Burrata Turfmarkt B.V.;;;;1;;;;;;1
Buveco Gasdetection B.V.;;;;;;1;;;;1
Buyitdirect.com B.V.;;;;1;;;;;;1
BVO Opleidingen B.V.;;;;;;3;;;;3
BWS Consulting B.V.;;;4;;;;;;;4
C.A. Streng;;;;;;;;;1;1
Cadeau Concepten B.V.;;;;2;;;;;;2
Cadeaubonnen.nl B.V.;;;;1;;;;;;1
Café 2005;;;;1;;;;;;1
Cafe Blossom;;;;1;;;;;;1
Café 'De Kleine Witte';;;;1;;;;;;1
Café Het Hijgend Hert;;;;1;;;;;;1
Cafe/Restaurant De Eeuwige Jachtvelden;1;;;1;;;;;;1
Café-Restaurant Pan;;;;1;;;;;1;1
Calder Werkt B.V.;;;;;;1;;;;1
Calla's LVRED 51A B.V.;;;;1;;;;;;1
Cancer Health Coach;;;;1;;;;;;1
CAOP;;;;;;1;;;;1
Capgemini Educational Services B.V.;;;;;;1;;;;1
Capgemini Nederland B.V.;;;;;;1;;;;1
Capilla;;;;1;;;;;;1
Capilla B.V.;;;;;;1;;;;1
Capstones B.V.;;;;;;1;;;;1
Caroline Stil;;;4;;;;;;;4
Carrilho executive coaching and consulting;;;;;;2;;;;2
CasaGrande B.V.;;;;;;1;;;;1
Caseon;;;;;;1;;;;1
Castenmiller B.V.;1;;;;;;;;1;1
Catering Dik Trom;;;;1;;;;;;1
Centeno Coaching;;;;;;1;;;;1
Centrale RINO B.V.;;;;;;1;;;;1
Centralpoint Nijmegen B.V.;;;;;;1;;;;1
Centric Netherlands B.V.;;;;;;2;;;;2
Centrum Media & Gezondheid (CMG);;;;;;;;;1;1
Centrum voor Conflicthantering B.V.;;;;;;1;;;;1
Chan Bedrijfsarts;;;4;;;;;;;4
Charlotte Gmeling Meijling;;;;;;1;;;;1
Cheil Benelux B.V.;;;;;;1;;;;1
Chocolate Company Retail B.V.;;;;1;;;;;;1
Choco-Paradijs;;;;2;;;;;;2
Christa de Groot kwaliteit en advies bureau;;;;;;1;;;;1
Christelijke Hogeschool Ede;;;;;;1;;;;1
Christelijke Hogeschool Windesheim;;;;;;1;;;;1
Ciao! Ciao! B.V.;1;;;1;;;;;;1
CIO Platform Nederland;;;;;;;;1;;1
Clicking Images;;;;1;;;;;;1
CLOOS B.V.;;;;1;;;;;;1
Cloose;;;;1;;;;;;1
CM Partners B.V.;;;;1;;;;;;1
Coach voor Persoonlijk Leiderschap;;;;;;1;;;;1
CoachCamper;;;2;;;;;;;2
Coachcenter B.V.;;;;;;1;;;;1
COCD Opleidingen;;;;;;1;;;;1
Collard Consultancy;;;;1;;;;;;1
Colliers International Valuations;;;;;;2;;;;2
Colourshift;;;;;;1;;;;1
Compabox B.V.;;;;1;;;;;;1
Company Sandwich Den Haag;1;;;1;;;;;;1
COMPAREX Nederland B.V.;;;;;;2;;;;2
Compassion in business;;;;;1;;;;;1
Competence Factory;;;;;;1;;;;1
Compu'Train;;;;;;1;;;;1
Conexio B.V.;;;4;1;;;;;;4
CONMares Advies;;;3;;;;;;;3
Connect Management Consulting;;;;;;1;;;;1
Connexxion Tours;;;;;;;;;1;1
Consulo B.V.;;;3;;;;;;;3
Contract Provider B.V.;;;;;;1;;;;1
Coöperatie De Betekenaar U.A.;;;;;;1;;;;1
Cordes Organisatie Advies & Ontwikkeling;;;;;;1;;;;1
COT Inst. voor Veil.h.- & Crisismanagem. B.V.;;;;;;1;;;;1
Cotica HRM advies;;;;;;1;;;;1
CSR Centrum B.V.;;;;;;1;;;;1
CT², creative thinking coaching training;;;;;;2;;;;2
Culpepper B.V.;;;;1;;;;;;1
Curilion B.V.;;;;;;1;;;;1
Cycle and the City;;;;1;;;;;;1
Cyclus Arbo Projecten;;;2;;;;;;;2
D.A.B. Special service;;;;;;;;;1;1
DÃ©hora Consultancy Group B.V.;;;;;;2;;;;2
Dataveem B.V.;;;;;;;;;1;1
De Academy B.V.;;;;;;1;;;;1
De Amsterdamsche Kring;;;;;;1;;;;1
De Argumentenfabriek B.V.;;;;;;2;;;;2
De Baak Administratie;;;;;;1;;;;1
De Baak B.V.;;;;;;3;;;;3
DE BAAK SEASIDE;;;;1;;;;;;1
De Bakkerswinkel Den Haag;;;;1;;;;;;1
De Bel & Co;;;;;;1;;;;1
De Belgische Keizer B.V.;;;;1;;;;;;1
De Bierkelder Utrecht;;;;1;;;;;;1
De Boeckhorst B.V.;;;4;;;;;;;4
De Booij Party en Congresarchitekten;;;;;;1;;;;1
De Borrel B.V.;;;;1;;;;;;1
De Burgerij;;;;1;;;;;;1
De Corridor;;;;1;;;;;;1
De Denksmederij;;;;;;1;;;;1
De Dominee Suite;;;;1;;;;;;1
De Eerste Verdieping;;;;;;1;;;;1
De Efteling B.V.;;;;2;;;;;;2
De Federatie B.V.;;;;;;2;;;;2
De Feed Fabriek;;;;1;;;;;;1
'DE GENERAAL';;;;1;;;;;;1
De Gezonde Zaak B.V.;;;1;;;;;;;1
De Grietmanswijk B.V.;;;;1;;;;;;1
De Heeren Hofsteenge;;;;1;;;;;;1
De Hoek;;;;1;;;;;;1
De Hoogstraat Revalidatie;;;1;;;;;;;1
De Horeca Academie Zakelijk B.V.;;;;1;;;1;;;1
De horeca mannen;;;;1;;;;;;1
De Investeringsmaatschappij B.V.;;;;;;2;;;;2
De Jonge Balie bij de Hoge Raad der Nederl.;;;;;;;;1;;1
De Kaaskop;;;;1;;;;;;1
de Keuken van Alex;1;;;;;;;;;1
De Koers;;;;1;;;;;;1
De Koning Consultancy;;;;;;1;;;;1
De Nederlandse Ver. van Rentmeesters NVR;;;;1;;;;;;1
De Nieuwe Pelgrim;;;;;;1;;;;1
De Nonnen in Vught;;;;;;1;;;;1
Dé Nova Assessment & Learning;;;;;;1;;;;1
De Onderstroom Karin Brugman;;;;;;1;;;;1
De Pennenwinkel;;;;1;;;;;;1
De Pier Horeca B.V.;;;;1;;;;;;1
De Poort van Leyden B.V.;;;;1;;;;;;1
De Puzzelmaker;;;;1;;;;;;1
De Reuselhoeve B.V.;;;;1;;;;;;1
De Roos Geschenken B.V.;;;;1;;;;;;1
De Schenker B.V.;;;;1;;;;;;1
De Smelt B.V.;;;;1;;;;;;1
De Staat Arnhem;;;;1;;;;;;1
De Stad B.V.;;;;1;;;;;;1
De Staffing Groep Nederland B.V.;;;;;;;;;2;2
De Stappencoach;;;;1;;;;;;1
De Stijlacademie voor kleur & kleding;;;;;;1;;;;1
De Teamcoach;;;;;;1;;;;1
De Tombe Consultancy B.V.;;;;;;1;;;;1
DE TUINKAMER;;;;1;;;;;;1
De Vesting;1;;;1;;;;;;1
De Vuijst Consult B.V.;;;;;;1;;;;1
De Werkmeester B.V.;;;;;;1;;;;1
De werktuin;;;;1;;;;;;1
De Werkvermogen Oplossing;;;3;;;;;;;3
De Witte Raaf;;;;1;;;;;;1
De Zeeuwse Broodjes Service;;;;1;;;;;;1
De Zoete Inval B.V.;;;;1;;;;;;1
Debat.NL B.V.;;;;;;2;;;;2
Debatrix;;;;;;1;;;;1
Dechesne Personal Coaching;;;;;;1;;;;1
Delft Congress Support B.V.;;;;;;1;;;;1
Delicious Sweetness;;;;2;;;;;;2
Delta 10 B.V;;;;1;;;;;;1
Denk Producties B.V.;;;;;;1;;;;1
Denkschets.nl;;;;;;1;;;;1
depoorte.com;;;;;;1;;;;1
Desinfectie Company;;;;1;;;;;;1
Develhub;;;;;;1;;;;1
Didactive B.V.;;;;;;1;;;;1
Diederik Vermeulen Advies;;;;;;1;;;;1
Digital Action;;;;;;1;;;;1
Dignitas Mediation & Conflict Management;;;;;;1;;;;1
Dignus Arbo B.V.;;;3;;;;;;;3
Dijo Salsa;;;;;;1;;;;1
Diner Thuis;1;;;;;;;;;1
Dior Opleidingen B.V.;;;;;;2;;;;2
Dirk Heij;;;;1;;;;;;1
Dirty Duck;;;;;;1;;;;1
Discountoffice.nl B.V.;;;1;1;;;;;;1
D'Javas;;;;1;;;;;;1
Djinny Logistiek B.V.;;3;;;;;;;;3
DNV GL Business Assurance;;;;;;;;1;;1
DNV GL Business Assurance B.V.;;;;;;1;;;;1
Doloris Horeca B.V.;;;;1;;;;;;1
Dols Consult;;;;;;1;;;;1
Domstad Evenementen B.V.;;;;1;;;;;;1
DON Opleidingen;;;;;;1;;;;1
Donna Gelateria B.V.;;;;1;;;;;;1
