FID,omschr,afst_glg,hgte_glg,kantcode,wvk_id,wvk_begdat,begafstand,endafstand,fk_veld1,fk_veld4,izi_side,ibn,gdb_geomattr_data,shape
geluids_beperkingen_wegvak.11,Geluidswal,4.5 -> 4.5,1 -> 1,H,600143396,2021-06-01T00:00:00,465,550,060014339620210601,KLK0008117268,L,I,,"LINESTRING (178380.873399999 580079.6779999994, 178377.23739999905 580080.2032999992, 178352.33289999887 580083.5238000005, 178342.20919999853 580084.6981999986, 178319.7344999984 580087.1684000008, 178307.42399999872 580088.3022999987, 178296.1783999987 580089.0047999993)"
geluids_beperkingen_wegvak.12,Doorzichtig geluidsscherm,10 -> 10,3 -> 3,H,376094004,2021-08-01T00:00:00,148,460,037609400420210801,KLK0007809225,L,I,,"LINESTRING (188485.44420000166 347165.3247000016, 188542.31700000167 347229.2982000001, 188636.29720000178 347328.3583999984, 188665.0839000009 347358.4151000008, 188699.6596999988 347392.04839999974)"
geluids_beperkingen_wegvak.13,Doorzichtig geluidsscherm,6.5 -> 10,3 -> 3,H,376094004,2021-08-01T00:00:00,460,571,037609400420210801,KLK0007809224,L,I,,"LINESTRING (188699.6596999988 347392.04839999974, 188779.22549999878 347469.44530000165)"
geluids_beperkingen_wegvak.14,Geluidswal met daarop of -in een scherm,7.5 -> 4.5,5 -> 5,H,276318043,2021-08-01T00:00:00,204,226,027631804320210801,KLK0010086805,R,I,,"LINESTRING (138491.89909999818 459147.86300000176, 138492.66209999844 459170.2201000005)"
geluids_beperkingen_wegvak.15,Geluidswand,6.5 -> 6.5,3 -> 3,H,600147256,2021-11-01T00:00:00,0,109,060014725620211101,KLK0008669036,L,I,,"LINESTRING (202693.82119999826 503845.12220000103, 202636.80640000105 503805.2884999998, 202608.41169999912 503786.13060000166, 202604.02950000018 503783.34010000154)"
geluids_beperkingen_wegvak.16,Geluidswand,3.5 -> 6.5,3 -> 3,H,600147256,2021-11-01T00:00:00,109,199,060014725620211101,KLK0008216871,L,I,,"LINESTRING (202604.02950000018 503783.34010000154, 202603.89779999852 503783.2562999986, 202591.02149999887 503775.5469999984, 202577.8156999983 503767.79520000145, 202551.78730000183 503752.8709000014, 202525.97459999844 503738.54879999906)"
geluids_beperkingen_wegvak.17,Niet doorzichtig geluidsscherm,2.5 -> 5.5,1 -> 1,H,600470834,2021-11-01T00:00:00,15,59,060047083420211101,KLK0008531541,R,I,,"LINESTRING (119353.79520000145 483597.7082000002, 119353.78830000013 483597.7087999992, 119346.01979999989 483598.65780000016, 119336.19009999931 483600.4221000001, 119326.48600000143 483602.83740000054, 119319.10680000111 483605.1645000018, 119311.22049999982 483608.1779999994)"
geluids_beperkingen_wegvak.18,Niet doorzichtig geluidsscherm,2.5 -> 2.5,1 -> 1,H,600470834,2021-11-01T00:00:00,0,15,060047083420211101,KLK0008531540,R,I,,"LINESTRING (119368.76319999993 483596.75459999964, 119358.77039999887 483597.28510000184, 119353.79520000145 483597.7082000002)"
geluids_beperkingen_wegvak.19,Niet doorzichtig geluidsscherm,5.5 -> 3.5,1 -> 1,H,600470834,2021-11-01T00:00:00,112,140,060047083420211101,KLK0008250577,R,I,,"LINESTRING (119262.71180000156 483629.4626000002, 119261.71339999884 483629.8304999992, 119252.18560000136 483632.6517999992, 119247.31019999832 483633.805399999, 119240.91519999877 483635.0192999989, 119235.48470000178 483635.7542999983)"
geluids_beperkingen_wegvak.20,Niet doorzichtig geluidsscherm,3.5 -> 3.5,1 -> 3,H,600470834,2021-11-01T00:00:00,140,186,060047083420211101,KLK0008250578,R,I,,"LINESTRING (119235.48470000178 483635.7542999983, 119231.00200000033 483636.36100000143, 119225.65879999846 483636.92020000145, 119220.6922999993 483637.2371000014, 119210.6875 483637.5469999984, 119196.9908999987 483637.26590000093, 119189.58720000088 483636.7991000004)"
geluids_beperkingen_wegvak.21,Niet doorzichtig geluidsscherm,5.5 -> 5.5,1 -> 1,H,600470834,2021-11-01T00:00:00,59,112,060047083420211101,KLK0008250576,R,I,,"LINESTRING (119311.22049999982 483608.1779999994, 119309.76979999989 483608.7324000001, 119300.63670000061 483612.8088000007, 119278.07429999858 483623.40839999914, 119271.1037000008 483626.3698000014, 119262.71180000156 483629.4626000002)"
geluids_beperkingen_wegvak.22,Geluidswal met daarop of -in een scherm,3.5 -> 10,3 -> 3,H,600470834,2021-11-01T00:00:00,186,425,060047083420211101,KLK0008210336,R,I,,"LINESTRING (119189.58720000088 483636.7991000004, 119169.0113000013 483635.501600001, 119024.1149000004 483625.40300000086, 119019.16530000046 483624.98000000045, 119004.3198999986 483621.9483000003, 118952.46310000122 483610.9232000001)"
geluids_beperkingen_wegvak.23,Doorzichtig geluidsscherm,4.5 -> 4.5,3 -> 3,H,600468667,2021-11-01T00:00:00,1297,1489,060046866720211101,KLK0008218132,R,I,,"LINESTRING (206291.75079999864 504886.46609999985, 206315.7168999985 504894.3247999996, 206334.6420999989 504900.7930999994, 206360.73600000143 504909.999400001, 206398.30160000175 504923.74109999835, 206426.5304000005 504934.54560000077, 206463.78559999913 504949.1185000017, 206471.99219999835 504952.50499999896)"
geluids_beperkingen_wegvak.24,Niet doorzichtig geluidsscherm,4.5 -> 4.5,3 -> 3,H,600468667,2021-11-01T00:00:00,1250,1297,060046866720211101,KLK0008218131,R,I,,"LINESTRING (206246.92110000178 504872.3550999984, 206252.87920000032 504874.1270000003, 206277.7146999985 504881.86349999905, 206291.75079999864 504886.46609999985)"
geluids_beperkingen_wegvak.25,Geluidswal met daarop of -in een scherm,4.5 -> 4.5,5 -> 3,H,600468667,2021-11-01T00:00:00,576,1250,060046866720211101,KLK0008218126,R,I,,"LINESTRING (205589.61960000172 504724.185800001, 205876.39719999954 504784.6607000008, 206048.36960000172 504821.08210000023, 206084.753800001 504829.13219999894, 206123.66930000111 504838.34899999946, 206137.5566000007 504841.8288999982, 206156.90949999914 504846.76099999994, 206176.21939999983 504851.97360000014, 206214.5326000005 504862.7228000015, 206246.92110000178 504872.3550999984)"
geluids_beperkingen_wegvak.26,Geluidswal met daarop of -in een scherm,4.5 -> 4.5,3 -> 5,H,600468667,2021-11-01T00:00:00,0,576,060046866720211101,KLK0008218124,R,I,,"LINESTRING (205025.99769999832 504605.4158000015, 205362.566300001 504676.4763999991, 205541.0137999989 504713.935899999, 205589.61960000172 504724.185800001)"
geluids_beperkingen_wegvak.27,Geluidswal met daarop of -in een scherm,6.5 -> 9.5,6 -> 6,H,600141944,2021-11-01T00:00:00,1816,1859,060014194420211101,KLK0008224799,L,I,,"LINESTRING (180177.5474999994 320870.5009999983, 180169.5859999992 320865.9728000015, 180152.39939999953 320855.81219999865, 180140.59430000186 320848.52059999853)"
geluids_beperkingen_wegvak.28,Geluidswal met daarop of -in een scherm,5.5 -> 6.5,6 -> 6,H,600141944,2021-11-01T00:00:00,1867,2217,060014194420211101,KLK0008224798,L,I,,"LINESTRING (180133.8553000018 320844.2104000002, 180114.9792000018 320831.9470000006, 180098.40929999948 320820.7404000014, 180078.8478000015 320806.8568999991, 180063.89620000124 320795.7985999994, 180047.96279999986 320783.7162999995, 180032.16950000077 320771.4653000012, 180001.70800000057 320746.9461000003, 179986.44220000133 320734.15459999815, 179956.20320000127 320707.96379999816, 179935.7124999985 320689.7140999995, 179906.23279999942 320662.7012999989, 179891.57719999924 320649.08949999884, 179863.73200000077 320622.8103)"
geluids_beperkingen_wegvak.29,Geluidswal,7.5 -> 7.5,3 -> 3,H,600469441,2021-11-01T00:00:00,0,114,060046944120211101,KLK0008224543,L,I,,"LINESTRING (199194.5251000002 315668.83940000087, 199177.0960999988 315699.19299999997, 199159.16169999912 315729.25, 199149.3515000008 315745.07609999925, 199135.77160000056 315766.5144000016)"
geluids_beperkingen_wegvak.30,Geluidswal,7.5 -> 7.5,1 -> 3,H,600469441,2021-11-01T00:00:00,114,225,060046944120211101,KLK0008224542,L,I,,"LINESTRING (199135.77160000056 315766.5144000016, 199117.24439999834 315795.76309999824, 199107.22720000148 315812.0080000013, 199089.25829999894 315842.04879999906, 199078.1334999986 315861.3610999994)"
geluids_beperkingen_wegvak.31,Geluidswal,8.5 -> 8.5,5 -> 5,H,600146139,2021-11-01T00:00:00,117,493,060014613920211101,KLK0008148287,L,I,,"LINESTRING (199433.24670000002 315285.5753000006, 199365.38109999895 315389.0326000005, 199227.3900000006 315599.85709999874)"
geluids_beperkingen_wegvak.32,Geluidswal met daarop of -in een scherm,1.5 -> 1.5,5 -> 6,H,600142671,2021-11-01T00:00:00,0,102,060014267120211101,KLK0008225185,L,I,,"LINESTRING (179734.9050000012 320522.0769999996, 179714.39790000021 320507.7239000015, 179697.30469999835 320497.3359000012, 179683.27450000122 320489.3596000001, 179670.11930000037 320482.1490999982, 179647.45190000162 320470.43389999866)"
geluids_beperkingen_wegvak.33,Geluidswand,4.5 -> 5.5,3 -> 3,H,600150095,2021-11-01T00:00:00,760,765,060015009520211101,KLK0008111685,R,I,,"LINESTRING (235496.51110000163 576546.3101000004, 235495.2360999994 576551.1447999999)"
geluids_beperkingen_wegvak.34,Geluidswand,4.5 -> 4.5,3 -> 3,H,600150095,2021-11-01T00:00:00,455,760,060015009520211101,KLK0008111684,R,I,,"LINESTRING (235568.71539999917 576249.9836999997, 235510.64669999853 576490.2771999985, 235505.9087000005 576509.7082000002, 235499.52650000155 576534.8762000017, 235496.51110000163 576546.3101000004)"
geluids_beperkingen_wegvak.35,Geluidswand,5.5 -> 4.5,3 -> 3,H,600150095,2021-11-01T00:00:00,442,455,060015009520211101,KLK0008111683,R,I,,"LINESTRING (235571.76900000125 576237.3475000001, 235568.71539999917 576249.9836999997)"
geluids_beperkingen_wegvak.36,Geluidswal,6.5 -> 6.5,3 -> 3,H,600150095,2021-11-01T00:00:00,159,370,060015009520211101,KLK0008111682,R,I,,"LINESTRING (235638.24460000172 575962.2657000013, 235588.68149999902 576167.3619999997)"
geluids_beperkingen_wegvak.37,Geluidswal,7.5 -> 7.5,3 -> 3,H,600147316,2021-11-01T00:00:00,0,77,060014731620211101,KLK0008224543,L,I,,"LINESTRING (199227.3900000006 315599.85709999874, 199218.7168999985 315625.9129000008, 199194.5251000002 315668.83940000087)"
geluids_beperkingen_wegvak.38,Geluidswal,8.5 -> 8.5,5 -> 5,H,600152417,2021-11-01T00:00:00,1350,2512,060015241720211101,KLK0008643533,L,I,,"LINESTRING (228329.35229999945 538781.6953999996, 228318.68730000034 538759.6491999999, 228292.9459999986 538705.4514999986, 228270.10300000012 538656.7281999998, 228245.00710000098 538602.2248000018, 228212.03590000048 538529.3343999982, 228188.4312000014 538476.3684, 228007.3348999992 538064.0995000005, 227943.1537999995 537917.5359000005, 227918.85319999978 537862.6770000011, 227910.65670000017 537844.4331, 227892.95100000128 537806.1422000006, 227875.71730000153 537770.0287999995, 227866.90740000084 537752.0707999989, 227851.92049999908 537722.4345000014)"
geluids_beperkingen_wegvak.39,Geluidswal,8.5 -> 25,5 -> 5,H,600152417,2021-11-01T00:00:00,1240,1350,060015241720211101,KLK0008643537,L,I,,"LINESTRING (228377.71990000084 538880.4899999984, 228349.69970000163 538823.7567000017, 228329.35229999945 538781.6953999996)"
geluids_beperkingen_wegvak.40,Geluidswal,10 -> 10,5 -> 5,H,600152417,2021-11-01T00:00:00,632,1104,060015241720211101,KLK0008111039,L,I,,"LINESTRING (228654.73570000008 539421.6733000018, 228629.8412999995 539370.0174999982, 228603.0833999999 539316.3136, 228576.53240000084 539264.4739000015, 228558.0062999986 539229.0227000006, 228510.58080000058 539139.2443000004, 228473.4101999998 539068.4037999995, 228438.99460000172 539001.9024999999)"
geluids_beperkingen_wegvak.41,Geluidswal,10 -> 10,5 -> 5,H,600152417,2021-11-01T00:00:00,2571,2825,060015241720211101,KLK0008111019,L,I,,"LINESTRING (227824.51529999822 537670.1878999993, 227812.14939999953 537647.2437000014, 227792.71070000157 537612.2171999998, 227772.83729999885 537577.5031000003, 227752.63809999824 537542.9770999998, 227697.68409999833 537450.1479999982)"
geluids_beperkingen_wegvak.42,Geluidswal,8.5 -> 10,5 -> 5,H,600152417,2021-11-01T00:00:00,2825,2871,060015241720211101,KLK0008111018,L,I,,"LINESTRING (227697.68409999833 537450.1479999982, 227674.25090000033 537410.564100001)"
geluids_beperkingen_wegvak.43,Geluidswal,10 -> 8.5,5 -> 5,H,600152417,2021-11-01T00:00:00,2512,2571,060015241720211101,KLK0008111030,L,I,,"LINESTRING (227851.92049999908 537722.4345000014, 227848.8563000001 537716.375, 227833.20820000023 537686.3169, 227824.51529999822 537670.1878999993)"
geluids_beperkingen_wegvak.44,Geluidswal,10 -> 8.5,5 -> 5,H,600152417,2021-11-01T00:00:00,2871,3019,060015241720211101,KLK0008111017,L,I,,"LINESTRING (227674.25090000033 537410.564100001, 227598.85689999908 537283.2074000016)"
geluids_beperkingen_wegvak.45,Niet doorzichtig geluidsscherm,9.5 -> 7.5,5 -> 5,H,321179043,2021-11-01T00:00:00,3,48,032117904320211101,KLK0008308661,R,I,,"LINESTRING (160585.47439999878 389659.16050000116, 160607.38969999924 389657.4640999995, 160629.94970000163 389655.4140999988)"
geluids_beperkingen_wegvak.46,Geluidswal met daarop of -in een scherm,1.5 -> 1.5,5 -> 6,H,600198502,2021-11-01T00:00:00,0,9,060019850220211101,KLK0008225185,L,I,,"LINESTRING (179647.45190000162 320470.43389999866, 179639.4028000012 320466.4074999988)"
geluids_beperkingen_wegvak.47,Niet doorzichtig geluidsscherm,7.5 -> 7.5,1 -> 1,H,357039022,2021-11-01T00:00:00,244,431,035703902220211101,KLK0008224757,R,I,,"LINESTRING (179202.42240000144 320110.0069999993, 179221.68050000072 320131.74529999867, 179232.8156999983 320144.04780000076, 179242.78460000083 320154.7791999988, 179260.1543999985 320172.73970000073, 179273.6447999999 320185.77699999884, 179285.5973000005 320196.69420000166, 179299.44110000134 320208.6999000013, 179317.36290000007 320223.29239999875, 179337.40060000122 320238.47370000184)"
geluids_beperkingen_wegvak.48,Niet doorzichtig geluidsscherm,7.5 -> 7.5,3 -> 1,H,357039022,2021-11-01T00:00:00,0,244,035703902220211101,KLK0008224756,R,I,,"LINESTRING (179029.1414999999 319939.1686999984, 179054.4866000004 319956.8370000012, 179069.35020000115 319970.23959999904, 179083.9978 319983.85770000145, 179096.1999000013 319995.5538999997, 179110.39279999956 320009.65469999984, 179134.77930000052 320034.9277999997, 179148.3947999999 320049.5811999999, 179172.37849999964 320076.0938999988, 179202.42240000144 320110.0069999993)"
geluids_beperkingen_wegvak.49,Niet doorzichtig geluidsscherm,7.5 -> 7.5,1 -> 1,H,358040005,2021-11-01T00:00:00,0,50,035804000520211101,KLK0008225169,R,I,,"LINESTRING (179337.40060000122 320238.47370000184, 179348.1451999992 320241.41160000116, 179357.74049999937 320244.43090000004, 179375.62889999896 320254.3658999987, 179383.00780000165 320258.2522)"
geluids_beperkingen_wegvak.50,Geluidswal met daarop of -in een scherm,4.5 -> 4.5,6 -> 6,H,600142672,2021-11-01T00:00:00,0,39,060014267220211101,KLK0008225187,L,I,,"LINESTRING (179863.73200000077 320622.8103, 179832.46840000153 320599.49529999867)"
geluids_beperkingen_wegvak.51,Geluidswal met daarop of -in een scherm,1.5 -> 4.5,6 -> 6,H,600142672,2021-11-01T00:00:00,39,83,060014267220211101,KLK0008225186,L,I,,"LINESTRING (179832.46840000153 320599.49529999867, 179822.7490000017 320592.2470000014, 179798.3953000009 320571.681499999)"
geluids_beperkingen_wegvak.52,Geluidswal met daarop of -in een scherm,1.5 -> 1.5,5 -> 6,H,600142672,2021-11-01T00:00:00,83,164,060014267220211101,KLK0008225185,L,I,,"LINESTRING (179798.3953000009 320571.681499999, 179767.62799999863 320545.69999999925, 179734.9050000012 320522.0769999996)"
geluids_beperkingen_wegvak.53,Geluidswand,5.5 -> 5.5,1 -> 1,H,337299006,2021-09-01T00:00:00,0,67,033729900620210901,KLK0009651673,R,I,,"LINESTRING (168732.72720000148 449683.62000000104, 168746.05889999866 449680.99859999865, 168759.6526999995 449676.9770999998, 168772.73669999838 449672.8990000002, 168781.7426000014 449669.2173999995, 168796.12929999828 449663.27010000125)"
geluids_beperkingen_wegvak.54,Geluidswand,5.5 -> 5.5,1 -> 1,H,336299023,2021-09-01T00:00:00,296,456,033629902320210901,KLK0009651673,R,I,,"LINESTRING (168576.34200000018 449664.8836000003, 168604.7199999988 449676.0009999983, 168638.61100000143 449684.55900000036, 168679.52100000158 449687.6400000006, 168716.49399999902 449685.9279999994, 168732.72720000148 449683.62000000104)"
geluids_beperkingen_wegvak.55,Geluidswal,5.5 -> 5.5,1 -> 1,H,336299023,2021-09-01T00:00:00,67,296,033629902320210901,KLK0008008489,R,I,,"LINESTRING (168355.99269999936 449676.37029999867, 168402.90900000185 449662.30700000003, 168462.81899999827 449644.84699999914, 168486.78299999982 449641.08199999854, 168510.74700000137 449642.4510000013, 168554.90900000185 449656.48699999973, 168576.34200000018 449664.8836000003)"
geluids_beperkingen_wegvak.56,Geluidswal,10 -> 5.5,1 -> 1,H,336299023,2021-09-01T00:00:00,10,67,033629902320210901,KLK0008008488,R,I,,"LINESTRING (168301.39290000126 449692.7366999984, 168355.99269999936 449676.37029999867)"
geluids_beperkingen_wegvak.57,Niet doorzichtig geluidsscherm,3.5 -> 3.5,3 -> 3,H,168316069,2014-11-01T00:00:00,0,64,016831606920141101,KLK0008477013,L,I,,"LINESTRING (84122.72300000116 458383.9050000012, 84077.89200000092 458429.34600000083)"
geluids_beperkingen_wegvak.58,Niet doorzichtig geluidsscherm,10 -> 10,3 -> 3,H,402404009,2014-11-01T00:00:00,21,38,040240400920141101,KLK0008668959,R,I,,"LINESTRING (201263.67709999904 502312.98910000175, 201264 502323, 201264 502330)"
geluids_beperkingen_wegvak.59,Niet doorzichtig geluidsscherm,6.5 -> 9.5,3 -> 3,H,413155007,2014-11-01T00:00:00,0,29,041315500720141101,KLK0008146377,R,I,,"LINESTRING (206510.1000000015 377508.6799999997, 206523.5399999991 377524.09699999914, 206525.42799999937 377532.42599999905)"
geluids_beperkingen_wegvak.60,Geluidswand,10 -> 10,3 -> 3,H,208246062,2016-04-01T00:00:00,15,86,020824606220160401,KLK0008695463,R,I,,"LINESTRING (104328.87449999899 423457.71730000153, 104388.69000000134 423496.68200000003)"
geluids_beperkingen_wegvak.61,Geluidswand,10 -> 10,1 -> 3,H,208246062,2016-04-01T00:00:00,0,15,020824606220160401,KLK0007435801,R,I,,"LINESTRING (104316.30600000173 423449.5300000012, 104328.87449999899 423457.71730000153)"
geluids_beperkingen_wegvak.62,Geluidswand,10 -> 10,1 -> 3,H,208246099,2015-10-01T00:00:00,99,146,020824609920151001,KLK0007435801,R,I,,"LINESTRING (104277.34369999915 423423.5544000007, 104283.15900000185 423427.0859999992, 104300.94799999893 423438.8969999999, 104316.30600000173 423449.5300000012)"
geluids_beperkingen_wegvak.63,Geluidswand,6.5 -> 6.5,3 -> 3,H,600146237,2019-02-01T00:00:00,0,46,060014623720190201,KLK0008668976,L,I,,"LINESTRING (201066 502348, 201063 502302)"
geluids_beperkingen_wegvak.64,Geluidswal,7.5 -> 7.5,1 -> 1,H,600260611,2020-04-01T00:00:00,0,48,060026061120200401,KLK0006849003,R,I,,"LINESTRING (189631.99670000002 327003.3555999994, 189646.90239999816 326995.9710999988, 189663.3123999983 326990.3643999994, 189677.08350000158 326987.7129999995)"
geluids_beperkingen_wegvak.65,Niet doorzichtig geluidsscherm,6.5 -> 5.5,5 -> 5,H,600283850,2020-09-01T00:00:00,0,89,060028385020200901,KLK0008660138,R,I,,"LINESTRING (127934.77650000155 480842.4578999989, 127874.81740000099 480821.94509999827, 127850.85440000147 480812.3220000006)"
geluids_beperkingen_wegvak.66,Geluidswal met daarop of -in een scherm,7.5 -> 7.5,3 -> 3,H,600404013,2020-08-01T00:00:00,0,13,060040401320200801,KLK0009846033,L,I,,"LINESTRING (108552.81760000065 399020.74439999834, 108561.62099999934 399030.8269999996)"
geluids_beperkingen_wegvak.67,Doorzichtig geluidsscherm,2.5 -> 2.5,3 -> 3,H,169315148,2020-06-01T00:00:00,0,9,016931514820200601,KLK0008483808,L,I,,"LINESTRING (84510.81199999899 457945.19299999997, 84517.34499999881 457951.38329999894)"
geluids_beperkingen_wegvak.68,Doorzichtig geluidsscherm,5.5 -> 5.5,5 -> 5,H,600283896,2020-06-01T00:00:00,0,113,060028389620200601,KLK0008077341,R,I,,"LINESTRING (128389.46909999847 481144.15630000085, 128360.55370000005 481118.5482000001, 128326.5791000016 481089.6581000015, 128303.40949999914 481070.9525000006)"
geluids_beperkingen_wegvak.69,Niet doorzichtig geluidsscherm,5.5 -> 5.5,5 -> 5,H,600283896,2020-06-01T00:00:00,113,178,060028389620200601,KLK0007397115,R,I,,"LINESTRING (128303.40949999914 481070.9525000006, 128261.57569999993 481037.17859999835, 128252.42379999906 481030.23800000176)"
geluids_beperkingen_wegvak.70,Niet doorzichtig geluidsscherm,6.5 -> 6.5,5 -> 5,H,600283934,2020-06-01T00:00:00,168,171,060028393420200601,KLK0007226110,R,I,,"LINESTRING (128108.55460000038 480943.5117999986, 128106.29630000144 480942.2384000011)"
geluids_beperkingen_wegvak.71,Niet doorzichtig geluidsscherm,10 -> 6.5,5 -> 5,H,600283934,2020-06-01T00:00:00,50,168,060028393420200601,KLK0007226109,R,I,,"LINESTRING (128209.63839999959 481004.36510000005, 128170.43149999902 480980.6559999995, 128152.81019999832 480969.6228, 128127.41010000184 480954.1446999982, 128108.55460000038 480943.5117999986)"
geluids_beperkingen_wegvak.72,Niet doorzichtig geluidsscherm,6.5 -> 6.5,5 -> 5,H,600283934,2020-06-01T00:00:00,0,50,060028393420200601,KLK0007226108,R,I,,"LINESTRING (128252.42379999906 481030.23800000176, 128209.63839999959 481004.36510000005)"
geluids_beperkingen_wegvak.73,Niet doorzichtig geluidsscherm,6.5 -> 6.5,5 -> 5,H,600283957,2020-06-01T00:00:00,0,198,060028395720200601,KLK0007226110,R,I,,"LINESTRING (128106.29630000144 480942.2384000011, 128061.66279999912 480916.4343999997, 128021.76350000128 480892.3044000007, 127972.76260000095 480863.6235000007, 127934.77650000155 480842.4578999989)"
geluids_beperkingen_wegvak.74,Geluidswal,10 -> 10,3 -> 3,H,231494012,2021-05-01T00:00:00,0,5137,023149401220210501,KLK0008825223,M,I,,"LINESTRING (115819.60750000179 547229.429299999, 116153 547029, 116794 546640, 117298 546335, 117348 546305, 117729 546074, 118012 545901, 118458 545635, 118619 545537, 118917.65150000155 545354.4921000004, 118985.97179999948 545313.1387999989, 119115.5036999993 545234.2364000008, 119198.31839999929 545184.3623000011, 119263.93519999832 545144.5425000004, 119339.20930000022 545099.0340000018, 119411.70529999956 545055.0469999984, 119495.57840000093 545004.3792000003, 119575.68120000139 544955.8280000016, 119651.41829999909 544909.6581000015, 119733.15590000153 544860.6317999996, 119796.4274000004 544822.071800001, 119854.48640000075 544787.6187999994, 119900.95949999988 544758.3660000004, 119929.36360000074 544741.9781000018, 119955.68969999999 544725.9045999981, 119972.49080000073 544715.7842999995, 119987.83669999987 544706.259300001, 120008.07730000094 544693.8900000006, 120025.87060000002 544683.1743000001, 120041.3487999998 544673.9800999984, 120059.40659999847 544663.132100001, 120073.23110000044 544654.8638999984, 120085.53429999948 544647.1248000003, 120102.46759999916 544636.4752999991, 120117.8387000002 544625.8768999986, 120132.63019999862 544616.3007999994, 120144.13960000128 544607.9664000012, 120155.91360000148 544599.433600001, 120168.15060000122 544590.503800001, 120186.40689999983 544576.0179000013, 120207.16250000149 544559.0185999982)"
geluids_beperkingen_wegvak.75,Geluidswal,4.5 -> 4.5,1 -> 3,H,600114559,2021-04-01T00:00:00,110,274,060011455920210401,KLK0009846074,R,I,,"LINESTRING (104646.13109999895 397882.37139999866, 104646 397882, 104643.87280000001 397874.34209999815, 104642.309799999 397864.52259999886, 104640.2789000012 397855.2617000006, 104636.78579999879 397833.57189999893, 104634.10509999841 397816.75620000064, 104632.08929999918 397799.14389999956, 104629.94619999826 397784.6975999996, 104627.56500000134 397772.63259999827, 104624.70749999955 397758.6625000015, 104622.72309999913 397748.18499999866, 104617.00809999928 397729.6112000011, 104614.47370000184 397721.75890000165)"
