;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
anoniem_DEF_1101;1;;;;;;;;;;1
anoniem_DEF_1104;;1;;;;;;;;;1
anoniem_DEF_1106;;1;;;;;;;;;1
anoniem_DEF_1107;;1;;;;;;;;;1
anoniem_DEF_1108;2;;;;;;;;;;2
anoniem_DEF_1111;1;;;;;;;;;;1
anoniem_DEF_1115;1;;;;;;;;;;1
anoniem_DEF_1119;;;;;;;;;1;;1
anoniem_DEF_1123;1;;;;;;;;;;1
anoniem_DEF_1124;;1;;;;;;;;;1
anoniem_DEF_1127;;1;;;;;;;;;1
anoniem_DEF_1128;1;;;;;;;;;;1
anoniem_DEF_113;1;1;;;;;;;;;1
anoniem_DEF_1130;1;;;;;;;;;;1
anoniem_DEF_1131;2;;;;;;;;;;2
anoniem_DEF_1133;1;;;;;;;;;;1
anoniem_DEF_1136;1;;;;;;;;;;1
anoniem_DEF_1137;1;;;;;;;;;;1
anoniem_DEF_1139;1;;;;;;;;;;1
anoniem_DEF_1142;1;;;;;;;;;;1
anoniem_DEF_1143;1;;;;;;;;;;1
anoniem_DEF_1144;1;;;;;;;;;;1
anoniem_DEF_1150;1;;;;;;;;;;1
anoniem_DEF_1151;;1;;;;;;;;;1
anoniem_DEF_1157;1;;;;;;;;;;1
anoniem_DEF_1158;1;;;;;;;;;;1
anoniem_DEF_1159;1;;;;;;;;;;1
anoniem_DEF_116;1;;;;;;;;;;1
anoniem_DEF_1166;2;;;;;;;;;;2
anoniem_DEF_1167;1;;;;;;;;;;1
anoniem_DEF_1168;1;;;;;;;;;;1
anoniem_DEF_1169;;;;;;;;;1;;1
anoniem_DEF_1175;1;;;;;;;;;;1
anoniem_DEF_118;;1;;;;;;;;;1
anoniem_DEF_1181;1;;;;;;;;;;1
anoniem_DEF_1182;1;;;;;;;;;;1
anoniem_DEF_1186;;1;;;;;;;;;1
anoniem_DEF_1189;2;;;;;;;;;;2
anoniem_DEF_1191;1;;;;;;;;;;1
anoniem_DEF_1194;1;;;;;;;;;;1
anoniem_DEF_1196;1;;;;;;;;;;1
anoniem_DEF_1197;;1;;;;;;;;;1
anoniem_DEF_1201;;1;;;;;;;;;1
anoniem_DEF_1205;;;;;;;;1;;;1
anoniem_DEF_1206;2;;;;;;;;;;2
anoniem_DEF_1207;;;3;;;;;;1;;3
anoniem_DEF_1212;1;;;;;;;;;;1
anoniem_DEF_1215;;;;;;;;;;1;1
anoniem_DEF_1216;;;;;;;;1;;;1
anoniem_DEF_1219;;;;;;;1;;;;1
anoniem_DEF_122;;;;;;;;;1;;1
anoniem_DEF_1220;1;;;;;;;;;;1
anoniem_DEF_1221;;;;;;;;;2;;2
anoniem_DEF_1224;1;;;;;;;;;;1
anoniem_DEF_1225;;;;;;;;;1;;1
anoniem_DEF_1232;1;;;;;;;;;;1
anoniem_DEF_1235;1;;;;;;;;;;1
anoniem_DEF_1236;;1;;;;;;;;;1
anoniem_DEF_124;;1;;;;;;;;;1
anoniem_DEF_1241;;;;;;;;1;;;1
anoniem_DEF_1246;1;;;;;;;;;;1
anoniem_DEF_1248;;;;;;;;;1;;1
anoniem_DEF_1249;1;;;;;;;;;;1
anoniem_DEF_125;;1;;;;;;;;;1
anoniem_DEF_1250;1;;;;;;;;;;1
anoniem_DEF_1252;;1;;;;;;;;;1
anoniem_DEF_1253;1;;;;;;;;;;1
anoniem_DEF_1255;;1;;;;;;;;;1
anoniem_DEF_1257;2;;;;;;;;;;2
anoniem_DEF_1258;;1;;;;;;;;;1
anoniem_DEF_1259;;1;;;;;;;;;1
anoniem_DEF_126;1;;;;;;;;;;1
anoniem_DEF_1260;;;;;1;;;;;;1
anoniem_DEF_1262;;;;;;;;;1;;1
anoniem_DEF_1263;1;;;;;;;;;;1
anoniem_DEF_1269;;1;;;;;;;;;1
anoniem_DEF_127;1;;;;;;;;;;1
anoniem_DEF_1271;1;;;;;;;;;;1
anoniem_DEF_1273;;;;;;;;;1;;1
anoniem_DEF_1276;1;;;;;;;;;;1
anoniem_DEF_1278;1;;;;;;;;;;1
anoniem_DEF_1279;;1;;;;;;;;;1
anoniem_DEF_128;1;;;;;;;;;;1
anoniem_DEF_1281;;2;;;;;;;;;2
anoniem_DEF_1282;;1;;;;;;;;;1
anoniem_DEF_1283;;;;;;;;;1;;1
anoniem_DEF_1284;;1;;;;;;;;;1
anoniem_DEF_1285;;1;;;;;;;;;1
anoniem_DEF_1286;1;1;;;;;;;;;1
anoniem_DEF_1287;;1;;;;;;;;;1
anoniem_DEF_1288;1;2;;;;;;;;;2
anoniem_DEF_1289;1;;;;;;;;;;1
anoniem_DEF_129;1;;;;;;;;;;1
anoniem_DEF_1293;;1;;;;;;;;;1
anoniem_DEF_1294;;1;;;;;;;;;1
anoniem_DEF_1296;;1;;;;;;;;;1
anoniem_DEF_130;1;1;;;;;;;;;1
anoniem_DEF_1301;;2;;;;;;;;;2
anoniem_DEF_1302;1;;;;;;;;;;1
anoniem_DEF_1305;4;1;;;;;;;;;4
anoniem_DEF_1309;;1;;;;;;;;;1
anoniem_DEF_131;1;;;;;;;;;;1
anoniem_DEF_1316;1;;;;;;;;;;1
anoniem_DEF_1318;1;;;;;;;;;;1
anoniem_DEF_132;2;;;;;;;;;;2
anoniem_DEF_1325;;1;;;;;;;;;1
anoniem_DEF_1326;;;1;;;;;;;;1
anoniem_DEF_1328;;1;;;;;;;;;1
anoniem_DEF_1331;1;;;;;;;;;;1
anoniem_DEF_1336;;1;;;;;;;;;1
anoniem_DEF_1339;1;;;;;;;;4;;4
anoniem_DEF_134;1;;;;;;;;;;1
anoniem_DEF_1344;1;;;;;;;;;;1
anoniem_DEF_1349;1;;;;;;;;;;1
anoniem_DEF_135;;1;;;;;;;;;1
anoniem_DEF_1350;1;;;;;;;;1;;2
anoniem_DEF_1354;1;;;;;;;;;;1
anoniem_DEF_1357;1;;;;;;;;;;1
anoniem_DEF_137;1;1;;;;;;;;;1
anoniem_DEF_138;;1;;;;;;;;;1
anoniem_DEF_140;1;;;;;;;;;;1
anoniem_DEF_15;3;;;;;;;;;;3
anoniem_DEF_150;1;;;;;;;;;;1
anoniem_DEF_151;1;;;;;;;;;;1
anoniem_DEF_152;1;;;;;;;;;;1
anoniem_DEF_153;1;;;;;;;;1;;2
anoniem_DEF_155;1;;;;;;;;;;1
anoniem_DEF_156;1;;;;;;;;;;1
anoniem_DEF_161;1;;;;;;;;;;1
anoniem_DEF_163;;;;;;;;1;;;1
anoniem_DEF_166;1;;;;;;;;;;1
anoniem_DEF_168;1;;;;;;;;;;1
anoniem_DEF_17;;1;;;;;;;;;1
anoniem_DEF_170;1;;;;;;;;;;1
anoniem_DEF_171;1;;;;;;;;;;1
anoniem_DEF_172;;1;;;;;;;;;1
anoniem_DEF_174;1;;;;;;;;;;1
anoniem_DEF_175;1;;;;;;;;;;1
anoniem_DEF_176;1;;;;;;;;;;1
anoniem_DEF_179;1;1;;;;;;;;;1
anoniem_DEF_183;2;1;;;;;;;1;;2
anoniem_DEF_184;;1;;;;;;;;;1
anoniem_DEF_186;1;;;;;;;;;;1
anoniem_DEF_189;1;;;;;;;;;;1
anoniem_DEF_19;1;;;;;;;;;;1
anoniem_DEF_193;1;1;;;;;;;;;2
anoniem_DEF_195;1;;;;;;;;;;1
anoniem_DEF_196;;1;;;;;;;;;1
anoniem_DEF_199;1;;;;;;;;;;1
anoniem_DEF_2;;2;;;;;;;;;2
anoniem_DEF_20;1;;;;;;;;;;1
anoniem_DEF_200;1;;;;;;;;;;1
anoniem_DEF_201;1;;;;;;;;;;1
anoniem_DEF_202;;;;;;;;;1;;1
anoniem_DEF_204;1;;;;;;;;;;1
anoniem_DEF_205;1;;;;;;;;;;1
anoniem_DEF_206;;1;;;;;;;;;1
anoniem_DEF_207;1;;;;;;;;;;1
anoniem_DEF_208;1;;;;;;;;;;1
anoniem_DEF_21;1;;;;;;;;;;1
anoniem_DEF_211;1;;;;;;;;;;1
anoniem_DEF_219;1;;;;;;;;;;1
anoniem_DEF_221;1;;;;;;;;;;1
anoniem_DEF_224;1;;;;;;;;;;1
anoniem_DEF_226;1;;;;;;;;;;1
anoniem_DEF_23;2;;;;;;;;1;;2
anoniem_DEF_232;1;;;;;;;;;;1
anoniem_DEF_236;1;;;;;;;;;;1
anoniem_DEF_239;1;;;;;;;;;;1
anoniem_DEF_24;1;;;;;;;;;;1
anoniem_DEF_240;1;;;;;;;;;;1
anoniem_DEF_241;2;;;;;;;;;;2
anoniem_DEF_242;1;;;;;;;;;;1
anoniem_DEF_247;1;;;;;;;;;;1
anoniem_DEF_248;2;;;;;;;;;;2
anoniem_DEF_249;1;;;;;;;;;;1
anoniem_DEF_253;1;;;;;;;;;;1
anoniem_DEF_256;1;;;;;;;;;;1
anoniem_DEF_257;1;;;;;;;;;;1
anoniem_DEF_259;1;;;;;;;;;;1
anoniem_DEF_265;;1;;;;;;;;;1
anoniem_DEF_266;;1;;;;;;;;;1
anoniem_DEF_273;1;;;;;;;;;;1
anoniem_DEF_274;;;;;;;;1;;;1
anoniem_DEF_275;;;;;;;;;1;;1
anoniem_DEF_278;;;;;;;;1;;;1
anoniem_DEF_281;;1;;;;;;;;;1
anoniem_DEF_282;1;;;;;;;;;;1
anoniem_DEF_283;1;;;;;;;;;;1
anoniem_DEF_286;1;;;;;;;;6;;6
anoniem_DEF_287;1;;;;;;;;;;1
anoniem_DEF_289;2;;;;;;;;;;2
anoniem_DEF_29;1;;;;;;;;;;1
anoniem_DEF_294;1;;;;;;;;;;1
anoniem_DEF_299;1;;;;;;;;;;1
anoniem_DEF_30;;;1;;;;;;;;1
anoniem_DEF_301;1;;;;;;;;;;1
anoniem_DEF_303;1;;;;;;;;;;1
anoniem_DEF_304;1;;;;;;;;;;1
anoniem_DEF_305;1;;;;;;;;;;1
anoniem_DEF_306;1;;;;;;;;;;1
anoniem_DEF_308;1;;;;;;;;;;1
anoniem_DEF_311;;;;;;;;1;;;1
anoniem_DEF_312;1;;;;;;;;;;1
anoniem_DEF_314;;;;;;;;;1;;1
anoniem_DEF_315;1;;;;;;;;;;1
anoniem_DEF_316;1;;;;;;;;1;;1
anoniem_DEF_319;1;;;;;;;;;;1
anoniem_DEF_32;2;;;;;;;;;;2
anoniem_DEF_320;1;;;;;;;;1;;1
anoniem_DEF_321;1;;;;;;;;;;1
anoniem_DEF_322;;;;;;;;;1;;1
anoniem_DEF_323;1;;;;;;;;4;;4
anoniem_DEF_324;1;;;;;;;;;;1
anoniem_DEF_325;;;;;;;;;1;;1
anoniem_DEF_326;1;;;;;;;;;;1
anoniem_DEF_327;1;;;;;;;;;;1
anoniem_DEF_330;1;1;;;;;;;;;1
anoniem_DEF_331;;;;;1;;;1;;;1
anoniem_DEF_335;;;;;;;;;1;;1
anoniem_DEF_340;;;;;;;;3;;;3
anoniem_DEF_343;1;;;;;;;;1;;1
anoniem_DEF_346;1;;;;;;;;;;1
anoniem_DEF_348;;1;;;;;;;;;1
anoniem_DEF_350;1;;;;;;;;;;1
anoniem_DEF_353;1;;;;;;;;;;1
anoniem_DEF_358;;;1;;;;;;;;1
anoniem_DEF_362;;;;;;;;;1;;1
anoniem_DEF_363;1;;;;;;;;;;1
anoniem_DEF_369;1;;;;;;;;;;1
anoniem_DEF_374;1;;;;;;;;;;1
anoniem_DEF_382;1;;;;;;;;;;1
anoniem_DEF_383;2;;;;;;;;;;2
anoniem_DEF_384;;1;;;;;;;;;1
anoniem_DEF_386;1;;;;;;;;;;1
anoniem_DEF_391;1;;;;;;;;;;1
anoniem_DEF_394;1;;;;;;;;;;1
anoniem_DEF_395;1;;;;;;;;;;1
anoniem_DEF_398;1;;;;;;;;;;1
anoniem_DEF_401;1;;;;;;;;;;1
anoniem_DEF_402;;;;;;;;;1;;1
anoniem_DEF_404;1;;;;;;;;;;1
anoniem_DEF_407;;1;;;;;;;;;1
anoniem_DEF_411;1;;;;;;;;;;1
anoniem_DEF_414;2;;;;;;;;;;2
anoniem_DEF_415;;;;;;;;2;;;2
anoniem_DEF_423;2;;;;;;;;;;2
anoniem_DEF_424;2;;;;;;;;;;2
anoniem_DEF_426;1;;;;;;;;;;1
anoniem_DEF_427;1;;;;;;;;;;1
anoniem_DEF_428;1;;;;;;;;;;1
anoniem_DEF_430;;;1;;;;;;;;1
anoniem_DEF_433;;;;;;;;1;;;1
anoniem_DEF_436;1;;;;;;;;;;1
anoniem_DEF_44;;1;;;;;;;;;1
anoniem_DEF_442;;;;;;;;;1;;1
anoniem_DEF_443;1;;;;;;;;;;1
anoniem_DEF_444;1;;;;;;;;;;1
anoniem_DEF_447;;;;;;;;;1;;1
anoniem_DEF_448;;;;;;;;7;;;7
anoniem_DEF_452;1;;;;;;;;;;1
anoniem_DEF_453;1;;;;;;;;;;1
anoniem_DEF_456;1;;;;;;;;;;1
anoniem_DEF_457;1;;;;;;;;;;1
anoniem_DEF_463;1;;;;;;;;;;1
anoniem_DEF_467;1;;;;;;;;;;1
anoniem_DEF_469;1;;;;;;;;;;1
anoniem_DEF_470;;;1;;;;;;;;1
anoniem_DEF_474;2;;;;;;;;;;2
anoniem_DEF_476;1;;;;;;;;;;1
anoniem_DEF_478;1;;;;;;;;;;1
anoniem_DEF_479;1;;;;;;;;;;1
anoniem_DEF_480;1;;;;;;;;;;1
anoniem_DEF_482;1;;;;;;;;;;1
anoniem_DEF_485;2;2;1;;;;;;2;;3
anoniem_DEF_487;1;;;;;;;;;;1
anoniem_DEF_489;;;;;;;;;1;;1
anoniem_DEF_491;1;;;;;;;;;;1
anoniem_DEF_496;1;;;;;;;;;;1
anoniem_DEF_497;1;;;;;;;;;;1
anoniem_DEF_504;1;;;;;;;;;;1
anoniem_DEF_505;1;;;;;;;;;;1
anoniem_DEF_507;1;;;;;;;;;;1
anoniem_DEF_508;;1;;;;;;;;;1
anoniem_DEF_509;2;;;;;;;;;;2
anoniem_DEF_510;1;;;;;;;;;;1
anoniem_DEF_511;1;;;;;;;;;;1
anoniem_DEF_515;1;;;;;;;;;;1
anoniem_DEF_516;1;;;;;;;;;;1
anoniem_DEF_517;1;;;;;;;;;;1
anoniem_DEF_518;1;;;;;;;;;;1
anoniem_DEF_52;;;;;;;;;1;;1
anoniem_DEF_520;1;;;;;;;;;;1
anoniem_DEF_523;1;;;;;;;;;;1
anoniem_DEF_527;;;1;;;;;;;;1
anoniem_DEF_529;1;;;;;;;;;;1
anoniem_DEF_53;;1;;;;;;;;;1
anoniem_DEF_530;1;;;;;;;;;;1
anoniem_DEF_532;1;;;;;;;;;;1
anoniem_DEF_534;1;;;;;;;;;;1
anoniem_DEF_535;;;2;;;;;;;;2
anoniem_DEF_538;1;;;;;;;;;;1
anoniem_DEF_542;1;;;;;;;;;;1
anoniem_DEF_543;1;;;;;;;;;;1
anoniem_DEF_549;1;;;;;;;;;;1
anoniem_DEF_55;1;;;;;;;;;;1
anoniem_DEF_551;1;;;;;;;;1;;1
anoniem_DEF_553;1;;;;;;;;;;1
anoniem_DEF_557;1;;;;;;;;;;1
anoniem_DEF_559;1;;;;;;;;;;1
anoniem_DEF_56;;;;;;;;;1;;1
anoniem_DEF_561;1;;;;;;;;;;1
anoniem_DEF_564;1;;;;;;;;;;1
anoniem_DEF_565;;;;;;;;;1;;1
anoniem_DEF_569;;1;;;;;;;;;1
anoniem_DEF_57;1;;;;;;;;;;1
anoniem_DEF_576;1;;;;;;;;;;1
anoniem_DEF_58;1;;;;;;;;;;1
anoniem_DEF_580;;;;;;;;;1;;1
anoniem_DEF_584;1;;;;;;;;;;1
anoniem_DEF_585;;1;;;;;;;;;1
anoniem_DEF_587;1;;;;;;;;;;1
anoniem_DEF_593;1;;;;;;;;;;1
anoniem_DEF_594;;;1;;;;;;;;1
anoniem_DEF_595;1;;;;;;;;;;1
anoniem_DEF_596;1;;;;;;;;;;1
anoniem_DEF_599;1;2;;;;;;;;;2
anoniem_DEF_6;1;;;;;;;;;;1
anoniem_DEF_601;1;;;;;;;;;;1
anoniem_DEF_602;1;;;;;;;1;1;;1
anoniem_DEF_605;1;;;;;;;;;;1
anoniem_DEF_607;2;1;;;;;;;;;2
anoniem_DEF_609;1;;;;;;;;;;1
anoniem_DEF_610;2;;;;;;;;;;2
anoniem_DEF_614;1;;;;;;;;;;1
anoniem_DEF_615;1;;;;;;;;;;1
anoniem_DEF_618;1;;;;;;;;;;1
anoniem_DEF_619;;1;;;;;;;;;1
anoniem_DEF_62;1;;;;;;;;;;1
anoniem_DEF_623;;1;;;;;;;;;1
anoniem_DEF_627;1;;;;;;;;;;1
anoniem_DEF_629;1;;;;;;;;;;1
anoniem_DEF_632;1;;;;;;;;;;1
anoniem_DEF_635;1;;;;;;;;;;1
anoniem_DEF_637;3;;;;;;;;;;3
anoniem_DEF_640;;1;;;;;;;;;1
anoniem_DEF_643;2;;;;;;;;;;2
anoniem_DEF_651;1;;;;;;;;;;1
anoniem_DEF_652;;;;;;;;1;;;1
anoniem_DEF_654;1;;;;;;;;;;1
anoniem_DEF_655;;1;;;;;;;;;1
anoniem_DEF_659;1;;;;;;;;;;1
anoniem_DEF_663;1;;;;;;;;;;1
anoniem_DEF_665;1;;;;;;;;;;1
anoniem_DEF_67;;;;;;;;;1;;1
anoniem_DEF_671;1;;;;;;;;;;1
anoniem_DEF_677;2;1;;;;;;;;;2
anoniem_DEF_679;;1;;;;;;;;;1
anoniem_DEF_680;;1;;;;;;;;;1
anoniem_DEF_684;1;;;;;;;;;;1
anoniem_DEF_685;2;;;;;;;;;;2
anoniem_DEF_69;1;;;;;;;;;;1
anoniem_DEF_693;1;;;;;;;;;;1
anoniem_DEF_694;;;;;;;;;1;;1
anoniem_DEF_695;1;;;;;;;;;;1
anoniem_DEF_696;1;;;;;;;;;;1
anoniem_DEF_697;;1;;;;;;;;;1
anoniem_DEF_70;1;;;;;;;;;;1
anoniem_DEF_705;1;;;;;;;;1;;1
anoniem_DEF_710;1;;;;;;;;;;1
anoniem_DEF_716;;;;;;;;;1;;1
anoniem_DEF_718;1;;;;;;;;;;1
anoniem_DEF_719;;;;1;;;;;;;1
anoniem_DEF_72;;;;;;;;;1;;1
anoniem_DEF_720;1;;;;;;;;;;1
anoniem_DEF_721;1;;;;;;;;;;1
anoniem_DEF_723;1;;;;;;;;;;1
anoniem_DEF_724;1;;;;;;;;;;1
anoniem_DEF_726;;;;;;;;;1;;1
anoniem_DEF_729;1;;;;;;;;;;1
anoniem_DEF_73;;1;;;;;;;;;1
anoniem_DEF_730;;1;;;;;;;;;1
anoniem_DEF_735;1;;;;;;;;;;1
anoniem_DEF_739;;1;;;;;;;;;1
anoniem_DEF_740;1;;;;;;;;;;1
anoniem_DEF_744;;;;;;;;;1;;1
anoniem_DEF_746;1;;;;;;;;;;1
anoniem_DEF_747;1;;;;;;;;;;1
anoniem_DEF_749;;;;;;;;;1;;1
anoniem_DEF_751;;1;;;;;;;;;1
anoniem_DEF_756;1;;;;;;;;;;1
anoniem_DEF_763;2;;;;;;;;;;2
anoniem_DEF_764;;1;;;;;;;;;1
anoniem_DEF_767;1;;;;;;;;;;1
anoniem_DEF_768;1;;;;;;;;;;1
anoniem_DEF_770;2;;;;;;;;;;2
anoniem_DEF_773;1;;;;;;;;;;1
anoniem_DEF_776;1;;;;;;;;;;1
anoniem_DEF_779;1;;;;;;;;;;1
anoniem_DEF_781;1;;;;;;;;;;1
anoniem_DEF_787;1;;;;;;;;;;1
anoniem_DEF_789;2;;;;;;;;;;2
anoniem_DEF_791;1;;;;;;;;;;1
anoniem_DEF_792;1;;;;;;;;;;1
anoniem_DEF_793;1;;;;;;;;;;1
