Rijlabels;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal
anoniem 1426;;1;;;;;;;1
anoniem 1569;;;;;;;1;;1
anoniem 1573;;;;;;;1;;1
anoniem 161;;;;;;;1;;1
anoniem 1617;;;;;;;1;;1
anoniem 1631;;;;;;1;;;1
anoniem 1641;;;;;;;3;;3
anoniem 1654;;;;;;;3;;3
anoniem 1662;;;2;;;;;;2
anoniem 1667;;;;;;1;;;1
anoniem 1763;;;;;;;1;;1
anoniem 1771;;;;;;;1;;1
anoniem 1808;;2;;;;;;;2
anoniem 1826;;2;;;;;;;2
anoniem 1872;;;;;;;1;;1
anoniem 1895;;;;;;;1;;1
anoniem 1911;;;;;;;1;;1
anoniem 1972;;;;;;1;;;1
anoniem 2130;;2;;;;;;;2
anoniem 2152;;2;;;;;;;2
anoniem 2214;;;;;;;1;;1
anoniem 2254;;;;;;2;;;2
anoniem 2278;;;;;;4;;;4
anoniem 2289;;2;;;;;;;2
anoniem 2294;;1;;;;;;;1
anoniem 2306;;2;;;;;;;2
anoniem 2400;;2;;;;;;;2
anoniem 2487;;;;;;;1;;1
anoniem 2545;;;;;;6;;;6
anoniem 2566;;;;;;1;;;1
anoniem 258;;2;1;;;2;;;2
anoniem 2600;;;;;;;2;;2
anoniem 2612;;;;;;1;;;1
anoniem 2613;;;;;;;1;;1
anoniem 2614;;;;;;5;;;5
anoniem 2666;2;;;;;;;;2
anoniem 2674;;;;;;;1;;1
anoniem 2675;;;;;;;2;;2
anoniem 2799;;;;;;;4;;4
anoniem 280;;1;;;;;;;1
anoniem 281;;;;;;;2;;2
anoniem 34;;;;;;3;;;3
anoniem 346;;;;;;;1;;1
anoniem 360;;;;;;;3;;3
anoniem 366;;;;;;;1;;1
anoniem 367;;;;;;;1;;1
anoniem 395;;;;;;;1;;1
anoniem 416;;;;;;5;;;5
anoniem 433;;1;;;;;;;1
anoniem 434;;;;;;;1;;1
anoniem 443;;;;;;;1;;1
anoniem 508;;;;;6;;;;6
anoniem 545;;;;;;;;5;5
anoniem 585;;1;;;;;;;1
anoniem 593;;;;;;4;;;4
anoniem 612;;;;;;;1;;1
anoniem 629;;;;;;;1;;1
anoniem 634;;;;;;;2;;2
anoniem 635;;2;;;;;3;;4
anoniem 636;;;;;1;;;;1
anoniem 637;;;;;;;7;;7
anoniem 639;;;;;;;2;;2
anoniem 640;;;;;;;;2;2
anoniem 641;;2;;;;;;;2
anoniem 642;;2;;;;;;;2
anoniem 643;;;;;;;1;;1
anoniem 644;;;3;;;;;;3
anoniem 645;;;;;;;1;;1
anoniem 646;;;;2;;;;;2
anoniem 647;;;;;;;1;;1
anoniem 648;;;;;;2;;;2
anoniem 649;;;;;;;1;;1
anoniem 650;;;;1;;;;;1
anoniem 653;;;;;;2;;;2
anoniem 654;;;;;;;2;;2
anoniem 655;;;;;;;3;;3
anoniem 656;;;;;;2;;;2
anoniem 657;;;;;;;3;;3
anoniem 658;;;;;;2;;;2
anoniem 660;;;;1;;;;;1
anoniem 661;;;;;;;1;;1
anoniem 662;;;;;;;2;;2
anoniem 663;;;;;;;1;;1
anoniem 664;;;;;;;1;;1
anoniem 665;;;;;;;1;;1
anoniem 666;;3;;;;;;;3
anoniem 667;;;;;;;;7;7
anoniem 668;;7;8;4;;7;;;9
anoniem 669;;;;2;;;;;2
anoniem 688;;;;;;;1;;1
anoniem 727;;;;;;;;2;2
anoniem 732;;;;;;4;;;4
anoniem 791;;;;;;;;2;2
anoniem 841;;;;;;;2;;2
anoniem 872;;;;;;;;4;4
anoniem 873;;1;;;;;;;1
anoniem 878;;2;;;;;;;2
anoniem 901;;;;;2;;;7;7
anoniem 92;;7;;2;7;7;2;2;9
anoniem 933;;1;;;;;;;1
Aquemini B.V.;;;;;;;;6;6
Arbor Media B.V.;;;;;;;2;;2
Archie Europe B.V.;;;;;2;;;;2
Atos Nederland B.V.;;4;;;7;5;;7;7
Axians;;6;;;3;;;2;6
B.V. Algemeen Nederlands Persbureau ANP;;1;;;;;;;1
B.V. Ru'58;;1;;;;;;;1
Baghouse;;;1;;;;;;1
Bax-shop.nl B.V.;;;;;;1;;;1
Beat It B.V.;;5;3;2;;4;2;;6
Bechtle direct B.V.;;7;2;;;5;;;7
BeeDirect B.V.;;3;;;;1;;;3
Begra Magazijninrichting;;1;;;;;;;1
Belstore.Com B.V.;;2;;;;5;8;;8
Bemet International B.V.;;;;;;1;;;1
Ben Box Metaal B.V.;;2;;;;1;;;2
BenN B.V.;;;;;;;;1;1
Berdex Carross.- en Handelsonderneming B.V.;;;;;;;2;;2
Between B.V.;;;;;;;;4;4
Black Box International B.V.;;3;1;;;;;;3
Blue Bricks B.V.;;;;;;;;4;4
BlueTrail B.V.;;;;;;;;4;4
BLW-Luchttechniek;;1;;;;;;;1
BouwXP;;1;;;;;;;1
bQuind B.V.;;;;;;;;2;2
BSI Group The Netherlands B.V.;;;;;;3;;;3
BT NEDERLAND N.V.;;;;;;;3;;3
BT Professional Services Nederland B.V.;;;;;;;;3;3
Btsoftware B.V.;;;;;1;;;;1
Bumicom Telecommunicatie B.V.;;;;;;1;;;1
Bunzl Verpakkingen Arnhem B.V.;;1;;;;;;;1
Bysky B.V.;;1;;;;;;;1
CACI B.V.;;;;3;;;;;3
Cadac Group MFG B.V.;;;;2;;1;;;2
Caiway;;1;;;;;;;1
CameraNU.nl;;1;;;;;;;1
Canon Nederland N.V.;;;;;;;2;;2
Capgemini Educational Services B.V.;;;;;;;;3;3
Capgemini Nederland B.V.;;4;;;5;6;;8;8
Car Cool Center;;1;;;;;;;1
CareFusion Netherlands 238 B.V.;;;;;1;;;;1
Caseware Idea B.V.;;;;;2;;;;2
CBABenelux;;;;;1;;;;1
Centennium B.V.;;;;;;;;4;4
Centix B.V.;;;;;;1;;;1
Central Point Nederland B.V.;;4;1;;;;1;;4
Centralpoint Amstelveen B.V.;;1;;;1;;1;;1
Centralpoint Nijmegen B.V.;;9;6;;;7;5;;9
Centric Netherlands B.V.;;;;;;;;7;7
CGI Nederland B.V.;;;;;6;;4;7;7
Challenge Coins;;;;;;;1;;1
Color Wood Photo B.V.;;1;;;;;;;1
Com1 B.V.;;;;;;;3;;3
Company Fits B.V.;;;1;;;;;;1
COMPAREX Nederland B.V.;;1;;7;7;7;4;1;8
Compumatica Secure Networks B.V.;;3;;2;4;4;;;5
Computer Business Applications B.V.;;;;;;1;;;1
ConQuaestor Interim Professionals B.V.;;;;;;;;3;3
Conrad Electronic Benelux B.V.;;2;;;;;1;;2
Consilium Benelux Data Capture Solutions B.V.;;;;;;2;;;2
Consolit B.V.;;;;;2;1;;;2
Conspect ICT;;;;;;;;5;5
Coolblue B.V.;;1;1;;;1;2;;2
Cosanta B.V.;;;;;;2;;;2
CSN Card Service Nederland B.V.;;2;;;;;;;2
CTM Solution B.V.;;;;;;3;;;3
Curvature LLC;;1;2;;;;;;2
Cutting Service Benelux B.V.;;;;1;;1;;;1
CycloMedia Technology B.V.;;;;;;2;;;2
CygnusZ B.V.;;;;;;;;2;2
DatAction;;7;;;1;1;;;7
Dataflex Benelux B.V.;;2;;;;;;;2
DE REE archiefsystemen;;;;2;2;;;;2
De Sleutelspecialist Van den Acker;;1;;;;;;;1
De Staffing Groep Nederland B.V.;;;;;;;;6;6
Deal It;;5;2;;;5;;;6
Deloitte Consulting B.V.;;3;;3;;;4;;5
Delta International Uniformuitrustingen B.V.;;;;;;;1;;1
DeltaISIS B.V.;;;;;;;;4;4
Dematic;;;;;;1;;;1
Digitale Checklisten;;;;;;;1;;1
Document House Beuningen;;;;;;;1;;1
DoNOD Internet Security B.V.;;;;;2;;;;2
DPA IT B.V.;;;;;;;;3;3
DRAGT;;;;;;;1;;1
Dymospecialist;;;;;;;1;;1
E.Novation B.V.;;;;;1;;;;1
easyITSM Europe B.V.;;;;3;;;;;3
EFFSEC Effective Security;;;;;;;;4;4
Eijsink Afrekensystemen B.V.;;;;;5;;;;5
Elasticsearch Global B.V.;;2;;;2;;;;2
Elektor International Media B.V.;;;;;;;1;;1
Elsto-Boekholt-Dynatec B.V.;;1;;;;;;;1
Emka Nederland B.V.;;1;;;;;;;1
Enginia B.V.;;;;;;3;;;3
Esri Nederland;;;;1;3;7;;1;7
Ettu Configuration B.V.;;2;;;;;;;2
Euport B.V.;;1;;;;;;;1
European Portwell Technology B.V.;;;3;;;;;;3
Eurotempest B.V.;;4;;;;2;;;5
Every Angle Software Solutions B.V.;;;;;;;;2;2
Exact Software Nederland B.V.;;;;;2;;;;2
Experis Ciber;;;;;;;;5;5
Exploitatie Maatschappij Komfort B.V.;;;;;;;5;;5
F&L Media B.V.;;;;;;;1;;1
Fabory Nederland;;1;;;;;;;1
Farnell (Netherlands) B.V.;;1;;;;;1;;1
FixedToday B.V.;;;;;;;;6;6
Fofic;;1;;;;;;;1
Fortes Solutions B.V.;;;;;4;;;2;4
Foto Konijnenberg B.V.;;1;;;;;;;1
Frame Engineering B.V.;;;;;;1;2;;2
Gartner Nederland B.V.;;;;3;;5;4;;6
GEOS IT Professionals B.V.;;;;;;;;4;4
Gilde Main B.V.;;;;;1;;;;1
Global Knowledge Network Netherlands B.V.;;;;;;;;1;1
Gordian Logistic Experts B.V.;;;;;;2;;;2
Govers Den Helder;;;;;;;1;;1
Gravure '85;;;;;;;1;;1
Hamshop;;1;;;;;;;1
Hartman Direct B.V.;;1;;;;;;;1
HCS Company B.V.;;;;;;;;4;4
Health2Work B.V.;;;;;;;1;;1
Hescon;;2;;;;;;;2
Hewlett-Packard Nederland B.V.;;6;;;3;1;2;;6
HippoLine B.V.;;;;;1;;;;1
Hollandse Hoogte B.V.;;1;;;;;;;1
HTF Electronics;;1;;;;;;;1
Hulkenberg B.V.;;1;;;;;;;1
Huto Machines B.V.;;1;;;;;;;1
iBabs B.V.;;;;1;;;;;1
ICQ Groep B.V.;;;;;;;;7;7
Icris B.V.;;;;;;;;3;3
IDEMIA The Netherlands B.V.;;4;;;;;;;4
Impulse Info Systems;;;;;1;;;;1
In2Content B.V.;;1;;;;;;;1
Incontrol Management Consultants B.V.;;;;;1;;;;1
Index Hospitality Systems B.V.;;;;;2;;;;2
Infinite Simulation Systems B.V.;;;;2;;;;;2
Infinity Consultancy B.V.;;;;;;;1;;1
Informatique Computers & Componenten;;;;;;;1;;1
Infotheek Projektpartners;;3;;;;1;;;3
Infraconcepts Netherlands B.V.;;1;;;;;;;1
ING Bank N.V.;;;;;;;2;;2
Inmarsat Solutions B.V.;;;;;;;1;;1
Insight Enterprises Netherlands B.V.;;;;;;10;;;10
Integrc Netherlands B.V.;;;;;;;;5;5
INTER;;3;;;;2;;;4
InterConnect Services B.V.;;;;;;;2;;2
International Numbering Plans B.V.;;;;;;;1;;1
Internedservices;;;;;;;1;;1
Intronics;;7;5;1;;4;6;;7
Inventic;;1;;;;;;;1
Itannex B.V.;;;;;;2;;;2
Jenrick Nederland B.V.;;;;;;;;8;8
Jungheinrich Nederland B.V.;;;1;;;;;;1
KantoorExpert Groep;;;;;;;1;;1
Keyprocessor B.V.;;;;;;1;;;1
Keysight Technologies Netherlands B.V.;;;;;4;;;;4
Kirkman Company B.V.;;;;;;;;2;2
Knapzak Benelux B.V.;;1;;;;;;;1
Kobatt Benelux B.V.;;;;;;;1;;1
Koffer- en Lederwarenfabriek Lejan B.V.;;;;;;;1;;1
Koning & Hartman B.V.;;;;;;1;;;1
Koninklijke Scheepsagentuur Dirkzwager B.V.;;;;;4;;;;4
KPN B.V.;;7;5;5;2;7;9;;9
KPN Consulting B.V.;;5;7;2;2;5;9;;9
KPN Corporate Market;;;;;;;1;;1
Kruizinga B.V.;;1;;;;;;;1
Le Blanc Adviesgroep;;;;;;;;4;4
Leica Microsystems B.V.;;;;;1;;;;1
Log*in Consultants Nederland B.V.;;;;;;;;2;2
Logistiekconcurrent;;1;;;;;;;1
Maastricht Aachen Airport B.V.;;;;;;;1;;1
Mag. 45 B.V.;;2;;;;;1;;2
Manutan B.V.;;2;;;;;1;;2
Marsman;;1;;;;;;;1
Master Nederland B.V.;;1;;;;;;;1
Mastermate Brinkman B.V.;;1;;;;;;;1
Matchd;;;;;;;;5;5
Matching Pool B.V.;;;;;;;;4;4
MB Ulvenhout B.V.;;1;;;;;;;1
Micro-Mail Zeewolde B.V.;;1;;;;1;1;;2
Minkels B.V.;;;;;;1;;;1
Mitutoyo Nederland B.V.;;;;;;1;;;1
MK2 Audiovisueel B.V.;;3;;;;1;;;3
Motiv It Masters B.V.;;2;;;;5;;;5
N.O.D. Netwerk Onderzoek Diensten V.O.F.;;1;;;;;;;1
N4ALL B.V.;;;;;;2;;;2
National Instruments Netherlands B.V.;;;;;;2;;;2
Nederlands Centrum voor Informatie Management;;;;;;;;7;7
Network Republic Europe B.V.;;;3;;;1;;;3
Newton Technisch Bureau B.V.;;1;;;;;;;1
Nilfisk B.V.;;1;;;;;;;1
NiVo Engineering B.V.;;;;;;;;6;6
NMS National Multiple Services B.V.;;;;;;;1;;1
Norisk Keymanagement B.V.;;;;;;1;;;1
Northwave B.V.;;;;;;5;;4;6
Nuvole B.V.;;;;;;;;4;4
OCLC B.V.;;;;;;4;1;;4
Odin Software Ontwikkeling;;;;;;1;;;1
Office Team Hoekschewaard;;1;;;;;;;1
ONS Fiber Parts & Tools B.V.;;;;;;1;;;1
Onsight Solutions B.V.;;4;;6;6;7;1;2;7
Open Text Coöperatief UA;;;;;3;3;;;4
OPEN.satisfaction B.V.;;;;;;;;4;4
OpenRemote B.V.;;;;;;2;;;2
Oracle Nederland;;;;;1;;;;1
Orcavoice B.V.;;;;;;1;1;;1
Orlaco Products B.V.;;1;;;;;;;1
Ormer ICT Staffing B.V.;;;;;;;;4;4
Oud Verhuur B.V.;;;;;;;1;;1
Ovsoftware B.V.;;;;;;;;3;3
Owello;;;;1;;1;;;2
Paralax B.V.;;1;;2;3;;;;3
Parasoft Netherlands B.V.;;;;1;;;;;1
People & Print Group;;1;;;;;;;1
PINE ICT B.V.;;1;1;;;1;4;;4
Planon B.V.;;;;2;4;;;;5
Plat4mation B.V.;;;;;2;;;;2
PM Komponenten B.V.;;;;;;1;;;1
Portbase B.V.;;;;1;;;;;1
Presentation Partner B.V.;;;;;;1;;;1
Primaned B.V.;;;;;3;;;1;3
PrintTec B.V.;;1;;;;;;;1
Procyon Networks B.V.;;;;;;;1;;1
Prodicom B.V.;;;;;;;;6;6
Professional Development Systems B.V.;;;;;;3;;;3
Profitap HQ B.V.;;1;;;;;;;1
Protinus IT B.V.;;6;4;6;7;2;;;7
Q-Lite B.V.;;1;;;;;;;1
Q-Park Nederland;;1;;;;;;;1
Qualogy Applications B.V.;;;;;;;;3;3
Quint Wellington Redwood Nederland B.V.;;;;;;;;5;5
Ram Mobile Data (Netherlands) B.V.;;;;;;1;;;1
Randstad Uitzendbureau B.V.;;;;;;;;5;5
Rebo B.V.;;1;;;;;;;1
Rederij P. Kooy B.V.;;;;;;;1;;1
Red-Men B.V.;;;;;;;;4;4
RemcoWebsites;;;1;;;;;;1
Respond B.V.;;;;;2;;;;2
Rexel Nederland B.V.;;1;;;;;;;1
RGL Consultancy & Training;;;;;;;;4;4
Rocket Software B.V.;;;;;2;;;;2
Romex B.V.;;1;;;;1;1;;1
RS Components B.V.;;1;;;;;1;;1
Sabern B.V.;;;;2;;;;;2
Safety Support B.V.;;1;;;;;;;1
Sakko Commercial B.V.;;1;;;;;;;1
SAM International B.V.;;1;;;;;1;;1
Schiphol Nederland B.V.;;;;;1;2;;;2
Schoonenberg Hoorsupport;;1;;;;;;;1
Secure Cyber Communications B.V.;;;;1;;;;;1
SecureLink Nederland B.V.;;;;;1;;;;1
Siemens Nederland N.V.;;2;;;;;;;2
Simac Electronics B.V.;;3;;;;2;1;;3
Siteimprove B.V.;;;;2;;;;;2
Slimstock B.V.;;;;;3;;;;3
SLTN IT Services B.V.;;;;;;;;5;5
SMS Implementation Engineers B.V.;;;;;;3;;;3
Socia B.V.;;2;2;;;3;;;4
Softline Solutions Netherlands B.V.;;;;;1;;;;1
Software AG Nederland B.V.;;;;6;;;;;6
SoftwareONE B.V.;;;;5;8;5;1;;8
Sogeti Nederland B.V.;;;;;;;;5;5
Spandex Benelux B.V.;;4;;;;1;;;4
Sportfondsen Roosendaal B.V.;;;;;;;1;;1
Stage Gate 11 B.V.;;;;;;4;;;4
Star Apple Interim B.V.;;;;;;;;4;4
Start People;;;;;;;;5;5
STRICT;;;;;;;;2;2
Strijbosch B.V.;;;2;;;;1;;2
Studio 38C;;1;;;;;;;1
Surcom International B.V.;;3;;;;;;;3
SURFmarket;;;;;;;3;;3
Sweco Nederland B.V.;;;;1;;;;;1
Synergy Benelux;;;;2;4;;;;4
Syntouch B.V.;;;;;1;;;;1
T&T Compet&t.b.v.;;;;;3;2;;;3
T&T Mobility;;;;;;;1;;1
Tacs Informatisering B.V.;;;;;;;;5;5
Tapes Amsterdam B.V.;;2;;;;;;;2
TDS B.V.;;;;;;;1;;1
Technical Logistic Solutions B.V.;;1;;;;;;;1
Technisch Bureau Magema B.V.;;2;;;;1;;;2
Technische Handelsonderneming Tehages B.V.;;2;;;;;;;2
Technische Unie B.V.;;2;;;;2;;;3
Telpress Benelux B.V.;;;;;;2;;;2
Tensing Safety & Security B.V.;;;;;2;;;;2
Texo Trade Services B.V.;;1;;;;;;;1
Textielgroothandel Van de Waerdt;;;;;;;1;;1
The Future Store;;3;;;;;;;3
The MathWorks B.V.;;;;2;;2;;;3
The Two Automatiseringsdiensten B.V.;;;;;;;;4;4
T-Mobile Netherlands B.V.;;;;;;;1;;1
Totech Europe B.V.;;1;;;;;;;1
Touch Concepts B.V.;;2;;;1;;;;2
Tradinco Instruments;;;;1;;;;;1
Traxion Consultancy B.V.;;;;;;;;4;4
Ukomst B.V.;;;;;;;;5;5
Ultimo Software Solutions B.V.;;;;2;;;;;2
Unipas B.V.;;;;;;1;;;1
Unique Nederland B.V.;;;;;;;;2;2
United4all;;4;;;;;;;4
UP learning B.V.;;;;;;;;1;1
V.O.F. Boet Schouwink Producties;;1;;;;;;;1
Van den Hout Promotion;;;;;;;2;;2
Van der Heijden Milieu- en Install.techn.;;;;;;;1;;1
Van Oostvoorn & Zn;;1;;;;;;;1
Van Vlier Media B.V.;;1;;;;;;;1
Vanderkooij Telecommunicatie B.V.;;;;;;1;3;;3
VCD Business Solutions B.V.;;;;;2;;;2;3
Vector Eyes;;;;;;1;;;1
Vertimart Consultants B.V.;;;;;2;;;1;3
Vesta Partners B.V.;;;;;;;;5;5
Video Duplication Holland B.V.;;1;;;;;;;1
Visual Workplace B.V.;;1;;;;;;;1
Vonk B.V.;;1;;;;;;;1
Vosko B.V.;;6;;;;2;;;6
Waterkant;;;;;;;1;;1
We-Got-IT B.V.;;5;3;;1;4;;;5
Worcflow;;2;;;;;;;2
XBWORKS;;;;;;;;4;4
Xolphin B.V.;;;;;;;1;;1
X-Press Images;;2;;;;;;;2
XS4ALL Internet B.V.;;;;;;;1;;1
Yorcom Computers B.V.;;2;;;;;;;2
YourIT B.V.;;;;;;1;;;1
YSE B.V.;;;;;;;;3;3
Zalsman Print B.V.;;;;;;;1;;1
Ziggo B.V.;;;;;;;1;;1
MP2 Automatisering B.V.;;;;;;;1;;1
Rijsbergen Den Helder;;;;;;;1;;1
ID Ware International B.V.;;1;;;;;;;1
Antratek Electronics;;;;;;;1;;1
All Music Publishing B.V.;;1;;;;;;;1
CrowdSense B.V.;;;;;;2;;;2
Eszet Data B.V.;;1;;;;;;;1
Kiwi Electronics B.V.;;;;;;;1;;1
TOPdesk Nederland B.V.;;;;;;3;;;3
Fifo Color B.V.;;1;;;;;;;1
Blancco (Software) Netherlands B.V.;;;;1;;;;;1
Qsight IT Holding B.V.;;;;;;6;;;6
Viteau B.V.;;1;;;;;;;1
Ordina Business Consulting & Solutions B.V.;;;;;;1;;;1
Elektro-Rama;;;;;;;1;;1
Trits Procesinnovatie;;;;1;;;;;1
Nottrot B.V.;;2;;;;;;;2
Picturae ICT B.V.;;;;2;;;;;2
Eleshop B.V.;;;;;;;1;;1
Entco Nederland B.V.;;;;;2;;;;2
Electrotechnische Groothandel Horvers B.V.;;2;;;;;;;2
PRO-MATCH system integration;;;1;;;;;;1
UNI Business Centre B.V.;;2;;;;;;;2
Elproma B.V.;;;4;;;;;;4
'EDS';;;;;;;1;;1
Imagem;;;;;;6;;;6
Capgemini N.V.;;;;;;;1;;1
anoniem 2823;;;;;4;;;;4
anoniem 2830;;1;;;;;;;1
Eindtotaal;2;10;9;8;9;11;10;10;13
