Leverancier;9301 - Laboratoriumonderzoek;9302 - Laboratoriummaterialen;9303 - Laboratoriuminstrumenten;9304 - Aankoop onderzoeksmateriaal;9305 - Research & development;9600 - VWS specifiek;Eindtotaal
Diversified Biotech B.V.;;1;;;;;1
DMM IOS DEVELOPMENT;;;;;;2;2
DNV GL Netherlands B.V.;;;;;4;;4
DPA PeopleGroup B.V.;;;;;;2;2
DrÃƒÂ¤ger Nederland B.V.;;;1;;;;1
Dräger Nederland B.V.;;;;;;8;8
DSM Coating Resins B.V.;;;;;;4;4
DSMZ;;1;;;;;1
DTT Multimedia B.V.;;;;;;5;5
Dupa Veiligheidstechniek B.V.;;;1;;;;1
DuPont de Nemours Luxembourg SARL;;;;;;5;5
Duyfjes Trading B.V.;;;;;;1;1
Dynabio S.A.S. Luminy Biotech Entreprises;;1;;;;;1
Dyzle Operations B.V.;;;3;;;;3
Eastern Business Forms, Inc.;;4;;;;;4
Eclecta B.V.;;;;;;2;2
Ecofide;;;;;2;;2
Ecoloss Project B.V.;;;1;;;;1
Ecommany B.V.;;1;;;;;1
Edo Plantinga Online Projectmanagement;;;;;;4;4
EDQM;;;;;;1;1
EGEN B.V.;;;;;1;;1
Eijkelkamp Soil & Water B.V.;;2;1;;;;3
ELDC B.V.;;2;;;;;2
Elinex Power Solutions B.V.;;;1;;;;1
Elis Nederland B.V.;;1;;;;;1
Elisabeth-TweeSteden Ziekenhuis Facturen en ook Laboratorium;7;;;;;;7
ELITechGroup B.V.;;1;2;;;;3
ELPRO Benelux B.V.;;1;;;;;1
Elscolab B.V.;;2;;;;;2
Emdamed B.V.;;1;;;;2;2
Emelca;;1;;;;;1
Emms;;1;;;;;1
Endersen;;;;;;2;2
Envico Environment Control B.V.;;;1;;;;1
Envitec N.V.;;;6;;;;6
Epithelix Sàrl;;1;;;;;1
Eppendorf Nederland B.V.;;1;1;;;;1
EQUALIS AB;;1;;;;;1
Eriks B.V.;;1;;;;;1
Eshwa Holding B.V.;;;;;;5;5
Etigam B.V.;;;;;;1;1
Euro Dragon B.V.;;;;;;2;2
Eurofins Bactimm B.V.;;;;;;1;1
Eurofins Environment Denmark A/S;;1;;;;;1
Eurofins Miljo A/S;1;1;;;;;1
Eurofins Omegam B.V.;;1;;;;;1
Eurofins PROXY Laboratories B.V.;;;;;;3;3
Eurogentec Nederland B.V.;;2;;;;;2
Euromedex;;1;;;;;1
European Publishing EUEP;;;;;1;;1
European Veterinary Laboratory (EVL);1;1;;;;;1
EWC Diagnostics Trade B.V.;;1;;;;7;7
EY Advisory Netherlands LLP;;;;;;3;3
Farnell (Netherlands) B.V.;;1;;;;;1
FbUS EUROPE B.V.;;;;;;1;1
FedEx Express Netherlands B.V.;;;;;;3;3
Firm Ground;;;;;;3;3
Fisher Scientific of the Netherlands B.V.;;7;2;;;;7
Flycatcher Internet Research B.V.;;;;;1;;1
Flynn Pharma Ltd;;;;;;1;1
Forcare Holding B.V.;;;;;;7;7
Fox-IT;;;;;;2;2
Freedom Internet B.V.;;;;;;3;3
Fujirebio Europe N.V.;;1;1;;;;2
FutureWater;;;;;1;;1
FYTA Company B.V.;;;;;;1;1
G.R. Instruments B.V.;;2;;;;;2
GC Biotech B.V.;;2;1;;;;2
GE Healthcare B.V.;;;;;;7;7
GE Healthcare Europe branch Netherlands;;2;;;;;2
Gelre ziekenhuizen Services Holding B.V.;;1;;;1;;1
Genomic Investments B.V.;2;;;;;;2
Genscript Biotech (Netherlands) B.V.;;2;;;;;2
Gentaur Nederland B.V.;;1;;;;;1
Getinge Netherlands B.V.;;;;;;8;8
Gezond & Mooi;;;;;;1;1
Gezondheidsdienst voor Dieren;;1;;;2;;2
Gezondheidsdienst voor Dieren B.V.;;;;;;4;4
Gilead Sciences Netherlands B.V.;;;;;;8;8
Gispen4RegulatoryScience;;;;;1;;1
GlaxoSmithKline B.V.;;;;;;10;10
GLNP Medical Devices B.V.;;1;;;;;1
Gradko International Ltd.;3;;;;;;3
Greiner Bio-One B.V.;;1;;;;;1
Groepspraktijk Huisartsen Schaijk;;;;;1;;1
GS1 Nederland B.V.;;;;;;1;1
Gupta Strategists B.V.;;;;;;3;3
HACH;;1;1;;;;1
Hackdefense B.V.;;;;;;1;1
Halma Solutions B.V.;;;;;;10;10
Hamilton Medical Nederland B.V.;;;;;;8;8
Hamwells Nederland B.V.;;;;;;1;1
Han Swinkels Consultancy B.V.;;;;;1;;1
Hangzhou Dangang Biological Techn.;;1;;;;;1
Hanna Instruments;;1;;;;;1
HaskoningDHV Nederland B.V.;;;;;2;;2
HazmatLINK Ltd;;1;;;;;1
Health Angels B.V.;;;;;;3;3
Heemskerk Fijnmechanica B.V.;;1;;;;;1
HELLINGMAN Onderzoek en Advies;;;;;1;;1
Hessen Apotheek;;1;;;1;;1
Hettich Benelux B.V.;;;1;;;;1
Heyl Jupiter OG B.V.;;;;;;2;2
Hidde Schultze;;;;;;3;3
Hielkema Test Equipment B.V.;;;1;;;;1
HI-Q Environmental Products Company;;2;;;;;2
Homeland DefSec B.V.;;;;;;6;6
Homij Technische Installaties B.V.;;1;;;;;1
Hong Kong Smart International Investment Ltd;;;;;;7;7
Hoppe - Knowledge & Policy;;;;;3;;3
Hotzone Solutions International B.V.;;1;;;;;1
HOYNG ROKH MONEGIER LLP;;;;;;4;4
HVR PA/PR;;;;;;2;2
Hydrauliekservice Utrecht B.V.;;;1;;;;1
I&L Biosystems;;;1;;;;1
I.T.K. Diagnostics B.V.;;4;;;;;4
ibidi GmbH;;1;;;;;1
IBS International B.V.;;1;;;;;1
Ideafixx B.V.;;;;;;3;3
IFA;;;;;;1;1
Igloocoolers B.V.;;1;;;;;1
IJsselland Ziekenhuis;7;;;;2;;7
illumina Netherlands B.V.;;5;5;;;;6
Ilse Dekker Communicatie;;;;;;3;3
IMD B.V.;4;;;;1;;4
Immudex;;2;;;;;2
ImmunoSource BV;;1;;;;;1
IN COM INTERNATIONAL CO., LTD;;;;;;5;5
in60seconds B.V.;;;;;;1;1
Incremental Software;;;;;;4;4
Industrial HVAC Control Solutions B.V.;;;1;;;;1
INERIS Developpement SAS;;;;;1;;1
Inquest B.V.;;;;;;4;4
Inresa Arzneimittel GmbH;;;;;;2;2
Instand e.V.;1;;;;;;1
Instruchemie B.V.;;1;;;;;1
Instrument Solutions Benelux B.V.;;1;1;;;;1
Integrated DNA Technologies Germany;1;1;;;;;1
Integrated DNA Technologies, BVBA;1;1;;;;;1
Intergo B.V.;;;;;3;;3
Interscience B.V.;;1;2;;;;2
IntroTech B.V.;1;;2;;;;2
Inventech Benelux B.V.;;;1;;;;1
Iresearch;;;;;1;;1
Isogen Life Science B.V.;1;1;1;;;;2
IVA Medical Supplies;;;;;;6;6
J. Kock;;;;;;1;1
JellePrins B.V.;;;;;;4;4
Jelmer Valk;;;1;;;;1
Jolanda Verhoef;;;;;;3;3
JPT Peptide Technologies GmbH;;2;;;;;2
Jurrie Klok Koeriers;;;;;;2;2
Kalibra International B.V.;;;2;;;2;2
Kantar Netherlands B.V.;;;;;6;;6
KC Trading B.V.;;3;1;;;;4
Kennedy Van der Laan;;;;;;1;1
KHL media Ltd Off-Highway Research;;;;;1;;1
Kipp & Zonen Holding B.V.;;;4;;;;4
Kiwa Nederland B.V.;;;;;3;;3
Kiwa VERIN B.V.;5;;;;;;5
Koelgroep Dijkstra Geelhoed B.V.;;;1;;;;1
Konega;;;;;;1;1
Koninklijke Luchtvaart Maatschappij N.V.;;;;;;5;5
Koopman.com B.V.;;;;;2;;2
kosit;;;;;;3;3
KPN B.V.;;;;;;7;7
Kunststofplaatverw Industrie v. Schagen B.V.;;;;;;2;2
KWR Water B.V.;;;;;3;;3
L. Borst 'Adviezen en Trainingen';;;;;1;;1
Lab Services B.V.;;1;;;;;1
Labair;;;1;;;;1
LabBio Technology B.V.;;;1;;;;1
LabHelp International B.V.;;;;;;2;2
Labkoo;;1;;;;;1
LabMakelaar Benelux B.V.;;;1;;;;1
Laboratoires Serb;;;;;;1;1
Laboratorium Ofichem B.V.;;;;;;4;4
Lasaulec B.V.;;1;;;;;1
Lebret IVoRi Consult;;;;;1;;1
Leica Microsystems B.V.;;;2;;;;2
Level Acoustics & Vibration B.V.;;;;;2;;2
LGC Genocmics GmbH;;2;;;;;2
LGC Standards;;1;;;;;1
LievenseCSO Milieu B.V.;6;;;;;;6
Life Technologies Europe B.V.;;;;;;5;5
Life Technologies International B.V.;1;1;3;;;;3
Lighthouse Worldwide Solutions Benelux B.V.;;;1;;;;1
Linde Gas Benelux B.V.;;2;;;;;2
LipsPlus;;;;;;1;1
localhost B.V.;;;;;;3;3
Locus Positioning B.V.;;;;;;1;1
Logisticon Water Treatment;;;2;;;;2
Lonza Sales Ltd;;1;;;;;1
Loveland Events;;;;;;8;8
Löwenstein Medical Netherlands B.V.;;;;;;9;9
Luminex Corporation;;4;;;;;4
Lupprian's Computer Express B.V.;;;;;;1;1
M.T. Diagnostics Nederland B.V.;;2;;;;;2
M+P, raadgevende ingenieurs B.V.;;;;;2;;2
Maatschap Chirurgie Spaarne Ziekenhuis;;;;;4;;4
Maatschap Oogartsen Jeroen Bosch Ziekenhuis;;;;;1;;1
Maatschap Radiologie Orbis Medisch Centrum;;;;;2;;2
Mabritec AG;;;;;2;;2
Machinefabriek Hamminga B.V.;;1;;;;;1
Madaus GmbH;;;;;;2;2
Malvern Medical Developments;;2;;;;;2
Mansveld Projecten & Services B.V.;;;1;;;;1
MARIN Asia B.V.;;;;;2;;2
Marketresponse Nederland B.V.;;;;;;2;2
Marleen van Amersfoort;;;;;2;;2
McKinsey & Company Netherlands;;;;;;6;6
MCS Diagnostics B.V.;;1;;;;;1
Mediaproducts B.V.;;2;;;;;2
Medical Brands Developments;;;;;;7;7
Medicom Healthcare B.V.;;;;;;7;7
Mediost B.V.;;1;;;;;1
Mediphos Medical Supplies B.V.;;3;1;;;;3
Mediq Medeco;;1;;;;;1
Mediq Nederland B.V.;;;;;;13;13
Medische Biobank Noord-Nederland B.V.;;;;;2;;2
Medische Laboratoria dr. Stein & Collegae;1;1;;;1;;2
Mefitihe B.V.;;;;;;4;4
Meiko Nederland B.V.;;;1;;;;1
Meis Techniek;;;;;;2;2
Merck Chemicals B.V.;;3;3;;;;4
Merck Sharp & Dohme B.V.;;;;;;10;10
Merkwerk Utrecht B.V.;;;;;1;;1
Mertens B.V.;;;;;;1;1
Messer B.V.;;1;;;;;1
Metabolic B.V.;;;;;2;;2
Metrohm Applikon;;1;1;;;;1
Mettler-Toledo B.V.;;1;1;;;3;3
MHRA NIBC;;1;;;;;1
Micromun;;1;;;;;1
microscope consultancy;;2;;;;;2
Miele Nederland B.V.;;;1;;;;1
Mikrolab Aarhus A/S;;1;;;;;1
Miltenyi Biotec B.V.;;2;;;;;2
Milvum B.V.;;;;;;2;2
Minigrip;;2;;;;;2
Mirion Technologies NV;;;1;;;;1
Mister Koreander B.V.;;;;;;3;3
MLS B.V.;;2;;;;;2
Moldex-Metric AG & CO. KG;;;;;;4;4
Molecular Devices (UK) Ltd;;;1;;;;1
Moons Research Consultancy;;;;;1;;1
Movilitas.Cloud bvba;;;1;;;;1
MS Westfalia GmbH;;;;;;7;7
MSA Nederland B.V.;;;1;;;;1
Mundonovo Sound Research;;;;;1;;1
MWM2 B.V.;;;;;;2;2
Mylan B.V.;;;;;;4;4
Mylan Healthcare B.V.;;;;;;8;8
Nanjing Chenwei Medical Equipment CO., LTD;;;;;;7;7
NBS Scientific B.V.;;1;;;;;1
Nederl. Ver. voor Medische Microbiologie;;;;;2;;2
Nedlin Healthcare B.V.;;;;;;1;1
New Nexus B.V.;;;;;;4;4
NewTeam B.V.;;;;;;1;1
NFIR B.V.;;;;;;2;2
Nightingale Health Ltd.;4;;;;;;4
NIVEL;1;;;;5;;5
NRG B.V.;;1;;;;;1
NRG Petten (alleen WVI vergoeding);;;4;;1;;4
Nu-Swift Brandbeveiliging B.V.;;;1;;;;1
Nutacon B.V.;;1;;;;;1
Nutrilab B.V.;4;;;;;;4
NVZ Vereniging van Ziekenhuizen;;;;;;2;2
O2 Health B.V.;;;;;;10;10
OBT B.V.;;;;;1;;1
Olympus Nederland B.V.;;;1;;;;1
Omegam Water B.V.;2;;;;1;;2
one2one;;;2;;;;2
OnlyHuman Groep B.V.;;;;;;2;2
Orly Pharma B.V.;;1;;;;;1
Ortho Import & Trading B.V.;;;;;;2;2
OTT Hydromet;;;1;;;;1
Ove Arup & Partners Int. Ltd;;;;;1;;1
Oxford Nanopore Technologies B.V.;;3;;;;;3
Oxoid;;2;;;;;2
P & S Advies B.V.;;;;;2;;2
PA Consulting Services B.V.;;;;;;2;2
Pallas health research and consultancy B.V.;;;;;2;;2
Palux Service Center;;;1;;;;1
Panteia B.V.;;;;;2;;2
Partners4UrbanWater;3;;;;1;;3
Pathos Studios;;;;;;1;1
Patswerk;;;;;;3;3
Paul Hartmann B.V.;;;;;;6;6
PBLQ B.V.;;;;;;5;5
PeproTech EC Ltd;;1;;;;;1
Pepscan Presto B.V.;;1;;;;;1
PerkinElmer Nederland B.V.;7;5;3;;;;7
Peutz B.V.;;;;;2;;2
Pfizer B.V.;;;;;;9;9
Pharmaceutical Trade Services, Inc.;;;;;;1;1
PHC Europe B.V.;;;1;;;;1
Phenomenex B.V.;;1;;;;;1
Philip G. Sayre NanoRick Analytics, LLC;;;;;2;;2
Philips GmbH Respironics;;;;;;7;7
Philips Nederland B.V.;;;;;;10;10
Pipple B.V.;;;;;;3;3
Pluriform;;;;;1;;1
PMG B.V.;;;;;;7;7
Poel Gooi en Vecht V.O.F.;;;1;;;;1
Polteq Test Services B.V.;;;;;;2;2
Poly Temp Scientific;;2;2;;;;2
Poolster B.V.;;;1;;;;1
PostNL Data Solutions B.V.;;;;;;1;1
Premed Health Care (PHC) B.V.;;1;;;;;1
Premium Serums & Vaccines pvt. Ltd.;;;;;;1;1
Privacy Management Partners Coöperatie U.A.;;;;;2;2;2
ProCare B.V.;;2;2;;;;2
Prolyse B.V.;;1;3;;;;3
Promatrix B.V.;;;;;;4;4
Promega Benelux B.V.;;1;;;;;1
Promolding B.V.;;;;;;2;2
Prosense B.V.;;1;1;;;;1
PTB B.V.;;1;;;1;;1
PTV Holding B.V.;;;;;1;;1
Public Health England Sterling (alle vestigingen);;1;;;;;1
Purfacts B.V.;;;;;2;;2
QCMD;2;;;;2;;2
Qiagen Benelux B.V.;;4;1;;;;4
QRS Critical Care B.V.;;;;;;7;7
QSMI Queen Saovabha Memorial Institute;;;;;;1;1
R2R B.V.;;;;;;2;2
Radically Open Security B.V.;;;;;;2;2
Radiologie Albert Schweitzer Ziekenhuis B.V.;;;;;1;;1
Rae Benelux B.V.;;;1;;;;1
Ranox B.V.;;;;;1;;1
Rentex B.V.;;;;;;2;2
Result Laboratorium B.V.;;;;;1;;1
Retomed Health B.V.;;4;;;;;4
Ritzerfeld B.V.;;;;;;1;1
Robin van Dijke;;;;;;2;2
Rocete B.V.;;;;;3;;3
Roche Diagnostics Nederland B.V.;;6;2;;;;6
Roche Nederland B.V.;;;;;;1;1
Roorda Reclamebureau B.V.;;;;;;4;4
RPS Analyse B.V.;1;1;1;;1;;2
RS Components B.V.;;1;;;;;1
Ruigrok NetPanel;;;;;;3;3
S.B.W. Sukkel Beheer B.V.;;;;;;3;3
SAMR;;;;;2;;2
Sanbio B.V.;;2;;;;;2
Sandoz B.V.;;;;;;4;4
Sanitas-Water;;;;;1;;1
sanofi-aventis Netherlands B.V.;;;;;;9;9
Sanquin;;1;;;;;1
Sanquin Blood Supply Foundation;;;;;;8;8
Sanquin Diagnostiek B.V.;;;;;;8;8
Sanquin Plasma Products B.V.;;1;;;;7;7
Sanquin Reagents B.V.;;;;;;4;4
Sara Heesterbeek;;;;;2;;2
Sarstedt B.V.;;1;;;;1;1
Sartorius Lab Instruments GmbH;;1;2;;;;2
Schiphol Nederland B.V.;;;;;;1;1
Schnauzer B.V.;;;;;;2;2
Schouten advies en interim management;;;;;1;;1
Science Suite Inc. Biorender;;1;;;;;1
scienion AG;;1;4;;;;4
Seagull Technologies B.V.;;;3;;;;3
Secura B.V.;;;;;;2;2
SeederDeBoer;;;;;;2;2
Selinion Medical B.V.;;1;;;;;1
Seqirus (Australia) Pty Ltd.;;;;;;2;2
SERB S.A. NV;;;;;;3;3
Sevenground Trading B.V.;;;;;;2;2
SGAN;;;;;1;;1
Shenzhen Prunus Medical Co.,Ltd.;;;;;;7;7
Shieldmark Zacco BV finaniële administratie;;;;;1;;1
Shimadzu Benelux;;1;1;;;;1
Siemens Healthcare Nederland B.V.;;1;;;;;1
Siemens Healthineers Nederland B.V.;;;;;;5;5
Siemens Industry Software B.V.;;1;;;;;1
Sigma-Aldrich Chemie N.V.;;3;;;;;3
SineFuma B.V.;;1;;;;;1
SMARTmv;;;;;1;;1
Smeba Brandbeveiliging B.V.;;;1;;;;1
SNTCK;;1;;;;;1
Sogeti Nederland B.V.;;2;;;;;2
Solitee B.V.;;3;;;;;3
Specials Workwear B.V.;;;;;;1;1
St Beheer Derdengelden Groenendijk & Kloppenburg;;;;;;2;2
St Landelijk Coördinatiecentr. Geneesmiddelen;;;;;;7;7
St Nederland Onderneemt Maatschappelijk!;;;;;;9;9
St. Dutch Institute for Clinical Auditing;;;;;2;;2
St.Patientenzorg Nederlands Kanker Instituut;;;;;2;;2
Stago BNL B.V.;;1;;;;;1
STAXS The Netherlands B.V.;;1;;;;;1
StemCell Technologies;;1;;;;;1
STERIS SA/NV;;1;;;;;1
Steriservice Nederland;;;1;;;;1
Stg. Centr. voor Arbeidsverhoud. Overh.pers.;;;;;;3;3
Stg. Dr. Hilda Verwey-Jonker, I.v.O. van M.V.;;;;;1;;1
Stg. Nat. Lucht- en Ruimtevaartlaboratorium;;;;;2;;2
Stg. NL School of Public & Occupation. Health;;;;;;2;2
Stg. Pharos Expert.centrum Gezondheidsversch.;;;;;;;
Stg. Streeklab. v.d. Volksgezondh. Kennemerl.;;;;;3;;3
Sticht. ISSTDR Conference Support Foundation;;;;;4;;4
Stichting Accessibility;;;;;;1;1
Stichting Administratiekantoor Kropman;;;1;;;;1
Stichting air-wave.org;;;;;;2;2
Stichting Beheer Derdengelden Lamers Tielemans;;;;;;1;1
Stichting Deltares;1;;;;5;;5
Stichting Digisterker;;;;;;2;2
Stichting Fonds Instituut Clingendael;;;;;4;;4
Stichting Hogeschool van Arnhem en Nijmegen;;;;;1;;1
Stichting Isala Klinieken;7;;;;;;7
Stichting KIAD;;;;;2;;2
Stichting Kwaliteitsbewaking Ziekenhuislaboratoria;1;;;;;;1
Stichting Lareb;;;;;;3;3
Stichting Leer Zelf Online;;;;;;2;2
Stichting LOC Waardevolle zorg;;;;;2;;2
Stichting Lygature;;;;;3;;3
Stichting Milieu Centraal;;;;;1;;1
Stichting ms projecten;;;;;;1;1
Stichting Onafhankelijk Fonds Kennisplatdorm;;;;;2;;2
Stichting PAMM;;;;;;3;3
Stichting Saltro;1;1;;;2;;2
Stichting SciPost;;;;;;;
Stichting SEO Economisch Onderzoek;;;;;1;;1
Stichting SGNN;;;;;1;;1
Stichting VZZ zoogdiervereniging;;;;;1;;1
Stichting Z-CERT;;;;;;2;2
Stiftung fur Pathobiochemie und Molekulare Diagnostik;1;;;;;;1
Stogger B.V.;;;;;;4;4
Stratec Services B.V.;;1;;;;;1
