Leverancier;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
Digital Revolution B.V.;;;;;;;;;1;;1
Dijkgraaf-Rijsdorp B.V.;;;;;;;;;2;;2
Dirksen Schoonmaakartikelen B.V.;;;;;;;;;7;;7
Discountoffice.nl B.V.;;1;1;1;;;1;1;1;;1
DNV GL Business Assurance;;;;;;;;1;;;1
Dokkumer Vlaggen Centrale B.V.;;;;;;;;1;;;1
Douwe Egberts Horeca;;7;;;;;;;;;7
Driessen International B.V.;;;;;;;;1;;;1
Drukbedrijf.nl B.V.;;;;;;;;;1;;1
Drukkerij De Kleijn Wijchen B.V.;;;;;;;;;1;;1
Drukkerij en Kopieerserv. v.d. Herik V.O.F.;;;;;;;;;1;;1
Dufare Duik- en watersportreparatie;;;;;;;;;1;;1
DutchRisk B.V.;;;1;;;;;;;;1
Easy e-Sales;;;;;;;;1;;;1
Echte Bakker Gerrits V.O.F.;;1;;;;;;;;;1
ECT Delta Terminal;;;;;2;;;;;;2
Eden Springs Nederland B.V.;;1;;;;;;;;;1
Eduard Bos Electronic Publishing II B.V.;;;;;;;;1;;;1
Eindhoven Airport N.V.;;;1;;;;;;;;1
Elis Nederland B.V.;;;;;;;;;1;;1
Enersafe B.V.;;;1;;;;;;;;1
Engels;;;;;1;;;;;;1
Eriks B.V.;;;;;;;;1;;;1
Ese International B.V.;;;1;;;;;;;;1
Esra Handelmaatschappij B.V.;;;;;3;;;1;;;4
Etikettenkoning B.V.;;;;;;;;1;;;1
Eurofins LabCo;;;;;;;;1;;;1
Eurovacuum B.V.;;;;;;;;;1;;1
Eutronix;;;;;;;;2;1;;2
EVC (Verpakking) B.V.;;;;;1;;;;;;1
EVO Fenedex;;;;;1;;;;;;1
Exclusiva;;;;1;;;;;;;1
Ex-Ox-Tox;;;;;;;;;1;;1
Expo Display Service;;;;;;;;1;;;1
Extravar B.V.;;;;;;;;;4;;4
Fa. Tres;;;;;;;2;;;;2
Facilicom PPS Doetinchem Exploitatie B.V.;3;;;;;;;;;;3
Firma Banketbakkerij Lindeboom;;1;;;;;;;;;1
Flash Rental Services B.V.;;;1;;;;;1;;;1
Foto Linthout;;;;;;;;1;;;1
Friesland Sportprijzen;;;;;;;;;1;;1
Fujitsu Technology Solutions B.V.;;1;;;;;;;;;1
G.F.P. (Gear for Professionals) B.V.;;;;;;;;1;1;;1
G4S Security Services B.V.;;;1;;;;;;;;1
Gasmeetstation Nederland;;;;;;;;1;;;1
Gebr. Ferwerda Vastgoed B.V.;;;;;;;;1;;;1
Giftsware;;;;;;;;;1;;1
Gispen Kantoorinrichting;;;;;;;;1;;;1
Glasbedrijf de Jonge & Zn;;;;;1;;;;;;1
Good Xpress B.V.;;;;;1;;;;;;1
Grafisch Bedrijf Goes B.V.;;;1;;;;;1;;;1
GreenCycl B.V.;;;;1;;;;;;;1
Groenendijk Bedrijfskleding B.V.;;;;;;;;1;9;;9
Groningen Airport Eelde N.V.;;;1;;;;;;;;1
GSA Facilitaire Diensten B.V.;1;;;1;;;;;;;1
Gunnebo Nederland B.V.;;;;;;;;1;;;1
H.J. Nieman t.h.o.d.n. Multicopy Drukwerksrv.;;;;;;;;;1;;1
H.J. van Bentum Trailer Service B.V.;;;;;1;;;;;;1
Hans Ouderwets Lekker;;1;;;;;;;;;1
Hardware City;;;;;;;;;1;;1
Hatral Leidschendam B.V.;;;;;2;;;;;;2
Health2Work B.V.;;;;;;;;1;;;1
Henk Maas Weegschalen B.V.;;;;;;;;1;1;;1
Het Medaillehuis Suurd;;;;;;;;;1;;1
Het Stille Verzet;;;;;;;;1;;;1
High Security International B.V.;;;;;;;;;1;;1
Hof Catering B.V.;;4;;;;;;;;;4
Hollander Techniek B.V.;;;4;;;;;;;;4
Hoogwout Berging B.V.;;;;;1;;;;;;1
Horecagigant.nl;;;;;;;;1;;;1
Houterman Autosleepdienst;;;;;1;;;;;;1
Houwen's Vlaai B.V.;;1;;;;;;;;;1
Huchem B.V.;;;;;;;;1;;;1
Huibers Test & Measurement B.V.;;;;;;;;;1;;1
I.T.C. Alles voor uw kantoor N.V.;;;;;;;;;1;;1
I.T.S. International Technical Service;;;1;;;;;1;;;1
i3 groep;;;;;5;;;;;;5
Iedema Projectstoffering;;;;;;;;2;;;2
Imbema Surface Treatment B.V.;;;;;;;;;1;;1
Imming Logistics Fine Art B.V.;;;;;1;;;;;;1
Inbraakpreventie 'M.I.B.' B.V.;;;1;;;;;;;;1
ING Bank N.V.;;;;;;;;;;7;7
Initial B.V.;;;;6;;;;;;;6
inMotiv;;;1;;;;;;;;1
Insight Enterprises Netherlands B.V.;;;;;;;;3;;;3
Inspiration Office;;;;;;;;5;;;5
Inter-Engineering Services Ltd.;;;;;;;;;3;;3
Intermontage Interieurbouw;;;;;;;;1;;;1
Interseco Security;;;1;;;;;;;;1
Intos B.V.;;;;;;;;1;;;1
iSOC24 B.V.;;;;;;;;;2;;2
J & T Dozen;;;;;;;1;;;;1
Jacobs Douwe Egberts Nl B.V.;;2;;;;;;;;;2
JÃ©vÃ© Verpakkingen V.O.F.;;;;;1;;;;;;1
Joe's;;1;;;;;;;;;1
Jong Europe B.V.;;;;;;;;;2;;2
Jopak Packaging Solutions;;;;;;;;1;;;1
Juist Beheer B.V.;;;;;;;;1;;;1
Jungheinrich Nederland B.V.;;;;;;;;1;;;1
Kaayman;;;;;;;;;1;;1
Kardex Systemen B.V.;;;;;;;;2;;;2
Kentie Afterprint B.V.;;;;;;;;;1;;1
KeyTalk I B.V.;;;1;;;;;;;;1
Kleijn Transport B.V.;;;;;1;;;;;;1
Klein Units B.V.;;;;;1;;;;;;1
KLG Europe Venlo B.V.;;;;;1;;;;;;1
Klusbedrijf Krikken;;;1;;;;;;;;1
Koffie- en Eetsalon 't Achterommetje;;1;;;;;;;;;1
Koning & Hartman B.V.;;;1;;;;;;;;1
Koninklijke Fabrieken Posthumus B.V.;;;;;;;;;2;;2
Koninklijke PostNL B.V.;;;;;11;;;;;;11
Koninklijke Scheepsagentuur Dirkzwager B.V.;;;;;4;;;;;;4
Koninklijke van der Most B.V.;;;;;;1;;;7;;7
Kop Beveiliging B.V.;;;2;;;;;;;;2
Kortpack B.V.;;;;;1;;;;;;1
KPN B.V.;;1;;;;;;;;;1
KPN Consulting B.V.;;1;;;;;;;;;1
KPN Corporate Market;;;1;;;;;;;;1
Kraanverh.,Takel, Bergings, Autotransp Modern;;;;;1;;;;;;1
Kreeft Opleidingen;;;;;1;;;;;;1
Kruizinga B.V.;;;;;;;;1;;;1
Kurstjens Recycling B.V.;;;;;;;1;;;;1
Kusters Facilities B.V.;;;;;;;7;1;;;7
Kwekkeboom Konditorei B.V.;;1;;;;;;;;;1
L.M.B. van Daatselaar V.O.F.;;;;;;;;1;;;1
L.R.E. Weegtechniek;;;;;;;;;1;;1
Landesdirektion Sachsen;;;;;;;1;;;;1
Lawn Tennis Club 'De Manege';;;;;;;;1;;;1
Liftinstituut B.V.;;;;;;;;2;;;2
Logicx Berging B.V.;;;;;2;;;;;;2
Logilabel Nederland;;;;;;;;;1;;1
Logistics Solutions B.V.;;;;;1;;;;;;1
Lokker Intratech B.V.;;;;;;;;1;;;1
Lumina Learning Nederland B.V.;;;;;;;;1;;;1
Lundiform B.V.;;;;;;;;1;;;1
LV Equipment B.V.;;;;;;;;;1;;1
Lyreco Nederland B.V.;;1;;;;;;2;7;;7
M.E. Design & Safety V.O.F.;;;;;;;;;1;;1
Maas International B.V.;;;;;1;;;;;;1
Maassen's Banketbakkerij B.V.;;1;;;;;;;;;1
Mainpress B.V.;;;;;;1;;;;;1
Mallegrom Veiligheidsschoenen;;;;;;;;;1;;1
Manutan B.V.;;;1;;;;;2;1;;2
Marina Stavoren B.V.;;;;;1;;;;;;1
Marzan Security B.V.;;;;;;;;1;;;1
Mavim B.V.;;;;;;;;;1;;1
Media Info Groep B.V.;;;;;;;;;1;;1
Mega Cleaning Products B.V.;;;;1;;;;;;;1
Meldkamer MG;;;1;;;;;;;;1
Miele Nederland B.V.;;;;1;;;;;;;1
Misco Solutions B.V.;;;;;;;;1;;;1
Moduli Print B.V.;;;;;;1;;;6;;6
Mr. Balloon;;;;;;;;;1;;1
MultiCopy Utrecht Centrum B.V.;;;;;;;;;1;;1
Muziekcentrale Adams B.V.;;;;;;;;;3;;3
MW Studio�s B.V.;;;;;;;;1;;;1
N.A. van den Hoven & Zonen B.V.;;;;;;;;1;;;1
N.V. HVC;;;;;;;1;;;;1
Navacqs Seal Suppliers B.V.;;;;;;;;1;;;1
Ned. Inst. v. geneesk. Hulpverl. bij Rampen;;;1;;;;;;;;1
Nederlandse Aardolie Maatschappij B.V.;;;;;;;;4;;;4
Neerlandia Textielreiniging B.V.;;;;;;;;;1;;1
NetwerkShop;;;1;;;;;;;;1
Neuland Nederland;;;;;;;;;1;;1
New-EnergySafetySolutions B.V.;;;2;;;;;;;;2
NKON B.V.;;;;;;;;1;;;1
Office Deals B.V.;;;;1;;;;;;;1
Office Totaal HoekscheWaard VOF;;;;;;;;1;;;1
okay energetics;;;;;;;4;;;;4
Omega Energietechniek B.V.;;;1;;;;;;;;1
OmniCard B.V.;;;1;;;;;;;;1
Online Kabelshop;;;;;;;;;1;;1
Oracle Nederland;;;;;;;;;4;;4
Oranjemarine B.V.;;;;;1;;;;;;1
P.P. Wammes;;1;;;;;;;;;1
Paardekooper Rotterdam;;;;;1;;;;;;1
Pactechno;;;;;;;;;1;;1
Palletcentrum Eerbeek B.V.;;;;;1;;;;;;1
Papyrus Groep Nederland B.V.;;;;;;;;;2;;2
Patissier en Broodspecialist Van Otten B.V.;;1;;;;;;;;;1
PayPlaza B.V.;;;;;;;;;;2;2
PaySquare SE;;;;;;;;;;1;1
Pedroshop.be;;;;;;;;1;;;1
People & Print Group;;;;;;;;;1;;1
Phonsawan B.V.;;1;;;;;;;;;1
PHZ B.V.;;;;;;;;1;;;1
PixioDigital NL B.V.;;;;;;;;;1;;1
Plein 19 Den Haag B.V.;;1;;;;;;;;;1
POL Heteren B.V.;;;;;;;;;1;;1
Polyetherverwerkende Industrie Termopol B.V.;;;;;;;;;1;;1
Portbase B.V.;;;;;3;;;;;;3
Pranger-Rosier Installaties B.V.;;;;;;;1;1;;;1
Preparateur J. Hakhof;;;;;;;;;1;;1
Presswood Verkoopmaatschappij B.V.;;;;;;;2;;;;2
Procility B.V.;;;;;;;;1;;;1
Protinus IT B.V.;;1;;;;;;2;3;;3
Quadient Netherlands B.V.;;;;;;;;;4;;4
Quality Office;;;;;;;;1;;;1
Quarto B.V.;;;;;;;;;1;;1
Rajapack Benelux;;;;;1;;;;;;1
Reflex Online B.V.;;;;;;;;1;;;1
Reisswolf Nederland B.V.;;;;;;;4;;;;4
Rendement Uitgeverij B.V.;;;;;;1;;;;;1
Renewi Nederland B.V.;;;;;;;2;;;;2
Re-on B.V.;;;1;;;;;;;;1
Rever B.V.;;;;;;;;;7;;7
Rhenus Logistics B.V.;;;;;1;;;;;;1
Ricoh Nederland B.V.;;;;;;;;;1;;1
Robert Bosch B.V.;;;2;;;;;1;;;2
Robetex;;;;;5;;;;;;5
ROHDE & GRAHL B.V.;;;;;;;;7;;;7
R�ntgen Technische Dienst B.V.;;;;;;;;1;;;1
Rotterdam Airport B.V.;;;1;;;;;;;;1
RS Components B.V.;;;;;;;;1;;;1
Ruvoma B.V.;;;;1;;;;;;;1
Safety Lux Nederland B.V.;;;1;;;;;;;;1
Safety Masters;;;1;;;;;;;;1
Safire B.V.;;;;;;;;7;;;7
SAM International B.V.;;;;;;;;;1;;1
Sandd B.V.;;;;;7;;;;;;7
SCAN COIN Netherlands;;;;;;;;;2;;2
SchÃ¤fer Shop B.V.;;;;;;;;1;;;1
Scheeres Handelmaatschappij B.V.;;;;;;;;1;;;1
Schiphorst Transport- en Opslagtechniek B.V.;;;;;;;;2;;;2
Schoondergang Van Zwanenburg Rest.-&K.a. B.V.;;2;;;;;;;;;2
Schoonmaakbedrijf Libelle Amsterdam B.V.;;;;1;;;;;;;1
Schotpoort Connect B.V.;;;;;7;;;;;;7
SchrijfOp.nl;;;;;;;;;1;;1
Sdu Uitgevers B.V.;;;;;;1;;;;;1
Securitas Beveiliging B.V.;;;1;;;;;;;;1
Security Monitoring Centre;;;2;;;;;;;;2
Semaphore Signs B.V.;;;;;;;;1;;;1
SGS Nederland;;;;;4;;;;;;4
Siemens Nederland N.V.;;;1;;;;;;2;;2
SITA Employment;;;;;1;;3;;;;3
SITA National Sales;;;;;;;6;;;;6
Sita Recycling Services;;;;;;;2;;;;2
Sita Recycling Services West;;;;;;;4;;;;4
Sita Reenergy Roosendaal;;;;;;;1;;;;1
Smits Groente- en Fruitspec./traiteur;;1;;;;;;;;;1
Smits Van Burgst Beveiliging B.V.;;;1;;;;;;;;1
Soli Clean B.V.;;;2;;;;;;;;2
Specials4Schools-Specialsvoordezorg;;;;;;;;;1;;1
Sportsdesign Utrecht B.V.;;;;;;;;;2;;2
SRH N.V.;;;;;;;;;;1;1
Staatvandienst B.V.;;;1;;;;;;;;1
Stas B.V.;;;;;;;;;1;;1
STC B.V.;;;;;1;;;;;;1
Stichting Federatie Mediatorsverenigingen;;;;;;;4;;;;4
Stichting Student Advies Commissie;;;;;1;;;;;;1
Stichting van de Familieleden;;;;;1;;;;;;1
Stomerij De Kroon;;;;;;;;;1;;1
Stomerij Panda;;;;;;;;;1;;1
Stomerij Peeters;;;;;;;;;1;;1
Stultiens Group V.O.F.;;;;;;;;1;;;1
Surence International B.V.;;;;;;;;;1;;1
Swift Car B.V.;;;;;;;;;;2;2
Sytec B.V.;;;2;;;;;;;;2
Taarten.nl B.V.;;1;;;;;;;;;1
Tac-Up B.V.;;;;;;;;;3;;3
TÃœV Nederland QA B.V.;;;;;;;1;;;;1
Takel- en Bergingsbedrijf Poort B.V.;;;;;1;;;;;;1
Tapwacht Service B.V.;;1;;;;;;;;;1
Tech Repair B.V.;;;;;;;;;1;;1
Technisch Bureau Magema B.V.;;;;;;;;1;;;1
Tele2 Nederland B.V.;;;;;;;;;5;;5
The Baker Company Benelux B.V.;;;;;;;;;1;;1
Tonnaer Bykorf;;;;;;;;;1;;1
Topa Verpakking;;;;;;;1;;;;1
Topgeschenken Nederland B.V.;;1;;;;;;;;;1
Totdrukwerk;;;;;;;;;1;;1
TPG Post Holdings;;;;;7;;;;;;7
Transfluid North Europe B.V.;;;;;;;;;1;;1
Transportbedr. Van de Wetering Loosdr. B.V.;;;;;2;;;;;;2
Transposafe Systems;;;1;;;;;;;;1
Trigion Brand- en Beveiligingstechniek B.V.;;;1;;;;;;;;1
Uitgekookt Van Marle B.V.;;1;;;;;;;;;1
Uniport Multipurpose Terminals B.V.;;;;;1;;;;;;1
UNIT4 Business Software B.V.;;;;;;;;;1;;1
United Electric Automation B.V.;;;4;;;;;;;;4
Urban Industrial B.V.;;;;;;;2;;;;2
Urban Survival;;;1;;;;;;;;1
UTS Nederland;;;;;;;;1;;;1
Uw Voordeel Bakker;;1;;;;;;;;;1
V.O.F. Bakkerij Voncken-Caubo;;1;;;;;;;;;1
Valk t.h.o.d.n. Bakker Bart;;1;;;;;;;;;1
Valor Compostering B.V.;;;;;;;1;;;;1
Van der Kreeft B.V.;;;;;;;1;;;;1
Van der Ven Autorecycling B.V.;;;;;2;;;;;;2
van Egeraat Berging en Transport C.V.;;;;;1;;;;;;1
Van Gerrevink B.V.;;;;;;;4;;;;4
Van Gool Hef- en Hijstechniek;;;;;;;;1;;;1
Van Hal Solutions B.V.;;;2;;;;;;;;2
Van Hal Telecom B.V.;;;;;;;;;2;;2
Van Keulen Interieurbouw Nijverdal B.V.;;;;;;;;1;;;1
Van Leeuwen Gevaarsetiketten B.V.;;;;;;;;1;;;1
Van Os Kantoorinstallaties Apeldoorn;;;;;;;;;1;;1
Van Sloun Stomerij B.V.;;;;;;;;;1;;1
Van Straaten Post Utrecht B.V.;;;;;6;;;;;;6
Van Walderveen Import B.V.;;1;;;;;;;;;1
Van Wees-Herenmode Voorschoten B.V.;;;;;;;;;1;;1
VDH Tools;;;;;;;;1;;;1
Veiligheidsinstituut Medi-Select B.V.;;;3;;;;;;;;3
Vendor B.V.;;;;1;;;;;;;1
Vepa, the furniture factory;;;;;;;;1;;;1
Ver. Bedr. Jansen-Wijsmuller & Beuns B.V.;;;;;;;;;1;;1
Vermeij B.V.;;;;;;;;;1;;1
VeviGo B.V.;;;1;;;;1;;;;1
Viking B.V.;;;;;;;;;1;;1
Viking Netherlands B.V.;;;;;;;;;1;;1
Vink Lisse B.V.;;;;;3;;;1;;;3
Visser Projectservice B.V.;;;2;;;;;;;;2
Vitam Catering;;7;;;;;;;;;7
Vitamine & Zo B.V.;;1;;;;;;;;;1
Vitamine en Zo;;1;;;;;;;;;1
VivePrint;;;;;;;;;1;;1
VKF Renzel B.V.;;;;;;;;;1;;1
Vorgers Autoberging B.V.;;;;;1;;;;;;1
W.S.B. Solutions B.V.;;;;;;;;;2;;2
WaarborgHolland B.V.;;;;;;;;1;;;1
WE CANTEEN B.V.;1;;;;;;;;;;1
WEareGRUTSK;;;;;;;;1;;;1
Wensink Automotive B.V.;;;;;;;1;;;;1
Werken met Merken B.V.;;;;;;;;1;;;1
Westcon Group European Operations Netherlands;;;;;;;;;1;;1
Wolters Kluwer Nederland B.V.;;;;;;1;;;;;1
Wortmann Milieutechniek B.V.;;;;;;;1;;;;1
Xerox (Nederland) B.V.;;;;;;5;;1;7;;7
ZETES B.V.;;;;;;;;;1;;1
Zoomweg Zeeland Coldstore B.V.;;;;;1;;;;;;1
Zweegers/TCS B.V.;;;;1;;;;;;;1
Eindtotaal;3;8;7;6;11;5;7;9;11;7;13
