Leveranciers;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;6-ICT
Bureau Ten Napel;;;1;;;;;1
Business to You;;;2;;;;;2
CACI bv;;2;2;;;;;2
CAD Enzo BV;;;1;;;;;1
Caliz;;;;;;;1;1
CameraTools.nl;1;;;;;;;1
Can Diensten;;1;;;;;;1
Canon (incl. Océ Nederland);1;;;;;;;1
Capgemini;7;4;1;2;4;;;7
Casa Grande;;;;;;;1;1
Cendris (incl. Cendris Datacosulting);1;;1;;;;;1
Central Point;1;;1;;;1;;1
Centric (incl. Qualityhouse);;;1;;;;1;1
CGI Group (incl. Logica CMG);;4;4;4;;;;5
Ciber Nederland;;1;;;;;;1
Cinnamon Interactive;;;2;;;;;2
Cirquest;;1;;;;;;1
Cisco Systems International (incl. Webex);;;;;;1;;1
Citygis Homeland Security;;;2;;;;;2
Cloud Seven;;2;2;;;;;3
CloudForYou;;1;;;;;;1
CM Club Message Benelux (incl. Callfactory);;;;;;1;;1
CM Online;;;;;;1;;1
Cofely (incl. Kalibra, GTI, Fabricom Oil, en Axima Services);;;;;;;1;1
Community Network;;;;;;1;;1
Comparex (incl. PC-Ware);1;5;5;;;;;6
Computron Nijmegen B.V.;;2;;;;;;2
ComScore (vh Nedstat);;1;1;;;;;2
Concentus Marketing;;;1;;;;;1
Conrad Electronic;1;;;;;1;;1
Coolblue - Pda Shops;;;;;;1;;1
CTAC Business Services;;2;1;;;;;2
CVIS BV;;2;1;;;;;2
Dalosy Projecten;;;;;;1;;1
Dataplus Netherlands;;1;;;;;;1
DBC;;;;;;;1;1
DDC Europe;;;;;;;1;1
DDQ;;;1;;;;;1
De Telefoongids (KPN);;;;;;1;;1
De Webmakers;;2;;;;;;2
De Wilt Cyrox Groep;1;;;;;;;1
Defacto Software;;;2;;;;;2
Deloitte Consulting;;2;;;;;;2
Desan Research Solutions;;3;1;4;;;;4
Detron (incl. Kender Thijssen, Finntax, Issue Information Technology, KT);1;3;;;;;;3
DGMR Raadgevend Ingenieurs (incl. Bouw, Industrie en Milieu, Software);;;1;;;;;1
Digital Services Euregio;;1;;;;;;1
Dimension Data Nederland;1;4;1;;;;;4
DTT Multimedia;;;2;;;;;2
Duocast;;;1;;;1;;1
Dyzle Operations;;;;;;1;;1
E.Novation;;;1;;;;;1
Easydata;;;1;;;;;1
Ecommany;;;2;;;;;2
Emakina;;;1;;;;;1
En4S Consultancy;;;2;;;;;2
Entopic;;;1;;;;;1
E-Office (incl. Work21);;1;2;;;;;2
Epona Software Productions;;;1;;;;;1
Equa;;;;1;;;;1
Equinix;;;;;;;4;4
Ergo2Work (Dutchrebels Holding);1;;;;;1;;1
ErgoBrain (incl. Ergodirect);;;1;;;;;1
Ergonomique;1;;;;;;;1
Esri Nederland;;1;3;;;;;3
ETTU Portal Development;;;2;;;;;2
Eva/Eliane Vormgeving &Anders;;1;;;;;;1
Everett;;1;;;;;;1
Every Angle Software Solutions;;;3;;;;;3
Exact Software, Online;;;2;1;;;;2
E-Zorg;;;1;;;;;1
Fedex - Federal Express;;;;;;;1;1
Fenetre;1;1;;2;;;;2
Flex I.D.;;2;;;;;;2
Fortes Solutions;;1;;;;;;1
Freedom Scientific Benelux;;1;1;;;;;1
Fujitsu Technology Solutions (vh Fujitsu Siemens);;1;;;;;;1
Gaetano Productions;;;1;;;;;1
GE Healthcare;;;1;;;;;1
Geodan Holding;;;1;;;;;1
GetApped;;;1;;;;;1
Green Valley;;3;2;;;;2;4
GroupM;;;1;;;;;1
Gullimex;;;;;;1;;1
Haai;;;2;;;;;2
Hecla Groep;;1;;;;;;1
Homij;;;1;;;1;;1
Hostnet;;;;;;1;1;1
IBM (incl. Cognos);;3;3;;;;;4
ICT Partners;;2;2;;;;;3
I-design B.V.;;;1;;;;;1
IIS Services;;1;;;;;;1
Imtech (incl. Radio Holland, Bostec);1;;2;;;;;2
Incentro;;;3;;;;;3
InfoBridge Software B.V.;;;;;;;1;1
Infoland, Intranet & Interneto;;2;;;;;;2
Infopact Netwerkdiensten;;;;;;1;;1
Information Security Academy;;;1;;;;;1
Informatique Computers en Componenten;;;;;;1;;1
Informed Consulting;;1;;;;;;1
Infracom;;1;;;;;;1
Ingressus;;;1;;;;;1
Ingrid Brons;;;;;;;1;1
Innovero Software Solutions (incl. FormDesk);;;2;;;;;2
Inovativ;;1;;;;;;1
Insiders Online;;1;1;;;;1;1
Inspearit (incl. CIBIT);;;2;;;;;2
Intermax;;2;;;;1;;2
Invention Design;;;1;;;;;1
IPS Software;;;2;;;;;2
Iris-International;;1;;;;;;1
Isala Klinieken;;;1;;;;;1
ITIS incl. Quis Products;;2;2;;;;;2
iVention B.V.;;;1;;;;;1
Johnson Controls Automation Systems;;2;;;;;;2
JONGENS VAN BEHEER BV;;;1;2;;;;2
Kema;;;1;;;;;1
Keyon;;2;;;;;;2
Klinkende Taal B.V.;;;1;;;;;1
Knowledge Exchange (incl. Howardshome, Finchline Media);;;2;;;;;2
Koelairco;;1;;;;;;1
KPN (incl. Getronics, PTT Telecom);7;5;6;1;;5;1;7
KWR Water;;;;;;;2;2
L5 Communicatie Design;;;1;;;;;1
Label A;;2;;;;;;2
Lexmark International (incl. Perceptive Software);;1;;;;;;1
Linx Mobile Solutions;;1;;;;1;;1
Lyreco Nederland (vh Ahrend Office Products);1;;;;;;;1
Mavention;;;2;1;;;;2
Mavim Holding;;;2;;;;;2
Maxlead Services;;;2;;;;;2
MCS Diagnostics;1;;;;;;;1
Medisch Centrum Kinderwens Leiderdorp;;;;;;1;;1
Mettler-Toledo;;;;;;;1;1
Misco Solutions (vh SCC Services);6;3;3;;;2;;6
Movisie Fulfilment;;;;;;;1;1
Multi Post Nederland;1;;;;;;;1
National Instruments;;1;1;;;;;1
NegoMetrix;;;1;;;;;1
Net Q - Netquestionnaires Nederland;;;1;;;;;1
Netsolid;;1;;;;;;1
Netwerkperformance;;1;2;;;;;2
Network Innovations (vh 2connect-IT);1;;;;;1;;1
Networking4All;;;1;;;;;1
NIB - Nationaal Incasso Bureau;;;1;;;;;1
Nibble IT B.V.;;2;;;;;;2
Nu:Rotterdam;;1;;;;;;1
OCLC (incl. PICA);;;1;;;;;1
Ogone (incl. Ingenico);;;;;;;1;1
Olympus;1;;2;;;;;2
On-Route;1;;;;;;;1
Opslogix B.V.;;1;;;;;;1
Optima Forma;;;;;;2;;2
Oracle;;4;3;;;;;4
Ordina (incl. Be Value, Clockwork);;4;7;;;;;7
ORGPLAN LTD;;;2;;;;;2
Oribi Software;;1;1;;;;;2
PALGA Pathologisch anatomisch landelijk geautomatiseerd archief;;;;;;;2;2
Paul Dral Holding;;;1;;;;;1
PBLQ (HEC, ROI, Zenc);;;;;;;1;1
Pcextreme;;;1;;;;;1
Perfect View;;;1;;;;;1
Perkinelmer Nederland;;;1;;;;;1
Pondres Distributie;;;;;;1;;1
Postcode.nl;;;1;;;;;1
PPTstudios B.V.;;;1;;;;;1
PQR;4;2;4;;;;1;5
Procura;;;3;;;;;3
Procyon Networks;;1;;;;2;;2
Promocompany;;;;;;1;;1
Promosound;;;;;;1;;1
Protinus It;6;5;4;1;;2;;7
Q Delft;;;;2;;;;2
Qconferencing Ex'ovision;1;;;;;;;1
QuestBack;;1;;;;;;1
Quovadis Trustlink;;;1;;;;;1
Ranj;;;3;;;;;3
Ravu Stich.Region.Ambul.Voorz.;;;;;;1;;1
Red 5;;3;1;;;;;3
RedNose Ict Training en Advies;;1;;;;;;1
Relatics;;;1;;;;;1
Rigo Research en Advies;;1;;;;;;1
Ringfoto Strik;1;;;;;;;1
Robert de Boer Consultancy;;;1;;;;;1
RoosMedia;;;1;;;;;1
RPS Advies- en Ingenieursbureau (incl. Analyse, Bcc);;1;;;;;4;4
Runbook Company;;1;;;;;;1
Ruys Efficiency in Zakenpost, Handelsvereniging;;1;;1;;;;1
RVC Ruijs Visual Computing;;;;;;;2;2
Salm en Kipp;1;;;;;;;1
Sanneke Prins B.V.;;;1;;;;;1
SAP Nederland;;4;2;;;;;4
Sas Institute;;;3;;;;;3
Scholten Awater & Partners;2;1;1;;;;;2
Schuttelaar & Partners;;;1;;;;;1
SCI SERVICES BV;;;1;;;;;1
Science Plus Group;1;1;1;;;;;1
SDL Tridion;;;1;;;;;1
Sectra Communications;;;;;;2;;2
Secure Cyber Communications;;;;1;;;;1
Selectro Service bv;;1;;;;;;1
Siemens Nederland;;2;1;;;;;2
Smart Documents (incl. High Concept Software Development);;;2;;;;;2
Smile Licht en Geluid Utrecht;1;;;;;;;1
SOA Aids Nederland;;;2;;;;;2
Sogeti Nederland;;2;4;4;;;;5
Solid Image Solutions;;2;;;;;;2
Stabiplan;;1;;;;;;1
Strak Grafische Realisatie & Apple Systeembeheer;;1;1;;;;;1
Stratech;;1;;;;;;1
Studio2 Communications;;1;;;;;;1
Sumatra Software;;;;1;;;;1
Superoffice Benelux;;;;;;;1;1
SURF Shared Professional Services;;;2;;;;;2
Surfmarket (vh surfdiensten);1;2;4;;;;;4
Surfnet;;;;;;2;4;4
Sysmex (vh Goffin Meyvis);1;;;;;;;1
Systeemhuis Compri;;1;;;;;1;1
T&T Compet&T;;;;;4;;;4
Tam Tam;;2;;;;;;2
Tangram Automatisering;;;1;;;;;1
Technische Unie;1;;;;;;;1
Technolution;1;3;1;;;;;3
TELDACOM IT SERVICES BV;;;;;;1;;1
Tele2 (incl. Versatel, BBeyond);;;;;;2;;2
Telecom Service Groep;;1;;;;1;;1
Telindus (incl. ISIT, 2-Store);7;5;2;;;;;7
The Courseware Company;;;;;;;2;2
The MathWorks;;;1;;;;;1
THE VOIPCOMPANYBV;;;;;;1;;1
Thermo Fisher Scientific (incl. Fisher Emergo, Fermentas);;2;1;;;;2;3
Topdesk;;2;2;;;;;3
Topicus Zorg, Onderwijs, Finance;;;1;;;;7;7
Transfer Solutions, Consulting, Education;;;1;;;;;1
Triple P Nederland;1;4;1;;;4;1;5
Triptic;;;1;;;2;;2
TriV Internet Solutions;;;1;;;;;1
TWC Automatiseringsdienst ;1;1;2;;;;;2
Uitgetypt.nl (inc transcript.nl);;;;;;;1;1
Update Go Relate Software;;;3;;;;;3
Uptrends;;;;1;;;;1
Utica B.V.;;1;;;;;;1
Van Dale Uitgevers;;;1;;;;;1
Vanveen Informatica (Goodzo);;;;;;;2;2
VCD Groep (incl. Automatisering/Business Inteligence/Css);;;;;;;4;4
Ventoux Audivisuele communicatie;;;1;;;;;1
VERGADER TELEFONISCH.NL;;;;;;1;;1
Vhs-Pqs Nederland;;;1;;;;;1
Viadesk;;2;3;;;;;4
VitalHealth Software;;;;;;;1;1
Vodafone (incl. Libertel);;;;;;5;;5
VSL (vh NMi van Swinden Laboratorium);;1;;;;;;1
Waters Chromatography;1;;;;;;;1
Webservices.nl;;;1;;;;;1
Whitevision;;2;;;;;;2
Widexs;;;1;;;;;1
Willems Koeltechniek;;;;1;;;;1
Worksphere - Stork en Strukton;2;1;;;;;;2
Xelion;;3;;;;;;3
Xerox;1;5;;;;;;5
XL Profs BV;;;1;;;;;1
Xmark Services;;;;;;1;;1
Xolphin;;;1;;1;1;;1
X-pact Stichting Beheer Derdengelden;;;;;1;;;1
XS4ALL Internet;;;;;;1;;1
Yes Telecom Netherlands;;;;;;1;;1
Yourhosting;;;;;;1;;1
Youwe Creative (incl. OOiP20);;1;;;;;;1
Zaaks;;;1;;;;;1
Zetacom;;2;;;;2;;2
Zetes;;;1;;;;;1
Ziggo (vh Casema);1;;;;;1;;1
Zilverlijn Communicatie & Interactie;;;2;;;;;2
Z-Index;;;1;;;;;1
Zinnebeeld;;;;1;;;;1
ZyLAB Benelux;;1;;;;;;1
Eindtotaal;8;8;8;6;5;7;7;9
