;Departement;Sector;Organisatie;Plaats;Functienaam;Motivatie;
18;BZK;Provincies;Provincie Drenthe;ASSEN;Commissaris van de Koningin;Bij de beloning is de BZK-circulaire gehanteerd. De overschrijding wordt m.n. veroorzaakt door de pensioenen, waarbij zowel het werkgevers- als het werknemersdeel bij elkaar geteld worden.     ;
19;BZK;Provincies;Provincie Fryslan;LEEUWARDEN;Commissaris der Koningin;Beloning is conform geldende regelingen voor Commissarissen der Koningin.     ;
20;BZK;Provincies;Provincie Utrecht;UTRECHT;Commissaris van de Koningin;"- Fiscale bijtelling auto van de zaak.
- Uitbetaling compensatie wegens auto van de zaak.     ";
21;BZK;Provincies;Provincie Zeeland;MIDDELBURG;commissaris vd koningin;bijtelling fiskale auto vd zaak is reden van overschrijding     ;
22;BZK;Provincies;Provincie Zuid-Holland;DEN HAAG;Commissaris van de Koningin;GS hebben bij besluit van maart 2009 besloten de fiscale bijtelling van de CDK ivm zijn dienstauto te compenseren. Daarmee komt zijn inkomen hoger uit dan het normbedrag.     ;
23;BZK;Rijk (incl. Defensie en Rechterlijke macht);Ministerie van Binnenlandse Zaken;DEN HAAG;afdelingshoofd bij BZK;Uitkering Besluit Sociaal Flankerend Beleid Ä†48†743,22 en uitbetaling van zelf opgebouwde levensloopvoorziening Ä†62†630,81Ontslag per 1-12-2011    ;
24;BZK;Rijk (incl. Defensie en Rechterlijke macht);Ministerie van Binnenlandse Zaken;DEN HAAG;Buitengewoon Adviseur van BZK;40-urige werkweek en variabele inkomensbestanddelen     ;
25;BZK;Rijk (incl. Defensie en Rechterlijke macht);Ministerie van Binnenlandse Zaken;DEN HAAG;Buitengewoon Adviseur van BZK;40-urige werkweek en variabele inkomensbestanddelen     ;
26;BZK;Rijk (incl. Defensie en Rechterlijke macht);Ministerie van Binnenlandse Zaken;DEN HAAG;Buitengewoon Adviseur van BZK;40-urige werkweek en variabele inkomensbestanddelen     ;
27;BZK;Rijk (incl. Defensie en Rechterlijke macht);Ministerie van Binnenlandse Zaken;DEN HAAG;Deltacommissaris;38-urige werkweek en variabele inkomensbestanddelen     ;
28;BZK;Rijk (incl. Defensie en Rechterlijke macht);Ministerie van Binnenlandse Zaken;DEN HAAG;Directeur ABD TOP Consultants van BZK;40-urige werkweek en variabele inkomensbestanddelen     ;
29;BZK;Rijk (incl. Defensie en Rechterlijke macht);Ministerie van Binnenlandse Zaken;DEN HAAG;implementatiemanager bij BZK;Uitkering Besluit Sociaal Flankerend Beleid Ä†125†259,01Ontslag per 15-8-2011    ;
30;BZK;Rijk (incl. Defensie en Rechterlijke macht);Ministerie van Binnenlandse Zaken;DEN HAAG;SG BZK;40-urige werkweek en variabele inkomensbestanddelen (inclusief achterstallige betaling 2008ñ2010)     ;
31;BZK;Rijk (incl. Defensie en Rechterlijke macht);Ministerie van Defensie;DEN HAAG;SG DEF;40-urige werkweek en variabele inkomensbestanddelen     ;
32;BZK;Rijk (incl. Defensie en Rechterlijke macht);Ministerie van Economie, Landbouw en Innovatie;DEN HAAG;IG Raad van Bestuur Nieuwe Voedsel en Waren Autoriteit van EL&I;40-urige werkweek en variabele inkomensbestanddelen     ;
33;Defensie;Rijk (incl. Defensie en Rechterlijke macht);Ministerie van Defensie;DEN HAAG;Een officier medisch specialist;Bij functie passende emolumentenInkomsten betreffen niet alleen salaris: uitbetaling meerjarige bindingspremie Ä†33†930, toelage officieren-arts Ä†19†007 (abusievelijk dubbel betaald), toelage officieren-medisch specialist Ä†23†155, functioneringstoelage Ä†2†120, beloning Ä†2†083 en 40-urige werkweek Ä†6†169.    ;
34;EZ;Overig;Kamer van Koophandel Nederland;WOERDEN;Directeur Bureau Handelsregister;Salaris is vastgesteld bij indiensttreding bij KvK NL op basis van geldende salarisafspraken (gebaseerd op landelijk remuneratiekader)     ;
35;EZ;Overig;Kamer van Koophandel Nederland;WOERDEN;Waarnemend Algemeen Directeur;Salaris is vastgesteld bij indiensttreding bij KvK NL op basis van geldende salarisafspraken (gebaseerd op landelijk remuneratiekader)     ;
36;EZ;Overig;NV Industriebank LIOF;MAASTRICHT;algemeen directeur;conform arbeidsovereenkomst bekend bi EL&I     ;
37;EZ;Overig;NV NOM, Investerings- en Ontwikkelingsmaatschappij voor Noord-Nederland;GRONINGEN;Directeur;Storting in levensloopregeling vanuit uitbetaling vakantiedagen     ;
38;EZ;Overig;NV NOM, Investerings- en Ontwikkelingsmaatschappij voor Noord-Nederland;GRONINGEN;Plaatsvervangend directeur 2;"Overschrijding basis salaris, omdat het salaris is overeengekomen voor inwerkingtreding WOPT
Ontslagvergoeding vastgesteld door kantonrechter     ";
39;EZ;Overig;Sociaal-Economische Raad;DEN HAAG;voorzitter;Het belastbaar loon is (1) inclusief de fiscale bijtelling i.v.m. medegebruik dienstauto voor nevenfuncties (2011: ‚Ç¨22.430) en compensatie van het hieruit voortvloeiende fiscale nadeel (2011: ‚Ç¨24.300) en (2) inclusief een belaste pensioenbijdrage ter compensatie van het feit dat de voorzitter niet in een pensioenregeling is opgenomen (2011: ‚Ç¨29.445).     ;
40;EZ;Overig;Stichting Energieonderzoek Centrum Nederland;PETTEN;Directeur;Conform opgave RVT     ;
41;EZ;ZBO's;Centraal Bureau voor de Statistiek (CBS);DEN HAAG;Directeur-Generaal;De beloning van de Directeur-Generaal wordt vastgesteld door de Minister van EL&I op voorstel van de voorzitter van de CCS.     ;
42;EZ;ZBO's;Kamer van Koophandel Brabant;EINDHOVEN;Algemeen directeur;De beloning van de huidige algemeen directeur van de Kamer van Koophandel Brabant is het gevolg van keuzes, die in het verleden door het bestuur van de Kamer zijn gemaakt. In 2001 is een advies uitgebracht door een terzake kundig bureau, waarin aanbevolen werd de beloning van de directie te koppelen aan het niveau van een middelgrote organisatie in het bedrijfsleven. In het advies is vervolgens een concreet voorstel gedaan voor het exacte beloningsniveau. Aanvullend heeft het bestuur hiermee ingestemd en is dit geÎffectueerd.     ;
43;EZ;ZBO's;Kamer van Koophandel Brabant;EINDHOVEN;Directeur;Beloning vindt plaats o.b.v. het remuneratiekader zoals vastgesteld doot het bestuur van de Kamer van Koophandel Nederland     ;
44;EZ;ZBO's;Kamer van Koophandel en Fabrieken Den Haag;DEN HAAG;Algemeen Directeur;ivm uit dienstreding extra afrekening van vakantiegeld, vakantiedagen en jubileumgratificatie. Tevens eenmalige gratificatie over 2010 die eigenlijk in 2010 uitbetaald had moeten worden     ;
45;EZ;ZBO's;Kamer van Koophandel en Fabrieken voor Amsterdam;AMSTERDAM;Algemeen directeur;De bezoldiging van de Algemeen directeur overschreed de norm van het gemiddelde belastbaar loon Ministers over 2011, als gevolg van marktconforme beloning. Sinds de indiensttreding van de directeur is uitsluitend sprake van de landelijke overeengekomen trendmatige verhoging van het salaris zoals dat voor al het personeel van de Kamers van Koophandel in Nederland van toepassing is.     ;
46;EZ;ZBO's;Kamer van Koophandel en Fabrieken voor Centraal Gelderland;ARNHEM;Algemeen Directeur;"Het salarisniveau van de directie is in 2006 vastgesteld door het Dagelijks Bestuur op basis van de regeling arbeidsvoorwaarden KvK Nederland, opgesteld door Bureau Berenschot in 2005. Het plafond van de beloning is medio 2008 bereikt toen overgegaan werd op een ÈÈnhoofdige
leiding.
Door het Rechtspositiebesluit Kamers van Koophandel geldt per 1 januari 2009 de CAO Rijk (ARAR en BBRA) voor alle medewerkers van de KvK inclusief de directie. Dit betekent dat vanaf deze datum collectieve CAO verhogingen ook toegepast worden op het salaris van de directie.     ";
47;EZ;ZBO's;Kamer van Koophandel en Fabrieken voor Midden Nederland;UTRECHT;Directeur;De bezoldiging van de Algemeen directeur overschreed de norm van het gemiddelde belastbaar loon Ministers over 2010, als gevolg van marktconforme beloning. De algemeen directeur heeft bij het aantreden in 2001 bij de KvK Utrecht met het bestuur een overeenkomst gesloten omtrent de arbeidsvoorwaarden en beloning. Sinds de fusie naar de KvK Midden-Nederland in 2008 zijn deze opgenomen in het algemeen arbeidsvoorwaarden beleid onder de ARAR. Vanaf 2008 is uitsluitend sprake van de landelijke overeengekomen trendmatige verhoging van het salaris zoals dat voor al het personeel van de Kamers van Koophandel in Nederland van toepassing is.     ;
48;EZ;ZBO's;Kamer van Koophandel Zuidwest-Nederland;BREDA;Algemeen Directeur;Verkoop van vakantiedagen, de fiscale bijtelling i.v.m. een lease-auto en in het verleden toegekende arbeidsvoorwaarden en beloning.     ;
49;EZ;ZBO's;Onafhankelijke Post- en Telecommunicatie Autoriteit;DEN HAAG;Voorzitter van het College;Overeengekomen loon     ;
50;FIN;ZBO's;Nederlandse Orde van Accountants-Administratieconsulenten;Amsterdam;Algemeen directeur;Vooruitlopend op de inwerkingtreding van de Wet op het accountantsberoep, is eind 2010 een start gemaakt met de integratie van het bureau van de NOvAA en het bureau NIVRA. De algemeen directeur van de NOvAA vervult sinds eind 2010 de functie van algemeen directeur van beide bureau's (NBA), waardoor zij een grotere organisatie aanstuurt.     ;
51;FIN;ZBO's;Nederlandse Orde van Accountants-Administratieconsulenten;Amsterdam;Bestuurssecretaris;Eenmalige overschrijding door koopsom backservice     ;
52;FIN;ZBO's;Nivra;AMSTERDAM;Directeur;Deze beloning is hoger dan het gemiddelde belastbare loon van de ministers. Dit hangt samen met het specialistische karakter van de taken. Het NIVRA concurreert op een krappe arbeidsmarkt van deskundige en ervaren managers en registeraccountants met ervaring bij de grote accountantskantoren en financiÎle instellingen. De beloningen dienen in relatie te staan tot de arbeidsvoorwaarden van dat soort functies.     ;
53;FIN;ZBO's;Nivra;AMSTERDAM;Manager;Deze beloning is hoger dan het gemiddelde belastbare loon van de ministers. Dit hangt samen met het specialistische karakter van de taken. Het NIVRA concurreert op een krappe arbeidsmarkt van deskundige en ervaren managers en registeraccountants met ervaring bij de grote accountantskantoren en financiÎle instellingen. De beloningen dienen in relatie te staan tot de arbeidsvoorwaarden van dat soort functies.     ;
54;FIN;ZBO's;Nivra;AMSTERDAM;Manager;Deze beloning is hoger dan het gemiddelde belastbare loon van de ministers. Dit hangt samen met het specialistische karakter van de taken. Het NIVRA concurreert op een krappe arbeidsmarkt van deskundige en ervaren managers en registeraccountants met ervaring bij de grote accountantskantoren en financiÎle instellingen. De beloningen dienen in relatie te staan tot de arbeidsvoorwaarden van dat soort functies.     ;
55;FIN;ZBO's;Nivra;AMSTERDAM;Manager;Deze beloning is hoger dan het gemiddelde belastbare loon van de ministers. Dit hangt samen met het specialistische karakter van de taken. Het NIVRA concurreert op een krappe arbeidsmarkt van deskundige en ervaren managers en registeraccountants met ervaring bij de grote accountantskantoren en financiÎle instellingen. De beloningen dienen in relatie te staan tot de arbeidsvoorwaarden van dat soort functies.     ;
56;FIN;ZBO's;Stichting Autoriteit Financiele Markten;AMSTERDAM;Bestuurslid;De beloning van de bestuurders en van enkele andere functionarissen van de AFM bedraagt meer dan het gemiddelde belastbare loon van de ministers zoals jaarlijks wordt vastgesteld door het Ministerie van Binnenlandse Zaken en Koninkrijksrelaties. Deze hogere beloning hangt samen met het feit dat de toezichthoudende taken van de AFM een specialistisch karakter hebben. De AFM concurreert daardoor bij het aantrekken van medewerkers met de financi√´le marktsector. De AFM zoekt immers deskundige en ervaren medewerkers en bestuurders met een achtergrond als (register)accountant, specialist in financieel recht, financieel analist, effectenspecialisten en dergelijke, en met werkervaring bij grote accountantskantoren, advocatenkantoren of financi√´le instellingen. De beloningen dienen dan ook in redelijke verhouding te staan tot arbeidsvoorwaarden voor dergelijke functies. Voor de beloningen van de bestuurders geldt dat deze, na te zijn vastgesteld door de Raad van Toezicht, de instemming behoeven van de minister van Financi√´n. De minister heeft voor het laatst in zijn brief van 16 mei 2011 aan de Tweede Kamer het beloningsbeleid t.a.v. de bestuurders van de AFM uiteengezet. Voor de bestuurders is tevens de brief van 8 juni 2007 aan de Tweede Kamer relevant. De pensioenpremieberekening vindt op individuele basis plaats (en dus niet, zoals bij veel andere pensioenfondsen gebruikelijk is, op basis van een doorsneepremie). Door de berekening op individuele basis ontstaan bij gelijke salarissen, verschillen tussen de premiebedragen afhankelijk van leeftijd en eerder in het pensioenfonds opgebouwde rechten. Voor oudere werknemers zijn de zo berekende premies hoog, voor jongeren laag, terwijl zij bij een doorsneepremie voor beiden gemiddeld zijn.     ;
57;FIN;ZBO's;Stichting Autoriteit Financiele Markten;AMSTERDAM;Bestuurslid;De beloning van de bestuurders en van enkele andere functionarissen van de AFM bedraagt meer dan het gemiddelde belastbare loon van de ministers zoals jaarlijks wordt vastgesteld door het Ministerie van Binnenlandse Zaken en Koninkrijksrelaties. Deze hogere beloning hangt samen met het feit dat de toezichthoudende taken van de AFM een specialistisch karakter hebben. De AFM concurreert daardoor bij het aantrekken van medewerkers met de financi√´le marktsector. De AFM zoekt immers deskundige en ervaren medewerkers en bestuurders met een achtergrond als (register)accountant, specialist in financieel recht, financieel analist, effectenspecialisten en dergelijke, en met werkervaring bij grote accountantskantoren, advocatenkantoren of financi√´le instellingen. De beloningen dienen dan ook in redelijke verhouding te staan tot arbeidsvoorwaarden voor dergelijke functies. Voor de beloningen van de bestuurders geldt dat deze, na te zijn vastgesteld door de Raad van Toezicht, de instemming behoeven van de minister van Financi√´n. De minister heeft voor het laatst in zijn brief van 16 mei 2011 aan de Tweede Kamer het beloningsbeleid t.a.v. de bestuurders van de AFM uiteengezet. Voor de bestuurders is tevens de brief van 8 juni 2007 aan de Tweede Kamer relevant. De pensioenpremieberekening vindt op individuele basis plaats (en dus niet, zoals bij veel andere pensioenfondsen gebruikelijk is, op basis van een doorsneepremie). Door de berekening op individuele basis ontstaan bij gelijke salarissen, verschillen tussen de premiebedragen afhankelijk van leeftijd en eerder in het pensioenfonds opgebouwde rechten. Voor oudere werknemers zijn de zo berekende premies hoog, voor jongeren laag, terwijl zij bij een doorsneepremie voor beiden gemiddeld zijn.     ;
58;FIN;ZBO's;Stichting Autoriteit Financiele Markten;AMSTERDAM;Directeur;De beloning van de bestuurders en van enkele andere functionarissen van de AFM bedraagt meer dan het gemiddelde belastbare loon van de ministers zoals jaarlijks wordt vastgesteld door het Ministerie van Binnenlandse Zaken en Koninkrijksrelaties. Deze hogere beloning hangt samen met het feit dat de toezichthoudende taken van de AFM een specialistisch karakter hebben. De AFM concurreert daardoor bij het aantrekken van medewerkers met de financi√´le marktsector. De AFM zoekt immers deskundige en ervaren medewerkers en bestuurders met een achtergrond als (register)accountant, specialist in financieel recht, financieel analist, effectenspecialisten en dergelijke, en met werkervaring bij grote accountantskantoren, advocatenkantoren of financi√´le instellingen. De beloningen dienen dan ook in redelijke verhouding te staan tot arbeidsvoorwaarden voor dergelijke functies. Voor de beloningen van de bestuurders geldt dat deze, na te zijn vastgesteld door de Raad van Toezicht, de instemming behoeven van de minister van Financi√´n. De minister heeft voor het laatst in zijn brief van 16 mei 2011 aan de Tweede Kamer het beloningsbeleid t.a.v. de bestuurders van de AFM uiteengezet. Voor de bestuurders is tevens de brief van 8 juni 2007 aan de Tweede Kamer relevant. De pensioenpremieberekening vindt op individuele basis plaats (en dus niet, zoals bij veel andere pensioenfondsen gebruikelijk is, op basis van een doorsneepremie). Door de berekening op individuele basis ontstaan bij gelijke salarissen, verschillen tussen de premiebedragen afhankelijk van leeftijd en eerder in het pensioenfonds opgebouwde rechten. Voor oudere werknemers zijn de zo berekende premies hoog, voor jongeren laag, terwijl zij bij een doorsneepremie voor beiden gemiddeld zijn.     ;
59;FIN;ZBO's;Stichting Autoriteit Financiele Markten;AMSTERDAM;Hoofd;De beloning van de bestuurders en van enkele andere functionarissen van de AFM bedraagt meer dan het gemiddelde belastbare loon van de ministers zoals jaarlijks wordt vastgesteld door het Ministerie van Binnenlandse Zaken en Koninkrijksrelaties. Deze hogere beloning hangt samen met het feit dat de toezichthoudende taken van de AFM een specialistisch karakter hebben. De AFM concurreert daardoor bij het aantrekken van medewerkers met de financi√´le marktsector. De AFM zoekt immers deskundige en ervaren medewerkers en bestuurders met een achtergrond als (register)accountant, specialist in financieel recht, financieel analist, effectenspecialisten en dergelijke, en met werkervaring bij grote accountantskantoren, advocatenkantoren of financi√´le instellingen. De beloningen dienen dan ook in redelijke verhouding te staan tot arbeidsvoorwaarden voor dergelijke functies. Voor de beloningen van de bestuurders geldt dat deze, na te zijn vastgesteld door de Raad van Toezicht, de instemming behoeven van de minister van Financi√´n. De minister heeft voor het laatst in zijn brief van 16 mei 2011 aan de Tweede Kamer het beloningsbeleid t.a.v. de bestuurders van de AFM uiteengezet. Voor de bestuurders is tevens de brief van 8 juni 2007 aan de Tweede Kamer relevant. De pensioenpremieberekening vindt op individuele basis plaats (en dus niet, zoals bij veel andere pensioenfondsen gebruikelijk is, op basis van een doorsneepremie). Door de berekening op individuele basis ontstaan bij gelijke salarissen, verschillen tussen de premiebedragen afhankelijk van leeftijd en eerder in het pensioenfonds opgebouwde rechten. Voor oudere werknemers zijn de zo berekende premies hoog, voor jongeren laag, terwijl zij bij een doorsneepremie voor beiden gemiddeld zijn.     ;
60;FIN;ZBO's;Stichting Autoriteit Financiele Markten;AMSTERDAM;Hoofd;De beloning van de bestuurders en van enkele andere functionarissen van de AFM bedraagt meer dan het gemiddelde belastbare loon van de ministers zoals jaarlijks wordt vastgesteld door het Ministerie van Binnenlandse Zaken en Koninkrijksrelaties. Deze hogere beloning hangt samen met het feit dat de toezichthoudende taken van de AFM een specialistisch karakter hebben. De AFM concurreert daardoor bij het aantrekken van medewerkers met de financi√´le marktsector. De AFM zoekt immers deskundige en ervaren medewerkers en bestuurders met een achtergrond als (register)accountant, specialist in financieel recht, financieel analist, effectenspecialisten en dergelijke, en met werkervaring bij grote accountantskantoren, advocatenkantoren of financi√´le instellingen. De beloningen dienen dan ook in redelijke verhouding te staan tot arbeidsvoorwaarden voor dergelijke functies. Voor de beloningen van de bestuurders geldt dat deze, na te zijn vastgesteld door de Raad van Toezicht, de instemming behoeven van de minister van Financi√´n. De minister heeft voor het laatst in zijn brief van 16 mei 2011 aan de Tweede Kamer het beloningsbeleid t.a.v. de bestuurders van de AFM uiteengezet. Voor de bestuurders is tevens de brief van 8 juni 2007 aan de Tweede Kamer relevant. De pensioenpremieberekening vindt op individuele basis plaats (en dus niet, zoals bij veel andere pensioenfondsen gebruikelijk is, op basis van een doorsneepremie). Door de berekening op individuele basis ontstaan bij gelijke salarissen, verschillen tussen de premiebedragen afhankelijk van leeftijd en eerder in het pensioenfonds opgebouwde rechten. Voor oudere werknemers zijn de zo berekende premies hoog, voor jongeren laag, terwijl zij bij een doorsneepremie voor beiden gemiddeld zijn.     ;
61;FIN;ZBO's;Stichting Autoriteit Financiele Markten;AMSTERDAM;Voorzitter;De beloning van de bestuurders en van enkele andere functionarissen van de AFM bedraagt meer dan het gemiddelde belastbare loon van de ministers zoals jaarlijks wordt vastgesteld door het Ministerie van Binnenlandse Zaken en Koninkrijksrelaties. Deze hogere beloning hangt samen met het feit dat de toezichthoudende taken van de AFM een specialistisch karakter hebben. De AFM concurreert daardoor bij het aantrekken van medewerkers met de financi√´le marktsector. De AFM zoekt immers deskundige en ervaren medewerkers en bestuurders met een achtergrond als (register)accountant, specialist in financieel recht, financieel analist, effectenspecialisten en dergelijke, en met werkervaring bij grote accountantskantoren, advocatenkantoren of financi√´le instellingen. De beloningen dienen dan ook in redelijke verhouding te staan tot arbeidsvoorwaarden voor dergelijke functies. Voor de beloningen van de bestuurders geldt dat deze, na te zijn vastgesteld door de Raad van Toezicht, de instemming behoeven van de minister van Financi√´n. De minister heeft voor het laatst in zijn brief van 16 mei 2011 aan de Tweede Kamer het beloningsbeleid t.a.v. de bestuurders van de AFM uiteengezet. Voor de bestuurders is tevens de brief van 8 juni 2007 aan de Tweede Kamer relevant. De pensioenpremieberekening vindt op individuele basis plaats (en dus niet, zoals bij veel andere pensioenfondsen gebruikelijk is, op basis van een doorsneepremie). Door de berekening op individuele basis ontstaan bij gelijke salarissen, verschillen tussen de premiebedragen afhankelijk van leeftijd en eerder in het pensioenfonds opgebouwde rechten. Voor oudere werknemers zijn de zo berekende premies hoog, voor jongeren laag, terwijl zij bij een doorsneepremie voor beiden gemiddeld zijn.     ;
62;LNV;Beroeps- en volwasseneneducatie;Kennis- en communicatiecentrum voedsel en leefomgeving -Aequor;Ede;directeur;Incl loonkosten 2012 ivm recht op vrijstelling van werk in jaar 2012     ;
63;OCW;Beroeps- en volwasseneneducatie;Stichting ROC Amsterdam eo;AMSTERDAM;Lid CvB;Het basissalaris van deze bestuurder is gebaseerd op de in het verleden verworven rechten en valt binnen de kaders van de adviesregeling 'de beloning van de bestuurders van MBO-instellingen'. Zie verder de papieren versie van het jaarverslag inclusief de jaarrekening.     ;
64;OCW;Beroeps- en volwasseneneducatie;Stichting ROC Amsterdam eo;AMSTERDAM;Lid CvB;Het basissalaris van deze bestuurder is gebaseerd op de in het verleden verworven rechten en valt binnen de kaders van de adviesregeling 'de beloning van de bestuurders van MBO-instellingen'. Zie verder de papieren versie van het jaarverslag inclusief de jaarrekening     ;
65;OCW;Beroeps- en volwasseneneducatie;Stichting ROC Amsterdam eo;AMSTERDAM;Voorzitter CvB;Het basissalaris van deze bestuurder is gebaseerd op de in het verleden verworven rechten en valt binnen de kaders van de adviesregeling 'de beloning van de bestuurders van MBO-instellingen'. Zie verder de papieren versie van het jaarverslag inclusief de jaarrekening.     ;
66;OCW;Hoger Beroepsonderwijs;Avans Hogeschool;Tilburg;Lid College van Bestuur;Bezoldiging conform uitwerking bezoldiging bestuurders Hogescholen     ;
67;OCW;Hoger Beroepsonderwijs;Avans Hogeschool;Tilburg;Lid College van Bestuur;Bezoldiging conform uitwerking bezoldiging bestuurders Hogescholen     ;
68;OCW;Hoger Beroepsonderwijs;Avans Hogeschool;Tilburg;Voorzitter College van Bestuur;Bezoldiging conform uitwerking bezoldiging bestuurders     ;
69;OCW;Hoger Beroepsonderwijs;Christelijke Hogeschool Ede;Ede (GLD);Bestuurder;nvt     ;
70;OCW;Hoger Beroepsonderwijs;Christelijke Hogeschool Windesheim;Zwolle;Voorzitter College van Bestuur;De bezoldiging van de leden van het College van Bestuur wordt vastgesteld door de Raad van Toezicht binnen de kaders van de desbetreffende adviesregelingen voor de hogescholen. NB: datum uit dienst is einddatum contract.     ;
71;OCW;Hoger Beroepsonderwijs;Hogeschool INHOLLAND;Den Haag;Voormalig Directeur;In verband met vervallen functie van directeur, en dat partijen in overleg zijn getreden en onderling overeenstemming is bereikt over een gewijzigde voortzetting van de arbeidsovereenkomst, is aan betrokken functionaris een bedrag van ‡ 86.000 ter beschikking gesteld en door de werkgever gestort in het ABP extrapensioen voor betrokkene.     ;
72;OCW;Hoger Beroepsonderwijs;Hogeschool INHOLLAND;Den Haag;Voormalig Vice-Voorzitter College van Bestuur;In verband met ontslag per 1 maart 2011 heeft betrokkene nog 2 maanden salaris ontvangen op grond van regelement ‚ÄúUitwerking bezoldiging bestuurders hogescholen‚Äù en is een ontslagvergoeding cq schadeloosstelling, overeenkomstig gestelde in arbeidsovereenkomst en conform afspraak met Belastingdienst, uitbetaald als bruto uitkering via de salarisbetaling in kalenderjaar (fiscale) jaar 2011, binnen 4 weken na beÎindiging dienstverband per 1-3-2011     ;
73;OCW;Hoger Beroepsonderwijs;Hogeschool INHOLLAND;Den Haag;Voormalig Voorzitter College van Bestuur;Ontslagvergoeding cq schadeloosstelling is overeenkomstig gestelde in arbeidsovereenkomst en conform afspraak met Belastingdienst uitbetaald als brutouitkering via de salarisbetaling in kalenderjaar (fiscale) jaar 2011, binnen 4 weken na beÎindiging dienstverband per 1-1-2011.     ;
74;OCW;Hoger Beroepsonderwijs;Hogeschool Rotterdam;Rotterdam;Voorzitter CvB;doortrekken van arbeidsvoorwaarden vanuit het verleden     ;
