Handelsnaam;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;5210 - Wagenpark;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;8110 - Vakliteratuur, abonnementen en overige informatie;8510 - Diversen communicatie;9302 - Laboratoriummaterialen;9590 - V&J specifiek;Eindtotaal
4Com Solutions B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;2
4D organisatieontwikkeling & opleiding;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
4Dental Holding N.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
4DotNet B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
4-FEET Services;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
4Meetings & Events;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
5 broden 2 vissen;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
5hart-IT Opleidingen B.V.;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
61.IFH geschlossener Immobilienfonds für Holland GmbH & Co;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2
7AM Den Haag B.V.;;;1;;1;;1;;;;;;;;;;1;;;;;;;;;;;;;2;;;;;;;3
A & C Presentations;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1
A & H Akachar B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
A & P Investments B.V.;;;2;;1;;1;;;;;;2;1;1;1;1;1;3;2;;1;;1;1;;1;;;2;;;;;;6;6
A C Kenniscentrum;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
A Cup of Cake;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A Guide to Leeuwarden;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A Matter of Taste B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;3
A MTAC;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A&A Bloemen;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
A&M Zadeh Esmail/Délifrance Breda Centrum;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A. Beverwijk en Zonen B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;1
A-. en J. Luitjens B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
A. Hormann Training & Coaching;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A. Kentie & Zoon;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
A. Langeveld V.O.F.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A. Rietveld Boekbinderij;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;1
A. Timmerman's IJzerhandel B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;2
A. Tufi t.h.o.d.n. Supervlaai;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
A. van Gaal B.V.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
A. van Helden Relatiegeschenken B.V.;;;1;;;;;;;;;;;;;;2;;;1;;;;;;;;;;;;;;;;1;2
A. Woerdman, huisarts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
A.A.L.O.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A.B. van Vugt B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
A.C. de Boer Brood-Banket-Grootverbruik;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A.F.M. Kral t.h.o.d.n. The Read Shop Express;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A.G. Advies B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
A.G. Installatiebedrijf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
A.H.L. Westerouen Van Meeteren;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A.J. van Deudekom B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
A.J.C. Hazenberg KNO-arts B.V.;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A.J.R. Vijgen-Muijrers Beheer B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
A.M. Knook Vastgoed B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
A.M.I. Complete Project Interieurs;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;2;;;;;;;2
A.P. van der Pijl Holding B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A.P.F. Toonen Beheer B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A.P.S.;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;4;4
A.P.S. Esserheem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
A.P.S. Leeuwarden V.O.F.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
A.P.S. Nieuwegein;;;1;;;;;;;;;;1;;;1;1;;;;;;;;;;;;;;;;;;;2;2
A.P.S. Services B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3
A.Schouten, orthopedagoog en gz psycholoog;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
A10Tech B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
A12 Van der Valk Hotel Veenendaal B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
A3 Koel- en Vriestechniek B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
a4 Training;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
AAA Display B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
AAA Service;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Aaaaha! The Actor Factory B.V.;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;1
AAB Beveiligingen B.V.;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;1;;;;;;;2
aadesign;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Aakwadraat Networks B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Aalders Wassalon/Stomerij;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aalsmeerse Bloemenshow B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aaltje Vincent & Company;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AandachtsPunt;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aanhangwagenbedrijf Van de Burgwal;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;1
Aannemersbedrijf Berlicum B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Aannemersbedrijf Bruining B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2
Aannemersbedrijf G.B. van Hoek B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;1;1
Aannemersbedrijf M.J. Teunissen B.V.;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;1;;;;;;;1
Aannemersbedrijf Peters B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2
Aannemersbedrijf Versteeg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2
Aannemingsbedrijf C. Hoogvliet en Zonen B.V.;;;;;;;;;;;;;;1;;;;;3;1;;;;;;;;;;4;;;;;;1;5
Aannemingsbedrijf Doornbos B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Aannemingsbedrijf Hoefakker B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Aannemingsbedrijf van Sabben B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Aannemingsmaatschappij P.A. Wiersma B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;1
AantjesZevenberg Advocaten;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
AAP Klimsportspecialist B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Aardoom & De Jong B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aarnoudse Sleutelmaker;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Aaron A. de Haas Training B.V.;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Aartsen Hekman Lodder Advocaten;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AAS Opleiding en Training;;;;;1;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;2
AATaxi Zwolle;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AB Tax;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AB Texel Fresh Transport B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
ABAB Accountants B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Abalco Service B.V.;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1
Abbey Conference & Corporate;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ABC American Buffet Corner B.V.;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
ABC communicatie & mediaproducties;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
ABC Events Nederland;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ABC Incasso B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
ABC Theatrical Distribution B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
ABC Winkelinrichting V.O.F.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
ABCourant NV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Abdijhuis;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Abel. Grand Café Restaurant B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Abiom Communication Systems (A.C.S.) B.V.;;;1;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;4
Abma Schreurs Advocaten B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ABN AMRO Arbo Services B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5
ABO Opleidingen V.O.F.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Aboma;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Abonnementenland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;1
About Time Institute People Investors (ATIP);;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1
Abrikoos Utrecht B.V.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
ABS Boekhorst Arnhem Noord;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Absoluta Food and Facilities B.V.;;;1;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Absolute Delicious;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Abson C.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
ABV Haukes Inspectiediensten B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Aby Teleconsulting;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Academia Talen;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Academie Amsterdam;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Academie Lokale Belastingen;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Academie voor arbeidsmarktcommunicatie B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Academie voor de Rechtspraktijk B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Academie voor Management;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Academie voor Motivatie en Gedragsverandering;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Academie voor Organisatiecultuur;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Academisch Medisch Centrum;;;;;1;;;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;4;2;5
Academisch Ziekenhuis Maastricht;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;3
Academy for Information and Management B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Academy for Leadership B.V.;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Academy of Logistics;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Acapture B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Acato;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;1
Accare Deventer;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Accent Organisatie Advies B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Accenture B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;7
Acces Toegangstechniek;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;1
Access It Training & Solutions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Acclon Technologies B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Accor Hospitality Nederland N.V.;;;;;1;;2;;;;;;;;;;1;;;;;;;;;;;;;2;;;;;;;3
Accountantskantoor Geerlofs B.V.;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Accres Apeldoorn B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Accretio;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
ACE Holland Property Management B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2
Acelab Europe;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
Achmea Schadeverzekeringen N.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Achterkamp Bedrijfsopleidingen B.V.;;;;;1;;1;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;2
Achtienhonderdeenenvijftig (1851) B.V.;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;1
Ackermans Handelsonderneming;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2
ACM Opleidingen B.V.;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
ACN Chemical Water Treatment B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;1
ACN Europe B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;2
Acquire Publishing B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
ACS audiovisual solutions B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;1
Acteur en Theatermaker Ben van Bokhoven;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Acteursbureau Kapok B.V.;;;1;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Actief Events B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Actief Fysiotherapie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Actief Veenhuizen;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Actifood B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ActionCam-Verhuur;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1
Actium B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3
Active Collecting Control & Services B.V.;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;1
Active Professionals B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Activiteitenbureau Impuls;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Activo;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;2
ACTME B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Acuerdis B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
ACV Beveiligingstechniek B.V.;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;1;;;;;;;1
AcZmediation & Coaching;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Ad Eight B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Ad Em Producties B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2
AD NieuwsMedia B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;1
Ad Roovers Verhuur V.O.F.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Ad Schilperoort Kempstraat B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Ad Simonse Personeels & Organisatie-Advies;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ad Valorem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Adactio Gerechtsdeurw.&Inc.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Adam & Noordzij Bewindvoering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Adamas Instrumenten B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Adames;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;1
Adames Consultancy;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A'damse Med. Speciaalz. Fa. A. Vos & Zoons;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;1
Adao;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ADC Reproservice B.V.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Adecco Detachering B.V.;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Adfo Groep B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Adico Milieutechniek B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Adinda Calbo t.h.o.d.n. Bagels & Beans IJdock Amsterdam;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Adjiembaks en de Miranda advocaten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Ad-Just Bouwman;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Adler International C.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Adlib Gebruikersgroep;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
Administratiekantoor Sweron;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Admiraal Car Cleaning;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Admiraal de Ruyter Ziekenhuis;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
