Rijlabels;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
Anoniem 394;;;1;;;;;;;1
Anoniem 396;;;;;;1;;;;1
Anoniem 398;;;;1;;;;;;1
Anoniem 399;;;;1;;;;;;1
Anoniem 4;;;;;;1;;;;1
Anoniem 401;;;;1;;;;;;1
Anoniem 404;;;;;;1;;;;1
Anoniem 405;;;;1;;;;;;1
Anoniem 407;;;;1;;1;;;;1
Anoniem 410;;;1;;;;;;;1
Anoniem 412;;;;1;;;;;;1
Anoniem 413;;;;;;1;;;;1
Anoniem 414;;;;;;;;;1;1
Anoniem 415;;;;;;;;;1;1
Anoniem 417;;;;1;;;;;;1
Anoniem 418;;;;;;1;;;;1
Anoniem 419;;;;;;1;;;;1
Anoniem 422;;;;;;1;;;;1
Anoniem 423;;;;;;1;;;;1
Anoniem 424;;;;;;1;;;;1
Anoniem 425;;;;1;;;;;;1
Anoniem 426;;;;;;1;;;;1
Anoniem 428;;;;1;;;;;;1
Anoniem 429;;;;;;1;;;;1
Anoniem 430;;;;;;1;;;;1
Anoniem 432;;;;1;;;;;;1
Anoniem 433;;;;1;;;;;;1
Anoniem 435;;;;;;1;;;;1
Anoniem 437;;;;1;;;;;;1
Anoniem 439;;;;;;1;;;;1
Anoniem 44;;;;;;1;;;;1
Anoniem 440;;;;;;1;;;;1
Anoniem 441;;;;;;1;;;;1
Anoniem 443;;;1;;;;;;;1
Anoniem 445;;;;1;;;;;;1
Anoniem 446;;;;1;;;;;;1
Anoniem 448;;;;1;;1;;;;1
Anoniem 449;;;;1;;;;;;1
Anoniem 45;;;;1;;;;;;1
Anoniem 451;;;;;;1;;;;1
Anoniem 453;;;;;;1;;;;1
Anoniem 454;;;;1;;;;;;1
Anoniem 455;1;;;;;;;;;1
Anoniem 456;;;;1;;;;;;1
Anoniem 460;;;;;;1;;;;1
Anoniem 461;;;;;;1;;;;1
Anoniem 465;;;;1;;;;;;1
Anoniem 469;;;;1;;;;;;1
Anoniem 472;;;;1;;;;;;1
Anoniem 473;;;;;;1;;;;1
Anoniem 475;;;;;;1;;;;1
Anoniem 476;;;;;;1;;;;1
Anoniem 477;;;;;;;;;1;1
Anoniem 478;;;;;;1;;;;1
Anoniem 48;;;;1;;;;;;1
Anoniem 480;;;;1;;;;;;1
Anoniem 482;;;;;;1;;;;1
Anoniem 484;;;1;;;;;;;1
Anoniem 487;;;;1;;;;;;1
Anoniem 49;;;;1;;;;;;1
Anoniem 490;;;;;;1;;;;1
Anoniem 491;;;;;;1;;;;1
Anoniem 493;;;;1;;;;;;1
Anoniem 494;;;;;;1;;;;1
Anoniem 497;;;;1;;;;;;1
Anoniem 5;;;;;;1;;;;1
Anoniem 50;;;;1;;;;;;1
Anoniem 500;1;;;;;;;;;1
Anoniem 501;1;;;;;;;;;1
Anoniem 502;;;;2;;;;;;2
Anoniem 503;;;;;;1;;;;1
Anoniem 504;;;;1;;;;;;1
Anoniem 51;;;;;;1;;;;1
Anoniem 510;;;;1;;;;;;1
Anoniem 513;;;;;;1;;;;1
Anoniem 514;;;;1;;;;;;1
Anoniem 516;;;;1;;;;;;1
Anoniem 517;;;;;;1;;;;1
Anoniem 519;;;;1;;;;;;1
Anoniem 52;;;;1;;;;;;1
Anoniem 520;;;;1;;;;;;1
Anoniem 524;;;;1;;;;;;1
Anoniem 525;;;;1;;;;;;1
Anoniem 527;;;;;;1;;;;1
Anoniem 528;;;;;;1;;;;1
Anoniem 53;;;;;;;1;;;1
Anoniem 530;;;;1;;;;;;1
Anoniem 533;;;;;;1;;;;1
Anoniem 535;;;;1;;;;;;1
Anoniem 538;;;1;;;;;;;1
Anoniem 539;;;;;;1;;;;1
Anoniem 541;;;;;;1;;;;1
Anoniem 542;;;;1;;;;;;1
Anoniem 543;;;;;;1;;;;1
Anoniem 544;;;;;3;;;;;3
Anoniem 545;;;;;;2;;;;2
Anoniem 551;;;;1;;;;;;1
Anoniem 552;;;;;;2;;;;2
Anoniem 555;;;;;;1;;;;1
Anoniem 556;;;;;;1;;;;1
Anoniem 561;;;;;;1;;;;1
Anoniem 563;;;;;;1;;;;1
Anoniem 564;;;1;;;;;;;1
Anoniem 565;;;;;;1;;;;1
Anoniem 568;;;;1;;;;;;1
Anoniem 57;;;;1;;;;;;1
Anoniem 580;;;;;;1;;;;1
Anoniem 581;;;;;;;;;1;1
Anoniem 585;;;;;;1;;;;1
Anoniem 586;;;;;;;;;1;1
Anoniem 587;;;;;;1;;;;1
Anoniem 588;;;;;;1;;;;1
Anoniem 590;;;;;;1;;;;1
Anoniem 594;;;;;;1;;;;1
Anoniem 6;;;;;;1;;;;1
Anoniem 61;;;;2;;;;;;2
Anoniem 63;;;;1;;;;;;1
Anoniem 65;;;;;;1;;;;1
Anoniem 66;;;;1;;;;;;1
Anoniem 68;;;;;;;1;;;1
Anoniem 69;;;;1;;;;;;1
Anoniem 7;;;;;;2;;;;2
Anoniem 70;;;;1;;;;;;1
Anoniem 71;;;;1;;;;;;1
Anoniem 72;;;;;;;;;1;1
Anoniem 73;;;;;;1;;;;1
Anoniem 74;;;;;;1;;;;1
Anoniem 75;;;;1;;;;;;1
Anoniem 78;;;;1;;;;;;1
Anoniem 79;;;;1;;;1;;;1
Anoniem 81;;;;;;1;;;;1
Anoniem 84;;;;1;;;;;;1
Anoniem 85;;;;1;;;;;;1
Anoniem 87;;;;;;1;;;;1
Anoniem 89;;;;;;1;;;;1
Anoniem 9;;;;;;1;;;;1
Anoniem 91;;;;;;1;;;;1
Anoniem 95;;;;;;1;;;;1
Anoniem 96;;;;;;1;;;;1
Anoniem 97;;;;;;1;;;;1
Antoinette Faciliteert;;;;;;1;;;;1
AOB Compaz B.V.;;;;;;2;;;;2
APCOA Parking Nederland B.V.;;;;;;;;;1;1
APPM Management Consultants B.V.;;;;;;2;;;;2
Appsam;;;;;;1;;;;1
ARA Groep B.V.;;;;;1;;;;;1
Arbo Unie;;;5;;;;;;;5
ArboDirect;;;7;;;;;;;7
ArboVitale B.V.;;;1;;;;;;;1
Architektenburo K. van Velsen B.V.;;;;;;1;;;;1
Ardis Opleidingen B.V.;;;;;;2;;;;2
Ardis Organisatieontwikkeling B.V.;;;;;;1;;;;1
Arenda Oomen Fotografie;1;;;;;;;;;1
Arendshoeve B.V.;;;;;;1;;;;1
Argos Coaching;;;;;;1;;;;1
Aris Consultancy;;;;;;1;;;;1
Art 2 Advance;;;;;;1;;;;1
art of change B.V.;;;;;;1;;;;1
ArtdCom B.V.;;;;;;2;;;;2
Arte Di Vivere Holding B.V.;;;;;;1;;;;1
Arthotel Amsterdam B.V.;;;;;;;;;1;1
Artige B.V.;;;;1;;;;;;1
Artikraak;;;;;;2;;;;2
Artisa;;;;;;2;;;;2
Arun Allround Woningbouw en Renovatie B.V.;;;;;;1;;;;1
Asgard Hotel B.V.;;;;;;;;;1;1
Atelier Grijspaardt Lijstenmakerij;;;;1;;;;;;1
Athene Palace B.V.;;;;1;;;;;;1
Atlantic Hotel Exploitatie B.V.;;;;;;;1;;1;1
Atlantis Centrum voor Healing en Ontwikkeling;;;;;;1;;;;1
Authenticum;;;;;;1;;;;1
Avans Hogeschool B.V.;;;;;;1;;;;1
Avans Hogeschool MB B.V.;;;;;;2;;;;2
AvdR Webinars B.V.;;;;;;1;;;;1
Avex B.V.;;;;;;1;;;;1
Awareness B.V.;;;;;;1;;;;1
AWVT B.V.;;;;;;1;;;;1
B & T Productions;;;;1;;;;;;1
B.V. Touringcarbedrijf E.D.A.D.;;;;;;1;;;;1
B+B Vakmedianet B.V.;;;;;;1;;;;1
Baas & Co.;;;;;;2;;;;2
Babymand.nl;;;;1;;;;;;1
Backbone B.V.;;;;;;1;;;;1
Bakery Institute Winkel B.V.;;;;;;2;;;;2
Bakker Prins;;;;1;;;;;;1
Bakkerij Bergman;;;;1;;;;;;1
Bakkerij Segaar;;;;1;;;;;;1
Balance By Hands;;;1;;;;;;;1
Balans & Impuls B.V.;;;1;;1;2;;;;2
Bally's eten & drinken;;;;1;;;;;;1
BandZoeker Music B.V.;;;;1;;;;;;1
Banketbakkerij Boheemen;;;;1;;;;;;1
Banketbakkerij De Kruyter;;;;1;;;;;;1
Banketbakkerij Maison Kelder B.V.;;;;1;;;;;;1
Bar Restaurant Pavlov B.V.;1;;;1;;;;;;2
Barbarossa Beach B.V.;;;;1;;;;;;1
Barlot B.V.;;;;1;;1;;;;1
Bartender Group B.V.;;;;;;1;;;;1
Bartolomeus Productions;;;;1;;1;;;;1
Bastion Hotel Nijmegen B.V.;;;;;;1;;;1;1
Bastion Hotel Weesp B.V.;;;;1;;;;;1;1
BCD Travel B.V.;;;;;;;;;1;1
BCM Academy B.V.;;;;;;1;;;;1
BCN B.V.;;;;;;1;;;;1
Bedrijfsfitness Nederland B.V.;;;4;;;;;;;4
BedrijfsMotivaties B.V.;;;;;;2;;;;2
Behr Groep Nederland B.V.;;;;;;1;;;;1
Bento Presentaties;3;;;;;3;;;;4
Berenschot International B.V.;;;;;;3;;;;3
Beroepsver. van Professionals in Sociaal Werk;;;;;;1;;;;1
Best Western Premier Art Hotel Eindhoven;;;;;;;;;1;1
Bestuursacademie Nederland Opleidingen B.V.;;;;;;1;;;;1
'Betonvereniging';;;;;;1;;;;1
Between B.V.;;;;;;;;;1;1
Beuk Touringcars;;;;1;;;;;;1
Beverly Boulevard B.V.;;;;;;1;;;;1
Big Format;;;;;;1;;;;1
BijzonderStrafrecht B.V.;;;;;;1;;;;1
Bilderberg Grand Hotel Wientjes;;;;;;1;;;1;1
Bilderberg Residence Groot Heideborgh;;;;;;1;;;1;1
Binnenlands Bestuur B.V.;;;;;;1;;;;1
Bison Bowling;1;;;;;;;;;1
Bistro De Zoete Inval V.O.F.;;;;1;;;;;;1
Bistro Mer B.V.;;;;1;;;;;;1
BKFF bas kijzers fotografie en film;;;;;;1;;;;1
BLOC;;;;;;1;;;;1
BLOEM;;;;1;;;;;;1
Bloemsierkunst Anneke Kapteyn;;;;1;;;;;;1
Bloemsierkunst 'De Carlton';;;;1;;;;;;1
Bloemsierkunst De Klerk B.V.;1;;;;;;;;;1
Bloemstylist Hans Zijlstra;1;;;;;;;;;1
Blomberg Instituut B.V.;;;;;;1;;;;1
BlomBerg Society B.V.;;;;;;1;;;;1
BLOSSOM bloemisterij;1;;;1;;;;;;1
Blue Lagoon;;;;1;;;;;;1
Blue Skies B.V.;;;;1;;;;;;1
Bluijssen-Verbindt;;;;1;;;;;;1
BMC Advies B.V.;;;;;;3;;;;3
BMC Implementatie;;;;;;1;;;;1
BMTI;;;;;;1;;;;1
Bob de Ronde en Partners;;;;;;2;;;;2
Bokstijn Feestartikelen;;;;1;;;;;;1
bol.com B.V.;;;;;;1;;;;1
Booombegeleiding;;;;;;2;;;;2
Boterwaag Den Haag B.V.;1;;;1;;;;;;1
Bouw Express B.V.;;;;1;;;;;;1
Bowling- en Partycentrum Westerpark B.V.;;;;1;;;;;;1
Bowling Scheveningen B.V.;;;;1;;;;;;1
Brabants Lederwarenhuis 's-Gravenhage B.V.;;;;1;;;;;;1
Brain Box Mediatraining B.V.;;;;;;2;;;;2
Brasserie Soho B.V.;;;;1;;1;1;;;1
Brasserie Waalhaven;;;;1;;;;;;1
Break Free Fun Company;;;;;;1;;;;1
Breinwerk B.V.;;;;;;1;;;;1
Brixs Groep B.V.;;;;;;1;;;;1
Broodje Bert;;;;1;;;;;;1
BRUT Catering B.V.;;;;;;;1;;;1
Brutaal Communicatie B.V.;;;;;;1;;;;1
BSA Schaderegeling B.V.;;;;;;1;;;;1
Buena Vista Beach Club;;;;1;;;;;;1
Buena Vista Beach Club B.V.;;;;1;;;;;;1
Building Solutions Provider B.V.;1;;;;;;;;;1
Bullit House;;;;1;;;;;;1
Bumper Experience;;;;;;1;;;;1
Bureau Benninga;;;;;;1;;;;1
Bureau Links;;;;;;2;;;;2
Bureau Queste;;;;;;1;;;;1
Bureau Tromp B.V.;;;;;;3;;;;3
Bureau Zuidema B.V.;;;;;;3;;;;3
BurgGolf Zoetermeer B.V.;;;;1;;;;;;1
Business Talent Network B.V.;;;;;1;;;;;1
BuzzMaster B.V.;;;;;;1;;;;1
BVO Opleidingen B.V.;;;;;;2;;;;2
C.I.C. Company B.V.;;;;;;1;;;;1
C22C B.V.;;;;;;1;;;;1
CA & MA Holding B.V.;;;;;;1;;;;1
Cafe Berger;;;;1;;;;;;1
Cafe Darts 'Goudenregen';;;;1;;;;;;1
Café 'De Kleine Witte';;;;1;;;;;;1
Café du Midi B.V.;;;;1;;;;;;1
Café Huppel 'The Pub';;;;1;;;;;;1
Cafe Kuijper B.V.;;;;;;;;;1;1
Café Restaurant Rootz B.V.;1;;;1;;;1;;;1
Cafe Restaurant Vandaag B.V.;;;;1;;;;;;1
Cafe/Restaurant De Eeuwige Jachtvelden;1;;;1;;1;;;;1
Cafe/Restaurant Schlemmer;1;;;;;1;;;;1
Café-Restaurant New York Den Haag;;;;1;;;;;;1
Campanile Hotel Zwolle;1;;;;;;;;;1
Canon Nederland N.V.;;;;;;1;;;;1
Capgemini Nederland B.V.;;;;;;2;;;;2
Capo Cucina;;;;;;1;;;;1
Carla van Gotum Ontwikkeling & Theater;;;;;1;;;;;1
Carlton Ambassador Hotel B.V.;1;;;;;;;;1;1
Carlton Beach Club;1;;;;;;;;1;1
Carlton Hotels Nederland B.V.;;;;1;;;3;;;3
Carpentarius Organisatieadvies;;;;;;2;;;;2
Carrilho executive coaching and consulting;;;;;;1;;;;1
Casadata;1;;;;;;;;;1
Cashew B.V.;;;;;;2;;;;2
Catering Lokaal B.V.;;;;;;4;;;;4
Cegeka;;;;;;1;;;;1
Centrum voor Conflicthantering B.V.;;;;;;1;;;;1
CFO Consult;;;;;;1;;;;1
Change Company;;;;;;2;;;;2
Chauffeurstelefoon B.V.;;;;;;;;;1;1
China Relations;;;;;;1;;;;1
Christelijke Hogeschool Windesheim;;;;;;4;;;;4
Ciao! Ciao! B.V.;1;;;1;;;;;;1
CIOnet Nederland B.V.;;;;;;1;;;;1
C-Kracht;;;;;;1;;;;1
Claire Werkt!;;;;;;1;;;;1
Cleve Dominum Beheer;;;;;;;;;1;1
Cloose;;;;1;;;;;;1
CM Partners B.V.;;;;;;1;;;;1
Coachtosource B.V.;;;;;;1;;;;1
Coco Vie;;;;;;1;;;;1
Coda B.V.;;;;;;1;;;;1
Collabó B.V.;;;;;;1;;;;1
College-Club;;;;;;1;;;;1
Comminz Ede;;;;;;1;;;;1
Common Eye B.V.;;;;;;1;;;;1
CommPassie;;;;;;1;;;;1
Compagnon B.V.;;;;;;1;;;;1
Company Sandwich;;;;1;;;;;;1
COMPAREX Nederland B.V.;;;;;;1;;;;1
Compass Group Nederland B.V.;;;;1;;;;;;1
Compu'Train;;;;;;1;;;;1
Computrain Opleidingen;;;;;;1;;;;1
Compu'Train Opleidingen B.V.;;;;;;1;;;;1
Congrestolk;;;;;;1;;;;1
Congruence B.V.;;;;;;1;;;;1
Conny de Laat Communicatie;;;;;;1;;;;1
Construction Media B.V.;;;;;;;;1;;1
Consulo B.V.;;;4;;;;;;;4
Copernicium;;;;1;;;;;;1
Corn.-Stone Marketing & Sales Programmes B.V.;;;;;;1;;;;1
Corvers Procurement Services B.V.;;;;;;1;;;;1
COT Inst. voor Veil.h.- & Crisismanagem. B.V.;;;;;;1;;;;1
Created for More B.V.;;;;1;;;;;;1
Creative Soup;;;;1;;;;;;1
Crown Electric Records;;;;;;1;;;;1
CS Opleidingen B.V.;;;;;;1;;;;1
CSC Computer Sciences;;;;1;;;;;;1
CTK Advies;;;;;;1;;;;1
CTMabc;;;;;;2;;;;2
Culinair Wonder Groep B.V.;;;;1;;;;;;1
Culpepper B.V.;;;;1;;;;;;1
CvdB-advies;;;;;;2;;;;2
D. Braun B.V.;;;;;;1;;;;1
D.A.B. Special service;;;;;;;;;1;1
D.P. Pizza Zoetermeer;;;;1;;;;;;1
Da Costaschool;;;;1;;;;;;1
Damtours Events B.V.;;;;1;;;;;;1
dan denken;;;;;;1;;;;1
DASMO-TPAST B.V.;;;;;;1;;;;1
Daspascommunicatie;;;;;;2;;;;2
David Vermijs Consulting B.V.;;;;;;1;;;;1
De Argumentenfabriek B.V.;;;;;;2;;;;2
De Baak Administratie;;;;;;2;;;;2
De Baak B.V.;;;;;;4;;;1;4
De Bakkerswinkel Den Haag;;;;1;;;;;;1
De Beurs;;;;1;;;;;;1
De Boerinn B.V.;;;;2;;;;;;2
De Bonte Koe B.V.;;;;1;;;;;;1
De Booij Party en Congresarchitekten;;;;;;1;;;;1
De Broodfabriek B.V.;;;;;;2;;;;2
De CoachPraktijk;;;;;;1;;;;1
De Corridor;;;;1;;;;;;1
De Eerste Verdieping;;;;;;1;;;;1
de galan school voor training;;;;;;1;;;;1
De Gouden Ton;;;;1;;;;;;1
De Gouden Wok B.V.;;;;1;;;;;;1
De Gouden Wok Zuiderpark;;;;1;;;;;;1
De Haagse Creatieven Alliantie B.V.;;;;1;;;;;;1
De Hazelaar Art Supplies;;;;1;;;;;;1
De Heeren Van Suylichem B.V.;;;;;;;1;;;1
De Horeca Academie Zakelijk B.V.;;;;1;;;1;;;1
De Jonge Voorn B.V.;;;;1;;;;;;1
De Knegt & Leeflang B.V.;;;;1;;;;;;1
De Munsche Hei B.V.;;;;;;1;;;;1
De Nonnen in Vught;;;;;;1;;;;1
De Pier B.V.;;;;;;1;;;;1
De Poort van Kleef Utrecht B.V.;;;;1;;1;;;;1
De Processpecialisten B.V.;;;;;;1;;;;1
De Projectinrichter B.V.;;;1;;;;;;;1
De Rotterdam B.V.;;;;1;;;;;;1
De Schenker B.V.;;;;1;;;;;;1
De Smelt B.V.;;;;;;2;;;;2
De Sparrenhorst;;;;;;;;;1;1
De Wagenmenner B.V.;;;;;;1;;;;1
De Watertuin Holding B.V.;;;;1;;;;;;1
De Winkel van Sinkel B.V.;;;;;;1;;;;1
De Witte Zwaan B.V.;;;;;;1;;;;1
De Zoete Inval B.V.;;;;1;;;;;;1
Debat.NL B.V.;;;;;;1;;;;1
Decora B.V.;;;;1;;;;;;1
Deiman Touringcarbedrijf;;;;1;;;;;;1
Dekker Zoetermeer;;;;1;;;;;;1
Dekxels B.V.;;;;1;;;;;;1
Delft Congress Support B.V.;;;;;;1;1;;;1
Deloitte Consulting B.V.;;;;;;1;;;;1
Den Bosch Evenementen B.V.;;;;1;;;;;;1
Den Draeck;;;;1;;;;;;1
Den Haag Centrum v. Strategische Studies B.V.;;;;;;1;;;;1
Den Potsenmaeker B.V.;;;;1;;;;;;1
Dendy B.V.;;;;1;;;;;;1
Denk Productief B.V.;;;;;;2;;;;2
Denk Producties B.V.;;;;;;1;;;;1
Detron Telecom Enterprise;;;;;;1;;;;1
Dialogue B.V.;;;;;;1;;;;1
