Leveranciers;3000 - Uitbesteden overig;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;Eindtotaal
Arag-Ned., Alg. Rechtsbijst. Verzeker.mij NV;;;;1;;;1
ARCADIS Nederland;;7;;;1;;7
Architectuurwerk;;1;;;;;1
ARCUSPlus;;1;;;;;1
Ardagh Glass Benelux;;2;;;;;2
Ardis Organisatieontwikkeling B.V.;;2;;;;;2
Ared Management B.V.;;1;;;;;1
Arenda Oomen Fotografie;;1;;;;;1
Arens Bureau voor Strand en Duin Onderzoek;;2;;;;;2
Argument;;1;;;;;1
Aristo Eindhoven B.V.;;1;;;;;1
Arjan Klopstra;;3;;;;;3
ARN Sustainability B.V.;;2;;;2;;3
Arrix Optimus B.V.;;2;;;;;2
Ars Grafisch B.V.;;1;;;;;1
Art 4 You Decorations;;1;;;;;1
Arthur Verdellen;;1;;;;;1
Asp4all Hosting B.V.;;1;;;;;1
ATG Europe B.V.;;3;;;;;3
Atlantico Business Development;;1;;;;;1
Atomos Applications;;1;;;;;1
Atos Nederland B.V.;8;3;;;7;;8
ATP Specials B.V.;;1;;;;;1
Atradius Dutch State Business N.V.;;2;;;;;2
Atrivé B.V.;;1;;;;;1
Atticus B.V.;;1;;;;;1
ATWORKZ;;1;;;;;1
Automotive Publishing B.V.;;2;;;;;2
AutomotiveNL B.V.;;2;;;;;2
Avance PMC B.V.;;2;;;;;2
Avantes B.V.;;1;;;;;1
Aviareps Tourism B.V.;;2;;;;;2
Axolution;;2;;;;;2
Axxicom Airport Caddy B.V.;;1;;;;;1
B & A Consulting B.V.;;2;;;;;2
B.V. Hotel Bel Air Den Haag;;1;;;;;1
Baker Tilly Berk Breda;3;;;;;2;3
Baker Tilly Berk Den Haag;;;;;;2;2
Bakkerij Schuurmans;;1;;;;;1
Balance Ervaring op Projectbasis B.V.;;2;;;;;2
Bamboe 8;;2;;;;;2
BAMBOO;;2;;;;;2
Bar Restaurant La Vina;;1;;;;;1
Barbara Alberts Office Support;;3;;;;;3
Barnel B.V.;;1;;;;;1
Bart Poel Consultancy B.V.;;2;;;;;2
Bas van Lier schrijft;;1;;;;;1
BaseClear B.V.;;3;;;;;3
BBA Binnenmilieu B.V.;;2;;;;;2
bbn adviseurs;;2;;;;;2
BDUmedia;;1;;;;;1
BE Media;;1;;;;;1
Beagle Sustainable Solutions;;2;;;;;2
Beatex;;3;;;;;3
Beaumont Communicatie & Management B.V.;;2;;;;;2
Beheermij. Pepper B.V.;;2;;;;;2
Beijer Tuin- en Landschapsinrichting;;2;;;;;2
Beladon Holding B.V.;;3;;;;;3
Beleidstheater;;1;;;;;1
Ben Tiggelaar & Company B.V.;;;2;;;;2
Benefit Inkoopadviesgroep B.V.;2;2;;;;;2
Benfried B.V.;;1;;;;;1
Benr Adviseurs voor Duurzaamheid B.V.;;1;;;;;1
Berenschot B.V.;;5;;;;;5
Berenschot BV;;3;;;;;3
Berenschot Energy & Sustainability B.V.;;2;;;;;2
Berenschot Groep;3;4;;;;;5
Berenschot Groep B.V.;;3;;;;;3
Berg Sustainable Strategy Consultancy;;1;;;;;1
Bernadette Botman Consult;;2;;;;;2
Beroepsorganisatie Nederlandse Ontwerpers;;2;;;;;2
Beroepsvereniging Groene Zorg;;1;;;;;1
Bestand Beheer Artikelen, 2BA B.V.;;1;;;;;1
Between B.V.;7;4;;;2;;7
Bex*communicatie;;2;;;;;2
Bierfabriek Delft B.V.;;1;;;;;1
BIJ12;;3;;;;;3
Bikker & Company B.V.;;5;;;;;5
Bilderberg Hotel 't Speulderbos;;2;;;;;2
Binnenlands Bestuur B.V.;;1;;;;;1
BioCandeo N.V.;;;;2;;;2
BIOnetWORKS;;3;;;;;3
Bionext;;4;;;;;4
Bioniers;;2;;;;;2
Birch Consultants B.V.;;2;;;;;2
Bird Jazz Podium/Horeca B.V.;;1;;;;;1
BKB;;1;;;;;1
Blaauw Space Affairs;;1;;;;;1
Blauw Research B.V.;;3;;;;;3
BLDN B.V.;;1;;;;;1
Blikopener Filmproducties;;1;;;;;1
Blink2Blinked;;2;;;;;2
BLIX Consultancy B.V.;;6;;;;;6
BLIX Renewable Energy B.V.;;1;;;;;1
bloem & styling aan de zeven alleetjes;;1;;;;;1
Bloemsierkunst 'Baccara';;1;;;;;1
Blonk Milieu Advies B.V.;;1;;;;;1
Blueconomy B.V.;;1;;;;;1
BMC Advies B.V.;;2;;;;;2
BMC Implementatie;1;;;;;;1
BodemenergieNL;;2;;;;;2
Boekel De Nerée;;1;;;;;1
Boerema & Van den Brink B.V.;;1;;;;;1
Bond voor Materialenkennis;;1;;;;;1
Bongaloo;;1;;;;;1
Bons Negocios!;;2;;;;;2
Bont Consult;;2;;;;;2
Boom regionale uitgevers B.V.;;1;;;;;1
Boon Consult;;1;;;;;1
Boosten Consultancy;;2;;;;;2
Boot Advocaten B.V.;;1;;;;;1
Bourgonje Geluid- en Lichtservice B.V.;;4;;;;;4
Bouwkennis B.V.;;1;;;;;1
Bovenkamers;;2;;;;;2
BPA Project & Advies B.V.;;2;;;;;2
BPT B.V.;;2;;;;;2
Brabanthallen;;2;;;;;2
Braber Infinitus Energy Solutions;;1;;;;;1
Branche Vereniging Organische Reststoffen;;2;;;;;2
Branchever. Particul. Org. Int. Samenwerk.;;;1;;;;1
Brand Webbing B.V.;;1;;;;;1
BrandOutLoud V.O.F.;;2;;;;;2
Brandwise B.V.;;4;;;;;4
Braveheart Shipping B.V.;;2;;;;;2
Bregman Advisering B.V.;;2;;;;;2
Breijer Contractonderhoud B.V.;;1;;;;;1
Bright Alley Knowledge & Learning B.V.;;2;;;;;2
Brink Management/Advies;;2;;;;;2
Brinkmann Consultancy;;2;;;;;2
BRO;;4;;;;;4
Bruggink & vd Velden Advocaten. Bel.adv. B.V.;;2;;;;;2
Brunel Nederland B.V.;;;;2;;;2
Brusse Expertisecentrum Nieuwe Landgoederen;;1;;;;;1
Brussee Van Dun & Partners;;;;2;;;2
BSI Group The Netherlands B.V.;;1;;;;;1
BT Nederland N.V.;2;;;;;;2
BT Professional Services Nederland B.V.;7;4;;;2;;7
Bubbles Company B.V.;;1;;;;;1
Buck Consultants International;;2;;;;;2
Buck Consultants International B.V.;;2;;;;;2
BuildDesk Benelux B.V.;;2;;;;;2
Building Vision B.V.;;2;;;;;2
Buildsight B.V.;;3;;;;;3
Bureau Bartels B.V.;;2;;;;;2
Bureau Berdt;;1;;;;;1
Bureau Buitenkans;;3;;;;;3
Bureau De Heer;;3;;;;;3
Bureau Dirk Hilbers;;2;;;;;2
Bureau Drift;;1;;;;;1
Bureau Leeters;;2;;;;;2
Bureau Mozaiek;;2;;;;;2
Bureau Onderweg;;1;;;;;1
Bureau Tromp B.V.;;2;;;;;2
Bureau Van de Wetering;;3;;;;;3
Bureau van Dijk Electronic Publishing B.V.;;2;;;;;2
Bureau Veldkamp;;2;;;;;2
Bureau Waardenburg B.V.;;4;;;;;4
Buro Blink B.V.;;3;;;;;3
Buro del Rey;;1;;;;;1
Buro MW;;2;;;;;2
Burosa;;1;;;;;1
Business;;1;;;;;1
Business Openers B.V.;;1;;;;;1
Busser producties;;1;;;;;1
Byte B.V.;;1;;;;;1
C.B.A. Kronenburg B.V.;;1;;;;;1
C.N. Min Beheer B.V.;;1;;;;;1
Café Restaurant Land- en Zeezicht;;1;;;;;1
Café-Restaurant De Plantage B.V.;;1;;;;;1
Café-Restaurant Visafslag B.V.;;1;;;;;1
Cailin Partners;;2;;;;;2
Campus Deltion College;;2;;;;;2
Can you imagine;;2;;;;;2
Capgemini Nederland B.V.;5;3;;;;;6
Capgemini Nederland BV;;1;;;;;1
CapitalP B.V.;;7;;;;;7
Capra advocaten;;1;;1;;;1
Capricorn Projekt B.V.;;2;;;;;2
Carat Nederland B.V.;;3;1;;;;3
Carlson Wagonlit Travel;;1;;;;;1
Carnegie Consult B.V.;;3;;;;;3
Carwei Communications;;3;;;;;3
CBD;;1;;;;;1
CBS Solutions;;2;;;3;;3
cc:K;;3;;;;;3
CE Delft;;5;;;;;5
Cees van Casteren;;4;;;;;4
Cees Vulto Consulting B.V.;;1;;;;;1
CelSian Glass & Solar B.V.;;2;;;;;2
Centraal Boekhuis B.V.;;1;;;;;1
Central Veterinary Institute of Wageningen UR;;2;;;;;2
Certifield International;;4;;;;;4
CertiQ B.V.;;3;;;;;3
CGI Nederland B.V.;;3;;;2;;3
CHEN Aanbestedingsadvies;;1;;;;;1
Chinees Restaurant 'Paradijs';;1;;;;;1
Chirppoint;;2;;;;;2
Chris Westra Consulting B.V.;;2;;;;;2
Christelijke Hogeschool Windesheim;;4;;;;;4
Chromosoom;;1;;;;;1
CIBIT Adviseurs/Opleiders;2;;;;;;2
CIBT Netherlands;;1;;;;;1
Ciezo B.V.;;1;;;;;1
Cimsolutions;7;;;;;;7
Cinop Advies B.V.;;2;;;;;2
Citaat V.O.F.;;2;;;;;2
Citadel Consulting;;1;;;;;1
Citigate First Financial B.V.;;1;;;;;1
Clear Conduct B.V.;;2;;;;;2
Climatic Design Consult;;2;;;;;2
Clipit News B.V.;;1;;;;;1
CLM Onderzoek en Advies B.V.;;3;;;;;3
clothing connect B.V.;;3;;;;;3
CloudVPS;;1;;;;;1
CMS Derks Star Busmann;;1;;2;;;2
Co.;;1;;;;;1
Co.-Motion Consult;;3;;;;;3
CoÃ¶rdesign B.V.;2;;;;;;2
Coastal & Marine Union;;1;;;;;1
Communicatie Bureau Podium B.V.;;2;;;;;2
Communicatiebureau De Lynx;;2;;;1;;2
Communitas;;1;;;;;1
Compass-Group Nederland BV;;1;;;;;1
Computer Plan B.V.;;1;;;1;;1
Concept7 B.V.;;2;;;1;;2
Concepts To Go;;2;;;;;2
Concorde Group B.V.;;2;;;;;2
ConFusion Matching;;1;;;;;1
Connecting Agri & Food B.V.;;1;;;;;1
Connexxion Holding N.V.;;2;;;;;2
Connexxion Taxi Services B.V.;;2;;;;;2
ConPuls;;2;;;;;2
Conquaestor B.V.;2;2;;;;;2
CONSENS Advies B.V.;;2;;;;;2
Conservation Consultancy Steven de Bie;;1;;;;;1
Consultancy Bureau Santema;;1;;;;;1
Continea;;1;;;;;1
Control Union Certifications B.V.;;1;;;;;1
Conversion Company B.V.;;2;;;;;2
Cook Inn catering;;1;;;;;1
Coöperat. Ver. Nuttig Landschap Nederland UA;;2;;;;;2
Coöperatie ACS partners UA;;1;;;;;1
coöperatie ADMONDO UA;2;;;;;;2
Coöperatie Agrimaco UA;;1;;;;;1
Coöperatie De Betekenaar UA;;1;;;;;1
Coöperatie Dutch Creative Industries UA;;3;;;;;3
Coöperatief Congrestolkensecretariaat UA;;1;;;;;1
Coöperatieve Circle Economy UA;;5;;;;;5
Coöperatieve Rabobank Peelland Zuid UA;;1;;;;;1
Coöperatieve Rabobank UA;;2;;;;;2
Coöperatieve vereniging OpenGeoGroep UA;;2;;;;;2
Coppens Advies;;1;;;;;1
Cormet Schoolcatering B.V.;;1;;;;;1
Corps 3 op twee B.V.;;2;;;2;;2
COT Inst. voor Veil.h.- & Crisismanagem. B.V.;;1;;;;;1
Courage, Stichting Innovatie Rundveehouderij;;4;;;;;4
Covision Management Consulting B.V.;;2;;;;;2
Cownexxion;;3;;;;;3
Creatz;;1;;;;;1
CREM B.V.;;5;;;;;5
Crimson Architectural Historians;;2;;;;;2
Crop-r B.V.;;3;;;;;3
Crosstree;;1;;;;;1
Crowfield Consulting;;1;;;;;1
CWTS;;2;;;;;2
D.B. van den Brink;;1;;;;;1
D.J. de Jong;;1;;;;;1
D.K.J. Tommel Adv., Directievoer. & Toez.;;2;;;;;2
Daccle B.V.;;2;;;;;2
Damen Drukkers B.V.;;1;;;;;1
DamenVanDeventer B.V.;;1;;;;;1
Dammers Interaction;;3;;;;;3
Damso Korean Restaurant;;1;;;;;1
Dankers Coastal Zone Management;;1;;;;;1
Daphna Laurens V.O.F.;;2;;;;;2
Darryll Atema Fotografie en Beeldbewerking.;;1;;;;;1
Dataplus Netherlands B.V.;;;;;2;;2
David Redeker Comminicatieadviseur;;1;;;;;1
De Argumentenfabriek B.V.;;3;;;;;3
De Baaij, Verbeeten & Partners B.V.;;4;;;;;4
de boer communicatie;;1;;;;;1
De Booij Express;;1;;;;;1
De Booij Party en Congresarchitekten;;1;;;;;1
De Brasserie;;1;;;;;1
De Broodfabriek B.V.;;2;;;;;2
De Drie Musketiers B.V.;2;;;;;;2
De Galan Groep B.V.;2;5;1;;5;;6
De Groene Zaak, Ond. voor een Duurz. Economie;;5;;;;;5
De Haagse Hogeschool;;2;;;;;2
de Heer Projecten;;1;;;;;1
De Heus Opleidingsconsultancy;;3;;;;;3
De investeringsmaatschappij;;2;;;;;2
De Karpendonkse Hoeve B.V.;;1;;;;;1
De Klantcontact Monitor B.V.;;2;;;;;2
De Kleijn Energy Consulting B.V.;;2;;;;;2
De Koperen Tuin B.V.;;1;;;;;1
De Laar B.V.;;1;;;;;1
De Lof der Zotheid (Lords);;1;;;;;1
de Melker & Partners B.V.;;1;;;;;1
De Merkplaats B.V.;;1;;;;;1
De Natuurverdubbelaars;;1;;;;;1
De Nederlands-Vlaamse Bouwfysica Vereniging;;1;;;;;1
De Nieuwe Lijn B.V.;;2;;;;;2
De Onderzoekspartner;;2;;;;;2
De Produktiewinkel B.V.;;3;;;;;3
De Pudding;;1;;;;;1
De Resolutie Utrecht B.V.;;1;;;;;1
De schaal van Kampen;;2;;;;;2
De Seedykstertoer;;1;;;;;1
De Tombe Consultancy B.V.;;1;;;;;1
De Twee Hanen;;1;;;;;1
De Utrechtse Haven B.V.;;1;;;;;1
De Utrechtse Watertoren B.V.;;1;;;;;1
De Vlinderstichting;;2;;;;;2
De Voort Advocaten  Mediators;;1;;;;;1
De Weesper Koe;;1;;;;;1
de Wijkondernemer;;1;;;;;1
De Wijkplaats B.V.;;2;;;;;2
De Zaak Emmerik B.V.;;3;;;;;3
De Zevensprong Coöperatie UA;;2;;2;;2;3
Decisio B.V.;;2;;;;;2
Decoded;;2;;;;;2
Deep B.V.;;6;;;;;6
Deerns Nederland B.V.;;2;;;;;2
DEKRA Certification B.V.;;1;;;;;1
Deloitte Accountants;;;;;;2;2
Deloitte Consulting B.V.;;5;;;6;;6
Deloitte Risk Advisory B.V.;;3;;;;;3
Delphy B.V.;;3;1;;;;3
Deltalinqs;;1;;;;;1
Demi Sec;;1;;;;;1
Den Haag Centrum v. Strategische Studies B.V.;;5;;;;;5
Department of the Future B.V.;;1;;;;;1
Derix Tekstproducties;;2;;;;;2
design#code;;2;;;;;2
DesignThinkers;;1;;;;;1
DesignThinkers B.V.;;3;;;;;3
Det Norske Veritas B.V.;;1;;;;;1
Det Norske Veritas Certification BV;;1;;;;;1
DeWerking;;1;;;;;1
DGB B.V.;;1;;;;;1
DGMR Raadgevende Ingenieurs B.V.;;4;;;;;4
DGMR Software B.V.;;2;;;;;2
DhUET Duurzaam Ontwikkelen;;2;;;;;2
DHV B.V.;;1;;;;;1
DHV Holding B.V.;;7;;;;;7
Dialogic Holding B.V.;;2;3;;;;3
Dialogic Innovatie & Interactie;;4;;;;;4
Dialogic Innovatie & Interactie B.V.;;3;;;;;3
Dierenartsenpraktijk Schiffelers;;1;;;;;1
Dierenkliniek Stapel & Haanebeek;;1;;;;;1
Dietz Dröge & van Loo B.V.;;2;;;;;2
DIG - Design Innovation Group B.V.;;3;;;;;3
Digit Holding B.V.;;1;;;;;1
Digital Action;;1;;;;;1
Direct Teleservice B.V.;;;1;;;;1
Dirks Water Advisory Services;;2;;;;;2
DLV Intensief Advies B.V.;;1;;;;;1
DNV GL Generators B.V.;;4;;;;;4
Doekle Terpstra Advies;;4;;;;;4
DOFCO Beheer B.V.;;1;;;;;1
Donki Gotte;;1;;;;;1
DoornRoos Imagineers;;1;;;;;1
Dopper;;1;;;;;1
Douw & Koren;;1;;;;;1
Douw & Koren B.V.;;1;;;;;1
Down to Earth B.V.;;2;;;;;2
DPA Finance B.V.;1;3;;;;3;4
DPI Animation House B.V.;;1;;;;;1
Dr. van Haeringen Laboratorium B.V.;;1;;;;;1
DR3 B.V.;;1;;;;;1
Drentea Kantoormeubelen;;;;;1;;1
Driebit B.V.;;2;;;;;2
Driebit Hosting B.V.;;1;;;;;1
Driven By Values B.V.;;2;;;;;2
Dröge&V. Drimmelen, Corp.Comm.&Publ.Aff. B.V.;;3;;;;;3
Drs. Jan P. Servaas, Market. Managem. Cons.;;1;;;;;1
Druk - Print Sliedrecht;;1;;;;;1
Du Baj;;1;;;;;1
DucaRes B.V.;;1;;;;;1
Dudok Den Haag B.V.;;1;;;;;1
Duke Faunabeheer;;1;;;;;1
Dun & Bradstreet B.V.;;3;;;;;3
Dutch Digital Agencies (DDA);;3;;;;;3
Dutch Operat. Train. Equipm. Services (DOTES);;1;;;;;1
Duurzaam Vooruit;;2;;;;;2
DuurzaamGebouw B.V.;;2;;;;;2
Duurzaamheid4all;;2;;;;;2
Duurzame Energieproductie Exloërmond B.V.;;2;;;;;2
Duvedec Europe B.V.;;2;;;;;2
DWA Installatie- en energieadvies;;1;;;;;1
E & M Exportmanagement B.V.;;2;;;;;2
E4 Consulting;;2;;;;;2
E4S Consult B.V.;;2;;;;;2
Eazie, Restaurant/Café;;1;;;;;1
EcoChain Technologies B.V.;;2;;;;;2
Ecofys Netherlands B.V.;;5;;;;;5
Eco-movement B.V.;;2;;;;;2
Economic Point of View B.V.;;2;;;;;2
Economisch Adviesburo De Schepper;;2;;;;;2
Ecorys B.V.;;1;;;;;1
ECORYS Nederland B.V.;;6;;;;;6
Ecorys Rutten Advies;;4;;;;;4
Ecospace;;2;;;;;2
EDC Environmental & Dredging Consultancy;;3;;;;;3
E-Democracy B.V.;;1;;;;;1
Eduard Voorn Communicatie;;1;;;;;1
Educore B.V.;;1;;;;;1
Edwin Mooibroek Media;;1;;;;;1
Eetcafe De Fabriek;;1;;;;;1
Efectis Nederland B.V.;;1;;;;;1
Effectory B.V.;;2;;;;;2
EG Media;;1;;;;;1
EGC advies;;1;;;;;1
EGG creation;;1;;;;;1
Eggink van Manen B.V.;;1;;;;;1
Eiffel B.V.;2;;;;;;2
Eigeman-ID;;1;;;;;1
Elannet B.V.;;2;;;;;2
Elzinga & Oterdoom Procesmanagement;;3;;;;;3
EMC/ESD VERENIGING;;1;;;;;1
EMMA Communicatie B.V.;;5;;;;;5
Emodz B.V.;;2;;;;;2
EMSA Emerging Markets Africa;;1;;;;;1
EN Stassen;;1;;;;;1
Enclude B.V.;;2;;;;;2
Endre Timar;;1;;;;;1
Enerdeco B.V.;;1;;;;;1
Energeia B.V.;;1;;;;;1
Energetic Solutions B.V. i.o.;;2;;;;;2
Energie ambassadeur;;2;;;;;2
Energieonderzoek Centrum Nederland;;6;;;;;6
enerGQ B.V.;;1;;;;;1
Energy Circle B.V.;;2;;;;;2
Energy Delta Institute B.V.;;4;;;;;4
Energy Engin. Solutions (EES) Holland B.V.;;3;;;;;3
Energy Indeed;;2;;;;;2
Energy Matters;;2;;;;;2
Enof creatieve communicatie B.V.;;1;;;;;1
Entocare C.V.;;1;;;;;1
Entopic B.V.;;;;;4;;4
Entry Technology Holding B.V.;;2;;;;;2
Enviu B.V.;;2;;;;;2
EOM Data Solutions B.V.;;;;;4;;4
Eric Luiten;;4;;;;;4
Erik Loots AV;;1;;;;;1
Ernst & Young Accountants LLP;;5;;;;;5
ERS Railways B.V.;;2;;;;;2
ETC Nederland B.V.;;1;;;;;1
Eternal Sun;;1;;;;;1
Eur. Regional Affairs Consultants (Erac) B.V.;;2;;;;;2
Eurobras Trading;;4;;;;;4
Euroconsult Mott MacDonald B.V.;;2;;;;;2
Eurofins Agro Testing Wageningen B.V.;;1;;;;;1
EuroFoodLink;;1;;;;;1
Europees Dashboard Instituut;;2;;;;;2
Eurotext Vertaalbureau Leidschendam;;1;;;;;1
EV Consult B.V.;;2;;;;;2
EVConsult B.V.;;2;;;;;2
Event Medical Service B.V.;;1;;;;;1
Eventco;;1;;;;;1
Everest B.V.;;;;;1;;1
Everest Energy B.V.;;2;;;;;2
Everts & De Vries Ecol. Advies en Onderzoek;;1;;;;;1
Everybody Likes Penguins;;3;;;;;3
Evidente;;1;;;;;1
Evite Services B.V.;;2;1;;;;3
Exact Software Nederland B.V.;;;;;1;;1
EXED B.V.;;1;;;;;1
Exergy Business Development and Consultancy;;1;;;;;1
Expand Online B.V.;;3;;;;;3
Experience;;2;;;;;2
Exploitatiemij. Grand Hotel Karel V B.V.;;1;;;;;1
Expo Display Service;;1;;;;;1
Extend Limits;;1;;;;;1
F. Tel Beheer & Consultancy B.V.;;1;;;;;1
Fabrique Communicatie en Design;;2;;;;;2
FactorVeermans Trainingsacteurs B.V.;;2;;;;;2
FairClimateFund;;1;;;;;1
Farm Visit;;1;;;;;1
Farmarts B.V.;;1;;;;;1
Fashion Production Solutions;;4;;;;;4
Fast Moving Targets;;2;;;;;2
Federatie Ned. Rubber- en Kunststofindustrie;;2;;;;;2
Federatie Nederlandse Levensmiddel. Industrie;;3;;;;;3
Federatie Textielbeheer Nederland;;4;;;;;4
Ferm P&O-advies en interimmanagement B.V.;;1;;;;;1
Ferro Explore B.V.;;2;;;;;2
Fier B.V.;;2;;;;;2
Fietspunt B.V.;;1;;;;;1
Filum Proces- en Projectmanagement;;3;;;;;3
Firma Drieco;;1;;;;;1
Fiselier Communicatie;;;2;;;;2
Five Spices B.V.;;3;;;;;3
Fleurop-Interflora Nederland B.V.;;1;;;;;1
FlexBase B.V.;;1;;;;;1
Floor Oudshoorn;;2;;;;;2
FloraHolland;;1;;;;;1
Flow Resulting B.V.;;1;;;;;1
Flowcanto;;2;;;;;2
FlowerWatch B.V.;;2;;;;;2
Fluvius Projects;;2;;;;;2
Fodis;;1;;;;;1
follows.data.nl;;2;;;;;2
Fondsenbeheer Nederland B.V.;;2;;;;;2
Food & Biobased Research;;3;;;;;3
Food Cabinet B.V.;;4;;;;;4
FoodVentures B.V.;;2;;;;;2
Foreco Dalfsen B.V.;;1;;;;;1
Forestry Service;;2;;;;;2
Forrester Research B.V.;1;;;;;;1
Fotografie : Paul Voorham;;1;;;;;1
Fotografie Hans de Lijser;;1;;;;;1
Fotografie Jurgen Huiskes;;1;;;;;1
Four C Management B.V.;;1;;;;;1
Fraai Projecten B.V.;;3;;;;;3
Franje Feesten;;2;;;;;2
Frans Visser Communicatie;;1;;;;;1
Freedom Scientific Benelux B.V.;1;;;;;;1
FreedomLab B.V.;;2;;;;;2
Frequin Producties;;1;;;;;1
Frits H. Emmerik Concept & Copy;;1;;;;;1
Fronteer Strategy B.V.;;1;;;;;1
Fruit Consultancy Europe B.V.;;2;;;;;2
Fruitmoment;;1;;;;;1
Fugro Engineers B.V.;;7;;;;;7
Fugro GeoServices B.V.;;2;;;;;2
Fugro Survey B.V.;;7;;;;;7
Futurevision;;1;;;;;1
FutureWater;;2;;;;;2
G.H. Heusinkveld;;1;;;;;1
G4S Services;;3;;;;;3
GaiaPark B.V.;;4;;;;;4
Gartner Nederland B.V.;4;;;;;;4
Gasterij Stadzigt;;1;;;;;1
Gasunie Engineering B.V.;;2;;;;;2
Gbned;;3;;;;;3
Geelen Infinitus Energy Solutions;;2;;;;;2
Gelderblom Ontwikkeling En Duurzaamheid;;1;;;;;1
GEN B.V.;;2;;;;;2
Genius Groups;;3;;;;;3
GenomeScan B.V.;;3;;;;;3
Geocontrol;;2;;;;;2
Geocycli B.V.;;2;;;;;2
Geodan B.V.;;;;;1;;1
Geodev B.V.;;3;;;;;3
GeoFort Exploitatie B.V.;;1;;;;;1
Geonius Geotechniek B.V.;;3;;;;;3
Geschreven en Gedrukt;;1;;;;;1
Gesprek in Beweging;;1;;;;;1
Gezondheidsdienst voor Dieren;;7;;;;;7
